"address","lon","lat"
"Level 11/ 84 Pitt St, Sydney NSW 2000",151.203714,-33.892312
"37 Bligh St, Sydney NSW 2000",151.209886,-33.8658536
"Level 5 300 George St, Sydney NSW 2000",150.8174858,-33.6097283
"Level 2- 187 Macquarie St, Sydney NSW 2000",151.2120706,-33.8669778
"7th Floor Park House 187 Macquarie St, Sydney NSW 2000",151.212042,-33.866998
"Level 4/ 1 Martin Pl, Sydney NSW 2000",151.20771,-33.867695
"Level 10 135 Macquarie St, Sydney NSW 2000",151.2124146,-33.8642583
"Level 7 229- 231 Macquarie St, Sydney NSW 2000",151.2118558,-33.8685664
"Ste 304/ 73-75 Castlereagh St, Sydney NSW 2000",151.209268,-33.8694783
"Level 9,47 York St Awa Bldg, Sydney NSW 2000",151.205583,-33.866885
"Level 7 428 George St, Sydney NSW 2000",151.2073756,-33.8699387
"Lvl 12 97-99 Bathurst St, Sydney NSW 2000",151.205788,-33.8744757
"187-189 Liverpool St, Sydney NSW 2000",151.2115025,-33.8770938
"308 George St,, Sydney NSW 2000",151.2074121,-33.8658257
"George Medical Centre 308 George St, Sydney NSW 2000",151.2074191,-33.8658428
"Suite 401/ 135 Macquarie St, Sydney NSW 2000",151.2124146,-33.8642583
"Suite 9 10 4th Floor 231 Macquarie St, Sydney NSW 2000",151.2126585,-33.8689596
"400 George St, Sydney NSW 2000",151.2073685,-33.8690531
"Level 11 189 Kent St, Sydney NSW 2000",151.2033627,-33.86311
"Lvl 2/ 650 George St, Sydney NSW 2000",151.1753047,-33.8612148
"4/ 235 Macquarie St, Sydney NSW 2000",151.211798,-33.8687646
"Level 5 24 York St, Sydney NSW 2000",151.2062551,-33.8682612
"Lot 150/ 2 York St, Sydney NSW 2000",151.2058089,-33.8646763
"Suite 901 Level 9 66 King St, Sydney NSW 2000",151.1860566,-33.8929178
"61 Market St, Sydney NSW 2000",151.2085862,-33.8709193
"Lvl 8/ 179 Elizabeth St, Sydney NSW 2000",151.211792,-33.86878
"George St Medical Centre, 308 George St,, Sydney NSW 2000",151.2074191,-33.8658428
"Suite 301 185 Elizabeth St, Sydney NSW 2000",151.2096307,-33.8723576
