"POA_CODE_2016","low_income","high_income","p_income","f_income","h_income","chinese_p","english_only_n","non_english_n","owner","rent","rental","rent_distress","repay","repay_distress","house","semi","unit"
2111,16.1176829268293,30.6768292682927,2048,6083,4957,6.4109756097561,8486,1593,29.2768292682927,35.9676829268293,425.335365853659,14.2219512195122,2508.53658536585,6.27865853658537,50.8231707317073,9.26280487804878,39.3353658536585
2112,17.2384868421053,22.8976973684211,1507,4203,3843,16.4398026315789,13659,5713,27.4726973684211,39.3539473684211,475.213815789474,16.8207236842105,2200,7.93618421052632,46.4194078947368,12.0868421052632,40.9013157894737
2113,17.0428571428571,23.3142857142857,1558,4840,4216,16.4428571428571,4730,2149,22.9285714285714,50.3,521.428571428571,20.5714285714286,2233.42857142857,5.1,26.9285714285714,15.2,56.9714285714286
2114,15.240157480315,21.0149606299213,3271,8508,7600,19.1838582677165,8606,4440,25.146062992126,43.1641732283464,429.803149606299,17.3381889763779,2185.73228346457,8.02086614173228,41.3708661417323,7.1755905511811,50.6291338582677
2115,20.9,19.4,647,1880,1620,12,5824,1641,25.2,39.5,277,14.6,2461,9.3,68.3,23.9,6.8
2116,19.7,18,645,1808,1553,15.4,3309,1119,23.9,38,400,16.2,2167,9.2,57.5,34.8,7.3
2117,17.4142857142857,22.2037037037037,1943,5787,5174,17.9296296296296,7715,2633,29.2666666666667,30.8058201058201,427.089947089947,12.6216931216931,2260.19047619048,11.1015873015873,61.2074074074074,34.0677248677249,4.06137566137566
2120,10.4229299363057,36.1968152866242,1677,5157,4719,8.25796178343949,9318,1232,38.187898089172,15.5796178343949,553.203821656051,5.57579617834395,2483.10828025478,7.27515923566879,86.1025477707006,12.5471337579618,1.08025477707006
2121,14.6,28.1,712,2146,1973,32.6,9119,4776,33.7,33.6,530,14,2210,8.4,55.5,12,32.2
2122,20.8,19.8,624,2011,1641,29.4,5388,2687,29.3,38.7,485,16.7,2167,8,32.2,45.6,21
2125,9.3,44.6,875,2830,2675,15.9,10308,2089,43.7,11.1,590,3.8,2750,9.1,91.1,7.2,1.6
2126,9.8,39.1,768,2599,2443,15.3,10412,2784,40.1,14.1,650,4.2,2500,8.7,80.7,15.9,3.1
2128,14.1,12.8,712,1609,1536,4,747,529,13.5,46.4,450,21.5,2000,13.5,31.7,18.8,49.5
2134,24.6,16.6,478,1498,1398,45.7,3222,4278,24.4,53.8,520,30.1,2167,6.9,26.8,10.8,61.1
2135,16.5,28.4,662,1985,1892,18.2,7501,5974,30.1,41.7,500,17.7,2301,7.9,47.3,4.8,47.1
2136,17.4098039215686,20.8411764705882,1966,5957,5267,15.1049019607843,2954,1578,34.0049019607843,30.5705882352941,478.627450980392,12.9107843137255,2270.06862745098,10.1647058823529,53.1980392156863,22.2598039215686,23.6892156862745
2137,10.24,39.1,2103,5175,4787,11.52,1883,430,41.56,25.64,762,8.78,2840,7.78,28.88,19.82,49.96
2138,15.7222222222222,27.647619047619,2410,6434,5972,21.9722222222222,6512,5291,28.3420634920635,37.1547619047619,546.349206349206,17.3111111111111,2327.18253968254,8.71904761904762,43.2984126984127,9.71111111111111,46.5404761904762
2141,18.7965277777778,16.3770833333333,996,2812,2890,24.0479166666667,5614,6948,27.1930555555556,39.7277777777778,444.375,19.3986111111111,1995.50694444444,8.81666666666667,52.8611111111111,18.6229166666667,27.1881944444444
2143,23.1366336633663,11.8693069306931,952,2738,2576,15.8633663366337,2272,1736,31.1257425742574,38.4534653465347,391.386138613861,18.4277227722772,1794.18811881188,7.94950495049505,71.5722772277228,6.54554455445544,20.3821782178218
2145,18.2719512195122,16.5012195121951,1193,3290,3108,4.81219512195122,2797,1295,26.8987804878049,36.1914634146341,422.682926829268,16.8439024390244,2071.15853658537,10.4414634146341,60.2280487804878,35.8939024390244,3.43170731707317
2146,15.5443037974684,18.0772151898734,1404,3819,3429,2.63164556962025,8742,2719,30.9683544303797,27.1455696202532,404.810126582278,9.80253164556962,2037.03797468354,9.52784810126582,70.6025316455696,21.506329113924,7.20759493670886
2147,19.3,16,645,1721,1551,2.4,10634,2764,30.3,31.4,380,11.3,2058,7.8,87.3,10.6,1.3
2148,17.2127272727273,12.5236363636364,1450,3596,3363,0.196363636363636,23469,8700,24.4836363636364,37.6945454545455,385.454545454545,14.7836363636364,1924.98181818182,8.81454545454545,70.9618181818182,15.3181818181818,13.3636363636364
2150,14.3,17,755,1802,1739,16.3,6058,6745,10.7,68.4,430,23,1874,5.5,10.2,6.7,81.6
2151,19.5,14.8,729,1817,1524,8.9,5859,2507,15.7,54.3,400,21.7,1950,6.3,23.7,16.6,59.1
2153,11.0664983164983,31.2592592592593,2412,7364,7060,10.8602693602694,35176,7270,36.1693602693603,17.1777777777778,539.057239057239,5.83148148148148,2372.89562289562,9.98282828282828,79.2493265993266,12.740404040404,7.78131313131313
2154,12.4,34.3,787,2410,2219,12.5,24213,5014,35.6,19.8,555,7.3,2500,8.8,74.6,12.3,12.9
2155,7.32788732394366,38.5338028169014,1770,5093,4965,6.5430985915493,23859,3973,23.3523943661972,18.4470422535211,620.43661971831,6.12845070422535,2600,12.872676056338,82.2476056338028,14.5861971830986,1.92845070422535
2156,11.2,37.4,797,2531,2259,2.1,5479,369,42.2,6.4,650,2.1,2685,7.2,78.1,17.3,4.6
2161,19.5014492753623,11.3,999,2728,2674,2.80144927536232,2884,1304,29.5971014492754,28.8231884057971,403.623188405797,13.9971014492754,2006.8115942029,14.3942028985507,80.6666666666667,16.7826086956522,1.61884057971014
2163,37.4666666666667,5.68139534883721,833,2078,1707,5.98294573643411,2506,2117,18.6589147286822,55.1736434108527,218.170542635659,26.9627906976744,1725.93023255814,7.73720930232558,60.8387596899225,6.17984496124031,31.9085271317829
2164,16.7842105263158,15.9315789473684,1070,3189,3102,0.276315789473684,2956,1497,42.3421052631579,20.5184210526316,450,9.75526315789474,1965.92105263158,10.2578947368421,89.8026315789474,8.55526315789474,0.347368421052632
2165,26.0108459869848,8.51626898047722,1633,4631,4415,1.10694143167028,8669,10103,26.5583514099783,44.7492407809111,367.449023861171,25.70715835141,1812.26464208243,8.47809110629067,59.7273318872017,15.6815618221258,23.1819956616052
2166,28.88,7.71333333333333,806,2133,2157,13.9466666666667,4151,7439,27.9733333333333,43.9866666666667,320.666666666667,23.5266666666667,1476.86666666667,8.18,51.2866666666667,18.7933333333333,29.1133333333333
