POA_CODE_2016,low_income,high_income,p_income,f_income,h_income,chinese_p,english_only_n,non_english_n,owner,rent,rental,rent_distress,repay,repay_distress,house,semi,unit
2044,13.177477477477478,29.503603603603604,2681,6836,6091,3.8729729729729727,5017,974,26.01081081081081,32.43333333333333,562.7027027027027,12.222522522522521,2584.6846846846847,8.060360360360361,43.741441441441445,37.7972972972973,16.359459459459462
2046,16.001476014760147,33.67121771217712,4730,12919,10786,5.200369003690037,12856,2931,34.314022140221404,31.634317343173432,557.4169741697417,10.644649446494464,2684.3579335793356,6.887084870848708,53.6959409594096,9.512915129151292,35.25719557195572
2047,12.4,39.2,1170,2993,2353,3.4,8477,1276,32.7,37,571,11.3,2900,5.8,31.1,11.2,55.3
2048,11.3,32.9,1067,2656,2179,1.6,5654,816,22.7,45.3,500,15.2,2600,5,19.1,39.7,37.6
2049,14.296052631578947,29.47631578947368,1944,5259,3940,1.8,7900,1293,19.931578947368422,47.94736842105263,449.07894736842104,18.14868421052632,2572.7631578947367,5.751315789473683,26.96973684210526,25.04605263157895,44.944736842105264
2050,28,26.5,889,2819,1796,11.9,6683,1666,11.699999999999998,64.3,500,33.8,2516,4.8,2,20.9,76.4
2060,9.58609865470852,38.15112107623318,4183,9712,7043,6.203587443946189,8780,1699,24.33542600896861,54.25964125560539,572.9147982062781,16.242600896860985,2590.188340807175,4.00627802690583,9.533632286995516,19.904484304932733,69.9340807174888
2061,14.772916666666667,40.71041666666667,3104,6994,5340,7.068749999999999,3963,853,24.020833333333332,59.635416666666664,588.75,18.589583333333334,2693.0208333333335,3.0979166666666664,3.5083333333333333,5.841666666666666,89.98541666666667
2062,10.6,40.2,1385,3318,2361,3.0999999999999996,5474,618,26.7,43.1,580,14.2,2670,5.5,24.4,15.8,59.1
2063,8.4,53.39999999999999,1155,3784,3344,7,4949,492,47.60000000000001,19.4,680,7.5,3500,6.700000000000001,76.6,8.3,14.2
2064,14.800000000000002,34.2,1028,2493,2183,18.1,4834,1741,24.2,49.6,541,16.3,2483,5.3,22.4,8.7,68.4
2065,9.202050113895217,41.22551252847381,6623,15829,12243,7.444646924829157,20005,4174,25.642824601366744,45.53394077448747,574.1571753986333,13.12779043280182,2734.49430523918,5.291571753986332,21.558314350797268,15.728246013667425,62.135307517084286
2066,10.406329113924052,40.5548523206751,4888,15139,14055,9.063713080168776,12024,2293,29.894092827004222,32.778481012658226,611.9451476793249,11.086075949367089,2895.1772151898736,7.440928270042194,46.16413502109705,4.744725738396625,48.616033755274266
2067,17.8,27.2,737,2099,1881,35.2,8364,5994,26.9,47.1,600,23.4,2500,7.1,29.6,4.6,65.6
2068,10.353658536585366,51.65792682926829,4449,14861,13251,7.790243902439024,9252,1256,40.34878048780487,18.98170731707317,760.359756097561,7.162804878048781,3355.890243902439,7.582926829268292,80.22865853658537,6.778048780487806,12.33719512195122
2069,9.047619047619047,48.01481481481482,2990,9959,8658,14.392592592592592,9831,1558,44.530687830687825,17.475132275132275,724.7883597883598,6.714285714285714,3109.074074074074,7.885714285714286,81.1978835978836,2.632804232804233,15.868783068783069
2070,11.653488372093022,45.48139534883721,1901,6506,5560,17.851162790697675,8837,1657,41.03953488372093,21.57674418604651,671.4883720930233,8.097674418604653,3139.5348837209303,7.467441860465117,67.93255813953489,1.7418604651162788,29.92093023255814
2071,13.400000000000002,43.39999999999999,739,2620,2524,34.8,1403,507,48.3,13,920,5,3100,10.400000000000002,99.70000000000002,0.3,0
2072,13.400000000000002,38.8,857,2629,2313,22.5,4289,1165,37.9,29.5,650,12.3,2800,7.9,56.60000000000001,4,39.3
2073,9.116949152542372,50.0813559322034,1961,6641,5945,12.655932203389833,11517,1667,41.2677966101695,15.130508474576274,673.5593220338983,5.5508474576271185,3066.101694915254,9.59322033898305,85.85762711864407,2.1661016949152545,11.64406779661017
2074,10.319337016574586,44.7232044198895,1821,6006,5221,8.246408839779004,11114,1349,41.16132596685083,14.587845303867404,633.2596685082873,5.866850828729282,3000,7.8961325966850815,81.68674033149172,3.22707182320442,14.950276243093922
2075,10.101716738197425,43.526180257510724,1867,5890,5415,12.224034334763948,14214,2209,43.01587982832618,13.845064377682402,727.5107296137339,5.672103004291846,3024.987124463519,9.57038626609442,74.78068669527896,8.145064377682404,16.909442060085837
2076,11.660211267605634,41.92429577464789,2553,8534,7426,9.24894366197183,17735,2323,40.40035211267606,15.84929577464789,591.3380281690141,5.438028169014084,2927.1830985915494,8.486267605633804,78.80035211267607,7.585915492957745,13.31725352112676
