,"Both employed, worked full-time","Both employed, worked part-time","One employed full-time, one part-time","One employed full-time, other not working","One employed part-time, other not working",Both not working,Other,Labour force status not stated,"Both employed, worked full-time (%)","Both employed, worked part-time (%)","One employed full-time, one part-time (%)","One employed full-time, other not working (%)","One employed part-time, other not working (%)",Both not working (%),Other (%),Labour force status not stated (%)
Warrawee,145.0,31.0,132.0,177.0,29.0,126.0,34.0,43.0,20.2,4.3,18.4,24.7,4.0,17.6,4.7,6.0
Warrawong,64.0,15.0,95.0,140.0,57.0,392.0,38.0,46.0,7.6,1.8,11.2,16.5,6.7,46.3,4.5,5.4
Warriewood,330.0,61.0,400.0,236.0,62.0,194.0,88.0,70.0,22.9,4.2,27.8,16.4,4.3,13.5,6.1,4.9
Warrimoo,138.0,22.0,164.0,79.0,23.0,68.0,36.0,18.0,25.2,4.0,29.9,14.4,4.2,12.4,6.6,3.3
Warwick Farm,99.0,15.0,49.0,178.0,57.0,239.0,36.0,46.0,13.8,2.1,6.8,24.8,7.9,33.2,5.0,6.4
Watanobbi,136.0,29.0,136.0,145.0,39.0,143.0,41.0,36.0,19.3,4.1,19.3,20.6,5.5,20.3,5.8,5.1
Waterloo (NSW),518.0,42.0,180.0,168.0,60.0,286.0,77.0,111.0,35.9,2.9,12.5,11.7,4.2,19.8,5.3,7.7
Watsons Bay,33.0,4.0,34.0,32.0,16.0,24.0,6.0,8.0,21.0,2.5,21.7,20.4,10.2,15.3,3.8,5.1
Wattle Grove (NSW),602.0,46.0,484.0,372.0,58.0,149.0,164.0,137.0,29.9,2.3,24.1,18.5,2.9,7.4,8.2,6.8
Waverley (NSW),212.0,27.0,169.0,126.0,27.0,68.0,50.0,49.0,29.1,3.7,23.2,17.3,3.7,9.3,6.9,6.7
Waverton,210.0,36.0,112.0,93.0,26.0,76.0,34.0,54.0,32.8,5.6,17.5,14.5,4.1,11.9,5.3,8.4
Wentworthville,646.0,54.0,348.0,542.0,137.0,397.0,101.0,123.0,27.5,2.3,14.8,23.1,5.8,16.9,4.3,5.2
Werrington,189.0,17.0,123.0,141.0,45.0,115.0,44.0,45.0,26.3,2.4,17.1,19.6,6.3,16.0,6.1,6.3
Werrington County,195.0,26.0,219.0,155.0,52.0,112.0,53.0,38.0,22.9,3.1,25.8,18.2,6.1,13.2,6.2,4.5
Werrington Downs,232.0,18.0,191.0,149.0,27.0,66.0,49.0,36.0,30.2,2.3,24.9,19.4,3.5,8.6,6.4,4.7
West Gosford,45.0,10.0,29.0,32.0,14.0,63.0,14.0,20.0,19.8,4.4,12.8,14.1,6.2,27.8,6.2,8.8
West Hoxton,640.0,55.0,434.0,406.0,67.0,212.0,170.0,92.0,30.8,2.6,20.9,19.6,3.2,10.2,8.2,4.4
West Pennant Hills,976.0,154.0,985.0,734.0,214.0,599.0,233.0,230.0,23.7,3.7,23.9,17.8,5.2,14.5,5.6,5.6
West Pymble,220.0,45.0,364.0,226.0,61.0,175.0,65.0,76.0,17.9,3.7,29.5,18.3,5.0,14.2,5.3,6.2
West Ryde,702.0,97.0,495.0,500.0,165.0,409.0,165.0,144.0,26.2,3.6,18.5,18.7,6.2,15.3,6.2,5.4
West Wallsend,67.0,6.0,81.0,55.0,21.0,88.0,24.0,22.0,18.4,1.6,22.3,15.1,5.8,24.2,6.6,6.0
