,Greek,Macedonian,Gaelic (Scotland,Irish,Welsh,&nbsp;,English only spoken at home,Households where a non English language is spoken,"Celtic, nec",German,Punjabi,French,Cantonese,Serbian,Tagalog,Spanish,Italian,Dutch,Croatian,Hindi,Nepali,Bengali,Mandarin,Telugu,Vietnamese,Polish,Afrikaans,Key Word Sign Australia,Arabic,Finnish,Portuguese,Czech,Japanese,Malayalam,Korean,Hakka,Burmese,Thai,Maltese,Sinhalese,Russian,Danish,Turkish,Swedish,Indonesian,Filipino,Urdu,Slovak,Hebrew,Hungarian,"Non-verbal, so described",Ukrainian,Bisaya,Maori (Cook Island,Tok Pisin (Neomelanesian,Persian (excluding Dari,Auslan,Norwegian,Khmer,Samoan,Tongan,Invented Languages,Min Nan,Marathi,Fijian,Bislama,Maori (New Zealand,Shona,Lao,Dari,Tamil,Kurdish,Gujarati,"Aboriginal English, so described",Wiradjuri,Romanian,Malay,Estonian,Latin,Bosnian,"Swiss, so described","Other Australian Indigenous Languages, nec",Gumbaynggir,Chin Haka,Dinka,Slovene,Hazaraghi,Cebuano,Dhanggatti,"African Languages, nec",Kuuku-Ya'u,Yoruba,Latvian,Kirundi (Rundi,Assyrian Neo-Aramaic,Yankunytjatjara,"Serbo-Croatian/Yugoslavian, so described",Norf'k-Pitcairn,Gilbertese,Armenian,Paakantyi,Catalan,IIokano,Akan,Swahili,Bandjalang,Githabul,Gamilaraay,Rohingya,Pashto,Somali,Luritja,Krio,"Burmese and Related Languages, nec",Bulgarian,Tibetan,Chaldean Neo-Aramaic,Dharawal,Mongolian,Tokelauan,Karen,Greek (%),Macedonian (%),Gaelic (Scotland (%),Irish (%),Welsh (%),&nbsp; (%),English only spoken at home (%),Households where a non English language is spoken (%),"Celtic, nec (%)",German (%),Punjabi (%),French (%),Cantonese (%),Serbian (%),Tagalog (%),Spanish (%),Italian (%),Dutch (%),Croatian (%),Hindi (%),Nepali (%),Bengali (%),Mandarin (%),Telugu (%),Vietnamese (%),Polish (%),Afrikaans (%),Key Word Sign Australia (%),Arabic (%),Finnish (%),Portuguese (%),Czech (%),Japanese (%),Malayalam (%),Korean (%),Hakka (%),Burmese (%),Thai (%),Maltese (%),Sinhalese (%),Russian (%),Danish (%),Turkish (%),Swedish (%),Indonesian (%),Filipino (%),Urdu (%),Slovak (%),Hebrew (%),Hungarian (%),"Non-verbal, so described (%)",Ukrainian (%),Bisaya (%),Maori (Cook Island (%),Tok Pisin (Neomelanesian (%),Persian (excluding Dari (%),Auslan (%),Norwegian (%),Khmer (%),Samoan (%),Tongan (%),Invented Languages (%),Min Nan (%),Marathi (%),Fijian (%),Bislama (%),Maori (New Zealand (%),Shona (%),Lao (%),Dari (%),Tamil (%),Kurdish (%),Gujarati (%),"Aboriginal English, so described (%)",Wiradjuri (%),Romanian (%),Malay (%),Estonian (%),Latin (%),Bosnian (%),"Swiss, so described (%)","Other Australian Indigenous Languages, nec (%)",Gumbaynggir (%),Chin Haka (%),Dinka (%),Slovene (%),Hazaraghi (%),Cebuano (%),Dhanggatti (%),"African Languages, nec (%)",Kuuku-Ya'u (%),Yoruba (%),Latvian (%),Kirundi (Rundi (%),Assyrian Neo-Aramaic (%),Yankunytjatjara (%),"Serbo-Croatian/Yugoslavian, so described (%)",Norf'k-Pitcairn (%),Gilbertese (%),Armenian (%),Paakantyi (%),Catalan (%),IIokano (%),Akan (%),Swahili (%),Bandjalang (%),Githabul (%),Gamilaraay (%),Rohingya (%),Pashto (%),Somali (%),Luritja (%),Krio (%),"Burmese and Related Languages, nec (%)",Bulgarian (%),Tibetan (%),Chaldean Neo-Aramaic (%),Dharawal (%),Mongolian (%),Tokelauan (%),Karen (%),SSC_CODE
Harrington Park,,,,,,&nbsp;,"8,604",724,,,,,,,,139,204,,,96,,,131,,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,80.7,23.6,,,,,,,,1.3,1.9,,,0.9,,,1.2,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11859
Elderslie (Camden - NSW),19,,,,,&nbsp;,"5,349",204,,,,,,,,51,41,,,,,,24,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,&nbsp;,89.1,10.0,,,,,,,,0.8,0.7,,,,,,0.4,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11391
Narellan,20,,,,,&nbsp;,"3,185",144,,20,,,,,,26,28,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,&nbsp;,88.5,10.9,,0.6,,,,,,0.7,0.8,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12896
Kirkham,8,,,,,&nbsp;,598,26,,,,,,,4,,22,,,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,&nbsp;,86.9,13.3,,,,,,,0.6,,3.2,,,,,,0.6,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12171
Mount Annan,69,,,,,&nbsp;,"9,655",700,,,,,,,,211,,,,100,,,108,,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,&nbsp;,82.4,19.8,,,,,,,,1.8,,,,0.9,,,0.9,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12745
Currans Hill,,,,,,&nbsp;,"4,418",329,,,,,,,,111,,,,35,,,,,,,,,73,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,82.9,19.2,,,,,,,,2.1,,,,0.7,,,,,,,,,1.4,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11175
Gregory Hills,,,,,,&nbsp;,"3,388",504,,,,,,64,,113,87,,,185,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,67.9,32.8,,,,,,1.3,,2.3,1.7,,,3.7,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11774
Narellan Vale,28,,,,,&nbsp;,"6,325",299,,,,,,,,70,50,,,,,,28,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,&nbsp;,88.1,13.3,,,,,,,,1.0,0.7,,,,,,0.4,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12897
Spring Farm (NSW),,,,,,&nbsp;,"3,666",221,,,,,,,,47,18,,,39,,,,,,,,,40,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,85.1,15.1,,,,,,,,1.1,0.4,,,0.9,,,,,,,,,0.9,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13612
Airds,17,,,,,&nbsp;,"2,138",190,,,,,,,,30,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,&nbsp;,73.6,18.4,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10022
Bradbury (NSW),,,,,,&nbsp;,"6,873",596,,,,,,,,112,,,,79,,,55,,,,,,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,78.1,19.2,,,,,,,,1.3,,,,0.9,,,0.6,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10543
St Helens Park,,,,,,&nbsp;,"5,040",487,,,,,,,70,127,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,76.8,22.9,,,,,,,1.1,1.9,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13637
Wedderburn (NSW),16,,,,,&nbsp;,488,36,,,,,,,,,12,,,,,,,,,,,,27,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,&nbsp;,76.5,20.0,,,,,,,,,1.9,,,,,,,,,,,,4.2,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14209
Woodbine (NSW),,,,,,&nbsp;,"1,699",318,,,,,,,,55,,,,79,,,,,,,,,228,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,62.7,35.7,,,,,,,,2.0,,,,2.9,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14378
Campbelltown (NSW),,,,,,&nbsp;,"8,672","1,275",,,,,,,170,168,,,,,,,173,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,69.0,25.5,,,,,,,1.4,1.3,,,,,,,1.4,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10780
Leumeah,,,,,,&nbsp;,"6,781","1,001",,,,,,,162,,,,,160,,211,,,,,,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,69.3,27.8,,,,,,,1.7,,,,,1.6,,2.2,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12308
Blair Athol (NSW),,,,,,&nbsp;,"1,428",455,,,,,,,159,,,,,159,,,,,,,,,128,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,50.0,58.3,,,,,,,5.6,,,,,5.6,,,,,,,,,4.5,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10400
Raby,,,,,,&nbsp;,"4,374",525,,,,,,,46,134,,,,89,,,,,,,,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,73.7,27.2,,,,,,,0.8,2.3,,,,1.5,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13303
Eagle Vale,,,,,,&nbsp;,"3,926",649,,,,,,,101,129,,,,,,,,,,,,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,68.3,35.8,,,,,,,1.8,2.2,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11341
Eschol Park,,,,,,&nbsp;,"1,976",223,,,,,,,,63,,,,21,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,76.9,25.2,,,,,,,,2.5,,,,0.8,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11441
Blairmount,11,,,,,&nbsp;,271,43,,,,,,,,10,,,,24,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,&nbsp;,64.2,34.4,,,,,,,,2.4,,,,5.7,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401
Kearns,,,,,,&nbsp;,"2,171",210,,,,,,,,48,24,,,34,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,79.1,24.7,,,,,,,,1.7,0.9,,,1.2,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12079
Claymore,,,,,,&nbsp;,"1,497",196,,,,,,,,26,,,,,,,,,19,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,56.8,25.1,,,,,,,,1.0,,,,,,,,,0.7,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10924
Holsworthy,,,,,,&nbsp;,"3,230",645,,,,,,,,,,,,164,,145,157,,,,,,132,,,,,,,,,,,,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,59.1,43.8,,,,,,,,,,,,3.0,,2.7,2.9,,,,,,2.4,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11926
Ingleburn,,,,,,&nbsp;,"8,467","2,066",,,,,,,346,,,,,491,,935,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,56.4,39.2,,,,,,,2.3,,,,,3.3,,6.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11978
Macquarie Links,28,,,,,&nbsp;,707,205,,,,,,,54,,,,,54,,121,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,&nbsp;,51.9,51.8,,,,,,,4.0,,,,,4.0,,8.9,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12435
Denham Court,,,,,,&nbsp;,"1,122",242,,,,,32,,,,70,,40,35,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,56.9,40.3,,,,,1.6,,,,3.6,,2.0,1.8,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11235
Bardia,,,,,,&nbsp;,657,297,,,,,,,,,,,,104,58,83,43,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,41.4,61.6,,,,,,,,,,,,6.5,3.7,5.2,2.7,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10194
Edmondson Park,,,,,,&nbsp;,816,414,,,,,,51,,,,,,241,,,,,61,,,,107,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,36.1,67.0,,,,,,2.3,,,,,,10.7,,,,,2.7,,,,4.7,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11383
Ruse,,,,,,&nbsp;,"4,613",311,,,,,,,26,63,,,,26,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,82.8,16.3,,,,,,,0.5,1.1,,,,0.5,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13443
Kentlyn,,,,,,&nbsp;,571,64,,,,,,,,,7,,,7,,,9,,,,,,47,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,77.2,28.6,,,,,,,,,0.9,,,0.9,,,1.2,,,,,,6.4,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12101
Minto Heights,11,,,,,&nbsp;,279,22,,,,,10,11,,,,,,,,,,,9,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,&nbsp;,73.0,21.2,,,,,2.6,2.9,,,,,,,,,,,2.4,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12643
Macquarie Fields,,,,,,&nbsp;,"7,102","1,983",,,,,,,,,,,,471,,969,,,,,,,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,51.8,42.5,,,,,,,,,,,,3.4,,7.1,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12433
Glenfield (NSW),,,,,,&nbsp;,"4,031","1,657",,,,,,,,,,,,491,,569,347,,,,,,305,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,41.9,54.7,,,,,,,,,,,,5.1,,5.9,3.6,,,,,,3.2,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11664
Long Point (Campbelltown - NSW),,,,,,&nbsp;,170,19,,4,,,,,,4,,,,,,,,,,4,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,&nbsp;,81.3,26.4,,1.9,,,,,,1.9,,,,,,,,,,1.9,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,12381
St Andrews (NSW),,,,,,&nbsp;,"3,902",592,,,,,,,133,110,,,,157,,,,,,,,,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,68.1,32.2,,,,,,,2.3,1.9,,,,2.7,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13631
Bow Bowing,,,,,,&nbsp;,989,217,,,,,,,54,29,,,,103,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,61.4,42.8,,,,,,,3.4,1.8,,,,6.4,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10526
Minto,,,,,,&nbsp;,"6,026","1,928",,,,,,,,,,,,605,390,"1,283",,,,,,,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,48.0,48.3,,,,,,,,,,,,4.8,3.1,10.2,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12642
Rosemeadow,,,,,,&nbsp;,"5,499",715,,,,,,,,266,,,,,,,,,169,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,70.0,28.3,,,,,,,,3.4,,,,,,,,,2.2,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13410
Ambarvale,,,,,,&nbsp;,"5,228",668,,,,,,,78,177,,,,91,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,70.9,27.4,,,,,,,1.1,2.4,,,,1.2,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10049
Menangle Park,,,0,0,0,&nbsp;,237,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,94.4,4.6,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12569
