,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%),SSC_CODE
Hurlstone Park,1843.0,102.0,306.0,226.0,1485.0,46.5,2.6,7.7,5.7,37.5,11963
Ashbury,1512.0,52.0,132.0,136.0,843.0,56.5,1.9,4.9,5.1,31.5,10093
Burwood (NSW),5821.0,300.0,882.0,550.0,6908.0,40.3,2.1,6.1,3.8,47.8,10718
Croydon (NSW),4420.0,186.0,591.0,485.0,3176.0,49.9,2.1,6.7,5.5,35.9,11134
Strathfield (NSW),10893.0,401.0,1050.0,1021.0,9192.0,48.3,1.8,4.7,4.5,40.8,13675
Croydon Park (NSW),4598.0,251.0,662.0,440.0,3046.0,51.1,2.8,7.4,4.9,33.9,11135
Enfield (NSW),1146.0,68.0,200.0,131.0,855.0,47.8,2.8,8.3,5.5,35.6,11421
Burwood Heights,412.0,13.0,49.0,54.0,290.0,50.4,1.6,6.0,6.6,35.5,10719
Haberfield,2696.0,110.0,311.0,394.0,1741.0,51.3,2.1,5.9,7.5,33.1,11828
Homebush West,3876.0,152.0,412.0,132.0,2653.0,53.6,2.1,5.7,1.8,36.7,11930
Homebush (NSW),2989.0,124.0,262.0,138.0,2482.0,49.9,2.1,4.4,2.3,41.4,11929
Strathfield South,1510.0,81.0,151.0,124.0,1041.0,51.9,2.8,5.2,4.3,35.8,13676
Chatswood,10819.0,399.0,1204.0,806.0,7636.0,51.9,1.9,5.8,3.9,36.6,10892
North Willoughby,1793.0,105.0,236.0,154.0,967.0,55.1,3.2,7.3,4.7,29.7,13016
Willoughby (NSW),2809.0,103.0,372.0,248.0,1480.0,56.0,2.1,7.4,4.9,29.5,14303
Artarmon,3983.0,156.0,504.0,231.0,2819.0,51.8,2.0,6.6,3.0,36.6,10090
Roseville,4716.0,105.0,415.0,319.0,2335.0,59.8,1.3,5.3,4.0,29.6,13412
Lane Cove North,4633.0,235.0,711.0,359.0,3527.0,48.9,2.5,7.5,3.8,37.3,12267
Chatswood West,706.0,18.0,85.0,56.0,353.0,58.0,1.5,7.0,4.6,29.0,10893
Lane Cove West,1186.0,38.0,129.0,79.0,578.0,59.0,1.9,6.4,3.9,28.8,12268
Lane Cove,4381.0,218.0,763.0,463.0,2951.0,49.9,2.5,8.7,5.3,33.6,12266
Riverview (NSW),1500.0,42.0,83.0,88.0,851.0,58.5,1.6,3.2,3.4,33.2,13370
Greenwich,2356.0,86.0,361.0,244.0,1633.0,50.3,1.8,7.7,5.2,34.9,11770
Northwood (NSW),500.0,17.0,28.0,13.0,214.0,64.8,2.2,3.6,1.7,27.7,13024
Longueville,1062.0,21.0,49.0,70.0,449.0,64.3,1.3,3.0,4.2,27.2,12385
Linley Point,152.0,6.0,26.0,9.0,82.0,55.3,2.2,9.5,3.3,29.8,12341
St Leonards (NSW),2137.0,91.0,361.0,76.0,2302.0,43.0,1.8,7.3,1.5,46.3,13642
Naremburn,2414.0,114.0,436.0,125.0,1615.0,51.3,2.4,9.3,2.7,34.3,12898
Cammeray,2604.0,167.0,599.0,201.0,2148.0,45.5,2.9,10.5,3.5,37.6,10778
Castle Cove,1289.0,24.0,97.0,113.0,511.0,63.4,1.2,4.8,5.6,25.1,10845
Castlecrag,1448.0,27.0,97.0,86.0,609.0,63.9,1.2,4.3,3.8,26.9,10849
Northbridge (NSW),2996.0,79.0,251.0,297.0,1287.0,61.0,1.6,5.1,6.0,26.2,13022
Middle Cove,658.0,13.0,56.0,52.0,274.0,62.5,1.2,5.3,4.9,26.0,12602
Willoughby East,850.0,23.0,64.0,45.0,343.0,64.2,1.7,4.8,3.4,25.9,14304
Hornsby Heights,2956.0,71.0,327.0,183.0,1370.0,60.2,1.4,6.7,3.7,27.9,11937
Mount Colah,3286.0,133.0,367.0,196.0,1649.0,58.4,2.4,6.5,3.5,29.3,12750
Asquith,1560.0,61.0,172.0,133.0,743.0,58.4,2.3,6.4,5.0,27.8,10103
Hornsby,9903.0,458.0,1495.0,719.0,5472.0,54.9,2.5,8.3,4.0,30.3,11936
Mount Kuring-Gai,798.0,23.0,93.0,61.0,372.0,59.2,1.7,6.9,4.5,27.6,12772
Cowan,282.0,3.0,30.0,14.0,166.0,57.0,0.6,6.1,2.8,33.5,11097
Berowra,2269.0,68.0,203.0,116.0,1038.0,61.4,1.8,5.5,3.1,28.1,10308
Brooklyn (NSW),293.0,23.0,77.0,33.0,214.0,45.8,3.6,12.0,5.2,33.4,10599
Berowra Heights,2440.0,91.0,281.0,148.0,1066.0,60.6,2.3,7.0,3.7,26.5,10310
Dangar Island,123.0,5.0,42.0,7.0,67.0,50.4,2.0,17.2,2.9,27.5,11199
Normanhurst,2311.0,96.0,329.0,240.0,1243.0,54.8,2.3,7.8,5.7,29.5,12976
Thornleigh,3905.0,136.0,455.0,266.0,1896.0,58.7,2.0,6.8,4.0,28.5,13850
Westleigh,2303.0,46.0,178.0,146.0,901.0,64.4,1.3,5.0,4.1,25.2,14260
Wahroonga,8138.0,236.0,705.0,866.0,3995.0,58.4,1.7,5.1,6.2,28.7,14085
Waitara,2828.0,109.0,363.0,262.0,1201.0,59.4,2.3,7.6,5.5,25.2,14086
East Killara,1499.0,20.0,104.0,81.0,743.0,61.3,0.8,4.3,3.3,30.4,11355
Killara (NSW),5060.0,140.0,448.0,496.0,2412.0,59.1,1.6,5.2,5.8,28.2,12129
Lindfield,4632.0,147.0,410.0,388.0,2229.0,59.3,1.9,5.3,5.0,28.6,12339
Gordon (NSW),3710.0,107.0,370.0,288.0,1804.0,59.1,1.7,5.9,4.6,28.7,11718
East Lindfield,1751.0,38.0,106.0,205.0,784.0,60.7,1.3,3.7,7.1,27.2,11357
Roseville Chase,790.0,12.0,59.0,54.0,337.0,63.1,1.0,4.7,4.3,26.9,13413
Pymble,5542.0,139.0,367.0,288.0,2361.0,63.7,1.6,4.2,3.3,27.1,13281
West Pymble,2551.0,52.0,178.0,204.0,1037.0,63.4,1.3,4.4,5.1,25.8,14250
St Ives (NSW),8818.0,221.0,687.0,809.0,3182.0,64.3,1.6,5.0,5.9,23.2,13639
St Ives Chase,1662.0,34.0,86.0,101.0,588.0,67.3,1.4,3.5,4.1,23.8,13640
