,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%),SSC_CODE
Lower Boro,71.0,7.0,15.0,8.0,48.0,47.7,4.7,10.1,5.4,32.2,12402
New South Wales,2965280.0,190198.0,512298.0,331653.0,2094460.0,48.7,3.1,8.4,5.4,34.4,
Australia,9148218.0,608059.0,1626890.0,985204.0,6668910.0,48.1,3.2,8.5,5.2,35.0,
Oallen,57.0,14.0,9.0,15.0,33.0,44.5,10.9,7.0,11.7,25.8,13062
Braidwood,612.0,43.0,190.0,111.0,388.0,45.5,3.2,14.1,8.3,28.9,10547
Majors Creek (NSW),110.0,8.0,24.0,8.0,48.0,55.6,4.0,12.1,4.0,24.2,12452
Araluen (NSW),71.0,7.0,23.0,8.0,43.0,46.7,4.6,15.1,5.3,28.3,10070
Reidsdale,64.0,0.0,10.0,0.0,38.0,57.1,0.0,8.9,0.0,33.9,13348
Bombay,51.0,3.0,7.0,0.0,26.0,58.6,3.4,8.0,0.0,29.9,10456
Warri,45.0,0.0,15.0,0.0,17.0,58.4,0.0,19.5,0.0,22.1,14172
Manar,52.0,0.0,12.0,3.0,29.0,54.2,0.0,12.5,3.1,30.2,12462
Mongarlowe,51.0,4.0,20.0,3.0,30.0,47.2,3.7,18.5,2.8,27.8,12678
Karabar,2973.0,260.0,583.0,351.0,2459.0,44.9,3.9,8.8,5.3,37.1,12071
Queanbeyan,2003.0,200.0,606.0,411.0,2112.0,37.6,3.8,11.4,7.7,39.6,13291
Crestwood,1585.0,159.0,353.0,193.0,1532.0,41.5,4.2,9.2,5.0,40.1,11115
Queanbeyan East,1254.0,116.0,392.0,135.0,1352.0,38.6,3.6,12.1,4.2,41.6,13292
Greenleigh,371.0,13.0,22.0,9.0,174.0,63.0,2.2,3.7,1.5,29.5,11767
The Ridgeway,80.0,0.0,7.0,4.0,46.0,58.4,0.0,5.1,2.9,33.6,13836
Bungendore,1888.0,89.0,231.0,74.0,915.0,59.1,2.8,7.2,2.3,28.6,10684
Sutton (NSW),735.0,44.0,131.0,38.0,423.0,53.6,3.2,9.6,2.8,30.9,13702
Carwoola,724.0,19.0,79.0,29.0,338.0,60.9,1.6,6.6,2.4,28.4,10841
Hoskinstown,72.0,3.0,15.0,0.0,63.0,47.1,2.0,9.8,0.0,41.2,11944
Captains Flat,203.0,14.0,59.0,19.0,184.0,42.4,2.9,12.3,4.0,38.4,10804
Burra (Queanbeyan-Palerang Regional - NSW),407.0,7.0,46.0,10.0,182.0,62.4,1.1,7.1,1.5,27.9,10697
Mount Fairy,98.0,6.0,19.0,0.0,44.0,58.7,3.6,11.4,0.0,26.3,12758
Mulloon,66.0,6.0,18.0,4.0,37.0,50.4,4.6,13.7,3.1,28.2,12827
Royalla,479.0,16.0,44.0,3.0,213.0,63.4,2.1,5.8,0.4,28.2,13434
Primrose Valley,41.0,6.0,19.0,0.0,47.0,36.3,5.3,16.8,0.0,41.6,13265
Urila,50.0,7.0,13.0,3.0,42.0,43.5,6.1,11.3,2.6,36.5,14059
Tarago,209.0,6.0,22.0,10.0,83.0,63.3,1.8,6.7,3.0,25.2,13758
Currawang,95.0,0.0,9.0,13.0,34.0,62.9,0.0,6.0,8.6,22.5,11177
Googong,1261.0,26.0,103.0,28.0,589.0,62.8,1.3,5.1,1.4,29.3,11704
Wamboin,854.0,36.0,91.0,38.0,367.0,61.6,2.6,6.6,2.7,26.5,14123
Bywong,654.0,31.0,98.0,32.0,256.0,61.1,2.9,9.2,3.0,23.9,10735
Michelago,232.0,17.0,45.0,8.0,129.0,53.8,3.9,10.4,1.9,29.9,12598
Jerrabomberra,4375.0,153.0,465.0,144.0,2085.0,60.6,2.1,6.4,2.0,28.9,12016
Queanbeyan West,1076.0,83.0,243.0,102.0,1009.0,42.8,3.3,9.7,4.1,40.2,13293
Delegate,144.0,17.0,30.0,26.0,92.0,46.6,5.5,9.7,8.4,29.8,11233
Bombala,525.0,42.0,111.0,110.0,337.0,46.7,3.7,9.9,9.8,30.0,10455
Cathcart (NSW),52.0,4.0,10.0,6.0,20.0,56.5,4.3,10.9,6.5,21.7,10855
Cooma (NSW),2489.0,231.0,548.0,482.0,1890.0,44.1,4.1,9.7,8.5,33.5,11036
Kosciuszko National Park,179.0,14.0,42.0,6.0,267.0,35.2,2.8,8.3,1.2,52.6,12199
Adaminaby,129.0,15.0,24.0,27.0,62.0,50.2,5.8,9.3,10.5,24.1,10015
Nimmitabel,141.0,8.0,30.0,13.0,74.0,53.0,3.0,11.3,4.9,27.8,12966
Numeralla,124.0,3.0,22.0,11.0,45.0,60.5,1.5,10.7,5.4,22.0,13039
Colinton (NSW),61.0,7.0,8.0,3.0,29.0,56.5,6.5,7.4,2.8,26.9,10968
Dairymans Plains,80.0,0.0,3.0,6.0,40.0,62.0,0.0,2.3,4.7,31.0,11188
Binjura,141.0,6.0,23.0,18.0,71.0,54.4,2.3,8.9,6.9,27.4,10370
Bunyan,66.0,4.0,16.0,3.0,34.0,53.7,3.3,13.0,2.4,27.6,10691
Bredbo,156.0,6.0,35.0,4.0,82.0,55.1,2.1,12.4,1.4,29.0,10559
Berridale,442.0,45.0,107.0,69.0,301.0,45.9,4.7,11.1,7.2,31.2,10316
Kalkite,102.0,3.0,14.0,4.0,50.0,59.0,1.7,8.1,2.3,28.9,12052
Crackenback,72.0,5.0,11.0,0.0,62.0,48.0,3.3,7.3,0.0,41.3,11103
Jindabyne,833.0,51.0,169.0,49.0,1110.0,37.7,2.3,7.6,2.2,50.2,12030
East Jindabyne,293.0,23.0,48.0,20.0,170.0,52.9,4.2,8.7,3.6,30.7,11352
Dalgety,68.0,11.0,27.0,5.0,56.0,40.7,6.6,16.2,3.0,33.5,11190
Moonbah,229.0,17.0,37.0,12.0,135.0,53.3,4.0,8.6,2.8,31.4,12698
Catalina,897.0,77.0,227.0,224.0,527.0,46.0,3.9,11.6,11.5,27.0,10853
Batemans Bay,419.0,70.0,208.0,167.0,458.0,31.7,5.3,15.7,12.6,34.6,10229
Nelligen,162.0,8.0,33.0,20.0,75.0,54.4,2.7,11.1,6.7,25.2,12920
Long Beach,747.0,30.0,107.0,56.0,257.0,62.4,2.5,8.9,4.7,21.5,12376
Benandarah,64.0,11.0,34.0,4.0,36.0,43.0,7.4,22.8,2.7,24.2,10287
North Batemans Bay,248.0,27.0,67.0,36.0,125.0,49.3,5.4,13.3,7.2,24.9,12982
Surfside,506.0,41.0,132.0,72.0,308.0,47.8,3.9,12.5,6.8,29.1,13698
Maloneys Beach,180.0,6.0,34.0,22.0,68.0,58.1,1.9,11.0,7.1,21.9,12460
Lilli Pilli (Eurobodalla - NSW),336.0,11.0,47.0,24.0,133.0,61.0,2.0,8.5,4.4,24.1,12321
Malua Bay,934.0,57.0,187.0,88.0,366.0,57.2,3.5,11.5,5.4,22.4,12461
Surf Beach (NSW),764.0,69.0,200.0,150.0,403.0,48.2,4.4,12.6,9.5,25.4,13697
Denhams Beach,279.0,26.0,64.0,83.0,113.0,49.4,4.6,11.3,14.7,20.0,11236
Sunshine Bay,530.0,37.0,130.0,97.0,252.0,50.7,3.5,12.4,9.3,24.1,13695
Rosedale (NSW),116.0,8.0,8.0,3.0,49.0,63.0,4.3,4.3,1.6,26.6,13407
Batehaven,643.0,70.0,204.0,201.0,440.0,41.3,4.5,13.1,12.9,28.2,10228
Bega,1568.0,150.0,403.0,305.0,1326.0,41.8,4.0,10.7,8.1,35.3,10253
Tathra,706.0,52.0,161.0,100.0,433.0,48.6,3.6,11.1,6.9,29.8,13774
Kalaru,318.0,15.0,40.0,25.0,139.0,59.2,2.8,7.4,4.7,25.9,12051
Wallagoot,247.0,11.0,56.0,22.0,89.0,58.1,2.6,13.2,5.2,20.9,14103
Bournda,52.0,10.0,30.0,0.0,35.0,40.9,7.9,23.6,0.0,27.6,10524
Black Range (NSW),85.0,4.0,16.0,6.0,30.0,60.3,2.8,11.3,4.3,21.3,10388
Tarraganda,159.0,5.0,30.0,15.0,69.0,57.2,1.8,10.8,5.4,24.8,13768
Kanoona,59.0,0.0,8.0,0.0,36.0,57.3,0.0,7.8,0.0,35.0,12066
Toothdale,81.0,3.0,7.0,6.0,43.0,57.9,2.1,5.0,4.3,30.7,13914
Wolumla,278.0,23.0,62.0,19.0,193.0,48.3,4.0,10.8,3.3,33.6,14362
South Wolumla,79.0,7.0,6.0,4.0,35.0,60.3,5.3,4.6,3.1,26.7,13602
Wyndham (NSW),154.0,11.0,35.0,21.0,110.0,46.5,3.3,10.6,6.3,33.2,14443
Kiah,65.0,3.0,12.0,4.0,34.0,55.1,2.5,10.2,3.4,28.8,12115
Towamba,74.0,9.0,31.0,9.0,68.0,38.7,4.7,16.2,4.7,35.6,13927
Lochiel (NSW),157.0,13.0,27.0,10.0,90.0,52.9,4.4,9.1,3.4,30.3,12367
Nethercote,158.0,11.0,25.0,14.0,75.0,55.8,3.9,8.8,4.9,26.5,12932
Candelo,246.0,17.0,62.0,29.0,193.0,45.0,3.1,11.3,5.3,35.3,10788
Tantawangalo,77.0,6.0,7.0,6.0,34.0,59.2,4.6,5.4,4.6,26.2,13753
Bemboka,240.0,13.0,62.0,16.0,137.0,51.3,2.8,13.2,3.4,29.3,10284
Quaama,112.0,6.0,44.0,14.0,71.0,45.3,2.4,17.8,5.7,28.7,13285
Cobargo,298.0,32.0,78.0,47.0,188.0,46.3,5.0,12.1,7.3,29.2,10951
Yowrie,46.0,8.0,11.0,3.0,22.0,51.1,8.9,12.2,3.3,24.4,14520
Wandella (NSW),83.0,0.0,7.0,8.0,18.0,71.6,0.0,6.0,6.9,15.5,14128
Angledale,63.0,3.0,9.0,3.0,55.0,47.4,2.3,6.8,2.3,41.4,10056
Verona,126.0,13.0,32.0,11.0,65.0,51.0,5.3,13.0,4.5,26.3,14073
Tanja,57.0,5.0,23.0,3.0,52.0,40.7,3.6,16.4,2.1,37.1,13749
Coolagolite,111.0,13.0,33.0,8.0,68.0,47.6,5.6,14.2,3.4,29.2,11023
Brogo,211.0,10.0,57.0,24.0,120.0,50.0,2.4,13.5,5.7,28.4,10589
Coopers Gully,61.0,7.0,13.0,8.0,38.0,48.0,5.5,10.2,6.3,29.9,11048
Stony Creek (Bega Valley - NSW),59.0,0.0,15.0,6.0,29.0,54.1,0.0,13.8,5.5,26.6,13668
Numbugga,58.0,3.0,17.0,7.0,22.0,54.2,2.8,15.9,6.5,20.6,13038
Buckajo,133.0,9.0,20.0,6.0,80.0,53.6,3.6,8.1,2.4,32.3,10629
Kameruka,58.0,0.0,12.0,3.0,22.0,61.1,0.0,12.6,3.2,23.2,12054
Greigs Flat,60.0,7.0,13.0,3.0,31.0,52.6,6.1,11.4,2.6,27.2,11775
Broulee,731.0,45.0,143.0,160.0,349.0,51.2,3.2,10.0,11.2,24.4,10608
Tomakin,451.0,28.0,127.0,54.0,212.0,51.7,3.2,14.6,6.2,24.3,13890
Mossy Point,280.0,24.0,55.0,28.0,106.0,56.8,4.9,11.2,5.7,21.5,12741
Bodalla,295.0,22.0,72.0,30.0,211.0,46.8,3.5,11.4,4.8,33.5,10434
Narooma,1093.0,96.0,314.0,216.0,578.0,47.6,4.2,13.7,9.4,25.2,12900
Eden,1190.0,102.0,299.0,261.0,793.0,45.0,3.9,11.3,9.9,30.0,11375
South Durras,168.0,13.0,25.0,4.0,83.0,57.3,4.4,8.5,1.4,28.3,13580
Mogo (Eurobodalla - NSW),96.0,10.0,30.0,15.0,115.0,36.1,3.8,11.3,5.6,43.2,12660
Jeremadra,59.0,3.0,18.0,10.0,44.0,44.0,2.2,13.4,7.5,32.8,12012
Mogendoura,72.0,9.0,24.0,5.0,42.0,47.4,5.9,15.8,3.3,27.6,12657
Turlinjah,69.0,3.0,18.0,6.0,51.0,46.9,2.0,12.2,4.1,34.7,13975
Potato Point,68.0,4.0,22.0,3.0,32.0,52.7,3.1,17.1,2.3,24.8,13253
Kianga (NSW),393.0,15.0,89.0,71.0,128.0,56.5,2.2,12.8,10.2,18.4,12119
Tuross Head,1129.0,77.0,250.0,146.0,419.0,55.9,3.8,12.4,7.2,20.7,13979
Pambula Beach,307.0,20.0,48.0,38.0,141.0,55.4,3.6,8.7,6.9,25.5,13141
Merimbula,1385.0,140.0,434.0,301.0,893.0,43.9,4.4,13.8,9.5,28.3,12575
Tura Beach,1662.0,67.0,269.0,257.0,486.0,60.6,2.4,9.8,9.4,17.7,13973
South Pambula,194.0,13.0,24.0,10.0,141.0,50.8,3.4,6.3,2.6,36.9,13595
Pambula,332.0,36.0,89.0,104.0,233.0,41.8,4.5,11.2,13.1,29.3,13140
Broadwater (Bega Valley - NSW),55.0,0.0,11.0,3.0,18.0,63.2,0.0,12.6,3.4,20.7,10579
Bald Hills (NSW),116.0,6.0,31.0,10.0,45.0,55.8,2.9,14.9,4.8,21.6,10147
Millingandi,236.0,16.0,58.0,30.0,62.0,58.7,4.0,14.4,7.5,15.4,12622
Mirador,196.0,6.0,25.0,11.0,72.0,63.2,1.9,8.1,3.5,23.2,12644
Berrambool,170.0,23.0,55.0,24.0,123.0,43.0,5.8,13.9,6.1,31.1,10312
Moruya,1627.0,118.0,375.0,269.0,1004.0,48.0,3.5,11.1,7.9,29.6,12734
Moruya Heads,417.0,37.0,99.0,43.0,225.0,50.8,4.5,12.1,5.2,27.4,12735
Bergalia,98.0,3.0,6.0,3.0,24.0,73.1,2.2,4.5,2.2,17.9,10302
Congo,79.0,12.0,32.0,9.0,59.0,41.4,6.3,16.8,4.7,30.9,11008
Bingie,98.0,10.0,29.0,6.0,43.0,52.7,5.4,15.6,3.2,23.1,10367
Bermagui,633.0,49.0,194.0,120.0,315.0,48.3,3.7,14.8,9.2,24.0,10307
Dalmeny,825.0,66.0,198.0,219.0,349.0,49.8,4.0,11.9,13.2,21.1,11191
Wallaga Lake,276.0,17.0,86.0,22.0,87.0,56.6,3.5,17.6,4.5,17.8,14102
Central Tilba,130.0,14.0,48.0,14.0,60.0,48.9,5.3,18.0,5.3,22.6,10877
North Narooma,317.0,19.0,57.0,45.0,102.0,58.7,3.5,10.6,8.3,18.9,12998
Akolele,51.0,0.0,13.0,3.0,64.0,38.9,0.0,9.9,2.3,48.9,10023
Mystery Bay,80.0,6.0,23.0,16.0,47.0,46.5,3.5,13.4,9.3,27.3,12883
Goulburn,7929.0,700.0,1770.0,1362.0,6586.0,43.2,3.8,9.6,7.4,35.9,11725
Run-o-Waters,249.0,14.0,20.0,18.0,79.0,65.5,3.7,5.3,4.7,20.8,13440
Marulan,476.0,38.0,82.0,52.0,272.0,51.7,4.1,8.9,5.7,29.6,12513
Windellama,142.0,15.0,44.0,25.0,79.0,46.6,4.9,14.4,8.2,25.9,14318
Bigga,117.0,14.0,22.0,19.0,45.0,53.9,6.5,10.1,8.8,20.7,10346
Tirrannaville,114.0,8.0,18.0,17.0,44.0,56.7,4.0,9.0,8.5,21.9,13883
Lake Bathurst,105.0,8.0,11.0,7.0,73.0,51.5,3.9,5.4,3.4,35.8,12239
Quialigo,117.0,7.0,20.0,8.0,45.0,59.4,3.6,10.2,4.1,22.8,13297
Laggan,168.0,6.0,20.0,13.0,76.0,59.4,2.1,7.1,4.6,26.9,12235
Grabben Gullen,117.0,9.0,16.0,6.0,57.0,57.1,4.4,7.8,2.9,27.8,11731
Parkesbourne,90.0,3.0,15.0,0.0,41.0,60.4,2.0,10.1,0.0,27.5,13152
Yarra,96.0,6.0,4.0,6.0,32.0,66.7,4.2,2.8,4.2,22.2,14468
Crookwell,1153.0,86.0,211.0,207.0,555.0,52.1,3.9,9.5,9.4,25.1,11123
Bungonia,166.0,9.0,27.0,18.0,84.0,54.6,3.0,8.9,5.9,27.6,10685
Collector,153.0,0.0,15.0,15.0,48.0,66.2,0.0,6.5,6.5,20.8,10972
Middle Arm,178.0,5.0,21.0,17.0,91.0,57.1,1.6,6.7,5.4,29.2,12599
Taralga,161.0,18.0,36.0,40.0,128.0,42.0,4.7,9.4,10.4,33.4,13759
Tarlo,90.0,7.0,5.0,6.0,36.0,62.5,4.9,3.5,4.2,25.0,13767
Wayo,58.0,6.0,8.0,3.0,23.0,59.2,6.1,8.2,3.1,23.5,14204
Kingsdale,104.0,0.0,10.0,0.0,22.0,76.5,0.0,7.4,0.0,16.2,12155
Bannister (NSW),62.0,5.0,3.0,0.0,12.0,75.6,6.1,3.7,0.0,14.6,10183
Brayton,84.0,6.0,13.0,8.0,35.0,57.5,4.1,8.9,5.5,24.0,10554
Greenwich Park,56.0,5.0,7.0,0.0,24.0,60.9,5.4,7.6,0.0,26.1,11771
Tallong,391.0,25.0,76.0,23.0,142.0,59.5,3.8,11.6,3.5,21.6,13733
Carrick (NSW),64.0,0.0,14.0,3.0,28.0,58.7,0.0,12.8,2.8,25.7,10828
Brisbane Grove,57.0,5.0,3.0,4.0,37.0,53.8,4.7,2.8,3.8,34.9,10577
Binda,129.0,8.0,14.0,19.0,58.0,56.6,3.5,6.1,8.3,25.4,10363
Towrang,62.0,8.0,21.0,13.0,39.0,43.4,5.6,14.7,9.1,27.3,13930
Mummel,50.0,3.0,4.0,0.0,31.0,56.8,3.4,4.5,0.0,35.2,12835
Baw Baw (NSW),139.0,4.0,13.0,13.0,58.0,61.2,1.8,5.7,5.7,25.6,10234
Boxers Creek,94.0,0.0,17.0,14.0,61.0,50.5,0.0,9.1,7.5,32.8,10541
Gundary,124.0,6.0,20.0,13.0,46.0,59.3,2.9,9.6,6.2,22.0,11806
Yass,2522.0,173.0,483.0,435.0,1570.0,48.7,3.3,9.3,8.4,30.3,14493
Bookham,90.0,4.0,10.0,7.0,33.0,62.5,2.8,6.9,4.9,22.9,10478
Binalong,210.0,14.0,55.0,18.0,124.0,49.9,3.3,13.1,4.3,29.5,10362
Jugiong,92.0,9.0,20.0,12.0,47.0,51.1,5.0,11.1,6.7,26.1,12044
Galong,90.0,9.0,17.0,10.0,39.0,54.5,5.5,10.3,6.1,23.6,11580
Manton (NSW),141.0,6.0,28.0,8.0,41.0,62.9,2.7,12.5,3.6,18.3,12481
Yass River,149.0,6.0,28.0,9.0,78.0,55.2,2.2,10.4,3.3,28.9,14494
Rye Park,131.0,0.0,14.0,10.0,58.0,61.5,0.0,6.6,4.7,27.2,13455
Dalton,80.0,4.0,20.0,10.0,59.0,46.2,2.3,11.6,5.8,34.1,11194
Gundaroo,509.0,28.0,80.0,19.0,238.0,58.2,3.2,9.2,2.2,27.2,11805
Bowning,254.0,28.0,43.0,21.0,128.0,53.6,5.9,9.1,4.4,27.0,10535
Bellmount Forest,60.0,3.0,0.0,4.0,24.0,65.9,3.3,0.0,4.4,26.4,10274
Gunning,253.0,16.0,76.0,27.0,149.0,48.6,3.1,14.6,5.2,28.6,11813
Lade Vale,63.0,0.0,5.0,0.0,35.0,61.2,0.0,4.9,0.0,34.0,12232
Good Hope,74.0,8.0,6.0,7.0,34.0,57.4,6.2,4.7,5.4,26.4,11700
Wallaroo (NSW),348.0,9.0,38.0,14.0,189.0,58.2,1.5,6.4,2.3,31.6,14112
Murrumbateman,1600.0,39.0,138.0,49.0,620.0,65.4,1.6,5.6,2.0,25.3,12860
Springrange,134.0,4.0,10.0,6.0,77.0,58.0,1.7,4.3,2.6,33.3,13625
Jeir,134.0,0.0,6.0,3.0,54.0,68.0,0.0,3.0,1.5,27.4,12004
Marchmont,111.0,3.0,16.0,0.0,33.0,68.1,1.8,9.8,0.0,20.2,12487
Nanima,96.0,3.0,0.0,0.0,33.0,72.7,2.3,0.0,0.0,25.0,12891
Young,3820.0,320.0,695.0,622.0,2627.0,47.3,4.0,8.6,7.7,32.5,14518
Kingsvale,87.0,3.0,12.0,12.0,28.0,61.3,2.1,8.5,8.5,19.7,12161
Burrangong,101.0,7.0,12.0,12.0,48.0,56.1,3.9,6.7,6.7,26.7,10706
Wyangala,70.0,6.0,27.0,13.0,53.0,41.4,3.6,16.0,7.7,31.4,14434
Wombat,106.0,3.0,19.0,13.0,34.0,60.6,1.7,10.9,7.4,19.4,14364
Cunningar,80.0,0.0,7.0,3.0,29.0,67.2,0.0,5.9,2.5,24.4,11164
Harden,762.0,88.0,193.0,170.0,485.0,44.9,5.2,11.4,10.0,28.6,11851
Boorowa,654.0,59.0,132.0,125.0,405.0,47.6,4.3,9.6,9.1,29.5,10503
Murrumburrah,58.0,0.0,7.0,0.0,21.0,67.4,0.0,8.1,0.0,24.4,12863
Frogmore,55.0,4.0,6.0,6.0,40.0,49.5,3.6,5.4,5.4,36.0,11571
Maimuru,56.0,11.0,3.0,8.0,27.0,53.3,10.5,2.9,7.6,25.7,12444
Bendick Murrell,76.0,4.0,18.0,8.0,24.0,58.5,3.1,13.8,6.2,18.5,10290
Koorawatha,175.0,28.0,51.0,32.0,83.0,47.4,7.6,13.8,8.7,22.5,12192
Monteagle,92.0,6.0,19.0,3.0,50.0,54.1,3.5,11.2,1.8,29.4,12683
Murringo,168.0,12.0,25.0,14.0,89.0,54.5,3.9,8.1,4.5,28.9,12858
Thuddungra,66.0,3.0,3.0,0.0,26.0,67.3,3.1,3.1,0.0,26.5,13853
Bribbaree,58.0,11.0,7.0,9.0,36.0,47.9,9.1,5.8,7.4,29.8,10566
Avoca Beach,1993.0,99.0,303.0,137.0,1040.0,55.8,2.8,8.5,3.8,29.1,10114
Copacabana,1103.0,98.0,230.0,60.0,667.0,51.1,4.5,10.7,2.8,30.9,11056
Killcare Heights,345.0,14.0,68.0,34.0,158.0,55.7,2.3,11.0,5.5,25.5,12134
Macmasters Beach,622.0,35.0,93.0,43.0,295.0,57.2,3.2,8.5,4.0,27.1,12432
Empire Bay,989.0,65.0,167.0,100.0,584.0,51.9,3.4,8.8,5.2,30.7,11415
Wagstaffe,104.0,3.0,14.0,12.0,43.0,59.1,1.7,8.0,6.8,24.4,14084
St Huberts Island,580.0,21.0,78.0,78.0,183.0,61.7,2.2,8.3,8.3,19.5,13638
Killcare,199.0,8.0,49.0,23.0,115.0,50.5,2.0,12.4,5.8,29.2,12133
Bensville,1166.0,51.0,109.0,64.0,597.0,58.7,2.6,5.5,3.2,30.0,10297
Daleys Point,327.0,34.0,65.0,73.0,105.0,54.1,5.6,10.8,12.1,17.4,11189
Pretty Beach (Central Coast - NSW),165.0,7.0,28.0,14.0,63.0,59.6,2.5,10.1,5.1,22.7,13261
Hardys Bay,112.0,6.0,22.0,15.0,51.0,54.4,2.9,10.7,7.3,24.8,11852
Kincumber South,270.0,35.0,139.0,84.0,108.0,42.5,5.5,21.9,13.2,17.0,12142
Somersby,486.0,29.0,81.0,41.0,259.0,54.2,3.2,9.0,4.6,28.9,13571
Calga,67.0,3.0,4.0,6.0,24.0,64.4,2.9,3.8,5.8,23.1,10752
Woy Woy,3506.0,417.0,1217.0,902.0,2997.0,38.8,4.6,13.5,10.0,33.2,14425
Patonga,89.0,6.0,27.0,12.0,52.0,47.8,3.2,14.5,6.5,28.0,13160
Mooney Mooney,138.0,11.0,32.0,10.0,75.0,51.9,4.1,12.0,3.8,28.2,12704
Kariong,2452.0,144.0,388.0,152.0,1829.0,49.4,2.9,7.8,3.1,36.8,12074
Peats Ridge,142.0,11.0,23.0,6.0,113.0,48.1,3.7,7.8,2.0,38.3,13172
Central Mangrove,122.0,3.0,16.0,11.0,82.0,52.1,1.3,6.8,4.7,35.0,10876
Mangrove Mountain,285.0,27.0,39.0,17.0,208.0,49.5,4.7,6.8,3.0,36.1,12472
Kulnura,288.0,25.0,33.0,19.0,144.0,56.6,4.9,6.5,3.7,28.3,12206
Mount White,66.0,4.0,19.0,12.0,64.0,40.0,2.4,11.5,7.3,38.8,12803
Wendoree Park,51.0,0.0,13.0,0.0,29.0,54.8,0.0,14.0,0.0,31.2,14224
Wisemans Ferry,70.0,23.0,28.0,15.0,64.0,35.0,11.5,14.0,7.5,32.0,14344
Gunderman,65.0,16.0,19.0,11.0,61.0,37.8,9.3,11.0,6.4,35.5,11808
Spencer,104.0,14.0,47.0,17.0,101.0,36.7,4.9,16.6,6.0,35.7,13607
Erina,2013.0,94.0,458.0,745.0,883.0,48.0,2.2,10.9,17.8,21.1,11433
Green Point (Central Coast - NSW),2764.0,178.0,562.0,352.0,1443.0,52.2,3.4,10.6,6.6,27.2,11753
Matcham,501.0,9.0,36.0,24.0,198.0,65.2,1.2,4.7,3.1,25.8,12520
Holgate,471.0,23.0,40.0,30.0,197.0,61.9,3.0,5.3,3.9,25.9,11921
Lisarow,2176.0,127.0,310.0,234.0,1228.0,53.4,3.1,7.6,5.7,30.1,12343
Erina Heights,189.0,6.0,29.0,8.0,83.0,60.0,1.9,9.2,2.5,26.3,11434
Terrigal,4906.0,312.0,934.0,419.0,2777.0,52.5,3.3,10.0,4.5,29.7,13805
Springfield (Central Coast - NSW),1529.0,97.0,324.0,151.0,1088.0,47.9,3.0,10.2,4.7,34.1,13623
North Gosford,1198.0,152.0,383.0,117.0,1162.0,39.8,5.0,12.7,3.9,38.6,12991
West Gosford,394.0,51.0,170.0,190.0,380.0,33.2,4.3,14.3,16.0,32.1,14244
Gosford,989.0,153.0,417.0,141.0,1408.0,31.8,4.9,13.4,4.5,45.3,11722
East Gosford,1450.0,145.0,533.0,318.0,1095.0,40.9,4.1,15.1,9.0,30.9,11349
Point Frederick,732.0,72.0,191.0,147.0,527.0,43.9,4.3,11.4,8.8,31.6,13232
Kincumber,2905.0,173.0,644.0,654.0,1518.0,49.3,2.9,10.9,11.1,25.8,12141
Picketts Valley,96.0,3.0,13.0,8.0,43.0,58.9,1.8,8.0,4.9,26.4,13198
Narara,3086.0,213.0,619.0,286.0,2167.0,48.4,3.3,9.7,4.5,34.0,12895
Niagara Park,1024.0,87.0,249.0,70.0,739.0,47.2,4.0,11.5,3.2,34.1,12961
Mount Elliot (NSW),99.0,3.0,10.0,3.0,37.0,65.1,2.0,6.6,2.0,24.3,12757
Point Clare,1487.0,105.0,338.0,226.0,870.0,49.1,3.5,11.2,7.5,28.8,13231
Tascott,685.0,49.0,129.0,68.0,402.0,51.4,3.7,9.7,5.1,30.2,13772
Koolewong,375.0,23.0,65.0,47.0,232.0,50.5,3.1,8.8,6.3,31.3,12185
Saratoga,1722.0,80.0,258.0,137.0,920.0,55.2,2.6,8.3,4.4,29.5,13492
Davistown,1064.0,67.0,218.0,187.0,531.0,51.5,3.2,10.5,9.0,25.7,11221
Yattalunga (NSW),239.0,21.0,44.0,16.0,114.0,55.1,4.8,10.1,3.7,26.3,14496
North Avoca,933.0,64.0,143.0,63.0,563.0,52.8,3.6,8.1,3.6,31.9,12980
Umina Beach,5878.0,546.0,1604.0,1118.0,4582.0,42.8,4.0,11.7,8.1,33.4,14007
Booker Bay,520.0,64.0,165.0,94.0,339.0,44.0,5.4,14.0,8.0,28.7,10477
Ettalong Beach,1549.0,217.0,648.0,439.0,1306.0,37.2,5.2,15.6,10.6,31.4,11445
Pearl Beach,267.0,23.0,62.0,36.0,82.0,56.8,4.9,13.2,7.7,17.4,13171
Wamberal,2838.0,134.0,395.0,209.0,1498.0,55.9,2.6,7.8,4.1,29.5,14122
Forresters Beach,1324.0,81.0,200.0,139.0,586.0,56.8,3.5,8.6,6.0,25.2,11549
Tumbi Umbi,2197.0,137.0,344.0,277.0,1202.0,52.9,3.3,8.3,6.7,28.9,13962
Horsfield Bay,260.0,17.0,52.0,21.0,113.0,56.2,3.7,11.2,4.5,24.4,11941
Phegans Bay,168.0,6.0,43.0,9.0,135.0,46.5,1.7,11.9,2.5,37.4,13192
Woy Woy Bay,215.0,17.0,24.0,11.0,95.0,59.4,4.7,6.6,3.0,26.2,14426
Blackwall (NSW),620.0,71.0,191.0,120.0,578.0,39.2,4.5,12.1,7.6,36.6,10399
Wyoming,3579.0,315.0,924.0,862.0,2626.0,43.1,3.8,11.1,10.4,31.6,14445
