,Italian,Assyrian (incl. Aramaic,Croatian,Arabic (incl. Lebanese,Spanish,&nbsp;,English only spoken at home,Greek,Cantonese,Tagalog (Filipino,Punjabi,Maltese,Macedonian,Serbian,Mandarin,Sinhalese,Samoan,Tongan,Vietnamese,German,Netherlandic,French,Hindi,Polish,Japanese,Korean,Turkish,Persian,Latvian,Thai,Hungarian,Armenian,Indonesian,Malay,Tamil,Maori (Cook Island,Hebrew,Norwegian,Afrikaans,Portuguese,Khmer,Russian,Fijian,Lao,Gujarati,Ukrainian,Maori (New Zealand,Irish,Urdu,Swedish,Estonian,Finnish,Bengali,Czech,Bosnian,Danish,Gaelic (Scotland,Burmese,Albanian,"Sign Languages, nec","Oceanian Pidgins and Creoles, nec (incl. Bislama,Pitcairnese,Solomon Islands Pidgin",Slovak,Lithuanian,Auslan,Bulgarian,"African Languages (excl. North Africa, nec (incl. Bemba, Fante, Malagasy",Nepali,Italian (%),Assyrian (incl. Aramaic (%),Croatian (%),Arabic (incl. Lebanese (%),Spanish (%),&nbsp; (%),English only spoken at home (%),Greek (%),Cantonese (%),Tagalog (Filipino (%),Punjabi (%),Maltese (%),Macedonian (%),Serbian (%),Mandarin (%),Sinhalese (%),Samoan (%),Tongan (%),Vietnamese (%),German (%),Netherlandic (%),French (%),Hindi (%),Polish (%),Japanese (%),Korean (%),Turkish (%),Persian (%),Latvian (%),Thai (%),Hungarian (%),Armenian (%),Indonesian (%),Malay (%),Tamil (%),Maori (Cook Island (%),Hebrew (%),Norwegian (%),Afrikaans (%),Portuguese (%),Khmer (%),Russian (%),Fijian (%),Lao (%),Gujarati (%),Ukrainian (%),Maori (New Zealand (%),Irish (%),Urdu (%),Swedish (%),Estonian (%),Finnish (%),Bengali (%),Czech (%),Bosnian (%),Danish (%),Gaelic (Scotland (%),Burmese (%),Albanian (%),"Sign Languages, nec (%)","Oceanian Pidgins and Creoles, nec (incl. Bislama,Pitcairnese,Solomon Islands Pidgin (%)",Slovak (%),Lithuanian (%),Auslan (%),Bulgarian (%),"African Languages (excl. North Africa, nec (incl. Bemba, Fante, Malagasy (%)",Nepali (%)
Dapto,111,,,,77,&nbsp;,"9,614",,,,,58,103,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.7,&nbsp;,89.2,,,,,0.5,1.0,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darling Point,64,,,,,&nbsp;,"3,170",,44,,,,,,,,,,,31,,39,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,&nbsp;,77.8,,1.1,,,,,,,,,,,0.8,,1.0,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darlinghurst,99,,,,85,&nbsp;,"5,852",80,72,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,0.9,&nbsp;,63.8,0.9,0.8,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darlington,,,,,29,&nbsp;,"1,448",30,39,,,,,,92,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,&nbsp;,70.9,1.5,1.9,,,,,,4.5,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davidson,20,,,,,&nbsp;,"2,220",,23,,,,,,,,,,,21,,,,,21,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,&nbsp;,87.3,,0.9,,,,,,,,,,,0.8,,,,,0.8,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davistown,3,,,,4,&nbsp;,"1,831",,,3,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0.2,,,,0.2,&nbsp;,94.9,,,0.2,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,
Dawes Point,,,,11,4,&nbsp;,210,,,,,,,,5,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,1.2,&nbsp;,60.9,,,,,,,,1.4,,,,,,,1.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Park,,,,193,,&nbsp;,"1,796",81,,360,,,,,,,,,,,,,,,,,102,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,&nbsp;,54.7,2.5,,11.0,,,,,,,,,,,,,,,,,3.1,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dee Why,359,,,,,&nbsp;,"11,085",,234,251,,,,498,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,&nbsp;,70.6,,1.4,1.5,,,,3.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denistone,60,,,69,,&nbsp;,"2,675",,190,,,,,,45,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,2.0,,&nbsp;,76.8,,5.5,,,,,,1.3,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denistone East,64,,,,,&nbsp;,"1,283",29,133,,,,,,68,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,&nbsp;,66.3,1.5,6.9,,,,,,3.5,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denistone West,14,,,16,,&nbsp;,580,10,46,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,2.0,,&nbsp;,74.3,1.3,5.9,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dharruk,,,,194,66,&nbsp;,"1,918",,,62,,,,,,,81,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,2.3,&nbsp;,66.9,,,2.2,,,,,,,2.8,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolans Bay,24,,,,,&nbsp;,"1,021",20,4,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,&nbsp;,90.0,1.8,0.4,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Dolls Point,23,,,32,15,&nbsp;,778,107,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,2.6,1.2,&nbsp;,64.1,8.8,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doonside,,,,543,192,&nbsp;,"8,520",,,789,,205,,,,,,,,,,,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.4,&nbsp;,62.4,,,5.8,,1.5,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Bay,33,,,,,&nbsp;,"2,325",30,34,,,,,,,,,,,28,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,&nbsp;,72.2,0.9,1.1,,,,,,,,,,,0.9,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dover Heights,49,,,,,&nbsp;,"2,432",97,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,65,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,&nbsp;,72.6,2.9,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,1.9,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
Drummoyne,400,,,71,,&nbsp;,"7,675",425,122,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,0.7,,&nbsp;,74.5,4.1,1.2,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dudley,11,,,,,&nbsp;,"2,114",,,,,,7,,,,,,5,22,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,&nbsp;,93.5,,,,,,0.3,,,,,,0.2,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dulwich Hill,368,,,696,,&nbsp;,"5,862","1,071",,,,,,,,,,,628,,,,,,,,,,,,,,,,,,,,,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,5.6,,&nbsp;,47.0,8.6,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundas,,,,279,128,&nbsp;,"5,857",,706,,,,,,472,,,,,,,,,,,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,1.3,&nbsp;,61.1,,7.4,,,,,,4.9,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundas Valley,91,,,299,,&nbsp;,"4,012",,555,,,,,,177,,,,,,,,,,,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,4.4,,&nbsp;,59.5,,8.2,,,,,,2.6,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dural,65,,,75,,&nbsp;,"2,964",,157,,,,,,45,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,2.0,,&nbsp;,78.2,,4.1,,,,,,1.2,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Vale,,,,239,106,&nbsp;,"4,180",,,186,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,1.8,&nbsp;,70.9,,,3.2,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,
Earlwood,989,,,"1,203",,&nbsp;,"6,270","3,992",475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,7.1,,&nbsp;,37.2,23.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Gosford,12,,,,19,&nbsp;,"3,032",,31,,,,,,,,,,,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,0.6,&nbsp;,91.0,,0.9,,,,,,,,,,,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hills,18,,,64,,&nbsp;,"2,042",60,34,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,2.5,,&nbsp;,80.3,2.4,1.3,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Killara,,,,,,&nbsp;,"1,670",,556,,,,,,108,,,,,28,,,,,43,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,58.4,,19.5,,,,,,3.8,,,,,1.0,,,,,1.5,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lindfield,45,,,,,&nbsp;,"2,571",,262,,,,,,102,,,,,,,,,,69,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,&nbsp;,75.9,,7.7,,,,,,3.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Ryde,61,,,,23,&nbsp;,"1,777",35,79,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,1.0,&nbsp;,79.1,1.6,3.5,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Creek,,,,29,5,&nbsp;,403,,,22,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,0.9,&nbsp;,73.9,,,4.0,0.9,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastlakes,,,,304,387,&nbsp;,"2,104",669,,,,,,,,,,,,,,,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,,497,,,,,,,,,,,,,,,,,,4.3,5.5,&nbsp;,29.9,9.5,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,
Eastwood,301,,,,,&nbsp;,"7,888",,"1,767",,,,,,769,,,,,,,,,,,914,,,,,,,,,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,&nbsp;,56.0,,12.5,,,,,,5.5,,,,,,,,,,,6.5,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edensor Park,710,683,630,,498,&nbsp;,"2,777",,,,,,,,,,,,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,7.3,6.8,,5.3,&nbsp;,29.8,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgecliff,,,,,,&nbsp;,"2,209",,39,,,,,,26,,,,,22,,24,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,79.7,,1.4,,,,,,0.9,,,,,0.8,,0.9,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgeworth,19,,,,,&nbsp;,"7,250",,,,,,22,9,,,,,,26,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,&nbsp;,93.3,,,,,,0.3,0.1,,,,,,0.3,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elanora Heights,32,,,22,,&nbsp;,"3,379",,,,,,,26,,,,,,42,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.6,,&nbsp;,90.1,,,,,,,0.7,,,,,,1.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elderslie,10,,,,5,&nbsp;,"2,511",7,,,,,,,7,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,0.2,&nbsp;,95.1,0.3,,,,,,,0.3,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleebana,10,,,,,&nbsp;,"5,465",,19,,,,25,,,,,,,22,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,&nbsp;,94.9,,0.3,,,,0.4,,,,,,,0.4,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elermore Vale,39,,,,,&nbsp;,"4,251",,17,,,,165,,,,,,23,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,&nbsp;,88.1,,0.4,,,,3.4,,,,,,0.5,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Bay,39,,,,,&nbsp;,"3,506",,42,,,,,,,,,,,45,,29,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,&nbsp;,73.4,,0.9,,,,,,,,,,,0.9,,0.6,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerton,,,,46,41,&nbsp;,"1,570",,,49,,,,,,,78,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.8,&nbsp;,68.1,,,2.1,,,,,,,3.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empire Bay,6,,,,,&nbsp;,"1,404",,,,,3,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,&nbsp;,92.2,,,,,0.2,,,,,,,,,,0.2,,0.2,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emu Heights,13,,,,,&nbsp;,"3,063",15,,17,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,0.4,,,,,&nbsp;,92.8,0.5,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,
Emu Plains,,,37,,,&nbsp;,"7,062",84,,44,,,36,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,&nbsp;,87.0,1.0,,0.5,,,0.4,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield,195,,,192,,&nbsp;,"1,043",150,141,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,7.8,,&nbsp;,42.6,6.1,5.8,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engadine,97,,,65,54,&nbsp;,"16,724",76,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.4,0.3,&nbsp;,93.2,0.4,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enmore,,,,,41,&nbsp;,"2,303",188,57,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,&nbsp;,65.6,5.4,1.6,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epping,175,,,,,&nbsp;,"11,963",,"1,848",,,,,,778,,,,,,,,240,,,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,&nbsp;,66.2,,10.2,,,,,,4.3,,,,,,,,1.3,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erina,21,,,,15,&nbsp;,"4,032",,15,,,,,,,,,,,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.3,&nbsp;,90.1,,0.3,,,,,,,,,,,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ermington,,,,613,,&nbsp;,"6,827",,277,,,,,,,,,,,,,,,,,152,,169,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,&nbsp;,66.4,,2.7,,,,,,,,,,,,,,,,,1.5,,1.6,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erskine Park,,,63,176,87,&nbsp;,"5,211",,,378,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,2.5,1.2,&nbsp;,74.4,,,5.4,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erskineville,,,,,63,&nbsp;,"3,672",94,62,,,,,,46,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,&nbsp;,76.2,2.0,1.3,,,,,,1.0,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eschol Park,,,,64,87,&nbsp;,"2,240",,,,,,,,,,,,,,,25,33,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.1,&nbsp;,80.1,,,,,,,,,,,,,,,0.9,1.2,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,
Ettalong Beach,25,,,12,,&nbsp;,"3,662",15,7,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.3,,&nbsp;,89.9,0.4,0.2,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield,,"2,223",,"1,376",916,&nbsp;,"2,886",,596,,,,,,,,,,"1,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,,9.4,6.3,&nbsp;,19.8,,4.1,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield East,68,,,225,105,&nbsp;,626,,151,,,,,,,,,,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,9.7,4.5,&nbsp;,27.1,,6.5,,,,,,,,,,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield Heights,325,413,,385,341,&nbsp;,"1,712",,,,,,,,,,,,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.6,,7.1,6.3,&nbsp;,31.4,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield West,365,573,,550,734,&nbsp;,"3,774",,,,,,,,,,,,"1,425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,5.6,,5.3,7.1,&nbsp;,36.6,,,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairlight,31,,,,33,&nbsp;,"4,618",24,,,,,,,,,,,,37,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.6,&nbsp;,85.8,0.4,,,,,,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairy Meadow,462,,,,,&nbsp;,"4,757",,95,,,,,78,,,,,157,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,&nbsp;,70.6,,1.4,,,,,1.2,,,,,2.3,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmborough Heights,81,,,,42,&nbsp;,"3,183",32,,,,,112,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,1.1,&nbsp;,84.7,0.9,,,,,3.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faulconbridge,15,,,,24,&nbsp;,"3,551",23,,,,,,,,,,,,14,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,0.6,&nbsp;,92.0,0.6,,,,,,,,,,,,0.4,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fennell Bay,,,,,,&nbsp;,"1,928",,,,,,,,,,,,,8,3,3,,4,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,95.1,,,,,,,,,,,,,0.4,0.1,0.1,,0.2,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figtree,337,,99,89,,&nbsp;,"8,087",225,,,,,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,1.0,0.9,,&nbsp;,79.0,2.2,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five Dock,"1,627",,,73,,&nbsp;,"4,280",164,169,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,,,1.0,,&nbsp;,58.8,2.3,2.3,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fletcher,,,,,,&nbsp;,669,,7,,,,11,,,,,,,,,3,,,,,,,,,,,,,4,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,94.6,,1.0,,,,1.6,,,,,,,,,0.4,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,
Flinders,42,,,,60,&nbsp;,"2,125",,,,,32,127,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,2.3,&nbsp;,81.4,,,,,1.2,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floraville,3,,,,,&nbsp;,"1,224",5,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,&nbsp;,94.4,0.4,,,,,,,,,,,,0.2,0.2,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Lodge,21,,,,19,&nbsp;,"1,729",25,36,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.8,&nbsp;,76.6,1.1,1.6,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
