,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%),SSC_CODE
Lower Boro,57.0,10.0,55.0,46.7,8.2,45.1,12402
New South Wales,2612630.0,506133.0,2290887.0,48.3,9.4,42.3,
Australia,8001141.0,1751731.0,7024973.0,47.7,10.4,41.9,
Oallen,36.0,13.0,36.0,42.4,15.3,42.4,13062
Braidwood,508.0,164.0,429.0,46.1,14.9,39.0,10547
Majors Creek (NSW),86.0,29.0,57.0,50.0,16.9,33.1,12452
Araluen (NSW),48.0,16.0,50.0,42.1,14.0,43.9,10070
Reidsdale,52.0,18.0,18.0,59.1,20.5,20.5,13348
Bombay,44.0,13.0,20.0,57.1,16.9,26.0,10456
Warri,42.0,11.0,18.0,59.2,15.5,25.4,14172
Manar,41.0,20.0,28.0,46.1,22.5,31.5,12462
Mongarlowe,40.0,13.0,34.0,46.0,14.9,39.1,12678
Karabar,2665.0,713.0,2659.0,44.1,11.8,44.0,12071
Queanbeyan,1649.0,519.0,2217.0,37.6,11.8,50.6,13291
Crestwood,1394.0,387.0,1665.0,40.5,11.2,48.3,11115
Queanbeyan East,1081.0,420.0,1383.0,37.5,14.6,48.0,13292
Greenleigh,337.0,27.0,167.0,63.5,5.1,31.5,11767
The Ridgeway,75.0,13.0,44.0,56.8,9.8,33.3,13836
Bungendore,1643.0,374.0,800.0,58.3,13.3,28.4,10684
Sutton (NSW),573.0,107.0,359.0,55.1,10.3,34.6,13702
Carwoola,620.0,129.0,296.0,59.3,12.3,28.3,10841
Hoskinstown,60.0,23.0,49.0,45.5,17.4,37.1,11944
Captains Flat,172.0,83.0,163.0,41.1,19.9,39.0,10804
Burra (Queanbeyan-Palerang Regional - NSW),335.0,65.0,145.0,61.5,11.9,26.6,10697
Mount Fairy,83.0,17.0,41.0,58.9,12.1,29.1,12758
Mulloon,47.0,19.0,27.0,50.5,20.4,29.0,12827
Royalla,424.0,76.0,184.0,62.0,11.1,26.9,13434
Primrose Valley,40.0,26.0,35.0,39.6,25.7,34.7,13265
Urila,40.0,18.0,20.0,51.3,23.1,25.6,14059
Tarago,166.0,42.0,83.0,57.0,14.4,28.5,13758
Currawang,74.0,11.0,35.0,61.7,9.2,29.2,11177
Googong,1118.0,220.0,443.0,62.8,12.4,24.9,11704
Wamboin,727.0,113.0,353.0,60.9,9.5,29.6,14123
Bywong,580.0,106.0,275.0,60.4,11.0,28.6,10735
Michelago,201.0,58.0,116.0,53.6,15.5,30.9,12598
Jerrabomberra,3985.0,562.0,2159.0,59.4,8.4,32.2,12016
Queanbeyan West,957.0,296.0,1007.0,42.3,13.1,44.6,13293
Delegate,122.0,24.0,124.0,45.2,8.9,45.9,11233
Bombala,468.0,125.0,369.0,48.6,13.0,38.4,10455
Cathcart (NSW),43.0,9.0,25.0,55.8,11.7,32.5,10855
Cooma (NSW),2084.0,473.0,2110.0,44.7,10.1,45.2,11036
Kosciuszko National Park,76.0,38.0,80.0,39.2,19.6,41.2,12199
Adaminaby,120.0,30.0,81.0,51.9,13.0,35.1,10015
Nimmitabel,115.0,18.0,94.0,50.7,7.9,41.4,12966
Numeralla,88.0,16.0,51.0,56.8,10.3,32.9,13039
Colinton (NSW),49.0,13.0,27.0,55.1,14.6,30.3,10968
Dairymans Plains,80.0,13.0,46.0,57.6,9.4,33.1,11188
Binjura,112.0,32.0,72.0,51.9,14.8,33.3,10370
Bunyan,61.0,11.0,42.0,53.5,9.6,36.8,10691
Bredbo,130.0,38.0,69.0,54.9,16.0,29.1,10559
Berridale,386.0,141.0,310.0,46.1,16.8,37.0,10316
Kalkite,89.0,20.0,52.0,55.3,12.4,32.3,12052
Crackenback,43.0,12.0,42.0,44.3,12.4,43.3,11103
Jindabyne,661.0,261.0,805.0,38.3,15.1,46.6,12030
East Jindabyne,246.0,61.0,158.0,52.9,13.1,34.0,11352
Dalgety,63.0,30.0,59.0,41.4,19.7,38.8,11190
Moonbah,198.0,59.0,112.0,53.7,16.0,30.4,12698
Catalina,765.0,170.0,715.0,46.4,10.3,43.3,10853
Batemans Bay,319.0,118.0,614.0,30.4,11.2,58.4,10229
Nelligen,140.0,39.0,85.0,53.0,14.8,32.2,12920
Long Beach,636.0,116.0,280.0,61.6,11.2,27.1,12376
Benandarah,49.0,12.0,38.0,49.5,12.1,38.4,10287
North Batemans Bay,200.0,45.0,178.0,47.3,10.6,42.1,12982
Surfside,453.0,127.0,384.0,47.0,13.2,39.8,13698
Maloneys Beach,154.0,25.0,100.0,55.2,9.0,35.8,12460
Lilli Pilli (Eurobodalla - NSW),276.0,48.0,150.0,58.2,10.1,31.6,12321
Malua Bay,778.0,153.0,457.0,56.1,11.0,32.9,12461
Surf Beach (NSW),661.0,143.0,572.0,48.0,10.4,41.6,13697
Denhams Beach,185.0,46.0,134.0,50.7,12.6,36.7,11236
Sunshine Bay,493.0,104.0,377.0,50.6,10.7,38.7,13695
Rosedale (NSW),104.0,12.0,44.0,65.0,7.5,27.5,13407
Batehaven,540.0,126.0,612.0,42.3,9.9,47.9,10228
Bega,1362.0,448.0,1435.0,42.0,13.8,44.2,10253
Tathra,605.0,148.0,459.0,49.9,12.2,37.9,13774
Kalaru,258.0,63.0,133.0,56.8,13.9,29.3,12051
Wallagoot,192.0,61.0,92.0,55.7,17.7,26.7,14103
Bournda,39.0,17.0,39.0,41.1,17.9,41.1,10524
Black Range (NSW),74.0,11.0,29.0,64.9,9.6,25.4,10388
Tarraganda,147.0,33.0,86.0,55.3,12.4,32.3,13768
Kanoona,63.0,15.0,28.0,59.4,14.2,26.4,12066
Toothdale,73.0,22.0,29.0,58.9,17.7,23.4,13914
Wolumla,243.0,76.0,173.0,49.4,15.4,35.2,14362
South Wolumla,75.0,16.0,26.0,64.1,13.7,22.2,13602
Wyndham (NSW),113.0,55.0,89.0,44.0,21.4,34.6,14443
Kiah,53.0,13.0,42.0,49.1,12.0,38.9,12115
Towamba,71.0,36.0,72.0,39.7,20.1,40.2,13927
Lochiel (NSW),140.0,49.0,84.0,51.3,17.9,30.8,12367
Nethercote,146.0,23.0,75.0,59.8,9.4,30.7,12932
Candelo,209.0,89.0,182.0,43.5,18.5,37.9,10788
Tantawangalo,55.0,17.0,25.0,56.7,17.5,25.8,13753
Bemboka,211.0,41.0,167.0,50.4,9.8,39.9,10284
Quaama,98.0,28.0,80.0,47.6,13.6,38.8,13285
Cobargo,254.0,66.0,237.0,45.6,11.8,42.5,10951
Yowrie,42.0,18.0,26.0,48.8,20.9,30.2,14520
Wandella (NSW),76.0,10.0,29.0,66.1,8.7,25.2,14128
Angledale,54.0,22.0,40.0,46.6,19.0,34.5,10056
Verona,110.0,38.0,68.0,50.9,17.6,31.5,14073
Tanja,53.0,26.0,37.0,45.7,22.4,31.9,13749
Coolagolite,91.0,45.0,63.0,45.7,22.6,31.7,11023
Brogo,173.0,58.0,141.0,46.5,15.6,37.9,10589
Coopers Gully,63.0,20.0,33.0,54.3,17.2,28.4,11048
Stony Creek (Bega Valley - NSW),57.0,10.0,36.0,55.3,9.7,35.0,13668
Numbugga,53.0,7.0,29.0,59.6,7.9,32.6,13038
Buckajo,110.0,18.0,81.0,52.6,8.6,38.8,10629
Kameruka,56.0,3.0,23.0,68.3,3.7,28.0,12054
Greigs Flat,57.0,17.0,26.0,57.0,17.0,26.0,11775
Broulee,594.0,88.0,498.0,50.3,7.5,42.2,10608
Tomakin,383.0,73.0,258.0,53.6,10.2,36.1,13890
Mossy Point,232.0,36.0,142.0,56.6,8.8,34.6,12741
Bodalla,264.0,75.0,248.0,45.0,12.8,42.2,10434
Narooma,881.0,214.0,843.0,45.5,11.0,43.5,12900
Eden,963.0,259.0,953.0,44.3,11.9,43.8,11375
South Durras,121.0,18.0,80.0,55.3,8.2,36.5,13580
Mogo (Eurobodalla - NSW),76.0,54.0,94.0,33.9,24.1,42.0,12660
Jeremadra,58.0,30.0,43.0,44.3,22.9,32.8,12012
Mogendoura,69.0,30.0,54.0,45.1,19.6,35.3,12657
Turlinjah,50.0,22.0,46.0,42.4,18.6,39.0,13975
Potato Point,52.0,19.0,30.0,51.5,18.8,29.7,13253
Kianga (NSW),322.0,65.0,192.0,55.6,11.2,33.2,12119
Tuross Head,989.0,176.0,636.0,54.9,9.8,35.3,13979
Pambula Beach,257.0,50.0,185.0,52.2,10.2,37.6,13141
Merimbula,1101.0,332.0,1124.0,43.1,13.0,44.0,12575
Tura Beach,1420.0,225.0,685.0,60.9,9.7,29.4,13973
South Pambula,164.0,49.0,113.0,50.3,15.0,34.7,13595
Pambula,270.0,83.0,305.0,41.0,12.6,46.4,13140
Broadwater (Bega Valley - NSW),48.0,17.0,23.0,54.5,19.3,26.1,10579
Bald Hills (NSW),94.0,26.0,41.0,58.4,16.1,25.5,10147
Millingandi,197.0,42.0,121.0,54.7,11.7,33.6,12622
Mirador,172.0,42.0,62.0,62.3,15.2,22.5,12644
Berrambool,152.0,48.0,152.0,43.2,13.6,43.2,10312
Moruya,1406.0,316.0,1240.0,47.5,10.7,41.9,12734
Moruya Heads,364.0,92.0,260.0,50.8,12.8,36.3,12735
Bergalia,76.0,9.0,23.0,70.4,8.3,21.3,10302
Congo,63.0,21.0,75.0,39.6,13.2,47.2,11008
Bingie,77.0,22.0,52.0,51.0,14.6,34.4,10367
Bermagui,542.0,149.0,440.0,47.9,13.2,38.9,10307
Dalmeny,677.0,163.0,481.0,51.2,12.3,36.4,11191
Wallaga Lake,210.0,69.0,143.0,49.8,16.4,33.9,14102
Central Tilba,111.0,36.0,70.0,51.2,16.6,32.3,10877
North Narooma,281.0,59.0,138.0,58.8,12.3,28.9,12998
Akolele,40.0,6.0,45.0,44.0,6.6,49.5,10023
Mystery Bay,63.0,29.0,56.0,42.6,19.6,37.8,12883
Goulburn,6837.0,1689.0,6955.0,44.2,10.9,44.9,11725
Run-o-Waters,227.0,32.0,88.0,65.4,9.2,25.4,13440
Marulan,434.0,92.0,321.0,51.2,10.9,37.9,12513
Windellama,115.0,22.0,111.0,46.4,8.9,44.8,14318
Bigga,86.0,13.0,58.0,54.8,8.3,36.9,10346
Tirrannaville,98.0,26.0,59.0,53.6,14.2,32.2,13883
Lake Bathurst,70.0,22.0,45.0,51.1,16.1,32.8,12239
Quialigo,112.0,14.0,52.0,62.9,7.9,29.2,13297
Laggan,156.0,21.0,83.0,60.0,8.1,31.9,12235
Grabben Gullen,83.0,10.0,69.0,51.2,6.2,42.6,11731
Parkesbourne,78.0,19.0,31.0,60.9,14.8,24.2,13152
Yarra,74.0,9.0,34.0,63.2,7.7,29.1,14468
Crookwell,1037.0,174.0,725.0,53.6,9.0,37.4,11123
Bungonia,138.0,34.0,89.0,52.9,13.0,34.1,10685
Collector,133.0,17.0,63.0,62.4,8.0,29.6,10972
Middle Arm,157.0,21.0,100.0,56.5,7.6,36.0,12599
Taralga,136.0,25.0,138.0,45.5,8.4,46.2,13759
Tarlo,82.0,11.0,31.0,66.1,8.9,25.0,13767
Wayo,44.0,15.0,31.0,48.9,16.7,34.4,14204
Kingsdale,89.0,13.0,20.0,73.0,10.7,16.4,12155
Bannister (NSW),52.0,3.0,21.0,68.4,3.9,27.6,10183
Brayton,61.0,14.0,43.0,51.7,11.9,36.4,10554
Greenwich Park,55.0,9.0,29.0,59.1,9.7,31.2,11771
Tallong,366.0,61.0,177.0,60.6,10.1,29.3,13733
Carrick (NSW),47.0,7.0,37.0,51.6,7.7,40.7,10828
Brisbane Grove,46.0,14.0,34.0,48.9,14.9,36.2,10577
Binda,98.0,27.0,57.0,53.8,14.8,31.3,10363
Towrang,53.0,15.0,53.0,43.8,12.4,43.8,13930
Mummel,45.0,12.0,21.0,57.7,15.4,26.9,12835
Baw Baw (NSW),118.0,11.0,48.0,66.7,6.2,27.1,10234
Boxers Creek,86.0,13.0,68.0,51.5,7.8,40.7,10541
Gundary,112.0,10.0,63.0,60.5,5.4,34.1,11806
Yass,2220.0,550.0,1731.0,49.3,12.2,38.5,14493
Bookham,69.0,10.0,29.0,63.9,9.3,26.9,10478
Binalong,192.0,56.0,129.0,50.9,14.9,34.2,10362
Jugiong,79.0,16.0,54.0,53.0,10.7,36.2,12044
Galong,77.0,11.0,63.0,51.0,7.3,41.7,11580
Manton (NSW),129.0,22.0,53.0,63.2,10.8,26.0,12481
Yass River,142.0,41.0,57.0,59.2,17.1,23.8,14494
Rye Park,117.0,14.0,57.0,62.2,7.4,30.3,13455
Dalton,67.0,18.0,57.0,47.2,12.7,40.1,11194
Gundaroo,458.0,123.0,204.0,58.3,15.7,26.0,11805
Bowning,209.0,58.0,128.0,52.9,14.7,32.4,10535
Bellmount Forest,60.0,0.0,28.0,68.2,0.0,31.8,10274
Gunning,232.0,39.0,198.0,49.5,8.3,42.2,11813
Lade Vale,56.0,10.0,25.0,61.5,11.0,27.5,12232
Good Hope,49.0,8.0,37.0,52.1,8.5,39.4,11700
Wallaroo (NSW),290.0,38.0,174.0,57.8,7.6,34.7,14112
Murrumbateman,1445.0,205.0,603.0,64.1,9.1,26.8,12860
Springrange,130.0,19.0,69.0,59.6,8.7,31.7,13625
Jeir,123.0,15.0,52.0,64.7,7.9,27.4,12004
Marchmont,102.0,17.0,42.0,63.4,10.6,26.1,12487
Nanima,89.0,8.0,28.0,71.2,6.4,22.4,12891
Young,3291.0,684.0,3023.0,47.0,9.8,43.2,14518
Kingsvale,79.0,12.0,25.0,68.1,10.3,21.6,12161
Burrangong,100.0,8.0,70.0,56.2,4.5,39.3,10706
Wyangala,67.0,22.0,56.0,46.2,15.2,38.6,14434
Wombat,92.0,13.0,51.0,59.0,8.3,32.7,14364
Cunningar,65.0,14.0,29.0,60.2,13.0,26.9,11164
Harden,684.0,159.0,619.0,46.8,10.9,42.3,11851
Boorowa,567.0,122.0,497.0,47.8,10.3,41.9,10503
Murrumburrah,50.0,6.0,17.0,68.5,8.2,23.3,12863
Frogmore,51.0,9.0,42.0,50.0,8.8,41.2,11571
Maimuru,53.0,9.0,35.0,54.6,9.3,36.1,12444
Bendick Murrell,60.0,10.0,35.0,57.1,9.5,33.3,10290
Koorawatha,140.0,38.0,133.0,45.0,12.2,42.8,12192
Monteagle,94.0,13.0,57.0,57.3,7.9,34.8,12683
Murringo,152.0,21.0,97.0,56.3,7.8,35.9,12858
Thuddungra,62.0,11.0,27.0,62.0,11.0,27.0,13853
Bribbaree,51.0,21.0,30.0,50.0,20.6,29.4,10566
Avoca Beach,1797.0,269.0,1148.0,55.9,8.4,35.7,10114
Copacabana,998.0,196.0,763.0,51.0,10.0,39.0,11056
Killcare Heights,314.0,75.0,180.0,55.2,13.2,31.6,12134
Macmasters Beach,551.0,94.0,332.0,56.4,9.6,34.0,12432
Empire Bay,908.0,191.0,675.0,51.2,10.8,38.0,11415
Wagstaffe,90.0,13.0,57.0,56.2,8.1,35.6,14084
St Huberts Island,532.0,59.0,290.0,60.4,6.7,32.9,13638
Killcare,161.0,35.0,126.0,50.0,10.9,39.1,12133
Bensville,1089.0,153.0,617.0,58.6,8.2,33.2,10297
Daleys Point,304.0,57.0,200.0,54.2,10.2,35.7,11189
Pretty Beach (Central Coast - NSW),140.0,35.0,71.0,56.9,14.2,28.9,13261
Hardys Bay,89.0,27.0,57.0,51.4,15.6,32.9,11852
Kincumber South,255.0,33.0,312.0,42.5,5.5,52.0,12142
Somersby,423.0,68.0,278.0,55.0,8.8,36.2,13571
Calga,54.0,6.0,31.0,59.3,6.6,34.1,10752
Woy Woy,3168.0,839.0,4070.0,39.2,10.4,50.4,14425
Patonga,74.0,15.0,70.0,46.5,9.4,44.0,13160
Mooney Mooney,127.0,36.0,74.0,53.6,15.2,31.2,12704
Kariong,2256.0,481.0,1708.0,50.8,10.8,38.4,12074
Peats Ridge,123.0,21.0,119.0,46.8,8.0,45.2,13172
Central Mangrove,111.0,19.0,73.0,54.7,9.4,36.0,10876
Mangrove Mountain,259.0,58.0,205.0,49.6,11.1,39.3,12472
Kulnura,254.0,43.0,163.0,55.2,9.3,35.4,12206
Mount White,52.0,9.0,76.0,38.0,6.6,55.5,12803
Wendoree Park,40.0,8.0,27.0,53.3,10.7,36.0,14224
Wisemans Ferry,59.0,19.0,90.0,35.1,11.3,53.6,14344
Gunderman,51.0,14.0,53.0,43.2,11.9,44.9,11808
Spencer,68.0,26.0,94.0,36.2,13.8,50.0,13607
Erina,1717.0,204.0,1567.0,49.2,5.8,44.9,11433
Green Point (Central Coast - NSW),2539.0,355.0,1968.0,52.2,7.3,40.5,11753
Matcham,461.0,38.0,196.0,66.3,5.5,28.2,12520
Holgate,433.0,53.0,213.0,61.9,7.6,30.5,11921
Lisarow,2010.0,330.0,1397.0,53.8,8.8,37.4,12343
Erina Heights,168.0,24.0,108.0,56.0,8.0,36.0,11434
Terrigal,4442.0,751.0,3339.0,52.1,8.8,39.1,13805
Springfield (Central Coast - NSW),1422.0,292.0,1276.0,47.6,9.8,42.7,13623
North Gosford,1068.0,318.0,1306.0,39.7,11.8,48.5,12991
West Gosford,337.0,108.0,508.0,35.4,11.3,53.3,14244
Gosford,821.0,388.0,1420.0,31.2,14.8,54.0,11722
East Gosford,1302.0,330.0,1545.0,41.0,10.4,48.6,11349
Point Frederick,634.0,132.0,685.0,43.7,9.1,47.2,13232
Kincumber,2664.0,397.0,2301.0,49.7,7.4,42.9,12141
Picketts Valley,82.0,20.0,50.0,53.9,13.2,32.9,13198
Narara,2836.0,648.0,2430.0,48.0,11.0,41.1,12895
Niagara Park,926.0,237.0,818.0,46.7,12.0,41.3,12961
Mount Elliot (NSW),77.0,17.0,34.0,60.2,13.3,26.6,12757
Point Clare,1355.0,289.0,1151.0,48.5,10.3,41.2,13231
Tascott,624.0,133.0,491.0,50.0,10.7,39.3,13772
Koolewong,340.0,65.0,287.0,49.1,9.4,41.5,12185
Saratoga,1568.0,293.0,1006.0,54.7,10.2,35.1,13492
Davistown,945.0,185.0,735.0,50.7,9.9,39.4,11221
Yattalunga (NSW),231.0,38.0,120.0,59.4,9.8,30.8,14496
North Avoca,831.0,186.0,575.0,52.2,11.7,36.1,12980
Umina Beach,5260.0,1442.0,5598.0,42.8,11.7,45.5,14007
Booker Bay,458.0,115.0,467.0,44.0,11.1,44.9,10477
Ettalong Beach,1370.0,422.0,1971.0,36.4,11.2,52.4,11445
Pearl Beach,216.0,38.0,148.0,53.7,9.5,36.8,13171
Wamberal,2566.0,425.0,1615.0,55.7,9.2,35.1,14122
Forresters Beach,1201.0,185.0,724.0,56.9,8.8,34.3,11549
Tumbi Umbi,2023.0,343.0,1424.0,53.4,9.1,37.6,13962
Horsfield Bay,211.0,48.0,133.0,53.8,12.2,33.9,11941
Phegans Bay,143.0,44.0,126.0,45.7,14.1,40.3,13192
Woy Woy Bay,192.0,41.0,93.0,58.9,12.6,28.5,14426
Blackwall (NSW),557.0,194.0,673.0,39.1,13.6,47.3,10399
Wyoming,3162.0,755.0,3287.0,43.9,10.5,45.6,14445
Bateau Bay,4175.0,819.0,3806.0,47.4,9.3,43.2,10227
Killarney Vale,2139.0,550.0,2392.0,42.1,10.8,47.1,12131
Blue Haven,1929.0,588.0,1968.0,43.0,13.1,43.9,10415
San Remo (NSW),1200.0,406.0,1510.0,38.5,13.0,48.5,13470
Doyalson,93.0,28.0,119.0,38.8,11.7,49.6,11286
Buff Point,1179.0,303.0,1047.0,46.6,12.0,41.4,10645
Budgewoi,1035.0,289.0,1211.0,40.8,11.4,47.8,10642
Halekulani,864.0,246.0,855.0,44.0,12.5,43.5,11830
Glenning Valley,805.0,172.0,495.0,54.7,11.7,33.6,11672
Berkeley Vale,2753.0,770.0,2477.0,45.9,12.8,41.3,10304
Chittaway Point,358.0,73.0,290.0,49.7,10.1,40.2,10912
Chittaway Bay,692.0,169.0,626.0,46.5,11.4,42.1,10911
Kanwal,1183.0,230.0,1291.0,43.8,8.5,47.7,12067
Wyongah,647.0,166.0,629.0,44.9,11.5,43.6,14448
Tuggerawong,409.0,102.0,427.0,43.6,10.9,45.5,13951
Rocky Point (NSW),108.0,20.0,75.0,53.2,9.9,36.9,13388
Gorokan,2349.0,774.0,3014.0,38.3,12.6,49.1,11721
Charmhaven,692.0,254.0,847.0,38.6,14.2,47.2,10889
Lake Haven,1080.0,213.0,1420.0,39.8,7.9,52.3,12247
Jilliby,694.0,90.0,393.0,59.0,7.6,33.4,12027
Yarramalong,134.0,40.0,80.0,52.8,15.7,31.5,14475
Cedar Brush Creek,37.0,11.0,24.0,51.4,15.3,33.3,10867
Wyong Creek,172.0,41.0,109.0,53.4,12.7,33.9,14447
Dooralong,113.0,29.0,71.0,53.1,13.6,33.3,11276
Lake Munmorah,1977.0,420.0,1611.0,49.3,10.5,40.2,12253
Chain Valley Bay,1001.0,162.0,746.0,52.4,8.5,39.1,10880
Kingfisher Shores,71.0,14.0,36.0,58.7,11.6,29.8,12146
Mannering Park,747.0,247.0,860.0,40.3,13.3,46.4,12477
Doyalson North,166.0,24.0,144.0,49.7,7.2,43.1,11287
Ourimbah,1401.0,327.0,1178.0,48.2,11.3,40.5,13103
Fountaindale,325.0,37.0,165.0,61.7,7.0,31.3,11554
Palm Grove (NSW),45.0,12.0,26.0,54.2,14.5,31.3,13133
Gwandalan,1182.0,339.0,931.0,48.2,13.8,38.0,11824
Summerland Point,903.0,224.0,748.0,48.2,11.9,39.9,13690
Long Jetty,1760.0,540.0,2501.0,36.7,11.2,52.1,12378
Shelly Beach (NSW),514.0,80.0,368.0,53.4,8.3,38.3,13535
Blue Bay,346.0,69.0,361.0,44.6,8.9,46.5,10414
Toowoon Bay,170.0,29.0,187.0,44.0,7.5,48.4,13916
The Entrance North,449.0,139.0,501.0,41.2,12.8,46.0,13819
Magenta (NSW),107.0,15.0,42.0,65.2,9.1,25.6,12441
The Entrance,945.0,324.0,1721.0,31.6,10.8,57.6,13818
Toukley,1227.0,396.0,1630.0,37.7,12.2,50.1,13925
Canton Beach,307.0,70.0,502.0,34.9,8.0,57.1,10798
Noraville,919.0,242.0,979.0,42.9,11.3,45.7,12974
Norah Head,500.0,64.0,280.0,59.2,7.6,33.2,12973
Kangy Angy,115.0,17.0,95.0,50.7,7.5,41.9,12064
Tuggerah,280.0,79.0,325.0,40.9,11.5,47.5,13950
Wyong,1185.0,292.0,1621.0,38.3,9.4,52.3,14446
Mardi,1300.0,268.0,999.0,50.6,10.4,38.9,12488
Tacoma South,87.0,28.0,87.0,43.1,13.9,43.1,13725
Hamlyn Terrace,2199.0,364.0,1543.0,53.6,8.9,37.6,11843
Woongarrah,2020.0,323.0,1180.0,57.3,9.2,33.5,14415
Warnervale,239.0,44.0,179.0,51.7,9.5,38.7,14154
Wallarah,110.0,37.0,107.0,43.3,14.6,42.1,14109
Wadalba,902.0,251.0,808.0,46.0,12.8,41.2,14080
Watanobbi,1071.0,312.0,1369.0,38.9,11.3,49.7,14181
Tacoma,227.0,43.0,183.0,50.1,9.5,40.4,13724
Llanarth (NSW),898.0,128.0,462.0,60.3,8.6,31.0,12362
South Bathurst,426.0,117.0,525.0,39.9,11.0,49.2,13577
Bathurst,1535.0,595.0,2841.0,30.9,12.0,57.2,10231
Robin Hill,458.0,39.0,171.0,68.6,5.8,25.6,13375
West Bathurst,962.0,324.0,1289.0,37.4,12.6,50.1,14241
Mitchell (NSW),25.0,25.0,106.0,16.0,16.0,67.9,12650
Gormans Hill,157.0,82.0,271.0,30.8,16.1,53.1,11720
Abercrombie,458.0,68.0,239.0,59.9,8.9,31.2,10004
Eglinton (NSW),866.0,177.0,536.0,54.8,11.2,33.9,11386
Windradyne,916.0,269.0,862.0,44.7,13.1,42.1,14324
Raglan (NSW),450.0,102.0,286.0,53.7,12.2,34.1,13304
White Rock (NSW),330.0,12.0,122.0,71.1,2.6,26.3,14275
Kelso (NSW),2873.0,736.0,2370.0,48.1,12.3,39.6,12090
O'Connell (NSW),218.0,48.0,128.0,55.3,12.2,32.5,13052
Brewongle,65.0,6.0,28.0,65.7,6.1,28.3,10564
Trunkey Creek,40.0,9.0,34.0,48.2,10.8,41.0,13942
Perthville,228.0,48.0,145.0,54.2,11.4,34.4,13189
Sofala,33.0,9.0,40.0,40.2,11.0,48.8,13569
Wattle Flat (NSW),80.0,22.0,96.0,40.4,11.1,48.5,14191
Peel,111.0,17.0,53.0,61.3,9.4,29.3,13174
Limekilns,47.0,8.0,27.0,57.3,9.8,32.9,12330
Clear Creek,59.0,6.0,30.0,62.1,6.3,31.6,10925
Rockley,57.0,17.0,50.0,46.0,13.7,40.3,13380
Georges Plains,93.0,6.0,47.0,63.7,4.1,32.2,11602
Duramana,100.0,15.0,41.0,64.1,9.6,26.3,11330
Billywillinga,71.0,18.0,42.0,54.2,13.7,32.1,10357
Mount Rankin,155.0,28.0,85.0,57.8,10.4,31.7,12786
Rock Forest,77.0,18.0,50.0,53.1,12.4,34.5,13377
Evans Plains,69.0,4.0,41.0,60.5,3.5,36.0,11470
The Lagoon,97.0,7.0,48.0,63.8,4.6,31.6,13828
Wisemans Creek,36.0,6.0,38.0,45.0,7.5,47.5,14343
Yetholme,97.0,19.0,44.0,60.6,11.9,27.5,14513
Meadow Flat,145.0,29.0,50.0,64.7,12.9,22.3,12549
Tarana,77.0,11.0,24.0,68.8,9.8,21.4,13760
Glanmire (NSW),86.0,7.0,34.0,67.7,5.5,26.8,11640
Napoleon Reef,73.0,15.0,31.0,61.3,12.6,26.1,12893
Oberon,1037.0,276.0,914.0,46.6,12.4,41.0,13068
Black Springs (NSW),75.0,12.0,60.0,51.0,8.2,40.8,10389
Condobolin,1006.0,326.0,944.0,44.2,14.3,41.5,11002
Tullamore,184.0,20.0,93.0,62.0,6.7,31.3,13954
Lake Cargelligo,448.0,104.0,379.0,48.1,11.2,40.7,12242
Tullibigeal,96.0,15.0,44.0,61.9,9.7,28.4,13957
Ungarie,178.0,22.0,159.0,49.6,6.1,44.3,14011
Euabalong,64.0,7.0,49.0,53.3,5.8,40.8,11449
Fifield,47.0,6.0,24.0,61.0,7.8,31.2,11514
Tottenham (NSW),154.0,44.0,103.0,51.2,14.6,34.2,13923
Cowra,3368.0,775.0,2971.0,47.3,10.9,41.8,11099
Canowindra,782.0,132.0,659.0,49.7,8.4,41.9,10796
Woodstock (Cowra - NSW),234.0,67.0,208.0,46.0,13.2,40.9,14394
Gooloogong,138.0,49.0,103.0,47.6,16.9,35.5,11709
Mandurama,149.0,20.0,97.0,56.0,7.5,36.5,12467
Wattamondara,74.0,21.0,66.0,46.0,13.0,41.0,14190
Darbys Falls,94.0,23.0,77.0,48.5,11.9,39.7,11205
Billimari,51.0,7.0,25.0,61.4,8.4,30.1,10354
Moorbel,83.0,15.0,65.0,50.9,9.2,39.9,12709
Forbes (NSW),2734.0,582.0,2379.0,48.0,10.2,41.8,11536
Eugowra,321.0,41.0,202.0,56.9,7.3,35.8,11454
Warroo (NSW),58.0,10.0,26.0,61.7,10.6,27.7,14175
Bedgerabong,52.0,8.0,23.0,62.7,9.6,27.7,10247
Grenfell,965.0,156.0,748.0,51.6,8.3,40.0,11776
Greenethorpe,80.0,23.0,47.0,53.3,15.3,31.3,11760
Quandialla,71.0,10.0,48.0,55.0,7.8,37.2,13290
Caragabal,70.0,7.0,35.0,62.5,6.2,31.2,10806
Parkes (NSW),3580.0,832.0,3219.0,46.9,10.9,42.2,13151
Cookamidgera,48.0,6.0,50.0,46.2,5.8,48.1,11016
Peak Hill (NSW),330.0,70.0,379.0,42.4,9.0,48.7,13166
Trundle,232.0,49.0,183.0,50.0,10.6,39.4,13940
Bogan Gate,86.0,14.0,67.0,51.5,8.4,40.1,10438
Alectown,77.0,8.0,43.0,60.2,6.2,33.6,10029
West Wyalong,1049.0,191.0,800.0,51.4,9.4,39.2,14256
Wyalong,248.0,62.0,158.0,53.0,13.2,33.8,14431
