,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%),SSC_CODE
Gumly Gumly,111.0,24.0,78.0,52.1,11.3,36.6,11800
Tatton,1025.0,125.0,571.0,59.6,7.3,33.2,13775
Estella,745.0,148.0,700.0,46.8,9.3,43.9,11444
Boorooma,282.0,80.0,209.0,49.4,14.0,36.6,10501
North Wagga Wagga,223.0,43.0,206.0,47.2,9.1,43.6,13014
Cartwrights Hill,90.0,6.0,47.0,62.9,4.2,32.9,10839
Springvale (Wagga Wagga - NSW),815.0,35.0,339.0,68.5,2.9,28.5,13628
Lloyd,339.0,64.0,171.0,59.1,11.1,29.8,12365
Bourkelands,1141.0,209.0,621.0,57.9,10.6,31.5,10523
Glenfield Park,1706.0,465.0,1522.0,46.2,12.6,41.2,11665
Tolland,966.0,247.0,1149.0,40.9,10.5,48.6,13887
Mount Austin,945.0,334.0,1424.0,35.0,12.4,52.7,12748
Turvey Park,1086.0,274.0,1015.0,45.7,11.5,42.7,13983
San Isidore,161.0,32.0,95.0,55.9,11.1,33.0,13469
Ashmont,793.0,324.0,1425.0,31.2,12.7,56.1,10101
Wagga Wagga,1833.0,578.0,2675.0,36.0,11.4,52.6,14083
Kapooka,59.0,20.0,8.0,67.8,23.0,9.2,12068
Moorong,61.0,14.0,33.0,56.5,13.0,30.6,12715
Ladysmith,135.0,23.0,87.0,55.1,9.4,35.5,12233
The Rock,469.0,63.0,317.0,55.2,7.4,37.3,13838
Forest Hill (NSW),639.0,182.0,522.0,47.6,13.6,38.9,11544
Collingullie,74.0,15.0,54.0,51.7,10.5,37.8,10976
Lockhart,404.0,42.0,300.0,54.2,5.6,40.2,12369
Pleasant Hills,50.0,6.0,28.0,59.5,7.1,33.3,13228
Ganmain,304.0,45.0,189.0,56.5,8.4,35.1,11585
Matong,53.0,8.0,42.0,51.5,7.8,40.8,12523
Yerong Creek,119.0,12.0,81.0,56.1,5.7,38.2,14508
Uranquinty,336.0,64.0,214.0,54.7,10.4,34.9,14055
Currawarna,54.0,15.0,49.0,45.8,12.7,41.5,11178
Oura,77.0,31.0,39.0,52.4,21.1,26.5,13102
Eunanoreenya,80.0,13.0,26.0,67.2,10.9,21.8,11457
Gobbagombalin,160.0,86.0,85.0,48.3,26.0,25.7,11689
Brucedale,78.0,10.0,47.0,57.8,7.4,34.8,10613
Downside,57.0,10.0,27.0,60.6,10.6,28.7,11285
Euberta,62.0,6.0,29.0,63.9,6.2,29.9,11451
Marrar,147.0,27.0,80.0,57.9,10.6,31.5,12503
Coolamon,755.0,165.0,521.0,52.4,11.5,36.2,11025
