,Preschool,Primary - Government,Primary - Catholic,Primary - other non Government,Secondary - Government,Secondary - Catholic,Secondary - other non Government,Technical or further education institution,University or tertiary institution,Other,Not stated,Preschool (%),Primary - Government (%),Primary - Catholic (%),Primary - other non Government (%),Secondary - Government (%),Secondary - Catholic (%),Secondary - other non Government (%),Technical or further education institution (%),University or tertiary institution (%),Other (%),Not stated (%),SSC_CODE
Marchmont,5.0,17.0,15.0,0.0,4.0,0.0,4.0,3.0,9.0,0.0,9.0,7.6,25.8,22.7,0.0,6.1,0.0,6.1,4.5,13.6,0.0,13.6,12487
Nanima,0.0,6.0,9.0,9.0,6.0,4.0,7.0,7.0,5.0,0.0,4.0,0.0,10.5,15.8,15.8,10.5,7.0,12.3,12.3,8.8,0.0,7.0,12891
Young,211.0,707.0,272.0,20.0,402.0,260.0,31.0,200.0,140.0,44.0,820.0,6.8,22.8,8.8,0.6,12.9,8.4,1.0,6.4,4.5,1.4,26.4,14518
Kingsvale,3.0,5.0,4.0,3.0,0.0,5.0,0.0,0.0,3.0,0.0,12.0,8.6,14.3,11.4,8.6,0.0,14.3,0.0,0.0,8.6,0.0,34.3,12161
Burrangong,0.0,16.0,8.0,0.0,14.0,13.0,0.0,6.0,0.0,0.0,13.0,0.0,22.9,11.4,0.0,20.0,18.6,0.0,8.6,0.0,0.0,18.6,10706
Wyangala,0.0,6.0,0.0,0.0,10.0,0.0,3.0,3.0,0.0,0.0,21.0,0.0,14.0,0.0,0.0,23.3,0.0,7.0,7.0,0.0,0.0,48.8,14434
Wombat,3.0,18.0,9.0,0.0,3.0,9.0,0.0,0.0,3.0,0.0,17.0,4.8,29.0,14.5,0.0,4.8,14.5,0.0,0.0,4.8,0.0,27.4,14364
Cunningar,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,12.0,15.4,11.5,0.0,0.0,0.0,11.5,0.0,0.0,15.4,0.0,46.2,11164
Harden,41.0,81.0,57.0,0.0,79.0,33.0,0.0,37.0,30.0,13.0,179.0,7.5,14.7,10.4,0.0,14.4,6.0,0.0,6.7,5.5,2.4,32.5,11851
Boorowa,27.0,88.0,38.0,0.0,79.0,23.0,3.0,35.0,20.0,3.0,133.0,6.0,19.6,8.5,0.0,17.6,5.1,0.7,7.8,4.5,0.7,29.6,10503
Murrumburrah,0.0,4.0,5.0,0.0,6.0,3.0,0.0,5.0,4.0,0.0,11.0,0.0,10.5,13.2,0.0,15.8,7.9,0.0,13.2,10.5,0.0,28.9,12863
Frogmore,0.0,0.0,3.0,0.0,7.0,0.0,0.0,3.0,5.0,0.0,4.0,0.0,0.0,13.6,0.0,31.8,0.0,0.0,13.6,22.7,0.0,18.2,11571
Maimuru,4.0,20.0,0.0,0.0,3.0,12.0,0.0,6.0,8.0,0.0,5.0,6.9,34.5,0.0,0.0,5.2,20.7,0.0,10.3,13.8,0.0,8.6,12444
Bendick Murrell,0.0,6.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,20.0,0.0,15.8,0.0,0.0,21.1,0.0,0.0,10.5,0.0,0.0,52.6,10290
Koorawatha,3.0,31.0,3.0,0.0,15.0,10.0,0.0,6.0,3.0,0.0,59.0,2.3,23.8,2.3,0.0,11.5,7.7,0.0,4.6,2.3,0.0,45.4,12192
Monteagle,3.0,12.0,6.0,0.0,6.0,8.0,0.0,5.0,4.0,0.0,8.0,5.8,23.1,11.5,0.0,11.5,15.4,0.0,9.6,7.7,0.0,15.4,12683
Murringo,3.0,25.0,6.0,0.0,18.0,5.0,3.0,16.0,4.0,0.0,18.0,3.1,25.5,6.1,0.0,18.4,5.1,3.1,16.3,4.1,0.0,18.4,12858
Thuddungra,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,15.0,0.0,35.0,0.0,0.0,0.0,35.0,0.0,15.0,13853
Bribbaree,0.0,15.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,44.1,8.8,0.0,8.8,8.8,0.0,0.0,0.0,0.0,29.4,10566
Avoca Beach,110.0,389.0,35.0,58.0,224.0,85.0,98.0,67.0,199.0,23.0,239.0,7.2,25.5,2.3,3.8,14.7,5.6,6.4,4.4,13.0,1.5,15.7,10114
Copacabana,59.0,217.0,23.0,37.0,129.0,43.0,49.0,55.0,107.0,21.0,133.0,6.8,24.9,2.6,4.2,14.8,4.9,5.6,6.3,12.3,2.4,15.2,11056
Killcare Heights,18.0,56.0,9.0,12.0,24.0,10.0,5.0,13.0,27.0,4.0,14.0,9.4,29.2,4.7,6.2,12.5,5.2,2.6,6.8,14.1,2.1,7.3,12134
Macmasters Beach,29.0,66.0,15.0,21.0,51.0,29.0,40.0,21.0,55.0,3.0,46.0,7.7,17.6,4.0,5.6,13.6,7.7,10.6,5.6,14.6,0.8,12.2,12432
Empire Bay,56.0,155.0,29.0,22.0,110.0,38.0,49.0,43.0,74.0,18.0,130.0,7.7,21.4,4.0,3.0,15.2,5.2,6.8,5.9,10.2,2.5,18.0,11415
Wagstaffe,4.0,16.0,0.0,7.0,0.0,3.0,4.0,3.0,7.0,0.0,10.0,7.4,29.6,0.0,13.0,0.0,5.6,7.4,5.6,13.0,0.0,18.5,14084
St Huberts Island,18.0,39.0,14.0,0.0,18.0,16.0,13.0,10.0,32.0,4.0,62.0,8.0,17.3,6.2,0.0,8.0,7.1,5.8,4.4,14.2,1.8,27.4,13638
Killcare,9.0,39.0,3.0,3.0,7.0,3.0,11.0,12.0,20.0,0.0,43.0,6.0,26.0,2.0,2.0,4.7,2.0,7.3,8.0,13.3,0.0,28.7,12133
Bensville,65.0,179.0,59.0,42.0,102.0,70.0,40.0,52.0,88.0,16.0,87.0,8.1,22.4,7.4,5.2,12.8,8.8,5.0,6.5,11.0,2.0,10.9,10297
Daleys Point,6.0,21.0,5.0,7.0,4.0,4.0,9.0,11.0,27.0,3.0,43.0,4.3,15.0,3.6,5.0,2.9,2.9,6.4,7.9,19.3,2.1,30.7,11189
Pretty Beach (Central Coast - NSW),9.0,23.0,0.0,3.0,15.0,10.0,4.0,6.0,9.0,0.0,25.0,8.7,22.1,0.0,2.9,14.4,9.6,3.8,5.8,8.7,0.0,24.0,13261
Hardys Bay,3.0,14.0,0.0,0.0,6.0,3.0,4.0,0.0,11.0,3.0,21.0,4.6,21.5,0.0,0.0,9.2,4.6,6.2,0.0,16.9,4.6,32.3,11852
Kincumber South,9.0,4.0,6.0,8.0,14.0,0.0,0.0,4.0,14.0,3.0,44.0,8.5,3.8,5.7,7.5,13.2,0.0,0.0,3.8,13.2,2.8,41.5,12142
Somersby,14.0,48.0,13.0,23.0,58.0,13.0,21.0,19.0,33.0,10.0,88.0,4.1,14.1,3.8,6.8,17.1,3.8,6.2,5.6,9.7,2.9,25.9,13571
Calga,3.0,13.0,0.0,0.0,3.0,0.0,0.0,4.0,8.0,0.0,11.0,7.1,31.0,0.0,0.0,7.1,0.0,0.0,9.5,19.0,0.0,26.2,10752
Woy Woy,173.0,554.0,95.0,32.0,405.0,76.0,33.0,195.0,264.0,64.0,812.0,6.4,20.5,3.5,1.2,15.0,2.8,1.2,7.2,9.8,2.4,30.0,14425
Patonga,0.0,4.0,3.0,0.0,3.0,3.0,3.0,4.0,6.0,0.0,15.0,0.0,9.8,7.3,0.0,7.3,7.3,7.3,9.8,14.6,0.0,36.6,13160
Mooney Mooney,7.0,18.0,0.0,0.0,12.0,0.0,0.0,9.0,13.0,0.0,5.0,10.9,28.1,0.0,0.0,18.8,0.0,0.0,14.1,20.3,0.0,7.8,12704
Kariong,147.0,542.0,58.0,50.0,444.0,61.0,56.0,140.0,244.0,57.0,417.0,6.6,24.5,2.6,2.3,20.0,2.8,2.5,6.3,11.0,2.6,18.8,12074
Peats Ridge,8.0,20.0,11.0,0.0,20.0,8.0,5.0,8.0,7.0,3.0,43.0,6.0,15.0,8.3,0.0,15.0,6.0,3.8,6.0,5.3,2.3,32.3,13172
Central Mangrove,0.0,7.0,4.0,0.0,14.0,3.0,0.0,6.0,9.0,0.0,27.0,0.0,10.0,5.7,0.0,20.0,4.3,0.0,8.6,12.9,0.0,38.6,10876
Mangrove Mountain,11.0,55.0,3.0,3.0,30.0,9.0,17.0,8.0,16.0,4.0,41.0,5.6,27.9,1.5,1.5,15.2,4.6,8.6,4.1,8.1,2.0,20.8,12472
Kulnura,6.0,28.0,4.0,6.0,22.0,12.0,13.0,18.0,19.0,6.0,47.0,3.3,15.5,2.2,3.3,12.2,6.6,7.2,9.9,10.5,3.3,26.0,12206
Mount White,0.0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,6.0,0.0,18.0,0.0,16.7,0.0,8.3,0.0,0.0,8.3,0.0,16.7,0.0,50.0,12803
Wendoree Park,3.0,12.0,0.0,4.0,10.0,0.0,0.0,3.0,3.0,0.0,13.0,6.2,25.0,0.0,8.3,20.8,0.0,0.0,6.2,6.2,0.0,27.1,14224
Wisemans Ferry,3.0,13.0,0.0,0.0,15.0,0.0,0.0,6.0,3.0,0.0,25.0,4.6,20.0,0.0,0.0,23.1,0.0,0.0,9.2,4.6,0.0,38.5,14344
Gunderman,0.0,11.0,0.0,0.0,5.0,0.0,3.0,3.0,3.0,0.0,54.0,0.0,13.9,0.0,0.0,6.3,0.0,3.8,3.8,3.8,0.0,68.4,11808
Spencer,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,3.0,0.0,83.0,0.0,8.6,0.0,0.0,8.6,0.0,0.0,8.6,2.6,0.0,71.6,13607
Erina,63.0,134.0,57.0,70.0,105.0,44.0,77.0,72.0,135.0,23.0,315.0,5.8,12.2,5.2,6.4,9.6,4.0,7.0,6.6,12.3,2.1,28.8,11433
Green Point (Central Coast - NSW),96.0,248.0,83.0,151.0,211.0,88.0,133.0,99.0,263.0,37.0,335.0,5.5,14.2,4.8,8.7,12.1,5.0,7.6,5.7,15.1,2.1,19.2,11753
Matcham,22.0,51.0,15.0,46.0,31.0,11.0,56.0,13.0,43.0,5.0,46.0,6.5,15.0,4.4,13.6,9.1,3.2,16.5,3.8,12.7,1.5,13.6,12520
Holgate,14.0,67.0,3.0,43.0,28.0,11.0,61.0,11.0,53.0,3.0,44.0,4.1,19.8,0.9,12.7,8.3,3.3,18.0,3.3,15.7,0.9,13.0,11921
Lisarow,118.0,407.0,45.0,54.0,287.0,72.0,60.0,112.0,223.0,27.0,177.0,7.5,25.7,2.8,3.4,18.1,4.6,3.8,7.1,14.1,1.7,11.2,12343
Erina Heights,10.0,27.0,16.0,18.0,22.0,5.0,14.0,8.0,14.0,3.0,25.0,6.2,16.7,9.9,11.1,13.6,3.1,8.6,4.9,8.6,1.9,15.4,11434
Terrigal,212.0,551.0,204.0,150.0,464.0,143.0,172.0,187.0,529.0,74.0,522.0,6.6,17.2,6.4,4.7,14.5,4.5,5.4,5.8,16.5,2.3,16.3,13805
Springfield (Central Coast - NSW),92.0,258.0,81.0,59.0,201.0,57.0,65.0,89.0,157.0,30.0,199.0,7.1,20.0,6.3,4.6,15.6,4.4,5.0,6.9,12.2,2.3,15.5,13623
North Gosford,55.0,219.0,50.0,27.0,162.0,17.0,26.0,88.0,154.0,19.0,262.0,5.1,20.3,4.6,2.5,15.0,1.6,2.4,8.2,14.3,1.8,24.3,12991
West Gosford,16.0,43.0,10.0,4.0,45.0,0.0,5.0,20.0,44.0,9.0,94.0,5.5,14.8,3.4,1.4,15.5,0.0,1.7,6.9,15.2,3.1,32.4,14244
Gosford,37.0,111.0,16.0,3.0,73.0,3.0,6.0,98.0,214.0,39.0,371.0,3.8,11.4,1.6,0.3,7.5,0.3,0.6,10.1,22.0,4.0,38.2,11722
East Gosford,78.0,208.0,54.0,37.0,108.0,52.0,34.0,92.0,178.0,17.0,308.0,6.7,17.8,4.6,3.2,9.3,4.5,2.9,7.9,15.3,1.5,26.4,11349
Point Frederick,23.0,62.0,26.0,33.0,49.0,31.0,23.0,34.0,91.0,11.0,190.0,4.0,10.8,4.5,5.8,8.6,5.4,4.0,5.9,15.9,1.9,33.2,13232
Kincumber,145.0,420.0,86.0,80.0,318.0,59.0,57.0,97.0,224.0,43.0,310.0,7.9,22.8,4.7,4.4,17.3,3.2,3.1,5.3,12.2,2.3,16.9,12141
Picketts Valley,5.0,20.0,3.0,6.0,11.0,0.0,9.0,0.0,11.0,0.0,5.0,7.1,28.6,4.3,8.6,15.7,0.0,12.9,0.0,15.7,0.0,7.1,13198
Narara,182.0,560.0,70.0,66.0,411.0,45.0,65.0,177.0,329.0,61.0,373.0,7.8,23.9,3.0,2.8,17.6,1.9,2.8,7.6,14.1,2.6,15.9,12895
Niagara Park,59.0,254.0,17.0,28.0,164.0,16.0,15.0,50.0,104.0,10.0,138.0,6.9,29.7,2.0,3.3,19.2,1.9,1.8,5.8,12.2,1.2,16.1,12961
Mount Elliot (NSW),3.0,11.0,0.0,3.0,3.0,0.0,5.0,0.0,13.0,0.0,5.0,7.0,25.6,0.0,7.0,7.0,0.0,11.6,0.0,30.2,0.0,11.6,12757
Point Clare,77.0,284.0,27.0,36.0,162.0,39.0,46.0,66.0,128.0,16.0,147.0,7.5,27.6,2.6,3.5,15.8,3.8,4.5,6.4,12.5,1.6,14.3,13231
Tascott,30.0,113.0,13.0,7.0,60.0,15.0,12.0,41.0,77.0,11.0,69.0,6.7,25.2,2.9,1.6,13.4,3.3,2.7,9.2,17.2,2.5,15.4,13772
Koolewong,14.0,36.0,8.0,6.0,32.0,15.0,8.0,16.0,41.0,7.0,36.0,6.4,16.4,3.7,2.7,14.6,6.8,3.7,7.3,18.7,3.2,16.4,12185
Saratoga,96.0,282.0,43.0,57.0,149.0,53.0,50.0,70.0,153.0,23.0,191.0,8.2,24.2,3.7,4.9,12.8,4.5,4.3,6.0,13.1,2.0,16.4,13492
Davistown,42.0,132.0,33.0,27.0,81.0,24.0,16.0,45.0,49.0,5.0,138.0,7.1,22.3,5.6,4.6,13.7,4.1,2.7,7.6,8.3,0.8,23.3,11221
Yattalunga (NSW),15.0,32.0,6.0,17.0,22.0,6.0,13.0,7.0,18.0,4.0,19.0,9.4,20.1,3.8,10.7,13.8,3.8,8.2,4.4,11.3,2.5,11.9,14496
North Avoca,38.0,124.0,25.0,48.0,79.0,22.0,56.0,48.0,114.0,15.0,125.0,5.5,17.9,3.6,6.9,11.4,3.2,8.1,6.9,16.4,2.2,18.0,12980
Umina Beach,319.0,1035.0,190.0,91.0,781.0,117.0,72.0,306.0,426.0,95.0,1254.0,6.8,22.1,4.1,1.9,16.7,2.5,1.5,6.5,9.1,2.0,26.8,14007
Booker Bay,25.0,26.0,17.0,3.0,31.0,14.0,4.0,25.0,19.0,4.0,110.0,9.0,9.4,6.1,1.1,11.2,5.0,1.4,9.0,6.8,1.4,39.6,10477
Ettalong Beach,65.0,207.0,35.0,15.0,142.0,14.0,15.0,62.0,126.0,29.0,364.0,6.1,19.3,3.3,1.4,13.2,1.3,1.4,5.8,11.7,2.7,33.9,11445
Pearl Beach,5.0,18.0,6.0,3.0,3.0,3.0,5.0,5.0,11.0,3.0,53.0,4.3,15.7,5.2,2.6,2.6,2.6,4.3,4.3,9.6,2.6,46.1,13171
Wamberal,179.0,432.0,129.0,137.0,286.0,90.0,134.0,117.0,272.0,41.0,325.0,8.4,20.2,6.0,6.4,13.4,4.2,6.3,5.5,12.7,1.9,15.2,14122
Forresters Beach,67.0,203.0,31.0,38.0,116.0,29.0,31.0,51.0,95.0,15.0,133.0,8.3,25.1,3.8,4.7,14.3,3.6,3.8,6.3,11.7,1.9,16.4,11549
Tumbi Umbi,100.0,294.0,118.0,62.0,233.0,91.0,42.0,87.0,156.0,31.0,301.0,6.6,19.4,7.8,4.1,15.4,6.0,2.8,5.7,10.3,2.0,19.9,13962
Horsfield Bay,5.0,22.0,8.0,3.0,21.0,8.0,11.0,17.0,25.0,4.0,55.0,2.8,12.3,4.5,1.7,11.7,4.5,6.1,9.5,14.0,2.2,30.7,11941
Phegans Bay,5.0,23.0,3.0,6.0,26.0,3.0,8.0,6.0,20.0,3.0,25.0,3.9,18.0,2.3,4.7,20.3,2.3,6.2,4.7,15.6,2.3,19.5,13192
Woy Woy Bay,10.0,9.0,5.0,0.0,11.0,5.0,0.0,14.0,15.0,0.0,23.0,10.9,9.8,5.4,0.0,12.0,5.4,0.0,15.2,16.3,0.0,25.0,14426
Blackwall (NSW),39.0,100.0,21.0,8.0,75.0,13.0,14.0,42.0,51.0,14.0,151.0,7.4,18.9,4.0,1.5,14.2,2.5,2.7,8.0,9.7,2.7,28.6,10399
Wyoming,178.0,617.0,123.0,66.0,517.0,66.0,56.0,226.0,348.0,55.0,756.0,5.9,20.5,4.1,2.2,17.2,2.2,1.9,7.5,11.6,1.8,25.1,14445
Bateau Bay,276.0,784.0,146.0,52.0,512.0,142.0,60.0,200.0,354.0,59.0,802.0,8.1,23.1,4.3,1.5,15.1,4.2,1.8,5.9,10.5,1.7,23.7,10227
Killarney Vale,154.0,524.0,113.0,27.0,349.0,60.0,24.0,145.0,151.0,36.0,572.0,7.1,24.3,5.2,1.3,16.2,2.8,1.1,6.7,7.0,1.7,26.5,12131
Blue Haven,161.0,533.0,95.0,61.0,368.0,96.0,38.0,143.0,130.0,50.0,334.0,8.0,26.5,4.7,3.0,18.3,4.8,1.9,7.1,6.5,2.5,16.6,10415
San Remo (NSW),93.0,388.0,41.0,14.0,262.0,30.0,18.0,109.0,98.0,41.0,257.0,6.9,28.7,3.0,1.0,19.4,2.2,1.3,8.1,7.3,3.0,19.0,13470
Doyalson,5.0,30.0,0.0,0.0,21.0,5.0,0.0,3.0,8.0,3.0,8.0,6.0,36.1,0.0,0.0,25.3,6.0,0.0,3.6,9.6,3.6,9.6,11286
Buff Point,72.0,186.0,70.0,29.0,114.0,41.0,17.0,73.0,87.0,9.0,261.0,7.5,19.4,7.3,3.0,11.9,4.3,1.8,7.6,9.1,0.9,27.2,10645
Budgewoi,71.0,187.0,50.0,12.0,114.0,27.0,11.0,62.0,80.0,12.0,235.0,8.2,21.7,5.8,1.4,13.2,3.1,1.3,7.2,9.3,1.4,27.3,10642
Halekulani,52.0,136.0,45.0,13.0,93.0,27.0,7.0,40.0,60.0,16.0,157.0,8.0,21.1,7.0,2.0,14.4,4.2,1.1,6.2,9.3,2.5,24.3,11830
Glenning Valley,51.0,117.0,47.0,29.0,78.0,43.0,19.0,52.0,93.0,6.0,93.0,8.1,18.6,7.5,4.6,12.4,6.8,3.0,8.3,14.8,1.0,14.8,11672
Berkeley Vale,207.0,632.0,115.0,52.0,458.0,80.0,39.0,167.0,246.0,63.0,366.0,8.5,26.1,4.7,2.1,18.9,3.3,1.6,6.9,10.1,2.6,15.1,10304
Chittaway Point,22.0,50.0,18.0,8.0,44.0,21.0,5.0,24.0,26.0,3.0,36.0,8.6,19.5,7.0,3.1,17.1,8.2,1.9,9.3,10.1,1.2,14.0,10912
Chittaway Bay,35.0,156.0,14.0,13.0,119.0,23.0,8.0,39.0,64.0,9.0,100.0,6.0,26.9,2.4,2.2,20.5,4.0,1.4,6.7,11.0,1.6,17.2,10911
Kanwal,73.0,277.0,40.0,13.0,214.0,49.0,16.0,76.0,89.0,40.0,336.0,6.0,22.6,3.3,1.1,17.5,4.0,1.3,6.2,7.3,3.3,27.5,12067
Wyongah,47.0,148.0,24.0,21.0,117.0,27.0,19.0,47.0,71.0,16.0,148.0,6.9,21.6,3.5,3.1,17.1,3.9,2.8,6.9,10.4,2.3,21.6,14448
Tuggerawong,25.0,81.0,18.0,12.0,60.0,11.0,8.0,26.0,42.0,9.0,87.0,6.6,21.4,4.7,3.2,15.8,2.9,2.1,6.9,11.1,2.4,23.0,13951
Rocky Point (NSW),3.0,12.0,9.0,3.0,13.0,9.0,8.0,6.0,6.0,3.0,12.0,3.6,14.3,10.7,3.6,15.5,10.7,9.5,7.1,7.1,3.6,14.3,13388
Gorokan,161.0,543.0,68.0,34.0,321.0,53.0,34.0,154.0,206.0,50.0,739.0,6.8,23.0,2.9,1.4,13.6,2.2,1.4,6.5,8.7,2.1,31.3,11721
Charmhaven,52.0,190.0,25.0,18.0,133.0,17.0,16.0,56.0,50.0,28.0,200.0,6.6,24.2,3.2,2.3,16.9,2.2,2.0,7.1,6.4,3.6,25.5,10889
Lake Haven,50.0,157.0,40.0,12.0,174.0,19.0,8.0,65.0,67.0,20.0,394.0,5.0,15.6,4.0,1.2,17.3,1.9,0.8,6.5,6.7,2.0,39.2,12247
Jilliby,33.0,59.0,30.0,51.0,54.0,45.0,56.0,32.0,67.0,7.0,112.0,6.0,10.8,5.5,9.3,9.9,8.2,10.3,5.9,12.3,1.3,20.5,12027
Yarramalong,10.0,26.0,9.0,7.0,11.0,7.0,3.0,6.0,14.0,5.0,9.0,9.3,24.3,8.4,6.5,10.3,6.5,2.8,5.6,13.1,4.7,8.4,14475
Cedar Brush Creek,4.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,12.0,11.8,8.8,8.8,8.8,0.0,8.8,8.8,0.0,8.8,0.0,35.3,10867
Wyong Creek,8.0,15.0,5.0,10.0,13.0,7.0,8.0,12.0,15.0,3.0,47.0,5.6,10.5,3.5,7.0,9.1,4.9,5.6,8.4,10.5,2.1,32.9,14447
Dooralong,9.0,14.0,0.0,6.0,12.0,7.0,9.0,14.0,8.0,0.0,26.0,8.6,13.3,0.0,5.7,11.4,6.7,8.6,13.3,7.6,0.0,24.8,11276
Lake Munmorah,93.0,253.0,119.0,15.0,213.0,65.0,23.0,94.0,122.0,27.0,362.0,6.7,18.3,8.6,1.1,15.4,4.7,1.7,6.8,8.8,1.9,26.1,12253
Chain Valley Bay,35.0,113.0,31.0,7.0,84.0,24.0,6.0,37.0,41.0,11.0,186.0,6.1,19.7,5.4,1.2,14.6,4.2,1.0,6.4,7.1,1.9,32.3,10880
Kingfisher Shores,4.0,6.0,7.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,7.0,11.4,17.1,20.0,0.0,22.9,0.0,0.0,8.6,0.0,0.0,20.0,12146
Mannering Park,46.0,175.0,19.0,12.0,122.0,16.0,16.0,52.0,52.0,8.0,149.0,6.9,26.2,2.8,1.8,18.3,2.4,2.4,7.8,7.8,1.2,22.3,12477
Doyalson North,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,37.0,6.1,6.1,0.0,0.0,6.1,0.0,0.0,6.1,0.0,0.0,75.5,11287
Ourimbah,90.0,354.0,11.0,37.0,195.0,33.0,59.0,95.0,195.0,18.0,172.0,7.1,28.1,0.9,2.9,15.5,2.6,4.7,7.5,15.5,1.4,13.7,13103
Fountaindale,17.0,37.0,7.0,19.0,26.0,12.0,22.0,22.0,33.0,4.0,31.0,7.4,16.1,3.0,8.3,11.3,5.2,9.6,9.6,14.3,1.7,13.5,11554
Palm Grove (NSW),0.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,17.0,0.0,14.8,0.0,0.0,11.1,0.0,0.0,11.1,0.0,0.0,63.0,13133
Gwandalan,79.0,189.0,50.0,13.0,160.0,40.0,14.0,63.0,72.0,14.0,172.0,9.1,21.8,5.8,1.5,18.5,4.6,1.6,7.3,8.3,1.6,19.9,11824
Summerland Point,50.0,150.0,55.0,7.0,118.0,34.0,11.0,26.0,41.0,13.0,90.0,8.4,25.2,9.2,1.2,19.8,5.7,1.8,4.4,6.9,2.2,15.1,13690
Long Jetty,125.0,337.0,106.0,29.0,245.0,60.0,22.0,116.0,153.0,42.0,519.0,7.1,19.2,6.0,1.7,14.0,3.4,1.3,6.6,8.7,2.4,29.6,12378
Shelly Beach (NSW),29.0,58.0,41.0,12.0,46.0,15.0,4.0,27.0,40.0,3.0,86.0,8.0,16.1,11.4,3.3,12.7,4.2,1.1,7.5,11.1,0.8,23.8,13535
Blue Bay,13.0,38.0,15.0,3.0,24.0,15.0,3.0,19.0,37.0,3.0,88.0,5.0,14.7,5.8,1.2,9.3,5.8,1.2,7.4,14.3,1.2,34.1,10414
Toowoon Bay,9.0,19.0,9.0,3.0,3.0,6.0,0.0,5.0,19.0,0.0,57.0,6.9,14.6,6.9,2.3,2.3,4.6,0.0,3.8,14.6,0.0,43.8,13916
The Entrance North,26.0,61.0,24.0,7.0,62.0,14.0,3.0,27.0,35.0,0.0,111.0,7.0,16.5,6.5,1.9,16.8,3.8,0.8,7.3,9.5,0.0,30.0,13819
Magenta (NSW),0.0,3.0,4.0,8.0,5.0,0.0,4.0,0.0,8.0,0.0,5.0,0.0,8.1,10.8,21.6,13.5,0.0,10.8,0.0,21.6,0.0,13.5,12441
The Entrance,52.0,179.0,29.0,11.0,131.0,8.0,12.0,71.0,79.0,22.0,458.0,4.9,17.0,2.8,1.0,12.5,0.8,1.1,6.7,7.5,2.1,43.5,13818
Toukley,62.0,175.0,82.0,26.0,117.0,50.0,15.0,75.0,81.0,11.0,564.0,4.9,13.9,6.5,2.1,9.3,4.0,1.2,6.0,6.4,0.9,44.8,13925
Canton Beach,13.0,34.0,12.0,3.0,25.0,3.0,6.0,11.0,18.0,4.0,138.0,4.9,12.7,4.5,1.1,9.4,1.1,2.2,4.1,6.7,1.5,51.7,10798
Noraville,59.0,131.0,88.0,16.0,102.0,39.0,15.0,71.0,107.0,15.0,213.0,6.9,15.3,10.3,1.9,11.9,4.6,1.8,8.3,12.5,1.8,24.9,12974
Norah Head,21.0,27.0,34.0,11.0,19.0,31.0,11.0,13.0,41.0,3.0,32.0,8.6,11.1,14.0,4.5,7.8,12.8,4.5,5.3,16.9,1.2,13.2,12973
Kangy Angy,12.0,18.0,5.0,5.0,5.0,4.0,4.0,5.0,7.0,5.0,23.0,12.9,19.4,5.4,5.4,5.4,4.3,4.3,5.4,7.5,5.4,24.7,12064
Tuggerah,20.0,63.0,3.0,5.0,50.0,17.0,6.0,16.0,37.0,9.0,42.0,7.5,23.5,1.1,1.9,18.7,6.3,2.2,6.0,13.8,3.4,15.7,13950
Wyong,49.0,238.0,52.0,19.0,173.0,32.0,30.0,92.0,108.0,35.0,393.0,4.0,19.5,4.3,1.6,14.2,2.6,2.5,7.5,8.8,2.9,32.2,14446
Mardi,84.0,282.0,51.0,37.0,144.0,106.0,34.0,78.0,142.0,39.0,281.0,6.6,22.1,4.0,2.9,11.3,8.3,2.7,6.1,11.1,3.1,22.0,12488
Tacoma South,3.0,6.0,8.0,0.0,5.0,14.0,3.0,11.0,8.0,0.0,5.0,4.8,9.5,12.7,0.0,7.9,22.2,4.8,17.5,12.7,0.0,7.9,13725
Hamlyn Terrace,174.0,413.0,135.0,98.0,253.0,162.0,78.0,130.0,145.0,35.0,349.0,8.8,20.9,6.8,5.0,12.8,8.2,4.0,6.6,7.4,1.8,17.7,11843
Woongarrah,149.0,432.0,159.0,106.0,223.0,174.0,83.0,91.0,130.0,28.0,252.0,8.2,23.6,8.7,5.8,12.2,9.5,4.5,5.0,7.1,1.5,13.8,14415
Warnervale,16.0,35.0,7.0,20.0,30.0,15.0,14.0,11.0,22.0,8.0,25.0,7.9,17.2,3.4,9.9,14.8,7.4,6.9,5.4,10.8,3.9,12.3,14154
Wallarah,5.0,22.0,10.0,5.0,17.0,8.0,0.0,3.0,8.0,3.0,41.0,4.1,18.0,8.2,4.1,13.9,6.6,0.0,2.5,6.6,2.5,33.6,14109
Wadalba,73.0,221.0,71.0,57.0,158.0,49.0,16.0,66.0,95.0,19.0,95.0,7.9,24.0,7.7,6.2,17.2,5.3,1.7,7.2,10.3,2.1,10.3,14080
Watanobbi,85.0,296.0,43.0,13.0,219.0,33.0,21.0,112.0,107.0,33.0,252.0,7.0,24.4,3.5,1.1,18.0,2.7,1.7,9.2,8.8,2.7,20.8,14181
