,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%)
Halekulani,58.0,37.0,48.0,--,--,--
Hamilton East,54.0,49.0,31.0,--,--,--
Hamilton North,44.0,36.0,34.0,--,--,--
Hamilton South,52.0,41.0,46.0,--,--,--
Harrington Park,43.0,40.0,22.0,--,--,--
Harris Park,33.0,30.0,29.0,--,--,--
Haymarket,33.0,28.0,25.0,--,--,--
Heathcote (NSW),50.0,41.0,27.0,--,--,--
Hebersham,50.0,37.0,29.0,--,--,--
Heckenberg,48.0,41.0,30.0,--,--,--
Henley,51.0,45.0,29.0,--,--,--
Highfields (NSW),51.0,36.0,37.0,--,--,--
Hillsborough (Lake Macquarie - NSW),52.0,35.0,25.0,--,--,--
Hillsdale,42.0,33.0,32.0,--,--,--
Hinchinbrook (NSW),46.0,41.0,25.0,--,--,--
Holmesville,50.0,38.0,30.0,--,--,--
Holsworthy,41.0,32.0,24.0,--,--,--
Homebush (NSW),42.0,30.0,27.0,--,--,--
Homebush West,36.0,28.0,28.0,--,--,--
Horningsea Park,42.0,37.0,23.0,--,--,--
Hornsby,43.0,34.0,35.0,--,--,--
Hornsby Heights,50.0,44.0,27.0,--,--,--
Horsley,45.0,34.0,24.0,--,--,--
Hoxton Park,43.0,35.0,25.0,--,--,--
Hunters Hill,51.0,44.0,34.0,--,--,--
Huntleys Point,63.0,38.0,29.0,--,--,--
Hurlstone Park,51.0,43.0,37.0,--,--,--
Hurstville,46.0,31.0,28.0,--,--,--
Hurstville Grove,51.0,38.0,25.0,--,--,--
Illawong,52.0,44.0,22.0,--,--,--
Ingleburn,49.0,38.0,32.0,--,--,--
Ingleside,52.0,43.0,36.0,--,--,--
Islington,47.0,33.0,36.0,--,--,--
Jamisontown,51.0,30.0,33.0,--,--,--
Jannali,45.0,37.0,39.0,--,--,--
Jesmond,42.0,27.0,28.0,--,--,--
Jewells,56.0,44.0,29.0,--,--,--
Kahibah,50.0,34.0,45.0,--,--,--
Kanahooka,57.0,35.0,38.0,--,--,--
Kangaroo Point (NSW),57.0,43.0,25.0,--,--,--
Kareela,54.0,43.0,28.0,--,--,--
Kariong,46.0,36.0,25.0,--,--,--
Kearns,48.0,31.0,24.0,--,--,--
Keiraville,54.0,39.0,23.0,--,--,--
Kellyville,46.0,39.0,23.0,--,--,--
Kembla Grange,52.0,31.0,22.0,--,--,--
Kensington (NSW),45.0,30.0,27.0,--,--,--
Kilaben Bay,56.0,38.0,29.0,--,--,--
Killarney Heights,51.0,49.0,26.0,--,--,--
Killarney Vale,53.0,38.0,40.0,--,--,--
Kincumber,54.0,39.0,46.0,--,--,--
Kincumber South,66.0,37.0,66.0,--,--,--
Kings Langley,50.0,37.0,27.0,--,--,--
Kings Park (NSW),44.0,32.0,32.0,--,--,--
Kingsford (NSW),47.0,30.0,25.0,--,--,--
Kingsgrove,52.0,37.0,34.0,--,--,--
Kingswood (Tamworth - NSW),53.0,48.0,27.0,--,--,--
Kirrawee,50.0,35.0,38.0,--,--,--
Kirribilli,50.0,33.0,40.0,--,--,--
Kogarah,41.0,35.0,31.0,--,--,--
Koolewong,56.0,33.0,41.0,--,--,--
Koonawarra,53.0,37.0,33.0,--,--,--
Kotara,51.0,34.0,37.0,--,--,--
Kotara South,55.0,32.0,36.0,--,--,--
Kurnell,46.0,39.0,39.0,--,--,--
Kyeemagh,55.0,57.0,40.0,--,--,--
Kyle Bay,53.0,41.0,25.0,--,--,--
La Perouse,60.0,38.0,41.0,--,--,--
Lake Haven,57.0,38.0,48.0,--,--,--
Lake Heights,56.0,34.0,43.0,--,--,--
Lake Illawarra,54.0,35.0,47.0,--,--,--
Lakemba,40.0,36.0,30.0,--,--,--
Lalor Park,46.0,35.0,41.0,--,--,--
Lambton,49.0,35.0,38.0,--,--,--
Lane Cove,45.0,34.0,39.0,--,--,--
Lane Cove North,43.0,32.0,34.0,--,--,--
Lane Cove West,47.0,41.0,36.0,--,--,--
Lansvale,50.0,45.0,33.0,--,--,--
Lapstone,57.0,39.0,28.0,--,--,--
Lavender Bay,53.0,32.0,35.0,--,--,--
Leichhardt (NSW),41.0,37.0,37.0,--,--,--
Leonay,53.0,45.0,29.0,--,--,--
Lethbridge Park,52.0,38.0,37.0,--,--,--
Lewisham (NSW),48.0,38.0,38.0,--,--,--
Liberty Grove,39.0,40.0,28.0,--,--,--
Lidcombe,45.0,34.0,28.0,--,--,--
Lilli Pilli (Sutherland - NSW),55.0,41.0,22.0,--,--,--
Lilyfield,44.0,40.0,43.0,--,--,--
Lindfield,50.0,39.0,27.0,--,--,--
Linley Point,53.0,59.0,22.0,--,--,--
Lisarow,49.0,38.0,24.0,--,--,--
Little Bay,50.0,40.0,42.0,--,--,--
Liverpool,44.0,34.0,33.0,--,--,--
Long Jetty,57.0,35.0,47.0,--,--,--
Long Point (Campbelltown - NSW),60.0,22.0,40.0,--,--,--
Longueville,53.0,46.0,22.0,--,--,--
Lugarno,54.0,43.0,25.0,--,--,--
Lurnea,47.0,36.0,32.0,--,--,--
Macquarie Fields,48.0,37.0,32.0,--,--,--
Macquarie Hills,48.0,33.0,26.0,--,--,--
Macquarie Links,47.0,53.0,23.0,--,--,--
Macquarie Park,36.0,29.0,32.0,--,--,--
Malabar,54.0,44.0,43.0,--,--,--
Mangerton,49.0,36.0,32.0,--,--,--
Manly (NSW),45.0,32.0,36.0,--,--,--
Manly Vale,44.0,33.0,37.0,--,--,--
Marayong,49.0,35.0,33.0,--,--,--
Mardi,47.0,36.0,31.0,--,--,--
Marmong Point,50.0,43.0,40.0,--,--,--
Maroubra,49.0,33.0,32.0,--,--,--
Marrickville,47.0,38.0,36.0,--,--,--
Marsfield,47.0,30.0,27.0,--,--,--
Maryland (Newcastle - NSW),48.0,36.0,27.0,--,--,--
Maryville,48.0,34.0,41.0,--,--,--
Mascot,47.0,33.0,31.0,--,--,--
Matraville,51.0,40.0,35.0,--,--,--
Mayfield (Newcastle - NSW),48.0,32.0,41.0,--,--,--
Mayfield East,43.0,32.0,38.0,--,--,--
Mayfield West,49.0,36.0,40.0,--,--,--
Mays Hill,44.0,27.0,30.0,--,--,--
McMahons Point,52.0,32.0,39.0,--,--,--
Meadowbank (NSW),34.0,29.0,31.0,--,--,--
Melrose Park (NSW),48.0,39.0,35.0,--,--,--
Menai,48.0,40.0,23.0,--,--,--
Merewether,50.0,32.0,29.0,--,--,--
