,Worked full-time,Worked part-time,Away from work,Unemployed,Worked full-time (%),Worked part-time (%),Away from work (%),Unemployed (%),SSC_CODE
Hawks Nest,205.0,134.0,22.0,42.0,50.9,33.3,5.5,10.4,11873
Karuah,244.0,167.0,25.0,49.0,50.3,34.4,5.2,10.1,12076
Medowie,2736.0,1455.0,291.0,250.0,57.8,30.7,6.1,5.3,12554
Salt Ash,275.0,183.0,30.0,34.0,52.7,35.1,5.7,6.5,13467
Williamtown,268.0,82.0,23.0,12.0,69.6,21.3,6.0,3.1,14299
Twelve Mile Creek,32.0,23.0,0.0,10.0,49.2,35.4,0.0,15.4,13988
Swan Bay (Port Stephens - NSW),77.0,55.0,10.0,9.0,51.0,36.4,6.6,6.0,13704
Muswellbrook,3155.0,1415.0,291.0,519.0,58.6,26.3,5.4,9.6,12868
Denman,476.0,237.0,60.0,34.0,59.0,29.4,7.4,4.2,11241
Gungal,49.0,29.0,3.0,15.0,51.0,30.2,3.1,15.6,11810
Martindale,53.0,23.0,7.0,3.0,61.6,26.7,8.1,3.5,12510
Castle Rock,61.0,24.0,0.0,3.0,69.3,27.3,0.0,3.4,10848
Aberdeen (NSW),544.0,303.0,58.0,66.0,56.0,31.2,6.0,6.8,10007
Wybong,27.0,7.0,5.0,7.0,58.7,15.2,10.9,15.2,14436
Sandy Hollow,46.0,18.0,3.0,0.0,68.7,26.9,4.5,0.0,13486
Muscle Creek,107.0,52.0,15.0,4.0,60.1,29.2,8.4,2.2,12867
McCullys Gap,80.0,35.0,6.0,3.0,64.5,28.2,4.8,2.4,12540
Scone,1592.0,802.0,140.0,116.0,60.1,30.3,5.3,4.4,13503
Middle Brook,82.0,33.0,4.0,3.0,67.2,27.0,3.3,2.5,12600
Dartbrook,33.0,22.0,0.0,0.0,60.0,40.0,0.0,0.0,11217
Segenhoe,92.0,26.0,5.0,0.0,74.8,21.1,4.1,0.0,13517
Rouchel,63.0,20.0,3.0,0.0,73.3,23.3,3.5,0.0,13422
Murrurundi,221.0,138.0,13.0,30.0,55.0,34.3,3.2,7.5,12864
Blandford,56.0,39.0,12.0,3.0,50.9,35.5,10.9,2.7,10406
Wingen,77.0,34.0,10.0,11.0,58.3,25.8,7.6,8.3,14331
Parkville (NSW),100.0,41.0,10.0,8.0,62.9,25.8,6.3,5.0,13154
Upper Dartbrook,44.0,21.0,10.0,3.0,56.4,26.9,12.8,3.8,14022
Gundy,66.0,27.0,6.0,3.0,64.7,26.5,5.9,2.9,11809
Moonan Flat,35.0,25.0,3.0,0.0,55.6,39.7,4.8,0.0,12697
Niangala,59.0,20.0,3.0,3.0,69.4,23.5,3.5,3.5,12962
Merriwa (NSW),429.0,226.0,51.0,39.0,57.6,30.3,6.8,5.2,12585
Moobi,77.0,20.0,5.0,0.0,75.5,19.6,4.9,0.0,12688
Dapto,2757.0,1479.0,274.0,367.0,56.5,30.3,5.6,7.5,11202
Kanahooka,1349.0,760.0,114.0,134.0,57.2,32.2,4.8,5.7,12055
Koonawarra,754.0,500.0,69.0,190.0,49.8,33.0,4.6,12.6,12187
Avondale (NSW),438.0,260.0,43.0,61.0,54.6,32.4,5.4,7.6,10116
Marshall Mount,38.0,28.0,3.0,3.0,52.8,38.9,4.2,4.2,12507
Haywards Bay,325.0,155.0,27.0,18.0,61.9,29.5,5.1,3.4,11880
Brownsville,129.0,61.0,15.0,28.0,55.4,26.2,6.4,12.0,10612
Horsley,2534.0,1315.0,200.0,207.0,59.5,30.9,4.7,4.9,11942
Wongawilli,46.0,23.0,7.0,3.0,58.2,29.1,8.9,3.8,14374
Kembla Grange,64.0,43.0,9.0,0.0,55.2,37.1,7.8,0.0,12092
Dombarton,50.0,29.0,6.0,0.0,58.8,34.1,7.1,0.0,11270
Port Kembla,1097.0,614.0,108.0,221.0,53.8,30.1,5.3,10.8,13245
Coniston,538.0,340.0,46.0,88.0,53.2,33.6,4.5,8.7,11010
Unanderra,1129.0,660.0,127.0,183.0,53.8,31.4,6.1,8.7,14008
Mount Kembla,320.0,192.0,27.0,19.0,57.3,34.4,4.8,3.4,12769
Kembla Heights,31.0,18.0,7.0,7.0,49.2,28.6,11.1,11.1,12093
Cordeaux Heights,1504.0,879.0,105.0,146.0,57.1,33.4,4.0,5.5,11070
Farmborough Heights,1254.0,698.0,105.0,102.0,58.1,32.3,4.9,4.7,11491
Berkeley,1666.0,976.0,204.0,284.0,53.2,31.2,6.5,9.1,10303
Cringila,364.0,214.0,51.0,89.0,50.7,29.8,7.1,12.4,11116
Lake Heights,885.0,514.0,64.0,141.0,55.2,32.0,4.0,8.8,12248
Warrawong,720.0,432.0,91.0,206.0,49.7,29.8,6.3,14.2,14167
Windang,542.0,351.0,46.0,68.0,53.8,34.9,4.6,6.8,14316
Primbee,398.0,208.0,38.0,65.0,56.1,29.3,5.4,9.2,13264
Mount Keira,502.0,276.0,32.0,40.0,59.1,32.5,3.8,4.7,12768
Bulli,1762.0,1037.0,134.0,135.0,57.4,33.8,4.4,4.4,10662
Bargo,1306.0,591.0,124.0,103.0,61.5,27.8,5.8,4.8,10198
Yerrinbool,361.0,190.0,22.0,22.0,60.7,31.9,3.7,3.7,14510
Wilton (NSW),1145.0,466.0,87.0,37.0,66.0,26.9,5.0,2.1,14311
Pheasants Nest,221.0,108.0,17.0,11.0,61.9,30.3,4.8,3.1,13191
Albion Park,3875.0,2145.0,331.0,386.0,57.5,31.8,4.9,5.7,10025
Calderwood,52.0,31.0,9.0,4.0,54.2,32.3,9.4,4.2,10750
Tullimbar,164.0,74.0,14.0,8.0,63.1,28.5,5.4,3.1,13958
Yellow Rock (Shellharbour - NSW),71.0,30.0,4.0,7.0,63.4,26.8,3.6,6.2,14503
Albion Park Rail,1725.0,1032.0,148.0,228.0,55.1,32.9,4.7,7.3,10026
Kiama,1644.0,1070.0,156.0,151.0,54.4,35.4,5.2,5.0,12116
Kiama Heights,204.0,139.0,21.0,22.0,52.8,36.0,5.4,5.7,12118
Bombo,24.0,19.0,10.0,3.0,42.9,33.9,17.9,5.4,10458
Kiama Downs,1385.0,854.0,140.0,124.0,55.3,34.1,5.6,5.0,12117
Minnamurra,191.0,113.0,23.0,11.0,56.5,33.4,6.8,3.3,12639
Gerringong,961.0,656.0,103.0,61.0,54.0,36.8,5.8,3.4,11606
Jamberoo,435.0,281.0,32.0,28.0,56.1,36.2,4.1,3.6,11998
Werri Beach,134.0,111.0,19.0,0.0,50.8,42.0,7.2,0.0,14233
Gerroa,154.0,118.0,15.0,13.0,51.3,39.3,5.0,4.3,11607
Curramore (NSW),43.0,42.0,3.0,3.0,47.3,46.2,3.3,3.3,11174
Jerrara,26.0,27.0,4.0,3.0,43.3,45.0,6.7,5.0,12017
Toolijooa,26.0,22.0,4.0,0.0,50.0,42.3,7.7,0.0,13903
Foxground,39.0,32.0,6.0,0.0,50.6,41.6,7.8,0.0,11558
Flinders (NSW),2015.0,1066.0,169.0,198.0,58.4,30.9,4.9,5.7,11534
Shellharbour,967.0,566.0,89.0,85.0,56.6,33.2,5.2,5.0,13533
Shell Cove,1650.0,942.0,136.0,170.0,56.9,32.5,4.7,5.9,13532
Barrack Point,177.0,104.0,16.0,11.0,57.5,33.8,5.2,3.6,10208
Dunmore (NSW),62.0,37.0,5.0,3.0,57.9,34.6,4.7,2.8,11323
Oak Flats,1649.0,993.0,175.0,211.0,54.5,32.8,5.8,7.0,13053
Blackbutt (NSW),888.0,592.0,88.0,113.0,52.8,35.2,5.2,6.7,10391
Shellharbour City Centre,34.0,15.0,0.0,0.0,69.4,30.6,0.0,0.0,13534
Warilla,1157.0,760.0,142.0,239.0,50.3,33.1,6.2,10.4,14151
Lake Illawarra,699.0,419.0,64.0,129.0,53.3,32.0,4.9,9.8,12250
Barrack Heights,1351.0,819.0,131.0,202.0,54.0,32.7,5.2,8.1,10207
Mount Warrigal,1055.0,657.0,83.0,202.0,52.8,32.9,4.2,10.1,12801
Fairy Meadow,1726.0,1164.0,172.0,313.0,51.1,34.5,5.1,9.3,11484
Balgownie,1446.0,878.0,148.0,110.0,56.0,34.0,5.7,4.3,10155
Gwynneville,527.0,550.0,73.0,215.0,38.6,40.3,5.3,15.8,11825
North Wollongong,671.0,429.0,81.0,209.0,48.3,30.9,5.8,15.0,13017
Mount Ousley,415.0,287.0,44.0,40.0,52.8,36.5,5.6,5.1,12782
Mount Pleasant (NSW),403.0,231.0,31.0,27.0,58.2,33.4,4.5,3.9,12784
Tarrawanna,481.0,310.0,56.0,49.0,53.7,34.6,6.2,5.5,13769
Corrimal,1724.0,967.0,157.0,185.0,56.8,31.9,5.2,6.1,11082
Towradgi,840.0,470.0,84.0,72.0,57.3,32.1,5.7,4.9,13929
Fernhill,201.0,130.0,14.0,33.0,53.2,34.4,3.7,8.7,11507
East Corrimal,956.0,551.0,74.0,120.0,56.2,32.4,4.4,7.1,11348
Bellambi,832.0,534.0,95.0,172.0,50.9,32.7,5.8,10.5,10264
West Wollongong,1262.0,827.0,97.0,175.0,53.5,35.0,4.1,7.4,14255
Keiraville,721.0,657.0,82.0,199.0,43.5,39.6,4.9,12.0,12085
Figtree,3119.0,1809.0,264.0,328.0,56.5,32.8,4.8,5.9,11515
Helensburgh,2098.0,1111.0,153.0,130.0,60.1,31.8,4.4,3.7,11890
Otford,134.0,64.0,9.0,3.0,63.8,30.5,4.3,1.4,13101
Stanwell Park,430.0,294.0,33.0,30.0,54.6,37.4,4.2,3.8,13653
Stanwell Tops,153.0,84.0,10.0,9.0,59.8,32.8,3.9,3.5,13654
Thirroul,1707.0,1031.0,158.0,128.0,56.4,34.1,5.2,4.2,13848
Austinmer,723.0,460.0,60.0,66.0,55.2,35.1,4.6,5.0,10108
Coledale,365.0,226.0,38.0,31.0,55.3,34.2,5.8,4.7,10966
Wombarra,293.0,144.0,13.0,16.0,62.9,30.9,2.8,3.4,14363
Scarborough (NSW),100.0,64.0,3.0,6.0,57.8,37.0,1.7,3.5,13500
Coalcliff,68.0,33.0,3.0,3.0,63.6,30.8,2.8,2.8,10944
Woonona,3310.0,1861.0,269.0,282.0,57.8,32.5,4.7,4.9,14416
Russell Vale,383.0,255.0,55.0,29.0,53.0,35.3,7.6,4.0,13448
Wollongong,4796.0,2855.0,405.0,808.0,54.1,32.2,4.6,9.1,14358
Mount Saint Thomas,428.0,217.0,39.0,49.0,58.4,29.6,5.3,6.7,12791
Mangerton,843.0,431.0,63.0,114.0,58.1,29.7,4.3,7.9,12468
Bulahdelah,262.0,210.0,29.0,44.0,48.1,38.5,5.3,8.1,10649
Wards River,27.0,28.0,3.0,10.0,39.7,41.2,4.4,14.7,14147
Stroud Road,62.0,30.0,5.0,7.0,59.6,28.8,4.8,6.7,13679
Stroud,208.0,141.0,17.0,23.0,53.5,36.2,4.4,5.9,13677
Girvan,37.0,25.0,4.0,8.0,50.0,33.8,5.4,10.8,11637
Nerong,10.0,11.0,3.0,3.0,37.0,40.7,11.1,11.1,12929
Allworth,55.0,11.0,3.0,5.0,74.3,14.9,4.1,6.8,10041
Bunyah,28.0,24.0,0.0,4.0,50.0,42.9,0.0,7.1,10690
Markwell,35.0,25.0,3.0,3.0,53.0,37.9,4.5,4.5,12493
Booral (NSW),121.0,58.0,3.0,11.0,62.7,30.1,1.6,5.7,10496
Limeburners Creek (Mid-Coast - NSW),78.0,50.0,3.0,9.0,55.7,35.7,2.1,6.4,12328
Forster (NSW),2194.0,1877.0,307.0,377.0,46.1,39.5,6.5,7.9,11550
Green Point (Mid-Coast - NSW),95.0,93.0,16.0,27.0,41.1,40.3,6.9,11.7,11755
Darawank,79.0,51.0,5.0,18.0,51.6,33.3,3.3,11.8,11203
Tarbuck Bay,35.0,26.0,3.0,6.0,50.0,37.1,4.3,8.6,13762
Nabiac,217.0,209.0,31.0,47.0,43.1,41.5,6.2,9.3,12885
Failford,75.0,76.0,6.0,10.0,44.9,45.5,3.6,6.0,11476
Coomba Park,60.0,61.0,6.0,32.0,37.7,38.4,3.8,20.1,11038
Smiths Lake,179.0,197.0,32.0,46.0,39.4,43.4,7.0,10.1,13563
Bungwahl,29.0,51.0,10.0,8.0,29.6,52.0,10.2,8.2,10687
Charlotte Bay,30.0,29.0,10.0,3.0,41.7,40.3,13.9,4.2,10887
Wootton,30.0,33.0,9.0,8.0,37.5,41.2,11.2,10.0,14417
Coolongolook,67.0,53.0,7.0,9.0,49.3,39.0,5.1,6.6,11032
Coomba Bay,15.0,16.0,4.0,4.0,38.5,41.0,10.3,10.3,11037
Minimbah,41.0,35.0,3.0,3.0,50.0,42.7,3.7,3.7,12636
Elizabeth Beach,50.0,44.0,4.0,3.0,49.5,43.6,4.0,3.0,11396
Blueys Beach,25.0,38.0,0.0,3.0,37.9,57.6,0.0,4.5,10420
Boomerang Beach,63.0,51.0,11.0,5.0,48.5,39.2,8.5,3.8,10487
Tuncurry,817.0,693.0,132.0,182.0,44.8,38.0,7.2,10.0,13969
South Kempsey,322.0,253.0,55.0,99.0,44.2,34.7,7.5,13.6,13588
West Kempsey,635.0,552.0,104.0,172.0,43.4,37.7,7.1,11.8,14247
Kempsey,70.0,60.0,11.0,28.0,41.4,35.5,6.5,16.6,12095
Frederickton,275.0,175.0,33.0,43.0,52.3,33.3,6.3,8.2,11561
Aldavilla,160.0,122.0,28.0,16.0,49.1,37.4,8.6,4.9,10028
Euroka,86.0,51.0,6.0,10.0,56.2,33.3,3.9,6.5,11464
Dondingalong,114.0,127.0,26.0,23.0,39.3,43.8,9.0,7.9,11272
Greenhill (NSW),101.0,79.0,15.0,16.0,47.9,37.4,7.1,7.6,11763
East Kempsey,266.0,211.0,30.0,31.0,49.4,39.2,5.6,5.8,11354
Verges Creek,61.0,29.0,5.0,9.0,58.7,27.9,4.8,8.7,14072
Yarravel,230.0,176.0,24.0,44.0,48.5,37.1,5.1,9.3,14483
Stuarts Point,91.0,104.0,20.0,36.0,36.3,41.4,8.0,14.3,13681
Barraganyatti,23.0,24.0,7.0,0.0,42.6,44.4,13.0,0.0,10209
Yarrahapinni,37.0,37.0,3.0,4.0,45.7,45.7,3.7,4.9,14474
Hat Head,50.0,48.0,6.0,4.0,46.3,44.4,5.6,3.7,11869
Kinchela,61.0,46.0,12.0,10.0,47.3,35.7,9.3,7.8,12140
Gladstone (NSW),80.0,47.0,9.0,19.0,51.6,30.3,5.8,12.3,11639
Smithtown,113.0,87.0,22.0,12.0,48.3,37.2,9.4,5.1,13564
Mungay Creek,18.0,18.0,0.0,3.0,46.2,46.2,0.0,7.7,12841
Willawarrin,31.0,29.0,8.0,8.0,40.8,38.2,10.5,10.5,14295
Temagog,41.0,30.0,8.0,15.0,43.6,31.9,8.5,16.0,13783
Turners Flat,41.0,30.0,3.0,3.0,53.2,39.0,3.9,3.9,13976
Millbank (NSW),22.0,16.0,0.0,7.0,48.9,35.6,0.0,15.6,12616
Hickeys Creek,20.0,19.0,8.0,3.0,40.0,38.0,16.0,6.0,11899
Belmore River,72.0,33.0,15.0,6.0,57.1,26.2,11.9,4.8,10280
Austral Eden,40.0,23.0,11.0,0.0,54.1,31.1,14.9,0.0,10110
Crescent Head,309.0,264.0,55.0,46.0,45.8,39.2,8.2,6.8,11114
Fishermans Reach,26.0,28.0,0.0,4.0,44.8,48.3,0.0,6.9,11524
Clybucca,33.0,36.0,3.0,3.0,44.0,48.0,4.0,4.0,10940
Bellimbopinni,26.0,24.0,3.0,4.0,45.6,42.1,5.3,7.0,10272
Collombatti,107.0,106.0,20.0,22.0,42.0,41.6,7.8,8.6,10979
Kundabung,141.0,81.0,20.0,14.0,55.1,31.6,7.8,5.5,12209
Sherwood (Kempsey - NSW),42.0,28.0,9.0,3.0,51.2,34.1,11.0,3.7,13537
Bellbrook,48.0,25.0,11.0,8.0,52.2,27.2,12.0,8.7,10270
Macksville,452.0,320.0,47.0,79.0,50.3,35.6,5.2,8.8,12430
North Macksville,108.0,80.0,16.0,16.0,49.1,36.4,7.3,7.3,12995
Way Way,53.0,45.0,4.0,12.0,46.5,39.5,3.5,10.5,14203
Scotts Head,157.0,125.0,25.0,33.0,46.2,36.8,7.4,9.7,13508
Gumma,99.0,54.0,13.0,9.0,56.6,30.9,7.4,5.1,11801
Nambucca Heads,807.0,733.0,112.0,215.0,43.2,39.3,6.0,11.5,12887
Hyland Park,94.0,72.0,17.0,17.0,47.0,36.0,8.5,8.5,11968
Bowraville,142.0,181.0,22.0,41.0,36.8,46.9,5.7,10.6,10537
Valla Beach,249.0,197.0,34.0,31.0,48.7,38.6,6.7,6.1,14068
South Arm (Nambucca - NSW),42.0,50.0,10.0,4.0,39.6,47.2,9.4,3.8,13575
Newee Creek,96.0,72.0,5.0,11.0,52.2,39.1,2.7,6.0,12952
Congarinni North,67.0,66.0,14.0,9.0,42.9,42.3,9.0,5.8,11006
Congarinni,68.0,59.0,3.0,3.0,51.1,44.4,2.3,2.3,11005
Talarm,47.0,40.0,9.0,11.0,43.9,37.4,8.4,10.3,13728
Warrell Creek,59.0,40.0,6.0,6.0,53.2,36.0,5.4,5.4,14170
Eungai Creek,84.0,57.0,16.0,29.0,45.2,30.6,8.6,15.6,11458
Eungai Rail,31.0,26.0,6.0,18.0,38.3,32.1,7.4,22.2,11459
Allgomera,20.0,20.0,4.0,4.0,41.7,41.7,8.3,8.3,10040
Yarranbella,34.0,36.0,3.0,3.0,44.7,47.4,3.9,3.9,14478
Utungun,25.0,29.0,12.0,8.0,33.8,39.2,16.2,10.8,14062
Upper Taylors Arm,17.0,22.0,0.0,3.0,40.5,52.4,0.0,7.1,14045
Taylors Arm,20.0,24.0,3.0,4.0,39.2,47.1,5.9,7.8,13776
Argents Hill,43.0,34.0,6.0,3.0,50.0,39.5,7.0,3.5,10079
Missabotti,38.0,50.0,5.0,11.0,36.5,48.1,4.8,10.6,12649
South West Rocks,727.0,531.0,123.0,118.0,48.5,35.4,8.2,7.9,13600
Arakoon,86.0,65.0,13.0,14.0,48.3,36.5,7.3,7.9,10069
Jerseyville,16.0,23.0,0.0,0.0,41.0,59.0,0.0,0.0,12022
Lord Howe Island,118.0,81.0,26.0,3.0,51.8,35.5,11.4,1.3,12387
Lake Cathie,706.0,541.0,56.0,95.0,50.5,38.7,4.0,6.8,12243
Bonny Hills,694.0,468.0,78.0,65.0,53.2,35.9,6.0,5.0,10470
North Haven (NSW),231.0,180.0,36.0,50.0,46.5,36.2,7.2,10.1,12992
Kendall,218.0,170.0,21.0,36.0,49.0,38.2,4.7,8.1,12096
West Haven,146.0,99.0,14.0,22.0,52.0,35.2,5.0,7.8,14245
Laurieton,188.0,196.0,30.0,61.0,39.6,41.3,6.3,12.8,12283
Kew (NSW),182.0,144.0,19.0,24.0,49.3,39.0,5.1,6.5,12109
Herons Creek,58.0,40.0,11.0,10.0,48.7,33.6,9.2,8.4,11897
Upsalls Creek,22.0,15.0,3.0,6.0,47.8,32.6,6.5,13.0,14049
Logans Crossing,26.0,19.0,4.0,4.0,49.1,35.8,7.5,7.5,12373
Lorne (NSW),57.0,45.0,5.0,4.0,51.4,40.5,4.5,3.6,12390
Lakewood,149.0,138.0,26.0,31.0,43.3,40.1,7.6,9.0,12259
Dunbogan,175.0,128.0,23.0,37.0,48.2,35.3,6.3,10.2,11310
Johns River,66.0,53.0,7.0,12.0,47.8,38.4,5.1,8.7,12037
Camden Head,22.0,24.0,3.0,3.0,42.3,46.2,5.8,5.8,10771
Port Macquarie,9859.0,6616.0,869.0,1223.0,53.1,35.6,4.7,6.6,13246
Lake Innes,119.0,63.0,17.0,7.0,57.8,30.6,8.3,3.4,12251
Fernbank Creek,30.0,28.0,6.0,4.0,44.1,41.2,8.8,5.9,11505
Riverside (NSW),61.0,36.0,18.0,14.0,47.3,27.9,14.0,10.9,13367
Thrumster,140.0,72.0,12.0,3.0,61.7,31.7,5.3,1.3,13852
North Shore (NSW),79.0,74.0,13.0,10.0,44.9,42.0,7.4,5.7,13006
Telegraph Point,170.0,108.0,21.0,14.0,54.3,34.5,6.7,4.5,13781
Blackmans Point,38.0,14.0,3.0,3.0,65.5,24.1,5.2,5.2,10395
Gum Scrub,30.0,17.0,6.0,3.0,53.6,30.4,10.7,5.4,11797
Cooperabung,81.0,50.0,5.0,4.0,57.9,35.7,3.6,2.9,11046
Rollands Plains,38.0,27.0,0.0,3.0,55.9,39.7,0.0,4.4,13392
Upper Rollands Plains,35.0,20.0,9.0,8.0,48.6,27.8,12.5,11.1,14043
Pembrooke,34.0,26.0,6.0,0.0,51.5,39.4,9.1,0.0,13180
Frazers Creek,44.0,29.0,0.0,3.0,57.9,38.2,0.0,3.9,11560
Mortons Creek,80.0,44.0,11.0,4.0,57.6,31.7,7.9,2.9,12731
Brombin,39.0,11.0,8.0,0.0,67.2,19.0,13.8,0.0,10593
Long Flat (NSW),24.0,24.0,3.0,3.0,44.4,44.4,5.6,5.6,12377
Byabarra,77.0,66.0,8.0,5.0,49.4,42.3,5.1,3.2,10727
Ellenborough,38.0,24.0,4.0,5.0,53.5,33.8,5.6,7.0,11401
Comboyne,127.0,48.0,18.0,17.0,60.5,22.9,8.6,8.1,10992
Wauchope,1206.0,758.0,143.0,218.0,51.9,32.6,6.2,9.4,14197
Yippin Creek,46.0,35.0,4.0,8.0,49.5,37.6,4.3,8.6,14515
Rosewood (Port Macquarie-Hastings - NSW),68.0,41.0,4.0,10.0,55.3,33.3,3.3,8.1,13414
Beechwood,128.0,104.0,14.0,23.0,47.6,38.7,5.2,8.6,10248
Redbank (NSW),94.0,59.0,10.0,12.0,53.7,33.7,5.7,6.9,13336
Crosslands,132.0,77.0,4.0,9.0,59.5,34.7,1.8,4.1,11127
King Creek,403.0,258.0,59.0,39.0,53.1,34.0,7.8,5.1,12145
Sancrox,162.0,108.0,16.0,9.0,54.9,36.6,5.4,3.1,13471
Gloucester,543.0,397.0,66.0,93.0,49.4,36.1,6.0,8.5,11685
Craven,22.0,18.0,5.0,5.0,44.0,36.0,10.0,10.0,11107
Stratford (NSW),28.0,20.0,0.0,5.0,52.8,37.7,0.0,9.4,13672
Forbesdale,38.0,33.0,6.0,4.0,46.9,40.7,7.4,4.9,11539
Barrington (NSW),74.0,57.0,13.0,5.0,49.7,38.3,8.7,3.4,10216
Bowman,24.0,28.0,0.0,3.0,43.6,50.9,0.0,5.5,10531
Diamond Beach,180.0,159.0,25.0,35.0,45.1,39.8,6.3,8.8,11251
Manning Point,27.0,21.0,3.0,12.0,42.9,33.3,4.8,19.0,12478
Mitchells Island,93.0,72.0,15.0,17.0,47.2,36.5,7.6,8.6,12652
Oxley Island,68.0,52.0,6.0,6.0,51.5,39.4,4.5,4.5,13109
Old Bar,787.0,615.0,112.0,141.0,47.6,37.2,6.8,8.5,13073
Black Head,143.0,100.0,13.0,21.0,51.6,36.1,4.7,7.6,10384
Red Head,104.0,73.0,14.0,16.0,50.2,35.3,6.8,7.7,13329
Rainbow Flat,144.0,113.0,21.0,27.0,47.2,37.0,6.9,8.9,13305
Hallidays Point,110.0,106.0,12.0,9.0,46.4,44.7,5.1,3.8,11832
Wallabi Point,172.0,130.0,13.0,17.0,51.8,39.2,3.9,5.1,14099
Koorainghat,42.0,37.0,8.0,11.0,42.9,37.8,8.2,11.2,12191
Tallwoods Village,133.0,115.0,7.0,11.0,50.0,43.2,2.6,4.1,13737
Taree,2697.0,1992.0,333.0,675.0,47.3,35.0,5.8,11.8,13764
Cundletown,413.0,318.0,56.0,59.0,48.8,37.6,6.6,7.0,11161
Taree South,63.0,39.0,7.0,16.0,50.4,31.2,5.6,12.8,13765
Pampoolah,69.0,61.0,14.0,12.0,44.2,39.1,9.0,7.7,13142
Glenthorne,44.0,24.0,9.0,4.0,54.3,29.6,11.1,4.9,11680
Tinonee,249.0,169.0,24.0,31.0,52.6,35.7,5.1,6.6,13876
Harrington,377.0,330.0,48.0,98.0,44.2,38.7,5.6,11.5,11858
Wherrol Flat,68.0,56.0,12.0,16.0,44.7,36.8,7.9,10.5,14271
Coopernook,94.0,85.0,14.0,32.0,41.8,37.8,6.2,14.2,11047
Moto,19.0,22.0,9.0,4.0,35.2,40.7,16.7,7.4,12742
Moorland (NSW),83.0,81.0,16.0,25.0,40.5,39.5,7.8,12.2,12714
Hannam Vale,47.0,28.0,0.0,4.0,59.5,35.4,0.0,5.1,11849
Stewarts River,24.0,25.0,3.0,3.0,43.6,45.5,5.5,5.5,13659
Upper Lansdowne,108.0,89.0,23.0,19.0,45.2,37.2,9.6,7.9,14033
Lansdowne (Mid-Coast - NSW),96.0,78.0,14.0,29.0,44.2,35.9,6.5,13.4,12273
Kundle Kundle,46.0,32.0,8.0,3.0,51.7,36.0,9.0,3.4,12211
Killabakh,56.0,37.0,10.0,12.0,48.7,32.2,8.7,10.4,12128
Cedar Party,70.0,60.0,12.0,9.0,46.4,39.7,7.9,6.0,10870
Marlee,47.0,39.0,16.0,6.0,43.5,36.1,14.8,5.6,12494
Elands,28.0,21.0,0.0,13.0,45.2,33.9,0.0,21.0,11388
Mount George (NSW),46.0,38.0,13.0,16.0,40.7,33.6,11.5,14.2,12761
Killawarra (NSW),38.0,29.0,5.0,0.0,52.8,40.3,6.9,0.0,12132
Burrell Creek,50.0,40.0,9.0,4.0,48.5,38.8,8.7,3.9,10709
Bootawa,39.0,25.0,3.0,12.0,49.4,31.6,3.8,15.2,10504
Mondrook,34.0,25.0,9.0,0.0,50.0,36.8,13.2,0.0,12676
Hillville,54.0,49.0,16.0,13.0,40.9,37.1,12.1,9.8,11913
Kimbriki,31.0,29.0,12.0,0.0,43.1,40.3,16.7,0.0,12139
Belbora,29.0,21.0,3.0,3.0,51.8,37.5,5.4,5.4,10256
Krambach,68.0,65.0,8.0,14.0,43.9,41.9,5.2,9.0,12202
Possum Brush,32.0,23.0,0.0,3.0,55.2,39.7,0.0,5.2,13251
Dyers Crossing,79.0,54.0,15.0,11.0,49.7,34.0,9.4,6.9,11338
Firefly,56.0,43.0,6.0,8.0,49.6,38.1,5.3,7.1,11521
Coralville,16.0,20.0,0.0,5.0,39.0,48.8,0.0,12.2,11064
Wingham,990.0,695.0,181.0,200.0,47.9,33.6,8.8,9.7,14332
Thurgoona,2579.0,1504.0,219.0,222.0,57.0,33.2,4.8,4.9,13856
East Albury,1893.0,962.0,121.0,169.0,60.2,30.6,3.8,5.4,11344
Wirlinga,45.0,23.0,0.0,0.0,66.2,33.8,0.0,0.0,14337
North Albury,1387.0,854.0,139.0,242.0,52.9,32.6,5.3,9.2,12977
Lavington,2916.0,1852.0,311.0,512.0,52.2,33.1,5.6,9.2,12287
Glenroy (Albury - NSW),928.0,583.0,82.0,101.0,54.8,34.4,4.8,6.0,11678
Hamilton Valley,185.0,94.0,13.0,20.0,59.3,30.1,4.2,6.4,11842
Albury,1353.0,822.0,116.0,137.0,55.7,33.9,4.8,5.6,10027
South Albury,403.0,219.0,47.0,70.0,54.5,29.6,6.4,9.5,13573
West Albury,930.0,563.0,82.0,106.0,55.3,33.5,4.9,6.3,14239
Splitters Creek,89.0,57.0,7.0,3.0,57.1,36.5,4.5,1.9,13610
Jindera,616.0,361.0,64.0,51.0,56.4,33.1,5.9,4.7,12032
Holbrook,381.0,241.0,49.0,31.0,54.3,34.3,7.0,4.4,11920
Table Top,437.0,276.0,43.0,19.0,56.4,35.6,5.5,2.5,13722
Little Billabong,49.0,14.0,7.0,0.0,70.0,20.0,10.0,0.0,12350
Gerogery,177.0,94.0,18.0,9.0,59.4,31.5,6.0,3.0,11605
Brocklesby,53.0,23.0,6.0,6.0,60.2,26.1,6.8,6.8,10584
Walla Walla,217.0,112.0,28.0,31.0,55.9,28.9,7.2,8.0,14097
Glenellen,44.0,34.0,8.0,0.0,51.2,39.5,9.3,0.0,11663
Burrumbuttock,112.0,68.0,6.0,11.0,56.9,34.5,3.0,5.6,10716
