,Personal,Family,Household,Personal (%),Family (%),Household (%)
South Turramurra,763.0,2564.0,2343.0,--,--,--
South Wentworthville,522.0,1375.0,1181.0,--,--,--
Speers Point,556.0,1487.0,1160.0,--,--,--
Springfield (Gosford - NSW),548.0,1496.0,1290.0,--,--,--
Springwood (NSW),610.0,1772.0,1337.0,--,--,--
St Andrews (NSW),605.0,1551.0,1504.0,--,--,--
St Clair (Penrith - NSW),666.0,1708.0,1670.0,--,--,--
St Helens Park,621.0,1454.0,1382.0,--,--,--
St Huberts Island,504.0,1342.0,1044.0,--,--,--
St Ives (NSW),787.0,2652.0,2478.0,--,--,--
St Ives Chase,763.0,2617.0,2601.0,--,--,--
St Johns Park,376.0,1155.0,1172.0,--,--,--
St Leonards (NSW),1228.0,2595.0,2212.0,--,--,--
St Marys (NSW),501.0,1197.0,996.0,--,--,--
St Peters (NSW),889.0,2098.0,1786.0,--,--,--
Stanhope Gardens,859.0,2279.0,2140.0,--,--,--
Stanmore (NSW),890.0,2309.0,1804.0,--,--,--
Stockton (NSW),508.0,1363.0,1072.0,--,--,--
Strathfield (NSW),548.0,1684.0,1470.0,--,--,--
Strathfield South,565.0,1714.0,1475.0,--,--,--
Summer Hill (Ashfield - NSW),822.0,2108.0,1570.0,--,--,--
Surry Hills,986.0,2448.0,1760.0,--,--,--
Sutherland (NSW),781.0,1751.0,1375.0,--,--,--
Swansea (NSW),387.0,945.0,708.0,--,--,--
Swansea Heads,575.0,1625.0,1480.0,--,--,--
Sydenham (NSW),607.0,1464.0,1423.0,--,--,--
Sydney,639.0,1658.0,1488.0,--,--,--
Sylvania,610.0,1782.0,1421.0,--,--,--
Sylvania Waters,690.0,1863.0,1660.0,--,--,--
Tacoma,538.0,1552.0,1375.0,--,--,--
Tacoma South,529.0,1416.0,1125.0,--,--,--
Tamarama,1308.0,2856.0,2666.0,--,--,--
Taren Point,576.0,1612.0,1246.0,--,--,--
Tarrawanna,417.0,1353.0,1002.0,--,--,--
Tascott,551.0,1521.0,1231.0,--,--,--
Tempe,691.0,1754.0,1615.0,--,--,--
Teralba,437.0,1154.0,907.0,--,--,--
Terrey Hills,702.0,2098.0,1902.0,--,--,--
Terrigal,618.0,1589.0,1323.0,--,--,--
The Entrance,448.0,833.0,699.0,--,--,--
The Entrance North,506.0,1048.0,893.0,--,--,--
The Hill,786.0,2166.0,1459.0,--,--,--
The Junction,698.0,1750.0,1159.0,--,--,--
Thirroul,663.0,1966.0,1625.0,--,--,--
Thornleigh,712.0,2220.0,1964.0,--,--,--
Tighes Hill,551.0,1293.0,996.0,--,--,--
Tingira Heights,612.0,1554.0,1445.0,--,--,--
Toongabbie (NSW),608.0,1557.0,1407.0,--,--,--
Toowoon Bay,502.0,1194.0,804.0,--,--,--
Toronto,396.0,996.0,816.0,--,--,--
Toukley,422.0,963.0,710.0,--,--,--
Towradgi,474.0,1512.0,979.0,--,--,--
Tregear,363.0,831.0,768.0,--,--,--
Tuggerah,504.0,1163.0,1064.0,--,--,--
Tuggerawong,467.0,1303.0,962.0,--,--,--
Tumbi Umbi,532.0,1408.0,1151.0,--,--,--
Turramurra,782.0,2640.0,2293.0,--,--,--
Turrella,482.0,1310.0,1296.0,--,--,--
Ultimo,487.0,1559.0,1098.0,--,--,--
Umina Beach,474.0,1184.0,917.0,--,--,--
Unanderra,386.0,1042.0,795.0,--,--,--
Valentine (NSW),645.0,1916.0,1653.0,--,--,--
Valley Heights,660.0,1863.0,1680.0,--,--,--
Vaucluse,941.0,2727.0,2425.0,--,--,--
Villawood,311.0,789.0,586.0,--,--,--
Voyager Point,853.0,2408.0,2551.0,--,--,--
Wahroonga,789.0,2616.0,2381.0,--,--,--
Waitara,688.0,1731.0,1413.0,--,--,--
Wakeley,412.0,1220.0,1236.0,--,--,--
Wallsend,470.0,1277.0,979.0,--,--,--
Wamberal,662.0,1771.0,1552.0,--,--,--
Warabrook,536.0,1532.0,1233.0,--,--,--
Waratah (NSW),485.0,1371.0,940.0,--,--,--
Waratah West,415.0,1070.0,954.0,--,--,--
Wareemba,693.0,1950.0,1634.0,--,--,--
Warilla,373.0,920.0,730.0,--,--,--
Warners Bay,541.0,1388.0,1055.0,--,--,--
Warrawee,879.0,2780.0,2658.0,--,--,--
Warrawong,340.0,805.0,646.0,--,--,--
Warriewood,768.0,2125.0,1944.0,--,--,--
Warrimoo,730.0,2031.0,1740.0,--,--,--
Warwick Farm,358.0,904.0,716.0,--,--,--
Watanobbi,447.0,1143.0,973.0,--,--,--
Waterloo (NSW),535.0,1492.0,905.0,--,--,--
Watsons Bay,928.0,2788.0,2166.0,--,--,--
Wattle Grove (NSW),814.0,2034.0,1938.0,--,--,--
Waverley (NSW),838.0,2490.0,1724.0,--,--,--
Waverton,1224.0,2759.0,2292.0,--,--,--
Wentworthville,561.0,1520.0,1314.0,--,--,--
Werrington,565.0,1254.0,1078.0,--,--,--
Werrington County,674.0,1662.0,1605.0,--,--,--
Werrington Downs,694.0,1798.0,1725.0,--,--,--
West Gosford,485.0,1059.0,790.0,--,--,--
West Hoxton,661.0,1823.0,1872.0,--,--,--
West Pennant Hills,744.0,2574.0,2449.0,--,--,--
West Pymble,787.0,2652.0,2512.0,--,--,--
West Ryde,654.0,1679.0,1392.0,--,--,--
West Wallsend,495.0,1158.0,1057.0,--,--,--
West Wollongong,507.0,1394.0,1068.0,--,--,--
Westleigh,767.0,2501.0,2339.0,--,--,--
Westmead,626.0,1559.0,1475.0,--,--,--
Wetherill Park,452.0,1332.0,1309.0,--,--,--
Whalan,364.0,906.0,793.0,--,--,--
Whitebridge,585.0,1717.0,1412.0,--,--,--
Wickham (NSW),610.0,1383.0,1093.0,--,--,--
Wiley Park,370.0,905.0,876.0,--,--,--
Willmot,366.0,809.0,774.0,--,--,--
Willoughby (NSW),930.0,2587.0,2124.0,--,--,--
Willoughby East,877.0,2813.0,2691.0,--,--,--
Windale,340.0,721.0,566.0,--,--,--
Windang,383.0,911.0,677.0,--,--,--
Winmalee,673.0,1880.0,1692.0,--,--,--
Winston Hills,680.0,1914.0,1682.0,--,--,--
Wollongong,500.0,1315.0,966.0,--,--,--
Wollstonecraft,1184.0,2766.0,2235.0,--,--,--
Wombarra,756.0,2200.0,1780.0,--,--,--
Woodbine (NSW),585.0,1443.0,1419.0,--,--,--
Woodcroft (NSW),731.0,2043.0,2067.0,--,--,--
Woodpark,592.0,1473.0,1285.0,--,--,--
Woodrising,537.0,1266.0,1200.0,--,--,--
Woollahra,1144.0,2780.0,2173.0,--,--,--
Woolloomooloo,878.0,1934.0,1383.0,--,--,--
Woolooware,723.0,2081.0,1627.0,--,--,--
Woolwich,962.0,2735.0,2359.0,--,--,--
Woonona,539.0,1633.0,1237.0,--,--,--
Woronora,772.0,2135.0,1907.0,--,--,--
Woronora Heights,784.0,2560.0,2581.0,--,--,--
Woy Woy,421.0,1086.0,795.0,--,--,--
Woy Woy Bay,651.0,1799.0,1481.0,--,--,--
Wyoming,489.0,1308.0,982.0,--,--,--
Wyong,400.0,954.0,711.0,--,--,--
Wyongah,524.0,1369.0,1153.0,--,--,--
Yagoona,386.0,1117.0,980.0,--,--,--
Yarrawarrah,742.0,2241.0,2151.0,--,--,--
Yattalunga (NSW),582.0,1343.0,1154.0,--,--,--
Yennora,338.0,939.0,644.0,--,--,--
Yowie Bay,749.0,2356.0,2009.0,--,--,--
Zetland,1051.0,2331.0,1870.0,--,--,--
