,Median rent,Households where rent payments are less than 30% of household income,Households with rent payments greater than or equal to 30% of household income,Median rent (%),Households where rent payments are less than 30% of household income (%),Households with rent payments greater than or equal to 30% of household income (%),SSC_CODE
Rushforth,340.0,--,--,--,96.3,3.7,13446
Great Marlow,275.0,--,--,--,95.6,4.4,11745
South Grafton,231.0,--,--,--,83.4,16.6,13582
Junction Hill,300.0,--,--,--,92.4,7.6,12045
Carrs Creek,240.0,--,--,--,93.5,6.5,10834
Tucabia,200.0,--,--,--,97.8,2.2,13945
Ulmarra,200.0,--,--,--,87.2,12.8,14004
Ramornie,295.0,--,--,--,94.1,5.9,13308
Nymboida,45.0,--,--,--,96.5,3.5,13048
Blaxlands Creek,0.0,--,--,--,92.9,7.1,10408
Glenreagh,275.0,--,--,--,94.8,5.2,11675
Wells Crossing,300.0,--,--,--,95.2,4.8,14223
Kungala,233.0,--,--,--,100.0,0.0,12212
Wooli,250.0,--,--,--,88.1,11.9,14403
Copmanhurst,230.0,--,--,--,89.7,10.3,11060
Waterview Heights,270.0,--,--,--,96.7,3.3,14186
Lawrence (NSW),260.0,--,--,--,95.5,4.5,12288
Eatonsville,250.0,--,--,--,96.1,3.9,11370
Seelands,260.0,--,--,--,94.7,5.3,13515
Mountain View (NSW),250.0,--,--,--,93.1,6.9,12808
Southgate,200.0,--,--,--,95.5,4.5,13604
Lower Southgate,130.0,--,--,--,93.0,7.0,12413
Ashby Heights,333.0,--,--,--,91.5,8.5,10095
Ashby (NSW),295.0,--,--,--,97.7,2.3,10094
South Arm (Clarence Valley - NSW),200.0,--,--,--,96.3,3.7,13574
Woodford Island,250.0,--,--,--,91.4,8.6,14384
Brushgrove,225.0,--,--,--,91.5,8.5,10622
Elland,305.0,--,--,--,97.2,2.8,11399
Coutts Crossing,268.0,--,--,--,93.3,6.7,11094
Kremnos,255.0,--,--,--,95.8,4.2,12204
Lanitza,250.0,--,--,--,97.1,2.9,12270
Braunstone,260.0,--,--,--,94.4,5.6,10550
Glenugie,210.0,--,--,--,100.0,0.0,11681
Clarenza,250.0,--,--,--,91.9,8.1,10922
Swan Creek (NSW),226.0,--,--,--,91.9,8.1,13706
Pillar Valley,150.0,--,--,--,97.3,2.7,13204
Minnie Water,245.0,--,--,--,86.7,13.3,12640
Ilarwill,250.0,--,--,--,95.5,4.5,11970
Yamba (NSW),300.0,--,--,--,85.1,14.9,14458
Gulmarrad,365.0,--,--,--,96.6,3.4,11795
Angourie,320.0,--,--,--,82.0,18.0,10059
Brooms Head,230.0,--,--,--,93.0,7.0,10603
Wooloweyah,345.0,--,--,--,90.4,9.6,14411
Woombah,250.0,--,--,--,94.3,5.7,14414
Maclean,260.0,--,--,--,82.6,17.4,12431
Iluka (NSW),240.0,--,--,--,83.3,16.7,11975
Harwood,280.0,--,--,--,85.0,15.0,11865
Chatsworth (NSW),255.0,--,--,--,94.9,5.1,10894
Townsend,295.0,--,--,--,85.4,14.6,13928
Palmers Channel,240.0,--,--,--,92.0,8.0,13135
Palmers Island,250.0,--,--,--,94.8,5.2,13136
Bellingen,320.0,--,--,--,86.7,13.3,10273
Brierfield,270.0,--,--,--,94.9,5.1,10568
Fernmount,270.0,--,--,--,90.6,9.4,11509
Darkwood,255.0,--,--,--,92.6,7.4,11210
Thora,213.0,--,--,--,92.0,8.0,13849
Gleniffer,220.0,--,--,--,90.9,9.1,11668
Valery,280.0,--,--,--,93.5,6.5,14066
Kalang,350.0,--,--,--,96.1,3.9,12050
Coffs Harbour,295.0,--,--,--,80.9,19.1,10959
North Boambee Valley,380.0,--,--,--,96.3,3.7,12983
Coramba,350.0,--,--,--,94.1,5.9,11065
Upper Orara,285.0,--,--,--,95.9,4.1,14041
