,Median rent,Households where rent payments are less than 30% of household income,Households with rent payments greater than or equal to 30% of household income,Median rent (%),Households where rent payments are less than 30% of household income (%),Households with rent payments greater than or equal to 30% of household income (%),SSC_CODE
Sackville North,333.0,--,--,--,93.2,6.8,13459
Lower Portland,193.0,--,--,--,97.7,2.3,12412
Annangrove,500.0,--,--,--,94.5,5.5,10062
Galston,500.0,--,--,--,95.3,4.7,11582
Fiddletown,275.0,--,--,--,95.8,4.2,11513
Berrilee,300.0,--,--,--,93.7,6.3,10319
Bilpin,275.0,--,--,--,96.2,3.8,10358
Lower Macdonald,265.0,--,--,--,92.9,7.1,12408
St Albans (NSW),153.0,--,--,--,100.0,0.0,13630
Bowen Mountain,390.0,--,--,--,94.6,5.4,10528
Grose Vale,405.0,--,--,--,97.8,2.2,11785
Kurrajong,350.0,--,--,--,97.5,2.5,12218
Kurrajong Hills,277.0,--,--,--,100.0,0.0,12220
Kurrajong Heights,423.0,--,--,--,98.4,1.6,12219
Kurmond,355.0,--,--,--,96.3,3.7,12215
The Slopes,430.0,--,--,--,94.9,5.1,13842
East Kurrajong,350.0,--,--,--,99.2,0.8,11356
Wilberforce (NSW),303.0,--,--,--,92.6,7.4,14288
Freemans Reach,405.0,--,--,--,94.1,5.9,11564
Sackville,300.0,--,--,--,96.3,3.7,13458
Glossodia,410.0,--,--,--,94.0,6.0,11684
Blaxlands Ridge,500.0,--,--,--,97.7,2.3,10409
Tennyson (NSW),350.0,--,--,--,96.5,3.5,13789
Vineyard,395.0,--,--,--,92.3,7.7,14076
Maraylya,363.0,--,--,--,95.2,4.8,12484
Pitt Town,400.0,--,--,--,97.0,3.0,13226
Rouse Hill,595.0,--,--,--,92.2,7.8,13429
Beaumont Hills,655.0,--,--,--,96.1,3.9,10243
Nelson (The Hills Shire - NSW),455.0,--,--,--,94.9,5.1,12922
Box Hill (NSW),500.0,--,--,--,88.1,11.9,10539
Blacktown,380.0,--,--,--,84.3,15.7,10397
Kings Park (NSW),430.0,--,--,--,92.7,7.3,12150
Acacia Gardens,520.0,--,--,--,94.9,5.1,10014
Quakers Hill,440.0,--,--,--,90.5,9.5,13286
Marayong,370.0,--,--,--,84.7,15.3,12485
Woodcroft (NSW),440.0,--,--,--,94.3,5.7,14381
Bungarribee,593.0,--,--,--,97.6,2.4,10682
Doonside,310.0,--,--,--,84.9,15.1,11275
Seven Hills (NSW),380.0,--,--,--,88.7,11.3,13518
Kings Langley,480.0,--,--,--,95.4,4.6,12149
Toongabbie (NSW),400.0,--,--,--,89.5,10.5,13907
Glenwood (NSW),570.0,--,--,--,93.9,6.1,11682
Parklea,525.0,--,--,--,93.0,7.0,13153
Stanhope Gardens,575.0,--,--,--,93.3,6.7,13649
Kellyville Ridge,595.0,--,--,--,93.1,6.9,12089
The Ponds,640.0,--,--,--,93.5,6.5,13835
Riverstone,400.0,--,--,--,86.6,13.4,13368
Schofields,470.0,--,--,--,89.9,10.1,13502
Shanes Park,360.0,--,--,--,91.4,8.6,13524
Marsden Park,300.0,--,--,--,91.0,9.0,12505
Colebee,650.0,--,--,--,96.2,3.8,10965
Bidwill (NSW),190.0,--,--,--,71.8,28.2,10340
Hebersham,320.0,--,--,--,82.6,17.4,11886
Dharruk,325.0,--,--,--,88.8,11.2,11248
Blackett,294.0,--,--,--,79.7,20.3,10392
Emerton,310.0,--,--,--,78.5,21.5,11413
Dean Park,400.0,--,--,--,89.3,10.7,11224
Plumpton (NSW),400.0,--,--,--,91.3,8.7,13230
Oakhurst (NSW),400.0,--,--,--,91.6,8.4,13058
Hassall Grove,400.0,--,--,--,89.4,10.6,11866
Shalvey,280.0,--,--,--,80.8,19.2,13523
Willmot,280.0,--,--,--,74.5,25.5,14302
Tregear,290.0,--,--,--,74.0,26.0,13934
Lethbridge Park,290.0,--,--,--,78.2,21.8,12307
Ropes Crossing,480.0,--,--,--,91.4,8.6,13397
Mount Druitt,350.0,--,--,--,77.0,23.0,12756
Whalan,270.0,--,--,--,81.9,18.1,14266
Eastern Creek,380.0,--,--,--,89.6,10.4,11366
Minchinbury,420.0,--,--,--,93.5,6.5,12633
Rooty Hill,400.0,--,--,--,90.1,9.9,13395
Botany,520.0,--,--,--,86.4,13.6,10517
Mascot,610.0,--,--,--,80.4,19.6,12519
Eastlakes,400.0,--,--,--,74.9,25.1,11368
Rosebery (NSW),580.0,--,--,--,81.1,18.9,13405
Pagewood,420.0,--,--,--,90.2,9.8,13125
Daceyville,130.0,--,--,--,64.2,35.8,11185
Hillsdale,420.0,--,--,--,72.1,27.9,11911
Eastgardens,202.0,--,--,--,89.5,10.5,11367
Matraville,435.0,--,--,--,85.6,14.4,12524
Marrickville,450.0,--,--,--,83.3,16.7,12504
Petersham,440.0,--,--,--,81.7,18.3,13190
Dulwich Hill,450.0,--,--,--,83.2,16.8,11303
Newtown (NSW),520.0,--,--,--,77.4,22.6,12960
Lewisham (NSW),470.0,--,--,--,82.2,17.8,12313
Stanmore (NSW),500.0,--,--,--,84.8,15.2,13650
Camperdown (NSW),500.0,--,--,--,66.2,33.8,10781
Enmore (Inner West - NSW),490.0,--,--,--,80.0,20.0,11425
St Peters (NSW),600.0,--,--,--,86.4,13.6,13644
Sydenham (NSW),550.0,--,--,--,87.1,12.9,13714
Tempe,530.0,--,--,--,89.4,10.6,13785
Darlinghurst,560.0,--,--,--,76.5,23.5,11212
Erskineville,602.0,--,--,--,85.2,14.8,11439
Alexandria,590.0,--,--,--,83.8,16.2,10030
Forest Lodge,600.0,--,--,--,74.1,25.9,11546
Annandale (NSW),540.0,--,--,--,84.7,15.3,10061
Darlington (Sydney - NSW),500.0,--,--,--,53.0,47.0,11214
Potts Point,485.0,--,--,--,74.1,25.9,13256
Elizabeth Bay,493.0,--,--,--,76.7,23.3,11395
Sydney,690.0,--,--,--,64.6,35.4,13715
Woolloomooloo,500.0,--,--,--,72.5,27.5,14406
Rushcutters Bay,420.0,--,--,--,74.8,25.2,13444
Pyrmont,652.0,--,--,--,76.2,23.8,13284
Ultimo,554.0,--,--,--,54.9,45.1,14006
Redfern,500.0,--,--,--,77.4,22.6,13339
Eveleigh,325.0,--,--,--,61.7,38.3,11471
Chippendale,572.0,--,--,--,53.5,46.5,10907
Surry Hills,550.0,--,--,--,77.8,22.2,13699
Haymarket,750.0,--,--,--,52.2,47.8,11877
Dawes Point,1500.0,--,--,--,81.2,18.8,11222
Millers Point,900.0,--,--,--,75.8,24.2,12619
Barangaroo,1200.0,--,--,--,67.3,32.7,10191
Balmain East,580.0,--,--,--,87.3,12.7,10165
The Rocks (Sydney - NSW),900.0,--,--,--,79.7,20.3,13840
Waterloo (NSW),520.0,--,--,--,70.6,29.4,14183
Zetland,650.0,--,--,--,68.2,31.8,14524
Beaconsfield (NSW),623.0,--,--,--,82.7,17.3,10239
Bronte,620.0,--,--,--,87.5,12.5,10594
Tamarama,710.0,--,--,--,84.2,15.8,13741
Bondi,620.0,--,--,--,79.3,20.7,10464
Bondi Beach,630.0,--,--,--,76.6,23.4,10465
North Bondi,650.0,--,--,--,83.6,16.4,12984
Waverley (NSW),550.0,--,--,--,81.7,18.3,14200
Bondi Junction,630.0,--,--,--,78.6,21.4,10467
Queens Park (NSW),660.0,--,--,--,88.7,11.3,13294
Centennial Park (NSW),505.0,--,--,--,80.4,19.6,10873
Darling Point,787.0,--,--,--,88.9,11.1,11211
Edgecliff,600.0,--,--,--,80.9,19.1,11379
Double Bay,680.0,--,--,--,85.0,15.0,11281
Bellevue Hill,625.0,--,--,--,85.9,14.1,10271
Rose Bay (NSW),600.0,--,--,--,80.8,19.2,13398
Paddington (NSW),630.0,--,--,--,84.1,15.9,13115
Point Piper,850.0,--,--,--,86.3,13.7,13233
Vaucluse,650.0,--,--,--,86.8,13.2,14071
Dover Heights,725.0,--,--,--,92.0,8.0,11284
Watsons Bay,650.0,--,--,--,88.4,11.6,14187
Woollahra,655.0,--,--,--,86.5,13.5,14404
Clovelly,630.0,--,--,--,87.3,12.7,10938
South Coogee,177.0,--,--,--,79.5,20.5,13579
Coogee (NSW),600.0,--,--,--,82.8,17.2,11015
La Perouse,185.0,--,--,--,86.2,13.8,12230
Little Bay,570.0,--,--,--,84.8,15.2,12349
Malabar,137.0,--,--,--,87.1,12.9,12453
Chifley (NSW),237.0,--,--,--,86.7,13.3,10901
Phillip Bay,170.0,--,--,--,91.5,8.5,13193
Kensington (NSW),515.0,--,--,--,68.5,31.5,12099
Kingsford (NSW),525.0,--,--,--,66.9,33.1,12156
Maroubra,540.0,--,--,--,80.8,19.2,12501
Randwick,560.0,--,--,--,81.5,18.5,13312
Georges Hall,470.0,--,--,--,91.4,8.6,11601
Bass Hill,380.0,--,--,--,83.9,16.1,10224
Yagoona,380.0,--,--,--,81.0,19.0,14453
Villawood,177.0,--,--,--,72.6,27.4,14074
Greenacre,370.0,--,--,--,82.6,17.4,11757
Potts Hill,550.0,--,--,--,84.5,15.5,13255
Milperra,500.0,--,--,--,96.3,3.7,12625
Condell Park,450.0,--,--,--,85.7,14.3,11001
Bankstown,400.0,--,--,--,73.9,26.1,10180
Punchbowl (Canterbury-Bankstown - NSW),365.0,--,--,--,79.5,20.5,13273
Padstow,420.0,--,--,--,88.2,11.8,13120
Panania,410.0,--,--,--,89.3,10.7,13144
East Hills,322.0,--,--,--,86.9,13.1,11351
Picnic Point,525.0,--,--,--,94.6,5.4,13199
Revesby Heights,510.0,--,--,--,95.0,5.0,13356
Birrong,430.0,--,--,--,87.3,12.7,10379
Belmore,360.0,--,--,--,79.3,20.7,10279
Belfield,430.0,--,--,--,87.1,12.9,10257
Campsie,395.0,--,--,--,73.3,26.7,10782
Canterbury (NSW),450.0,--,--,--,82.1,17.9,10797
Clemton Park,228.0,--,--,--,85.8,14.2,10928
Earlwood,500.0,--,--,--,92.4,7.6,11343
Kingsgrove,480.0,--,--,--,89.5,10.5,12158
Riverwood,228.0,--,--,--,75.3,24.7,13371
Roselands,380.0,--,--,--,85.2,14.8,13409
Narwee,350.0,--,--,--,80.2,19.8,12912
Lakemba,350.0,--,--,--,66.3,33.7,12257
Wiley Park,350.0,--,--,--,67.9,32.1,14293
Hurstville,475.0,--,--,--,76.9,23.1,11964
Carlton (NSW),440.0,--,--,--,84.7,15.3,10819
Penshurst (NSW),400.0,--,--,--,85.1,14.9,13186
Oatley,460.0,--,--,--,93.1,6.9,13064
Mortdale,405.0,--,--,--,86.5,13.5,12728
Hurstville Grove,518.0,--,--,--,94.5,5.5,11965
Lugarno,500.0,--,--,--,97.4,2.6,12421
South Hurstville,470.0,--,--,--,86.0,14.0,13587
Blakehurst,500.0,--,--,--,94.1,5.9,10403
Kyle Bay,698.0,--,--,--,95.8,4.2,12227
Connells Point,595.0,--,--,--,96.6,3.4,11013
Carss Park,212.0,--,--,--,93.1,6.9,10837
Arncliffe,500.0,--,--,--,82.5,17.5,10086
Wolli Creek,580.0,--,--,--,70.9,29.1,14353
Turrella,570.0,--,--,--,81.3,18.7,13982
Bardwell Valley,490.0,--,--,--,94.6,5.4,10196
Bardwell Park,500.0,--,--,--,93.1,6.9,10195
Bexley,450.0,--,--,--,87.5,12.5,10334
Kogarah,440.0,--,--,--,81.6,18.4,12181
Bexley North,430.0,--,--,--,87.5,12.5,10335
Allawah,440.0,--,--,--,80.4,19.6,10038
Beverley Park,550.0,--,--,--,87.8,12.2,10330
Kogarah Bay,563.0,--,--,--,94.9,5.1,12182
Kyeemagh,530.0,--,--,--,94.3,5.7,12226
Brighton-le-Sands,435.0,--,--,--,77.4,22.6,10569
Rockdale,470.0,--,--,--,81.8,18.2,13379
Monterey,450.0,--,--,--,85.4,14.6,12686
Banksia,480.0,--,--,--,91.8,8.2,10178
Sandringham (NSW),470.0,--,--,--,88.2,11.8,13478
Dolls Point,435.0,--,--,--,77.9,22.1,11267
Sans Souci,460.0,--,--,--,88.7,11.3,13489
Ramsgate,460.0,--,--,--,86.2,13.8,13309
Ramsgate Beach,440.0,--,--,--,82.4,17.6,13310
Concord,496.0,--,--,--,91.2,8.8,10999
Breakfast Point,680.0,--,--,--,88.1,11.9,10557
Cabarita (NSW),850.0,--,--,--,94.3,5.7,10736
Mortlake (NSW),630.0,--,--,--,86.6,13.4,12729
North Strathfield,520.0,--,--,--,83.9,16.1,13009
Concord West,480.0,--,--,--,92.0,8.0,11000
Sydney Olympic Park,538.0,--,--,--,69.8,30.2,13716
Liberty Grove,600.0,--,--,--,83.6,16.4,12315
Rhodes,620.0,--,--,--,67.5,32.5,13358
Drummoyne,571.0,--,--,--,88.7,11.3,11293
Russell Lea,510.0,--,--,--,91.1,8.9,13447
Rodd Point,700.0,--,--,--,95.6,4.4,13391
Abbotsford (NSW),520.0,--,--,--,85.7,14.3,10003
Chiswick,600.0,--,--,--,84.7,15.3,10910
Five Dock,550.0,--,--,--,88.7,11.3,11530
Canada Bay,500.0,--,--,--,89.9,10.1,10785
Wareemba,550.0,--,--,--,88.4,11.6,14148
Balmain,600.0,--,--,--,86.5,13.5,10164
Birchgrove,650.0,--,--,--,91.1,8.9,10374
Woolwich,470.0,--,--,--,91.5,8.5,14412
Leichhardt (NSW),560.0,--,--,--,85.5,14.5,12297
Lilyfield,498.0,--,--,--,87.3,12.7,12325
Rozelle,655.0,--,--,--,89.5,10.5,13435
Ashfield (NSW),440.0,--,--,--,79.5,20.5,10098
Summer Hill (Inner West - NSW),445.0,--,--,--,80.6,19.4,13687
Hurlstone Park,415.0,--,--,--,87.2,12.8,11963
Ashbury,560.0,--,--,--,96.9,3.1,10093
Burwood (NSW),520.0,--,--,--,69.9,30.1,10718
Strathfield (NSW),500.0,--,--,--,82.3,17.7,13675
Croydon Park (NSW),400.0,--,--,--,85.2,14.8,11135
Enfield (NSW),450.0,--,--,--,86.3,13.7,11421
Burwood Heights,530.0,--,--,--,92.6,7.4,10719
Homebush West,450.0,--,--,--,76.3,23.7,11930
Strathfield South,490.0,--,--,--,86.4,13.6,13676
Chatswood,600.0,--,--,--,76.6,23.4,10892
North Willoughby,570.0,--,--,--,87.4,12.6,13016
Willoughby (NSW),575.0,--,--,--,90.4,9.6,14303
Artarmon,541.0,--,--,--,83.7,16.3,10090
Roseville,630.0,--,--,--,91.5,8.5,13412
Lane Cove North,500.0,--,--,--,85.2,14.8,12267
Chatswood West,700.0,--,--,--,94.7,5.3,10893
Lane Cove West,570.0,--,--,--,89.8,10.2,12268
Lane Cove,520.0,--,--,--,88.2,11.8,12266
Riverview (NSW),728.0,--,--,--,97.2,2.8,13370
Greenwich,550.0,--,--,--,90.5,9.5,11770
Northwood (NSW),1000.0,--,--,--,96.5,3.5,13024
Longueville,983.0,--,--,--,98.0,2.0,12385
Linley Point,1050.0,--,--,--,92.2,7.8,12341
St Leonards (NSW),580.0,--,--,--,80.6,19.4,13642
Naremburn,625.0,--,--,--,90.4,9.6,12898
Cammeray,580.0,--,--,--,85.8,14.2,10778
Castle Cove,923.0,--,--,--,96.0,4.0,10845
Castlecrag,950.0,--,--,--,94.7,5.3,10849
Northbridge (NSW),680.0,--,--,--,92.5,7.5,13022
Middle Cove,923.0,--,--,--,94.0,6.0,12602
Willoughby East,837.0,--,--,--,96.7,3.3,14304
Hornsby Heights,580.0,--,--,--,96.9,3.1,11937
Mount Colah,545.0,--,--,--,95.1,4.9,12750
Asquith,528.0,--,--,--,92.7,7.3,10103
Hornsby,455.0,--,--,--,81.7,18.3,11936
Mount Kuring-Gai,480.0,--,--,--,94.9,5.1,12772
Cowan,430.0,--,--,--,96.6,3.4,11097
Berowra,550.0,--,--,--,96.6,3.4,10308
Brooklyn (NSW),425.0,--,--,--,89.8,10.2,10599
Berowra Heights,550.0,--,--,--,95.7,4.3,10310
Dangar Island,345.0,--,--,--,86.1,13.9,11199
Normanhurst,428.0,--,--,--,92.4,7.6,12976
Thornleigh,510.0,--,--,--,92.8,7.2,13850
Westleigh,643.0,--,--,--,97.8,2.2,14260
Wahroonga,600.0,--,--,--,94.4,5.6,14085
Waitara,508.0,--,--,--,80.8,19.2,14086
East Killara,920.0,--,--,--,95.0,5.0,11355
Killara (NSW),646.0,--,--,--,90.3,9.7,12129
Lindfield,554.0,--,--,--,90.2,9.8,12339
Gordon (NSW),650.0,--,--,--,87.7,12.3,11718
East Lindfield,975.0,--,--,--,96.3,3.7,11357
Roseville Chase,730.0,--,--,--,96.5,3.5,13413
Pymble,660.0,--,--,--,93.5,6.5,13281
West Pymble,700.0,--,--,--,96.3,3.7,14250
St Ives (NSW),680.0,--,--,--,93.8,6.2,13639
St Ives Chase,950.0,--,--,--,96.8,3.2,13640
Turramurra,590.0,--,--,--,93.3,6.7,13980
South Turramurra,725.0,--,--,--,95.9,4.1,13598
North Turramurra,680.0,--,--,--,97.4,2.6,13013
Warrawee,600.0,--,--,--,93.0,7.0,14165
North Wahroonga,775.0,--,--,--,98.3,1.7,13015
Cremorne Point,600.0,--,--,--,82.7,17.3,11113
Cremorne (NSW),587.0,--,--,--,86.4,13.6,11112
Neutral Bay,550.0,--,--,--,84.7,15.3,12934
Crows Nest (NSW),550.0,--,--,--,84.0,16.0,11131
Wollstonecraft,570.0,--,--,--,86.8,13.2,14359
Waverton,600.0,--,--,--,87.7,12.3,14202
North Sydney,560.0,--,--,--,82.1,17.9,13010
Mosman,560.0,--,--,--,86.3,13.7,12738
Kirribilli,540.0,--,--,--,80.3,19.7,12173
Kurraba Point,610.0,--,--,--,86.3,13.7,12217
Milsons Point,720.0,--,--,--,84.4,15.6,12629
McMahons Point,580.0,--,--,--,84.2,15.8,12547
Lavender Bay,530.0,--,--,--,84.0,16.0,12285
Seaforth (NSW),780.0,--,--,--,92.9,7.1,13509
Balgowlah Heights,1100.0,--,--,--,95.1,4.9,10154
Clontarf (NSW),1200.0,--,--,--,95.5,4.5,10935
Balgowlah,580.0,--,--,--,86.9,13.1,10153
Manly (NSW),650.0,--,--,--,83.3,16.7,12475
Fairlight,648.0,--,--,--,88.8,11.2,11482
Avalon Beach,625.0,--,--,--,92.2,7.8,10111
Palm Beach (NSW),698.0,--,--,--,89.6,10.4,13132
Clareville,650.0,--,--,--,94.2,5.8,10923
Scotland Island,465.0,--,--,--,91.3,8.7,13505
Elanora Heights,700.0,--,--,--,95.1,4.9,11389
Ingleside,451.0,--,--,--,91.8,8.2,11979
Bayview (NSW),500.0,--,--,--,97.1,2.9,10237
Church Point,775.0,--,--,--,97.6,2.4,10915
Mona Vale,575.0,--,--,--,90.7,9.3,12672
Bilgola Plateau,810.0,--,--,--,95.5,4.5,10351
Bilgola Beach,912.0,--,--,--,93.3,6.7,10350
Warriewood,680.0,--,--,--,90.8,9.2,14173
North Narrabeen,620.0,--,--,--,92.6,7.4,12999
Beacon Hill,736.0,--,--,--,93.8,6.2,10238
Narraweena,296.0,--,--,--,87.1,12.9,12910
Cromer (NSW),600.0,--,--,--,94.3,5.7,11118
Oxford Falls,600.0,--,--,--,78.4,21.6,13106
Dee Why,500.0,--,--,--,79.2,20.8,11227
North Curl Curl,750.0,--,--,--,92.5,7.5,12988
Forestville (NSW),600.0,--,--,--,91.8,8.2,11548
Killarney Heights,850.0,--,--,--,95.4,4.6,12130
Frenchs Forest,760.0,--,--,--,94.9,5.1,11568
Belrose,820.0,--,--,--,96.6,3.4,10283
Davidson,878.0,--,--,--,98.1,1.9,11219
Curl Curl,620.0,--,--,--,90.6,9.4,11167
Freshwater (NSW),530.0,--,--,--,87.1,12.9,11569
Manly Vale,500.0,--,--,--,83.6,16.4,12476
North Manly,678.0,--,--,--,92.8,7.2,12997
Queenscliff (NSW),600.0,--,--,--,84.2,15.8,13296
Brookvale,500.0,--,--,--,80.8,19.2,10601
Allambie Heights,478.0,--,--,--,93.6,6.4,10036
North Balgowlah,723.0,--,--,--,94.4,5.6,12981
Narrabeen,515.0,--,--,--,83.9,16.1,12902
Collaroy (NSW),530.0,--,--,--,88.4,11.6,10970
Collaroy Plateau,750.0,--,--,--,94.8,5.2,10971
Wheeler Heights,713.0,--,--,--,94.9,5.1,14268
Terrey Hills,650.0,--,--,--,93.5,6.5,13804
Duffys Forest,625.0,--,--,--,94.1,5.9,11301
Grasmere,105.0,--,--,--,99.3,0.7,11739
Camden,380.0,--,--,--,86.9,13.1,10770
Camden Park (NSW),570.0,--,--,--,99.0,1.0,10772
Cawdor (NSW),260.0,--,--,--,97.6,2.4,10863
Camden South,430.0,--,--,--,95.7,4.3,10773
Harrington Park,530.0,--,--,--,95.6,4.4,11859
Elderslie (Camden - NSW),470.0,--,--,--,90.5,9.5,11391
Narellan,400.0,--,--,--,87.1,12.9,12896
Mount Annan,450.0,--,--,--,94.3,5.7,12745
Currans Hill,430.0,--,--,--,88.7,11.3,11175
Gregory Hills,530.0,--,--,--,94.5,5.5,11774
Narellan Vale,450.0,--,--,--,93.0,7.0,12897
Spring Farm (NSW),497.0,--,--,--,92.3,7.7,13612
Airds,178.0,--,--,--,66.1,33.9,10022
Bradbury (NSW),360.0,--,--,--,88.3,11.7,10543
Wedderburn (NSW),325.0,--,--,--,95.7,4.3,14209
Woodbine (NSW),380.0,--,--,--,90.7,9.3,14378
Campbelltown (NSW),360.0,--,--,--,80.8,19.2,10780
Leumeah,330.0,--,--,--,84.2,15.8,12308
Raby,400.0,--,--,--,92.9,7.1,13303
Eagle Vale,370.0,--,--,--,89.4,10.6,11341
Eschol Park,390.0,--,--,--,92.1,7.9,11441
Blairmount,378.0,--,--,--,85.8,14.2,10401
Kearns,400.0,--,--,--,95.5,4.5,12079
Claymore,199.0,--,--,--,63.2,36.8,10924
Holsworthy,480.0,--,--,--,89.3,10.7,11926
Ingleburn,360.0,--,--,--,87.5,12.5,11978
Macquarie Links,560.0,--,--,--,95.4,4.6,12435
Bardia,500.0,--,--,--,88.5,11.5,10194
Edmondson Park,560.0,--,--,--,92.5,7.5,11383
Ruse,400.0,--,--,--,93.3,6.7,13443
Kentlyn,234.0,--,--,--,91.1,8.9,12101
Minto Heights,365.0,--,--,--,92.9,7.1,12643
Macquarie Fields,310.0,--,--,--,84.1,15.9,12433
Glenfield (NSW),390.0,--,--,--,88.8,11.2,11664
St Andrews (NSW),380.0,--,--,--,91.7,8.3,13631
Minto,325.0,--,--,--,85.9,14.1,12642
Rosemeadow,350.0,--,--,--,87.3,12.7,13410
Ambarvale,330.0,--,--,--,83.1,16.9,10049
Menangle Park,400.0,--,--,--,90.3,9.7,12569
Gilead,400.0,--,--,--,97.6,2.4,11617
Glen Alpine,510.0,--,--,--,98.2,1.8,11645
Englorie Park,380.0,--,--,--,80.5,19.5,11423
Yanderra,350.0,--,--,--,98.5,1.5,14461
Razorback,350.0,--,--,--,97.0,3.0,13328
Appin (NSW),400.0,--,--,--,95.2,4.8,10063
Picton (NSW),340.0,--,--,--,91.5,8.5,13200
Tahmoor,370.0,--,--,--,87.2,12.8,13727
Buxton (NSW),363.0,--,--,--,94.6,5.4,10726
Couridjah,305.0,--,--,--,100.0,0.0,11093
Lakesland,493.0,--,--,--,95.9,4.1,12258
The Oaks,350.0,--,--,--,95.6,4.4,13831
Orangeville,275.0,--,--,--,98.2,1.8,13094
Mount Hunter,390.0,--,--,--,98.5,1.5,12765
Brownlow Hill,390.0,--,--,--,96.6,3.4,10609
Silverdale (NSW),400.0,--,--,--,96.7,3.3,13544
Oakdale (NSW),330.0,--,--,--,94.2,5.8,13054
Blackheath,320.0,--,--,--,87.9,12.1,10393
Glenbrook,430.0,--,--,--,96.3,3.7,11656
Blaxland (NSW),390.0,--,--,--,93.1,6.9,10407
Warrimoo,398.0,--,--,--,96.5,3.5,14174
Yarramundi,550.0,--,--,--,98.1,1.9,14477
Katoomba,300.0,--,--,--,81.6,18.4,12077
Medlow Bath,340.0,--,--,--,90.8,9.2,12553
Linden (NSW),390.0,--,--,--,98.3,1.7,12335
Hazelbrook,350.0,--,--,--,93.6,6.4,11881
Lawson (NSW),333.0,--,--,--,89.5,10.5,12289
Faulconbridge,380.0,--,--,--,94.2,5.8,11496
Winmalee,400.0,--,--,--,95.3,4.7,14334
Yellow Rock (Blue Mountains - NSW),360.0,--,--,--,97.4,2.6,14502
Springwood (NSW),355.0,--,--,--,91.9,8.1,13629
Valley Heights,360.0,--,--,--,95.4,4.6,14069
Sun Valley (NSW),356.0,--,--,--,100.0,0.0,13691
Wentworth Falls,370.0,--,--,--,91.1,8.9,14226
Cambridge Park,360.0,--,--,--,87.9,12.1,10768
Werrington County,390.0,--,--,--,94.2,5.8,14236
Cambridge Gardens,379.0,--,--,--,93.1,6.9,10767
Llandilo,450.0,--,--,--,93.1,6.9,12363
Castlereagh,360.0,--,--,--,94.8,5.2,10850
Penrith,330.0,--,--,--,76.3,23.7,13184
Jordan Springs,520.0,--,--,--,88.8,11.2,12042
Emu Plains,400.0,--,--,--,93.1,6.9,11418
Leonay,495.0,--,--,--,96.1,3.9,12304
Emu Heights (NSW),415.0,--,--,--,95.1,4.9,11417
Glenmore Park,450.0,--,--,--,93.2,6.8,11670
Regentville,380.0,--,--,--,92.1,7.9,13346
Jamisontown,360.0,--,--,--,82.9,17.1,12000
South Penrith,390.0,--,--,--,89.3,10.7,13596
Kingswood (Penrith - NSW),325.0,--,--,--,77.4,22.6,12163
Caddens,500.0,--,--,--,94.7,5.3,10743
Werrington,330.0,--,--,--,78.9,21.1,14235
Claremont Meadows,400.0,--,--,--,92.8,7.2,10918
Mulgoa,370.0,--,--,--,95.6,4.4,12814
Luddenham,365.0,--,--,--,95.5,4.5,12419
Badgerys Creek,290.0,--,--,--,84.1,15.9,10132
Orchard Hills,450.0,--,--,--,95.4,4.6,13095
Warragamba,340.0,--,--,--,91.1,8.9,14158
Richmond (NSW),340.0,--,--,--,78.7,21.3,13360
Hobartville (NSW),390.0,--,--,--,87.9,12.1,11917
South Windsor,325.0,--,--,--,78.5,21.5,13601
Windsor (NSW),340.0,--,--,--,83.4,16.6,14325
Bligh Park,390.0,--,--,--,86.8,13.2,10411
Windsor Downs,475.0,--,--,--,99.1,0.9,14326
Erskine Park,410.0,--,--,--,94.4,5.6,11438
Colyton,365.0,--,--,--,88.9,11.1,10987
Oxley Park,380.0,--,--,--,82.5,17.5,13110
St Marys (NSW),350.0,--,--,--,76.6,23.4,13643
North St Marys,313.0,--,--,--,80.1,19.9,13007
Silverwater (Parramatta - NSW),450.0,--,--,--,78.5,21.5,13547
Newington (NSW),550.0,--,--,--,87.5,12.5,12953
Lidcombe,470.0,--,--,--,81.0,19.0,12316
Wentworth Point,510.0,--,--,--,75.6,24.4,14227
Auburn (NSW),400.0,--,--,--,77.2,22.8,10106
Berala,380.0,--,--,--,79.6,20.4,10299
Regents Park (NSW),370.0,--,--,--,78.4,21.6,13345
Carlingford,510.0,--,--,--,88.5,11.5,10818
Beecroft,595.0,--,--,--,95.5,4.5,10249
Epping (NSW),530.0,--,--,--,86.0,14.0,11428
Rydalmere,400.0,--,--,--,83.8,16.2,13453
Parramatta,430.0,--,--,--,77.0,23.0,13156
Ermington,277.0,--,--,--,85.4,14.6,11435
Dundas (NSW),430.0,--,--,--,86.2,13.8,11312
Melrose Park (NSW),495.0,--,--,--,94.5,5.5,12563
Telopea,305.0,--,--,--,79.6,20.4,13782
Oatlands (NSW),500.0,--,--,--,90.6,9.4,13063
Dundas Valley,350.0,--,--,--,84.9,15.1,11313
Chester Hill,330.0,--,--,--,81.4,18.6,10899
Sefton,400.0,--,--,--,84.9,15.1,13516
Carramar (NSW),290.0,--,--,--,73.8,26.2,10826
Old Guildford,390.0,--,--,--,84.3,15.7,13077
Fairfield East,278.0,--,--,--,78.8,21.2,11478
Yennora,175.0,--,--,--,75.4,24.6,14506
Fairfield (NSW),350.0,--,--,--,66.4,33.6,11477
Merrylands,390.0,--,--,--,77.5,22.5,12588
Granville (NSW),390.0,--,--,--,77.9,22.1,11738
