,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%)
Georges Hall,52.0,46.0,53.0,81.0,24.0,--,--,--,--,--
Georgetown (NSW),46.0,47.0,55.0,82.0,28.0,--,--,--,--,--
Girraween (NSW),45.0,51.0,53.0,78.0,25.0,--,--,--,--,--
Gladesville,47.0,53.0,55.0,80.0,29.0,--,--,--,--,--
Glebe (NSW),47.0,51.0,56.0,72.0,29.0,--,--,--,--,--
Glen Alpine,52.0,48.0,54.0,75.0,21.0,--,--,--,--,--
Glenbrook,51.0,49.0,56.0,75.0,22.0,--,--,--,--,--
Glendale (NSW),53.0,50.0,56.0,76.0,26.0,--,--,--,--,--
Glendenning,41.0,46.0,47.0,68.0,22.0,--,--,--,--,--
Glenfield (NSW),47.0,48.0,55.0,82.0,24.0,--,--,--,--,--
Glenhaven,53.0,49.0,54.0,80.0,21.0,--,--,--,--,--
Glenmore Park,44.0,44.0,48.0,71.0,22.0,--,--,--,--,--
Glenning Valley,50.0,48.0,52.0,78.0,21.0,--,--,--,--,--
Glenwood (NSW),44.0,44.0,48.0,72.0,22.0,--,--,--,--,--
Gordon (NSW),51.0,52.0,58.0,85.0,22.0,--,--,--,--,--
Gorokan,57.0,49.0,56.0,79.0,27.0,--,--,--,--,--
Gosford,47.0,50.0,55.0,78.0,27.0,--,--,--,--,--
Granville (NSW),39.0,44.0,51.0,74.0,25.0,--,--,--,--,--
Grays Point,53.0,45.0,55.0,75.0,21.0,--,--,--,--,--
Green Point (Great Lakes - NSW),54.0,50.0,61.0,76.0,27.0,--,--,--,--,--
Green Valley (NSW),46.0,44.0,50.0,71.0,22.0,--,--,--,--,--
Greenacre,47.0,44.0,53.0,79.0,22.0,--,--,--,--,--
Greenfield Park,51.0,47.0,50.0,71.0,23.0,--,--,--,--,--
Greenwich,51.0,51.0,56.0,81.0,26.0,--,--,--,--,--
Greystanes,51.0,47.0,52.0,76.0,23.0,--,--,--,--,--
Guildford (NSW),44.0,45.0,52.0,77.0,24.0,--,--,--,--,--
Guildford West,46.0,49.0,52.0,74.0,24.0,--,--,--,--,--
Gwynneville,44.0,49.0,57.0,81.0,23.0,--,--,--,--,--
Gymea,49.0,50.0,54.0,79.0,27.0,--,--,--,--,--
Gymea Bay,51.0,46.0,53.0,80.0,22.0,--,--,--,--,--
Haberfield,52.0,51.0,55.0,81.0,28.0,--,--,--,--,--
Halekulani,58.0,55.0,59.0,76.0,24.0,--,--,--,--,--
Hamilton (NSW),50.0,52.0,57.0,81.0,27.0,--,--,--,--,--
Hamilton East,54.0,49.0,54.0,82.0,24.0,--,--,--,--,--
Hamilton North,45.0,47.0,57.0,79.0,27.0,--,--,--,--,--
Hamilton South,52.0,53.0,58.0,77.0,28.0,--,--,--,--,--
Hammondville,46.0,48.0,56.0,82.0,27.0,--,--,--,--,--
Harrington Park,43.0,45.0,48.0,72.0,21.0,--,--,--,--,--
Harris Park,33.0,48.0,51.0,74.0,26.0,--,--,--,--,--
Hassall Grove,44.0,43.0,49.0,68.0,21.0,--,--,--,--,--
Haymarket,33.0,36.0,45.0,57.0,25.0,--,--,--,--,--
Heathcote (NSW),51.0,51.0,54.0,82.0,22.0,--,--,--,--,--
Hebersham,49.0,50.0,53.0,66.0,24.0,--,--,--,--,--
Heckenberg,48.0,47.0,50.0,71.0,23.0,--,--,--,--,--
Henley,51.0,60.0,71.0,76.0,25.0,--,--,--,--,--
Highfields (NSW),51.0,46.0,59.0,81.0,23.0,--,--,--,--,--
Hillsborough (Lake Macquarie - NSW),52.0,65.0,57.0,79.0,22.0,--,--,--,--,--
Hillsdale,42.0,48.0,53.0,72.0,26.0,--,--,--,--,--
Hinchinbrook (NSW),46.0,46.0,49.0,71.0,21.0,--,--,--,--,--
Holmesville,50.0,57.0,53.0,76.0,24.0,--,--,--,--,--
Holsworthy,40.0,43.0,48.0,64.0,23.0,--,--,--,--,--
Homebush (NSW),42.0,46.0,53.0,75.0,25.0,--,--,--,--,--
Homebush West,36.0,50.0,51.0,72.0,26.0,--,--,--,--,--
Horningsea Park,43.0,42.0,45.0,65.0,22.0,--,--,--,--,--
Hornsby,43.0,50.0,55.0,78.0,27.0,--,--,--,--,--
Hornsby Heights,50.0,45.0,58.0,73.0,23.0,--,--,--,--,--
Horsley,46.0,43.0,50.0,78.0,22.0,--,--,--,--,--
Hoxton Park,43.0,50.0,47.0,71.0,22.0,--,--,--,--,--
Hunters Hill,52.0,53.0,57.0,85.0,23.0,--,--,--,--,--
Huntleys Point,62.0,0.0,49.0,85.0,23.0,--,--,--,--,--
Hurlstone Park,51.0,52.0,56.0,76.0,29.0,--,--,--,--,--
Hurstville,45.0,48.0,51.0,77.0,25.0,--,--,--,--,--
Hurstville Grove,51.0,48.0,51.0,78.0,22.0,--,--,--,--,--
Illawong,53.0,48.0,52.0,79.0,22.0,--,--,--,--,--
Ingleburn,49.0,50.0,53.0,74.0,24.0,--,--,--,--,--
Ingleside,53.0,41.0,58.0,83.0,24.0,--,--,--,--,--
Islington,44.0,47.0,55.0,78.0,30.0,--,--,--,--,--
Jamisontown,51.0,50.0,54.0,80.0,26.0,--,--,--,--,--
Jannali,46.0,49.0,54.0,82.0,26.0,--,--,--,--,--
Jesmond,44.0,53.0,55.0,83.0,24.0,--,--,--,--,--
Jewells,56.0,51.0,53.0,75.0,23.0,--,--,--,--,--
Kahibah,51.0,41.0,51.0,79.0,27.0,--,--,--,--,--
Kanahooka,58.0,52.0,53.0,79.0,24.0,--,--,--,--,--
Kangaroo Point (NSW),57.0,59.0,48.0,80.0,21.0,--,--,--,--,--
Kanwal,54.0,49.0,58.0,82.0,24.0,--,--,--,--,--
Kareela,54.0,47.0,54.0,73.0,23.0,--,--,--,--,--
Kariong,46.0,44.0,51.0,75.0,21.0,--,--,--,--,--
Kearns,48.0,48.0,49.0,78.0,22.0,--,--,--,--,--
Keiraville,54.0,53.0,59.0,82.0,22.0,--,--,--,--,--
Kellyville,46.0,45.0,52.0,72.0,21.0,--,--,--,--,--
Kembla Grange,55.0,57.0,27.0,80.0,22.0,--,--,--,--,--
Kensington (NSW),44.0,48.0,52.0,81.0,23.0,--,--,--,--,--
Kilaben Bay,55.0,48.0,55.0,80.0,24.0,--,--,--,--,--
Killara (NSW),51.0,49.0,55.0,85.0,21.0,--,--,--,--,--
Killarney Heights,51.0,49.0,52.0,79.0,21.0,--,--,--,--,--
Killarney Vale,54.0,49.0,55.0,81.0,26.0,--,--,--,--,--
Kincumber,54.0,49.0,57.0,83.0,23.0,--,--,--,--,--
Kincumber South,66.0,64.0,63.0,75.0,34.0,--,--,--,--,--
Kings Langley,51.0,48.0,52.0,77.0,24.0,--,--,--,--,--
Kings Park (NSW),44.0,43.0,53.0,69.0,27.0,--,--,--,--,--
Kingsford (NSW),47.0,52.0,54.0,78.0,24.0,--,--,--,--,--
Kingsgrove,52.0,49.0,52.0,79.0,26.0,--,--,--,--,--
Kingswood (Tamworth - NSW),53.0,49.0,57.0,63.0,21.0,--,--,--,--,--
Kirrawee,50.0,49.0,56.0,81.0,26.0,--,--,--,--,--
Kirribilli,50.0,53.0,57.0,79.0,31.0,--,--,--,--,--
Kogarah,40.0,50.0,52.0,78.0,27.0,--,--,--,--,--
Kogarah Bay,50.0,53.0,52.0,80.0,23.0,--,--,--,--,--
Koolewong,56.0,44.0,62.0,75.0,28.0,--,--,--,--,--
Koonawarra,53.0,47.0,52.0,73.0,25.0,--,--,--,--,--
Kotara,52.0,51.0,52.0,80.0,24.0,--,--,--,--,--
Kotara South,56.0,57.0,57.0,81.0,25.0,--,--,--,--,--
Kurnell,47.0,48.0,54.0,76.0,26.0,--,--,--,--,--
Kyeemagh,55.0,55.0,55.0,76.0,25.0,--,--,--,--,--
Kyle Bay,52.0,68.0,55.0,81.0,22.0,--,--,--,--,--
La Perouse,60.0,67.0,46.0,77.0,29.0,--,--,--,--,--
Lake Haven,57.0,53.0,56.0,80.0,25.0,--,--,--,--,--
Lake Heights,57.0,47.0,54.0,76.0,27.0,--,--,--,--,--
