,Less than 5 hours per week,5 to 14 hours per week,15 to 29 hours per week,30 hours or more per week,Less than 5 hours per week (%),5 to 14 hours per week (%),15 to 29 hours per week (%),30 hours or more per week (%),SSC_CODE
Lower Boro,25.0,57.0,18.0,24.0,15.7,35.8,11.3,15.1,12402
New South Wales,1359656.0,1531206.0,690934.0,545925.0,22.3,25.1,11.3,9.0,
Australia,4298593.0,4944578.0,2189776.0,1710970.0,22.6,26.0,11.5,9.0,
Oallen,18.0,27.0,23.0,15.0,14.2,21.3,18.1,11.8,13062
Braidwood,236.0,373.0,190.0,149.0,17.6,27.8,14.2,11.1,10547
Majors Creek (NSW),32.0,61.0,38.0,25.0,16.0,30.5,19.0,12.5,12452
Araluen (NSW),18.0,28.0,17.0,25.0,12.1,18.8,11.4,16.8,10070
Reidsdale,13.0,33.0,19.0,13.0,13.3,33.7,19.4,13.3,13348
Bombay,13.0,24.0,13.0,16.0,13.7,25.3,13.7,16.8,10456
Warri,17.0,28.0,17.0,14.0,19.3,31.8,19.3,15.9,14172
Manar,34.0,30.0,8.0,7.0,34.7,30.6,8.2,7.1,12462
Mongarlowe,7.0,31.0,10.0,14.0,6.7,29.5,9.5,13.3,12678
Karabar,1566.0,1858.0,761.0,542.0,23.6,28.0,11.5,8.2,12071
Queanbeyan,1239.0,1469.0,507.0,307.0,23.2,27.5,9.5,5.7,13291
Crestwood,966.0,1098.0,357.0,245.0,25.3,28.7,9.3,6.4,11115
Queanbeyan East,846.0,927.0,288.0,208.0,26.0,28.5,8.9,6.4,13292
Greenleigh,146.0,194.0,91.0,52.0,25.0,33.2,15.6,8.9,11767
The Ridgeway,24.0,42.0,25.0,8.0,16.7,29.2,17.4,5.6,13836
Bungendore,748.0,1104.0,433.0,286.0,23.4,34.6,13.6,9.0,10684
Sutton (NSW),276.0,338.0,191.0,116.0,20.2,24.7,14.0,8.5,13702
Carwoola,238.0,379.0,188.0,119.0,20.1,32.0,15.9,10.1,10841
Hoskinstown,34.0,41.0,22.0,17.0,22.7,27.3,14.7,11.3,11944
Captains Flat,99.0,138.0,60.0,48.0,20.7,28.8,12.5,10.0,10804
Burra (Queanbeyan-Palerang Regional - NSW),122.0,213.0,108.0,74.0,18.8,32.8,16.6,11.4,10697
Mount Fairy,40.0,50.0,32.0,14.0,23.4,29.2,18.7,8.2,12758
Mulloon,30.0,32.0,17.0,11.0,22.9,24.4,13.0,8.4,12827
Royalla,180.0,256.0,114.0,69.0,23.5,33.4,14.9,9.0,13434
Primrose Valley,29.0,39.0,15.0,16.0,22.7,30.5,11.7,12.5,13265
Urila,13.0,31.0,12.0,12.0,11.2,26.7,10.3,10.3,14059
Tarago,67.0,109.0,42.0,33.0,19.6,32.0,12.3,9.7,13758
Currawang,21.0,47.0,21.0,16.0,13.4,29.9,13.4,10.2,11177
Googong,498.0,646.0,281.0,159.0,24.8,32.1,14.0,7.9,11704
Wamboin,282.0,449.0,222.0,140.0,20.4,32.5,16.1,10.1,14123
Bywong,245.0,348.0,177.0,109.0,22.9,32.6,16.6,10.2,10735
Michelago,79.0,133.0,71.0,42.0,18.2,30.7,16.4,9.7,12598
Jerrabomberra,1956.0,2480.0,981.0,553.0,27.1,34.3,13.6,7.6,12016
Queanbeyan West,585.0,725.0,285.0,192.0,23.4,29.0,11.4,7.7,13293
Delegate,59.0,65.0,57.0,34.0,19.3,21.2,18.6,11.1,11233
Bombala,193.0,291.0,150.0,133.0,16.9,25.5,13.2,11.7,10455
Cathcart (NSW),15.0,15.0,15.0,16.0,16.7,16.7,16.7,17.8,10855
Cooma (NSW),1073.0,1483.0,656.0,521.0,19.1,26.4,11.7,9.3,11036
Kosciuszko National Park,139.0,92.0,27.0,12.0,27.0,17.9,5.3,2.3,12199
Adaminaby,44.0,64.0,36.0,43.0,17.0,24.7,13.9,16.6,10015
Nimmitabel,44.0,50.0,48.0,40.0,17.3,19.6,18.8,15.7,12966
Numeralla,37.0,68.0,27.0,25.0,17.9,32.9,13.0,12.1,13039
Colinton (NSW),18.0,27.0,22.0,16.0,17.0,25.5,20.8,15.1,10968
Dairymans Plains,25.0,44.0,19.0,13.0,20.2,35.5,15.3,10.5,11188
Binjura,53.0,80.0,32.0,35.0,21.0,31.7,12.7,13.9,10370
Bunyan,26.0,41.0,16.0,16.0,20.8,32.8,12.8,12.8,10691
Bredbo,54.0,89.0,38.0,31.0,19.2,31.7,13.5,11.0,10559
Berridale,180.0,278.0,116.0,98.0,18.7,28.8,12.0,10.2,10316
Kalkite,38.0,45.0,28.0,16.0,21.8,25.9,16.1,9.2,12052
Crackenback,38.0,48.0,19.0,8.0,24.5,31.0,12.3,5.2,11103
Jindabyne,700.0,611.0,185.0,123.0,31.6,27.6,8.4,5.6,12030
East Jindabyne,152.0,181.0,64.0,38.0,27.7,33.0,11.7,6.9,11352
Dalgety,29.0,52.0,28.0,18.0,16.2,29.1,15.6,10.1,11190
Moonbah,100.0,134.0,63.0,44.0,23.5,31.5,14.8,10.4,12698
Catalina,281.0,468.0,286.0,194.0,14.3,23.9,14.6,9.9,10853
Batemans Bay,216.0,308.0,114.0,118.0,16.2,23.1,8.5,8.8,10229
Nelligen,47.0,79.0,55.0,17.0,16.7,28.0,19.5,6.0,12920
Long Beach,193.0,339.0,231.0,148.0,16.1,28.3,19.3,12.4,12376
Benandarah,21.0,27.0,12.0,18.0,13.5,17.4,7.7,11.6,10287
North Batemans Bay,90.0,117.0,70.0,52.0,18.1,23.5,14.1,10.4,12982
Surfside,177.0,249.0,159.0,146.0,16.4,23.1,14.7,13.5,13698
Maloneys Beach,49.0,86.0,47.0,40.0,16.1,28.2,15.4,13.1,12460
Lilli Pilli (Eurobodalla - NSW),86.0,161.0,109.0,71.0,15.7,29.3,19.9,12.9,12321
Malua Bay,292.0,461.0,258.0,176.0,17.9,28.2,15.8,10.8,12461
Surf Beach (NSW),212.0,423.0,272.0,179.0,13.4,26.8,17.2,11.3,13697
Denhams Beach,85.0,130.0,53.0,51.0,15.2,23.2,9.5,9.1,11236
Sunshine Bay,158.0,250.0,176.0,148.0,15.0,23.7,16.7,14.0,13695
Rosedale (NSW),26.0,51.0,32.0,27.0,13.8,27.0,16.9,14.3,13407
Batehaven,261.0,353.0,223.0,169.0,16.8,22.7,14.3,10.8,10228
Bega,700.0,955.0,473.0,447.0,18.6,25.4,12.6,11.9,10253
Tathra,263.0,443.0,224.0,142.0,18.1,30.5,15.4,9.8,13774
Kalaru,97.0,167.0,76.0,57.0,18.1,31.2,14.2,10.7,12051
Wallagoot,75.0,127.0,63.0,60.0,17.4,29.4,14.6,13.9,14103
Bournda,17.0,30.0,14.0,20.0,13.7,24.2,11.3,16.1,10524
Black Range (NSW),37.0,33.0,22.0,17.0,26.1,23.2,15.5,12.0,10388
Tarraganda,55.0,84.0,41.0,48.0,19.4,29.6,14.4,16.9,13768
Kanoona,24.0,27.0,24.0,18.0,21.8,24.5,21.8,16.4,12066
Toothdale,26.0,43.0,20.0,15.0,19.0,31.4,14.6,10.9,13914
Wolumla,104.0,165.0,75.0,89.0,18.3,29.0,13.2,15.7,14362
South Wolumla,18.0,42.0,21.0,17.0,13.7,32.1,16.0,13.0,13602
Wyndham (NSW),56.0,94.0,38.0,54.0,17.0,28.5,11.5,16.4,14443
Kiah,20.0,36.0,23.0,10.0,15.9,28.6,18.3,7.9,12115
Towamba,33.0,44.0,31.0,37.0,17.7,23.7,16.7,19.9,13927
Lochiel (NSW),48.0,99.0,48.0,35.0,16.4,33.8,16.4,11.9,12367
Nethercote,52.0,67.0,60.0,40.0,17.7,22.9,20.5,13.7,12932
Candelo,93.0,161.0,92.0,81.0,17.1,29.7,16.9,14.9,10788
Tantawangalo,14.0,32.0,23.0,20.0,10.9,25.0,18.0,15.6,13753
Bemboka,65.0,123.0,70.0,81.0,13.9,26.2,14.9,17.3,10284
Quaama,42.0,82.0,45.0,36.0,16.6,32.4,17.8,14.2,13285
Cobargo,107.0,154.0,91.0,101.0,16.6,23.9,14.1,15.7,10951
Yowrie,13.0,28.0,19.0,13.0,13.3,28.6,19.4,13.3,14520
Wandella (NSW),18.0,35.0,30.0,18.0,14.0,27.1,23.3,14.0,14128
Angledale,31.0,30.0,19.0,15.0,23.7,22.9,14.5,11.5,10056
Verona,29.0,82.0,52.0,30.0,12.0,34.0,21.6,12.4,14073
Tanja,16.0,43.0,32.0,15.0,11.8,31.6,23.5,11.0,13749
Coolagolite,39.0,74.0,42.0,33.0,16.0,30.3,17.2,13.5,11023
Brogo,56.0,115.0,103.0,66.0,13.0,26.6,23.8,15.3,10589
Coopers Gully,24.0,28.0,22.0,21.0,18.9,22.0,17.3,16.5,11048
Stony Creek (Bega Valley - NSW),30.0,36.0,22.0,6.0,26.1,31.3,19.1,5.2,13668
Numbugga,10.0,26.0,23.0,21.0,9.6,25.0,22.1,20.2,13038
Buckajo,59.0,62.0,38.0,24.0,23.6,24.8,15.2,9.6,10629
Kameruka,27.0,19.0,16.0,14.0,28.7,20.2,17.0,14.9,12054
Greigs Flat,15.0,29.0,16.0,17.0,14.0,27.1,15.0,15.9,11775
Broulee,262.0,401.0,186.0,148.0,18.3,28.0,13.0,10.3,10608
Tomakin,134.0,246.0,106.0,100.0,15.3,28.1,12.1,11.4,13890
Mossy Point,99.0,141.0,95.0,45.0,20.5,29.3,19.7,9.3,12741
Bodalla,117.0,160.0,95.0,94.0,18.3,25.0,14.9,14.7,10434
Narooma,364.0,583.0,329.0,267.0,15.8,25.4,14.3,11.6,12900
Eden,428.0,636.0,329.0,297.0,16.2,24.0,12.4,11.2,11375
South Durras,52.0,69.0,53.0,28.0,17.8,23.6,18.2,9.6,13580
Mogo (Eurobodalla - NSW),44.0,72.0,25.0,35.0,16.7,27.3,9.5,13.3,12660
Jeremadra,31.0,30.0,22.0,29.0,22.6,21.9,16.1,21.2,12012
Mogendoura,26.0,39.0,25.0,19.0,17.4,26.2,16.8,12.8,12657
Turlinjah,31.0,38.0,18.0,15.0,22.0,27.0,12.8,10.6,13975
Potato Point,16.0,35.0,27.0,8.0,13.3,29.2,22.5,6.7,13253
Kianga (NSW),107.0,177.0,116.0,96.0,15.4,25.5,16.7,13.9,12119
Tuross Head,312.0,581.0,340.0,247.0,15.5,28.8,16.8,12.2,13979
Pambula Beach,115.0,178.0,77.0,59.0,20.6,31.9,13.8,10.6,13141
Merimbula,598.0,850.0,430.0,264.0,19.0,27.0,13.6,8.4,12575
Tura Beach,425.0,759.0,475.0,354.0,15.5,27.6,17.3,12.9,13973
South Pambula,75.0,102.0,60.0,45.0,19.7,26.8,15.7,11.8,13595
Pambula,128.0,227.0,108.0,67.0,16.1,28.5,13.6,8.4,13140
Broadwater (Bega Valley - NSW),18.0,24.0,16.0,12.0,18.6,24.7,16.5,12.4,10579
Bald Hills (NSW),32.0,49.0,38.0,37.0,15.9,24.4,18.9,18.4,10147
Millingandi,60.0,116.0,60.0,52.0,14.8,28.6,14.8,12.8,12622
Mirador,48.0,96.0,67.0,31.0,15.5,31.1,21.7,10.0,12644
Berrambool,73.0,98.0,45.0,42.0,18.9,25.3,11.6,10.9,10312
Moruya,549.0,858.0,522.0,403.0,16.2,25.3,15.4,11.9,12734
Moruya Heads,162.0,236.0,140.0,88.0,19.7,28.7,17.0,10.7,12735
Bergalia,24.0,41.0,20.0,16.0,18.6,31.8,15.5,12.4,10302
Congo,34.0,50.0,36.0,18.0,17.1,25.1,18.1,9.0,11008
Bingie,29.0,50.0,45.0,22.0,15.6,26.9,24.2,11.8,10367
Bermagui,215.0,338.0,222.0,171.0,16.3,25.7,16.9,13.0,10307
Dalmeny,205.0,412.0,274.0,218.0,12.4,24.9,16.6,13.2,11191
Wallaga Lake,81.0,145.0,81.0,57.0,16.2,29.1,16.2,11.4,14102
Central Tilba,39.0,75.0,41.0,32.0,14.7,28.2,15.4,12.0,10877
North Narooma,77.0,151.0,106.0,76.0,14.0,27.5,19.3,13.8,12998
Akolele,17.0,17.0,17.0,18.0,13.6,13.6,13.6,14.4,10023
Mystery Bay,18.0,51.0,25.0,26.0,10.8,30.5,15.0,15.6,12883
Goulburn,3530.0,4590.0,2137.0,1679.0,19.2,25.0,11.6,9.1,11725
Run-o-Waters,79.0,115.0,65.0,37.0,20.7,30.1,17.0,9.7,13440
Marulan,158.0,245.0,141.0,90.0,17.2,26.6,15.3,9.8,12513
Windellama,54.0,67.0,49.0,35.0,17.5,21.7,15.9,11.3,14318
Bigga,24.0,52.0,29.0,26.0,11.2,24.3,13.6,12.1,10346
Tirrannaville,41.0,63.0,26.0,18.0,21.6,33.2,13.7,9.5,13883
Lake Bathurst,30.0,52.0,19.0,22.0,14.7,25.5,9.3,10.8,12239
Quialigo,31.0,57.0,35.0,23.0,15.8,29.1,17.9,11.7,13297
Laggan,67.0,79.0,33.0,44.0,23.8,28.0,11.7,15.6,12235
Grabben Gullen,39.0,56.0,27.0,23.0,17.7,25.5,12.3,10.5,11731
Parkesbourne,32.0,59.0,15.0,14.0,21.8,40.1,10.2,9.5,13152
Yarra,35.0,45.0,22.0,13.0,23.5,30.2,14.8,8.7,14468
Crookwell,377.0,566.0,324.0,279.0,17.1,25.6,14.7,12.6,11123
Bungonia,54.0,71.0,54.0,50.0,16.9,22.2,16.9,15.6,10685
Collector,32.0,90.0,34.0,25.0,14.2,40.0,15.1,11.1,10972
Middle Arm,68.0,76.0,55.0,34.0,23.1,25.9,18.7,11.6,12599
Taralga,71.0,95.0,42.0,36.0,18.4,24.6,10.9,9.3,13759
Tarlo,28.0,36.0,31.0,19.0,19.9,25.5,22.0,13.5,13767
Wayo,29.0,29.0,12.0,15.0,27.6,27.6,11.4,14.3,14204
Kingsdale,21.0,41.0,24.0,17.0,14.9,29.1,17.0,12.1,12155
Bannister (NSW),14.0,31.0,15.0,13.0,14.0,31.0,15.0,13.0,10183
Brayton,21.0,38.0,12.0,25.0,14.6,26.4,8.3,17.4,10554
Greenwich Park,21.0,27.0,17.0,3.0,22.3,28.7,18.1,3.2,11771
Tallong,124.0,175.0,88.0,106.0,18.9,26.7,13.4,16.2,13733
Carrick (NSW),22.0,27.0,14.0,14.0,19.1,23.5,12.2,12.2,10828
Brisbane Grove,28.0,23.0,15.0,13.0,24.1,19.8,12.9,11.2,10577
Binda,36.0,51.0,26.0,24.0,16.7,23.7,12.1,11.2,10363
Towrang,25.0,37.0,19.0,22.0,17.2,25.5,13.1,15.2,13930
Mummel,11.0,16.0,32.0,10.0,11.6,16.8,33.7,10.5,12835
Baw Baw (NSW),52.0,53.0,25.0,32.0,23.5,24.0,11.3,14.5,10234
Boxers Creek,37.0,53.0,18.0,26.0,19.7,28.2,9.6,13.8,10541
Gundary,36.0,64.0,24.0,32.0,16.8,29.9,11.2,15.0,11806
Yass,1064.0,1514.0,684.0,510.0,20.5,29.2,13.2,9.8,14493
Bookham,32.0,31.0,17.0,13.0,23.0,22.3,12.2,9.4,10478
Binalong,81.0,116.0,63.0,60.0,18.5,26.5,14.4,13.7,10362
Jugiong,34.0,55.0,17.0,20.0,18.5,29.9,9.2,10.9,12044
Galong,28.0,40.0,28.0,32.0,16.1,23.0,16.1,18.4,11580
Manton (NSW),35.0,73.0,45.0,32.0,14.8,30.9,19.1,13.6,12481
Yass River,40.0,91.0,67.0,26.0,14.2,32.4,23.8,9.3,14494
Rye Park,30.0,57.0,21.0,29.0,14.6,27.8,10.2,14.1,13455
Dalton,29.0,43.0,20.0,26.0,17.2,25.4,11.8,15.4,11194
Gundaroo,168.0,329.0,138.0,84.0,19.4,38.0,16.0,9.7,11805
Bowning,89.0,123.0,67.0,48.0,19.1,26.4,14.4,10.3,10535
Bellmount Forest,19.0,25.0,16.0,13.0,21.6,28.4,18.2,14.8,10274
Gunning,93.0,151.0,84.0,52.0,17.9,29.1,16.2,10.0,11813
Lade Vale,29.0,33.0,18.0,13.0,27.4,31.1,17.0,12.3,12232
Good Hope,22.0,34.0,22.0,11.0,17.9,27.6,17.9,8.9,11700
Wallaroo (NSW),132.0,165.0,91.0,66.0,22.2,27.7,15.3,11.1,14112
Murrumbateman,549.0,831.0,374.0,281.0,22.4,33.9,15.3,11.5,12860
Springrange,50.0,81.0,32.0,29.0,21.2,34.3,13.6,12.3,13625
Jeir,54.0,61.0,29.0,22.0,26.3,29.8,14.1,10.7,12004
Marchmont,38.0,60.0,24.0,14.0,22.4,35.3,14.1,8.2,12487
Nanima,21.0,50.0,19.0,10.0,16.2,38.5,14.6,7.7,12891
Young,1446.0,1910.0,1023.0,993.0,17.9,23.6,12.6,12.3,14518
Kingsvale,22.0,34.0,25.0,22.0,16.5,25.6,18.8,16.5,12161
Burrangong,39.0,46.0,19.0,31.0,21.2,25.0,10.3,16.8,10706
Wyangala,20.0,35.0,29.0,18.0,11.8,20.6,17.1,10.6,14434
Wombat,24.0,39.0,30.0,26.0,14.1,22.9,17.6,15.3,14364
Cunningar,35.0,34.0,17.0,16.0,25.9,25.2,12.6,11.9,11164
Harden,279.0,376.0,198.0,203.0,16.4,22.1,11.7,11.9,11851
Boorowa,247.0,341.0,172.0,145.0,18.0,24.9,12.6,10.6,10503
Murrumburrah,15.0,16.0,12.0,23.0,16.9,18.0,13.5,25.8,12863
Frogmore,32.0,24.0,17.0,21.0,26.2,19.7,13.9,17.2,11571
Maimuru,26.0,27.0,20.0,12.0,23.2,24.1,17.9,10.7,12444
Bendick Murrell,17.0,34.0,15.0,25.0,12.9,25.8,11.4,18.9,10290
Koorawatha,57.0,59.0,38.0,61.0,15.7,16.3,10.5,16.9,12192
Monteagle,45.0,39.0,23.0,28.0,26.2,22.7,13.4,16.3,12683
Murringo,58.0,85.0,46.0,42.0,19.0,27.8,15.0,13.7,12858
Thuddungra,22.0,22.0,21.0,12.0,22.4,22.4,21.4,12.2,13853
Bribbaree,16.0,34.0,11.0,22.0,13.9,29.6,9.6,19.1,10566
Avoca Beach,881.0,1089.0,513.0,344.0,24.7,30.5,14.4,9.6,10114
Copacabana,546.0,630.0,332.0,203.0,25.1,29.0,15.3,9.3,11056
Killcare Heights,136.0,218.0,102.0,53.0,22.1,35.4,16.6,8.6,12134
Macmasters Beach,252.0,319.0,186.0,113.0,23.2,29.3,17.1,10.4,12432
Empire Bay,402.0,549.0,252.0,232.0,21.1,28.8,13.2,12.2,11415
Wagstaffe,37.0,61.0,29.0,27.0,19.9,32.8,15.6,14.5,14084
St Huberts Island,173.0,236.0,138.0,118.0,18.4,25.1,14.7,12.6,13638
Killcare,84.0,113.0,60.0,46.0,21.6,29.0,15.4,11.8,12133
Bensville,455.0,609.0,282.0,226.0,22.9,30.6,14.2,11.4,10297
Daleys Point,100.0,156.0,103.0,65.0,16.2,25.3,16.7,10.6,11189
Pretty Beach (Central Coast - NSW),64.0,100.0,48.0,27.0,22.1,34.6,16.6,9.3,13261
Hardys Bay,35.0,56.0,48.0,11.0,17.9,28.6,24.5,5.6,11852
Kincumber South,97.0,138.0,85.0,70.0,15.3,21.8,13.4,11.1,12142
Somersby,199.0,226.0,133.0,91.0,22.3,25.3,14.9,10.2,13571
Calga,23.0,39.0,12.0,14.0,21.5,36.4,11.2,13.1,10752
Woy Woy,1729.0,2125.0,1087.0,932.0,19.1,23.5,12.0,10.3,14425
Patonga,34.0,63.0,27.0,26.0,16.8,31.2,13.4,12.9,13160
Mooney Mooney,63.0,89.0,29.0,32.0,23.8,33.6,10.9,12.1,12704
Kariong,1215.0,1352.0,593.0,492.0,24.5,27.2,11.9,9.9,12074
Peats Ridge,67.0,60.0,38.0,27.0,22.3,20.0,12.7,9.0,13172
Central Mangrove,58.0,65.0,31.0,23.0,24.9,27.9,13.3,9.9,10876
Mangrove Mountain,124.0,162.0,72.0,67.0,21.4,28.0,12.4,11.6,12472
Kulnura,123.0,133.0,68.0,52.0,24.2,26.1,13.4,10.2,12206
Mount White,37.0,48.0,15.0,13.0,23.4,30.4,9.5,8.2,12803
Wendoree Park,18.0,31.0,13.0,12.0,19.8,34.1,14.3,13.2,14224
Wisemans Ferry,41.0,59.0,25.0,12.0,21.0,30.3,12.8,6.2,14344
Gunderman,31.0,37.0,20.0,13.0,17.6,21.0,11.4,7.4,11808
Spencer,42.0,54.0,34.0,22.0,14.9,19.2,12.1,7.8,13607
Erina,744.0,995.0,512.0,352.0,17.7,23.7,12.2,8.4,11433
Green Point (Central Coast - NSW),1146.0,1487.0,717.0,530.0,21.7,28.1,13.5,10.0,11753
Matcham,159.0,238.0,133.0,94.0,20.6,30.8,17.2,12.2,12520
Holgate,170.0,239.0,145.0,85.0,22.4,31.5,19.1,11.2,11921
Lisarow,989.0,1181.0,583.0,400.0,24.3,29.0,14.3,9.8,12343
Erina Heights,67.0,96.0,60.0,35.0,20.4,29.3,18.3,10.7,11434
Terrigal,2330.0,2617.0,1264.0,877.0,24.9,28.0,13.5,9.4,13805
Springfield (Central Coast - NSW),768.0,898.0,429.0,312.0,24.0,28.1,13.4,9.8,13623
North Gosford,654.0,895.0,320.0,271.0,21.7,29.7,10.6,9.0,12991
West Gosford,224.0,284.0,125.0,82.0,19.1,24.3,10.7,7.0,14244
Gosford,846.0,833.0,241.0,163.0,27.3,26.9,7.8,5.3,11722
East Gosford,782.0,974.0,404.0,340.0,22.1,27.5,11.4,9.6,11349
Point Frederick,397.0,443.0,197.0,125.0,23.9,26.6,11.8,7.5,13232
Kincumber,1210.0,1588.0,776.0,568.0,20.5,26.9,13.2,9.6,12141
Picketts Valley,42.0,37.0,25.0,17.0,27.6,24.3,16.4,11.2,13198
Narara,1503.0,1843.0,829.0,625.0,23.6,28.9,13.0,9.8,12895
Niagara Park,475.0,677.0,304.0,216.0,22.0,31.3,14.1,10.0,12961
Mount Elliot (NSW),28.0,43.0,32.0,16.0,18.8,28.9,21.5,10.7,12757
Point Clare,658.0,878.0,422.0,309.0,21.8,29.1,14.0,10.3,13231
Tascott,296.0,420.0,178.0,143.0,22.2,31.5,13.4,10.7,13772
Koolewong,184.0,231.0,107.0,73.0,24.6,30.9,14.3,9.8,12185
Saratoga,755.0,924.0,432.0,317.0,24.2,29.6,13.8,10.2,13492
Davistown,424.0,557.0,297.0,224.0,20.4,26.8,14.3,10.8,11221
Yattalunga (NSW),87.0,139.0,68.0,45.0,20.4,32.6,16.0,10.6,14496
North Avoca,491.0,552.0,225.0,166.0,27.7,31.2,12.7,9.4,12980
Umina Beach,2809.0,3580.0,1594.0,1427.0,20.4,26.1,11.6,10.4,14007
Booker Bay,223.0,295.0,150.0,118.0,19.1,25.3,12.9,10.1,10477
Ettalong Beach,790.0,1021.0,521.0,397.0,19.0,24.6,12.5,9.6,11445
Pearl Beach,88.0,137.0,91.0,43.0,18.4,28.6,19.0,9.0,13171
Wamberal,1206.0,1453.0,746.0,530.0,23.8,28.6,14.7,10.4,14122
Forresters Beach,498.0,718.0,344.0,262.0,21.5,31.0,14.8,11.3,11549
Tumbi Umbi,920.0,1090.0,533.0,477.0,22.2,26.3,12.9,11.5,13962
Horsfield Bay,75.0,164.0,67.0,37.0,16.8,36.7,15.0,8.3,11941
Phegans Bay,73.0,122.0,60.0,36.0,20.6,34.4,16.9,10.1,13192
Woy Woy Bay,89.0,90.0,51.0,40.0,24.9,25.2,14.3,11.2,14426
Blackwall (NSW),337.0,422.0,194.0,152.0,21.2,26.5,12.2,9.6,10399
Wyoming,1725.0,2055.0,1002.0,801.0,20.8,24.8,12.1,9.7,14445
Bateau Bay,2006.0,2512.0,1270.0,1001.0,20.1,25.2,12.7,10.0,10227
Killarney Vale,1233.0,1390.0,720.0,595.0,21.4,24.1,12.5,10.3,12131
Blue Haven,1015.0,1204.0,564.0,573.0,21.1,25.0,11.7,11.9,10415
San Remo (NSW),645.0,816.0,403.0,373.0,19.0,24.0,11.9,11.0,13470
Doyalson,48.0,58.0,32.0,24.0,19.4,23.4,12.9,9.7,11286
Buff Point,520.0,659.0,392.0,335.0,18.2,23.1,13.7,11.7,10645
Budgewoi,537.0,740.0,346.0,287.0,19.2,26.5,12.4,10.3,10642
Halekulani,411.0,529.0,290.0,223.0,19.3,24.8,13.6,10.5,11830
Glenning Valley,371.0,458.0,240.0,176.0,23.1,28.5,14.9,11.0,11672
Berkeley Vale,1439.0,1825.0,840.0,651.0,21.7,27.5,12.7,9.8,10304
Chittaway Point,185.0,218.0,107.0,88.0,24.0,28.3,13.9,11.4,10912
Chittaway Bay,362.0,399.0,187.0,208.0,22.2,24.4,11.5,12.7,10911
Kanwal,601.0,713.0,388.0,286.0,17.8,21.2,11.5,8.5,12067
Wyongah,348.0,434.0,182.0,168.0,22.0,27.4,11.5,10.6,14448
Tuggerawong,227.0,271.0,145.0,98.0,21.8,26.0,13.9,9.4,13951
Rocky Point (NSW),55.0,51.0,44.0,11.0,26.2,24.3,21.0,5.2,13388
Gorokan,1311.0,1636.0,808.0,716.0,19.1,23.8,11.8,10.4,11721
Charmhaven,402.0,498.0,261.0,208.0,19.8,24.6,12.9,10.3,10889
Lake Haven,557.0,625.0,363.0,264.0,18.1,20.3,11.8,8.6,12247
Jilliby,310.0,324.0,200.0,166.0,23.6,24.7,15.2,12.6,12027
Yarramalong,52.0,107.0,45.0,20.0,19.3,39.8,16.7,7.4,14475
Cedar Brush Creek,17.0,19.0,26.0,7.0,19.1,21.3,29.2,7.9,10867
Wyong Creek,72.0,104.0,54.0,46.0,19.7,28.4,14.8,12.6,14447
Dooralong,59.0,86.0,49.0,30.0,19.2,28.0,16.0,9.8,11276
Lake Munmorah,824.0,1139.0,598.0,478.0,18.8,25.9,13.6,10.9,12253
Chain Valley Bay,365.0,477.0,263.0,247.0,17.2,22.5,12.4,11.7,10880
Kingfisher Shores,19.0,49.0,17.0,17.0,13.5,34.8,12.1,12.1,12146
Mannering Park,377.0,504.0,252.0,228.0,18.7,25.0,12.5,11.3,12477
Doyalson North,44.0,81.0,42.0,44.0,11.9,21.8,11.3,11.9,11287
Ourimbah,760.0,919.0,416.0,316.0,24.3,29.4,13.3,10.1,13103
Fountaindale,136.0,152.0,92.0,74.0,23.5,26.3,15.9,12.8,11554
Palm Grove (NSW),16.0,23.0,16.0,11.0,15.8,22.8,15.8,10.9,13133
Gwandalan,492.0,759.0,331.0,322.0,18.4,28.3,12.4,12.0,11824
Summerland Point,404.0,553.0,280.0,224.0,19.7,27.0,13.7,10.9,13690
Long Jetty,1086.0,1338.0,604.0,472.0,20.6,25.3,11.4,8.9,12378
Shelly Beach (NSW),215.0,323.0,150.0,96.0,19.7,29.7,13.8,8.8,13535
Blue Bay,183.0,221.0,102.0,98.0,20.7,25.1,11.6,11.1,10414
Toowoon Bay,79.0,134.0,58.0,46.0,16.7,28.3,12.2,9.7,13916
The Entrance North,271.0,327.0,147.0,127.0,21.8,26.3,11.8,10.2,13819
Magenta (NSW),51.0,50.0,22.0,18.0,27.9,27.3,12.0,9.8,12441
The Entrance,641.0,859.0,316.0,280.0,18.7,25.0,9.2,8.2,13818
Toukley,664.0,819.0,439.0,346.0,17.1,21.1,11.3,8.9,13925
Canton Beach,156.0,200.0,98.0,102.0,15.1,19.3,9.5,9.8,10798
Noraville,467.0,622.0,300.0,258.0,19.4,25.9,12.5,10.7,12974
Norah Head,183.0,266.0,141.0,104.0,19.1,27.8,14.7,10.9,12973
Kangy Angy,46.0,61.0,34.0,26.0,17.2,22.8,12.7,9.7,12064
Tuggerah,184.0,206.0,86.0,67.0,24.6,27.6,11.5,9.0,13950
Wyong,661.0,832.0,387.0,383.0,18.2,22.9,10.7,10.6,14446
Mardi,600.0,710.0,359.0,257.0,21.0,24.8,12.6,9.0,12488
Tacoma South,49.0,58.0,29.0,20.0,23.0,27.2,13.6,9.4,13725
Hamlyn Terrace,972.0,1183.0,515.0,514.0,21.0,25.5,11.1,11.1,11843
