,Did unpaid domestic work (last week),Cared for child/children (last two weeks),Provided unpaid assistance to a person with a disability (last two weeks),Did voluntary work through an organisation or group (last 12 months),Did unpaid domestic work (last week) (%),Cared for child/children (last two weeks) (%),Provided unpaid assistance to a person with a disability (last two weeks) (%),Did voluntary work through an organisation or group (last 12 months) (%),SSC_CODE
Dubbo,21294.0,9050.0,3629.0,5961.0,69.4,29.5,11.8,19.4,11296
Terramungamine,160.0,73.0,34.0,72.0,77.3,35.1,16.5,33.8,13801
Brocklehurst,183.0,82.0,34.0,62.0,66.3,29.7,12.4,22.9,10583
Wongarbon,433.0,215.0,84.0,139.0,76.9,38.3,14.9,25.0,14373
Elong Elong,66.0,14.0,17.0,33.0,67.3,13.7,15.6,34.0,11406
Gollan,53.0,21.0,13.0,26.0,55.8,24.7,12.9,28.6,11694
Eumungerie,183.0,67.0,38.0,69.0,69.8,25.5,14.6,26.4,11456
Minore,92.0,42.0,24.0,18.0,72.4,32.8,18.0,14.4,12641
Ballimore,103.0,40.0,21.0,55.0,63.6,24.7,13.6,34.2,10161
Gilgandra,1552.0,629.0,340.0,606.0,60.9,24.7,13.4,23.8,11619
Collie (NSW),118.0,46.0,13.0,40.0,74.7,29.7,8.4,25.6,10975
Armatree,71.0,33.0,9.0,51.0,62.8,30.6,8.2,47.2,10084
Curban,79.0,27.0,8.0,40.0,77.5,25.7,7.5,36.7,11166
Tooraweenah,145.0,50.0,16.0,68.0,74.0,24.8,8.3,35.2,13911
Narromine,2387.0,1044.0,424.0,883.0,65.5,28.6,11.6,24.2,12911
Burroway,64.0,33.0,11.0,28.0,66.0,35.9,12.0,30.1,10715
Trangie,611.0,202.0,109.0,271.0,62.3,20.8,11.1,27.7,13932
Tomingley,171.0,66.0,31.0,67.0,69.8,27.2,12.4,27.0,13896
Wellington (NSW),1853.0,748.0,420.0,549.0,56.3,22.7,12.8,16.7,14221
Mumbil,130.0,46.0,34.0,48.0,54.9,19.3,14.0,20.6,12832
Stuart Town,128.0,34.0,26.0,45.0,62.7,17.7,13.0,22.8,13680
Euchareena,90.0,53.0,12.0,24.0,58.1,35.1,7.6,16.2,11452
Neurea,74.0,23.0,17.0,33.0,71.2,20.7,16.5,28.9,12933
Mount Arthur,97.0,29.0,14.0,35.0,71.3,21.5,10.1,25.2,12747
Maryvale (NSW),110.0,44.0,14.0,37.0,70.5,28.4,8.9,23.4,12517
Geurie,412.0,171.0,89.0,160.0,70.4,28.9,15.2,27.4,11608
Montefiores,314.0,120.0,66.0,98.0,70.1,26.3,14.5,21.6,12685
Greta (NSW),1485.0,760.0,223.0,301.0,70.0,35.9,10.6,14.2,11778
Lower Belford,241.0,91.0,40.0,85.0,72.8,27.2,12.2,25.2,12401
Belford,106.0,41.0,6.0,17.0,78.5,30.6,4.5,12.0,10258
Branxton,1148.0,542.0,170.0,330.0,73.5,34.8,10.9,21.1,10549
Pokolbin,579.0,209.0,78.0,140.0,69.2,25.1,9.4,16.7,13236
Keinbah,73.0,35.0,19.0,20.0,76.0,38.5,19.8,20.6,12084
Lovedale,315.0,116.0,53.0,86.0,76.8,28.9,13.2,21.0,12396
East Branxton,1012.0,527.0,115.0,208.0,76.5,40.2,8.7,15.8,11346
North Rothbury,491.0,268.0,74.0,135.0,75.8,41.9,11.5,21.0,13004
Leconfield,92.0,43.0,14.0,23.0,84.4,39.4,12.8,20.2,12291
Cessnock,7305.0,3346.0,1419.0,1372.0,59.4,27.2,11.5,11.2,10878
Nulkaba,396.0,178.0,52.0,107.0,72.8,32.8,9.5,19.7,13031
Aberdare,1307.0,633.0,252.0,257.0,67.3,32.5,13.0,13.2,10006
Kearsley,445.0,226.0,93.0,84.0,67.9,34.6,14.2,12.9,12080
Bellbird,1039.0,522.0,208.0,181.0,66.0,33.1,13.2,11.4,10268
Bellbird Heights,461.0,209.0,78.0,95.0,72.4,33.2,12.4,15.0,10269
Ellalong,624.0,273.0,123.0,128.0,72.5,31.4,14.2,14.7,11398
Kitchener,261.0,121.0,70.0,50.0,68.5,32.0,18.7,13.6,12174
Abernethy,157.0,89.0,23.0,28.0,61.1,34.1,8.8,11.0,10011
Mulbring,370.0,161.0,66.0,114.0,77.4,33.1,13.6,23.6,12813
Buchanan (NSW),126.0,47.0,25.0,40.0,78.3,30.1,15.9,24.1,10628
Millfield,502.0,239.0,104.0,119.0,64.5,30.8,13.4,15.3,12620
Paxton,481.0,245.0,102.0,101.0,67.3,34.0,14.2,14.0,13162
Black Hill (NSW),335.0,152.0,76.0,117.0,73.5,33.3,16.6,25.7,10385
Mount Vincent,247.0,111.0,42.0,85.0,83.7,36.9,14.0,28.1,12799
Brunkerville,137.0,49.0,34.0,35.0,76.1,27.7,19.8,20.0,10620
Quorrobolong,322.0,114.0,68.0,80.0,74.7,26.5,15.8,18.4,13302
Congewai,121.0,34.0,17.0,35.0,75.2,21.8,10.8,22.4,11007
Mount View,61.0,22.0,14.0,7.0,56.5,19.3,12.3,6.2,12798
Paynes Crossing,39.0,10.0,9.0,24.0,42.9,10.8,9.8,24.7,13163
Laguna,119.0,37.0,24.0,54.0,70.4,20.4,13.6,29.8,12237
Wollombi,119.0,29.0,21.0,48.0,73.9,18.6,12.6,30.0,14355
Watagan,86.0,30.0,11.0,32.0,83.5,28.6,10.5,31.4,14180
Murrays Run,108.0,23.0,21.0,39.0,83.1,17.2,15.1,29.1,12855
Bucketty,105.0,39.0,20.0,41.0,70.0,27.7,14.6,27.9,10634
Clarence Town,1194.0,505.0,226.0,352.0,74.0,31.3,14.0,21.7,10920
Dungog,1144.0,444.0,238.0,442.0,67.3,26.1,14.0,26.0,11320
Bendolba,112.0,51.0,24.0,34.0,71.3,33.1,15.7,24.1,10291
Paterson (NSW),554.0,235.0,98.0,197.0,79.4,33.4,13.9,27.9,13159
Martins Creek,230.0,90.0,46.0,46.0,74.7,30.2,15.1,15.3,12511
Torryburn (Dungog - NSW),103.0,22.0,13.0,30.0,85.1,18.5,10.6,26.1,13920
Vacy,377.0,187.0,67.0,128.0,78.2,38.9,13.6,26.6,14063
East Gresford,155.0,74.0,30.0,70.0,65.4,31.2,12.2,28.3,11350
Gresford,132.0,55.0,20.0,47.0,62.9,26.7,9.8,23.2,11777
Glen Martin,106.0,41.0,11.0,24.0,79.1,31.8,8.9,18.3,11650
Wallarobba,105.0,30.0,19.0,38.0,73.4,20.7,13.0,26.0,14111
Hilldale,113.0,43.0,23.0,41.0,72.0,27.6,14.5,25.9,11906
Glen Oak,205.0,83.0,24.0,60.0,72.4,28.9,8.4,21.1,11652
Glen William,76.0,31.0,25.0,29.0,83.5,30.7,26.6,29.3,11654
Brookfield (NSW),123.0,42.0,22.0,46.0,71.1,24.7,12.6,26.6,10596
Abermain,1278.0,625.0,254.0,240.0,68.5,33.4,13.6,12.9,10010
Weston (NSW),1824.0,924.0,381.0,360.0,63.8,32.3,13.3,12.6,14262
Kurri Kurri,3153.0,1352.0,593.0,611.0,63.5,27.3,12.0,12.3,12221
Stanford Merthyr,296.0,152.0,67.0,42.0,65.6,33.2,14.7,9.4,13647
Pelaw Main,573.0,266.0,135.0,108.0,69.7,32.5,16.4,13.2,13177
Heddon Greta,1177.0,626.0,207.0,216.0,73.4,39.0,12.9,13.4,11888
Neath,233.0,93.0,59.0,40.0,56.6,22.8,14.4,9.6,12917
Cliftleigh,384.0,245.0,65.0,44.0,67.7,43.0,11.4,7.7,10932
Sawyers Gully,292.0,131.0,54.0,53.0,68.5,31.5,13.0,12.7,13499
Hunterview,1698.0,898.0,239.0,450.0,77.2,40.8,10.9,20.5,11955
Redbournberry,148.0,59.0,23.0,54.0,76.7,31.9,11.8,28.4,13337
Singleton (NSW),2918.0,1152.0,480.0,795.0,71.3,28.1,11.7,19.4,13549
Whittingham,218.0,94.0,47.0,80.0,72.9,31.2,15.7,26.7,14279
Gowrie (Singleton - NSW),213.0,91.0,23.0,56.0,85.9,37.4,9.1,22.4,11729
Glenridding,144.0,54.0,29.0,38.0,64.6,24.2,13.3,17.5,11676
Singleton Heights,2534.0,1240.0,386.0,696.0,70.2,34.4,10.7,19.3,13550
Wattle Ponds,672.0,317.0,109.0,224.0,81.9,38.7,13.4,27.4,14193
McDougalls Hill,89.0,27.0,16.0,12.0,72.4,22.3,12.8,10.4,12541
Darlington (Singleton - NSW),214.0,81.0,35.0,57.0,70.4,26.8,11.7,18.6,11213
Broke (NSW),288.0,131.0,53.0,93.0,65.9,30.0,12.2,21.4,10590
Putty,62.0,19.0,14.0,18.0,42.5,13.9,9.8,13.1,13279
Howes Valley,39.0,16.0,11.0,12.0,40.2,15.8,10.9,12.6,11948
Bulga (NSW),198.0,87.0,30.0,83.0,71.0,30.4,10.6,29.2,10651
Jerrys Plains,196.0,98.0,28.0,55.0,66.0,33.3,9.4,18.8,12021
Maison Dieu,98.0,53.0,17.0,32.0,69.0,35.6,11.8,22.4,12448
Bridgman,116.0,72.0,18.0,49.0,77.3,46.8,12.0,31.6,10567
Mount Olive (Singleton - NSW),103.0,43.0,15.0,33.0,87.3,35.0,12.3,27.0,12781
Westbrook (NSW),88.0,31.0,23.0,25.0,71.5,24.8,18.9,19.8,14257
Reedy Creek (NSW),91.0,38.0,10.0,30.0,65.5,26.6,6.8,20.4,13342
Sedgefield,108.0,49.0,12.0,45.0,81.2,36.8,9.1,34.1,13514
Mitchells Flat,130.0,51.0,20.0,43.0,80.7,31.5,12.3,27.0,12651
Glendon,71.0,29.0,17.0,31.0,80.7,31.5,18.5,32.0,11660
Elderslie (Singleton - NSW),80.0,36.0,19.0,31.0,74.8,34.6,17.1,27.2,11392
Lambs Valley (Singleton - NSW),206.0,92.0,41.0,54.0,71.8,31.9,14.6,18.8,12263
Stanhope (NSW),91.0,31.0,11.0,30.0,77.1,27.4,9.2,25.2,13648
Glendon Brook,148.0,73.0,20.0,41.0,72.5,37.2,10.0,20.4,11661
Maitland (NSW),1016.0,359.0,193.0,231.0,63.3,22.3,12.0,14.4,12449
South Maitland,223.0,87.0,53.0,56.0,55.2,22.0,13.3,13.8,13591
Gillieston Heights,1780.0,943.0,278.0,316.0,76.1,40.4,11.9,13.5,11624
Louth Park,386.0,181.0,70.0,122.0,76.1,35.6,13.8,24.3,12395
Horseshoe Bend,200.0,81.0,45.0,34.0,63.5,26.2,14.3,11.0,11939
Oakhampton,84.0,17.0,26.0,24.0,49.4,10.1,14.9,14.0,13056
East Maitland,6831.0,2836.0,1194.0,1758.0,70.6,29.3,12.3,18.2,11360
Metford,2604.0,1280.0,537.0,519.0,71.7,35.3,14.8,14.3,12592
Tenambit,1619.0,708.0,329.0,393.0,69.3,30.4,14.1,16.9,13787
Raworth,1028.0,530.0,192.0,261.0,78.2,40.3,14.6,19.8,13325
Morpeth,899.0,333.0,148.0,262.0,76.4,28.5,12.6,22.4,12727
Ashtonfield,2679.0,1344.0,417.0,601.0,76.0,38.2,11.8,17.1,10102
Chisholm (NSW),903.0,504.0,123.0,168.0,84.5,47.0,11.4,15.6,10909
Largs,1106.0,531.0,160.0,258.0,75.5,36.3,10.9,17.6,12278
Bolwarra Heights,1788.0,863.0,263.0,483.0,79.8,38.5,11.7,21.5,10451
Lorn,856.0,359.0,151.0,242.0,79.6,33.4,14.1,22.6,12389
Bolwarra (NSW),661.0,267.0,112.0,189.0,82.2,33.3,13.9,23.5,10450
Woodville (NSW),253.0,107.0,46.0,72.0,72.1,30.4,13.3,21.0,14398
Maitland Vale,81.0,42.0,14.0,34.0,81.0,42.4,14.4,37.0,12451
Rutherford,6182.0,3108.0,1182.0,1104.0,67.7,34.0,12.9,12.1,13449
Aberglasslyn,3049.0,1595.0,436.0,559.0,76.9,40.2,11.0,14.1,10009
Luskintyre,109.0,51.0,20.0,26.0,73.2,32.5,12.5,17.8,12423
Lochinvar,480.0,188.0,125.0,103.0,73.1,28.4,19.1,15.6,12368
Windella,466.0,190.0,85.0,118.0,80.6,32.9,14.7,20.3,14317
Telarah,1251.0,565.0,274.0,233.0,67.1,30.2,14.7,12.5,13780
Farley,142.0,56.0,22.0,35.0,78.9,32.4,12.4,19.3,11490
Bishops Bridge,156.0,63.0,31.0,22.0,75.4,30.1,15.5,10.7,10380
Thornton (NSW),4720.0,2306.0,841.0,1041.0,75.9,37.1,13.5,16.7,13851
Millers Forest,214.0,83.0,34.0,45.0,75.6,29.2,11.6,15.8,12618
Berry Park,79.0,26.0,9.0,17.0,67.5,23.4,8.3,15.0,10325
Anna Bay,2114.0,821.0,431.0,576.0,65.2,25.4,13.3,17.8,10060
Boat Harbour (Port Stephens - NSW),588.0,270.0,107.0,166.0,77.6,35.5,14.1,21.5,10425
Bobs Farm,262.0,91.0,43.0,84.0,68.2,23.7,11.2,21.8,10429
One Mile (NSW),235.0,90.0,44.0,70.0,70.1,26.2,12.9,20.3,13085
Lemon Tree Passage,1534.0,518.0,303.0,350.0,70.2,23.7,13.8,15.9,12300
Mallabula,506.0,187.0,104.0,117.0,67.6,24.7,13.8,15.5,12455
Tanilba Bay,1747.0,661.0,340.0,449.0,68.4,25.9,13.3,17.6,13748
Salamander Bay,2803.0,982.0,559.0,759.0,69.3,24.3,13.8,18.8,13463
Soldiers Point,881.0,285.0,173.0,250.0,71.6,23.3,14.1,20.4,13570
Corlette,3281.0,1149.0,534.0,942.0,72.9,25.6,11.9,21.0,11075
Taylors Beach (NSW),68.0,25.0,20.0,30.0,71.6,25.3,21.1,30.6,13777
Nelson Bay (NSW),3493.0,1214.0,595.0,994.0,70.9,24.6,12.1,20.2,12923
Fingal Bay,900.0,266.0,177.0,290.0,62.3,18.5,12.3,20.1,11518
Shoal Bay (NSW),876.0,284.0,162.0,263.0,53.4,17.4,9.9,16.1,13539
Raymond Terrace,6641.0,3073.0,1257.0,1376.0,66.0,30.5,12.5,13.7,13327
Tomago,139.0,37.0,32.0,24.0,53.5,14.1,12.1,9.2,13889
Heatherbrae,278.0,80.0,57.0,63.0,60.0,17.2,12.2,13.4,11884
Eagleton,143.0,65.0,28.0,46.0,83.1,38.2,16.6,28.0,11342
Duns Creek,354.0,150.0,63.0,107.0,82.7,34.9,14.8,24.9,11326
Seaham,621.0,269.0,120.0,171.0,78.4,33.8,15.2,21.8,13510
Wallalong,615.0,301.0,79.0,151.0,78.7,38.3,10.1,19.2,14104
Brandy Hill,445.0,174.0,71.0,124.0,78.1,30.7,12.3,21.8,10548
Hinton,291.0,127.0,59.0,75.0,79.3,34.2,15.9,20.3,11916
Butterwick,98.0,33.0,9.0,21.0,79.7,26.6,7.5,17.1,10725
East Seaham,208.0,79.0,26.0,56.0,79.1,29.4,9.7,21.2,11362
Nelsons Plains,204.0,103.0,44.0,49.0,72.3,37.2,15.9,17.6,12924
Osterley (NSW),70.0,22.0,8.0,22.0,66.7,21.6,7.7,21.4,13099
Tea Gardens,1896.0,413.0,378.0,680.0,71.7,15.6,14.3,25.7,13779
North Arm Cove,302.0,98.0,70.0,87.0,76.8,25.5,17.7,22.2,12979
Bundabah,69.0,18.0,14.0,21.0,78.4,20.5,15.7,23.6,10668
Pindimar,221.0,61.0,41.0,72.0,73.7,20.1,13.5,24.1,13211
Hawks Nest,731.0,199.0,137.0,238.0,67.7,18.5,12.7,22.0,11873
Karuah,788.0,238.0,182.0,217.0,66.4,20.0,15.3,18.3,12076
Medowie,5489.0,2611.0,876.0,1334.0,75.4,35.8,12.0,18.3,12554
Salt Ash,656.0,250.0,122.0,136.0,70.5,27.0,13.2,14.6,13467
Williamtown,430.0,103.0,91.0,106.0,51.7,12.4,10.9,12.9,14299
Twelve Mile Creek,78.0,18.0,23.0,15.0,52.0,12.9,15.1,10.3,13988
Swan Bay (Port Stephens - NSW),206.0,56.0,53.0,55.0,78.0,21.1,20.0,20.6,13704
Muswellbrook,6282.0,2927.0,976.0,1452.0,67.5,31.4,10.5,15.6,12868
Denman,985.0,429.0,174.0,366.0,69.6,30.5,12.3,25.9,11241
Gungal,130.0,62.0,31.0,43.0,68.8,33.0,16.9,21.9,11810
Martindale,99.0,29.0,28.0,51.0,72.8,20.7,20.0,36.2,12510
Castle Rock,95.0,39.0,12.0,29.0,65.1,26.7,8.5,19.3,10848
Aberdeen (NSW),1134.0,513.0,165.0,306.0,69.4,31.4,10.1,18.8,10007
Wybong,64.0,42.0,16.0,19.0,71.1,50.0,16.5,20.9,14436
Sandy Hollow,82.0,32.0,14.0,27.0,64.1,25.4,11.2,22.3,13486
Muscle Creek,179.0,86.0,25.0,48.0,76.8,38.2,10.8,21.1,12867
McCullys Gap,147.0,70.0,22.0,53.0,78.6,36.3,11.3,27.9,12540
Scone,3020.0,1280.0,485.0,996.0,67.8,28.8,10.9,22.4,13503
Middle Brook,142.0,61.0,14.0,46.0,81.6,33.3,8.0,26.6,12600
Dartbrook,63.0,27.0,8.0,24.0,77.8,32.1,10.0,28.2,11217
Segenhoe,114.0,39.0,7.0,37.0,64.4,22.2,4.0,20.4,13517
Rouchel,85.0,40.0,11.0,30.0,69.1,33.6,9.0,24.4,13422
Murrurundi,566.0,197.0,117.0,192.0,65.3,22.9,13.5,22.4,12864
Blandford,120.0,25.0,16.0,45.0,73.6,15.4,9.9,28.3,10406
Wingen,158.0,74.0,26.0,44.0,66.1,30.7,10.7,18.4,14331
Parkville (NSW),162.0,71.0,18.0,53.0,73.0,31.7,8.1,23.0,13154
Upper Dartbrook,86.0,23.0,13.0,20.0,76.8,20.2,11.3,17.2,14022
Gundy,120.0,36.0,8.0,43.0,73.6,22.5,5.1,25.7,11809
Moonan Flat,71.0,28.0,7.0,28.0,67.6,25.7,6.2,26.4,12697
Niangala,82.0,25.0,10.0,36.0,78.8,22.9,9.1,34.3,12962
Merriwa (NSW),939.0,389.0,142.0,402.0,66.7,27.6,10.1,28.5,12585
Moobi,89.0,45.0,10.0,41.0,76.1,39.5,8.5,34.2,12688
Dapto,6049.0,2686.0,1158.0,1219.0,69.6,30.9,13.3,14.0,11202
Kanahooka,3261.0,1462.0,680.0,792.0,70.0,31.4,14.6,17.0,12055
Koonawarra,1908.0,901.0,413.0,361.0,66.2,31.3,14.3,12.5,12187
Avondale (NSW),945.0,421.0,195.0,226.0,70.0,31.1,14.5,16.7,10116
Marshall Mount,90.0,42.0,11.0,21.0,84.1,37.5,10.3,19.4,12507
Haywards Bay,593.0,300.0,82.0,106.0,77.9,39.6,10.8,14.0,11880
Brownsville,303.0,110.0,66.0,75.0,64.2,23.4,14.0,16.0,10612
Horsley,4739.0,2434.0,829.0,988.0,76.0,39.1,13.3,15.8,11942
Wongawilli,92.0,38.0,19.0,19.0,79.3,35.8,16.2,17.6,14374
Kembla Grange,148.0,64.0,21.0,41.0,71.2,31.5,10.2,20.1,12092
Dombarton,95.0,46.0,19.0,24.0,84.8,41.4,16.7,20.5,11270
Port Kembla,2698.0,1045.0,606.0,553.0,64.5,25.0,14.5,13.2,13245
Coniston,1285.0,511.0,249.0,286.0,68.1,27.0,13.2,15.1,11010
Unanderra,2821.0,1224.0,648.0,645.0,62.7,27.3,14.4,14.4,14008
Mount Kembla,698.0,298.0,111.0,236.0,84.0,35.9,13.4,28.5,12769
Kembla Heights,61.0,28.0,13.0,19.0,62.9,30.8,14.0,21.3,12093
Cordeaux Heights,2887.0,1159.0,606.0,888.0,78.1,31.4,16.4,24.0,11070
Farmborough Heights,2552.0,1135.0,455.0,654.0,75.6,33.5,13.5,19.3,11491
Berkeley,3758.0,1669.0,830.0,772.0,61.0,27.1,13.5,12.5,10303
Cringila,961.0,434.0,258.0,156.0,55.4,25.1,14.9,9.0,11116
Lake Heights,2017.0,844.0,445.0,340.0,65.2,27.3,14.4,11.0,12248
Warrawong,2239.0,906.0,570.0,369.0,58.6,23.7,14.9,9.6,14167
Windang,1456.0,518.0,331.0,320.0,62.5,22.3,14.2,13.7,14316
Primbee,924.0,354.0,206.0,202.0,67.0,25.6,14.9,14.6,13264
Mount Keira,1047.0,456.0,209.0,298.0,80.0,34.9,15.9,22.6,12768
Bulli,3687.0,1738.0,655.0,1173.0,78.2,36.9,13.9,24.9,10662
Bargo,2520.0,1087.0,438.0,596.0,72.5,31.3,12.6,17.2,10198
Yerrinbool,675.0,284.0,120.0,163.0,75.2,31.5,13.3,18.1,14510
Wilton (NSW),1799.0,936.0,219.0,370.0,79.9,41.7,9.7,16.4,14311
Pheasants Nest,377.0,169.0,48.0,89.0,70.5,30.9,9.0,16.4,13191
Albion Park,7525.0,3814.0,1357.0,1695.0,72.6,36.8,13.1,16.4,10025
Calderwood,100.0,47.0,18.0,25.0,74.6,34.8,12.7,19.4,10750
Tullimbar,318.0,195.0,83.0,73.0,78.9,48.3,20.3,18.3,13958
Yellow Rock (Shellharbour - NSW),122.0,56.0,13.0,23.0,70.9,31.1,7.5,13.2,14503
Albion Park Rail,3731.0,1676.0,793.0,802.0,66.3,29.8,14.1,14.2,10026
Kiama,4351.0,1591.0,739.0,1530.0,74.1,27.1,12.6,26.0,12116
Kiama Heights,539.0,212.0,107.0,173.0,76.7,30.2,15.3,24.7,12118
Bombo,69.0,22.0,16.0,24.0,70.4,22.4,16.0,22.9,10458
Kiama Downs,3209.0,1316.0,557.0,991.0,79.5,32.7,13.8,24.6,12117
Minnamurra,485.0,201.0,115.0,149.0,78.4,32.3,18.5,23.8,12639
Gerringong,2376.0,955.0,391.0,898.0,73.8,29.7,12.1,27.9,11606
Jamberoo,1058.0,369.0,191.0,426.0,76.7,26.9,13.9,31.0,11998
Werri Beach,355.0,147.0,59.0,139.0,77.0,31.4,12.6,30.0,14233
Gerroa,410.0,119.0,72.0,159.0,70.3,20.3,12.3,26.9,11607
Curramore (NSW),128.0,43.0,33.0,48.0,80.0,26.1,19.6,28.9,11174
Jerrara,90.0,40.0,8.0,41.0,82.6,37.7,7.3,36.0,12017
Toolijooa,79.0,21.0,15.0,32.0,67.5,17.8,13.4,28.8,13903
Foxground,101.0,34.0,10.0,41.0,74.3,25.0,7.7,30.4,11558
Flinders (NSW),3790.0,1923.0,587.0,817.0,74.4,37.8,11.5,16.0,11534
Shellharbour,2117.0,878.0,380.0,507.0,71.3,29.6,12.8,17.1,13533
Shell Cove,3261.0,1711.0,512.0,704.0,78.4,41.1,12.3,16.9,13532
Barrack Point,390.0,172.0,60.0,100.0,69.1,30.8,10.7,17.9,10208
Dunmore (NSW),125.0,45.0,23.0,36.0,73.1,25.7,13.9,20.3,11323
Oak Flats,3795.0,1640.0,824.0,785.0,71.7,30.9,15.6,14.8,13053
Blackbutt (NSW),1854.0,790.0,434.0,351.0,68.0,29.0,15.9,12.9,10391
Shellharbour City Centre,89.0,22.0,21.0,35.0,38.4,9.7,9.3,15.2,13534
Warilla,3108.0,1251.0,713.0,587.0,58.1,23.4,13.4,11.0,14151
Lake Illawarra,1726.0,633.0,370.0,318.0,64.6,23.7,13.9,11.9,12250
Barrack Heights,3236.0,1492.0,713.0,621.0,67.9,31.2,15.0,13.0,10207
Mount Warrigal,2662.0,1215.0,578.0,519.0,66.6,30.5,14.5,13.0,12801
Fairy Meadow,4217.0,1563.0,801.0,1085.0,67.5,25.0,12.8,17.4,11484
Balgownie,3329.0,1423.0,669.0,863.0,73.4,31.4,14.8,19.0,10155
Gwynneville,1676.0,579.0,227.0,616.0,63.9,22.1,8.7,23.4,11825
North Wollongong,1545.0,319.0,199.0,494.0,64.0,13.2,8.2,20.4,13017
Mount Ousley,967.0,381.0,171.0,306.0,75.4,29.4,13.2,23.7,12782
Mount Pleasant (NSW),825.0,373.0,160.0,235.0,76.6,34.5,14.7,21.7,12784
Tarrawanna,1200.0,449.0,264.0,347.0,67.8,25.4,14.9,19.6,13769
Corrimal,3808.0,1513.0,740.0,949.0,70.9,28.1,13.8,17.7,11082
Towradgi,1853.0,786.0,392.0,538.0,71.9,30.7,15.3,20.9,13929
Fernhill,544.0,221.0,113.0,116.0,62.2,25.2,12.9,13.3,11507
East Corrimal,2038.0,860.0,390.0,475.0,73.4,30.9,14.0,17.1,11348
Bellambi,2095.0,845.0,449.0,500.0,64.3,26.0,13.8,15.3,10264
West Wollongong,2923.0,1207.0,539.0,875.0,75.3,31.1,13.9,22.5,14255
Keiraville,2266.0,707.0,336.0,840.0,73.6,23.0,10.9,27.3,12085
Figtree,6802.0,3087.0,1273.0,1915.0,73.4,33.3,13.7,20.6,11515
Helensburgh,3735.0,1852.0,597.0,1024.0,75.8,37.6,12.1,20.8,11890
Otford,250.0,104.0,37.0,104.0,85.3,35.3,12.6,35.0,13101
Stanwell Park,917.0,390.0,172.0,318.0,80.4,34.2,15.0,27.7,13653
Stanwell Tops,299.0,144.0,55.0,121.0,75.1,36.8,14.0,30.1,13654
Thirroul,3722.0,1686.0,674.0,1171.0,76.9,34.8,13.9,24.2,13848
Austinmer,1675.0,715.0,284.0,601.0,82.0,35.0,13.9,29.4,10108
Coledale,785.0,357.0,143.0,252.0,80.0,36.1,14.4,25.5,10966
Wombarra,594.0,227.0,94.0,205.0,84.0,31.5,13.1,28.8,14363
Scarborough (NSW),190.0,95.0,32.0,72.0,80.2,38.9,13.0,29.0,13500
Coalcliff,131.0,44.0,35.0,51.0,84.5,28.6,22.3,31.5,10944
Woonona,7169.0,3187.0,1301.0,2132.0,73.4,32.6,13.3,21.8,14416
Russell Vale,884.0,423.0,182.0,228.0,73.2,35.2,15.0,19.0,13448
Wollongong,10570.0,2830.0,1640.0,3008.0,63.0,16.9,9.8,17.9,14358
Mount Saint Thomas,883.0,369.0,174.0,216.0,74.1,31.2,14.7,18.3,12791
Mangerton,1744.0,736.0,330.0,505.0,74.2,31.4,14.0,21.5,12468
Bulahdelah,783.0,242.0,176.0,219.0,63.2,19.4,14.2,17.7,10649
Wards River,101.0,29.0,24.0,20.0,65.6,19.2,15.7,13.1,14147
Stroud Road,119.0,51.0,14.0,50.0,62.3,27.3,7.4,25.4,13679
Stroud,522.0,222.0,92.0,193.0,70.3,29.8,12.3,25.7,13677
Girvan,98.0,45.0,26.0,22.0,71.5,31.7,18.7,15.9,11637
Nerong,71.0,17.0,14.0,16.0,71.7,16.3,14.4,15.8,12929
Allworth,92.0,46.0,10.0,23.0,69.2,34.6,7.6,17.3,10041
Bunyah,95.0,23.0,11.0,25.0,77.9,19.8,9.1,21.6,10690
Markwell,72.0,22.0,16.0,26.0,73.5,22.9,16.0,26.5,12493
Booral (NSW),230.0,93.0,40.0,66.0,69.3,27.9,12.1,19.8,10496
Limeburners Creek (Mid-Coast - NSW),184.0,103.0,46.0,44.0,67.9,38.1,17.0,16.1,12328
Forster (NSW),7789.0,2363.0,1606.0,2386.0,66.0,20.0,13.6,20.2,11550
Green Point (Mid-Coast - NSW),351.0,104.0,58.0,91.0,77.0,22.8,12.8,20.2,11755
Darawank,218.0,82.0,46.0,58.0,70.3,26.7,14.7,18.6,11203
Tarbuck Bay,119.0,41.0,17.0,33.0,80.4,28.3,11.6,22.4,13762
Nabiac,729.0,284.0,150.0,200.0,72.0,28.1,14.8,19.9,12885
Failford,327.0,75.0,60.0,97.0,71.7,16.5,13.2,21.3,11476
Coomba Park,350.0,67.0,90.0,123.0,62.5,12.0,16.1,21.9,11038
Smiths Lake,715.0,281.0,142.0,182.0,73.3,28.8,14.6,18.6,13563
Bungwahl,161.0,46.0,28.0,44.0,84.7,24.0,14.3,23.3,10687
Charlotte Bay,105.0,35.0,25.0,24.0,71.9,24.6,17.1,17.3,10887
Wootton,127.0,28.0,18.0,24.0,73.8,16.2,10.2,13.5,14417
Coolongolook,216.0,63.0,46.0,45.0,64.9,19.3,14.0,13.6,11032
Coomba Bay,86.0,15.0,18.0,26.0,73.5,13.2,14.9,23.4,11037
Minimbah,114.0,41.0,23.0,37.0,72.2,25.8,14.1,23.6,12636
Elizabeth Beach,133.0,54.0,26.0,44.0,73.1,30.5,14.4,23.9,11396
