,Did unpaid domestic work (last week),Cared for child/children (last two weeks),Provided unpaid assistance to a person with a disability (last two weeks),Did voluntary work through an organisation or group (last 12 months),Did unpaid domestic work (last week) (%),Cared for child/children (last two weeks) (%),Provided unpaid assistance to a person with a disability (last two weeks) (%),Did voluntary work through an organisation or group (last 12 months) (%),SSC_CODE
Thornleigh,5222.0,2321.0,825.0,1835.0,78.4,34.8,12.4,27.5,13850
Westleigh,2912.0,1225.0,466.0,1060.0,81.5,34.3,13.0,29.6,14260
Wahroonga,10360.0,4381.0,1587.0,3765.0,74.3,31.4,11.4,27.0,14085
Waitara,3313.0,1558.0,425.0,790.0,69.7,32.8,8.9,16.6,14086
East Killara,1819.0,709.0,326.0,603.0,74.4,29.0,13.3,24.7,11355
Killara (NSW),6399.0,2722.0,1046.0,2375.0,74.8,31.8,12.2,27.8,12129
Lindfield,6015.0,2541.0,974.0,2219.0,77.1,32.6,12.5,28.4,12339
Gordon (NSW),4735.0,1851.0,737.0,1618.0,75.4,29.5,11.7,25.8,11718
East Lindfield,2325.0,982.0,378.0,894.0,80.7,34.1,13.1,31.1,11357
Roseville Chase,987.0,458.0,161.0,362.0,79.0,36.4,12.8,29.0,13413
Pymble,6842.0,2985.0,1054.0,2550.0,78.7,34.3,12.1,29.3,13281
West Pymble,3254.0,1466.0,527.0,1241.0,80.9,36.4,13.1,30.8,14250
St Ives (NSW),10591.0,4801.0,1655.0,3525.0,77.2,35.0,12.1,25.7,13639
St Ives Chase,1965.0,892.0,326.0,693.0,79.9,36.2,13.2,28.1,13640
Turramurra,7491.0,3136.0,1172.0,2852.0,78.8,33.0,12.3,30.0,13980
South Turramurra,1909.0,872.0,283.0,673.0,81.2,37.0,12.0,28.6,13598
North Turramurra,2528.0,882.0,444.0,888.0,69.2,24.1,12.1,24.3,13013
Warrawee,1938.0,782.0,332.0,707.0,79.7,32.2,13.6,29.1,14165
North Wahroonga,1302.0,574.0,234.0,480.0,81.8,36.2,14.7,30.2,13015
Cremorne Point,1608.0,517.0,231.0,523.0,77.3,24.8,11.1,25.2,11113
Cremorne (NSW),7395.0,2441.0,859.0,2022.0,77.4,25.6,9.0,21.2,11112
Neutral Bay,6763.0,1975.0,689.0,1775.0,73.7,21.5,7.5,19.3,12934
Crows Nest (NSW),3159.0,919.0,286.0,801.0,76.0,22.1,6.9,19.2,11131
Wollstonecraft,5746.0,1667.0,638.0,1650.0,79.6,23.1,8.8,22.9,14359
Waverton,2090.0,579.0,257.0,642.0,78.4,21.7,9.6,24.0,14202
North Sydney,4897.0,1270.0,525.0,1452.0,71.0,18.4,7.6,21.0,13010
Mosman,17509.0,6624.0,2459.0,6006.0,74.6,28.2,10.5,25.6,12738
Kirribilli,2534.0,536.0,327.0,826.0,71.4,15.1,9.2,23.3,12173
Kurraba Point,1050.0,310.0,134.0,322.0,78.9,23.4,10.1,24.3,12217
Milsons Point,1417.0,370.0,168.0,381.0,71.3,18.7,8.4,19.1,12629
McMahons Point,1586.0,345.0,193.0,464.0,75.9,16.5,9.3,22.3,12547
Lavender Bay,611.0,143.0,81.0,227.0,71.0,16.5,9.4,26.3,12285
Seaforth (NSW),4228.0,1970.0,631.0,1451.0,79.3,36.9,11.8,27.2,13509
