,Bachelor Degree level and above,Advanced Diploma and Diploma level,Certificate level IV,Certificate level III,Year 12,Year 11,Year 10,Certificate level II,Certificate level I,Year 9 or below,No educational attainment,Not stated,Bachelor Degree level and above (%),Advanced Diploma and Diploma level (%),Certificate level IV (%),Certificate level III (%),Year 12 (%),Year 11 (%),Year 10 (%),Certificate level II (%),Certificate level I (%),Year 9 or below (%),No educational attainment (%),Not stated (%),SSC_CODE
Binalong,73.0,32.0,12.0,61.0,67.0,11.0,74.0,0.0,0.0,39.0,0.0,45.0,17.4,7.6,2.9,14.6,16.0,2.6,17.7,0.0,0.0,9.3,0.0,10.7,10362
Jugiong,16.0,13.0,6.0,32.0,25.0,6.0,37.0,0.0,0.0,29.0,0.0,18.0,8.7,7.1,3.3,17.4,13.6,3.3,20.1,0.0,0.0,15.8,0.0,9.8,12044
Galong,22.0,15.0,6.0,28.0,18.0,9.0,20.0,0.0,0.0,26.0,0.0,26.0,12.9,8.8,3.5,16.4,10.5,5.3,11.7,0.0,0.0,15.2,0.0,15.2,11580
Manton (NSW),62.0,22.0,9.0,32.0,33.0,18.0,21.0,0.0,0.0,10.0,0.0,24.0,26.1,9.2,3.8,13.4,13.9,7.6,8.8,0.0,0.0,4.2,0.0,10.1,12481
Yass River,94.0,25.0,15.0,40.0,31.0,3.0,22.0,0.0,0.0,14.0,0.0,29.0,32.6,8.7,5.2,13.9,10.8,1.0,7.6,0.0,0.0,4.9,0.0,10.1,14494
Rye Park,23.0,19.0,5.0,35.0,24.0,15.0,31.0,0.0,0.0,17.0,0.0,32.0,11.0,9.1,2.4,16.7,11.5,7.2,14.8,0.0,0.0,8.1,0.0,15.3,13455
Dalton,22.0,8.0,4.0,30.0,17.0,8.0,30.0,0.0,0.0,28.0,0.0,12.0,13.4,4.9,2.4,18.3,10.4,4.9,18.3,0.0,0.0,17.1,0.0,7.3,11194
Gundaroo,332.0,101.0,26.0,108.0,103.0,15.0,77.0,0.0,0.0,33.0,0.0,67.0,38.0,11.6,3.0,12.4,11.8,1.7,8.8,0.0,0.0,3.8,0.0,7.7,11805
Bowning,67.0,49.0,18.0,70.0,66.0,23.0,76.0,0.0,0.0,35.0,0.0,69.0,14.2,10.4,3.8,14.8,14.0,4.9,16.1,0.0,0.0,7.4,0.0,14.6,10535
Bellmount Forest,33.0,9.0,3.0,15.0,10.0,0.0,5.0,0.0,0.0,8.0,0.0,4.0,34.4,9.4,3.1,15.6,10.4,0.0,5.2,0.0,0.0,8.3,0.0,4.2,10274
Gunning,83.0,47.0,17.0,92.0,62.0,16.0,77.0,0.0,0.0,48.0,4.0,51.0,16.2,9.2,3.3,17.9,12.1,3.1,15.0,0.0,0.0,9.4,0.8,9.9,11813
Lade Vale,27.0,6.0,3.0,22.0,14.0,0.0,9.0,0.0,0.0,4.0,0.0,7.0,29.0,6.5,3.2,23.7,15.1,0.0,9.7,0.0,0.0,4.3,0.0,7.5,12232
Good Hope,26.0,6.0,6.0,21.0,10.0,3.0,13.0,0.0,0.0,9.0,0.0,24.0,21.1,4.9,4.9,17.1,8.1,2.4,10.6,0.0,0.0,7.3,0.0,19.5,11700
Wallaroo (NSW),155.0,51.0,20.0,78.0,84.0,25.0,50.0,0.0,0.0,24.0,0.0,83.0,26.4,8.7,3.4,13.3,14.3,4.3,8.5,0.0,0.0,4.1,0.0,14.1,14112
Murrumbateman,764.0,286.0,81.0,287.0,380.0,84.0,214.0,0.0,0.0,110.0,3.0,170.0,31.4,11.8,3.3,11.8,15.6,3.5,8.8,0.0,0.0,4.5,0.1,7.0,12860
Springrange,69.0,22.0,5.0,33.0,32.0,12.0,17.0,0.0,0.0,7.0,0.0,25.0,30.4,9.7,2.2,14.5,14.1,5.3,7.5,0.0,0.0,3.1,0.0,11.0,13625
Jeir,69.0,13.0,6.0,22.0,36.0,7.0,16.0,0.0,0.0,10.0,0.0,21.0,33.5,6.3,2.9,10.7,17.5,3.4,7.8,0.0,0.0,4.9,0.0,10.2,12004
Marchmont,47.0,23.0,5.0,22.0,27.0,0.0,22.0,0.0,0.0,10.0,0.0,13.0,27.6,13.5,2.9,12.9,15.9,0.0,12.9,0.0,0.0,5.9,0.0,7.6,12487
Nanima,39.0,8.0,4.0,18.0,26.0,4.0,12.0,0.0,0.0,11.0,0.0,5.0,31.0,6.3,3.2,14.3,20.6,3.2,9.5,0.0,0.0,8.7,0.0,4.0,12891
Young,759.0,535.0,249.0,1333.0,908.0,406.0,1456.0,10.0,0.0,1106.0,36.0,1066.0,9.4,6.6,3.1,16.5,11.2,5.0,18.0,0.1,0.0,13.7,0.4,13.2,14518
Kingsvale,26.0,11.0,3.0,11.0,20.0,5.0,25.0,0.0,0.0,17.0,0.0,12.0,19.8,8.4,2.3,8.4,15.3,3.8,19.1,0.0,0.0,13.0,0.0,9.2,12161
Burrangong,25.0,5.0,3.0,31.0,22.0,14.0,38.0,0.0,0.0,19.0,0.0,21.0,12.8,2.6,1.5,15.9,11.3,7.2,19.5,0.0,0.0,9.7,0.0,10.8,10706
Wyangala,12.0,9.0,7.0,32.0,19.0,5.0,35.0,0.0,0.0,35.0,0.0,20.0,7.2,5.4,4.2,19.2,11.4,3.0,21.0,0.0,0.0,21.0,0.0,12.0,14434
Wombat,30.0,14.0,7.0,27.0,16.0,12.0,31.0,0.0,0.0,19.0,0.0,19.0,16.5,7.7,3.8,14.8,8.8,6.6,17.0,0.0,0.0,10.4,0.0,10.4,14364
Cunningar,21.0,9.0,6.0,15.0,9.0,5.0,26.0,0.0,0.0,13.0,0.0,20.0,17.9,7.7,5.1,12.8,7.7,4.3,22.2,0.0,0.0,11.1,0.0,17.1,11164
Harden,119.0,107.0,46.0,242.0,172.0,58.0,330.0,4.0,0.0,287.0,8.0,292.0,7.0,6.3,2.7,14.2,10.1,3.4,19.4,0.2,0.0,16.9,0.5,17.2,11851
Boorowa,140.0,98.0,34.0,205.0,170.0,47.0,231.0,0.0,0.0,187.0,11.0,193.0,10.2,7.2,2.5,15.0,12.4,3.4,16.9,0.0,0.0,13.7,0.8,14.1,10503
Murrumburrah,5.0,11.0,0.0,16.0,9.0,6.0,23.0,0.0,0.0,13.0,0.0,9.0,5.2,11.3,0.0,16.5,9.3,6.2,23.7,0.0,0.0,13.4,0.0,9.3,12863
Frogmore,12.0,16.0,3.0,17.0,14.0,6.0,19.0,0.0,0.0,8.0,0.0,18.0,9.8,13.0,2.4,13.8,11.4,4.9,15.4,0.0,0.0,6.5,0.0,14.6,11571
Maimuru,6.0,5.0,7.0,18.0,18.0,5.0,25.0,0.0,0.0,3.0,3.0,7.0,5.5,4.6,6.4,16.5,16.5,4.6,22.9,0.0,0.0,2.8,2.8,6.4,12444
Bendick Murrell,8.0,12.0,3.0,25.0,10.0,4.0,30.0,0.0,0.0,13.0,0.0,23.0,6.6,9.8,2.5,20.5,8.2,3.3,24.6,0.0,0.0,10.7,0.0,18.9,10290
Koorawatha,27.0,23.0,7.0,38.0,32.0,21.0,67.0,0.0,0.0,67.0,4.0,66.0,7.5,6.4,1.9,10.5,8.8,5.8,18.5,0.0,0.0,18.5,1.1,18.2,12192
Monteagle,22.0,4.0,8.0,20.0,15.0,7.0,39.0,0.0,0.0,26.0,0.0,14.0,13.0,2.4,4.7,11.8,8.9,4.1,23.1,0.0,0.0,15.4,0.0,8.3,12683
Murringo,47.0,25.0,8.0,56.0,30.0,9.0,57.0,0.0,0.0,41.0,0.0,27.0,15.4,8.2,2.6,18.4,9.8,3.0,18.7,0.0,0.0,13.4,0.0,8.9,12858
Thuddungra,14.0,10.0,3.0,19.0,5.0,4.0,21.0,0.0,0.0,12.0,0.0,11.0,14.6,10.4,3.1,19.8,5.2,4.2,21.9,0.0,0.0,12.5,0.0,11.5,13853
Bribbaree,3.0,4.0,3.0,21.0,9.0,3.0,20.0,0.0,0.0,19.0,0.0,19.0,2.8,3.7,2.8,19.6,8.4,2.8,18.7,0.0,0.0,17.8,0.0,17.8,10566
Avoca Beach,946.0,454.0,107.0,511.0,508.0,125.0,361.0,0.0,0.0,180.0,4.0,242.0,26.4,12.7,3.0,14.3,14.2,3.5,10.1,0.0,0.0,5.0,0.1,6.8,10114
Copacabana,562.0,264.0,104.0,333.0,303.0,51.0,193.0,3.0,0.0,112.0,3.0,158.0,25.9,12.2,4.8,15.4,14.0,2.4,8.9,0.1,0.0,5.2,0.1,7.3,11056
Killcare Heights,189.0,87.0,20.0,81.0,73.0,20.0,57.0,0.0,0.0,30.0,0.0,27.0,31.1,14.3,3.3,13.3,12.0,3.3,9.4,0.0,0.0,4.9,0.0,4.4,12134
Macmasters Beach,327.0,133.0,31.0,144.0,153.0,34.0,100.0,0.0,0.0,54.0,0.0,76.0,30.4,12.3,2.9,13.4,14.2,3.2,9.3,0.0,0.0,5.0,0.0,7.1,12432
Empire Bay,255.0,190.0,68.0,384.0,243.0,75.0,260.0,0.0,0.0,166.0,3.0,180.0,13.4,10.0,3.6,20.2,12.8,3.9,13.7,0.0,0.0,8.7,0.2,9.5,11415
Wagstaffe,79.0,12.0,4.0,23.0,15.0,0.0,16.0,0.0,0.0,13.0,0.0,11.0,44.4,6.7,2.2,12.9,8.4,0.0,9.0,0.0,0.0,7.3,0.0,6.2,14084
St Huberts Island,135.0,103.0,30.0,165.0,125.0,23.0,138.0,0.0,0.0,69.0,3.0,101.0,14.3,10.9,3.2,17.5,13.3,2.4,14.6,0.0,0.0,7.3,0.3,10.7,13638
Killcare,105.0,46.0,14.0,54.0,52.0,4.0,33.0,0.0,0.0,20.0,0.0,44.0,27.1,11.9,3.6,14.0,13.4,1.0,8.5,0.0,0.0,5.2,0.0,11.4,12133
Bensville,371.0,233.0,74.0,377.0,297.0,66.0,244.0,0.0,0.0,127.0,4.0,104.0,19.0,11.9,3.8,19.3,15.2,3.4,12.5,0.0,0.0,6.5,0.2,5.3,10297
Daleys Point,109.0,61.0,14.0,96.0,83.0,12.0,87.0,0.0,0.0,54.0,0.0,65.0,17.5,9.8,2.2,15.4,13.3,1.9,13.9,0.0,0.0,8.7,0.0,10.4,11189
