,Bachelor Degree level and above,Advanced Diploma and Diploma level,Certificate level IV,Certificate level III,Year 12,Year 11,Year 10,Certificate level II,Certificate level I,Year 9 or below,No educational attainment,Not stated,Bachelor Degree level and above (%),Advanced Diploma and Diploma level (%),Certificate level IV (%),Certificate level III (%),Year 12 (%),Year 11 (%),Year 10 (%),Certificate level II (%),Certificate level I (%),Year 9 or below (%),No educational attainment (%),Not stated (%),SSC_CODE
Burwood Heights,241.0,58.0,10.0,70.0,154.0,18.0,67.0,0.0,0.0,69.0,14.0,88.0,29.6,7.1,1.2,8.6,18.9,2.2,8.2,0.0,0.0,8.5,1.7,10.8,10719
Haberfield,1762.0,463.0,75.0,410.0,768.0,140.0,380.0,0.0,0.0,658.0,71.0,361.0,33.6,8.8,1.4,7.8,14.7,2.7,7.3,0.0,0.0,12.6,1.4,6.9,11828
Homebush West,2850.0,620.0,99.0,257.0,1457.0,161.0,266.0,3.0,0.0,274.0,91.0,968.0,39.4,8.6,1.4,3.6,20.1,2.2,3.7,0.0,0.0,3.8,1.3,13.4,11930
Homebush (NSW),2442.0,511.0,100.0,303.0,1220.0,149.0,294.0,0.0,0.0,225.0,58.0,548.0,40.8,8.5,1.7,5.1,20.4,2.5,4.9,0.0,0.0,3.8,1.0,9.2,11929
Strathfield South,913.0,285.0,66.0,232.0,586.0,97.0,232.0,0.0,0.0,181.0,19.0,224.0,31.4,9.8,2.3,8.0,20.1,3.3,8.0,0.0,0.0,6.2,0.7,7.7,13676
Chatswood,9625.0,1788.0,217.0,686.0,4256.0,433.0,814.0,3.0,0.0,836.0,165.0,1474.0,46.2,8.6,1.0,3.3,20.4,2.1,3.9,0.0,0.0,4.0,0.8,7.1,10892
North Willoughby,1351.0,329.0,59.0,168.0,528.0,79.0,200.0,0.0,0.0,183.0,28.0,209.0,41.6,10.1,1.8,5.2,16.3,2.4,6.2,0.0,0.0,5.6,0.9,6.4,13016
Willoughby (NSW),2217.0,502.0,76.0,275.0,723.0,111.0,290.0,5.0,0.0,272.0,31.0,320.0,44.3,10.0,1.5,5.5,14.5,2.2,5.8,0.1,0.0,5.4,0.6,6.4,14303
Artarmon,3989.0,694.0,107.0,289.0,1166.0,155.0,272.0,0.0,0.0,216.0,32.0,561.0,51.8,9.0,1.4,3.8,15.2,2.0,3.5,0.0,0.0,2.8,0.4,7.3,10090
Roseville,4081.0,706.0,96.0,268.0,1163.0,194.0,368.0,0.0,0.0,285.0,27.0,506.0,51.5,8.9,1.2,3.4,14.7,2.5,4.6,0.0,0.0,3.6,0.3,6.4,13412
Lane Cove North,4639.0,999.0,189.0,497.0,1357.0,189.0,358.0,0.0,0.0,222.0,31.0,695.0,49.0,10.6,2.0,5.3,14.3,2.0,3.8,0.0,0.0,2.3,0.3,7.3,12267
Chatswood West,537.0,126.0,20.0,69.0,208.0,32.0,56.0,0.0,0.0,50.0,8.0,64.0,43.6,10.2,1.6,5.6,16.9,2.6,4.5,0.0,0.0,4.1,0.6,5.2,10893
Lane Cove West,965.0,186.0,39.0,118.0,307.0,51.0,95.0,0.0,0.0,83.0,9.0,107.0,47.7,9.2,1.9,5.8,15.2,2.5,4.7,0.0,0.0,4.1,0.4,5.3,12268
Lane Cove,4226.0,889.0,192.0,416.0,1316.0,190.0,407.0,0.0,0.0,306.0,22.0,541.0,48.2,10.1,2.2,4.7,15.0,2.2,4.6,0.0,0.0,3.5,0.3,6.2,12266
Riverview (NSW),1183.0,196.0,27.0,85.0,375.0,147.0,166.0,0.0,0.0,185.0,5.0,104.0,46.2,7.7,1.1,3.3,14.6,5.7,6.5,0.0,0.0,7.2,0.2,4.1,13370
Greenwich,2482.0,409.0,64.0,169.0,604.0,103.0,192.0,0.0,0.0,132.0,6.0,377.0,53.2,8.8,1.4,3.6,12.9,2.2,4.1,0.0,0.0,2.8,0.1,8.1,11770
Northwood (NSW),437.0,62.0,8.0,16.0,86.0,19.0,30.0,0.0,0.0,27.0,0.0,75.0,55.4,7.9,1.0,2.0,10.9,2.4,3.8,0.0,0.0,3.4,0.0,9.5,13024
Longueville,895.0,130.0,13.0,43.0,251.0,53.0,73.0,0.0,0.0,53.0,0.0,81.0,54.4,7.9,0.8,2.6,15.3,3.2,4.4,0.0,0.0,3.2,0.0,4.9,12385
Linley Point,125.0,26.0,0.0,9.0,62.0,4.0,19.0,0.0,0.0,14.0,3.0,10.0,45.8,9.5,0.0,3.3,22.7,1.5,7.0,0.0,0.0,5.1,1.1,3.7,12341
St Leonards (NSW),3015.0,368.0,71.0,154.0,612.0,39.0,96.0,0.0,0.0,62.0,4.0,443.0,60.7,7.4,1.4,3.1,12.3,0.8,1.9,0.0,0.0,1.2,0.1,8.9,13642
Naremburn,2331.0,490.0,90.0,211.0,625.0,90.0,193.0,0.0,0.0,165.0,19.0,357.0,49.6,10.4,1.9,4.5,13.3,1.9,4.1,0.0,0.0,3.5,0.4,7.6,12898
Cammeray,2942.0,611.0,86.0,268.0,778.0,94.0,230.0,3.0,0.0,100.0,7.0,420.0,51.5,10.7,1.5,4.7,13.6,1.6,4.0,0.1,0.0,1.8,0.1,7.4,10778
Castle Cove,951.0,193.0,21.0,87.0,334.0,60.0,105.0,0.0,0.0,74.0,8.0,129.0,46.7,9.5,1.0,4.3,16.4,2.9,5.2,0.0,0.0,3.6,0.4,6.3,10845
Castlecrag,1172.0,200.0,14.0,85.0,323.0,70.0,104.0,0.0,0.0,87.0,3.0,142.0,51.7,8.8,0.6,3.7,14.2,3.1,4.6,0.0,0.0,3.8,0.1,6.3,10849
Northbridge (NSW),2461.0,463.0,48.0,163.0,711.0,159.0,266.0,0.0,0.0,186.0,14.0,286.0,50.1,9.4,1.0,3.3,14.5,3.2,5.4,0.0,0.0,3.8,0.3,5.8,13022
Middle Cove,487.0,94.0,7.0,40.0,183.0,31.0,54.0,0.0,0.0,46.0,0.0,78.0,46.1,8.9,0.7,3.8,17.3,2.9,5.1,0.0,0.0,4.4,0.0,7.4,12602
Willoughby East,638.0,138.0,18.0,75.0,189.0,26.0,75.0,0.0,0.0,68.0,0.0,54.0,48.8,10.6,1.4,5.7,14.4,2.0,5.7,0.0,0.0,5.2,0.0,4.1,14304
Hornsby Heights,1650.0,568.0,135.0,549.0,793.0,155.0,425.0,0.0,0.0,212.0,18.0,225.0,33.6,11.6,2.7,11.2,16.1,3.2,8.7,0.0,0.0,4.3,0.4,4.6,11937
Mount Colah,1691.0,660.0,190.0,740.0,941.0,169.0,483.0,3.0,0.0,222.0,15.0,267.0,30.0,11.7,3.4,13.1,16.7,3.0,8.6,0.1,0.0,3.9,0.3,4.7,12750
Asquith,912.0,329.0,74.0,258.0,406.0,76.0,199.0,0.0,0.0,133.0,10.0,143.0,34.5,12.4,2.8,9.8,15.3,2.9,7.5,0.0,0.0,5.0,0.4,5.4,10103
Hornsby,7396.0,1886.0,400.0,1203.0,2993.0,405.0,1080.0,10.0,0.0,784.0,129.0,1208.0,40.9,10.4,2.2,6.7,16.6,2.2,6.0,0.1,0.0,4.3,0.7,6.7,11936
Mount Kuring-Gai,370.0,157.0,49.0,178.0,211.0,39.0,118.0,0.0,0.0,66.0,7.0,88.0,27.7,11.7,3.7,13.3,15.8,2.9,8.8,0.0,0.0,4.9,0.5,6.6,12772
Cowan,121.0,44.0,26.0,88.0,71.0,14.0,56.0,0.0,0.0,29.0,0.0,36.0,23.4,8.5,5.0,17.0,13.7,2.7,10.8,0.0,0.0,5.6,0.0,6.9,11097
Berowra,1143.0,428.0,124.0,439.0,586.0,128.0,324.0,0.0,0.0,160.0,0.0,192.0,30.9,11.6,3.4,11.9,15.8,3.5,8.8,0.0,0.0,4.3,0.0,5.2,10308
Brooklyn (NSW),151.0,61.0,19.0,90.0,80.0,26.0,81.0,0.0,0.0,33.0,3.0,66.0,24.0,9.7,3.0,14.3,12.7,4.1,12.9,0.0,0.0,5.3,0.5,10.5,10599
Berowra Heights,1168.0,507.0,151.0,580.0,519.0,130.0,402.0,0.0,0.0,207.0,15.0,195.0,29.0,12.6,3.8,14.4,12.9,3.2,10.0,0.0,0.0,5.1,0.4,4.8,10310
Dangar Island,103.0,20.0,0.0,25.0,31.0,3.0,14.0,0.0,0.0,4.0,0.0,26.0,43.6,8.5,0.0,10.6,13.1,1.3,5.9,0.0,0.0,1.7,0.0,11.0,11199
Normanhurst,1622.0,410.0,87.0,261.0,676.0,150.0,306.0,0.0,0.0,237.0,25.0,287.0,38.4,9.7,2.1,6.2,16.0,3.6,7.2,0.0,0.0,5.6,0.6,6.8,12976
Thornleigh,2648.0,668.0,145.0,466.0,1060.0,188.0,475.0,0.0,0.0,290.0,53.0,412.0,39.8,10.0,2.2,7.0,15.9,2.8,7.1,0.0,0.0,4.4,0.8,6.2,13850
Westleigh,1459.0,395.0,68.0,253.0,567.0,120.0,241.0,0.0,0.0,144.0,10.0,158.0,40.9,11.1,1.9,7.1,15.9,3.4,6.8,0.0,0.0,4.0,0.3,4.4,14260
Wahroonga,6132.0,1404.0,185.0,628.0,2114.0,421.0,846.0,0.0,0.0,595.0,37.0,1090.0,44.0,10.1,1.3,4.5,15.2,3.0,6.1,0.0,0.0,4.3,0.3,7.8,14085
Waitara,2440.0,436.0,76.0,203.0,633.0,84.0,198.0,0.0,0.0,149.0,25.0,377.0,51.3,9.2,1.6,4.3,13.3,1.8,4.2,0.0,0.0,3.1,0.5,7.9,14086
East Killara,1071.0,189.0,22.0,92.0,518.0,97.0,104.0,0.0,0.0,116.0,11.0,134.0,43.8,7.7,0.9,3.8,21.2,4.0,4.3,0.0,0.0,4.7,0.4,5.5,11355
Killara (NSW),4317.0,738.0,77.0,223.0,1419.0,245.0,410.0,0.0,0.0,340.0,27.0,491.0,50.4,8.6,0.9,2.6,16.6,2.9,4.8,0.0,0.0,4.0,0.3,5.7,12129
Lindfield,3959.0,681.0,94.0,250.0,1262.0,223.0,370.0,0.0,0.0,266.0,27.0,436.0,50.8,8.7,1.2,3.2,16.2,2.9,4.7,0.0,0.0,3.4,0.3,5.6,12339
Gordon (NSW),3216.0,486.0,74.0,172.0,1019.0,160.0,236.0,0.0,0.0,219.0,14.0,501.0,51.2,7.7,1.2,2.7,16.2,2.5,3.8,0.0,0.0,3.5,0.2,8.0,11718
East Lindfield,1407.0,282.0,25.0,90.0,473.0,109.0,135.0,0.0,0.0,135.0,5.0,109.0,48.8,9.8,0.9,3.1,16.4,3.8,4.7,0.0,0.0,4.7,0.2,3.8,11357
Roseville Chase,601.0,132.0,15.0,60.0,213.0,36.0,46.0,0.0,0.0,49.0,8.0,53.0,47.9,10.5,1.2,4.8,17.0,2.9,3.7,0.0,0.0,3.9,0.6,4.2,13413
Pymble,4567.0,768.0,80.0,237.0,1441.0,253.0,378.0,0.0,0.0,287.0,17.0,412.0,52.4,8.8,0.9,2.7,16.5,2.9,4.3,0.0,0.0,3.3,0.2,4.7,13281
West Pymble,1879.0,397.0,73.0,187.0,611.0,129.0,228.0,3.0,0.0,182.0,8.0,187.0,46.8,9.9,1.8,4.7,15.2,3.2,5.7,0.1,0.0,4.5,0.2,4.7,14250
St Ives (NSW),6262.0,1487.0,180.0,548.0,2199.0,436.0,724.0,0.0,0.0,534.0,36.0,784.0,45.7,10.9,1.3,4.0,16.0,3.2,5.3,0.0,0.0,3.9,0.3,5.7,13639
St Ives Chase,1091.0,263.0,43.0,122.0,404.0,82.0,137.0,0.0,0.0,99.0,5.0,126.0,44.6,10.7,1.8,5.0,16.5,3.4,5.6,0.0,0.0,4.0,0.2,5.1,13640
Turramurra,4600.0,963.0,120.0,358.0,1534.0,278.0,478.0,0.0,0.0,338.0,21.0,477.0,48.4,10.1,1.3,3.8,16.2,2.9,5.0,0.0,0.0,3.6,0.2,5.0,13980
South Turramurra,1022.0,255.0,35.0,155.0,314.0,81.0,148.0,0.0,0.0,98.0,6.0,134.0,43.7,10.9,1.5,6.6,13.4,3.5,6.3,0.0,0.0,4.2,0.3,5.7,13598
North Turramurra,1297.0,386.0,43.0,190.0,494.0,109.0,270.0,0.0,0.0,158.0,13.0,515.0,35.5,10.6,1.2,5.2,13.5,3.0,7.4,0.0,0.0,4.3,0.4,14.1,13013
Warrawee,1205.0,215.0,28.0,97.0,386.0,87.0,117.0,0.0,0.0,84.0,4.0,129.0,49.3,8.8,1.1,4.0,15.8,3.6,4.8,0.0,0.0,3.4,0.2,5.3,14165
North Wahroonga,728.0,177.0,24.0,83.0,262.0,41.0,98.0,0.0,0.0,47.0,4.0,67.0,45.9,11.2,1.5,5.2,16.5,2.6,6.2,0.0,0.0,3.0,0.3,4.2,13015
Cremorne Point,1100.0,193.0,26.0,69.0,281.0,39.0,66.0,0.0,0.0,34.0,0.0,215.0,52.6,9.2,1.2,3.3,13.4,1.9,3.2,0.0,0.0,1.6,0.0,10.3,11113
Cremorne (NSW),4894.0,1050.0,148.0,386.0,1257.0,171.0,316.0,0.0,0.0,178.0,11.0,838.0,51.3,11.0,1.6,4.0,13.2,1.8,3.3,0.0,0.0,1.9,0.1,8.8,11112
Neutral Bay,4720.0,947.0,162.0,351.0,1184.0,163.0,270.0,0.0,0.0,134.0,6.0,966.0,51.4,10.3,1.8,3.8,12.9,1.8,2.9,0.0,0.0,1.5,0.1,10.5,12934
Crows Nest (NSW),2142.0,419.0,73.0,166.0,569.0,61.0,149.0,0.0,0.0,73.0,11.0,418.0,51.3,10.0,1.7,4.0,13.6,1.5,3.6,0.0,0.0,1.7,0.3,10.0,11131
Wollstonecraft,4133.0,721.0,128.0,243.0,824.0,97.0,203.0,0.0,0.0,114.0,8.0,535.0,57.2,10.0,1.8,3.4,11.4,1.3,2.8,0.0,0.0,1.6,0.1,7.4,14359
Waverton,1542.0,247.0,46.0,70.0,305.0,41.0,96.0,0.0,0.0,40.0,0.0,209.0,58.0,9.3,1.7,2.6,11.5,1.5,3.6,0.0,0.0,1.5,0.0,7.9,14202
North Sydney,3693.0,578.0,94.0,221.0,881.0,111.0,219.0,0.0,0.0,161.0,8.0,750.0,53.5,8.4,1.4,3.2,12.8,1.6,3.2,0.0,0.0,2.3,0.1,10.9,13010
Mosman,11453.0,2308.0,271.0,806.0,3365.0,616.0,1042.0,3.0,0.0,633.0,25.0,2197.0,48.8,9.8,1.2,3.4,14.3,2.6,4.4,0.0,0.0,2.7,0.1,9.4,12738
Kirribilli,1888.0,298.0,40.0,112.0,451.0,42.0,106.0,0.0,0.0,66.0,11.0,401.0,53.4,8.4,1.1,3.2,12.7,1.2,3.0,0.0,0.0,1.9,0.3,11.3,12173
Kurraba Point,740.0,125.0,17.0,38.0,162.0,26.0,48.0,0.0,0.0,19.0,0.0,115.0,56.2,9.5,1.3,2.9,12.3,2.0,3.6,0.0,0.0,1.4,0.0,8.7,12217
Milsons Point,1120.0,180.0,20.0,41.0,245.0,23.0,50.0,0.0,0.0,31.0,3.0,233.0,56.2,9.0,1.0,2.1,12.3,1.2,2.5,0.0,0.0,1.6,0.2,11.7,12629
McMahons Point,1143.0,209.0,25.0,58.0,221.0,32.0,54.0,0.0,0.0,33.0,9.0,240.0,54.7,10.0,1.2,2.8,10.6,1.5,2.6,0.0,0.0,1.6,0.4,11.5,12547
Lavender Bay,476.0,70.0,12.0,42.0,105.0,4.0,32.0,0.0,0.0,12.0,0.0,95.0,54.6,8.0,1.4,4.8,12.0,0.5,3.7,0.0,0.0,1.4,0.0,10.9,12285
Seaforth (NSW),2285.0,619.0,97.0,334.0,832.0,152.0,302.0,4.0,0.0,194.0,11.0,310.0,42.8,11.6,1.8,6.3,15.6,2.8,5.7,0.1,0.0,3.6,0.2,5.8,13509
Balgowlah Heights,1191.0,236.0,27.0,97.0,358.0,68.0,141.0,0.0,0.0,108.0,5.0,140.0,48.7,9.6,1.1,4.0,14.6,2.8,5.8,0.0,0.0,4.4,0.2,5.7,10154
Clontarf (NSW),656.0,125.0,11.0,49.0,200.0,54.0,67.0,0.0,0.0,53.0,0.0,90.0,48.7,9.3,0.8,3.6,14.8,4.0,5.0,0.0,0.0,3.9,0.0,6.7,10935
Balgowlah,2582.0,717.0,138.0,430.0,890.0,172.0,355.0,0.0,0.0,185.0,8.0,504.0,41.4,11.5,2.2,6.9,14.3,2.8,5.7,0.0,0.0,3.0,0.1,8.1,10153
Manly (NSW),6561.0,1345.0,189.0,707.0,1791.0,261.0,564.0,3.0,0.0,319.0,13.0,1627.0,47.5,9.7,1.4,5.1,13.0,1.9,4.1,0.0,0.0,2.3,0.1,11.8,12475
Fairlight,2225.0,527.0,84.0,302.0,701.0,109.0,216.0,0.0,0.0,126.0,3.0,360.0,46.3,11.0,1.7,6.3,14.6,2.3,4.5,0.0,0.0,2.6,0.1,7.5,11482
Avalon Beach,2396.0,1021.0,186.0,905.0,1267.0,296.0,675.0,0.0,0.0,303.0,3.0,555.0,30.2,12.9,2.3,11.4,16.0,3.7,8.5,0.0,0.0,3.8,0.0,7.0,10111
Palm Beach (NSW),483.0,185.0,13.0,129.0,237.0,39.0,94.0,0.0,0.0,37.0,0.0,138.0,34.2,13.1,0.9,9.1,16.8,2.8,6.6,0.0,0.0,2.6,0.0,9.8,13132
Whale Beach,88.0,36.0,3.0,16.0,42.0,3.0,7.0,0.0,0.0,4.0,0.0,22.0,42.5,17.4,1.4,7.7,20.3,1.4,3.4,0.0,0.0,1.9,0.0,10.6,14267
Clareville,242.0,97.0,10.0,43.0,98.0,24.0,39.0,0.0,0.0,19.0,3.0,36.0,37.8,15.2,1.6,6.7,15.3,3.8,6.1,0.0,0.0,3.0,0.5,5.6,10923
Scotland Island,173.0,56.0,12.0,50.0,61.0,10.0,27.0,0.0,0.0,17.0,0.0,35.0,38.2,12.4,2.6,11.0,13.5,2.2,6.0,0.0,0.0,3.8,0.0,7.7,13505
Elanora Heights,969.0,444.0,97.0,420.0,488.0,85.0,293.0,0.0,0.0,143.0,3.0,214.0,29.1,13.4,2.9,12.6,14.7,2.6,8.8,0.0,0.0,4.3,0.1,6.4,11389
Ingleside,160.0,80.0,10.0,142.0,134.0,21.0,79.0,0.0,0.0,49.0,6.0,81.0,19.9,9.9,1.2,17.6,16.6,2.6,9.8,0.0,0.0,6.1,0.7,10.1,11979
Bayview (NSW),831.0,384.0,56.0,279.0,529.0,97.0,291.0,0.0,0.0,132.0,3.0,382.0,26.5,12.3,1.8,8.9,16.9,3.1,9.3,0.0,0.0,4.2,0.1,12.2,10237
Church Point,298.0,99.0,17.0,76.0,136.0,23.0,73.0,0.0,0.0,23.0,4.0,78.0,35.0,11.6,2.0,8.9,16.0,2.7,8.6,0.0,0.0,2.7,0.5,9.2,10915
Lovett Bay,38.0,12.0,0.0,4.0,6.0,0.0,10.0,0.0,0.0,3.0,0.0,48.0,31.9,10.1,0.0,3.4,5.0,0.0,8.4,0.0,0.0,2.5,0.0,40.3,12397
Mona Vale,2316.0,1023.0,247.0,1107.0,1333.0,254.0,809.0,5.0,0.0,435.0,28.0,845.0,26.4,11.7,2.8,12.6,15.2,2.9,9.2,0.1,0.0,5.0,0.3,9.6,12672
Newport (NSW),2322.0,1023.0,201.0,909.0,1245.0,251.0,570.0,4.0,0.0,249.0,3.0,470.0,30.7,13.5,2.7,12.0,16.5,3.3,7.5,0.1,0.0,3.3,0.0,6.2,12956
Bilgola Plateau,922.0,377.0,63.0,331.0,409.0,69.0,213.0,0.0,0.0,92.0,6.0,147.0,33.8,13.8,2.3,12.1,15.0,2.5,7.8,0.0,0.0,3.4,0.2,5.4,10351
Bilgola Beach,83.0,34.0,3.0,12.0,39.0,0.0,11.0,0.0,0.0,7.0,0.0,12.0,41.3,16.9,1.5,6.0,19.4,0.0,5.5,0.0,0.0,3.5,0.0,6.0,10350
Warriewood,1497.0,752.0,180.0,699.0,907.0,189.0,494.0,3.0,0.0,262.0,3.0,579.0,25.8,13.0,3.1,12.1,15.7,3.3,8.5,0.1,0.0,4.5,0.1,10.0,14173
North Narrabeen,1048.0,555.0,153.0,722.0,679.0,138.0,451.0,4.0,0.0,206.0,11.0,386.0,23.1,12.2,3.4,15.9,15.0,3.0,9.9,0.1,0.0,4.5,0.2,8.5,12999
Beacon Hill,1621.0,670.0,170.0,680.0,978.0,192.0,518.0,3.0,0.0,376.0,28.0,411.0,27.5,11.4,2.9,11.5,16.6,3.3,8.8,0.1,0.0,6.4,0.5,7.0,10238
Narraweena,1010.0,537.0,155.0,726.0,829.0,208.0,629.0,3.0,0.0,469.0,73.0,505.0,18.9,10.0,2.9,13.6,15.5,3.9,11.8,0.1,0.0,8.8,1.4,9.4,12910
Cromer (NSW),1325.0,769.0,189.0,837.0,926.0,211.0,603.0,0.0,0.0,378.0,21.0,463.0,22.1,12.8,3.1,13.9,15.4,3.5,10.0,0.0,0.0,6.3,0.3,7.7,11118
Oxford Falls,26.0,5.0,4.0,11.0,15.0,3.0,8.0,0.0,0.0,7.0,0.0,30.0,22.6,4.3,3.5,9.6,13.0,2.6,7.0,0.0,0.0,6.1,0.0,26.1,13106
Dee Why,5227.0,2183.0,536.0,1982.0,3077.0,448.0,1348.0,28.0,3.0,812.0,138.0,1614.0,28.9,12.1,3.0,11.0,17.0,2.5,7.5,0.2,0.0,4.5,0.8,8.9,11227
North Curl Curl,1046.0,317.0,67.0,330.0,447.0,116.0,221.0,0.0,0.0,151.0,9.0,240.0,34.0,10.3,2.2,10.7,14.5,3.8,7.2,0.0,0.0,4.9,0.3,7.8,12988
Forestville (NSW),2168.0,688.0,146.0,562.0,1033.0,203.0,572.0,4.0,0.0,391.0,31.0,390.0,33.7,10.7,2.3,8.7,16.1,3.2,8.9,0.1,0.0,6.1,0.5,6.1,11548
Killarney Heights,1323.0,386.0,49.0,230.0,570.0,130.0,259.0,0.0,0.0,164.0,10.0,158.0,38.7,11.3,1.4,6.7,16.7,3.8,7.6,0.0,0.0,4.8,0.3,4.6,12130
Frenchs Forest,3383.0,1291.0,239.0,1025.0,1715.0,319.0,867.0,3.0,0.0,489.0,35.0,515.0,32.8,12.5,2.3,9.9,16.6,3.1,8.4,0.0,0.0,4.7,0.3,5.0,11568
Belrose,1875.0,877.0,161.0,675.0,1117.0,225.0,713.0,3.0,0.0,419.0,19.0,635.0,26.5,12.4,2.3,9.5,15.8,3.2,10.1,0.0,0.0,5.9,0.3,9.0,10283
Davidson,726.0,292.0,66.0,194.0,376.0,81.0,188.0,0.0,0.0,95.0,4.0,117.0,32.1,12.9,2.9,8.6,16.6,3.6,8.3,0.0,0.0,4.2,0.2,5.2,11219
Curl Curl,677.0,196.0,37.0,144.0,254.0,50.0,145.0,0.0,0.0,74.0,3.0,194.0,37.1,10.7,2.0,7.9,13.9,2.7,7.9,0.0,0.0,4.1,0.2,10.6,11167
Freshwater (NSW),2694.0,852.0,181.0,725.0,957.0,165.0,416.0,0.0,0.0,238.0,9.0,566.0,38.4,12.1,2.6,10.3,13.6,2.4,5.9,0.0,0.0,3.4,0.1,8.1,11569
Manly Vale,1733.0,568.0,129.0,481.0,719.0,114.0,346.0,3.0,0.0,193.0,12.0,480.0,34.9,11.4,2.6,9.7,14.5,2.3,7.0,0.1,0.0,3.9,0.2,9.7,12476
North Manly,720.0,253.0,52.0,220.0,408.0,84.0,188.0,0.0,0.0,140.0,16.0,175.0,30.8,10.8,2.2,9.4,17.5,3.6,8.1,0.0,0.0,6.0,0.7,7.5,12997
Queenscliff (NSW),1309.0,320.0,80.0,225.0,414.0,33.0,125.0,0.0,0.0,72.0,0.0,256.0,44.9,11.0,2.7,7.7,14.2,1.1,4.3,0.0,0.0,2.5,0.0,8.8,13296
Brookvale,781.0,305.0,86.0,306.0,460.0,75.0,216.0,7.0,0.0,147.0,26.0,193.0,28.9,11.3,3.2,11.3,17.0,2.8,8.0,0.3,0.0,5.4,1.0,7.1,10601
Allambie Heights,1557.0,612.0,159.0,646.0,806.0,171.0,528.0,0.0,0.0,291.0,37.0,425.0,28.5,11.2,2.9,11.8,14.8,3.1,9.7,0.0,0.0,5.3,0.7,7.8,10036
North Balgowlah,1048.0,305.0,53.0,216.0,375.0,78.0,171.0,0.0,0.0,95.0,0.0,121.0,41.2,12.0,2.1,8.5,14.7,3.1,6.7,0.0,0.0,3.7,0.0,4.8,12981
Narrabeen,1769.0,859.0,223.0,850.0,968.0,179.0,616.0,3.0,0.0,402.0,10.0,949.0,24.8,12.0,3.1,11.9,13.6,2.5,8.6,0.0,0.0,5.6,0.1,13.3,12902
Collaroy (NSW),1941.0,777.0,180.0,763.0,993.0,196.0,508.0,0.0,0.0,274.0,13.0,641.0,29.5,11.8,2.7,11.6,15.1,3.0,7.7,0.0,0.0,4.2,0.2,9.7,10970
Collaroy Plateau,937.0,401.0,97.0,525.0,556.0,137.0,365.0,0.0,0.0,193.0,14.0,296.0,25.6,11.0,2.7,14.4,15.2,3.7,10.0,0.0,0.0,5.3,0.4,8.1,10971
Wheeler Heights,528.0,253.0,72.0,329.0,381.0,75.0,230.0,0.0,0.0,114.0,3.0,166.0,23.4,11.2,3.2,14.6,16.9,3.3,10.2,0.0,0.0,5.1,0.1,7.4,14268
Terrey Hills,637.0,285.0,74.0,309.0,320.0,87.0,263.0,0.0,0.0,137.0,11.0,198.0,26.4,11.8,3.1,12.8,13.3,3.6,10.9,0.0,0.0,5.7,0.5,8.2,13804
Duffys Forest,124.0,32.0,8.0,36.0,78.0,21.0,36.0,0.0,0.0,23.0,0.0,12.0,32.1,8.3,2.1,9.3,20.2,5.4,9.3,0.0,0.0,6.0,0.0,3.1,11301
Ellis Lane,139.0,67.0,25.0,141.0,76.0,22.0,97.0,0.0,0.0,47.0,0.0,26.0,21.0,10.1,3.8,21.3,11.5,3.3,14.6,0.0,0.0,7.1,0.0,3.9,11405
Grasmere,241.0,134.0,32.0,257.0,192.0,38.0,233.0,0.0,0.0,176.0,5.0,344.0,14.0,7.8,1.9,14.9,11.2,2.2,13.5,0.0,0.0,10.2,0.3,20.0,11739
Camden,455.0,240.0,88.0,413.0,258.0,88.0,400.0,3.0,3.0,241.0,10.0,381.0,17.2,9.0,3.3,15.6,9.7,3.3,15.1,0.1,0.1,9.1,0.4,14.4,10770
Camden Park (NSW),347.0,217.0,53.0,292.0,232.0,66.0,204.0,0.0,0.0,96.0,3.0,82.0,21.2,13.2,3.2,17.8,14.1,4.0,12.4,0.0,0.0,5.9,0.2,5.0,10772
Cawdor (NSW),60.0,38.0,7.0,70.0,37.0,10.0,58.0,0.0,0.0,33.0,0.0,35.0,16.6,10.5,1.9,19.4,10.2,2.8,16.1,0.0,0.0,9.1,0.0,9.7,10863
Camden South,661.0,379.0,139.0,699.0,444.0,130.0,514.0,6.0,0.0,273.0,4.0,177.0,18.6,10.7,3.9,19.7,12.5,3.7,14.5,0.2,0.0,7.7,0.1,5.0,10773
Harrington Park,1384.0,918.0,264.0,1210.0,1303.0,342.0,1111.0,5.0,0.0,569.0,36.0,459.0,17.7,11.7,3.4,15.5,16.6,4.4,14.2,0.1,0.0,7.3,0.5,5.9,11859
Elderslie (Camden - NSW),818.0,485.0,188.0,841.0,651.0,177.0,596.0,0.0,0.0,317.0,11.0,344.0,18.0,10.7,4.1,18.5,14.3,3.9,13.1,0.0,0.0,7.0,0.2,7.6,11391
Narellan,315.0,243.0,114.0,552.0,379.0,132.0,511.0,8.0,0.0,307.0,4.0,252.0,10.9,8.4,3.9,19.0,13.1,4.6,17.6,0.3,0.0,10.6,0.1,8.7,12896
Kirkham,128.0,52.0,13.0,75.0,93.0,25.0,64.0,0.0,0.0,45.0,3.0,38.0,23.3,9.5,2.4,13.7,16.9,4.6,11.7,0.0,0.0,8.2,0.5,6.9,12171
Mount Annan,1487.0,948.0,355.0,1440.0,1487.0,365.0,1294.0,3.0,0.0,642.0,24.0,423.0,17.1,10.9,4.1,16.5,17.1,4.2,14.9,0.0,0.0,7.4,0.3,4.9,12745
