,Median weekly rent,Median monthly mortgage repayments,Median weekly rent (%),Median monthly mortgage repayments (%)
Koolewong,385.0,0.0,--,--
Koonawarra,300.0,1300.0,--,--
Kotara,395.0,1900.0,--,--
Kotara South,295.0,2224.0,--,--
Kurnell,510.0,1733.0,--,--
La Perouse,177.0,0.0,--,--
Lake Haven,267.0,1950.0,--,--
Lake Heights,328.0,1975.0,--,--
Lake Illawarra,270.0,1250.0,--,--
Lakelands (NSW),0.0,2500.0,--,--
Lakemba,360.0,1842.0,--,--
Lalor Park,170.0,1733.0,--,--
Lambton,305.0,1509.0,--,--
Lane Cove,520.0,1900.0,--,--
Lane Cove North,485.0,0.0,--,--
Leichhardt (NSW),410.0,2659.0,--,--
Leonay,510.0,2384.0,--,--
Lethbridge Park,295.0,1184.0,--,--
Leumeah,330.0,1832.0,--,--
Lewisham (NSW),420.0,0.0,--,--
Lidcombe,400.0,2550.0,--,--
Lilyfield,142.0,3006.0,--,--
Lindfield,526.0,0.0,--,--
Lisarow,360.0,1850.0,--,--
Little Bay,545.0,2600.0,--,--
Liverpool,300.0,1580.0,--,--
Loftus,0.0,3000.0,--,--
Long Jetty,340.0,2000.0,--,--
Lugarno,294.0,0.0,--,--
Lurnea,206.0,2134.0,--,--
Macquarie Fields,220.0,1950.0,--,--
Macquarie Hills,325.0,2102.0,--,--
Malabar,126.0,2167.0,--,--
Mangerton,123.0,0.0,--,--
Manly (NSW),580.0,2167.0,--,--
Manly Vale,245.0,3669.0,--,--
Marayong,300.0,1600.0,--,--
Marks Point,210.0,1867.0,--,--
Maroubra,340.0,2215.0,--,--
Marrickville,350.0,2809.0,--,--
Marsfield,430.0,1093.0,--,--
Maryville,410.0,2167.0,--,--
Mascot,500.0,2400.0,--,--
Matraville,355.0,2604.0,--,--
Mayfield East,360.0,1600.0,--,--
Mayfield West,320.0,1680.0,--,--
Menai,416.0,2140.0,--,--
Merewether,350.0,1767.0,--,--
Merrylands,320.0,1050.0,--,--
Merrylands West,391.0,2167.0,--,--
Miller,187.0,1384.0,--,--
Millers Point,425.0,0.0,--,--
Milperra,520.0,2809.0,--,--
Minchinbury,400.0,2089.0,--,--
Minmi,0.0,1700.0,--,--
Minto,300.0,1842.0,--,--
Miranda (NSW),420.0,2167.0,--,--
Mona Vale,525.0,2600.0,--,--
Monterey,480.0,2386.0,--,--
Moorebank,450.0,2756.0,--,--
Mortdale,480.0,2142.0,--,--
Mosman,485.0,2614.0,--,--
Mount Colah,570.0,2615.0,--,--
Mount Hutton (NSW),335.0,2167.0,--,--
Mount Kembla,0.0,1986.0,--,--
Mount Pritchard,368.0,1517.0,--,--
Mount Riverview,450.0,2145.0,--,--
Mount Saint Thomas,209.0,1707.0,--,--
Mount Warrigal,300.0,1603.0,--,--
Narara,358.0,1700.0,--,--
Narellan,426.0,2084.0,--,--
Narellan Vale,480.0,2232.0,--,--
Narrabeen,525.0,2809.0,--,--
Narraweena,202.0,2600.0,--,--
New Lambton,275.0,2029.0,--,--
Newcastle,310.0,1817.0,--,--
Newcastle East,101.0,1867.0,--,--
Newington (NSW),520.0,2102.0,--,--
Newport (NSW),480.0,2238.0,--,--
Newtown (NSW),490.0,3850.0,--,--
Niagara Park,328.0,2123.0,--,--
Norah Head,290.0,2800.0,--,--
Noraville,335.0,1843.0,--,--
North Avoca,485.0,2167.0,--,--
North Bondi,818.0,0.0,--,--
North Curl Curl,825.0,0.0,--,--
North Gosford,350.0,1798.0,--,--
North Lambton,380.0,1275.0,--,--
North Narrabeen,728.0,2800.0,--,--
North Parramatta,370.0,2297.0,--,--
North Ryde,479.0,3300.0,--,--
North St Marys,310.0,1826.0,--,--
North Strathfield,393.0,0.0,--,--
North Sydney,489.0,0.0,--,--
North Willoughby,710.0,0.0,--,--
Northmead,360.0,2600.0,--,--
Oak Flats,350.0,1647.0,--,--
Oakhurst (NSW),398.0,1733.0,--,--
Oatlands (NSW),291.0,2434.0,--,--
Oatley,510.0,4008.0,--,--
Old Guildford,320.0,0.0,--,--
Old Toongabbie,320.0,2000.0,--,--
Ourimbah,320.0,2035.0,--,--
Oxley Park,368.0,1907.0,--,--
Oyster Bay,530.0,2659.0,--,--
Paddington (NSW),591.0,1940.0,--,--
Padstow,400.0,2074.0,--,--
Padstow Heights,915.0,1163.0,--,--
Pagewood,373.0,0.0,--,--
Panania,433.0,2084.0,--,--
Parramatta,440.0,2000.0,--,--
Peakhurst,435.0,1939.0,--,--
Pelican (NSW),340.0,0.0,--,--
Pennant Hills,420.0,2693.0,--,--
Penrith,330.0,1759.0,--,--
Penshurst (NSW),430.0,2135.0,--,--
Petersham,415.0,2113.0,--,--
Phillip Bay,160.0,2167.0,--,--
Picnic Point,365.0,2893.0,--,--
Plumpton (NSW),410.0,1800.0,--,--
Point Clare,340.0,1867.0,--,--
Port Kembla,250.0,1950.0,--,--
Potts Point,410.0,1625.0,--,--
Prairiewood,225.0,0.0,--,--
Prospect (NSW),365.0,2273.0,--,--
Pymble,0.0,3084.0,--,--
Pyrmont,250.0,2575.0,--,--
Queens Park (NSW),635.0,0.0,--,--
Raby,405.0,2000.0,--,--
Randwick,550.0,2600.0,--,--
Rankin Park,403.0,1900.0,--,--
