,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (%),Rented (%),Other tenure type (%),Tenure type not stated (%),SSC_CODE
Blighty,11.0,16.0,21.0,0.0,0.0,22.9,33.3,43.8,0.0,0.0,10412
Barooga,251.0,210.0,174.0,4.0,28.0,37.6,31.5,26.1,0.6,4.2,10205
Tocumwal,548.0,256.0,234.0,9.0,42.0,50.3,23.5,21.5,0.8,3.9,13886
Finley,398.0,246.0,271.0,14.0,46.0,40.8,25.2,27.8,1.4,4.7,11520
Berrigan,228.0,129.0,119.0,3.0,20.0,45.7,25.9,23.8,0.6,4.0,10318
Jerilderie,160.0,103.0,109.0,0.0,18.0,41.0,26.4,27.9,0.0,4.6,12014
Armidale,2583.0,2091.0,3140.0,63.0,211.0,31.9,25.9,38.8,0.8,2.6,10085
Guyra,301.0,205.0,216.0,3.0,19.0,40.5,27.6,29.0,0.4,2.6,11822
South Guyra,40.0,39.0,30.0,0.0,0.0,36.7,35.8,27.5,0.0,0.0,13586
Llangothlin,18.0,8.0,16.0,0.0,0.0,42.9,19.0,38.1,0.0,0.0,12364
Ben Lomond (NSW),28.0,16.0,19.0,0.0,0.0,44.4,25.4,30.2,0.0,0.0,10286
Black Mountain (NSW),48.0,30.0,21.0,0.0,0.0,48.5,30.3,21.2,0.0,0.0,10387
Thalgarrah,37.0,13.0,19.0,0.0,0.0,53.6,18.8,27.5,0.0,0.0,13810
Hillgrove (Armidale Regional - NSW),35.0,11.0,15.0,0.0,3.0,54.7,17.2,23.4,0.0,4.7,11907
Ebor,30.0,12.0,21.0,0.0,4.0,44.8,17.9,31.3,0.0,6.0,11372
Uralla (NSW),444.0,329.0,279.0,9.0,35.0,40.5,30.0,25.5,0.8,3.2,14051
Saumarez Ponds,55.0,78.0,10.0,0.0,3.0,37.7,53.4,6.8,0.0,2.1,13495
Invergowrie,116.0,134.0,20.0,0.0,3.0,42.5,49.1,7.3,0.0,1.1,11983
Arding,45.0,18.0,16.0,0.0,0.0,57.0,22.8,20.3,0.0,0.0,10075
Castle Doyle,26.0,16.0,9.0,0.0,3.0,48.1,29.6,16.7,0.0,5.6,10846
Dangarsleigh,26.0,13.0,13.0,0.0,0.0,50.0,25.0,25.0,0.0,0.0,11200
Kellys Plains,32.0,21.0,10.0,0.0,0.0,50.8,33.3,15.9,0.0,0.0,12087
Yarrowyck,21.0,13.0,12.0,0.0,0.0,45.7,28.3,26.1,0.0,0.0,14492
Kentucky,23.0,24.0,13.0,0.0,3.0,36.5,38.1,20.6,0.0,4.8,12102
Kentucky South,22.0,15.0,10.0,0.0,0.0,46.8,31.9,21.3,0.0,0.0,12103
Balala,25.0,17.0,10.0,0.0,0.0,48.1,32.7,19.2,0.0,0.0,10144
Rocky River (Uralla - NSW),49.0,36.0,17.0,0.0,0.0,48.0,35.3,16.7,0.0,0.0,13390
Walcha,477.0,207.0,242.0,17.0,36.0,48.7,21.1,24.7,1.7,3.7,14093
Woolbrook,23.0,21.0,17.0,3.0,3.0,34.3,31.3,25.4,4.5,4.5,14400
Nowendoc,33.0,11.0,8.0,0.0,3.0,60.0,20.0,14.5,0.0,5.5,13026
Yarrowitch,32.0,7.0,18.0,0.0,9.0,48.5,10.6,27.3,0.0,13.6,14491
Stonehenge (NSW),21.0,14.0,6.0,0.0,0.0,51.2,34.1,14.6,0.0,0.0,13665
Glen Innes,944.0,645.0,733.0,13.0,107.0,38.7,26.4,30.0,0.5,4.4,11649
Emmaville,139.0,44.0,26.0,3.0,10.0,62.6,19.8,11.7,1.4,4.5,11414
Deepwater (NSW),97.0,45.0,34.0,0.0,9.0,52.4,24.3,18.4,0.0,4.9,11231
Dundee,29.0,15.0,10.0,3.0,4.0,47.5,24.6,16.4,4.9,6.6,11314
Red Range,34.0,21.0,13.0,0.0,3.0,47.9,29.6,18.3,0.0,4.2,13333
Shannon Vale,28.0,24.0,6.0,0.0,3.0,45.9,39.3,9.8,0.0,4.9,13526
Glencoe (NSW),38.0,15.0,8.0,0.0,3.0,59.4,23.4,12.5,0.0,4.7,11657
Inverell,1505.0,1260.0,1520.0,17.0,163.0,33.7,28.2,34.0,0.4,3.7,11981
Ashford (NSW),130.0,59.0,52.0,3.0,14.0,50.4,22.9,20.2,1.2,5.4,10099
Tingha,135.0,76.0,57.0,7.0,12.0,47.0,26.5,19.9,2.4,4.2,13874
Yetman,33.0,19.0,19.0,3.0,3.0,42.9,24.7,24.7,3.9,3.9,14514
Bundarra,109.0,68.0,61.0,5.0,11.0,42.9,26.8,24.0,2.0,4.3,10671
Gilgai,97.0,97.0,29.0,0.0,6.0,42.4,42.4,12.7,0.0,2.6,11618
Bonshaw (NSW),21.0,10.0,6.0,0.0,0.0,56.8,27.0,16.2,0.0,0.0,10473
Coolatai,18.0,12.0,15.0,0.0,0.0,40.0,26.7,33.3,0.0,0.0,11028
Bukkulla,14.0,20.0,15.0,3.0,0.0,26.9,38.5,28.8,5.8,0.0,10648
Oakwood (NSW),24.0,19.0,16.0,0.0,0.0,40.7,32.2,27.1,0.0,0.0,13061
Nullamanna,34.0,13.0,6.0,0.0,0.0,64.2,24.5,11.3,0.0,0.0,13032
Elsmore,26.0,17.0,44.0,0.0,6.0,28.0,18.3,47.3,0.0,6.5,11408
Bingara,331.0,107.0,130.0,9.0,23.0,55.2,17.8,21.7,1.5,3.8,10365
Gravesend,50.0,39.0,22.0,0.0,7.0,42.4,33.1,18.6,0.0,5.9,11742
Auburn Vale,20.0,14.0,6.0,0.0,3.0,46.5,32.6,14.0,0.0,7.0,10107
Gum Flat,27.0,33.0,12.0,0.0,3.0,36.0,44.0,16.0,0.0,4.0,11796
Delungra,109.0,60.0,45.0,4.0,11.0,47.6,26.2,19.7,1.7,4.8,11234
Warialda,293.0,137.0,157.0,6.0,24.0,47.5,22.2,25.4,1.0,3.9,14149
Yallaroi,14.0,7.0,15.0,0.0,0.0,38.9,19.4,41.7,0.0,0.0,14456
Warialda Rail,23.0,5.0,8.0,0.0,3.0,59.0,12.8,20.5,0.0,7.7,14150
Upper Horton,25.0,9.0,15.0,0.0,3.0,48.1,17.3,28.8,0.0,5.8,14029
Tabulam,76.0,45.0,54.0,5.0,9.0,40.2,23.8,28.6,2.6,4.8,13723
Tenterfield,784.0,384.0,427.0,8.0,48.0,47.5,23.3,25.9,0.5,2.9,13792
Drake,89.0,32.0,13.0,0.0,9.0,62.2,22.4,9.1,0.0,6.3,11290
Liston,31.0,20.0,8.0,0.0,4.0,49.2,31.7,12.7,0.0,6.3,12346
Legume,37.0,9.0,11.0,3.0,0.0,61.7,15.0,18.3,5.0,0.0,12296
Urbenville,61.0,25.0,29.0,0.0,4.0,51.3,21.0,24.4,0.0,3.4,14057
Woodenbong,71.0,44.0,39.0,3.0,11.0,42.3,26.2,23.2,1.8,6.5,14382
Jennings,34.0,14.0,11.0,0.0,3.0,54.8,22.6,17.7,0.0,4.8,12008
Moree,880.0,848.0,1333.0,39.0,183.0,26.8,25.8,40.6,1.2,5.6,12722
Pallamallawa,63.0,57.0,33.0,3.0,4.0,39.4,35.6,20.6,1.9,2.5,13131
Garah,47.0,19.0,29.0,3.0,6.0,45.2,18.3,27.9,2.9,5.8,11586
Boomi,26.0,6.0,26.0,0.0,3.0,42.6,9.8,42.6,0.0,4.9,10489
Ashley,30.0,48.0,34.0,0.0,8.0,25.0,40.0,28.3,0.0,6.7,10100
Boggabilla,78.0,29.0,170.0,3.0,5.0,27.4,10.2,59.6,1.1,1.8,10441
North Star,23.0,11.0,41.0,3.0,4.0,28.0,13.4,50.0,3.7,4.9,13008
Mungindi (NSW),50.0,45.0,105.0,3.0,19.0,22.5,20.3,47.3,1.4,8.6,12843
Gurley,33.0,15.0,24.0,0.0,4.0,43.4,19.7,31.6,0.0,5.3,11817
Biniguy,17.0,14.0,8.0,3.0,0.0,40.5,33.3,19.0,7.1,0.0,10369
Bellata,54.0,19.0,48.0,0.0,9.0,41.5,14.6,36.9,0.0,6.9,10266
Narrabri,871.0,851.0,864.0,15.0,113.0,32.1,31.4,31.8,0.6,4.2,12903
Wee Waa,212.0,207.0,270.0,3.0,30.0,29.4,28.7,37.4,0.4,4.2,14211
Merah North,22.0,3.0,29.0,4.0,0.0,37.9,5.2,50.0,6.9,0.0,12572
Maules Creek,20.0,14.0,9.0,0.0,4.0,42.6,29.8,19.1,0.0,8.5,12526
Baan Baa,27.0,20.0,15.0,0.0,3.0,41.5,30.8,23.1,0.0,4.6,10120
Tarriaro,14.0,12.0,6.0,0.0,0.0,43.8,37.5,18.8,0.0,0.0,13770
Bohena Creek,15.0,22.0,3.0,0.0,0.0,37.5,55.0,7.5,0.0,0.0,10444
Jacks Creek,31.0,12.0,4.0,0.0,0.0,66.0,25.5,8.5,0.0,0.0,11993
Gwabegar,31.0,10.0,15.0,0.0,3.0,52.5,16.9,25.4,0.0,5.1,11823
Gunnedah,1181.0,1108.0,1198.0,34.0,120.0,32.4,30.4,32.9,0.9,3.3,11812
Curlewis (NSW),113.0,92.0,67.0,0.0,4.0,40.9,33.3,24.3,0.0,1.4,11169
Boggabri,171.0,97.0,139.0,7.0,11.0,40.2,22.8,32.7,1.6,2.6,10442
Carroll,47.0,29.0,29.0,0.0,4.0,43.1,26.6,26.6,0.0,3.7,10832
Piallaway,22.0,6.0,14.0,0.0,0.0,52.4,14.3,33.3,0.0,0.0,13196
Breeza,24.0,11.0,22.0,0.0,0.0,42.1,19.3,38.6,0.0,0.0,10561
Caroona,11.0,12.0,44.0,4.0,0.0,15.5,16.9,62.0,5.6,0.0,10823
Spring Ridge,41.0,21.0,32.0,3.0,4.0,40.6,20.8,31.7,3.0,4.0,13619
Emerald Hill,21.0,17.0,11.0,0.0,0.0,42.9,34.7,22.4,0.0,0.0,11412
Mullaley,30.0,14.0,18.0,0.0,0.0,48.4,22.6,29.0,0.0,0.0,12820
Kelvin,23.0,19.0,9.0,0.0,3.0,42.6,35.2,16.7,0.0,5.6,12091
Werris Creek,283.0,133.0,187.0,8.0,18.0,45.0,21.1,29.7,1.3,2.9,14238
Quirindi,524.0,347.0,411.0,13.0,36.0,39.4,26.1,30.9,1.0,2.7,13301
Wallabadah,83.0,46.0,35.0,0.0,3.0,49.7,27.5,21.0,0.0,1.8,14098
Currabubula,42.0,47.0,23.0,0.0,5.0,35.9,40.2,19.7,0.0,4.3,11172
Quipolly,28.0,22.0,9.0,0.0,0.0,47.5,37.3,15.3,0.0,0.0,13300
Willow Tree,49.0,30.0,24.0,0.0,6.0,45.0,27.5,22.0,0.0,5.5,14305
Blackville,17.0,3.0,9.0,8.0,0.0,45.9,8.1,24.3,21.6,0.0,10398
Hillvue,861.0,807.0,515.0,10.0,63.0,38.2,35.8,22.8,0.4,2.8,11914
Calala,401.0,523.0,370.0,7.0,20.0,30.4,39.6,28.0,0.5,1.5,10748
Kingswood (Tamworth Regional - NSW),144.0,146.0,22.0,0.0,10.0,44.7,45.3,6.8,0.0,3.1,12164
South Tamworth,764.0,594.0,1193.0,10.0,112.0,28.6,22.2,44.6,0.4,4.2,13597
West Tamworth,524.0,391.0,991.0,10.0,95.0,26.1,19.4,49.3,0.5,4.7,14252
North Tamworth,543.0,532.0,744.0,47.0,88.0,27.8,27.2,38.1,2.4,4.5,13011
Tamworth,12.0,8.0,48.0,0.0,8.0,15.8,10.5,63.2,0.0,10.5,13746
East Tamworth,743.0,565.0,690.0,12.0,55.0,36.0,27.4,33.4,0.6,2.7,11363
Oxley Vale,338.0,352.0,543.0,0.0,27.0,26.8,27.9,43.1,0.0,2.1,13111
Nemingha,91.0,105.0,49.0,0.0,11.0,35.5,41.0,19.1,0.0,4.3,12926
Westdale (Tamworth Regional - NSW),132.0,362.0,306.0,4.0,21.0,16.0,43.9,37.1,0.5,2.5,14259
Kootingal,282.0,313.0,177.0,10.0,22.0,35.1,38.9,22.0,1.2,2.7,12194
Duri,80.0,72.0,24.0,3.0,5.0,43.5,39.1,13.0,1.6,2.7,11332
Bithramere,32.0,17.0,13.0,0.0,3.0,49.2,26.2,20.0,0.0,4.6,10381
Winton (NSW),23.0,31.0,17.0,0.0,5.0,30.3,40.8,22.4,0.0,6.6,14336
Rushes Creek,31.0,3.0,8.0,0.0,0.0,73.8,7.1,19.0,0.0,0.0,13445
Somerton (NSW),34.0,26.0,31.0,0.0,5.0,35.4,27.1,32.3,0.0,5.2,13572
Bective,23.0,28.0,11.0,0.0,0.0,37.1,45.2,17.7,0.0,0.0,10245
Attunga,84.0,81.0,33.0,3.0,5.0,40.8,39.3,16.0,1.5,2.4,10105
Garthowen,21.0,23.0,7.0,0.0,0.0,41.2,45.1,13.7,0.0,0.0,11593
Limbri,24.0,9.0,4.0,0.0,0.0,64.9,24.3,10.8,0.0,0.0,12327
Tintinhull,67.0,53.0,17.0,0.0,3.0,47.9,37.9,12.1,0.0,2.1,13879
Loomberah,75.0,62.0,27.0,3.0,3.0,44.1,36.5,15.9,1.8,1.8,12386
Moonbi,165.0,139.0,63.0,5.0,20.0,42.1,35.5,16.1,1.3,5.1,12699
Bendemeer,84.0,57.0,38.0,6.0,3.0,44.7,30.3,20.2,3.2,1.6,10289
Watsons Creek (NSW),30.0,13.0,4.0,0.0,5.0,57.7,25.0,7.7,0.0,9.6,14188
Halls Creek (NSW),25.0,16.0,5.0,0.0,0.0,54.3,34.8,10.9,0.0,0.0,11834
Barraba,315.0,104.0,154.0,7.0,32.0,51.5,17.0,25.2,1.1,5.2,10206
Upper Manilla,21.0,16.0,12.0,0.0,0.0,42.9,32.7,24.5,0.0,0.0,14037
Manilla,405.0,251.0,261.0,7.0,45.0,41.8,25.9,26.9,0.7,4.6,12474
Daruka,101.0,146.0,7.0,0.0,3.0,39.3,56.8,2.7,0.0,1.2,11218
Moore Creek,232.0,411.0,41.0,0.0,10.0,33.4,59.2,5.9,0.0,1.4,12710
Hallsville,86.0,81.0,19.0,0.0,3.0,45.5,42.9,10.1,0.0,1.6,11835
Nundle,118.0,42.0,38.0,0.0,5.0,58.1,20.7,18.7,0.0,2.5,13043
Ogunbil,25.0,24.0,9.0,0.0,3.0,41.0,39.3,14.8,0.0,4.9,13071
Dungowan,48.0,55.0,27.0,0.0,4.0,35.8,41.0,20.1,0.0,3.0,11321
Piallamore,29.0,40.0,13.0,0.0,3.0,34.1,47.1,15.3,0.0,3.5,13195
Woolomin,42.0,38.0,18.0,3.0,0.0,41.6,37.6,17.8,3.0,0.0,14408
Warral,67.0,52.0,22.0,0.0,3.0,46.5,36.1,15.3,0.0,2.1,14163
Timbumburi,18.0,12.0,10.0,4.0,0.0,40.9,27.3,22.7,9.1,0.0,13870
Windale,112.0,147.0,1030.0,11.0,48.0,8.3,10.9,76.4,0.8,3.6,14315
Jewells,401.0,365.0,78.0,30.0,15.0,45.1,41.1,8.8,3.4,1.7,12024
Belmont North,762.0,966.0,416.0,25.0,58.0,34.2,43.4,18.7,1.1,2.6,10277
Belmont (NSW),1173.0,770.0,897.0,22.0,78.0,39.9,26.2,30.5,0.7,2.7,10276
Floraville,218.0,285.0,102.0,0.0,8.0,35.6,46.5,16.6,0.0,1.3,11535
Blacksmiths,368.0,186.0,184.0,3.0,16.0,48.6,24.6,24.3,0.4,2.1,10396
Pelican (NSW),169.0,102.0,66.0,3.0,10.0,48.3,29.1,18.9,0.9,2.9,13178
Marks Point,268.0,179.0,340.0,4.0,28.0,32.7,21.9,41.5,0.5,3.4,12492
Belmont South,131.0,112.0,168.0,6.0,9.0,30.8,26.3,39.4,1.4,2.1,10278
Kahibah,349.0,395.0,219.0,3.0,15.0,35.6,40.3,22.3,0.3,1.5,12048
Charlestown (NSW),1850.0,1772.0,1258.0,10.0,102.0,37.1,35.5,25.2,0.2,2.0,10885
Whitebridge,404.0,353.0,159.0,5.0,24.0,42.8,37.4,16.8,0.5,2.5,14276
Gateshead,272.0,332.0,495.0,13.0,36.0,23.7,28.9,43.1,1.1,3.1,11594
Dudley,351.0,347.0,119.0,0.0,23.0,41.8,41.3,14.2,0.0,2.7,11300
Highfields (NSW),142.0,136.0,43.0,0.0,5.0,43.6,41.7,13.2,0.0,1.5,11902
Garden Suburb,280.0,266.0,56.0,0.0,9.0,45.8,43.5,9.2,0.0,1.5,11587
Cardiff (NSW),753.0,851.0,567.0,25.0,48.0,33.6,37.9,25.3,1.1,2.1,10809
Hillsborough (Lake Macquarie - NSW),93.0,100.0,31.0,0.0,0.0,41.5,44.6,13.8,0.0,0.0,11909
Warners Bay,1295.0,910.0,710.0,13.0,81.0,43.0,30.2,23.6,0.4,2.7,14153
Argenton,168.0,155.0,189.0,8.0,16.0,31.3,28.9,35.3,1.5,3.0,10078
Glendale (NSW),394.0,440.0,336.0,5.0,29.0,32.7,36.5,27.9,0.4,2.4,11658
Elermore Vale,744.0,692.0,508.0,60.0,46.0,36.3,33.8,24.8,2.9,2.2,11394
Macquarie Hills,340.0,607.0,137.0,4.0,7.0,31.1,55.4,12.5,0.4,0.6,12434
Kotara,559.0,623.0,239.0,3.0,38.0,38.2,42.6,16.3,0.2,2.6,12200
Cardiff Heights,218.0,217.0,75.0,11.0,7.0,41.3,41.1,14.2,2.1,1.3,10810
Cardiff South,352.0,458.0,231.0,3.0,23.0,33.0,42.9,21.6,0.3,2.2,10811
New Lambton Heights,333.0,368.0,100.0,4.0,11.0,40.8,45.1,12.3,0.5,1.3,12943
Rankin Park,390.0,389.0,114.0,0.0,17.0,42.9,42.7,12.5,0.0,1.9,13315
Tingira Heights,203.0,363.0,103.0,0.0,23.0,29.3,52.5,14.9,0.0,3.3,13875
Mount Hutton (NSW),509.0,455.0,330.0,34.0,30.0,37.5,33.5,24.3,2.5,2.2,12766
Eleebana,953.0,801.0,194.0,14.0,31.0,47.8,40.2,9.7,0.7,1.6,11393
Redhead,698.0,386.0,205.0,24.0,32.0,51.9,28.7,15.2,1.8,2.4,13340
Caves Beach,697.0,466.0,246.0,19.0,19.0,48.2,32.2,17.0,1.3,1.3,10862
Nords Wharf,128.0,126.0,50.0,0.0,9.0,40.9,40.3,16.0,0.0,2.9,12975
Swansea (NSW),907.0,512.0,621.0,67.0,81.0,41.5,23.4,28.4,3.1,3.7,13711
Swansea Heads,94.0,76.0,28.0,0.0,3.0,46.8,37.8,13.9,0.0,1.5,13712
Catherine Hill Bay,26.0,8.0,23.0,0.0,0.0,45.6,14.0,40.4,0.0,0.0,10857
Cams Wharf,17.0,13.0,8.0,0.0,9.0,36.2,27.7,17.0,0.0,19.1,10784
Murrays Beach,69.0,117.0,16.0,0.0,3.0,33.7,57.1,7.8,0.0,1.5,12854
Valentine,938.0,780.0,212.0,10.0,36.0,47.5,39.5,10.7,0.5,1.8,14065
Croudace Bay,85.0,79.0,20.0,0.0,3.0,45.5,42.2,10.7,0.0,1.6,11128
Speers Point,500.0,431.0,319.0,6.0,21.0,39.2,33.8,25.0,0.5,1.6,13605
Lakelands (NSW),219.0,202.0,50.0,0.0,8.0,45.7,42.2,10.4,0.0,1.7,12256
Boolaroo,145.0,137.0,119.0,3.0,4.0,35.5,33.6,29.2,0.7,1.0,10482
Booragul,129.0,139.0,181.0,14.0,11.0,27.2,29.3,38.2,3.0,2.3,10495
Fennell Bay,246.0,238.0,118.0,3.0,17.0,39.5,38.3,19.0,0.5,2.7,11500
Marmong Point,112.0,111.0,59.0,0.0,4.0,39.2,38.8,20.6,0.0,1.4,12498
Woodrising,103.0,202.0,67.0,0.0,4.0,27.4,53.7,17.8,0.0,1.1,14391
Bolton Point,196.0,217.0,299.0,24.0,17.0,26.0,28.8,39.7,3.2,2.3,10449
Teralba,214.0,205.0,143.0,6.0,12.0,36.9,35.3,24.7,1.0,2.1,13793
Fassifern (NSW),98.0,73.0,53.0,3.0,3.0,42.6,31.7,23.0,1.3,1.3,11495
Balcolyn,155.0,111.0,87.0,3.0,4.0,43.1,30.8,24.2,0.8,1.1,10145
Yarrawonga Park,48.0,63.0,29.0,0.0,0.0,34.3,45.0,20.7,0.0,0.0,14487
Mirrabooka (NSW),97.0,109.0,62.0,0.0,0.0,36.2,40.7,23.1,0.0,0.0,12647
Sunshine (NSW),93.0,35.0,32.0,0.0,3.0,57.1,21.5,19.6,0.0,1.8,13694
Silverwater (Lake Macquarie - NSW),40.0,38.0,25.0,0.0,4.0,37.4,35.5,23.4,0.0,3.7,13546
Bonnells Bay,510.0,470.0,312.0,11.0,36.0,38.1,35.1,23.3,0.8,2.7,10468
Brightwaters,148.0,108.0,70.0,0.0,4.0,44.8,32.7,21.2,0.0,1.2,10570
Morisset Park,103.0,83.0,43.0,4.0,5.0,43.3,34.9,18.1,1.7,2.1,12724
Windermere Park,80.0,103.0,73.0,3.0,6.0,30.2,38.9,27.5,1.1,2.3,14321
Edgeworth,751.0,902.0,582.0,48.0,64.0,32.0,38.4,24.8,2.0,2.7,11381
Cameron Park,438.0,1361.0,514.0,7.0,38.0,18.6,57.7,21.8,0.3,1.6,10775
Cooranbong,626.0,682.0,428.0,73.0,64.0,33.4,36.4,22.9,3.9,3.4,11052
Wyee,336.0,279.0,151.0,18.0,28.0,41.4,34.4,18.6,2.2,3.4,14438
Morisset,650.0,183.0,344.0,98.0,50.0,49.1,13.8,26.0,7.4,3.8,12723
Wyee Point,122.0,181.0,57.0,0.0,13.0,32.7,48.5,15.3,0.0,3.5,14439
Mandalong,41.0,48.0,38.0,0.0,3.0,31.5,36.9,29.2,0.0,2.3,12465
Dora Creek,288.0,200.0,133.0,10.0,29.0,43.6,30.3,20.2,1.5,4.4,11277
Eraring,47.0,22.0,11.0,0.0,0.0,58.7,27.5,13.8,0.0,0.0,11429
Martinsville,63.0,45.0,6.0,0.0,4.0,53.4,38.1,5.1,0.0,3.4,12512
Blackalls Park,411.0,392.0,207.0,6.0,21.0,39.6,37.8,20.0,0.6,2.0,10390
Toronto,772.0,522.0,791.0,18.0,66.0,35.6,24.1,36.5,0.8,3.0,13918
Kilaben Bay,226.0,208.0,71.0,3.0,11.0,43.5,40.1,13.7,0.6,2.1,12125
Coal Point,321.0,227.0,81.0,3.0,16.0,49.5,35.0,12.5,0.5,2.5,10943
Awaba,49.0,71.0,10.0,0.0,3.0,36.8,53.4,7.5,0.0,2.3,10118
Carey Bay,156.0,86.0,93.0,5.0,14.0,44.1,24.3,26.3,1.4,4.0,10812
Buttaba,159.0,172.0,49.0,0.0,3.0,41.5,44.9,12.8,0.0,0.8,10723
Fishing Point,208.0,133.0,58.0,0.0,8.0,51.1,32.7,14.3,0.0,2.0,11526
Rathmines,312.0,288.0,101.0,4.0,14.0,43.4,40.1,14.0,0.6,1.9,13319
Wangi Wangi,467.0,345.0,252.0,8.0,34.0,42.2,31.2,22.8,0.7,3.1,14135
Arcadia Vale,188.0,223.0,84.0,4.0,15.0,36.6,43.4,16.3,0.8,2.9,10073
Balmoral (Lake Macquarie - NSW),89.0,123.0,50.0,0.0,3.0,33.6,46.4,18.9,0.0,1.1,10166
Holmesville,173.0,223.0,53.0,6.0,12.0,37.0,47.8,11.3,1.3,2.6,11924
Barnsley,179.0,304.0,95.0,3.0,12.0,30.2,51.3,16.0,0.5,2.0,10204
Seahampton,25.0,63.0,14.0,0.0,0.0,24.5,61.8,13.7,0.0,0.0,13511
West Wallsend,256.0,365.0,158.0,38.0,16.0,30.7,43.8,19.0,4.6,1.9,14253
Killingworth (NSW),63.0,135.0,17.0,0.0,3.0,28.9,61.9,7.8,0.0,1.4,12137
Wakefield,16.0,14.0,9.0,0.0,0.0,41.0,35.9,23.1,0.0,0.0,14088
Adamstown Heights,866.0,723.0,267.0,4.0,37.0,45.7,38.1,14.1,0.2,2.0,10017
Adamstown,622.0,757.0,951.0,8.0,49.0,26.1,31.7,39.8,0.3,2.1,10016
Kotara South,147.0,181.0,77.0,3.0,10.0,35.2,43.3,18.4,0.7,2.4,12201
Woodberry,294.0,383.0,349.0,3.0,28.0,27.8,36.2,33.0,0.3,2.6,14377
Beresfield,490.0,365.0,381.0,4.0,21.0,38.9,28.9,30.2,0.3,1.7,10301
Tarro,311.0,197.0,139.0,0.0,11.0,47.3,29.9,21.1,0.0,1.7,13771
Hexham (NSW),20.0,16.0,20.0,0.0,3.0,33.9,27.1,33.9,0.0,5.1,11898
Hamilton South,489.0,316.0,706.0,9.0,54.0,31.1,20.1,44.9,0.6,3.4,11841
Broadmeadow,171.0,189.0,290.0,0.0,12.0,25.8,28.5,43.8,0.0,1.8,10578
Hamilton East,168.0,122.0,60.0,0.0,4.0,47.5,34.5,16.9,0.0,1.1,11839
Newcastle West,50.0,55.0,174.0,3.0,17.0,16.7,18.4,58.2,1.0,5.7,12951
Hamilton North,99.0,145.0,115.0,3.0,4.0,27.0,39.6,31.4,0.8,1.1,11840
Hamilton (NSW),502.0,412.0,780.0,24.0,58.0,28.3,23.2,43.9,1.4,3.3,11838
New Lambton,1374.0,1348.0,1174.0,16.0,89.0,34.3,33.7,29.3,0.4,2.2,12942
Lambton,617.0,588.0,697.0,14.0,41.0,31.5,30.0,35.6,0.7,2.1,12264
Jesmond,193.0,133.0,720.0,6.0,37.0,17.7,12.2,66.1,0.6,3.4,12023
Maryland (Newcastle - NSW),794.0,1209.0,557.0,12.0,49.0,30.3,46.1,21.3,0.5,1.9,12514
Fletcher (NSW),244.0,919.0,304.0,3.0,26.0,16.3,61.4,20.3,0.2,1.7,11533
Minmi,67.0,129.0,34.0,0.0,3.0,28.8,55.4,14.6,0.0,1.3,12638
Warabrook,251.0,178.0,240.0,0.0,17.0,36.6,25.9,35.0,0.0,2.5,14140
Mayfield West,193.0,255.0,308.0,3.0,15.0,24.9,32.9,39.8,0.4,1.9,12536
Mayfield (Newcastle - NSW),871.0,1221.0,1586.0,24.0,107.0,22.9,32.1,41.6,0.6,2.8,12530
Mayfield East,158.0,267.0,255.0,3.0,16.0,22.6,38.2,36.5,0.4,2.3,12534
Merewether Heights,222.0,198.0,40.0,0.0,5.0,47.7,42.6,8.6,0.0,1.1,12574
Merewether,1426.0,1292.0,1463.0,31.0,91.0,33.1,30.0,34.0,0.7,2.1,12573
The Junction,145.0,114.0,165.0,3.0,19.0,32.5,25.6,37.0,0.7,4.3,13827
Cooks Hill,319.0,346.0,877.0,17.0,47.0,19.9,21.5,54.6,1.1,2.9,11019
Bar Beach,136.0,123.0,233.0,5.0,17.0,26.5,23.9,45.3,1.0,3.3,10187
Newcastle,330.0,259.0,661.0,3.0,39.0,25.5,20.0,51.2,0.2,3.0,12949
The Hill,229.0,173.0,482.0,7.0,24.0,25.0,18.9,52.7,0.8,2.6,13826
Newcastle East,113.0,86.0,237.0,0.0,12.0,25.2,19.2,52.9,0.0,2.7,12950
Carrington (Newcastle - NSW),187.0,234.0,365.0,6.0,44.0,22.4,28.0,43.7,0.7,5.3,10830
Shortland,475.0,488.0,541.0,16.0,49.0,30.3,31.1,34.5,1.0,3.1,13542
Birmingham Gardens,190.0,195.0,423.0,4.0,32.0,22.5,23.1,50.1,0.5,3.8,10377
Sandgate (NSW),11.0,17.0,30.0,0.0,10.0,16.2,25.0,44.1,0.0,14.7,13474
North Lambton,385.0,340.0,463.0,5.0,36.0,31.3,27.7,37.7,0.4,2.9,12993
Stockton (NSW),526.0,464.0,451.0,18.0,53.0,34.8,30.7,29.8,1.2,3.5,13662
Fern Bay,657.0,279.0,190.0,14.0,41.0,55.6,23.6,16.1,1.2,3.5,11501
Fullerton Cove,150.0,49.0,13.0,0.0,3.0,69.8,22.8,6.0,0.0,1.4,11575
Wallsend,1543.0,1463.0,1676.0,79.0,147.0,31.4,29.8,34.1,1.6,3.0,14118
Georgetown (NSW),237.0,313.0,240.0,3.0,18.0,29.2,38.6,29.6,0.4,2.2,11603
Waratah West,328.0,280.0,444.0,10.0,40.0,29.8,25.4,40.3,0.9,3.6,14142
