,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (%),Rented (%),Other tenure type (%),Tenure type not stated (%),SSC_CODE
Chain Valley Bay,614.0,269.0,112.0,5.0,34.0,59.4,26.0,10.8,0.5,3.3,10880
Kingfisher Shores,14.0,27.0,18.0,0.0,3.0,22.6,43.5,29.0,0.0,4.8,12146
Mannering Park,293.0,346.0,234.0,3.0,28.0,32.4,38.3,25.9,0.3,3.1,12477
Doyalson North,168.0,6.0,25.0,3.0,14.0,77.8,2.8,11.6,1.4,6.5,11287
Ourimbah,407.0,617.0,336.0,0.0,16.0,29.6,44.8,24.4,0.0,1.2,13103
Fountaindale,77.0,105.0,9.0,0.0,7.0,38.9,53.0,4.5,0.0,3.5,11554
Palm Grove (NSW),21.0,11.0,4.0,0.0,0.0,58.3,30.6,11.1,0.0,0.0,13133
Gwandalan,442.0,509.0,224.0,7.0,30.0,36.5,42.0,18.5,0.6,2.5,11824
Summerland Point,393.0,324.0,203.0,3.0,20.0,41.7,34.4,21.5,0.3,2.1,13690
Long Jetty,809.0,643.0,1114.0,14.0,100.0,30.2,24.0,41.6,0.5,3.7,12378
Shelly Beach (NSW),218.0,166.0,70.0,0.0,13.0,46.7,35.5,15.0,0.0,2.8,13535
Blue Bay,154.0,80.0,179.0,0.0,17.0,35.8,18.6,41.6,0.0,4.0,10414
Toowoon Bay,105.0,36.0,95.0,3.0,12.0,41.8,14.3,37.8,1.2,4.8,13916
The Entrance North,182.0,132.0,243.0,0.0,18.0,31.7,23.0,42.3,0.0,3.1,13819
Magenta (NSW),32.0,18.0,38.0,0.0,3.0,35.2,19.8,41.8,0.0,3.3,12441
The Entrance,505.0,175.0,1096.0,12.0,71.0,27.2,9.4,59.0,0.6,3.8,13818
Toukley,627.0,409.0,711.0,15.0,76.0,34.1,22.3,38.7,0.8,4.1,13925
Canton Beach,303.0,70.0,148.0,14.0,36.0,53.1,12.3,25.9,2.5,6.3,10798
Noraville,382.0,347.0,312.0,0.0,31.0,35.6,32.4,29.1,0.0,2.9,12974
Norah Head,186.0,127.0,76.0,0.0,8.0,46.9,32.0,19.1,0.0,2.0,12973
Kangy Angy,62.0,21.0,18.0,3.0,3.0,57.9,19.6,16.8,2.8,2.8,12064
Tuggerah,90.0,124.0,130.0,0.0,8.0,25.6,35.2,36.9,0.0,2.3,13950
Wyong,587.0,336.0,713.0,4.0,57.0,34.6,19.8,42.0,0.2,3.4,14446
Mardi,307.0,467.0,349.0,0.0,36.0,26.5,40.3,30.1,0.0,3.1,12488
Tacoma South,28.0,46.0,13.0,0.0,3.0,31.1,51.1,14.4,0.0,3.3,13725
Hamlyn Terrace,520.0,740.0,534.0,34.0,36.0,27.9,39.7,28.6,1.8,1.9,11843
Woongarrah,417.0,759.0,326.0,3.0,21.0,27.3,49.7,21.4,0.2,1.4,14415
Warnervale,72.0,85.0,35.0,0.0,0.0,37.5,44.3,18.2,0.0,0.0,14154
Wallarah,46.0,29.0,23.0,0.0,0.0,46.9,29.6,23.5,0.0,0.0,14109
Wadalba,156.0,384.0,390.0,3.0,32.0,16.2,39.8,40.4,0.3,3.3,14080
Watanobbi,281.0,489.0,516.0,3.0,37.0,21.2,36.9,38.9,0.2,2.8,14181
Tacoma,62.0,96.0,30.0,0.0,6.0,32.0,49.5,15.5,0.0,3.1,13724
Llanarth (NSW),242.0,332.0,121.0,3.0,3.0,34.5,47.4,17.3,0.4,0.4,12362
South Bathurst,188.0,179.0,223.0,5.0,25.0,30.3,28.9,36.0,0.8,4.0,13577
Bathurst,794.0,520.0,1586.0,18.0,72.0,26.6,17.4,53.0,0.6,2.4,10231
Robin Hill,153.0,128.0,17.0,0.0,3.0,50.8,42.5,5.6,0.0,1.0,13375
West Bathurst,427.0,441.0,525.0,6.0,43.0,29.6,30.6,36.4,0.4,3.0,14241
Mitchell (NSW),13.0,3.0,86.0,0.0,7.0,11.9,2.8,78.9,0.0,6.4,12650
Gormans Hill,59.0,65.0,141.0,7.0,47.0,18.5,20.4,44.2,2.2,14.7,11720
Abercrombie,112.0,187.0,50.0,0.0,0.0,32.1,53.6,14.3,0.0,0.0,10004
Eglinton (NSW),256.0,329.0,145.0,3.0,11.0,34.4,44.2,19.5,0.4,1.5,11386
Windradyne,341.0,381.0,343.0,4.0,16.0,31.4,35.1,31.6,0.4,1.5,14324
Raglan (NSW),141.0,183.0,69.0,3.0,7.0,35.0,45.4,17.1,0.7,1.7,13304
White Rock (NSW),86.0,112.0,7.0,0.0,0.0,42.0,54.6,3.4,0.0,0.0,14275
Kelso (NSW),880.0,1143.0,835.0,20.0,80.0,29.7,38.6,28.2,0.7,2.7,12090
O'Connell (NSW),81.0,77.0,19.0,0.0,7.0,44.0,41.8,10.3,0.0,3.8,13052
Brewongle,16.0,14.0,13.0,0.0,0.0,37.2,32.6,30.2,0.0,0.0,10564
Trunkey Creek,28.0,16.0,4.0,0.0,0.0,58.3,33.3,8.3,0.0,0.0,13942
Perthville,77.0,88.0,30.0,0.0,3.0,38.9,44.4,15.2,0.0,1.5,13189
Sofala,34.0,12.0,6.0,0.0,3.0,61.8,21.8,10.9,0.0,5.5,13569
Wattle Flat (NSW),68.0,29.0,16.0,0.0,0.0,60.2,25.7,14.2,0.0,0.0,14191
Peel,34.0,48.0,8.0,0.0,3.0,36.6,51.6,8.6,0.0,3.2,13174
Limekilns,14.0,10.0,8.0,0.0,0.0,43.8,31.2,25.0,0.0,0.0,12330
Clear Creek,24.0,19.0,4.0,0.0,0.0,51.1,40.4,8.5,0.0,0.0,10925
Rockley,36.0,22.0,10.0,3.0,3.0,48.6,29.7,13.5,4.1,4.1,13380
Georges Plains,29.0,32.0,10.0,0.0,0.0,40.8,45.1,14.1,0.0,0.0,11602
Duramana,38.0,22.0,13.0,0.0,0.0,52.1,30.1,17.8,0.0,0.0,11330
Billywillinga,27.0,31.0,3.0,0.0,0.0,44.3,50.8,4.9,0.0,0.0,10357
Mount Rankin,47.0,55.0,9.0,0.0,3.0,41.2,48.2,7.9,0.0,2.6,12786
