,"No Religion, so described",Catholic,Not stated,Anglican,"Christian, nfd",Buddhism,Uniting Church,Eastern Orthodox,Pentecostal,Islam,Presbyterian and Reformed,Baptist,Seventh-day Adventist,Jehovah's Witnesses,Salvation Army,Lutheran,Other Protestant,Latter-day Saints,Hinduism,Brethren,Other Spiritual Beliefs,Sikhism,Australian Aboriginal Traditional Religions,Oriental Orthodox,Nature Religions,Judaism,Other Christian,Secular Beliefs,Japanese Religions,Assyrian Apostolic,Miscellaneous Religions,"No Religion, so described (%)",Catholic (%),Not stated (%),Anglican (%),"Christian, nfd (%)",Buddhism (%),Uniting Church (%),Eastern Orthodox (%),Pentecostal (%),Islam (%),Presbyterian and Reformed (%),Baptist (%),Seventh-day Adventist (%),Jehovah's Witnesses (%),Salvation Army (%),Lutheran (%),Other Protestant (%),Latter-day Saints (%),Hinduism (%),Brethren (%),Other Spiritual Beliefs (%),Sikhism (%),Australian Aboriginal Traditional Religions (%),Oriental Orthodox (%),Nature Religions (%),Judaism (%),Other Christian (%),Secular Beliefs (%),Japanese Religions (%),Assyrian Apostolic (%),Miscellaneous Religions (%),SSC_CODE
St Peters (NSW),"1,549",537,383,174,,,,107,,,,,,,,,,,,,,,,,,,,,,,,49.3,17.1,12.2,5.5,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,13644
Sydenham (NSW),405,229,106,,,135,,76,,,,,,,,,,,,,,,,,,,,,,,,35.6,20.1,9.3,,,11.9,,6.7,,,,,,,,,,,,,,,,,,,,,,,,13714
Tempe,"1,395",680,300,211,,,,322,,,,,,,,,,,,,,,,,,,,,,,,39.1,19.1,8.4,5.9,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,13785
Darlinghurst,"4,838","1,824","2,206",775,,423,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,16.1,19.5,6.8,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,11212
Erskineville,"4,388","1,127","1,013",506,,216,,,,,,,,,,,,,,,,,,,,,,,,,,54.8,14.1,12.6,6.3,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,11439
Alexandria,"4,098","1,508",947,561,,231,,,,,,,,,,,,,,,,,,,,,,,,,,49.6,18.3,11.5,6.8,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,10030
Glebe (NSW),"4,957","1,988","1,654",941,,557,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,17.3,14.4,8.2,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,11641
Forest Lodge,"2,374",666,571,291,,183,,,,,,,,,,,,,,,,,,,,,,,,,,51.8,14.5,12.5,6.4,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,11546
Annandale (NSW),"4,232","1,972","1,072",903,,,,217,,,,,,,,,,,,,,,,,,,,,,,,44.7,20.8,11.3,9.5,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,10061
Darlington (Sydney - NSW),"1,876",304,368,100,,134,,,,,,,,,,,,,,,,,,,,,,,,,,60.9,9.9,11.9,3.2,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,11214
Potts Point,"3,310","1,321","3,171",583,,197,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,14.0,33.6,6.2,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,13256
Elizabeth Bay,"2,290",937,776,535,,116,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,18.0,14.9,10.3,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,11395
Sydney,"5,459","2,167","2,729",574,,"3,746",,,,,,,,,,,,,,,,,,,,,,,,,,31.7,12.6,15.8,3.3,,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,13715
Woolloomooloo,"1,549",774,686,329,,147,,,,,,,,,,,,,,,,,,,,,,,,,,38.7,19.3,17.1,8.2,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,14406
Rushcutters Bay,"1,041",453,477,220,,,,,,,,,,,,,,,,,,,,,,64,,,,,,41.0,17.8,18.8,8.7,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,13444
Pyrmont,"5,100","2,537","1,677",845,,840,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,19.8,13.1,6.6,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,13284
Ultimo,"4,419",886,"1,396",,,981,,,,216,,,,,,,,,,,,,,,,,,,,,,49.9,10.0,15.8,,,11.1,,,,2.4,,,,,,,,,,,,,,,,,,,,,,14006
Redfern,"6,016","2,115","1,938",800,,472,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,16.0,14.7,6.1,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,13339
Eveleigh,245,135,131,26,,56,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,20.1,19.5,3.9,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,11471
Chippendale,"4,338",841,"1,402",215,,861,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,9.7,16.2,2.5,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,10907
Surry Hills,"7,233","2,557","2,775",920,,"1,043",,,,,,,,,,,,,,,,,,,,,,,,,,44.0,15.6,16.9,5.6,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,13699
Haymarket,"2,443",648,"1,199",,159,"2,242",,,,,,,,,,,,,,,,,,,,,,,,,,33.2,8.8,16.3,,2.2,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,11877
Dawes Point,142,72,48,55,,,,,,,11,,,,,,,,,,,,,,,,,,,,,39.9,20.2,13.5,15.4,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,11222
Millers Point,436,274,304,158,,59,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,18.4,20.4,10.6,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,12619
Barangaroo,53,28,85,10,,8,,,,,,,,,,,,,,,,,,,,,,,,,,27.7,14.7,44.5,5.2,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,10191
Balmain East,780,431,223,253,,,46,,,,,,,,,,,,,,,,,,,,,,,,,40.7,22.5,11.6,13.2,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,10165
The Rocks (Sydney - NSW),226,134,259,70,,18,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,17.5,33.8,9.1,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,13840
Waterloo (NSW),"6,078","2,452","2,251",807,,658,,,,,,,,,,,,,,,,,,,,,,,,,,41.6,16.8,15.4,5.5,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,14183
Zetland,"5,074","1,522","1,272",393,,532,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,15.1,12.6,3.9,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,14524
Beaconsfield (NSW),386,241,92,71,,44,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,24.3,9.3,7.2,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,10239
Bronte,"2,597","1,669",747,825,,,,,,,,,,,,,,,,,,,,,,239,,,,,,38.6,24.8,11.1,12.3,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,10594
Tamarama,652,295,276,162,,,,,,,,,,,,,,,,,,,,,,83,,,,,,40.6,18.4,17.2,10.1,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,13741
Bondi,"3,612","2,129","1,523",653,,,,,,,,,,,,,,,,,,,,,,"1,272",,,,,,35.9,21.2,15.1,6.5,,,,,,,,,,,,,,,,,,,,,,12.7,,,,,,10464
Bondi Beach,"4,801","2,200","2,058",809,,,,,,,,,,,,,,,,,,,,,,760,,,,,,41.2,18.9,17.7,6.9,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,10465
North Bondi,"2,987","1,684","1,145",665,,,,,,,,,,,,,,,,,,,,,,"2,009",,,,,,32.6,18.4,12.5,7.3,,,,,,,,,,,,,,,,,,,,,,21.9,,,,,,12984
Waverley (NSW),"1,389","1,071",755,478,,,,,,,,,,,,,,,,,,,,,,194,,,,,,32.0,24.7,17.4,11.0,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,14200
Bondi Junction,"3,001","1,992","1,611",772,,,,,,,,,,,,,,,,,,,,,,"1,020",,,,,,31.8,21.1,17.1,8.2,,,,,,,,,,,,,,,,,,,,,,10.8,,,,,,10467
Queens Park (NSW),"1,071",731,350,354,,,,,,,,,,,,,,,,,,,,,,286,,,,,,35.0,23.9,11.4,11.6,,,,,,,,,,,,,,,,,,,,,,9.3,,,,,,13294
Centennial Park (NSW),827,569,320,256,,,,,,,,,,,,,,,,,,,,,,97,,,,,,34.9,24.0,13.5,10.8,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,10873
Darling Point,"1,139",764,688,688,,,,,,,,,,,,,,,,,,,,,,441,,,,,,27.2,18.3,16.5,16.5,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,11211
Edgecliff,848,490,440,379,,,,,,,,,,,,,,,,,,,,,,152,,,,,,33.0,19.1,17.1,14.8,,,,,,,,,,,,,,,,,,,,,,5.9,,,,,,11379
Double Bay,"1,368",941,629,682,,,,,,,,,,,,,,,,,,,,,,519,,,,,,29.5,20.3,13.6,14.7,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,11281
Bellevue Hill,"3,012","1,806","1,307","1,185",,,,,,,,,,,,,,,,,,,,,,"2,300",,,,,,28.1,16.8,12.2,11.0,,,,,,,,,,,,,,,,,,,,,,21.4,,,,,,10271
Rose Bay (NSW),"2,410","1,725","1,166",975,,,,,,,,,,,,,,,,,,,,,,"2,744",,,,,,24.0,17.2,11.6,9.7,,,,,,,,,,,,,,,,,,,,,,27.3,,,,,,13398
Paddington (NSW),"5,192","2,590","1,746","1,733",,,,305,,,,,,,,,,,,,,,,,,,,,,,,40.2,20.1,13.5,13.4,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,13115
Point Piper,401,283,183,188,,,,,,,,,,,,,,,,,,,,,,193,,,,,,28.3,20.0,12.9,13.3,,,,,,,,,,,,,,,,,,,,,,13.6,,,,,,13233
Vaucluse,"2,105","1,847",952,"1,074",,,,,,,,,,,,,,,,,,,,,,"2,163",,,,,,22.6,19.8,10.2,11.5,,,,,,,,,,,,,,,,,,,,,,23.2,,,,,,14071
Dover Heights,631,417,377,,,,,179,,,,,,,,,,,,,,,,,,"1,840",,,,,,16.6,11.0,9.9,,,,,4.7,,,,,,,,,,,,,,,,,,48.5,,,,,,11284
Watsons Bay,289,164,124,120,,,,,,,,,,,,,,,,,,,,,,83,,,,,,33.8,19.2,14.5,14.0,,,,,,,,,,,,,,,,,,,,,,9.7,,,,,,14187
Woollahra,"2,431","1,455","1,016","1,134",,,,,,,,,,,,,,,,,,,,,,580,,,,,,32.9,19.7,13.7,15.3,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,14404
Clovelly,"1,823","1,201",438,604,,,,,,,,,,,,,,,,,,,,,,203,,,,,,38.5,25.3,9.2,12.7,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,10938
South Coogee,"1,417","1,605",552,535,,,,477,,,,,,,,,,,,,,,,,,,,,,,,25.8,29.2,10.0,9.7,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,13579
Coogee (NSW),"5,550","3,967","2,134","1,518",,,,487,,,,,,,,,,,,,,,,,,,,,,,,36.5,26.1,14.0,10.0,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,11015
La Perouse,120,82,49,79,,,,27,,,,,,,,,,,,,,,,,,,,,,,,30.7,21.0,12.5,20.2,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,12230
Little Bay,"1,145","1,291",681,534,,,,167,,,,,,,,,,,,,,,,,,,,,,,,25.6,28.8,15.2,11.9,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,12349
Malabar,866,"1,435","1,925",539,,,,173,,,,,,,,,,,,,,,,,,,,,,,,16.0,26.5,35.5,9.9,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,12453
Chifley (NSW),625,"1,157",279,498,,,,188,,,,,,,,,,,,,,,,,,,,,,,,19.3,35.8,8.6,15.4,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,10901
Phillip Bay,149,264,60,109,,,,54,,,,,,,,,,,,,,,,,,,,,,,,21.0,37.3,8.5,15.4,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,13193
Kensington (NSW),"5,543","3,056","1,636",964,,,,774,,,,,,,,,,,,,,,,,,,,,,,,36.9,20.4,10.9,6.4,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,12099
Kingsford (NSW),"6,033","2,967","1,352",,,792,,"1,265",,,,,,,,,,,,,,,,,,,,,,,,39.0,19.2,8.7,,,5.1,,8.2,,,,,,,,,,,,,,,,,,,,,,,,12156
Maroubra,"8,829","8,458","2,893","2,510",,,,"2,400",,,,,,,,,,,,,,,,,,,,,,,,28.8,27.6,9.4,8.2,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,12501
Randwick,"10,099","8,226","3,552","2,728",,,,,,,,,,,,,,,,,,,,,,"1,342",,,,,,33.7,27.4,11.8,9.1,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,13312
Georges Hall,778,"2,823",,840,,,,976,,"1,682",,,,,,,,,,,,,,,,,,,,,,8.6,31.3,,9.3,,,,10.8,,18.6,,,,,,,,,,,,,,,,,,,,,,11601
Bass Hill,830,"2,351",668,,,,,631,,"2,511",,,,,,,,,,,,,,,,,,,,,,9.2,26.0,7.4,,,,,7.0,,27.7,,,,,,,,,,,,,,,,,,,,,,10224
Yagoona,"1,858","4,331","1,601",,,"1,578",,,,"4,746",,,,,,,,,,,,,,,,,,,,,,10.3,24.0,8.9,,,8.8,,,,26.3,,,,,,,,,,,,,,,,,,,,,,14453
Villawood,687,996,"1,065",,,773,,,,"1,536",,,,,,,,,,,,,,,,,,,,,,11.4,16.5,17.7,,,12.8,,,,25.5,,,,,,,,,,,,,,,,,,,,,,14074
Greenacre,"1,503","5,456","2,098",,,,,"1,608",,"10,265",,,,,,,,,,,,,,,,,,,,,,6.2,22.4,8.6,,,,,6.6,,42.1,,,,,,,,,,,,,,,,,,,,,,11757
Potts Hill,163,145,103,,,96,,,,174,,,,,,,,,,,,,,,,,,,,,,18.5,16.4,11.7,,,10.9,,,,19.7,,,,,,,,,,,,,,,,,,,,,,13255
Milperra,685,"1,318",197,904,,,,192,,,,,,,,,,,,,,,,,,,,,,,,17.4,33.5,5.0,23.0,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,12625
Revesby,"2,684","3,950","1,050","1,528",,,,,,"1,155",,,,,,,,,,,,,,,,,,,,,,18.9,27.8,7.4,10.8,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,13355
Condell Park,"1,079","2,968",995,,,,,"1,187",,"3,104",,,,,,,,,,,,,,,,,,,,,,9.3,25.6,8.6,,,,,10.2,,26.8,,,,,,,,,,,,,,,,,,,,,,11001
Bankstown,"4,149","5,685","3,586",,,"3,554",,,,"9,277",,,,,,,,,,,,,,,,,,,,,,12.9,17.7,11.2,,,11.1,,,,28.9,,,,,,,,,,,,,,,,,,,,,,10180
Mount Lewis,64,445,81,,,,,147,,333,,,,,,,,,,,,,,,,,,,,,,5.4,37.3,6.8,,,,,12.3,,27.9,,,,,,,,,,,,,,,,,,,,,,12774
Punchbowl (Canterbury-Bankstown - NSW),"1,576","4,799","1,708",,,,,"1,538",,"7,247",,,,,,,,,,,,,,,,,,,,,,7.8,23.7,8.4,,,,,7.6,,35.8,,,,,,,,,,,,,,,,,,,,,,13273
Padstow,"2,836","3,198",987,"1,641",,,,"1,034",,,,,,,,,,,,,,,,,,,,,,,,21.3,24.0,7.4,12.3,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,13120
Padstow Heights,526,"1,070",207,655,,,,392,,,,,,,,,,,,,,,,,,,,,,,,14.9,30.3,5.9,18.5,,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,13121
Panania,"2,166","3,597",793,"1,853",,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,17.4,29.0,6.4,14.9,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,13144
East Hills,583,874,239,562,,,,,,187,,,,,,,,,,,,,,,,,,,,,,18.2,27.2,7.4,17.5,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,11351
Picnic Point,"1,021","1,880",493,"1,014",,,,580,,,,,,,,,,,,,,,,,,,,,,,,16.6,30.5,8.0,16.5,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,13199
Revesby Heights,338,515,90,235,,,,133,,,,,,,,,,,,,,,,,,,,,,,,20.0,30.5,5.3,13.9,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,13356
Birrong,488,644,266,,,509,,,,563,,,,,,,,,,,,,,,,,,,,,,15.7,20.8,8.6,,,16.4,,,,18.1,,,,,,,,,,,,,,,,,,,,,,10379
Belmore,"1,821","3,071","1,090",,,,,"2,269",,"1,638",,,,,,,,,,,,,,,,,,,,,,14.3,24.1,8.6,,,,,17.8,,12.9,,,,,,,,,,,,,,,,,,,,,,10279
Belfield,923,"2,576",402,,,,,616,,354,,,,,,,,,,,,,,,,,,,,,,14.6,40.7,6.4,,,,,9.7,,5.6,,,,,,,,,,,,,,,,,,,,,,10257
Campsie,"7,198","4,505","2,063",,,"2,673",,,,,,,,,,,,,"2,268",,,,,,,,,,,,,29.3,18.4,8.4,,,10.9,,,,,,,,,,,,,9.2,,,,,,,,,,,,,10782
Canterbury (NSW),"1,948","1,777",663,,,508,,800,,,,,,,,,,,,,,,,,,,,,,,,27.0,24.6,9.2,,,7.0,,11.1,,,,,,,,,,,,,,,,,,,,,,,,10797
Clemton Park,231,528,,92,,,,401,,129,,,,,,,,,,,,,,,,,,,,,,14.0,32.0,,5.6,,,,24.3,,7.8,,,,,,,,,,,,,,,,,,,,,,10928
Earlwood,"3,369","5,342","1,502",877,,,,"4,221",,,,,,,,,,,,,,,,,,,,,,,,19.0,30.1,8.5,4.9,,,,23.8,,,,,,,,,,,,,,,,,,,,,,,,11343
Kingsgrove,"2,246","3,401",910,,,,,"2,812",,710,,,,,,,,,,,,,,,,,,,,,,18.1,27.3,7.3,,,,,22.6,,5.7,,,,,,,,,,,,,,,,,,,,,,12158
Riverwood,"3,396","2,396","1,073",,,816,,,,"1,132",,,,,,,,,,,,,,,,,,,,,,28.1,19.9,8.9,,,6.8,,,,9.4,,,,,,,,,,,,,,,,,,,,,,13371
Roselands,"1,375","2,811","1,045",,,,,"2,001",,"2,171",,,,,,,,,,,,,,,,,,,,,,11.9,24.3,9.0,,,,,17.3,,18.8,,,,,,,,,,,,,,,,,,,,,,13409
Beverly Hills,"2,465","2,352",778,,,634,,"1,245",,,,,,,,,,,,,,,,,,,,,,,,24.3,23.2,7.7,,,6.2,,12.3,,,,,,,,,,,,,,,,,,,,,,,,10331
Narwee,"1,527","1,185",453,,,425,,,,413,,,,,,,,,,,,,,,,,,,,,,27.1,21.0,8.0,,,7.5,,,,7.3,,,,,,,,,,,,,,,,,,,,,,12912
Lakemba,"1,104","1,758","1,455",,,,,866,,"10,076",,,,,,,,,,,,,,,,,,,,,,6.5,10.3,8.5,,,,,5.1,,59.2,,,,,,,,,,,,,,,,,,,,,,12257
Wiley Park,783,"1,159","1,059",,,,,479,,"5,094",,,,,,,,,,,,,,,,,,,,,,7.7,11.5,10.5,,,,,4.7,,50.3,,,,,,,,,,,,,,,,,,,,,,14293
Hurstville,"12,742","3,524","2,258",,,"2,423",,,,,,,,,,,,,"2,439",,,,,,,,,,,,,42.7,11.8,7.6,,,8.1,,,,,,,,,,,,,8.2,,,,,,,,,,,,,11964
Carlton (NSW),"2,581","1,978",870,795,,,,"1,490",,,,,,,,,,,,,,,,,,,,,,,,24.1,18.4,8.1,7.4,,,,13.9,,,,,,,,,,,,,,,,,,,,,,,,10819
Penshurst (NSW),"3,219","2,982",957,"1,071",,,,,,,,,,,,,,,"1,031",,,,,,,,,,,,,25.2,23.3,7.5,8.4,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,13186
Oatley,"2,665","2,834",683,"1,746",,,,694,,,,,,,,,,,,,,,,,,,,,,,,25.4,27.0,6.5,16.6,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,13064
Mortdale,"2,788","2,483",837,"1,184",,,,804,,,,,,,,,,,,,,,,,,,,,,,,26.7,23.8,8.0,11.4,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,12728
Peakhurst,"2,070","2,663",720,"1,466",,,,"1,012",,,,,,,,,,,,,,,,,,,,,,,,19.6,25.3,6.8,13.9,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,13168
Hurstville Grove,638,639,173,236,,,,459,,,,,,,,,,,,,,,,,,,,,,,,24.0,24.0,6.5,8.9,,,,17.3,,,,,,,,,,,,,,,,,,,,,,,,11965
Lugarno,978,"1,688",315,890,,,,704,,,,,,,,,,,,,,,,,,,,,,,,17.5,30.2,5.6,15.9,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,12421
Peakhurst Heights,400,742,135,387,,,,278,,,,,,,,,,,,,,,,,,,,,,,,17.2,31.9,5.8,16.6,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,13169
South Hurstville,"1,521","1,018",424,409,,,,525,,,,,,,,,,,,,,,,,,,,,,,,29.6,19.8,8.3,8.0,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,13587
Blakehurst,"1,201","1,399",417,642,,,,"1,312",,,,,,,,,,,,,,,,,,,,,,,,19.3,22.5,6.7,10.3,,,,21.1,,,,,,,,,,,,,,,,,,,,,,,,10403
Kyle Bay,179,268,64,113,,,,224,,,,,,,,,,,,,,,,,,,,,,,,17.2,25.7,6.1,10.8,,,,21.5,,,,,,,,,,,,,,,,,,,,,,,,12227
Connells Point,576,780,177,371,,,,481,,,,,,,,,,,,,,,,,,,,,,,,20.4,27.6,6.3,13.1,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,11013
Carss Park,206,297,104,182,,,,248,,,,,,,,,,,,,,,,,,,,,,,,16.5,23.9,8.4,14.6,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,10837
Arncliffe,"2,525","1,918","1,033",,,,,960,,"2,116",,,,,,,,,,,,,,,,,,,,,,23.9,18.1,9.8,,,,,9.1,,20.0,,,,,,,,,,,,,,,,,,,,,,10086
Wolli Creek,"2,686",990,754,,,720,,,,,,,,,,,,,252,,,,,,,,,,,,,41.9,15.5,11.8,,,11.2,,,,,,,,,,,,,3.9,,,,,,,,,,,,,14353
Turrella,715,433,223,,,169,,,,462,,,,,,,,,,,,,,,,,,,,,,28.4,17.2,8.8,,,6.7,,,,18.3,,,,,,,,,,,,,,,,,,,,,,13982
Bardwell Valley,413,515,202,,,,,381,,383,,,,,,,,,,,,,,,,,,,,,,17.9,22.3,8.7,,,,,16.5,,16.6,,,,,,,,,,,,,,,,,,,,,,10196
Bardwell Park,446,572,120,165,,,,542,,,,,,,,,,,,,,,,,,,,,,,,19.9,25.5,5.4,7.4,,,,24.2,,,,,,,,,,,,,,,,,,,,,,,,10195
Bexley,"3,300","4,179","2,330",,,,,"3,135",,"2,536",,,,,,,,,,,,,,,,,,,,,,16.7,21.2,11.8,,,,,15.9,,12.9,,,,,,,,,,,,,,,,,,,,,,10334
Kogarah,"3,141","2,770","1,198",,,,,"1,513",,,,,,,,,,,"2,359",,,,,,,,,,,,,20.8,18.3,7.9,,,,,10.0,,,,,,,,,,,15.6,,,,,,,,,,,,,12181
Bexley North,755,949,349,249,,,,917,,,,,,,,,,,,,,,,,,,,,,,,18.4,23.2,8.5,6.1,,,,22.4,,,,,,,,,,,,,,,,,,,,,,,,10335
Allawah,"1,805",972,420,,,,,372,,,,,,,,,,,513,,,,,,,,,,,,,31.6,17.0,7.3,,,,,6.5,,,,,,,,,,,9.0,,,,,,,,,,,,,10038
Beverley Park,359,694,196,182,,,,578,,,,,,,,,,,,,,,,,,,,,,,,15.0,28.9,8.2,7.6,,,,24.1,,,,,,,,,,,,,,,,,,,,,,,,10330
Kogarah Bay,283,518,163,164,,,,487,,,,,,,,,,,,,,,,,,,,,,,,14.1,25.7,8.1,8.2,,,,24.2,,,,,,,,,,,,,,,,,,,,,,,,12182
Kyeemagh,131,225,89,,,,,248,,69,,,,,,,,,,,,,,,,,,,,,,14.2,24.5,9.7,,,,,27.0,,7.5,,,,,,,,,,,,,,,,,,,,,,12226
Brighton-le-Sands,"1,247","2,069",937,,,,,"1,712",,605,,,,,,,,,,,,,,,,,,,,,,15.0,24.8,11.2,,,,,20.6,,7.3,,,,,,,,,,,,,,,,,,,,,,10569
Rockdale,"3,121","2,658",,,,,,"1,581",,"1,636",,,,,,,,,"2,273",,,,,,,,,,,,,20.1,17.1,,,,,,10.2,,10.5,,,,,,,,,14.6,,,,,,,,,,,,,13379
Monterey,612,"1,058",310,337,,,,"1,201",,,,,,,,,,,,,,,,,,,,,,,,13.5,23.4,6.8,7.4,,,,26.5,,,,,,,,,,,,,,,,,,,,,,,,12686
Banksia,616,803,327,,,,,556,,254,,,,,,,,,,,,,,,,,,,,,,18.2,23.8,9.7,,,,,16.5,,7.5,,,,,,,,,,,,,,,,,,,,,,10178
Sandringham (NSW),163,334,75,154,,,,314,,,,,,,,,,,,,,,,,,,,,,,,13.2,27.0,6.1,12.4,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,13478
Dolls Point,282,431,127,170,,,,331,,,,,,,,,,,,,,,,,,,,,,,,17.1,26.1,7.7,10.3,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,11267
Sans Souci,"1,554","2,854",887,"1,190",,,,"2,163",,,,,,,,,,,,,,,,,,,,,,,,15.1,27.7,8.6,11.5,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,13489
Ramsgate,207,269,72,140,,,,196,,,,,,,,,,,,,,,,,,,,,,,,18.5,24.1,6.4,12.5,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,13309
Ramsgate Beach,209,389,210,211,,,,305,,,,,,,,,,,,,,,,,,,,,,,,12.7,23.6,12.8,12.8,,,,18.5,,,,,,,,,,,,,,,,,,,,,,,,13310
Concord,"2,936","6,602",898,"1,133",,,,802,,,,,,,,,,,,,,,,,,,,,,,,20.2,45.4,6.2,7.8,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,10999
Breakfast Point,"1,207","1,300",343,460,,,,133,,,,,,,,,,,,,,,,,,,,,,,,28.7,30.9,8.2,10.9,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,10557
Cabarita (NSW),396,754,129,247,,,,87,,,,,,,,,,,,,,,,,,,,,,,,20.1,38.3,6.6,12.6,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,10736
Mortlake (NSW),257,347,121,106,,,,38,,,,,,,,,,,,,,,,,,,,,,,,24.2,32.7,11.4,10.0,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,12729
North Strathfield,"1,376","1,271",495,249,,,,,,,,,,,,,,,359,,,,,,,,,,,,,28.9,26.7,10.4,5.2,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,13009
Concord West,"1,115","2,545",373,482,,,,355,,,,,,,,,,,,,,,,,,,,,,,,18.9,43.0,6.3,8.2,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,11000
Sydney Olympic Park,634,240,352,,,102,,,,98,,,,,,,,,,,,,,,,,,,,,,36.6,13.9,20.3,,,5.9,,,,5.7,,,,,,,,,,,,,,,,,,,,,,13716
Liberty Grove,652,489,242,,,,,,,,132,,,,,,,,214,,,,,,,,,,,,,28.9,21.7,10.7,,,,,,,,5.8,,,,,,,,9.5,,,,,,,,,,,,,12315
