,Average number of people per household,Average number of persons per bedroom,Median weekly household income,Average number of people per household (%),Average number of persons per bedroom (%),Median weekly household income (%),SSC_CODE
Mayfield West,2.0,0.9,1468.0,--,--,--,12536
Mayfield (Newcastle - NSW),2.7,1.0,1141.0,--,--,--,12530
Mayfield East,1.8,0.9,1125.0,--,--,--,12534
Merewether Heights,3.6,1.0,2750.0,--,--,--,12574
Merewether,2.2,0.9,1410.0,--,--,--,12573
The Junction,2.9,1.2,1583.0,--,--,--,13827
Cooks Hill,2.4,1.1,1281.0,--,--,--,11019
Bar Beach,1.2,0.9,575.0,--,--,--,10187
Newcastle,1.8,0.9,1625.0,--,--,--,12949
The Hill,2.4,1.0,1416.0,--,--,--,13826
Newcastle East,1.0,0.8,1562.0,--,--,--,12950
Carrington (Newcastle - NSW),2.3,1.0,1208.0,--,--,--,10830
Shortland,2.7,0.8,1213.0,--,--,--,13542
Birmingham Gardens,3.4,1.0,1286.0,--,--,--,10377
Sandgate (NSW),4.0,1.0,949.0,--,--,--,13474
North Lambton,3.4,1.0,1312.0,--,--,--,12993
Stockton (NSW),2.9,1.2,1359.0,--,--,--,13662
Fern Bay,3.0,0.8,1333.0,--,--,--,11501
Fullerton Cove,3.0,1.0,1749.0,--,--,--,11575
Wallsend,2.8,1.0,1017.0,--,--,--,14118
Georgetown (NSW),2.3,0.8,1458.0,--,--,--,11603
Waratah West,3.2,0.9,1062.0,--,--,--,14142
Waratah (NSW),2.4,1.0,1146.0,--,--,--,14141
Wickham (NSW),2.7,0.9,1062.0,--,--,--,14285
Maryville,2.1,0.7,1437.0,--,--,--,12518
Tighes Hill,2.2,1.0,1275.0,--,--,--,13863
Islington,2.0,1.0,1187.0,--,--,--,11990
Ballina,2.5,0.9,926.0,--,--,--,10162
West Ballina,3.3,0.9,880.0,--,--,--,14240
East Ballina,2.7,1.1,1325.0,--,--,--,11345
Skennars Head,3.8,1.3,874.0,--,--,--,13554
Alstonville,2.7,1.0,1271.0,--,--,--,10046
Wollongbar,3.2,1.0,1271.0,--,--,--,14357
East Wardell,2.0,0.6,1649.0,--,--,--,11365
Meerschaum Vale,4.0,1.0,2750.0,--,--,--,12556
Pimlico (NSW),1.0,0.5,1124.0,--,--,--,13207
Cumbalum,4.5,1.1,1649.0,--,--,--,11154
Teven,6.0,0.0,0.0,--,--,--,13807
Ewingsdale,2.0,0.0,2250.0,--,--,--,11474
Bangalow,3.8,1.2,900.0,--,--,--,10174
Brunswick Heads,2.9,0.9,1562.0,--,--,--,10621
Ocean Shores,3.0,1.1,1399.0,--,--,--,13070
South Golden Beach,2.0,0.8,1062.0,--,--,--,13581
Byron Bay,3.2,1.1,1375.0,--,--,--,10733
Suffolk Park,2.7,0.8,1687.0,--,--,--,13684
Broken Head,2.0,2.0,0.0,--,--,--,10591
Woodburn (Richmond Valley - NSW),3.0,1.2,1166.0,--,--,--,14379
Broadwater (Richmond Valley - NSW),2.0,0.8,1374.0,--,--,--,10580
Evans Head,3.1,0.9,1125.0,--,--,--,11469
New Italy,0.0,1.0,900.0,--,--,--,12941
Myocum,3.0,0.0,1562.0,--,--,--,12877
Billinudgel,2.0,1.0,1124.0,--,--,--,10355
Yelgun,2.0,0.0,1375.0,--,--,--,14499
The Pocket,4.0,0.0,1749.0,--,--,--,13834
Upper Main Arm,1.0,0.0,1312.0,--,--,--,14035
Mullumbimby,2.9,1.0,1041.0,--,--,--,12828
Yorklea,4.0,1.3,1374.0,--,--,--,14517
Casino,3.4,1.0,993.0,--,--,--,10843
North Casino,2.4,0.7,1874.0,--,--,--,12987
Bonalbo,1.3,0.6,624.0,--,--,--,10463
Coraki,3.3,1.0,725.0,--,--,--,11063
McKees Hill,5.0,1.0,0.0,--,--,--,12543
Ellangowan (NSW),3.5,1.4,900.0,--,--,--,11400
Shannon Brook,0.0,0.5,0.0,--,--,--,13525
Goonellabah,3.2,1.0,927.0,--,--,--,11711
Wiangaree,5.0,1.6,966.0,--,--,--,14283
Kyogle,3.0,0.9,924.0,--,--,--,12229
Geneva,3.5,1.0,1625.0,--,--,--,11599
East Lismore,3.2,1.0,1111.0,--,--,--,11358
Lismore (NSW),2.8,1.0,828.0,--,--,--,12344
Lismore Heights,2.9,1.0,1109.0,--,--,--,12345
South Lismore,2.9,1.1,820.0,--,--,--,13589
Girards Hill,2.7,0.9,1174.0,--,--,--,11631
North Lismore,2.5,1.1,1093.0,--,--,--,12994
Loftville,2.0,1.0,687.0,--,--,--,12372
Modanville,4.0,1.2,2124.0,--,--,--,12655
Clunes (NSW),3.8,1.1,2124.0,--,--,--,10939
The Channon,2.0,1.3,899.0,--,--,--,13816
Caniaba,4.0,1.2,2125.0,--,--,--,10790
Booerie Creek,0.0,0.0,1083.0,--,--,--,10475
Goolmangar,4.0,0.0,1875.0,--,--,--,11708
Bexhill,3.9,0.5,2250.0,--,--,--,10333
Richmond Hill (NSW),2.5,0.8,2750.0,--,--,--,13361
Nimbin,2.5,1.0,966.0,--,--,--,12965
Stony Chute,2.0,1.0,324.0,--,--,--,13667
Blue Knob,0.0,1.0,524.0,--,--,--,10416
Coffee Camp,2.0,0.5,899.0,--,--,--,10958
Larnook,3.0,0.0,574.0,--,--,--,12279
Georgica,2.0,0.6,1199.0,--,--,--,11604
Jiggi,3.0,0.0,1333.0,--,--,--,12026
Rock Valley,0.0,1.0,1074.0,--,--,--,13378
Dunoon,1.7,0.6,949.0,--,--,--,11325
Casuarina (NSW),3.1,0.7,2416.0,--,--,--,10851
Kingscliff,2.9,1.0,1437.0,--,--,--,12154
Chinderah,2.9,1.1,1062.0,--,--,--,10905
Murwillumbah,3.1,1.0,1187.0,--,--,--,12866
South Murwillumbah,2.0,0.9,725.0,--,--,--,13593
Bray Park (NSW),3.5,0.9,899.0,--,--,--,10552
Tumbulgum,3.3,1.0,1062.0,--,--,--,13964
Tyalgum,4.7,1.1,850.0,--,--,--,13994
Eungella (NSW),8.0,1.5,1542.0,--,--,--,11460
Stokers Siding,2.0,0.7,941.0,--,--,--,13664
Dunbible,3.0,1.0,1249.0,--,--,--,11309
Duranbah,5.0,1.0,1374.0,--,--,--,11331
Nunderi,4.0,1.2,2583.0,--,--,--,13042
Uki,1.0,0.0,824.0,--,--,--,14000
Bogangar,3.3,1.0,1424.0,--,--,--,10439
Pottsville,3.4,1.0,1687.0,--,--,--,13257
Hastings Point,2.0,1.5,725.0,--,--,--,11868
Cudgera Creek,4.0,1.3,2250.0,--,--,--,11144
Tweed Heads,2.9,0.9,1080.0,--,--,--,13984
Tweed Heads West,2.9,1.0,1079.0,--,--,--,13986
Bilambil Heights,3.4,0.9,1359.0,--,--,--,10348
Carool,4.0,1.0,1124.0,--,--,--,10822
Glengarrie,0.0,0.0,699.0,--,--,--,11666
Banora Point,3.3,1.0,1433.0,--,--,--,10185
Terranora,4.0,0.9,2178.0,--,--,--,13802
Tweed Heads South,3.2,1.0,1095.0,--,--,--,13985
Griffith (NSW),2.9,0.9,944.0,--,--,--,11782
Yoogali,2.7,0.9,1687.0,--,--,--,14516
Bilbul,2.7,1.0,1875.0,--,--,--,10349
Hillston,2.5,0.8,1104.0,--,--,--,11912
Whitton,3.2,1.0,1062.0,--,--,--,14280
Tharbogang,2.6,0.8,949.0,--,--,--,13811
Hanwood,2.9,1.0,1125.0,--,--,--,11850
Coleambally,3.0,0.9,1792.0,--,--,--,10964
Darlington Point,2.9,1.0,1187.0,--,--,--,11215
Goolgowi,2.4,0.6,1083.0,--,--,--,11705
Merriwagga,0.0,0.7,574.0,--,--,--,12586
Nericon,4.7,0.7,1375.0,--,--,--,12927
Lake Wyangan,2.8,1.3,1374.0,--,--,--,12255
Murrami,4.4,1.4,1437.0,--,--,--,12850
Leeton,3.1,0.9,1062.0,--,--,--,12293
Yanco,3.1,1.0,450.0,--,--,--,14460
Tumbarumba,2.8,0.8,1041.0,--,--,--,13961
Khancoban,2.0,1.0,1874.0,--,--,--,12111
Rosewood (Snowy Valleys - NSW),2.7,0.6,899.0,--,--,--,13415
Humula,1.6,0.6,1399.0,--,--,--,11952
Tumut,2.9,0.9,905.0,--,--,--,13966
Batlow,2.0,0.8,669.0,--,--,--,10232
Talbingo,2.0,0.6,850.0,--,--,--,13730
Adelong,3.0,0.9,949.0,--,--,--,10018
Cootamundra,2.7,0.8,1018.0,--,--,--,11053
Wallendbeen,5.0,1.2,1166.0,--,--,--,14113
Gundagai,2.9,0.5,1249.0,--,--,--,11803
South Gundagai,2.7,0.9,899.0,--,--,--,13584
Junee,3.2,1.0,1166.0,--,--,--,12046
Old Junee,2.0,1.0,1937.0,--,--,--,13078
Illabo,2.0,0.0,749.0,--,--,--,11972
Temora,2.6,0.8,725.0,--,--,--,13784
Springdale (NSW),3.5,1.1,1125.0,--,--,--,13621
Lake Albert (NSW),3.4,0.9,1476.0,--,--,--,12238
Kooringal (NSW),2.8,0.9,949.0,--,--,--,12193
Gumly Gumly,4.0,0.0,900.0,--,--,--,11800
Tatton,3.3,0.8,2333.0,--,--,--,13775
Estella,2.7,0.8,1812.0,--,--,--,11444
Boorooma,3.3,0.7,1874.0,--,--,--,10501
North Wagga Wagga,2.8,1.1,949.0,--,--,--,13014
Cartwrights Hill,2.0,1.0,2250.0,--,--,--,10839
Springvale (Wagga Wagga - NSW),3.9,0.9,2749.0,--,--,--,13628
Lloyd,3.0,0.7,1875.0,--,--,--,12365
Bourkelands,3.2,0.7,1803.0,--,--,--,10523
Glenfield Park,3.0,1.0,1456.0,--,--,--,11665
Tolland,2.8,0.9,741.0,--,--,--,13887
Mount Austin,2.9,0.9,850.0,--,--,--,12748
Turvey Park,3.3,0.9,1474.0,--,--,--,13983
San Isidore,2.0,0.5,1624.0,--,--,--,13469
Ashmont,2.9,0.9,766.0,--,--,--,10101
Wagga Wagga,2.3,1.0,866.0,--,--,--,14083
Kapooka,5.0,1.2,1875.0,--,--,--,12068
Ladysmith,3.0,0.0,1375.0,--,--,--,12233
The Rock,2.8,0.6,1062.0,--,--,--,13838
Forest Hill (NSW),3.1,0.9,1468.0,--,--,--,11544
Lockhart,2.2,0.9,833.0,--,--,--,12369
Ganmain,2.8,1.0,900.0,--,--,--,11585
Uranquinty,2.4,0.8,1550.0,--,--,--,14055
Marrar,3.0,1.0,2250.0,--,--,--,12503
Coolamon,3.5,0.9,1542.0,--,--,--,11025
Tarcutta,1.0,0.0,483.0,--,--,--,13763
Mangoplah,4.0,0.0,1899.0,--,--,--,12470
Berry,3.5,0.8,2083.0,--,--,--,10322
Kangaroo Valley,3.0,0.8,1874.0,--,--,--,12061
Callala Bay,3.3,1.0,1187.0,--,--,--,10757
Callala Beach,2.5,1.0,900.0,--,--,--,10758
Currarong,1.6,0.8,450.0,--,--,--,11176
Orient Point,3.7,0.8,1281.0,--,--,--,13096
Culburra Beach,2.7,0.9,1281.0,--,--,--,11146
Greenwell Point,1.7,1.1,924.0,--,--,--,11769
Huskisson,2.3,1.1,899.0,--,--,--,11966
Bomaderry,3.0,0.9,919.0,--,--,--,10453
North Nowra,3.1,0.8,1087.0,--,--,--,13000
Bangalee (NSW),3.5,0.0,2250.0,--,--,--,10173
Meroo Meadow,3.0,0.7,1624.0,--,--,--,12579
Cambewarra Village,4.5,1.2,1812.0,--,--,--,10764
Tapitallee,2.5,0.7,2124.0,--,--,--,13755
Worrigee,3.6,1.0,1416.0,--,--,--,14423
Nowra,3.0,1.0,787.0,--,--,--,13028
Nowra Hill,3.1,0.9,1937.0,--,--,--,13029
West Nowra,3.0,0.9,982.0,--,--,--,14248
South Nowra,3.0,0.9,1267.0,--,--,--,13594
St Georges Basin,3.4,0.9,1365.0,--,--,--,13636
Basin View,3.6,1.0,1375.0,--,--,--,10223
Sanctuary Point,3.3,1.0,1018.0,--,--,--,13472
Erowal Bay,2.9,0.9,1104.0,--,--,--,11436
Wrights Beach,3.4,1.2,575.0,--,--,--,14428
Old Erowal Bay,3.1,0.9,1303.0,--,--,--,13075
Sussex Inlet,2.5,0.8,1078.0,--,--,--,13700
Berrara,2.6,0.6,1062.0,--,--,--,10313
Cudmirrah,0.0,1.5,2250.0,--,--,--,11145
Falls Creek (NSW),3.5,0.9,1083.0,--,--,--,11487
Tomerong,2.8,0.8,1562.0,--,--,--,13894
Wandandian,3.0,1.0,1374.0,--,--,--,14127
Ulladulla,3.1,0.9,958.0,--,--,--,14003
Burrill Lake,3.0,1.0,1343.0,--,--,--,10712
Mollymook Beach,2.6,0.8,784.0,--,--,--,12670
Narrawallee,3.0,1.1,725.0,--,--,--,12909
Mollymook,2.6,0.8,1374.0,--,--,--,12669
Fishermans Paradise,2.5,1.2,1062.0,--,--,--,11523
Conjola Park,2.0,0.6,725.0,--,--,--,11012
Termeil,2.0,1.0,900.0,--,--,--,13797
Bowral,3.4,1.0,1458.0,--,--,--,10536
Burradoo,0.0,1.2,3749.0,--,--,--,10701
Colo Vale,3.8,1.2,1875.0,--,--,--,10985
Aylmerton,2.0,0.6,1774.0,--,--,--,10119
Mittagong,2.9,0.7,949.0,--,--,--,12653
Willow Vale (Wingecarribee - NSW),2.6,0.9,2750.0,--,--,--,14307
Renwick,4.5,0.8,0.0,--,--,--,13350
Welby,2.9,0.9,1093.0,--,--,--,14219
Moss Vale,2.9,0.9,1134.0,--,--,--,12739
New Berrima,2.6,0.8,941.0,--,--,--,12938
Robertson (NSW),2.7,0.7,1625.0,--,--,--,13374
Bundanoon (NSW),3.5,1.3,1875.0,--,--,--,10670
Wingello,3.2,0.6,1125.0,--,--,--,14330
Exeter (NSW),0.0,0.0,1124.0,--,--,--,11475
Canyonleigh,2.0,0.6,1624.0,--,--,--,10799
Baulkham Hills,3.0,0.9,2365.0,--,--,--,10233
Bella Vista,3.6,0.9,4625.0,--,--,--,10263
Glenhaven,4.6,1.0,3750.0,--,--,--,11667
Castle Hill (NSW),3.5,0.9,2549.0,--,--,--,10847
West Pennant Hills,3.3,0.8,3249.0,--,--,--,14249
Cherrybrook,3.9,0.8,1937.0,--,--,--,10898
Kellyville,4.1,1.0,2888.0,--,--,--,12088
Kenthurst,5.0,0.0,2749.0,--,--,--,12100
Maroota,4.0,1.3,2333.0,--,--,--,12500
Cattai,1.6,0.0,575.0,--,--,--,10859
South Maroota,2.0,1.0,2249.0,--,--,--,13592
Dural (Hornsby - NSW),4.7,1.2,1999.0,--,--,--,11328
Sackville North,3.3,1.0,1874.0,--,--,--,13459
Lower Portland,2.8,0.7,1624.0,--,--,--,12412
Arcadia (NSW),3.0,0.9,3249.0,--,--,--,10072
Bilpin,3.5,0.6,1125.0,--,--,--,10358
Colo Heights,8.0,0.0,1874.0,--,--,--,10984
Cumberland Reach,2.0,0.8,1499.0,--,--,--,11156
St Albans (NSW),0.0,0.0,1199.0,--,--,--,13630
Bowen Mountain,3.6,1.2,1625.0,--,--,--,10528
Grose Vale,0.0,1.0,3125.0,--,--,--,11785
Grose Wold,2.0,0.6,2125.0,--,--,--,11786
Kurrajong,2.9,0.7,2299.0,--,--,--,12218
Kurrajong Hills,0.0,0.0,1562.0,--,--,--,12220
Kurrajong Heights,2.6,0.9,2150.0,--,--,--,12219
Kurmond,4.2,1.2,1625.0,--,--,--,12215
The Slopes,4.0,1.3,2124.0,--,--,--,13842
East Kurrajong,3.9,1.1,2562.0,--,--,--,11356
Wilberforce (NSW),3.7,0.9,2124.0,--,--,--,14288
Freemans Reach,3.9,1.1,2250.0,--,--,--,11564
Glossodia,3.2,0.9,1875.0,--,--,--,11684
Blaxlands Ridge,4.1,1.0,2374.0,--,--,--,10409
Tennyson (NSW),2.8,0.8,2750.0,--,--,--,13789
Vineyard,3.4,0.8,1312.0,--,--,--,14076
McGraths Hill,3.5,0.9,1843.0,--,--,--,12542
Maraylya,7.0,0.0,1624.0,--,--,--,12484
Oakville,6.5,0.0,2750.0,--,--,--,13060
Pitt Town,3.5,0.8,2333.0,--,--,--,13226
Rouse Hill,3.6,0.9,2349.0,--,--,--,13429
Beaumont Hills,4.1,1.0,2874.0,--,--,--,10243
Box Hill (NSW),4.0,0.0,3374.0,--,--,--,10539
Blacktown,3.1,1.0,1284.0,--,--,--,10397
Kings Park (NSW),3.7,0.9,2113.0,--,--,--,12150
Acacia Gardens,3.0,0.7,1625.0,--,--,--,10014
Quakers Hill,3.2,0.9,1600.0,--,--,--,13286
Marayong,3.1,0.9,1178.0,--,--,--,12485
Woodcroft (NSW),3.5,1.0,1916.0,--,--,--,14381
Bungarribee,5.0,1.2,3250.0,--,--,--,10682
Doonside,3.3,1.0,1024.0,--,--,--,11275
Seven Hills (NSW),3.2,1.0,1318.0,--,--,--,13518
Lalor Park,3.0,1.0,1034.0,--,--,--,12261
Kings Langley,3.7,0.8,2583.0,--,--,--,12149
Toongabbie (NSW),3.2,1.0,1531.0,--,--,--,13907
Prospect (NSW),3.4,0.9,1958.0,--,--,--,13266
Glenwood (NSW),3.5,0.9,2799.0,--,--,--,11682
Parklea,4.1,1.1,2250.0,--,--,--,13153
Kellyville Ridge,3.7,1.0,2471.0,--,--,--,12089
The Ponds,2.9,0.8,2562.0,--,--,--,13835
Riverstone,3.4,1.0,1437.0,--,--,--,13368
Schofields,3.8,1.2,2200.0,--,--,--,13502
Shanes Park,1.0,1.0,1937.0,--,--,--,13524
Marsden Park,3.5,1.5,1333.0,--,--,--,12505
Colebee,5.0,1.0,3250.0,--,--,--,10965
Bidwill (NSW),3.3,1.0,713.0,--,--,--,10340
Hebersham,3.6,1.1,1038.0,--,--,--,11886
Dharruk,3.1,0.9,1107.0,--,--,--,11248
Blackett,3.5,1.0,863.0,--,--,--,10392
Emerton,3.0,1.0,933.0,--,--,--,11413
Glendenning,3.1,1.1,1350.0,--,--,--,11659
Dean Park,3.8,1.1,1875.0,--,--,--,11224
Plumpton (NSW),3.9,1.2,1792.0,--,--,--,13230
Oakhurst (NSW),4.1,1.2,1678.0,--,--,--,13058
Hassall Grove,3.6,1.1,1625.0,--,--,--,11866
Shalvey,4.0,1.0,1105.0,--,--,--,13523
Willmot,3.3,1.0,854.0,--,--,--,14302
Tregear,3.8,1.0,955.0,--,--,--,13934
Lethbridge Park,3.3,1.0,825.0,--,--,--,12307
Ropes Crossing,3.6,1.0,2025.0,--,--,--,13397
Mount Druitt,3.2,1.0,1398.0,--,--,--,12756
Whalan,3.4,1.0,925.0,--,--,--,14266
Eastern Creek,4.2,0.9,1562.0,--,--,--,11366
Minchinbury,3.5,1.0,2222.0,--,--,--,12633
Rooty Hill,3.2,0.9,1333.0,--,--,--,13395
Botany,2.9,1.1,2034.0,--,--,--,10517
Mascot,2.6,1.2,1833.0,--,--,--,12519
Eastlakes,1.9,1.0,833.0,--,--,--,11368
Rosebery (NSW),2.8,1.1,2349.0,--,--,--,13405
Pagewood,3.9,1.3,1874.0,--,--,--,13125
Daceyville,2.4,0.9,675.0,--,--,--,11185
Hillsdale,2.6,1.1,1375.0,--,--,--,11911
Eastgardens,2.7,1.0,725.0,--,--,--,11367
Matraville,2.9,1.1,985.0,--,--,--,12524
Marrickville,2.8,1.1,1731.0,--,--,--,12504
Petersham,2.7,1.1,1875.0,--,--,--,13190
Dulwich Hill,2.6,1.0,1452.0,--,--,--,11303
Newtown (NSW),2.2,1.0,1531.0,--,--,--,12960
Lewisham (NSW),2.0,1.1,1312.0,--,--,--,12313
Stanmore (NSW),2.7,1.0,2399.0,--,--,--,13650
Camperdown (NSW),1.8,1.2,1062.0,--,--,--,10781
Enmore (Inner West - NSW),2.3,1.1,1625.0,--,--,--,11425
St Peters (NSW),2.9,1.1,2625.0,--,--,--,13644
Sydenham (NSW),0.0,0.0,2374.0,--,--,--,13714
Tempe,3.2,0.9,2050.0,--,--,--,13785
Darlinghurst,1.7,1.3,1649.0,--,--,--,11212
Erskineville,2.2,1.0,2249.0,--,--,--,11439
Alexandria,2.3,1.1,1985.0,--,--,--,10030
Glebe (NSW),2.3,1.0,807.0,--,--,--,11641
Forest Lodge,2.8,1.2,2187.0,--,--,--,11546
Annandale (NSW),2.3,1.2,1774.0,--,--,--,10061
Darlington (Sydney - NSW),2.3,0.9,1062.0,--,--,--,11214
Potts Point,1.5,1.2,1531.0,--,--,--,13256
Elizabeth Bay,2.5,1.6,1958.0,--,--,--,11395
Sydney,2.0,1.7,3583.0,--,--,--,13715
Woolloomooloo,2.1,0.9,593.0,--,--,--,14406
Rushcutters Bay,2.1,1.4,1874.0,--,--,--,13444
Pyrmont,2.4,1.1,1024.0,--,--,--,13284
Ultimo,2.4,1.1,1593.0,--,--,--,14006
Redfern,1.9,1.0,810.0,--,--,--,13339
Eveleigh,1.9,0.9,949.0,--,--,--,11471
Chippendale,1.9,1.2,1625.0,--,--,--,10907
Surry Hills,1.9,1.1,939.0,--,--,--,13699
Millers Point,2.0,1.0,2624.0,--,--,--,12619
Balmain East,2.3,0.7,1999.0,--,--,--,10165
Waterloo (NSW),2.2,1.0,506.0,--,--,--,14183
Zetland,2.1,1.2,1286.0,--,--,--,14524
Beaconsfield (NSW),2.3,1.1,1375.0,--,--,--,10239
Bronte,2.3,1.1,2849.0,--,--,--,10594
Tamarama,2.0,1.0,2750.0,--,--,--,13741
Bondi,2.2,1.1,2083.0,--,--,--,10464
Bondi Beach,2.0,1.0,1875.0,--,--,--,10465
North Bondi,2.7,1.0,1958.0,--,--,--,12984
Waverley (NSW),1.6,1.0,2125.0,--,--,--,14200
Bondi Junction,2.8,0.9,3250.0,--,--,--,10467
Queens Park (NSW),2.9,1.0,2166.0,--,--,--,13294
Centennial Park (NSW),1.5,0.8,2249.0,--,--,--,10873
Darling Point,0.0,1.0,1625.0,--,--,--,11211
Edgecliff,3.0,0.0,1437.0,--,--,--,11379
Bellevue Hill,3.2,1.3,2874.0,--,--,--,10271
Rose Bay (NSW),2.7,1.2,2125.0,--,--,--,13398
Paddington (NSW),2.2,1.3,2250.0,--,--,--,13115
Vaucluse,2.5,1.2,2250.0,--,--,--,14071
Dover Heights,0.0,1.0,1187.0,--,--,--,11284
Clovelly,2.8,1.1,2416.0,--,--,--,10938
South Coogee,2.5,1.0,680.0,--,--,--,13579
Coogee (NSW),2.4,1.0,2437.0,--,--,--,11015
La Perouse,2.8,0.8,1124.0,--,--,--,12230
Little Bay,3.5,1.2,1708.0,--,--,--,12349
Malabar,3.1,0.9,849.0,--,--,--,12453
Chifley (NSW),2.9,1.2,1292.0,--,--,--,10901
Phillip Bay,3.6,1.0,1624.0,--,--,--,13193
Kensington (NSW),1.9,1.1,1228.0,--,--,--,12099
Kingsford (NSW),2.9,1.2,1437.0,--,--,--,12156
Maroubra,2.6,1.0,1018.0,--,--,--,12501
Randwick,2.5,1.1,2230.0,--,--,--,13312
Georges Hall,3.3,0.8,1375.0,--,--,--,11601
Bass Hill,3.5,1.1,1156.0,--,--,--,10224
Yagoona,2.7,0.9,1160.0,--,--,--,14453
Villawood,2.3,0.9,675.0,--,--,--,14074
Greenacre,3.2,1.0,1170.0,--,--,--,11757
Revesby,3.2,1.0,1395.0,--,--,--,13355
Condell Park,2.7,0.9,900.0,--,--,--,11001
Bankstown,2.7,1.0,1196.0,--,--,--,10180
Punchbowl (Canterbury-Bankstown - NSW),3.1,1.3,778.0,--,--,--,13273
Padstow,2.8,1.0,1531.0,--,--,--,13120
Panania,3.3,1.1,1857.0,--,--,--,13144
East Hills,3.1,0.8,1281.0,--,--,--,11351
Picnic Point,3.1,0.9,1958.0,--,--,--,13199
Revesby Heights,3.0,0.0,2125.0,--,--,--,13356
Belmore,2.6,1.0,1140.0,--,--,--,10279
Campsie,3.2,1.1,1449.0,--,--,--,10782
Canterbury (NSW),2.7,1.3,1875.0,--,--,--,10797
Clemton Park,2.5,1.0,1625.0,--,--,--,10928
Earlwood,2.8,1.0,2020.0,--,--,--,11343
Kingsgrove,3.8,1.1,1437.0,--,--,--,12158
Riverwood,2.3,1.1,833.0,--,--,--,13371
Roselands,3.4,1.1,1339.0,--,--,--,13409
Beverly Hills,2.8,1.0,974.0,--,--,--,10331
Narwee,2.2,1.1,774.0,--,--,--,12912
Lakemba,2.4,1.2,1124.0,--,--,--,12257
Wiley Park,3.0,1.3,724.0,--,--,--,14293
Carlton (NSW),3.8,1.2,2125.0,--,--,--,10819
Oatley,3.6,1.2,2625.0,--,--,--,13064
Mortdale,2.2,0.9,1792.0,--,--,--,12728
Peakhurst,3.3,1.0,1553.0,--,--,--,13168
Hurstville Grove,2.4,0.8,1124.0,--,--,--,11965
Lugarno,3.3,0.7,1999.0,--,--,--,12421
Peakhurst Heights,4.0,0.0,2166.0,--,--,--,13169
South Hurstville,2.7,1.2,1375.0,--,--,--,13587
Blakehurst,3.4,1.2,1812.0,--,--,--,10403
Carss Park,3.0,0.0,2625.0,--,--,--,10837
Arncliffe,2.6,1.0,2250.0,--,--,--,10086
Wolli Creek,2.0,1.4,2200.0,--,--,--,14353
Bardwell Valley,4.0,1.1,2250.0,--,--,--,10196
Bardwell Park,2.9,0.9,3124.0,--,--,--,10195
Bexley,2.3,0.9,2024.0,--,--,--,10334
Kogarah,2.6,1.0,2083.0,--,--,--,12181
Bexley North,2.0,1.5,1812.0,--,--,--,10335
Allawah,2.7,1.0,1792.0,--,--,--,10038
Beverley Park,2.6,1.1,2399.0,--,--,--,10330
Kogarah Bay,0.0,0.0,3249.0,--,--,--,12182
Kyeemagh,4.0,1.0,2250.0,--,--,--,12226
Brighton-le-Sands,2.1,1.0,1187.0,--,--,--,10569
Rockdale,2.3,1.0,1958.0,--,--,--,13379
Monterey,2.8,1.1,1833.0,--,--,--,12686
Banksia,3.0,1.2,2666.0,--,--,--,10178
Sandringham (NSW),2.5,1.0,2166.0,--,--,--,13478
Dolls Point,1.3,0.8,1062.0,--,--,--,11267
Sans Souci,3.0,1.1,2250.0,--,--,--,13489
Ramsgate Beach,2.5,1.0,1874.0,--,--,--,13310
Concord,3.2,1.1,2041.0,--,--,--,10999
Breakfast Point,2.3,1.2,3249.0,--,--,--,10557
Mortlake (NSW),2.0,0.6,2749.0,--,--,--,12729
North Strathfield,2.8,1.0,1708.0,--,--,--,13009
Concord West,3.9,1.1,2125.0,--,--,--,11000
Sydney Olympic Park,3.0,1.5,0.0,--,--,--,13716
Rhodes,2.0,1.2,1875.0,--,--,--,13358
Drummoyne,1.9,0.9,1625.0,--,--,--,11293
Russell Lea,1.0,0.8,450.0,--,--,--,13447
Rodd Point,2.0,0.0,1874.0,--,--,--,13391
Abbotsford (NSW),2.3,1.0,1499.0,--,--,--,10003
Chiswick,3.0,1.5,2874.0,--,--,--,10910
Five Dock,3.2,1.2,1687.0,--,--,--,11530
Canada Bay,3.0,1.0,1624.0,--,--,--,10785
Wareemba,4.0,1.3,2999.0,--,--,--,14148
Balmain,2.4,1.0,1312.0,--,--,--,10164
Birchgrove,1.9,1.5,3666.0,--,--,--,10374
Leichhardt (NSW),2.8,1.1,1357.0,--,--,--,12297
Lilyfield,2.3,1.0,743.0,--,--,--,12325
Rozelle,2.2,1.1,1174.0,--,--,--,13435
Ashfield (NSW),2.4,1.1,1292.0,--,--,--,10098
Summer Hill (Inner West - NSW),2.4,0.9,2281.0,--,--,--,13687
Hurlstone Park,3.0,1.2,2050.0,--,--,--,11963
Ashbury,3.6,1.0,2374.0,--,--,--,10093
Burwood (NSW),1.9,1.1,2041.0,--,--,--,10718
Croydon (NSW),2.8,1.0,1624.0,--,--,--,11134
Strathfield (NSW),3.5,1.0,2100.0,--,--,--,13675
Croydon Park (NSW),3.1,1.0,1687.0,--,--,--,11135
Enfield (NSW),4.0,1.0,3249.0,--,--,--,11421
Haberfield,2.5,0.9,2250.0,--,--,--,11828
Homebush West,2.8,1.1,2050.0,--,--,--,11930
Strathfield South,2.5,0.9,1812.0,--,--,--,13676
Chatswood,2.4,1.1,2624.0,--,--,--,10892
