,Married,Separated or divorced,Widowed,Never married,Married (%),Separated or divorced (%),Widowed (%),Never married (%)
Kincumber,2787.0,688.0,749.0,1554.0,48.2,11.9,13.0,26.9
Kincumber South,300.0,145.0,95.0,108.0,46.3,22.4,14.7,16.7
Kings Langley,4404.0,571.0,297.0,2160.0,59.2,7.7,4.0,29.1
Kings Park,1427.0,281.0,71.0,796.0,55.3,10.9,2.8,30.9
Kingsford,4999.0,913.0,563.0,5766.0,40.8,7.5,4.6,47.1
Kingsgrove,5036.0,679.0,656.0,2420.0,57.3,7.7,7.5,27.5
Kingswood (Penrith),2538.0,1059.0,375.0,2622.0,38.5,16.1,5.7,39.8
Kirrawee,3801.0,804.0,501.0,2165.0,52.3,11.1,6.9,29.8
Kirribilli,1057.0,481.0,176.0,1580.0,32.1,14.6,5.3,48.0
Kogarah,4924.0,1051.0,530.0,3233.0,50.5,10.8,5.4,33.2
Kogarah Bay,899.0,101.0,104.0,429.0,58.6,6.6,6.8,28.0
Koolewong,404.0,86.0,47.0,197.0,55.3,11.8,6.4,26.9
Koonawarra,1296.0,352.0,133.0,939.0,47.6,12.9,4.9,34.5
Kotara,1796.0,323.0,225.0,863.0,56.1,10.1,7.0,26.9
Kotara South,526.0,104.0,49.0,271.0,55.1,10.9,5.1,28.4
Kurnell,771.0,229.0,91.0,524.0,47.7,14.2,5.6,32.4
Kyeemagh,392.0,60.0,46.0,158.0,59.5,9.1,7.0,24.0
Kyle Bay,644.0,51.0,58.0,262.0,63.6,5.0,5.7,25.9
La Perouse,129.0,29.0,16.0,139.0,41.5,9.3,5.1,44.7
Lake Haven,1456.0,411.0,341.0,770.0,48.8,13.8,11.4,25.8
Lake Heights,1219.0,278.0,224.0,699.0,50.3,11.5,9.2,28.8
Lake Illawarra,1034.0,454.0,243.0,807.0,40.8,17.9,9.6,31.8
Lakelands,775.0,76.0,30.0,337.0,63.6,6.2,2.5,27.6
Lakemba,5868.0,1287.0,581.0,3237.0,53.5,11.7,5.3,29.5
Lalor Park,2427.0,840.0,460.0,1941.0,42.8,14.8,8.1,34.2
Lambton,1721.0,508.0,274.0,1249.0,45.9,13.5,7.3,33.3
Lane Cove,3582.0,824.0,585.0,2520.0,47.7,11.0,7.8,33.6
Lane Cove North,3394.0,767.0,406.0,2915.0,45.4,10.3,5.4,39.0
Lane Cove West,972.0,159.0,87.0,450.0,58.4,9.6,5.2,27.0
Lansvale,945.0,242.0,99.0,560.0,51.1,13.1,5.4,30.3
Lapstone,440.0,69.0,31.0,170.0,62.2,9.8,4.4,24.0
Lavender Bay,312.0,116.0,23.0,419.0,35.9,13.3,2.6,48.2
Leichhardt,3982.0,1320.0,428.0,4768.0,37.9,12.6,4.1,45.4
Leonay,1188.0,161.0,75.0,507.0,61.5,8.3,3.9,26.3
Lethbridge Park,1236.0,523.0,202.0,1371.0,37.1,15.7,6.1,41.1
Leumeah,3327.0,901.0,333.0,2343.0,48.2,13.1,4.8,33.9
Lewisham,890.0,281.0,141.0,1050.0,37.7,11.9,6.0,44.5
Liberty Grove,920.0,131.0,28.0,571.0,55.8,7.9,1.7,34.6
Lidcombe,5819.0,1061.0,613.0,4120.0,50.1,9.1,5.3,35.5
Lilli Pilli (Sutherland Shire),1097.0,96.0,62.0,453.0,64.2,5.6,3.6,26.5
Lilyfield,2378.0,752.0,347.0,2148.0,42.3,13.4,6.2,38.2
Lindfield,3301.0,414.0,402.0,1698.0,56.8,7.1,6.9,29.2
Linley Point,168.0,30.0,12.0,66.0,60.4,10.8,4.3,23.7
Lisarow,2234.0,411.0,159.0,1141.0,56.7,10.4,4.0,29.0
Little Bay,750.0,177.0,123.0,446.0,50.1,11.8,8.2,29.8
Liverpool,8371.0,2084.0,1097.0,5284.0,49.7,12.4,6.5,31.4
Loftus,1908.0,233.0,178.0,752.0,62.1,7.6,5.8,24.5
Long Jetty,1746.0,759.0,448.0,1292.0,41.1,17.9,10.5,30.4
Long Point (Campbelltown),133.0,25.0,8.0,102.0,49.1,9.2,3.0,37.6
Longueville,1015.0,79.0,62.0,467.0,62.5,4.9,3.8,28.8
Lugarno,2967.0,305.0,229.0,1117.0,64.2,6.6,5.0,24.2
Lurnea,2697.0,705.0,356.0,1843.0,48.2,12.6,6.4,32.9
Macquarie Fields,4202.0,1403.0,468.0,3609.0,43.4,14.5,4.8,37.3
Macquarie Hills,934.0,139.0,43.0,451.0,59.6,8.9,2.7,28.8
Macquarie Links,455.0,29.0,12.0,196.0,65.7,4.2,1.7,28.3
Macquarie Park,1569.0,563.0,339.0,2587.0,31.0,11.1,6.7,51.1
Malabar,1822.0,486.0,237.0,1498.0,45.1,12.0,5.9,37.0
Mangerton,1125.0,254.0,146.0,722.0,50.0,11.3,6.5,32.1
Manly,4464.0,1503.0,778.0,5613.0,36.1,12.2,6.3,45.4
Manly Vale,1806.0,542.0,249.0,1565.0,43.4,13.0,6.0,37.6
Marayong,2613.0,597.0,420.0,1808.0,48.0,11.0,7.7,33.2
Mardi,1146.0,273.0,127.0,608.0,53.2,12.7,5.9,28.2
Marks Point,599.0,251.0,128.0,424.0,42.8,17.9,9.1,30.3
Marmong Point,168.0,55.0,37.0,79.0,48.8,16.0,10.8,23.0
Maroubra,9562.0,2403.0,1472.0,9100.0,42.4,10.7,6.5,40.4
Marrickville,7675.0,2335.0,1018.0,8629.0,39.0,11.9,5.2,43.9
Marsfield,4626.0,889.0,640.0,4313.0,44.2,8.5,6.1,41.2
Maryland (Newcastle),3252.0,591.0,188.0,1642.0,57.3,10.4,3.3,28.9
Maryville,349.0,190.0,69.0,596.0,29.0,15.8,5.7,49.5
Mascot,3358.0,720.0,389.0,2547.0,47.9,10.3,5.5,36.3
Matraville,3464.0,748.0,550.0,2356.0,48.7,10.5,7.7,33.1
Mayfield (Newcastle),2534.0,1210.0,688.0,3114.0,33.6,16.0,9.1,41.3
Mayfield East,377.0,219.0,85.0,568.0,30.2,17.6,6.8,45.5
Mayfield West,538.0,183.0,96.0,561.0,39.1,13.3,7.0,40.8
Mays Hill,265.0,65.0,39.0,201.0,46.6,11.4,6.9,35.3
McMahons Point,742.0,239.0,73.0,837.0,39.3,12.7,3.9,44.4
Meadowbank,941.0,296.0,65.0,1098.0,39.1,12.3,2.7,45.7
Melrose Park,875.0,138.0,77.0,459.0,56.3,8.9,5.0,29.5
Menai,4710.0,739.0,208.0,2297.0,59.2,9.3,2.6,28.9
Merewether,3754.0,959.0,575.0,3431.0,43.1,11.0,6.6,39.4
Merewether Heights,694.0,83.0,54.0,258.0,63.5,7.6,4.9,23.6
Merrylands,8192.0,1765.0,1013.0,5513.0,49.7,10.7,6.1,33.4
Merrylands West,2172.0,530.0,459.0,1483.0,46.7,11.4,9.9,31.9
Middle Cove,478.0,66.0,55.0,192.0,60.4,8.3,6.9,24.2
Miller,880.0,386.0,158.0,821.0,39.1,17.2,7.0,36.5
Millers Point,636.0,259.0,80.0,894.0,34.1,13.9,4.3,47.9
Milperra,1909.0,243.0,111.0,844.0,61.5,7.8,3.6,27.2
Milsons Point,675.0,149.0,50.0,602.0,45.9,10.1,3.4,40.9
Minchinbury,2184.0,324.0,103.0,1273.0,56.2,8.3,2.7,32.8
Minmi,317.0,44.0,14.0,127.0,63.4,8.8,2.8,25.4
Minto,3621.0,1027.0,334.0,3004.0,45.4,12.9,4.2,37.6
Miranda,5117.0,1295.0,779.0,3671.0,47.1,11.9,7.2,33.8
Mona Vale,4073.0,861.0,683.0,2273.0,51.6,10.9,8.7,28.8
Monterey,1728.0,453.0,286.0,1007.0,49.8,13.1,8.2,29.0
Moorebank,3381.0,573.0,273.0,1789.0,56.2,9.5,4.5,29.7
Mortdale,3835.0,922.0,482.0,2699.0,48.3,11.6,6.1,34.0
Mortlake,210.0,59.0,13.0,142.0,49.6,13.9,3.1,33.6
Mosman,10973.0,2276.0,1390.0,7029.0,50.6,10.5,6.4,32.4
Mount Annan,3590.0,564.0,110.0,1633.0,60.9,9.6,1.9,27.7
Mount Colah,3139.0,428.0,208.0,1618.0,58.2,7.9,3.9,30.0
Mount Druitt,5082.0,1276.0,471.0,3279.0,50.3,12.6,4.7,32.4
Mount Hutton,1139.0,338.0,195.0,750.0,47.0,14.0,8.1,31.0
Mount Keira,700.0,74.0,43.0,335.0,60.8,6.4,3.7,29.1
Mount Kembla,419.0,68.0,26.0,195.0,59.5,9.7,3.7,27.7
Mount Lewis,454.0,75.0,51.0,271.0,54.0,8.9,6.1,32.3
Mount Ousley,770.0,111.0,106.0,401.0,55.5,8.0,7.6,28.9
Mount Pleasant,456.0,52.0,48.0,175.0,62.6,7.1,6.6,24.0
Mount Pritchard,3430.0,835.0,420.0,2186.0,49.9,12.2,6.1,31.8
Mount Riverview,1455.0,195.0,103.0,639.0,60.7,8.1,4.3,26.6
Mount Saint Thomas,597.0,145.0,82.0,349.0,50.8,12.3,7.0,29.7
Mount Warrigal,2266.0,412.0,263.0,1208.0,54.6,9.9,6.3,29.1
Narara,3092.0,819.0,240.0,1912.0,51.0,13.5,4.0,31.5
Narellan,1393.0,333.0,128.0,883.0,50.8,12.1,4.7,32.2
Narellan Vale,3049.0,558.0,134.0,1421.0,59.0,10.8,2.6,27.5
Naremburn,1961.0,456.0,145.0,1550.0,47.7,11.1,3.5,37.7
Narrabeen,2149.0,779.0,860.0,1906.0,37.7,13.7,15.1,33.5
Narraweena,2234.0,477.0,413.0,1224.0,51.4,11.0,9.5,28.1
Narwee,2107.0,447.0,362.0,1232.0,50.8,10.8,8.7,29.7
Neutral Bay,3259.0,1187.0,411.0,4491.0,34.9,12.7,4.4,48.0
New Lambton,3542.0,917.0,674.0,2337.0,47.4,12.3,9.0,31.3
New Lambton Heights,864.0,100.0,74.0,424.0,58.9,6.8,5.0,28.9
Newcastle,561.0,201.0,99.0,793.0,34.0,12.2,6.0,48.1
Newcastle East,233.0,169.0,61.0,432.0,26.0,18.9,6.8,48.3
Newcastle West,83.0,57.0,16.0,187.0,24.2,16.6,4.7,54.5
Newington,2290.0,318.0,71.0,1198.0,59.1,8.2,1.8,30.9
Newport,4010.0,883.0,377.0,2213.0,53.6,11.8,5.0,29.6
Newtown,2936.0,1209.0,274.0,7853.0,23.9,9.9,2.2,64.0
Niagara Park,903.0,237.0,78.0,513.0,52.2,13.7,4.5,29.7
Norah Head,498.0,106.0,87.0,272.0,51.6,11.0,9.0,28.2
Noraville,914.0,295.0,186.0,668.0,44.3,14.3,9.0,32.4
Normanhurst,2090.0,301.0,434.0,983.0,54.9,7.9,11.4,25.8
North Avoca,997.0,189.0,56.0,569.0,55.2,10.5,3.1,31.5
North Balgowlah,1458.0,200.0,134.0,631.0,60.1,8.2,5.5,26.0
North Bondi,2861.0,708.0,299.0,3233.0,40.3,10.0,4.2,45.5
North Curl Curl,1442.0,239.0,150.0,780.0,55.3,9.2,5.7,29.9
North Epping,2071.0,191.0,182.0,861.0,62.6,5.8,5.5,26.0
North Gosford,1221.0,389.0,138.0,976.0,44.8,14.3,5.1,35.8
North Lambton,1055.0,266.0,178.0,1046.0,41.4,10.4,7.0,41.1
North Manly,1222.0,157.0,179.0,586.0,57.1,7.3,8.4,27.4
North Narrabeen,2279.0,469.0,162.0,1262.0,54.7,11.2,3.9,30.3
North Parramatta,2775.0,978.0,499.0,2953.0,38.5,13.6,6.9,41.0
North Rocks,3608.0,393.0,299.0,1554.0,61.6,6.7,5.1,26.5
North Ryde,4505.0,626.0,646.0,2546.0,54.1,7.5,7.8,30.6
North St Marys,1127.0,433.0,173.0,1012.0,41.1,15.8,6.3,36.9
North Strathfield,1354.0,228.0,106.0,998.0,50.4,8.5,3.9,37.2
North Sydney,1926.0,601.0,276.0,2781.0,34.5,10.8,4.9,49.8
North Turramurra,1894.0,203.0,475.0,632.0,59.1,6.3,14.8,19.7
North Wahroonga,1158.0,87.0,62.0,509.0,63.7,4.8,3.4,28.0
North Willoughby,1632.0,288.0,186.0,965.0,53.3,9.4,6.1,31.5
North Wollongong,387.0,161.0,89.0,1005.0,23.6,9.8,5.4,61.3
Northbridge,2786.0,328.0,293.0,1247.0,59.9,7.1,6.3,26.8
Northmead,2928.0,683.0,288.0,1700.0,52.2,12.2,5.1,30.3
Northwood,476.0,28.0,29.0,180.0,66.8,3.9,4.1,25.2
Oak Flats,2795.0,504.0,309.0,1497.0,54.8,9.9,6.1,29.3
Oakhurst,2574.0,435.0,128.0,1492.0,55.6,9.4,2.8,32.2
Oatlands,2358.0,342.0,258.0,1300.0,55.4,8.0,6.1,30.5
Oatley,4487.0,577.0,599.0,2098.0,57.8,7.4,7.7,27.0
Old Guildford,877.0,157.0,103.0,532.0,52.6,9.4,6.2,31.9
Old Toongabbie,2181.0,429.0,403.0,1084.0,53.3,10.5,9.8,26.5
Ourimbah,1127.0,335.0,83.0,742.0,49.4,14.7,3.6,32.5
Oxley Park,775.0,315.0,116.0,737.0,39.9,16.2,6.0,38.0
Oyster Bay,2380.0,283.0,189.0,1050.0,61.1,7.3,4.8,26.9
Paddington,3493.0,1140.0,318.0,5423.0,33.7,11.0,3.1,52.3
Padstow,4913.0,1009.0,723.0,2883.0,51.6,10.6,7.6,30.3
Padstow Heights,1604.0,237.0,292.0,649.0,57.6,8.5,10.5,23.3
Pagewood,1279.0,241.0,171.0,700.0,53.5,10.1,7.1,29.3
Palm Beach,799.0,170.0,91.0,316.0,58.2,12.4,6.6,23.0
Panania,4670.0,883.0,649.0,2539.0,53.4,10.1,7.4,29.0
Parramatta,7024.0,1650.0,648.0,6545.0,44.3,10.4,4.1,41.2
Peakhurst,4025.0,672.0,832.0,1944.0,53.9,9.0,11.1,26.0
Peakhurst Heights,1188.0,129.0,96.0,442.0,63.9,6.9,5.2,23.8
Pearl Beach,243.0,58.0,40.0,76.0,58.0,13.8,9.5,18.1
Pelican,368.0,74.0,49.0,191.0,54.1,10.9,7.2,28.1
Pendle Hill,4118.0,871.0,716.0,2354.0,51.1,10.8,8.9,29.2
Pennant Hills,3170.0,396.0,344.0,1677.0,56.7,7.1,6.2,30.0
Penrith,3326.0,1577.0,962.0,3589.0,35.2,16.7,10.2,38.0
Penrose (Wollongong),560.0,153.0,49.0,387.0,48.7,13.3,4.3,33.7
Penshurst,4543.0,1019.0,581.0,2926.0,50.1,11.2,6.4,32.2
Petersham,2120.0,786.0,223.0,3312.0,32.9,12.2,3.5,51.4
Phillip Bay,280.0,64.0,55.0,166.0,49.9,11.4,9.8,29.6
Picnic Point,2813.0,372.0,277.0,1251.0,59.7,7.9,5.9,26.6
Plumpton,3109.0,501.0,225.0,1824.0,55.0,8.9,4.0,32.3
Point Clare,1203.0,351.0,239.0,662.0,49.0,14.3,9.7,27.0
Point Frederick,627.0,221.0,149.0,457.0,43.1,15.2,10.2,31.4
Point Piper,607.0,155.0,101.0,372.0,49.1,12.5,8.2,30.1
Port Kembla,1754.0,412.0,352.0,1187.0,47.3,11.1,9.5,32.0
Potts Point,1168.0,855.0,132.0,4472.0,17.6,12.9,2.0,67.4
Prairiewood,1269.0,221.0,115.0,751.0,53.8,9.4,4.9,31.8
Prestons,5663.0,718.0,324.0,2500.0,61.5,7.8,3.5,27.2
Primbee,691.0,168.0,100.0,403.0,50.7,12.3,7.3,29.6
Prospect,1876.0,275.0,117.0,1031.0,56.9,8.3,3.5,31.3
Punchbowl (Canterbury and Bankstown),6701.0,1349.0,680.0,4173.0,51.9,10.5,5.3,32.3
Putney,1499.0,147.0,149.0,692.0,60.2,5.9,6.0,27.8
Pymble,4718.0,369.0,310.0,2010.0,63.7,5.0,4.2,27.2
Pyrmont,3126.0,1058.0,164.0,5916.0,30.5,10.3,1.6,57.7
Quakers Hill,10248.0,1786.0,526.0,6022.0,55.1,9.6,2.8,32.4
Queens Park,1046.0,241.0,124.0,784.0,47.7,11.0,5.7,35.8
Raby,2534.0,479.0,109.0,1637.0,53.2,10.1,2.3,34.4
Ramsgate,472.0,95.0,72.0,233.0,53.9,10.8,8.2,26.6
Ramsgate Beach,527.0,183.0,164.0,369.0,42.3,14.7,13.2,29.6
Randwick,8002.0,2285.0,1040.0,11035.0,35.8,10.2,4.7,49.3
Rankin Park,1255.0,165.0,81.0,573.0,60.5,7.9,3.9,27.6
Redfern,2529.0,1458.0,543.0,6153.0,23.7,13.7,5.1,57.6
Redhead,1533.0,325.0,219.0,653.0,56.1,11.9,8.0,23.9
Regents Park,2033.0,439.0,238.0,1205.0,51.9,11.2,6.1,30.8
Regentville,297.0,48.0,24.0,173.0,55.3,8.9,4.5,32.2
Revesby,4765.0,1026.0,912.0,2883.0,49.7,10.7,9.5,30.1
Revesby Heights,593.0,82.0,93.0,267.0,57.7,8.0,9.0,26.0
Rhodes,739.0,96.0,74.0,543.0,50.9,6.6,5.1,37.4
Riverstone,2168.0,583.0,259.0,1680.0,46.2,12.4,5.5,35.8
Riverview (Lane Cove),1458.0,129.0,109.0,865.0,57.0,5.0,4.3,33.8
Riverwood,3719.0,1188.0,674.0,2450.0,46.3,14.8,8.4,30.5
Rockdale,5500.0,1205.0,681.0,4480.0,46.4,10.2,5.7,37.8
Rocky Point,113.0,19.0,11.0,50.0,57.9,9.7,5.6,25.6
Rodd Point,589.0,72.0,83.0,257.0,58.7,7.2,8.3,25.6
Rooty Hill,4800.0,924.0,681.0,2970.0,51.2,9.9,7.3,31.7
Rose Bay,3450.0,750.0,471.0,2788.0,46.3,10.1,6.3,37.4
Rosebery,3039.0,530.0,272.0,2346.0,49.1,8.6,4.4,37.9
Roselands,4319.0,859.0,464.0,2295.0,54.4,10.8,5.8,28.9
Rosemeadow,2567.0,642.0,238.0,1946.0,47.6,11.9,4.4,36.1
Roseville,3776.0,417.0,334.0,1859.0,59.1,6.5,5.2,29.1
Roseville Chase,766.0,66.0,55.0,298.0,64.6,5.6,4.6,25.1
Rouse Hill,2949.0,358.0,94.0,952.0,67.7,8.2,2.2,21.9
Rozelle,2284.0,808.0,140.0,2702.0,38.5,13.6,2.4,45.5
Ruse,2322.0,497.0,177.0,1519.0,51.4,11.0,3.9,33.6
Rushcutters Bay,416.0,286.0,121.0,1298.0,19.6,13.5,5.7,61.3
Russell Lea,2172.0,374.0,288.0,1339.0,52.1,9.0,6.9,32.1
Russell Vale,511.0,120.0,75.0,302.0,50.5,11.9,7.4,29.9
Rydalmere,493.0,122.0,79.0,486.0,42.0,10.4,6.7,41.4
Ryde,8398.0,1611.0,1241.0,5534.0,50.0,9.6,7.4,33.0
Sadleir,875.0,333.0,165.0,715.0,41.9,16.0,7.9,34.3
San Remo,1339.0,454.0,135.0,1048.0,45.0,15.3,4.5,35.2
Sandringham,582.0,96.0,80.0,259.0,56.9,9.4,7.8,25.3
Sans Souci,3752.0,846.0,645.0,1923.0,52.4,11.8,9.0,26.8
Saratoga,1664.0,331.0,164.0,779.0,56.7,11.3,5.6,26.6
Scarborough,141.0,34.0,10.0,93.0,50.5,12.2,3.6,33.3
Schofields,1640.0,281.0,127.0,981.0,54.1,9.3,4.2,32.4
Scotland Island,273.0,71.0,10.0,136.0,55.6,14.5,2.0,27.7
Seaforth,2905.0,393.0,213.0,1308.0,60.3,8.2,4.4,27.1
Sefton,2178.0,435.0,336.0,1257.0,51.8,10.3,8.0,29.9
Seven Hills,7446.0,1509.0,858.0,4556.0,51.8,10.5,6.0,31.7
Shalvey,1057.0,335.0,100.0,1110.0,40.7,12.9,3.8,42.7
Shell Cove,1429.0,141.0,48.0,354.0,72.5,7.2,2.4,18.0
Shellharbour,1478.0,290.0,132.0,714.0,56.6,11.1,5.1,27.3
Shelly Beach,587.0,107.0,91.0,349.0,51.6,9.4,8.0,30.7
Shortland,1305.0,328.0,240.0,1678.0,36.7,9.2,6.8,47.2
Silverwater (Auburn),948.0,223.0,30.0,1463.0,35.6,8.4,1.1,55.0
Smithfield,4367.0,1036.0,604.0,2800.0,49.6,11.8,6.9,31.8
South Coogee,1772.0,591.0,318.0,1824.0,39.4,13.1,7.1,40.5
South Granville,1338.0,225.0,173.0,790.0,53.0,8.9,6.8,31.3
South Hurstville,1851.0,386.0,296.0,1149.0,50.2,10.5,8.0,31.2
South Penrith,4734.0,1032.0,475.0,3022.0,51.1,11.1,5.1,32.6
South Turramurra,1557.0,126.0,110.0,475.0,68.7,5.6,4.9,20.9
South Wentworthville,2048.0,406.0,265.0,1324.0,50.6,10.0,6.6,32.7
Speers Point,1334.0,338.0,216.0,723.0,51.1,13.0,8.3,27.7
Springfield (Gosford),1503.0,422.0,156.0,1023.0,48.4,13.6,5.0,33.0
Springwood,3389.0,733.0,680.0,1863.0,50.8,11.0,10.2,28.0
St Andrews,2315.0,482.0,151.0,1608.0,50.8,10.6,3.3,35.3
St Clair (Penrith),8224.0,1432.0,412.0,5350.0,53.3,9.3,2.7,34.7
St Helens Park,2205.0,525.0,104.0,1509.0,50.7,12.1,2.4,34.7
St Huberts Island,624.0,85.0,82.0,142.0,66.9,9.1,8.8,15.2
St Ives,7302.0,626.0,726.0,2724.0,64.2,5.5,6.4,24.0
St Ives Chase,1647.0,126.0,98.0,580.0,67.1,5.1,4.0,23.6
St Johns Park,2449.0,324.0,288.0,1419.0,54.7,7.2,6.4,31.7
St Leonards,1403.0,315.0,68.0,1869.0,38.4,8.6,1.9,51.1
St Marys,3038.0,1280.0,641.0,2787.0,39.2,16.5,8.3,36.0
St Peters,643.0,261.0,87.0,1306.0,28.1,11.4,3.8,57.0
Stanhope Gardens,1875.0,378.0,100.0,875.0,58.1,11.7,3.1,27.1
Stanmore,2080.0,638.0,220.0,3276.0,33.4,10.3,3.5,52.7
Stockton,1373.0,473.0,320.0,1479.0,37.7,13.0,8.8,40.6
Strathfield,8298.0,1105.0,1124.0,6857.0,47.7,6.4,6.5,39.4
Strathfield South,1375.0,209.0,127.0,783.0,55.2,8.4,5.1,31.4
Summer Hill (Ashfield),1934.0,654.0,243.0,2431.0,36.8,12.4,4.6,46.2
Surry Hills,2657.0,1502.0,471.0,9705.0,18.5,10.5,3.3,67.7
Sutherland,3222.0,1174.0,668.0,3121.0,39.4,14.3,8.2,38.1
Swansea,1823.0,559.0,526.0,1015.0,46.5,14.2,13.4,25.9
Swansea Heads,276.0,45.0,26.0,138.0,57.4,9.4,5.4,28.7
Sydenham,314.0,90.0,35.0,409.0,36.9,10.6,4.1,48.1
Sydney,3634.0,930.0,195.0,8018.0,28.4,7.3,1.5,62.8
Sylvania,4389.0,792.0,723.0,2139.0,54.6,9.9,9.0,26.6
Sylvania Waters,1425.0,217.0,107.0,649.0,59.5,9.1,4.5,27.1
Tacoma,274.0,68.0,17.0,161.0,52.5,13.0,3.3,30.8
Tacoma South,116.0,28.0,6.0,49.0,58.3,14.1,3.0,24.6
Tamarama,457.0,167.0,35.0,667.0,34.5,12.6,2.6,50.4
Taren Point,651.0,97.0,104.0,250.0,59.2,8.8,9.5,22.7
Tarrawanna,642.0,89.0,122.0,296.0,55.5,7.7,10.6,25.6
Tascott,738.0,181.0,76.0,392.0,53.1,13.0,5.5,28.2
Tempe,1128.0,313.0,134.0,1074.0,42.6,11.8,5.1,40.5
Teralba,548.0,191.0,103.0,352.0,46.1,16.1,8.7,29.6
Terrey Hills,1295.0,175.0,149.0,622.0,57.9,7.8,6.7,27.8
Terrigal,4155.0,1039.0,423.0,2276.0,52.7,13.2,5.4,28.9
The Entrance,749.0,479.0,263.0,763.0,33.3,21.3,11.7,33.9
The Entrance North,401.0,184.0,41.0,288.0,44.0,20.2,4.5,31.6
The Hill,616.0,203.0,49.0,1034.0,32.4,10.7,2.6,54.3
The Junction,367.0,132.0,77.0,562.0,32.2,11.6,6.8,49.3
Thirroul,2278.0,497.0,298.0,1402.0,50.9,11.1,6.7,31.3
Thornleigh,3583.0,494.0,285.0,1646.0,59.6,8.2,4.7,27.4
Tighes Hill,366.0,228.0,73.0,529.0,30.6,19.0,6.1,44.2
Tingira Heights,1369.0,256.0,200.0,603.0,56.4,10.5,8.2,24.8
Toongabbie,5158.0,1010.0,450.0,3216.0,52.4,10.3,4.6,32.7
Toowoon Bay,184.0,64.0,53.0,131.0,43.2,15.0,12.4,30.8
Toronto,1953.0,596.0,464.0,1203.0,46.3,14.1,11.0,28.5
Toukley,1471.0,560.0,501.0,1027.0,41.3,15.7,14.1,28.9
Towradgi,1159.0,282.0,334.0,734.0,46.2,11.2,13.3,29.3
Tregear,974.0,397.0,145.0,1154.0,36.5,14.9,5.4,43.3
Tuggerah,332.0,98.0,43.0,234.0,46.8,13.8,6.1,33.0
Tuggerawong,421.0,151.0,55.0,278.0,46.6,16.7,6.1,30.8
Tumbi Umbi,1868.0,404.0,205.0,877.0,55.7,12.0,6.1,26.1
Turramurra,4993.0,519.0,659.0,2185.0,59.7,6.2,7.9,26.1
Turrella,429.0,76.0,44.0,232.0,55.1,9.8,5.7,29.8
Ultimo,1224.0,424.0,98.0,3465.0,23.5,8.1,1.9,66.4
Umina Beach,5800.0,1835.0,1252.0,3611.0,46.4,14.7,10.0,28.9
Unanderra,2233.0,546.0,577.0,1391.0,47.1,11.5,12.2,29.3
Valentine,2886.0,347.0,201.0,1012.0,64.9,7.8,4.5,22.8
Valley Heights,645.0,115.0,42.0,279.0,59.7,10.6,3.9,25.8
Vaucluse,3965.0,600.0,378.0,2312.0,54.7,8.3,5.2,31.9
Villawood,1661.0,658.0,308.0,1400.0,41.2,16.3,7.6,34.8
Voyager Point,653.0,31.0,11.0,238.0,69.9,3.3,1.2,25.5
Wahroonga,6668.0,703.0,742.0,3207.0,58.9,6.2,6.6,28.3
Waitara,1941.0,502.0,345.0,1620.0,44.0,11.4,7.8,36.7
Wakeley,2106.0,317.0,170.0,1209.0,55.4,8.3,4.5,31.8
Wallsend,4471.0,1220.0,972.0,2966.0,46.5,12.7,10.1,30.8
Wamberal,2453.0,504.0,242.0,1330.0,54.2,11.1,5.3,29.4
Warabrook,850.0,183.0,183.0,549.0,48.3,10.4,10.4,31.2
Waratah,1192.0,521.0,550.0,1386.0,32.6,14.3,15.1,38.0
Waratah West,958.0,242.0,161.0,923.0,41.9,10.6,7.0,40.4
Wareemba,630.0,115.0,101.0,351.0,52.7,9.6,8.5,29.4
Warilla,1927.0,691.0,484.0,1407.0,42.8,15.3,10.7,31.2
Warners Bay,3005.0,733.0,435.0,1511.0,52.9,12.9,7.7,26.6
Warrawee,1256.0,85.0,77.0,665.0,60.3,4.1,3.7,31.9
Warrawong,1726.0,585.0,435.0,1374.0,41.9,14.2,10.6,33.3
Warriewood,2137.0,420.0,222.0,1106.0,54.9,10.8,5.7,28.4
Warrimoo,970.0,186.0,66.0,549.0,54.7,10.5,3.7,31.0
Warwick Farm,1209.0,645.0,232.0,1080.0,38.2,20.4,7.3,34.1
Watanobbi,1159.0,405.0,127.0,915.0,44.5,15.6,4.9,35.1
Waterloo,1627.0,1290.0,532.0,4381.0,20.8,16.5,6.8,56.0
Watsons Bay,271.0,58.0,37.0,213.0,47.0,10.1,6.4,37.0
Wattle Grove,2976.0,400.0,107.0,1330.0,61.8,8.3,2.2,27.6
Waverley,1261.0,413.0,370.0,1512.0,35.4,11.6,10.4,42.5
Waverton,1186.0,275.0,110.0,1212.0,42.6,9.9,4.0,43.5
Wentworthville,4414.0,888.0,484.0,2821.0,51.3,10.3,5.6,32.8
Werrington,1103.0,457.0,129.0,1062.0,40.1,16.6,4.7,38.6
Werrington County,1563.0,318.0,108.0,1046.0,51.4,10.5,3.6,34.4
Werrington Downs,1347.0,234.0,59.0,914.0,52.7,9.2,2.3,35.8
West Gosford,637.0,169.0,189.0,421.0,45.1,12.0,13.4,29.8
West Hoxton,3476.0,397.0,120.0,1521.0,63.1,7.2,2.2,27.6
West Pennant Hills,8147.0,680.0,504.0,3943.0,61.4,5.1,3.8,29.7
West Pymble,2240.0,233.0,243.0,801.0,63.8,6.6,6.9,22.8
