,People,Male,Female,Median age,Families,Average children per family for families with children,Average children per family for all families,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
The Hill,1943.0,0.499,0.501,33.0,435.0,1.6,0.3,1121.0,2.0,1602.0,1950.0,340.0,1.5
The Junction,1052.0,0.483,0.517,38.0,261.0,1.7,0.6,527.0,2.2,1582.0,2167.0,350.0,1.6
Thirroul,6083.0,0.498,0.502,42.0,1683.0,1.9,0.9,2446.0,2.7,1947.0,2253.0,433.0,1.8
Thornleigh,8464.0,0.49200000000000005,0.508,39.0,2310.0,1.9,1.0,2905.0,3.0,2262.0,2500.0,510.0,1.8
Tighes Hill,1680.0,0.5,0.5,37.0,404.0,1.7,0.6,739.0,2.3,1372.0,1733.0,330.0,1.5
Tingira Heights,2149.0,0.48100000000000004,0.519,37.0,586.0,1.9,1.0,762.0,2.9,1719.0,1800.0,350.0,2.1
Toongabbie,14337.0,0.501,0.499,35.0,3823.0,1.8,0.9,4989.0,3.0,1729.0,2000.0,400.0,1.7
Toowoon Bay,530.0,0.498,0.502,57.0,134.0,1.5,0.3,376.0,1.9,949.0,2600.0,300.0,1.5
Toronto,5602.0,0.48,0.52,48.0,1493.0,1.8,0.7,2503.0,2.3,1018.0,1500.0,280.0,1.6
Toukley,4550.0,0.49200000000000005,0.508,49.0,1120.0,1.7,0.5,2244.0,2.2,903.0,1602.0,300.0,1.5
Towradgi,3127.0,0.483,0.517,42.0,814.0,1.8,0.7,1396.0,2.4,1209.0,2044.0,293.0,1.7
Tregear,3886.0,0.49200000000000005,0.508,29.0,900.0,2.3,1.2,1386.0,3.0,947.0,1473.0,290.0,1.4
Tuggerah,927.0,0.49,0.51,34.0,249.0,1.8,0.8,402.0,2.5,1276.0,1700.0,360.0,1.6
Tuggerawong,1280.0,0.493,0.507,42.0,320.0,1.8,0.7,545.0,2.6,1204.0,1733.0,300.0,1.8
Tumbi Umbi,5108.0,0.49,0.51,44.0,1457.0,1.9,0.9,1973.0,2.8,1417.0,1950.0,360.0,2.0
Turramurra,11919.0,0.484,0.516,42.0,3303.0,1.9,1.0,4431.0,2.9,2657.0,3000.0,590.0,1.8
Turrella,2511.0,0.511,0.489,29.0,611.0,1.9,0.7,869.0,3.1,1789.0,2200.0,570.0,1.4
Ultimo,8845.0,0.48100000000000004,0.519,26.0,1171.0,1.4,0.2,3653.0,2.4,1230.0,2000.0,554.0,0.5
Umina Beach,16733.0,0.48,0.52,44.0,4466.0,1.8,0.7,7582.0,2.4,1160.0,1800.0,360.0,1.6
Unanderra,5434.0,0.473,0.527,43.0,1388.0,1.8,0.7,2285.0,2.4,950.0,1707.0,217.0,1.5
Valentine,5516.0,0.49600000000000005,0.504,45.0,1648.0,1.9,0.8,2180.0,2.7,1795.0,2000.0,420.0,2.1
Valley Heights,1211.0,0.517,0.483,43.0,347.0,1.9,0.9,454.0,2.8,1756.0,1950.0,360.0,2.0
Vaucluse,9337.0,0.473,0.527,40.0,2441.0,1.9,0.9,3766.0,2.8,2741.0,3467.0,650.0,1.9
Villawood,6032.0,0.534,0.466,35.0,1290.0,2.1,1.1,2040.0,2.9,781.0,1950.0,177.0,1.4
Voyager Point,1668.0,0.509,0.49100000000000005,35.0,472.0,1.9,1.2,504.0,3.3,2820.0,2500.0,300.0,2.3
Wahroonga,17371.0,0.48200000000000004,0.518,41.0,4586.0,1.9,1.0,6027.0,2.9,2584.0,3000.0,600.0,1.9
Waitara,5941.0,0.48,0.52,35.0,1671.0,1.5,0.6,2583.0,2.4,1721.0,2000.0,508.0,1.1
Wakeley,4746.0,0.489,0.511,38.0,1299.0,2.0,1.2,1438.0,3.4,1404.0,1950.0,420.0,2.0
Wallsend,12470.0,0.483,0.517,40.0,3266.0,1.7,0.6,5468.0,2.4,1120.0,1647.0,320.0,1.6
Wamberal,6550.0,0.494,0.506,39.0,1784.0,2.0,1.0,2590.0,2.9,1981.0,2167.0,425.0,2.0
Warabrook,1972.0,0.466,0.534,44.0,498.0,1.7,0.6,751.0,2.5,1391.0,1700.0,340.0,1.8
Waratah,4491.0,0.473,0.527,39.0,1014.0,1.6,0.5,2055.0,2.2,1116.0,1733.0,300.0,1.5
Waratah West,2988.0,0.507,0.493,32.0,692.0,1.8,0.6,1216.0,2.5,1119.0,1733.0,350.0,1.7
Wareemba,1546.0,0.451,0.549,41.0,431.0,1.7,0.8,643.0,2.6,2043.0,2676.0,550.0,1.6
Warilla,6449.0,0.49,0.51,44.0,1636.0,1.8,0.7,2769.0,2.4,854.0,1590.0,265.0,1.5
Warners Bay,7614.0,0.47100000000000003,0.529,43.0,2148.0,1.8,0.7,3323.0,2.4,1231.0,1800.0,350.0,1.7
Warrawee,2995.0,0.493,0.507,41.0,841.0,1.9,1.0,1064.0,3.0,3085.0,3000.0,600.0,1.9
Warrawong,4752.0,0.489,0.511,42.0,1177.0,1.9,0.8,2095.0,2.4,762.0,1421.0,215.0,1.2
Warriewood,7501.0,0.48,0.52,39.0,2044.0,1.9,1.0,2652.0,2.9,2160.0,2711.0,680.0,1.9
Warrimoo,2450.0,0.51,0.49,38.0,693.0,1.9,0.9,893.0,2.9,2097.0,2000.0,398.0,2.0
Warwick Farm,5884.0,0.513,0.48700000000000004,33.0,1352.0,1.7,0.7,2641.0,2.4,980.0,1517.0,300.0,1.1
Watanobbi,3861.0,0.48,0.52,34.0,1034.0,1.8,0.9,1485.0,2.7,1220.0,1608.0,335.0,1.7
Waterloo,14616.0,0.523,0.47700000000000004,32.0,3014.0,1.4,0.2,8056.0,2.0,1503.0,2400.0,520.0,0.8
Watsons Bay,850.0,0.495,0.505,39.0,191.0,1.9,0.8,336.0,2.5,2583.0,2700.0,650.0,1.5
Wattle Grove,8952.0,0.494,0.506,33.0,2478.0,1.9,1.2,2919.0,3.2,2148.0,2167.0,450.0,2.0
Waverley,4346.0,0.44799999999999995,0.552,40.0,929.0,1.7,0.6,1818.0,2.3,2138.0,3000.0,550.0,1.1
Waverton,3020.0,0.47200000000000003,0.528,38.0,824.0,1.5,0.4,1592.0,2.1,2392.0,2500.0,600.0,1.2
Wentworthville,11318.0,0.515,0.485,34.0,2995.0,1.7,0.8,4055.0,3.0,1693.0,2000.0,410.0,1.5
Werrington,4031.0,0.489,0.511,33.0,1070.0,1.7,0.7,1734.0,2.5,1228.0,1647.0,330.0,1.4
Werrington County,3645.0,0.498,0.502,36.0,1055.0,1.9,0.9,1277.0,2.9,1799.0,1907.0,390.0,2.1
Werrington Downs,3249.0,0.502,0.498,34.0,934.0,1.9,1.0,1123.0,3.0,1898.0,1950.0,400.0,2.1
West Gosford,1335.0,0.45799999999999996,0.542,49.0,308.0,1.7,0.4,723.0,1.9,951.0,1600.0,340.0,1.2
West Hoxton,10012.0,0.504,0.49600000000000005,32.0,2536.0,2.1,1.5,2722.0,3.8,2171.0,2244.0,501.0,2.4
West Pennant Hills,16374.0,0.493,0.507,41.0,4687.0,1.9,1.1,5428.0,3.2,2675.0,2750.0,590.0,2.2
West Pymble,5298.0,0.48600000000000004,0.514,40.0,1434.0,2.0,1.2,1783.0,3.2,2855.0,3000.0,700.0,2.0
West Ryde,13394.0,0.488,0.512,35.0,3651.0,1.6,0.7,5389.0,2.6,1677.0,2100.0,410.0,1.4
West Wallsend,2240.0,0.488,0.512,37.0,656.0,1.9,0.8,919.0,2.6,1276.0,1625.0,335.0,1.9
West Wollongong,4827.0,0.49200000000000005,0.508,34.0,1228.0,1.8,0.7,2076.0,2.5,1293.0,1950.0,325.0,1.6
Westleigh,4456.0,0.49,0.51,43.0,1282.0,1.9,1.0,1547.0,3.0,2457.0,2448.0,643.0,2.0
Westmead,16309.0,0.504,0.49600000000000005,33.0,4127.0,1.6,0.8,5918.0,2.8,1866.0,2000.0,430.0,1.2
Wetherill Park,6127.0,0.49600000000000005,0.504,39.0,1708.0,1.9,1.1,1949.0,3.3,1525.0,1950.0,450.0,2.0
Whalan,5973.0,0.48200000000000004,0.518,33.0,1421.0,2.1,1.1,2149.0,2.9,1008.0,1517.0,270.0,1.4
Whitebridge,2612.0,0.483,0.517,41.0,741.0,1.8,0.9,1028.0,2.6,1534.0,1825.0,350.0,2.0
Wickham,1079.0,0.5,0.5,34.0,265.0,1.5,0.3,657.0,2.0,1471.0,1761.0,380.0,1.5
