,People,Male,Female,Median age,Families,Average children per family for families with children,Average children per family for all families,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Eastwood,17865.0,0.48700000000000004,0.513,36.0,4700.0,1.7,0.7,6545.0,2.9,1648.0,2167.0,445.0,1.5
Edensor Park,9772.0,0.488,0.512,36.0,2676.0,2.0,1.3,2868.0,3.5,1637.0,2000.0,425.0,2.2
Edgecliff,2580.0,0.44799999999999995,0.552,38.0,557.0,1.5,0.3,1442.0,1.9,2198.0,3027.0,600.0,1.0
Edgeworth,6207.0,0.483,0.517,40.0,1723.0,1.8,0.7,2621.0,2.5,1167.0,1600.0,310.0,1.8
Elanora Heights,4357.0,0.493,0.507,40.0,1213.0,1.9,1.1,1432.0,3.2,2461.0,3000.0,700.0,2.2
Elderslie,132.0,0.544,0.456,47.0,42.0,1.5,0.8,44.0,3.0,1774.0,1590.0,108.0,2.9
Eleebana,5760.0,0.49,0.51,44.0,1668.0,1.9,0.9,2160.0,2.8,1969.0,2000.0,420.0,2.1
Elermore Vale,5526.0,0.473,0.527,40.0,1539.0,1.8,0.7,2235.0,2.5,1325.0,1733.0,325.0,1.8
Elizabeth Bay,5215.0,0.504,0.49600000000000005,41.0,1044.0,1.4,0.1,3893.0,1.5,1989.0,2324.0,493.0,0.7
Emerton,2252.0,0.501,0.499,31.0,534.0,2.2,1.1,792.0,3.0,1072.0,1500.0,310.0,1.5
Empire Bay,2400.0,0.495,0.505,41.0,681.0,1.8,0.9,923.0,2.8,1449.0,1993.0,350.0,2.0
Emu Heights,3289.0,0.498,0.502,35.0,919.0,2.0,1.1,1119.0,3.1,2080.0,2000.0,415.0,2.1
Emu Plains,8421.0,0.47200000000000003,0.528,39.0,2269.0,1.9,0.9,3174.0,2.7,1685.0,2167.0,400.0,1.9
Enfield,2833.0,0.495,0.505,39.0,761.0,1.7,0.8,1113.0,2.7,1595.0,2167.0,450.0,1.5
Engadine,17375.0,0.493,0.507,38.0,4912.0,1.9,1.0,6145.0,2.9,1962.0,2400.0,430.0,1.9
Enmore,3880.0,0.5,0.5,34.0,829.0,1.6,0.4,1841.0,2.3,2022.0,2600.0,490.0,1.1
Epping,23688.0,0.494,0.506,36.0,6436.0,1.7,0.8,8555.0,2.9,1973.0,2210.0,530.0,1.6
Erina,4774.0,0.429,0.5710000000000001,59.0,1158.0,1.8,0.5,2226.0,2.1,941.0,1842.0,333.0,1.4
Ermington,10737.0,0.498,0.502,37.0,2871.0,1.8,1.0,3958.0,2.9,1620.0,2461.0,277.0,1.7
Erskine Park,6436.0,0.49700000000000005,0.503,34.0,1774.0,1.9,1.2,2016.0,3.3,2104.0,2000.0,410.0,2.4
Erskineville,8014.0,0.514,0.48600000000000004,34.0,2023.0,1.5,0.3,4047.0,2.1,2482.0,2600.0,602.0,1.0
Eschol Park,2582.0,0.494,0.506,34.0,749.0,1.9,1.0,921.0,3.0,1649.0,1733.0,390.0,2.0
Ettalong Beach,4793.0,0.473,0.527,52.0,1278.0,1.6,0.4,2801.0,2.0,867.0,1517.0,350.0,1.3
Fairfield,18081.0,0.49600000000000005,0.504,36.0,4622.0,1.9,1.0,6352.0,3.0,975.0,1625.0,350.0,1.4
Fairfield East,5273.0,0.504,0.49600000000000005,35.0,1212.0,2.1,1.1,1663.0,3.4,1057.0,1900.0,278.0,1.7
Fairfield Heights,7517.0,0.48700000000000004,0.513,35.0,1920.0,2.1,1.2,2335.0,3.4,1116.0,1993.0,400.0,1.6
Fairfield West,11575.0,0.49,0.51,36.0,3021.0,2.0,1.2,3532.0,3.4,1267.0,1950.0,420.0,1.9
Fairlight,5840.0,0.47700000000000004,0.523,38.0,1629.0,1.7,0.6,2698.0,2.4,2620.0,3000.0,648.0,1.5
Fairy Meadow,7405.0,0.49600000000000005,0.504,37.0,1852.0,1.7,0.6,3220.0,2.4,1123.0,1907.0,340.0,1.5
Farmborough Heights,4198.0,0.484,0.516,38.0,1178.0,1.9,1.0,1464.0,2.9,1816.0,1950.0,380.0,2.0
Faulconbridge,4025.0,0.489,0.511,40.0,1158.0,1.9,0.9,1552.0,2.7,1781.0,1950.0,380.0,1.9
Fennell Bay,1613.0,0.485,0.515,47.0,488.0,1.7,0.6,715.0,2.4,1204.0,1615.0,300.0,1.8
Figtree,11564.0,0.494,0.506,40.0,3177.0,1.9,0.9,4347.0,2.8,1581.0,2058.0,350.0,1.9
Five Dock,9356.0,0.47500000000000003,0.525,40.0,2510.0,1.7,0.8,3911.0,2.6,2077.0,2617.0,550.0,1.6
Fletcher,5136.0,0.498,0.502,31.0,1396.0,2.0,1.2,1621.0,3.4,2296.0,2200.0,493.0,2.2
Flinders,6679.0,0.493,0.507,34.0,1848.0,1.9,1.1,2362.0,3.0,1783.0,2167.0,435.0,2.0
Floraville,1856.0,0.49700000000000005,0.503,38.0,523.0,2.0,1.0,651.0,3.0,1848.0,2000.0,380.0,2.0
Forest Lodge,4583.0,0.484,0.516,30.0,1025.0,1.4,0.3,2336.0,2.2,2143.0,2900.0,600.0,1.0
Forestville,8329.0,0.483,0.517,42.0,2215.0,1.9,1.0,3022.0,2.9,2151.0,2817.0,600.0,1.8
Forresters Beach,2900.0,0.489,0.511,43.0,822.0,1.9,0.8,1214.0,2.6,1520.0,2078.0,410.0,1.9
Frenchs Forest,13473.0,0.49600000000000005,0.504,40.0,3744.0,1.9,1.1,4430.0,3.2,2514.0,3000.0,760.0,2.1
Garden Suburb,1910.0,0.49200000000000005,0.508,44.0,538.0,1.8,0.9,664.0,2.9,1856.0,1950.0,410.0,2.1
Gateshead,3145.0,0.484,0.516,35.0,815.0,1.9,0.9,1289.0,2.5,926.0,1509.0,262.0,1.6
Georges Hall,9038.0,0.485,0.515,37.0,2328.0,2.1,1.2,2882.0,3.2,1464.0,2167.0,470.0,2.0
Georgetown,1960.0,0.474,0.526,37.0,533.0,1.7,0.6,903.0,2.3,1381.0,1831.0,350.0,1.6
Girraween,5590.0,0.51,0.49,35.0,1442.0,1.8,1.0,1880.0,3.1,1779.0,2200.0,415.0,1.6
Gladesville,11827.0,0.48,0.52,39.0,3092.0,1.8,0.7,5113.0,2.5,1922.0,2500.0,420.0,1.5
Glebe,11532.0,0.467,0.533,36.0,2393.0,1.6,0.3,5973.0,2.1,1579.0,2730.0,400.0,0.9
Glen Alpine,4559.0,0.5,0.5,40.0,1323.0,2.0,1.1,1379.0,3.4,2440.0,2167.0,510.0,2.5
Glenbrook,5051.0,0.49600000000000005,0.504,43.0,1378.0,2.0,0.9,1867.0,2.8,2094.0,2000.0,430.0,2.0
Glendale,3097.0,0.484,0.516,38.0,843.0,1.8,0.7,1312.0,2.5,1204.0,1613.0,300.0,1.7
Glendenning,5131.0,0.49600000000000005,0.504,31.0,1379.0,1.9,1.3,1519.0,3.5,1906.0,2000.0,400.0,2.0
Glenfield,9633.0,0.49,0.51,35.0,2513.0,1.8,1.0,3205.0,3.0,1757.0,2000.0,390.0,1.7
Glenhaven,6501.0,0.485,0.515,45.0,1853.0,2.0,1.0,2312.0,3.0,2259.0,2685.0,650.0,2.3
Glenmore Park,23004.0,0.485,0.515,32.0,6372.0,1.9,1.2,7501.0,3.2,2213.0,2167.0,450.0,2.2
Glenning Valley,2019.0,0.47500000000000003,0.525,38.0,573.0,1.8,0.9,715.0,2.9,1888.0,1884.0,410.0,2.2
Glenwood,16130.0,0.495,0.505,34.0,4358.0,1.9,1.3,4610.0,3.6,2476.0,2400.0,570.0,2.1
Gordon,7668.0,0.478,0.522,40.0,2136.0,1.8,0.9,2838.0,2.9,2313.0,2800.0,650.0,1.7
Gorokan,8367.0,0.488,0.512,42.0,2199.0,1.8,0.7,3843.0,2.3,989.0,1517.0,310.0,1.6
Gosford,3499.0,0.529,0.47100000000000003,35.0,835.0,1.4,0.3,2071.0,1.9,1203.0,1400.0,340.0,1.2
Granville,15332.0,0.526,0.474,31.0,3704.0,1.8,0.8,5438.0,3.0,1332.0,1733.0,390.0,1.4
Grays Point,3125.0,0.49700000000000005,0.503,41.0,890.0,1.9,1.1,1032.0,3.2,2557.0,2900.0,600.0,2.4
Green Point,526.0,0.501,0.499,50.0,159.0,1.6,0.5,272.0,2.2,960.0,1409.0,340.0,1.7
Green Valley,12516.0,0.49,0.51,33.0,3277.0,2.1,1.3,3574.0,3.6,1572.0,1950.0,420.0,2.1
Greenacre,24373.0,0.49700000000000005,0.503,33.0,5755.0,2.3,1.4,7636.0,3.4,1184.0,2058.0,370.0,1.9
Greenfield Park,5092.0,0.5,0.5,37.0,1352.0,2.1,1.4,1431.0,3.7,1489.0,1950.0,448.0,2.1
Greenwich,5613.0,0.48,0.52,39.0,1435.0,1.8,0.7,2399.0,2.5,2555.0,2800.0,550.0,1.5
Greystanes,22802.0,0.49200000000000005,0.508,38.0,6268.0,1.9,1.0,7811.0,3.0,1608.0,2167.0,440.0,2.0
Guildford,22331.0,0.507,0.493,31.0,5180.0,2.2,1.1,7437.0,3.2,1120.0,1950.0,370.0,1.6
Guildford West,4916.0,0.493,0.507,32.0,1244.0,2.1,1.2,1631.0,3.2,1388.0,2010.0,410.0,1.9
Gwynneville,3100.0,0.536,0.46399999999999997,26.0,574.0,1.9,0.6,1152.0,2.7,998.0,2082.0,310.0,1.4
Gymea,7589.0,0.485,0.515,40.0,2126.0,1.7,0.7,3288.0,2.5,1763.0,2383.0,460.0,1.6
Gymea Bay,6892.0,0.488,0.512,41.0,1908.0,2.0,1.2,2287.0,3.1,2523.0,2800.0,600.0,2.1
Haberfield,6457.0,0.495,0.505,44.0,1731.0,1.9,1.0,2407.0,2.8,2164.0,3000.0,500.0,1.7
Halekulani,2538.0,0.48100000000000004,0.519,48.0,690.0,1.9,0.6,1199.0,2.3,852.0,1560.0,318.0,1.6
Hamilton,4229.0,0.48,0.52,38.0,1000.0,1.7,0.5,2087.0,2.2,1360.0,1950.0,350.0,1.4
Hamilton East,983.0,0.507,0.493,42.0,252.0,1.9,0.7,398.0,2.6,1792.0,2221.0,350.0,1.7
Hamilton North,869.0,0.49100000000000005,0.509,36.0,228.0,1.7,0.6,411.0,2.3,1452.0,1900.0,378.0,1.6
Hamilton South,3876.0,0.505,0.495,44.0,954.0,1.8,0.6,1894.0,2.3,1028.0,2167.0,135.0,1.4
Hammondville,3493.0,0.474,0.526,39.0,875.0,1.9,0.9,1219.0,2.8,1580.0,2100.0,420.0,1.7
Harrington Park,10663.0,0.49,0.51,33.0,2885.0,2.1,1.3,3177.0,3.5,2416.0,2500.0,530.0,2.3
Harris Park,5799.0,0.536,0.46399999999999997,31.0,1426.0,1.4,0.6,2175.0,2.8,1509.0,1733.0,390.0,1.0
Hassall Grove,4505.0,0.49,0.51,30.0,1151.0,2.1,1.4,1295.0,3.5,1718.0,1950.0,400.0,2.1
Haymarket,7353.0,0.48100000000000004,0.519,27.0,1024.0,1.3,0.2,2605.0,3.0,1505.0,2342.0,750.0,0.5
Heathcote,6013.0,0.48200000000000004,0.518,42.0,1633.0,1.9,0.9,2186.0,2.8,1864.0,2383.0,430.0,1.9
Hebersham,5685.0,0.493,0.507,32.0,1435.0,2.1,1.2,1810.0,3.2,1237.0,1600.0,320.0,1.7
Heckenberg,3094.0,0.47100000000000003,0.529,32.0,751.0,2.2,1.2,989.0,3.3,968.0,1756.0,271.0,1.7
Henley,469.0,0.511,0.489,46.0,125.0,1.9,1.0,172.0,3.0,3035.0,2700.0,545.0,2.3
Highfields,835.0,0.49,0.51,41.0,234.0,1.7,0.8,351.0,2.5,1756.0,2167.0,340.0,1.8
Hillsborough,41.0,0.538,0.462,40.0,9.0,1.7,1.1,22.0,2.5,725.0,3033.0,0.0,1.7
Hillsdale,5501.0,0.499,0.501,33.0,1424.0,1.6,0.7,2230.0,2.6,1337.0,2000.0,420.0,1.3
Hinchinbrook,11222.0,0.495,0.505,33.0,2966.0,2.0,1.4,3189.0,3.7,1790.0,2000.0,450.0,2.2
Holmesville,1365.0,0.502,0.498,40.0,398.0,1.8,0.9,505.0,2.8,1366.0,1712.0,323.0,2.1
Holsworthy,5476.0,0.539,0.461,30.0,1333.0,1.9,1.2,1539.0,3.4,2172.0,2167.0,480.0,1.9
Homebush,7007.0,0.533,0.467,31.0,1715.0,1.7,0.7,2644.0,2.9,1810.0,2167.0,460.0,1.3
Homebush West,8609.0,0.525,0.47500000000000003,30.0,2069.0,1.5,0.6,3206.0,2.8,1635.0,2000.0,450.0,1.2
Horningsea Park,3729.0,0.484,0.516,32.0,956.0,2.1,1.5,1038.0,3.7,2084.0,2167.0,500.0,2.3
Hornsby,22168.0,0.49,0.51,36.0,6116.0,1.6,0.7,9100.0,2.6,1696.0,2150.0,455.0,1.3
Hornsby Heights,6305.0,0.49200000000000005,0.508,40.0,1791.0,1.9,1.1,2130.0,3.1,2273.0,2500.0,580.0,2.1
Horsley,8221.0,0.488,0.512,34.0,2310.0,1.9,1.1,2696.0,3.1,1826.0,1950.0,410.0,2.1
Hoxton Park,4355.0,0.493,0.507,32.0,1120.0,2.0,1.4,1247.0,3.6,1725.0,2113.0,450.0,2.1
Hunters Hill,9528.0,0.502,0.498,42.0,2235.0,2.0,1.0,3312.0,2.8,2700.0,3500.0,500.0,1.9
Huntleys Point,144.0,0.5,0.5,52.0,37.0,1.9,0.6,57.0,2.7,3250.0,3809.0,570.0,2.3
Hurlstone Park,4692.0,0.479,0.521,42.0,1274.0,1.7,0.7,1922.0,2.6,1780.0,2299.0,415.0,1.4
Hurstville,29822.0,0.49200000000000005,0.508,32.0,7673.0,1.6,0.6,10571.0,3.0,1382.0,2000.0,475.0,1.3
Hurstville Grove,2663.0,0.49600000000000005,0.504,40.0,733.0,1.9,1.0,909.0,3.2,2094.0,2600.0,518.0,2.0
Illawong,7271.0,0.501,0.499,43.0,2126.0,1.9,1.1,2417.0,3.2,2466.0,2500.0,620.0,2.4
Ingleburn,15039.0,0.498,0.502,35.0,4024.0,1.8,0.9,5554.0,2.9,1401.0,1800.0,360.0,1.6
Ingleside,974.0,0.525,0.47500000000000003,44.0,254.0,1.9,1.0,327.0,3.1,2170.0,3017.0,451.0,2.8
Islington,1883.0,0.499,0.501,34.0,447.0,1.6,0.4,972.0,2.1,1354.0,1733.0,350.0,1.4
Jamisontown,5500.0,0.48100000000000004,0.519,36.0,1413.0,1.8,0.7,2374.0,2.4,1385.0,1890.0,360.0,1.6
Jannali,6184.0,0.485,0.515,39.0,1629.0,1.8,0.9,2400.0,2.7,1784.0,2340.0,380.0,1.6
Jesmond,3045.0,0.504,0.49600000000000005,29.0,586.0,1.9,0.6,1282.0,2.5,850.0,1558.0,300.0,1.3
Jewells,2407.0,0.49,0.51,45.0,732.0,1.8,0.7,937.0,2.6,1492.0,1842.0,410.0,2.1
Kahibah,2464.0,0.48,0.52,38.0,686.0,1.8,0.7,1085.0,2.4,1435.0,1767.0,350.0,1.7
Kanahooka,5575.0,0.473,0.527,46.0,1570.0,1.8,0.7,2224.0,2.5,1212.0,1800.0,378.0,1.9
Kangaroo Point,560.0,0.519,0.48100000000000004,47.0,168.0,1.9,1.1,200.0,3.0,3422.0,4000.0,850.0,2.4
Kanwal,4099.0,0.47100000000000003,0.529,44.0,965.0,2.0,0.9,1533.0,2.5,1097.0,1584.0,320.0,1.7
Kareela,3459.0,0.499,0.501,42.0,1033.0,1.9,1.0,1194.0,3.0,2273.0,2600.0,600.0,2.1
Kariong,6385.0,0.508,0.49200000000000005,35.0,1697.0,2.0,1.1,2178.0,3.0,1813.0,1950.0,400.0,2.1
Kearns,2745.0,0.508,0.49200000000000005,33.0,753.0,1.9,1.2,880.0,3.2,2039.0,2000.0,400.0,2.2
Keiraville,3569.0,0.498,0.502,28.0,727.0,1.9,0.6,1338.0,2.6,1296.0,1900.0,355.0,1.7
Kellyville,27971.0,0.49200000000000005,0.508,35.0,7675.0,2.0,1.3,8714.0,3.4,2564.0,2600.0,630.0,2.2
Kembla Grange,252.0,0.49,0.51,43.0,66.0,1.9,0.8,85.0,3.2,1895.0,2300.0,346.0,2.5
Kensington,15004.0,0.502,0.498,26.0,2616.0,1.7,0.5,5381.0,2.4,1646.0,2600.0,515.0,1.1
Kilaben Bay,1431.0,0.483,0.517,45.0,427.0,1.8,0.8,592.0,2.6,1798.0,1950.0,370.0,2.2
Killara,10574.0,0.47500000000000003,0.525,40.0,2946.0,1.8,0.9,3901.0,2.9,2534.0,3000.0,646.0,1.8
Killarney Heights,4469.0,0.483,0.517,41.0,1255.0,2.0,1.2,1464.0,3.2,2590.0,3000.0,850.0,2.1
Killarney Vale,7216.0,0.47500000000000003,0.525,39.0,1903.0,1.8,0.8,2890.0,2.6,1222.0,1733.0,350.0,1.8
Kincumber,7093.0,0.457,0.543,47.0,1939.0,1.8,0.7,3156.0,2.4,1082.0,1872.0,340.0,1.6
Kincumber South,684.0,0.45,0.55,66.0,174.0,1.5,0.2,442.0,1.6,645.0,1713.0,200.0,1.2
Kings Langley,9353.0,0.498,0.502,39.0,2672.0,1.9,1.0,3203.0,3.0,2114.0,2167.0,480.0,2.1
Kings Park,3453.0,0.501,0.499,34.0,978.0,1.8,1.0,1252.0,2.9,1904.0,2129.0,430.0,1.9
Kingsford,15482.0,0.511,0.489,27.0,3109.0,1.7,0.5,6074.0,2.7,1374.0,2500.0,525.0,1.1
Kingsgrove,12446.0,0.488,0.512,40.0,3443.0,1.8,0.9,4585.0,2.9,1564.0,2350.0,480.0,1.7
Kingswood,1034.0,0.513,0.48700000000000004,44.0,292.0,1.9,0.9,380.0,2.8,1801.0,1950.0,290.0,2.4
Kirrawee,9278.0,0.47600000000000003,0.524,40.0,2507.0,1.8,0.8,3694.0,2.6,1709.0,2400.0,420.0,1.7
Kirribilli,3820.0,0.47500000000000003,0.525,40.0,931.0,1.5,0.2,2498.0,1.8,2233.0,2579.0,540.0,1.0
Kogarah,15124.0,0.502,0.498,33.0,4003.0,1.6,0.6,5868.0,2.7,1626.0,2000.0,440.0,1.2
Kogarah Bay,2022.0,0.495,0.505,41.0,561.0,1.9,1.0,706.0,3.1,2051.0,2500.0,563.0,2.1
Koolewong,871.0,0.504,0.49600000000000005,46.0,256.0,1.7,0.6,404.0,2.3,1504.0,1729.0,405.0,1.7
Koonawarra,3667.0,0.48600000000000004,0.514,35.0,1027.0,1.9,0.9,1405.0,2.7,1038.0,1517.0,300.0,1.7
Kotara,3929.0,0.49100000000000005,0.509,39.0,1125.0,1.8,0.8,1592.0,2.6,1638.0,1894.0,380.0,1.8
Kotara South,1104.0,0.483,0.517,38.0,314.0,1.8,0.8,463.0,2.6,1421.0,1950.0,301.0,1.7
Kurnell,2267.0,0.506,0.494,37.0,596.0,2.0,1.0,786.0,3.0,1898.0,2600.0,504.0,2.2
Kyeemagh,919.0,0.48700000000000004,0.513,43.0,251.0,1.8,0.9,354.0,2.8,1395.0,2754.0,530.0,1.8
Kyle Bay,1035.0,0.494,0.506,43.0,284.0,1.9,1.1,352.0,3.1,2511.0,3000.0,698.0,2.2
La Perouse,399.0,0.494,0.506,43.0,120.0,1.7,0.8,149.0,2.7,1531.0,2500.0,185.0,1.7
Lake Haven,3578.0,0.456,0.544,50.0,917.0,1.8,0.6,1664.0,2.3,866.0,1426.0,303.0,1.6
Lake Heights,3845.0,0.498,0.502,39.0,1038.0,1.9,0.8,1579.0,2.6,1092.0,1733.0,323.0,1.7
Lake Illawarra,3163.0,0.483,0.517,43.0,830.0,1.7,0.6,1598.0,2.1,898.0,1555.0,280.0,1.4
Lakelands,1424.0,0.48200000000000004,0.518,43.0,420.0,1.9,0.9,518.0,2.8,1939.0,2100.0,380.0,2.2
Lakemba,17023.0,0.54,0.46,31.0,3904.0,2.0,1.1,5508.0,3.2,1012.0,1600.0,350.0,1.4
Lalor Park,7667.0,0.49700000000000005,0.503,36.0,1949.0,1.9,0.8,3106.0,2.6,1251.0,1898.0,310.0,1.6
Lambton,4909.0,0.47700000000000004,0.523,39.0,1306.0,1.8,0.7,2208.0,2.4,1341.0,1777.0,310.0,1.6
Lane Cove,10817.0,0.47500000000000003,0.525,37.0,2890.0,1.7,0.6,4843.0,2.4,2192.0,2600.0,520.0,1.4
Lane Cove North,11436.0,0.483,0.517,34.0,3072.0,1.6,0.6,5214.0,2.4,2161.0,2400.0,500.0,1.4
Lane Cove West,2637.0,0.495,0.505,36.0,723.0,1.9,0.9,1196.0,2.8,2567.0,3000.0,570.0,1.6
Lansvale,2570.0,0.525,0.47500000000000003,39.0,653.0,2.0,1.1,829.0,3.2,1330.0,1733.0,350.0,2.0
Lapstone,961.0,0.508,0.49200000000000005,43.0,259.0,1.9,0.9,351.0,2.6,2115.0,2167.0,420.0,1.9
Lavender Bay,941.0,0.48200000000000004,0.518,39.0,231.0,1.5,0.3,588.0,1.9,2277.0,2800.0,530.0,1.1
Leichhardt,14625.0,0.48,0.52,36.0,3668.0,1.6,0.6,6268.0,2.5,2256.0,3000.0,560.0,1.3
Leonay,2518.0,0.49100000000000005,0.509,40.0,724.0,1.9,1.0,899.0,3.0,2153.0,2167.0,495.0,2.1
Lethbridge Park,4752.0,0.48600000000000004,0.514,33.0,1138.0,2.1,1.1,1771.0,2.8,959.0,1500.0,290.0,1.4
Leumeah,9835.0,0.493,0.507,35.0,2656.0,1.8,0.8,3804.0,2.7,1298.0,1753.0,330.0,1.7
Lewisham,3164.0,0.483,0.517,36.0,745.0,1.6,0.5,1447.0,2.3,1974.0,2510.0,470.0,1.2
Liberty Grove,2254.0,0.494,0.506,33.0,610.0,1.6,0.8,801.0,2.9,2207.0,2075.0,600.0,1.4
Lidcombe,19627.0,0.516,0.484,33.0,4884.0,1.8,0.8,6382.0,3.2,1571.0,2100.0,470.0,1.6
Lilli Pilli,1390.0,0.495,0.505,42.0,394.0,2.1,1.2,455.0,3.3,3297.0,3402.0,950.0,2.4
Lilyfield,7616.0,0.47500000000000003,0.525,39.0,1887.0,1.7,0.7,3244.0,2.5,2310.0,3000.0,498.0,1.4
Lindfield,9791.0,0.484,0.516,39.0,2693.0,1.8,0.9,3738.0,2.8,2513.0,3000.0,554.0,1.7
Linley Point,346.0,0.51,0.49,45.0,101.0,1.9,0.9,129.0,2.9,3692.0,4333.0,1050.0,2.4
Lisarow,5136.0,0.49,0.51,40.0,1398.0,2.0,1.0,1805.0,2.9,1742.0,1886.0,380.0,2.0
Little Bay,4477.0,0.485,0.515,40.0,1119.0,1.8,0.7,1891.0,2.5,2041.0,2622.0,570.0,1.6
Liverpool,27084.0,0.49700000000000005,0.503,34.0,6480.0,1.8,0.9,10047.0,2.8,1089.0,1647.0,340.0,1.3
Loftus,4135.0,0.48600000000000004,0.514,40.0,1182.0,1.9,1.0,1452.0,3.0,2083.0,2275.0,535.0,2.0
Long Jetty,6390.0,0.479,0.521,43.0,1656.0,1.7,0.6,3373.0,2.2,972.0,1733.0,315.0,1.5
Long Point,31.0,0.6920000000000001,0.308,35.0,12.0,0.0,0.0,7.0,2.6,2249.0,2010.0,0.0,1.7
Longueville,2060.0,0.501,0.499,45.0,588.0,2.0,1.1,716.0,3.2,4050.0,4333.0,983.0,2.2
Lugarno,5606.0,0.49100000000000005,0.509,44.0,1636.0,1.9,1.0,2001.0,3.0,2168.0,2600.0,500.0,2.2
Lurnea,9311.0,0.488,0.512,33.0,2262.0,2.1,1.2,3074.0,3.1,1068.0,1842.0,350.0,1.7
Macquarie Fields,13714.0,0.48200000000000004,0.518,35.0,3516.0,1.9,1.0,4898.0,2.9,1211.0,1700.0,310.0,1.5
Macquarie Hills,3304.0,0.49600000000000005,0.504,35.0,969.0,1.8,1.0,1183.0,2.9,1930.0,1907.0,400.0,2.1
Macquarie Links,1360.0,0.504,0.49600000000000005,35.0,364.0,2.0,1.3,417.0,3.5,2635.0,2659.0,560.0,2.3
Macquarie Park,8144.0,0.48,0.52,29.0,1795.0,1.4,0.3,3557.0,2.1,1631.0,2000.0,460.0,1.0
Malabar,5420.0,0.648,0.35200000000000004,43.0,938.0,1.9,0.8,1493.0,2.6,1471.0,2600.0,137.0,1.7
Mangerton,2859.0,0.513,0.48700000000000004,39.0,747.0,1.8,0.8,1206.0,2.5,1671.0,2167.0,285.0,1.7
Manly,15866.0,0.49700000000000005,0.503,36.0,3965.0,1.7,0.4,8441.0,2.2,2449.0,2882.0,650.0,1.2
Manly Vale,6160.0,0.49,0.51,36.0,1627.0,1.7,0.7,2577.0,2.5,1959.0,2400.0,500.0,1.5
Marayong,7706.0,0.494,0.506,36.0,2036.0,1.9,0.9,2746.0,2.9,1408.0,2000.0,370.0,1.6
Mardi,3684.0,0.483,0.517,37.0,982.0,1.9,1.0,1311.0,2.9,1637.0,1915.0,400.0,1.9
Marks Point,1826.0,0.47700000000000004,0.523,47.0,510.0,1.7,0.5,943.0,2.1,955.0,1680.0,285.0,1.5
Marmong Point,758.0,0.505,0.495,45.0,207.0,1.9,0.8,312.0,2.6,1575.0,1800.0,378.0,1.9
Maroubra,30688.0,0.484,0.516,37.0,7752.0,1.7,0.7,13238.0,2.5,1722.0,2600.0,540.0,1.4
Marrickville,26592.0,0.49,0.51,36.0,6377.0,1.6,0.6,11304.0,2.5,1814.0,2383.0,450.0,1.2
Marsfield,13297.0,0.47700000000000004,0.523,35.0,3165.0,1.6,0.5,5258.0,2.6,1641.0,2167.0,485.0,1.4
Maryland,57.0,0.49100000000000005,0.509,56.0,19.0,0.0,0.0,32.0,1.8,1083.0,1083.0,0.0,1.9
Maryville,1444.0,0.499,0.501,37.0,390.0,1.6,0.5,702.0,2.2,1503.0,1893.0,400.0,1.5
Mascot,14772.0,0.503,0.49700000000000005,32.0,3704.0,1.6,0.5,6016.0,2.7,1955.0,2490.0,610.0,1.3
Matraville,9804.0,0.48600000000000004,0.514,40.0,2576.0,1.8,0.8,3741.0,2.8,1713.0,2500.0,435.0,1.6
Mayfield,37.0,0.629,0.371,34.0,9.0,2.0,2.0,14.0,4.0,2874.0,0.0,0.0,2.3
Mayfield East,1692.0,0.49100000000000005,0.509,37.0,431.0,1.6,0.5,819.0,2.2,1319.0,1712.0,350.0,1.5
Mayfield West,1895.0,0.527,0.473,34.0,466.0,1.8,0.6,872.0,2.3,1310.0,1680.0,300.0,1.5
Mays Hill,767.0,0.521,0.479,32.0,181.0,1.9,1.0,265.0,3.2,1639.0,1885.0,440.0,1.6
McMahons Point,2278.0,0.47700000000000004,0.523,42.0,597.0,1.5,0.3,1451.0,1.9,2379.0,2919.0,580.0,1.2
Meadowbank,4408.0,0.494,0.506,32.0,1262.0,1.4,0.3,2229.0,2.1,1704.0,2076.0,430.0,1.1
Melrose Park,1574.0,0.508,0.49200000000000005,40.0,431.0,1.9,1.0,554.0,3.0,2091.0,2800.0,495.0,1.8
Menai,10304.0,0.49,0.51,38.0,2929.0,1.9,1.1,3499.0,3.1,2238.0,2220.0,520.0,2.1
Merewether,10964.0,0.499,0.501,38.0,2749.0,1.9,0.7,4982.0,2.4,1830.0,2167.0,360.0,1.7
Merewether Heights,1400.0,0.489,0.511,42.0,390.0,1.9,0.9,511.0,2.8,2173.0,2167.0,490.0,1.9
Merrylands,29653.0,0.512,0.488,32.0,7279.0,2.0,1.0,10108.0,3.1,1267.0,2000.0,390.0,1.6
Merrylands West,6592.0,0.48,0.52,35.0,1609.0,2.0,0.9,2438.0,2.8,1123.0,2000.0,375.0,1.6
Middle Cove,1340.0,0.506,0.494,44.0,372.0,1.9,1.1,475.0,3.0,3250.0,3467.0,923.0,1.9
Miller,3237.0,0.498,0.502,36.0,715.0,2.1,1.0,1259.0,2.7,739.0,1452.0,165.0,1.3
Millers Point,1482.0,0.509,0.49100000000000005,47.0,390.0,1.3,0.2,1374.0,1.8,3062.0,3580.0,900.0,1.0
