,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Australian citizenship (%),People born overseas (%),Overseas visitors (excluded from people counts) (%)
Rankin Park,2425.0,289.0,12.0,95.0,11.3,0.5
Redfern,7867.0,4159.0,233.0,71.7,37.9,2.1
Redhead,3020.0,331.0,3.0,94.5,10.4,0.1
Regents Park,3227.0,1714.0,31.0,84.3,44.8,0.8
Regentville,712.0,100.0,0.0,91.5,12.9,0.0
Revesby,10200.0,2880.0,52.0,91.2,25.8,0.5
Revesby Heights,1143.0,133.0,8.0,90.4,10.5,0.6
Rhodes,620.0,181.0,8.0,84.5,24.7,1.1
Riverstone,5562.0,1005.0,20.0,87.9,15.9,0.3
Riverview,2977.0,664.0,32.0,92.0,20.5,1.0
Riverwood,8700.0,4289.0,92.0,83.5,41.2,0.9
Rockdale,8537.0,5728.0,159.0,74.7,50.1,1.4
Rocky Point,222.0,17.0,0.0,100.5,7.7,0.0
Rodd Point,1130.0,340.0,6.0,91.1,27.4,0.5
Rooty Hill,9386.0,4336.0,48.0,84.4,39.0,0.4
Rose Bay,6608.0,3243.0,133.0,74.7,36.7,1.5
Rosebery,5329.0,3322.0,74.0,76.5,47.7,1.1
Roselands,8499.0,3497.0,49.0,85.7,35.3,0.5
Rosemeadow,6801.0,1986.0,11.0,85.6,25.0,0.1
Roseville,7105.0,2106.0,114.0,88.7,26.3,1.4
Roseville Chase,1353.0,431.0,35.0,88.9,28.3,2.2
Rouse Hill,2805.0,712.0,13.0,89.0,22.6,0.4
Rozelle,5391.0,1936.0,155.0,79.3,28.5,2.2
Ruse,5305.0,1044.0,11.0,91.3,18.0,0.2
Rushcutters Bay,1379.0,793.0,202.0,62.3,35.8,8.4
Russell Lea,4457.0,1335.0,26.0,87.2,26.1,0.5
Russell Vale,1124.0,186.0,3.0,91.2,15.1,0.2
Rydalmere,1265.0,312.0,4.0,89.5,22.1,0.3
Ryde,17430.0,6996.0,153.0,86.1,34.6,0.7
Sadleir,2498.0,883.0,3.0,85.6,30.3,0.1
San Remo,3564.0,413.0,9.0,91.8,10.6,0.2
Sandringham,1011.0,256.0,10.0,90.5,22.9,0.9
Sans Souci,8103.0,2512.0,51.0,87.3,27.0,0.5
Saratoga,3462.0,486.0,12.0,91.6,12.9,0.3
Scarborough,316.0,46.0,3.0,91.3,13.3,0.9
