,Internet not accessed from dwelling,Internet accessed from dwelling,Not stated,Internet not accessed from dwelling (%),Internet accessed from dwelling (%),Not stated (%),SSC_CODE
Russell Lea,263.0,1481.0,31.0,14.8,83.4,1.7,13447
Rodd Point,67.0,403.0,8.0,14.0,84.3,1.7,13391
Abbotsford (NSW),290.0,1819.0,49.0,13.4,84.3,2.3,10003
Chiswick,114.0,1084.0,16.0,9.4,89.3,1.3,10910
Five Dock,480.0,2831.0,75.0,14.2,83.6,2.2,11530
Canada Bay,52.0,393.0,8.0,11.5,86.8,1.8,10785
Wareemba,93.0,470.0,5.0,16.4,82.7,0.9,14148
Balmain,370.0,3740.0,82.0,8.8,89.2,2.0,10164
Birchgrove,51.0,1182.0,23.0,4.1,94.1,1.8,10374
Woolwich,21.0,260.0,5.0,7.3,90.9,1.7,14412
Leichhardt (NSW),496.0,4821.0,104.0,9.1,88.9,1.9,12297
Lilyfield,361.0,2395.0,61.0,12.8,85.0,2.2,12325
Rozelle,178.0,3205.0,65.0,5.2,93.0,1.9,13435
Ashfield (NSW),985.0,7166.0,392.0,11.5,83.9,4.6,10098
Summer Hill (Inner West - NSW),260.0,2557.0,59.0,9.0,88.9,2.1,13687
Hurlstone Park,274.0,1393.0,31.0,16.1,82.0,1.8,11963
Ashbury,116.0,915.0,20.0,11.0,87.1,1.9,10093
Burwood (NSW),610.0,4483.0,192.0,11.5,84.8,3.6,10718
Croydon (NSW),437.0,2949.0,80.0,12.6,85.1,2.3,11134
Strathfield (NSW),737.0,6937.0,360.0,9.2,86.3,4.5,13675
Croydon Park (NSW),577.0,3179.0,95.0,15.0,82.5,2.5,11135
Enfield (NSW),150.0,821.0,21.0,15.1,82.8,2.1,11421
Burwood Heights,32.0,248.0,7.0,11.1,86.4,2.4,10719
Haberfield,357.0,1762.0,50.0,16.5,81.2,2.3,11828
Homebush West,229.0,2379.0,109.0,8.4,87.6,4.0,11930
Homebush (NSW),185.0,2000.0,69.0,8.2,88.7,3.1,11929
Strathfield South,141.0,1007.0,14.0,12.1,86.7,1.2,13676
Chatswood,660.0,8004.0,223.0,7.4,90.1,2.5,10892
North Willoughby,133.0,1315.0,26.0,9.0,89.2,1.8,13016
Willoughby (NSW),200.0,2003.0,45.0,8.9,89.1,2.0,14303
Artarmon,287.0,3238.0,63.0,8.0,90.2,1.8,10090
Roseville,142.0,3025.0,46.0,4.4,94.1,1.4,13412
Lane Cove North,322.0,4157.0,90.0,7.0,91.0,2.0,12267
Chatswood West,24.0,450.0,15.0,4.9,92.0,3.1,10893
Lane Cove West,78.0,838.0,16.0,8.4,89.9,1.7,12268
Lane Cove,348.0,3834.0,85.0,8.2,89.9,2.0,12266
Riverview (NSW),44.0,885.0,8.0,4.7,94.5,0.9,13370
Greenwich,118.0,1927.0,30.0,5.7,92.9,1.4,11770
Northwood (NSW),8.0,276.0,5.0,2.8,95.5,1.7,13024
Longueville,25.0,628.0,5.0,3.8,95.4,0.8,12385
Linley Point,3.0,108.0,5.0,2.6,93.1,4.3,12341
St Leonards (NSW),90.0,2375.0,44.0,3.6,94.7,1.8,13642
Naremburn,140.0,2045.0,43.0,6.3,91.8,1.9,12898
Cammeray,179.0,2753.0,52.0,6.0,92.3,1.7,10778
Castle Cove,38.0,787.0,15.0,4.5,93.7,1.8,10845
Castlecrag,28.0,879.0,12.0,3.0,95.6,1.3,10849
Northbridge (NSW),111.0,1883.0,22.0,5.5,93.4,1.1,13022
Middle Cove,22.0,401.0,7.0,5.1,93.3,1.6,12602
Willoughby East,30.0,514.0,4.0,5.5,93.8,0.7,14304
Hornsby Heights,94.0,1890.0,27.0,4.7,94.0,1.3,11937
Mount Colah,147.0,2074.0,37.0,6.5,91.9,1.6,12750
Asquith,95.0,986.0,15.0,8.7,90.0,1.4,10103
Hornsby,765.0,7226.0,171.0,9.4,88.5,2.1,11936
Mount Kuring-Gai,37.0,498.0,14.0,6.7,90.7,2.6,12772
Cowan,15.0,192.0,3.0,7.1,91.4,1.4,11097
Berowra,68.0,1406.0,18.0,4.6,94.2,1.2,10308
Brooklyn (NSW),21.0,224.0,23.0,7.8,83.6,8.6,10599
Berowra Heights,105.0,1592.0,21.0,6.1,92.7,1.2,10310
Dangar Island,7.0,104.0,3.0,6.1,91.2,2.6,11199
Normanhurst,155.0,1522.0,34.0,9.1,89.0,2.0,12976
Thornleigh,162.0,2476.0,54.0,6.0,92.0,2.0,13850
Westleigh,46.0,1378.0,21.0,3.2,95.4,1.5,14260
Wahroonga,318.0,5062.0,70.0,5.8,92.9,1.3,14085
Waitara,211.0,2054.0,51.0,9.1,88.7,2.2,14086
East Killara,34.0,832.0,20.0,3.8,93.9,2.3,11355
Killara (NSW),186.0,3266.0,49.0,5.3,93.3,1.4,12129
Lindfield,232.0,3049.0,51.0,7.0,91.5,1.5,12339
Gordon (NSW),125.0,2398.0,34.0,4.9,93.8,1.3,11718
East Lindfield,64.0,1079.0,23.0,5.5,92.5,2.0,11357
Roseville Chase,21.0,472.0,7.0,4.2,94.4,1.4,13413
Pymble,124.0,3273.0,62.0,3.6,94.6,1.8,13281
West Pymble,96.0,1522.0,23.0,5.9,92.7,1.4,14250
St Ives (NSW),314.0,5442.0,77.0,5.4,93.3,1.3,13639
St Ives Chase,35.0,929.0,11.0,3.6,95.3,1.1,13640
Turramurra,251.0,3714.0,62.0,6.2,92.2,1.5,13980
South Turramurra,56.0,904.0,11.0,5.8,93.1,1.1,13598
North Turramurra,158.0,1265.0,43.0,10.8,86.3,2.9,13013
Warrawee,33.0,925.0,14.0,3.4,95.2,1.4,14165
North Wahroonga,25.0,619.0,7.0,3.8,95.1,1.1,13015
Cremorne Point,85.0,943.0,21.0,8.1,89.9,2.0,11113
Cremorne (NSW),318.0,4471.0,87.0,6.5,91.7,1.8,11112
Neutral Bay,340.0,4213.0,70.0,7.4,91.1,1.5,12934
Crows Nest (NSW),136.0,1915.0,28.0,6.5,92.1,1.3,11131
Wollstonecraft,212.0,3423.0,74.0,5.7,92.3,2.0,14359
Waverton,92.0,1237.0,21.0,6.8,91.6,1.6,14202
North Sydney,206.0,3093.0,65.0,6.1,91.9,1.9,13010
