,Internet not accessed from dwelling,Internet accessed from dwelling,Not stated,Internet not accessed from dwelling (%),Internet accessed from dwelling (%),Not stated (%),SSC_CODE
Lithgow,653.0,1522.0,87.0,28.9,67.3,3.8,12347
Bowenfels,256.0,468.0,24.0,34.2,62.6,3.2,10529
Rydal,17.0,42.0,3.0,27.4,67.7,4.8,13452
Pottery Estate,21.0,34.0,3.0,36.2,58.6,5.2,13254
Oakey Park,34.0,101.0,3.0,24.6,73.2,2.2,13055
Morts Estate,65.0,166.0,13.0,26.6,68.0,5.3,12732
Hermitage Flat,38.0,112.0,10.0,23.8,70.0,6.2,11895
McKellars Park,13.0,70.0,3.0,15.1,81.4,3.5,12544
South Littleton,26.0,82.0,5.0,23.0,72.6,4.4,13590
Littleton,71.0,253.0,8.0,21.4,76.2,2.4,12360
Vale Of Clwydd,38.0,154.0,8.0,19.0,77.0,4.0,14064
Portland (NSW),218.0,610.0,33.0,25.3,70.8,3.8,13250
Lidsdale,25.0,96.0,0.0,20.7,79.3,0.0,12318
Wallerawang,143.0,514.0,15.0,21.3,76.5,2.2,14114
Little Hartley,12.0,171.0,6.0,6.3,90.5,3.2,12352
Hartley (NSW),19.0,129.0,5.0,12.4,84.3,3.3,11861
Clarence,17.0,54.0,0.0,23.9,76.1,0.0,10919
Glen Davis,18.0,25.0,0.0,41.9,58.1,0.0,11646
Cullen Bullen,34.0,47.0,3.0,40.5,56.0,3.6,11148
Megalong Valley,4.0,44.0,4.0,7.7,84.6,7.7,12557
Kanimbla (NSW),3.0,52.0,0.0,5.5,94.5,0.0,12065
Capertee,20.0,40.0,0.0,33.3,66.7,0.0,10802
Running Stream,13.0,38.0,0.0,25.5,74.5,0.0,13441
Mudgee,845.0,3004.0,137.0,21.2,75.4,3.4,12812
Putta Bucca,7.0,60.0,0.0,10.4,89.6,0.0,13278
Bombira,13.0,105.0,3.0,10.7,86.8,2.5,10457
Burrundulla,4.0,33.0,0.0,10.8,89.2,0.0,10717
Spring Flat,6.0,61.0,0.0,9.0,91.0,0.0,13613
Kandos,199.0,346.0,29.0,34.7,60.3,5.1,12057
Rylstone,95.0,282.0,10.0,24.5,72.9,2.6,13457
Ilford,21.0,40.0,3.0,32.8,62.5,4.7,11971
Clandulla,15.0,46.0,0.0,24.6,75.4,0.0,10916
Charbon,22.0,32.0,0.0,40.7,59.3,0.0,10883
Lue,14.0,53.0,3.0,20.0,75.7,4.3,12420
Gulgong,215.0,661.0,34.0,23.6,72.6,3.7,11794
Dunedoo,145.0,285.0,5.0,33.3,65.5,1.1,11316
Leadville,20.0,25.0,4.0,40.8,51.0,8.2,12290
Cassilis (NSW),23.0,89.0,9.0,19.0,73.6,7.4,10844
Tallawang,10.0,39.0,3.0,19.2,75.0,5.8,13731
Stubbo,14.0,61.0,3.0,17.9,78.2,3.8,13682
Cope,5.0,24.0,3.0,15.6,75.0,9.4,11057
Yarrawonga (NSW),33.0,97.0,8.0,23.9,70.3,5.8,14486
Piambong,5.0,40.0,0.0,11.1,88.9,0.0,13197
Cooks Gap,42.0,136.0,5.0,23.0,74.3,2.7,11018
Frog Rock,13.0,40.0,0.0,24.5,75.5,0.0,11570
Cooyal,11.0,29.0,0.0,27.5,72.5,0.0,11055
St Fillans,15.0,71.0,4.0,16.7,78.9,4.4,13634
Eurunderee,9.0,51.0,0.0,15.0,85.0,0.0,11467
Budgee Budgee (NSW),8.0,56.0,3.0,11.9,83.6,4.5,10641
Kains Flat,12.0,49.0,3.0,18.8,76.6,4.7,12049
Menah,7.0,42.0,3.0,13.5,80.8,5.8,12566
Grattai,28.0,92.0,0.0,23.3,76.7,0.0,11741
Hargraves,37.0,62.0,3.0,36.3,60.8,2.9,11854
Windeyer (NSW),22.0,46.0,14.0,26.8,56.1,17.1,14322
Bocoble,15.0,35.0,0.0,30.0,70.0,0.0,10432
Mount Frome,7.0,34.0,0.0,17.1,82.9,0.0,12760
Buckaroo,5.0,39.0,0.0,11.4,88.6,0.0,10630
Blayney,290.0,887.0,75.0,23.2,70.8,6.0,10410
Millthorpe,49.0,368.0,6.0,11.6,87.0,1.4,12623
Carcoar,34.0,81.0,3.0,28.8,68.6,2.5,10808
Lyndhurst (Blayney - NSW),35.0,105.0,7.0,23.8,71.4,4.8,12426
Forest Reefs,14.0,142.0,7.0,8.6,87.1,4.3,11547
Neville,22.0,72.0,5.0,22.2,72.7,5.1,12937
Barry (Blayney - NSW),20.0,38.0,0.0,34.5,65.5,0.0,10218
Newbridge (NSW),18.0,53.0,6.0,23.4,68.8,7.8,12948
Orange,2802.0,10695.0,476.0,20.1,76.5,3.4,13092
Clifton Grove,25.0,250.0,0.0,9.1,90.9,0.0,10934
Cumnock,48.0,118.0,7.0,27.7,68.2,4.0,11159
Cudal,44.0,148.0,10.0,21.8,73.3,5.0,11140
Molong,208.0,682.0,30.0,22.6,74.1,3.3,12671
Manildra,83.0,191.0,11.0,29.1,67.0,3.9,12473
Cargo,50.0,151.0,5.0,24.3,73.3,2.4,10813
Spring Terrace,6.0,35.0,0.0,14.6,85.4,0.0,13620
Springside (NSW),11.0,93.0,4.0,10.2,86.1,3.7,13626
Spring Hill (Cabonne - NSW),18.0,131.0,10.0,11.3,82.4,6.3,13615
Guyong,3.0,30.0,0.0,9.1,90.9,0.0,11821
Emu Swamp,3.0,44.0,0.0,6.4,93.6,0.0,11419
Lewis Ponds,12.0,32.0,0.0,27.3,72.7,0.0,12312
Lucknow (NSW),16.0,84.0,4.0,15.4,80.8,3.8,12418
Spring Creek (NSW),11.0,37.0,3.0,21.6,72.5,5.9,13611
Huntley (Orange - NSW),11.0,46.0,0.0,19.3,80.7,0.0,11958
Canobolas,23.0,146.0,0.0,13.6,86.4,0.0,10793
Clergate,8.0,59.0,0.0,11.9,88.1,0.0,10929
Summer Hill Creek,7.0,58.0,0.0,10.8,89.2,0.0,13688
Mullion Creek,16.0,148.0,0.0,9.8,90.2,0.0,12826
Nashdale,18.0,115.0,0.0,13.5,86.5,0.0,12913
Windera (NSW),3.0,78.0,0.0,3.7,96.3,0.0,14319
Lidster,9.0,87.0,3.0,9.1,87.9,3.0,12319
Borenore,12.0,126.0,3.0,8.5,89.4,2.1,10513
Yeoval,44.0,102.0,9.0,28.4,65.8,5.8,14507
Grafton,1030.0,2833.0,138.0,25.7,70.8,3.4,11733
Rushforth,14.0,67.0,7.0,15.9,76.1,8.0,13446
Great Marlow,12.0,59.0,0.0,16.9,83.1,0.0,11745
South Grafton,648.0,1593.0,77.0,28.0,68.7,3.3,13582
Junction Hill,93.0,431.0,8.0,17.5,81.0,1.5,12045
Carrs Creek,12.0,32.0,3.0,25.5,68.1,6.4,10834
Tucabia,22.0,117.0,7.0,15.1,80.1,4.8,13945
Ulmarra,80.0,204.0,6.0,27.6,70.3,2.1,14004
Ramornie,18.0,49.0,4.0,25.4,69.0,5.6,13308
Nymboida,33.0,81.0,0.0,28.9,71.1,0.0,13048
Blaxlands Creek,8.0,39.0,0.0,17.0,83.0,0.0,10408
Glenreagh,52.0,228.0,11.0,17.9,78.4,3.8,11675
Wells Crossing,19.0,44.0,0.0,30.2,69.8,0.0,14223
Kungala,11.0,47.0,0.0,19.0,81.0,0.0,12212
Wooli,48.0,138.0,11.0,24.4,70.1,5.6,14403
Halfway Creek,18.0,62.0,3.0,21.7,74.7,3.6,11831
Copmanhurst,38.0,83.0,3.0,30.6,66.9,2.4,11060
Whiteman Creek,11.0,41.0,6.0,19.0,70.7,10.3,14277
The Whiteman,6.0,48.0,0.0,11.1,88.9,0.0,13843
Waterview Heights,66.0,394.0,8.0,14.1,84.2,1.7,14186
Lawrence (NSW),91.0,296.0,21.0,22.3,72.5,5.1,12288
Eatonsville,13.0,64.0,4.0,16.0,79.0,4.9,11370
Seelands,23.0,110.0,0.0,17.3,82.7,0.0,13515
Lower Southgate,8.0,36.0,3.0,17.0,76.6,6.4,12413
Ashby Heights,16.0,67.0,4.0,18.4,77.0,4.6,10095
Ashby (NSW),17.0,119.0,0.0,12.5,87.5,0.0,10094
South Arm (Clarence Valley - NSW),16.0,65.0,0.0,19.8,80.2,0.0,13574
Woodford Island,20.0,63.0,0.0,24.1,75.9,0.0,14384
Brushgrove,14.0,58.0,4.0,18.4,76.3,5.3,10622
Elland,16.0,96.0,3.0,13.9,83.5,2.6,11399
Coutts Crossing,70.0,286.0,9.0,19.2,78.4,2.5,11094
Kremnos,23.0,50.0,0.0,31.5,68.5,0.0,12204
Lanitza,29.0,77.0,3.0,26.6,70.6,2.8,12270
Braunstone,20.0,75.0,3.0,20.4,76.5,3.1,10550
Glenugie,16.0,55.0,3.0,21.6,74.3,4.1,11681
Clarenza,22.0,149.0,5.0,12.5,84.7,2.8,10922
Swan Creek (NSW),6.0,29.0,0.0,17.1,82.9,0.0,13706
Minnie Water,26.0,75.0,0.0,25.7,74.3,0.0,12640
Tyndale,14.0,56.0,0.0,20.0,80.0,0.0,13997
Ilarwill,19.0,73.0,0.0,20.7,79.3,0.0,11970
Yamba (NSW),552.0,1984.0,94.0,21.0,75.4,3.6,14458
Gulmarrad,68.0,508.0,12.0,11.6,86.4,2.0,11795
Angourie,10.0,79.0,0.0,11.2,88.8,0.0,10059
Brooms Head,42.0,66.0,0.0,38.9,61.1,0.0,10603
Wooloweyah,7.0,142.0,9.0,4.4,89.9,5.7,14411
Woombah,72.0,268.0,9.0,20.6,76.8,2.6,14414
Maclean,295.0,730.0,40.0,27.7,68.5,3.8,12431
Iluka (NSW),247.0,535.0,24.0,30.6,66.4,3.0,11975
Harwood,31.0,83.0,5.0,26.1,69.7,4.2,11865
Chatsworth (NSW),20.0,41.0,0.0,32.8,67.2,0.0,10894
Townsend,57.0,269.0,13.0,16.8,79.4,3.8,13928
Palmers Channel,5.0,41.0,0.0,10.9,89.1,0.0,13135
James Creek,7.0,63.0,0.0,10.0,90.0,0.0,11999
Palmers Island,27.0,131.0,3.0,16.8,81.4,1.9,13136
Bellingen,182.0,1192.0,36.0,12.9,84.5,2.6,10273
Brierfield,20.0,98.0,3.0,16.5,81.0,2.5,10568
Fernmount,21.0,113.0,6.0,15.0,80.7,4.3,11509
Darkwood,11.0,58.0,0.0,15.9,84.1,0.0,11210
Thora,22.0,90.0,4.0,19.0,77.6,3.4,13849
Gleniffer,23.0,128.0,9.0,14.4,80.0,5.6,11668
Valery,10.0,44.0,0.0,18.5,81.5,0.0,14066
Kalang,5.0,75.0,3.0,6.0,90.4,3.6,12050
Coffs Harbour,1767.0,7818.0,311.0,17.9,79.0,3.1,10959
North Boambee Valley,102.0,563.0,18.0,14.9,82.4,2.6,12983
Coramba,32.0,243.0,9.0,11.3,85.6,3.2,11065
Nana Glen,49.0,312.0,5.0,13.4,85.2,1.4,12889
Upper Orara,32.0,222.0,10.0,12.1,84.1,3.8,14041
Bucca (NSW),30.0,144.0,9.0,16.4,78.7,4.9,10625
Karangi,25.0,151.0,0.0,14.2,85.8,0.0,12072
Megan,12.0,45.0,0.0,21.1,78.9,0.0,12558
Lowanna,29.0,95.0,0.0,23.4,76.6,0.0,12398
Dorrigo,145.0,360.0,16.0,27.8,69.1,3.1,11278
Deer Vale,20.0,33.0,0.0,37.7,62.3,0.0,11232
Fernbrook,14.0,42.0,0.0,25.0,75.0,0.0,11506
Bostobrick,8.0,41.0,3.0,15.4,78.8,5.8,10516
North Dorrigo,16.0,61.0,0.0,20.8,79.2,0.0,12989
Sapphire Beach,61.0,692.0,19.0,7.9,89.6,2.5,13491
Emerald Beach,70.0,690.0,23.0,8.9,88.1,2.9,11411
Korora,74.0,791.0,16.0,8.4,89.8,1.8,12197
Moonee Beach,56.0,554.0,11.0,9.0,89.2,1.8,12703
Toormina,546.0,1838.0,81.0,22.2,74.6,3.3,13912
Boambee East,239.0,1636.0,46.0,12.4,85.2,2.4,10422
Boambee,70.0,468.0,17.0,12.6,84.3,3.1,10421
Sawtell,274.0,1207.0,40.0,18.0,79.4,2.6,13498
Bonville,69.0,763.0,10.0,8.2,90.6,1.2,10474
Bundagen,18.0,42.0,5.0,27.7,64.6,7.7,10669
Mylestom,40.0,105.0,3.0,27.0,70.9,2.0,12875
Raleigh,25.0,179.0,3.0,12.1,86.5,1.4,13307
Urunga,298.0,950.0,37.0,23.2,73.9,2.9,14061
Repton,24.0,216.0,3.0,9.9,88.9,1.2,13352
Valla,34.0,273.0,0.0,11.1,88.9,0.0,14067
Woolgoolga,430.0,1409.0,102.0,22.2,72.6,5.3,14402
Safety Beach (NSW),28.0,307.0,9.0,8.1,89.2,2.6,13462
Sandy Beach,99.0,664.0,24.0,12.6,84.4,3.0,13479
Upper Corindi,18.0,37.0,3.0,31.0,63.8,5.2,14020
Corindi Beach,75.0,482.0,20.0,13.0,83.5,3.5,11073
Red Rock,29.0,136.0,6.0,17.0,79.5,3.5,13334
Arrawarra,58.0,186.0,16.0,22.3,71.5,6.2,10088
Arrawarra Headland,27.0,169.0,8.0,13.2,82.8,3.9,10089
Mullaway,20.0,166.0,5.0,10.5,86.9,2.6,12822
Bourke,196.0,377.0,35.0,32.2,62.0,5.8,10522
Wanaaring,4.0,27.0,0.0,12.9,87.1,0.0,14126
North Bourke,21.0,65.0,3.0,23.6,73.0,3.4,12985
Enngonia,15.0,22.0,3.0,37.5,55.0,7.5,11426
Brewarrina,149.0,192.0,32.0,39.9,51.5,8.6,10563
Cobar,329.0,1019.0,63.0,23.3,72.2,4.5,10949
Coonamble,333.0,560.0,57.0,35.1,58.9,6.0,11044
Gulargambone,96.0,110.0,16.0,43.2,49.5,7.2,11792
Quambone,23.0,41.0,0.0,35.9,64.1,0.0,13287
Nyngan,246.0,529.0,34.0,30.4,65.4,4.2,13049
Nevertire,15.0,48.0,0.0,23.8,76.2,0.0,12936
Warren,197.0,329.0,29.0,35.5,59.3,5.2,14171
Hermidale,9.0,29.0,0.0,23.7,76.3,0.0,11894
Ravenswood (NSW),66.0,99.0,4.0,39.1,58.6,2.4,13321
Cumborah,29.0,55.0,10.0,30.9,58.5,10.6,11158
Goodooga,44.0,44.0,3.0,48.4,48.4,3.3,11702
Carinda,16.0,50.0,3.0,23.2,72.5,4.3,10814
Pilliga,27.0,39.0,6.0,37.5,54.2,8.3,13205
Come By Chance,11.0,34.0,0.0,24.4,75.6,0.0,10993
Walgett,269.0,373.0,36.0,39.7,55.0,5.3,14096
Burren Junction,37.0,65.0,3.0,35.2,61.9,2.9,10710
Lightning Ridge,359.0,567.0,69.0,36.1,57.0,6.9,12320
Collarenebri,87.0,133.0,8.0,38.2,58.3,3.5,10969
Rowena,13.0,42.0,0.0,23.6,76.4,0.0,13431
Broken Hill,1930.0,4999.0,286.0,26.7,69.3,4.0,10592
White Cliffs,11.0,39.0,4.0,20.4,72.2,7.4,14274
Menindee,76.0,112.0,15.0,37.4,55.2,7.4,12571
Wilcannia,109.0,107.0,4.0,49.5,48.6,1.8,14290
Tibooburra,14.0,39.0,5.0,24.1,67.2,8.6,13860
Ivanhoe (NSW),28.0,57.0,9.0,29.8,60.6,9.6,11991
Baradine,110.0,200.0,8.0,34.6,62.9,2.5,10190
Coonabarabran,354.0,849.0,40.0,28.5,68.3,3.2,11043
Binnaway,89.0,151.0,15.0,34.9,59.2,5.9,10372
Mendooran,71.0,144.0,9.0,31.7,64.3,4.0,12570
Coolah,110.0,328.0,13.0,24.4,72.7,2.9,11024
Bugaldie,27.0,30.0,5.0,43.5,48.4,8.1,10646
Ulamambri,19.0,53.0,0.0,26.4,73.6,0.0,14001
Tambar Springs,23.0,45.0,3.0,32.4,63.4,4.2,13743
Dubbo,2684.0,10710.0,383.0,19.5,77.7,2.8,11296
Terramungamine,7.0,77.0,0.0,8.3,91.7,0.0,13801
Brocklehurst,22.0,91.0,3.0,19.0,78.4,2.6,10583
Wongarbon,37.0,195.0,13.0,15.1,79.6,5.3,14373
Elong Elong,16.0,38.0,0.0,29.6,70.4,0.0,11406
Gollan,13.0,26.0,0.0,33.3,66.7,0.0,11694
Eumungerie,37.0,80.0,3.0,30.8,66.7,2.5,11456
Minore,12.0,38.0,0.0,24.0,76.0,0.0,12641
Ballimore,14.0,45.0,3.0,22.6,72.6,4.8,10161
Gilgandra,420.0,725.0,32.0,35.7,61.6,2.7,11619
Collie (NSW),13.0,56.0,0.0,18.8,81.2,0.0,10975
Armatree,5.0,37.0,0.0,11.9,88.1,0.0,10084
Curban,3.0,43.0,0.0,6.5,93.5,0.0,11166
Tooraweenah,32.0,58.0,4.0,34.0,61.7,4.3,13911
Narromine,455.0,1151.0,56.0,27.4,69.3,3.4,12911
Burroway,7.0,29.0,3.0,17.9,74.4,7.7,10715
Trangie,141.0,296.0,25.0,30.5,64.1,5.4,13932
Tomingley,28.0,73.0,3.0,26.9,70.2,2.9,13896
Wellington (NSW),553.0,931.0,62.0,35.8,60.2,4.0,14221
Mumbil,29.0,70.0,6.0,27.6,66.7,5.7,12832
Stuart Town,17.0,60.0,3.0,21.2,75.0,3.8,13680
Euchareena,15.0,43.0,0.0,25.9,74.1,0.0,11452
Neurea,10.0,32.0,0.0,23.8,76.2,0.0,12933
Mount Arthur,10.0,42.0,3.0,18.2,76.4,5.5,12747
Maryvale (NSW),17.0,48.0,3.0,25.0,70.6,4.4,12517
Geurie,52.0,201.0,4.0,20.2,78.2,1.6,11608
Montefiores,53.0,154.0,5.0,25.0,72.6,2.4,12685
Greta (NSW),163.0,791.0,20.0,16.7,81.2,2.1,11778
Lower Belford,17.0,101.0,4.0,13.9,82.8,3.3,12401
Belford,6.0,42.0,0.0,12.5,87.5,0.0,10258
Branxton,110.0,548.0,23.0,16.2,80.5,3.4,10549
Pokolbin,24.0,296.0,7.0,7.3,90.5,2.1,13236
Keinbah,4.0,32.0,0.0,11.1,88.9,0.0,12084
Lovedale,20.0,141.0,0.0,12.4,87.6,0.0,12396
East Branxton,75.0,527.0,16.0,12.1,85.3,2.6,11346
North Rothbury,39.0,255.0,6.0,13.0,85.0,2.0,13004
Leconfield,5.0,48.0,0.0,9.4,90.6,0.0,12291
Cessnock,1368.0,3756.0,188.0,25.8,70.7,3.5,10878
Nulkaba,22.0,188.0,10.0,10.0,85.5,4.5,13031
Aberdare,215.0,686.0,17.0,23.4,74.7,1.9,10006
Kearsley,56.0,212.0,5.0,20.5,77.7,1.8,12080
Bellbird,145.0,542.0,25.0,20.4,76.1,3.5,10268
Bellbird Heights,51.0,229.0,8.0,17.7,79.5,2.8,10269
Ellalong,54.0,289.0,8.0,15.4,82.3,2.3,11398
Kitchener,33.0,118.0,3.0,21.4,76.6,1.9,12174
Abernethy,15.0,70.0,3.0,17.0,79.5,3.4,10011
Mulbring,24.0,170.0,0.0,12.4,87.6,0.0,12813
Millfield,51.0,254.0,11.0,16.1,80.4,3.5,12620
Paxton,74.0,239.0,3.0,23.4,75.6,0.9,13162
Black Hill (NSW),16.0,145.0,3.0,9.8,88.4,1.8,10385
Mount Vincent,7.0,105.0,0.0,6.2,93.8,0.0,12799
Brunkerville,7.0,62.0,0.0,10.1,89.9,0.0,10620
Quorrobolong,14.0,137.0,3.0,9.1,89.0,1.9,13302
Mount View,8.0,26.0,3.0,21.6,70.3,8.1,12798
Paynes Crossing,7.0,21.0,5.0,21.2,63.6,15.2,13163
Laguna,12.0,52.0,3.0,17.9,77.6,4.5,12237
Wollombi,8.0,67.0,3.0,10.3,85.9,3.8,14355
Watagan,9.0,43.0,3.0,16.4,78.2,5.5,14180
Murrays Run,11.0,54.0,0.0,16.9,83.1,0.0,12855
Bucketty,6.0,53.0,5.0,9.4,82.8,7.8,10634
Clarence Town,107.0,565.0,11.0,15.7,82.7,1.6,10920
Dungog,237.0,564.0,31.0,28.5,67.8,3.7,11320
Bendolba,18.0,52.0,3.0,24.7,71.2,4.1,10291
Paterson (NSW),37.0,261.0,3.0,12.3,86.7,1.0,13159
Martins Creek,26.0,99.0,0.0,20.8,79.2,0.0,12511
Torryburn (Dungog - NSW),11.0,44.0,0.0,20.0,80.0,0.0,13920
Vacy,30.0,184.0,3.0,13.8,84.8,1.4,14063
East Gresford,34.0,75.0,3.0,30.4,67.0,2.7,11350
Gresford,24.0,70.0,3.0,24.7,72.2,3.1,11777
Wallarobba,9.0,53.0,3.0,13.8,81.5,4.6,14111
Hilldale,12.0,47.0,4.0,19.0,74.6,6.3,11906
Glen Oak,10.0,90.0,0.0,10.0,90.0,0.0,11652
Glen William,3.0,33.0,3.0,7.7,84.6,7.7,11654
Abermain,181.0,623.0,19.0,22.0,75.7,2.3,10010
Weston (NSW),320.0,948.0,36.0,24.5,72.7,2.8,14262
Kurri Kurri,577.0,1637.0,80.0,25.2,71.4,3.5,12221
Stanford Merthyr,48.0,168.0,4.0,21.8,76.4,1.8,13647
Pelaw Main,102.0,281.0,12.0,25.8,71.1,3.0,13177
Heddon Greta,79.0,590.0,14.0,11.6,86.4,2.0,11888
Neath,61.0,123.0,4.0,32.4,65.4,2.1,12917
Cliftleigh,33.0,192.0,5.0,14.3,83.5,2.2,10932
Sawyers Gully,22.0,130.0,8.0,13.8,81.2,5.0,13499
Hunterview,87.0,872.0,16.0,8.9,89.4,1.6,11955
Redbournberry,6.0,64.0,7.0,7.8,83.1,9.1,13337
Singleton (NSW),455.0,1466.0,45.0,23.1,74.6,2.3,13549
Whittingham,27.0,96.0,4.0,21.3,75.6,3.1,14279
Gowrie (Singleton - NSW),8.0,90.0,0.0,8.2,91.8,0.0,11729
Glenridding,30.0,66.0,0.0,31.2,68.8,0.0,11676
Singleton Heights,273.0,1318.0,44.0,16.7,80.6,2.7,13550
Wattle Ponds,14.0,305.0,5.0,4.3,94.1,1.5,14193
McDougalls Hill,12.0,47.0,0.0,20.3,79.7,0.0,12541
Darlington (Singleton - NSW),15.0,127.0,0.0,10.6,89.4,0.0,11213
Broke (NSW),13.0,156.0,4.0,7.5,90.2,2.3,10590
Putty,3.0,24.0,3.0,10.0,80.0,10.0,13279
Howes Valley,10.0,18.0,0.0,35.7,64.3,0.0,11948
Bulga (NSW),13.0,94.0,4.0,11.7,84.7,3.6,10651
Jerrys Plains,22.0,79.0,3.0,21.2,76.0,2.9,12021
Bridgman,9.0,58.0,5.0,12.5,80.6,6.9,10567
Mount Olive (Singleton - NSW),9.0,45.0,3.0,15.8,78.9,5.3,12781
Westbrook (NSW),5.0,38.0,0.0,11.6,88.4,0.0,14257
Reedy Creek (NSW),8.0,47.0,0.0,14.5,85.5,0.0,13342
Mitchells Flat,10.0,56.0,0.0,15.2,84.8,0.0,12651
Glendon,5.0,33.0,0.0,13.2,86.8,0.0,11660
Stanhope (NSW),4.0,40.0,0.0,9.1,90.9,0.0,13648
Glendon Brook,14.0,60.0,3.0,18.2,77.9,3.9,11661
Maitland (NSW),169.0,532.0,25.0,23.3,73.3,3.4,12449
South Maitland,46.0,119.0,4.0,27.2,70.4,2.4,13591
Gillieston Heights,132.0,923.0,34.0,12.1,84.8,3.1,11624
Louth Park,14.0,165.0,5.0,7.6,89.7,2.7,12395
Horseshoe Bend,36.0,107.0,4.0,24.5,72.8,2.7,11939
Oakhampton,20.0,38.0,4.0,32.3,61.3,6.5,13056
East Maitland,932.0,3592.0,121.0,20.1,77.3,2.6,11360
Metford,247.0,1410.0,34.0,14.6,83.4,2.0,12592
Tenambit,219.0,854.0,28.0,19.9,77.6,2.5,13787
Raworth,39.0,520.0,5.0,6.9,92.2,0.9,13325
Morpeth,88.0,488.0,11.0,15.0,83.1,1.9,12727
Ashtonfield,121.0,1346.0,19.0,8.1,90.6,1.3,10102
Chisholm (NSW),12.0,446.0,3.0,2.6,96.7,0.7,10909
Largs,82.0,540.0,8.0,13.0,85.7,1.3,12278
Bolwarra Heights,74.0,857.0,17.0,7.8,90.4,1.8,10451
Lorn,80.0,431.0,12.0,15.3,82.4,2.3,12389
Bolwarra (NSW),33.0,314.0,3.0,9.4,89.7,0.9,10450
Woodville (NSW),14.0,132.0,3.0,9.4,88.6,2.0,14398
Maitland Vale,0.0,40.0,3.0,0.0,93.0,7.0,12451
Rutherford,821.0,3293.0,214.0,19.0,76.1,4.9,13449
Aberglasslyn,130.0,1577.0,25.0,7.5,91.1,1.4,10009
Luskintyre,4.0,51.0,0.0,7.3,92.7,0.0,12423
Lochinvar,31.0,233.0,4.0,11.6,86.9,1.5,12368
Windella,6.0,206.0,3.0,2.8,95.8,1.4,14317
Telarah,249.0,662.0,26.0,26.6,70.7,2.8,13780
Farley,4.0,69.0,3.0,5.3,90.8,3.9,11490
Bishops Bridge,13.0,64.0,0.0,16.9,83.1,0.0,10380
Thornton (NSW),290.0,2373.0,40.0,10.7,87.8,1.5,13851
Millers Forest,20.0,95.0,3.0,16.9,80.5,2.5,12618
Berry Park,7.0,30.0,0.0,18.9,81.1,0.0,10325
Anna Bay,214.0,1105.0,45.0,15.7,81.0,3.3,10060
Boat Harbour (Port Stephens - NSW),32.0,298.0,7.0,9.5,88.4,2.1,10425
Bobs Farm,27.0,114.0,11.0,17.8,75.0,7.2,10429
One Mile (NSW),31.0,117.0,3.0,20.5,77.5,2.0,13085
Lemon Tree Passage,183.0,837.0,33.0,17.4,79.5,3.1,12300
Mallabula,50.0,287.0,14.0,14.2,81.8,4.0,12455
Tanilba Bay,219.0,939.0,36.0,18.3,78.6,3.0,13748
Salamander Bay,355.0,1541.0,54.0,18.2,79.0,2.8,13463
Soldiers Point,97.0,476.0,19.0,16.4,80.4,3.2,13570
Corlette,217.0,1747.0,40.0,10.8,87.2,2.0,11075
Taylors Beach (NSW),3.0,37.0,3.0,7.0,86.0,7.0,13777
Nelson Bay (NSW),423.0,1854.0,65.0,18.1,79.2,2.8,12923
Fingal Bay,155.0,464.0,18.0,24.3,72.8,2.8,11518
Shoal Bay (NSW),160.0,492.0,23.0,23.7,72.9,3.4,13539
Raymond Terrace,966.0,3502.0,150.0,20.9,75.8,3.2,13327
Tomago,50.0,79.0,3.0,37.9,59.8,2.3,13889
Heatherbrae,23.0,97.0,115.0,9.8,41.3,48.9,11884
Duns Creek,24.0,148.0,0.0,14.0,86.0,0.0,11326
Seaham,22.0,282.0,7.0,7.1,90.7,2.3,13510
Wallalong,21.0,283.0,3.0,6.8,92.2,1.0,14104
Brandy Hill,16.0,195.0,6.0,7.4,89.9,2.8,10548
Hinton,25.0,133.0,6.0,15.2,81.1,3.7,11916
Butterwick,4.0,47.0,0.0,7.8,92.2,0.0,10725
East Seaham,18.0,99.0,0.0,15.4,84.6,0.0,11362
Nelsons Plains,13.0,99.0,0.0,11.6,88.4,0.0,12924
Tea Gardens,189.0,1043.0,30.0,15.0,82.6,2.4,13779
North Arm Cove,23.0,157.0,11.0,12.0,82.2,5.8,12979
Pindimar,17.0,114.0,4.0,12.6,84.4,3.0,13211
Hawks Nest,123.0,383.0,21.0,23.3,72.7,4.0,11873
Karuah,154.0,378.0,19.0,27.9,68.6,3.4,12076
Medowie,241.0,2715.0,56.0,8.0,90.1,1.9,12554
Salt Ash,49.0,307.0,17.0,13.1,82.3,4.6,13467
Williamtown,85.0,192.0,15.0,29.1,65.8,5.1,14299
Twelve Mile Creek,23.0,42.0,3.0,33.8,61.8,4.4,13988
Swan Bay (Port Stephens - NSW),23.0,83.0,3.0,21.1,76.1,2.8,13704
Muswellbrook,883.0,3382.0,130.0,20.1,77.0,3.0,12868
Denman,168.0,482.0,39.0,24.4,70.0,5.7,11241
Gungal,25.0,54.0,3.0,30.5,65.9,3.7,11810
Castle Rock,8.0,36.0,4.0,16.7,75.0,8.3,10848
Aberdeen (NSW),184.0,559.0,18.0,24.2,73.5,2.4,10007
Wybong,12.0,28.0,0.0,30.0,70.0,0.0,14436
Sandy Hollow,10.0,43.0,5.0,17.2,74.1,8.6,13486
Muscle Creek,6.0,86.0,3.0,6.3,90.5,3.2,12867
McCullys Gap,11.0,68.0,0.0,13.9,86.1,0.0,12540
