,Italian,Assyrian,Arabic,Croatian,Spanish,&nbsp;,English only spoken at home,Greek,Cantonese,Mandarin,Tagalog,Hindi,Filipino,Punjabi,Macedonian,Serbian,German,Samoan,Tongan,Polish,Maltese,Dutch,Indonesian,Thai,Korean,Japanese,Portuguese,Vietnamese,Turkish,Dari,Latvian,French,Auslan,Afrikaans,Danish,Swedish,Kannada,Armenian,Tamil,Maori (Cook Island,Hungarian,Hebrew,Russian,Norwegian,Persian,Bengali,Tswana,Khmer,Dinka,Lao,Czech,Ukrainian,Burmese,Maori (New Zealand,Teochew,Bosnian,Urdu,Sinhalese,Slovene,Malay,Zulu,Estonian,Swahili,Motu,Gujarati,"African Languages, nec",Finnish,Marathi,Albanian,"Serbo-Croatian/Yugoslavian, so described",Tokelauan,Romanian,Fijian,Hmong,Nepali,Irish,Karen,Italian (%),Assyrian (%),Arabic (%),Croatian (%),Spanish (%),&nbsp; (%),English only spoken at home (%),Greek (%),Cantonese (%),Mandarin (%),Tagalog (%),Hindi (%),Filipino (%),Punjabi (%),Macedonian (%),Serbian (%),German (%),Samoan (%),Tongan (%),Polish (%),Maltese (%),Dutch (%),Indonesian (%),Thai (%),Korean (%),Japanese (%),Portuguese (%),Vietnamese (%),Turkish (%),Dari (%),Latvian (%),French (%),Auslan (%),Afrikaans (%),Danish (%),Swedish (%),Kannada (%),Armenian (%),Tamil (%),Maori (Cook Island (%),Hungarian (%),Hebrew (%),Russian (%),Norwegian (%),Persian (%),Bengali (%),Tswana (%),Khmer (%),Dinka (%),Lao (%),Czech (%),Ukrainian (%),Burmese (%),Maori (New Zealand (%),Teochew (%),Bosnian (%),Urdu (%),Sinhalese (%),Slovene (%),Malay (%),Zulu (%),Estonian (%),Swahili (%),Motu (%),Gujarati (%),"African Languages, nec (%)",Finnish (%),Marathi (%),Albanian (%),"Serbo-Croatian/Yugoslavian, so described (%)",Tokelauan (%),Romanian (%),Fijian (%),Hmong (%),Nepali (%),Irish (%),Karen (%)
Cromer,217,,,,,&nbsp;,"6,567",,34,44,,,,,,58,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,&nbsp;,86.0,,0.4,0.6,,,,,,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cronulla,114,,,,90,&nbsp;,"13,926",136,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.5,&nbsp;,83.1,0.8,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croudace Bay,,,,,,&nbsp;,385,,,,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,97.7,,,,,,,,,,0.8,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crows Nest,21,,,,,&nbsp;,"2,379",25,46,35,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,&nbsp;,75.4,0.8,1.5,1.1,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croydon,799,,466,,,&nbsp;,"4,822",400,530,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,4.8,,,&nbsp;,50.0,4.1,5.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croydon Park,"1,139",,856,,,&nbsp;,"4,960",395,421,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,,8.2,,,&nbsp;,47.4,3.8,4.0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curl Curl,17,,,,8,&nbsp;,"1,917",,,,,,,,,,8,,,,,16,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.4,&nbsp;,90.6,,,,,,,,,,0.4,,,,,0.8,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currans Hill,34,,48,30,61,&nbsp;,"4,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,1.0,0.6,1.2,&nbsp;,87.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daceyville,20,,23,,33,&nbsp;,800,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,1.9,,2.8,&nbsp;,67.3,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daleys Point,4,,3,,5,&nbsp;,490,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,0.8,,0.6,,0.9,&nbsp;,92.8,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,
Dapto,89,,,,66,&nbsp;,"9,433",,,,,,,,93,,42,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.6,&nbsp;,90.0,,,,,,,,0.9,,0.4,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darling Point,45,,,,,&nbsp;,"2,928",,48,,,,,,,,38,,,,,,,,,,,,,,,25,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,&nbsp;,76.2,,1.2,,,,,,,,1.0,,,,,,,,,,,,,,,0.7,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darlinghurst,97,,,,,&nbsp;,"5,097",,73,73,,,,,,,,,,,,,,94,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,&nbsp;,50.3,,0.7,0.7,,,,,,,,,,,,,,0.9,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darlington,,,,,,&nbsp;,"1,295",20,57,115,,,,,,,,,,,,,,,23,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,59.3,0.9,2.6,5.3,,,,,,,,,,,,,,,1.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davidson,22,,,,,&nbsp;,"2,123",,21,,,,,,,,17,,,,,,,,,17,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,&nbsp;,87.6,,0.9,,,,,,,,0.7,,,,,,,,,0.7,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davistown,5,,,,3,&nbsp;,"2,197",,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,0.2,,,,0.1,&nbsp;,95.6,,,,,,,,,,,,,,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,
Dawes Point,,,,,11,&nbsp;,358,9,35,17,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,&nbsp;,46.8,1.2,4.6,2.2,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Park,,,195,,,&nbsp;,"1,801",,,,144,,88,,,,,,,,,,,,,,,,84,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,&nbsp;,57.9,,,,4.6,,2.8,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dee Why,359,,,,,&nbsp;,"11,773",,232,417,184,,,,,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,&nbsp;,67.4,,1.3,2.4,1.1,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denistone,41,,63,,,&nbsp;,"2,428",,230,144,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,1.8,,,&nbsp;,70.7,,6.7,4.2,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denistone East,62,,,,,&nbsp;,"1,317",,166,96,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,&nbsp;,64.8,,8.2,4.7,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denistone West,,,10,,,&nbsp;,541,16,51,32,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,&nbsp;,71.5,2.1,6.7,4.2,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dharruk,,,188,,50,&nbsp;,"1,766",,,,,88,,,,,,98,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,1.8,&nbsp;,63.0,,,,,3.1,,,,,,3.5,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolans Bay,16,,,,7,&nbsp;,"1,107",39,,,,,,,,,4,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,0.6,&nbsp;,90.1,3.2,,,,,,,,,0.3,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolls Point,37,,62,,57,&nbsp;,"1,004",153,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,3.7,,3.4,&nbsp;,60.4,9.2,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doonside,,,514,,,&nbsp;,"7,821",,,,488,457,298,,,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,&nbsp;,60.0,,,,3.7,3.5,2.3,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Bay,57,,,,,&nbsp;,"3,617",53,51,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,&nbsp;,76.9,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dover Heights,62,,,,,&nbsp;,"2,828",116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,91,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,&nbsp;,72.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,2.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drummoyne,439,,,,,&nbsp;,"7,670",387,168,100,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,&nbsp;,73.8,3.7,1.6,1.0,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dudley,6,,,,11,&nbsp;,"2,087",,,,,,,,,,21,,,,,,,,,,,8,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,0.5,&nbsp;,93.2,,,,,,,,,,0.9,,,,,,,,,,,0.4,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dulwich Hill,291,,517,,,&nbsp;,"6,538",996,,,,,,,,,,,,,,,,,,,375,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,4.2,,,&nbsp;,53.6,8.2,,,,,,,,,,,,,,,,,,,3.1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundas,,,266,,111,&nbsp;,"5,388",,749,746,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,1.1,&nbsp;,55.7,,7.7,7.7,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundas Valley,64,,295,,,&nbsp;,"3,509",,647,332,,,,,,,,,,,,,,,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.7,,,&nbsp;,56.1,,10.4,5.3,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dural,128,,172,,,&nbsp;,"5,517",49,203,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,2.4,,,&nbsp;,78.2,0.7,2.9,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Vale,,,262,,127,&nbsp;,"3,862",,,,114,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,2.3,&nbsp;,69.1,,,,2.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earlwood,874,,"1,195",,,&nbsp;,"6,495","3,868",425,,,,,,,,,,,,,,,,,,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,7.2,,,&nbsp;,39.2,23.4,2.6,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Gosford,,,,,27,&nbsp;,"3,039",,32,,,,,,,,,,,,,,14,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,&nbsp;,86.5,,0.9,,,,,,,,,,,,,,0.4,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,
East Hills,28,,107,,,&nbsp;,"2,019",56,41,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,4.2,,,&nbsp;,78.3,2.2,1.6,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Killara,,,,,,&nbsp;,"1,564",29,558,191,,,,,,,,,,,,,,,65,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,54.9,1.0,19.6,6.7,,,,,,,,,,,,,,,2.3,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lindfield,,,,,,&nbsp;,"2,759",,272,113,,,,,,,33,,,,,,,,52,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,76.5,,7.5,3.1,,,,,,,0.9,,,,,,,,1.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Ryde,63,,,,,&nbsp;,"1,724",34,90,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,&nbsp;,76.7,1.5,4.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Creek,,,24,,,&nbsp;,397,,,,,12,12,12,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,&nbsp;,72.7,,,,,2.2,2.2,2.2,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastlakes,,,262,,303,&nbsp;,"2,056",557,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.6,&nbsp;,31.1,8.4,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastwood,248,,,,,&nbsp;,"6,700",,"2,155","1,701",,,,,,,,,,,,,,,952,,,,,,,,,,,,,,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,&nbsp;,46.4,,14.9,11.8,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edensor Park,573,985,490,530,,&nbsp;,"2,890",,,,,,,,,,,,,,,,,,,,,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,10.6,5.3,5.7,,&nbsp;,31.0,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgecliff,20,,,,,&nbsp;,"1,124",,39,19,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,&nbsp;,69.0,,2.4,1.2,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgeworth,19,,,,,&nbsp;,"5,482",,,,,,10,,18,,23,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,&nbsp;,92.8,,,,,,0.2,,0.3,,0.4,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elanora Heights,42,,,,,&nbsp;,"3,470",,12,,,,,,,31,31,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,&nbsp;,91.6,,0.3,,,,,,,0.8,0.8,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elderslie,16,,,,7,&nbsp;,"2,498",,,,,,,,,,,,,,,9,,,,,,7,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.3,&nbsp;,94.3,,,,,,,,,,,,,,,0.3,,,,,,0.3,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleebana,12,,,,,&nbsp;,"5,314",,14,20,,,,,,,16,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,&nbsp;,93.9,,0.2,0.4,,,,,,,0.3,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elermore Vale,37,,,,,&nbsp;,"4,066",,24,,,,,,141,,,,,36,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,&nbsp;,86.0,,0.5,,,,,,3.0,,,,,0.8,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Bay,44,,,,52,&nbsp;,"3,382",,,32,,,,,,,57,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,1.1,&nbsp;,68.4,,,0.6,,,,,,,1.2,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerton,,,47,,,&nbsp;,"1,409",,,,46,37,,,,,,120,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,&nbsp;,63.6,,,,2.1,1.7,,,,,,5.4,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empire Bay,5,,,,6,&nbsp;,"2,230",,,,,,,,,,,,,,4,,,,,,,,,,,4,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.3,&nbsp;,94.0,,,,,,,,,,,,,,0.2,,,,,,,,,,,0.2,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emu Heights,21,,13,,,&nbsp;,"3,130",,,,11,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.4,,,&nbsp;,94.3,,,,0.3,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Emu Plains,27,,33,29,,&nbsp;,"7,090",70,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.4,0.4,,&nbsp;,89.2,0.9,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield,235,,195,,,&nbsp;,"1,080",,146,152,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,,7.6,,,&nbsp;,42.0,,5.7,5.9,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engadine,100,,69,,,&nbsp;,"16,690",76,63,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.4,,,&nbsp;,93.1,0.4,0.4,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enmore,,,,,,&nbsp;,"2,248",156,51,,,,,,,,,,,,,,,40,,,53,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,66.9,4.6,1.5,,,,,,,,,,,,,,,1.2,,,1.6,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epping,,,,,,&nbsp;,"10,849",,"2,199","1,623",,369,,,,,,,,,,,,,"1,098",,,,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,57.2,,11.6,8.6,,1.9,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erina,24,,,,20,&nbsp;,"4,576",17,16,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.4,&nbsp;,92.1,0.3,0.3,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ermington,,,680,,,&nbsp;,"6,513",,372,238,,,,,,,,,,,,,,,241,,,,,,,,,,,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,&nbsp;,63.0,,3.6,2.3,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erskine Park,,,166,80,,&nbsp;,"5,272",,,,171,119,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,1.2,,&nbsp;,76.2,,,,2.5,1.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erskineville,,,,,82,&nbsp;,"4,943",97,114,82,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,&nbsp;,75.4,1.5,1.7,1.3,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eschol Park,20,,95,,73,&nbsp;,"2,036",,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,3.7,,2.8,&nbsp;,78.3,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
