,Real estate agent,State or Territory housing authority,Other landlord type,Landlord type not stated,Real estate agent (%),State or Territory housing authority (%),Other landlord type (%),Landlord type not stated (%)
Forestville,276.0,69.0,147.0,17.0,54.5,13.6,29.1,3.4
Forresters Beach,100.0,0.0,32.0,4.0,74.1,0.0,23.7,3.0
Frenchs Forest,263.0,9.0,176.0,22.0,56.1,1.9,37.5,4.7
Garden Suburb,26.0,0.0,19.0,5.0,55.3,0.0,40.4,10.6
Gateshead,100.0,328.0,70.0,12.0,19.7,64.6,13.8,2.4
Georges Hall,234.0,26.0,107.0,8.0,62.9,7.0,28.8,2.2
Georgetown,148.0,0.0,69.0,8.0,66.4,0.0,30.9,3.6
Girraween,265.0,81.0,83.0,5.0,60.8,18.6,19.0,1.1
Gladesville,978.0,293.0,239.0,33.0,63.3,19.0,15.5,2.1
Glebe,1422.0,1009.0,417.0,46.0,49.1,34.8,14.4,1.6
Glen Alpine,36.0,0.0,12.0,3.0,75.0,0.0,25.0,6.3
Glenbrook,192.0,0.0,92.0,11.0,65.3,0.0,31.3,3.7
Glendale,112.0,95.0,84.0,10.0,37.0,31.4,27.7,3.3
Glendenning,220.0,56.0,63.0,5.0,64.1,16.3,18.4,1.5
Glenfield,283.0,128.0,98.0,11.0,54.5,24.7,18.9,2.1
Glenhaven,99.0,0.0,42.0,0.0,71.2,0.0,30.2,0.0
Glenmore Park,953.0,47.0,314.0,14.0,71.8,3.5,23.7,1.1
Glenning Valley,71.0,0.0,25.0,4.0,71.0,0.0,25.0,4.0
Glenwood,632.0,0.0,151.0,11.0,79.5,0.0,19.0,1.4
Gordon,240.0,0.0,84.0,15.0,70.6,0.0,24.7,4.4
Gorokan,580.0,98.0,236.0,22.0,62.0,10.5,25.2,2.4
Gosford,710.0,97.0,112.0,12.0,76.1,10.4,12.0,1.3
Granville,1476.0,1017.0,594.0,64.0,46.8,32.2,18.8,2.0
Grays Point,37.0,0.0,16.0,0.0,68.5,0.0,29.6,0.0
Green Point (Gosford),233.0,77.0,117.0,9.0,53.3,17.6,26.8,2.1
Green Valley,383.0,147.0,137.0,17.0,56.1,21.5,20.1,2.5
Greenacre,693.0,799.0,417.0,51.0,35.4,40.8,21.3,2.6
Greenfield Park,145.0,34.0,75.0,6.0,55.8,13.1,28.8,2.3
Greenwich,387.0,9.0,129.0,5.0,72.6,1.7,24.2,0.9
Greystanes,591.0,143.0,285.0,38.0,55.9,13.5,27.0,3.6
Guildford,806.0,269.0,268.0,36.0,58.5,19.5,19.4,2.6
Guildford West,175.0,40.0,112.0,0.0,53.8,12.3,34.5,0.0
Gwynneville,230.0,109.0,125.0,13.0,48.1,22.8,26.2,2.7
Gymea,562.0,92.0,171.0,15.0,66.7,10.9,20.3,1.8
Gymea Bay,116.0,4.0,51.0,6.0,66.3,2.3,29.1,3.4
Haberfield,319.0,27.0,99.0,15.0,69.8,5.9,21.7,3.3
Halekulani,108.0,0.0,75.0,11.0,55.7,0.0,38.7,5.7
Hamilton,430.0,46.0,218.0,13.0,60.9,6.5,30.9,1.8
Hamilton East,33.0,10.0,18.0,4.0,48.5,14.7,26.5,5.9
Hamilton North,68.0,3.0,36.0,0.0,64.8,2.9,34.3,0.0
Hamilton South,119.0,553.0,74.0,21.0,15.5,71.8,9.6,2.7
Hammondville,106.0,48.0,49.0,0.0,52.2,23.6,24.1,0.0
Harrington Park,200.0,0.0,46.0,3.0,80.0,0.0,18.4,1.2
Harris Park,1068.0,179.0,320.0,23.0,67.1,11.3,20.1,1.4
Hassall Grove,190.0,8.0,77.0,3.0,68.3,2.9,27.7,1.1
Haymarket,657.0,4.0,144.0,16.0,80.3,0.5,17.6,2.0
Heathcote,104.0,0.0,65.0,7.0,58.8,0.0,36.7,4.0
Hebersham,170.0,335.0,82.0,14.0,28.3,55.7,13.6,2.3
Heckenberg,68.0,255.0,57.0,18.0,17.0,63.8,14.3,4.5
Henley,29.0,0.0,8.0,0.0,78.4,0.0,21.6,0.0
Highfields,23.0,0.0,13.0,3.0,59.0,0.0,33.3,7.7
Hillsborough (Lake Macquarie),8.0,4.0,8.0,0.0,44.4,22.2,44.4,0.0
Hillsdale,723.0,36.0,166.0,19.0,76.7,3.8,17.6,2.0
Hinchinbrook,341.0,59.0,128.0,14.0,62.9,10.9,23.6,2.6
Holmesville,19.0,10.0,35.0,0.0,29.7,15.6,54.7,0.0
Holsworthy,224.0,11.0,155.0,3.0,57.3,2.8,39.6,0.8
Homebush,884.0,35.0,143.0,10.0,82.6,3.3,13.4,0.9
Homebush West,809.0,93.0,97.0,10.0,80.0,9.2,9.6,1.0
Horningsea Park,118.0,0.0,35.0,3.0,74.7,0.0,22.2,1.9
Hornsby,2206.0,216.0,580.0,47.0,72.3,7.1,19.0,1.5
Hornsby Heights,124.0,5.0,57.0,6.0,64.6,2.6,29.7,3.1
Horsley,150.0,11.0,67.0,0.0,64.9,4.8,29.0,0.0
Hoxton Park,129.0,15.0,59.0,3.0,63.2,7.4,28.9,1.5
Hunters Hill,283.0,161.0,130.0,29.0,46.9,26.7,21.5,4.8
Huntleys Point,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hurlstone Park,344.0,27.0,129.0,12.0,67.5,5.3,25.3,2.4
Hurstville,2350.0,202.0,512.0,66.0,75.1,6.5,16.4,2.1
Hurstville Grove,66.0,3.0,22.0,3.0,71.7,3.3,23.9,3.3
Illawong,114.0,0.0,39.0,7.0,71.7,0.0,24.5,4.4
Ingleburn,866.0,268.0,252.0,32.0,61.2,18.9,17.8,2.3
Ingleside,9.0,0.0,12.0,4.0,37.5,0.0,50.0,16.7
Islington,171.0,11.0,81.0,8.0,63.6,4.1,30.1,3.0
Jamisontown,416.0,44.0,98.0,10.0,73.4,7.8,17.3,1.8
Jannali,272.0,200.0,106.0,14.0,45.9,33.8,17.9,2.4
Jesmond,259.0,161.0,135.0,16.0,45.3,28.1,23.6,2.8
Jewells,43.0,0.0,16.0,0.0,69.4,0.0,25.8,0.0
Kahibah,110.0,28.0,47.0,11.0,57.3,14.6,24.5,5.7
Kanahooka,105.0,5.0,71.0,7.0,56.1,2.7,38.0,3.7
Kangaroo Point,3.0,0.0,7.0,0.0,20.0,0.0,46.7,0.0
Kanwal,160.0,42.0,83.0,6.0,55.0,14.4,28.5,2.1
Kareela,28.0,0.0,13.0,0.0,68.3,0.0,31.7,0.0
Kariong,266.0,80.0,68.0,7.0,63.2,19.0,16.2,1.7
Kearns,69.0,3.0,44.0,0.0,60.5,2.6,38.6,0.0
Keiraville,171.0,33.0,123.0,9.0,51.0,9.9,36.7,2.7
Kellyville,549.0,3.0,151.0,8.0,77.3,0.4,21.3,1.1
Kembla Grange,0.0,0.0,12.0,3.0,0.0,0.0,85.7,21.4
Kensington,1531.0,60.0,397.0,39.0,75.5,3.0,19.6,1.9
Kilaben Bay,40.0,0.0,19.0,4.0,66.7,0.0,31.7,6.7
Killara,299.0,0.0,136.0,11.0,67.2,0.0,30.6,2.5
