,1-15 hours per week,16-24 hours per week,25-34 hours per week,35-39 hours per week,40 hours or more per week,1-15 hours per week (%),16-24 hours per week (%),25-34 hours per week (%),35-39 hours per week (%),40 hours or more per week (%),SSC_CODE
Nana Glen,61.0,59.0,68.0,73.0,182.0,12.8,12.3,14.2,15.3,38.1,12889
Upper Orara,53.0,32.0,62.0,62.0,122.0,15.1,9.1,17.6,17.6,34.7,14041
Bucca (NSW),43.0,21.0,33.0,42.0,94.0,17.1,8.4,13.1,16.7,37.5,10625
Karangi,38.0,25.0,39.0,48.0,78.0,15.7,10.3,16.1,19.8,32.2,12072
Megan,19.0,10.0,10.0,4.0,23.0,25.3,13.3,13.3,5.3,30.7,12558
Ulong,9.0,10.0,8.0,15.0,19.0,14.8,16.4,13.1,24.6,31.1,14005
Lowanna,11.0,18.0,20.0,23.0,21.0,11.1,18.2,20.2,23.2,21.2,12398
Dorrigo,62.0,52.0,72.0,65.0,135.0,14.8,12.4,17.2,15.5,32.2,11278
Deer Vale,6.0,8.0,4.0,8.0,24.0,12.0,16.0,8.0,16.0,48.0,11232
Fernbrook,8.0,5.0,11.0,8.0,24.0,14.3,8.9,19.6,14.3,42.9,11506
Hernani,7.0,4.0,6.0,10.0,30.0,11.7,6.7,10.0,16.7,50.0,11896
Bostobrick,10.0,7.0,14.0,4.0,17.0,19.2,13.5,26.9,7.7,32.7,10516
North Dorrigo,15.0,5.0,14.0,7.0,34.0,18.1,6.0,16.9,8.4,41.0,12989
Sapphire Beach,141.0,133.0,101.0,140.0,415.0,14.5,13.6,10.4,14.4,42.6,13491
Emerald Beach,135.0,119.0,159.0,191.0,379.0,13.0,11.5,15.3,18.4,36.5,11411
Korora,161.0,121.0,142.0,193.0,477.0,14.0,10.5,12.4,16.8,41.6,12197
Moonee Beach,123.0,84.0,130.0,155.0,333.0,14.2,9.7,15.0,17.9,38.5,12703
Toormina,307.0,263.0,335.0,508.0,635.0,14.3,12.2,15.6,23.6,29.5,13912
Boambee East,298.0,232.0,344.0,474.0,824.0,13.0,10.2,15.1,20.8,36.1,10422
Boambee,126.0,92.0,105.0,128.0,309.0,15.8,11.5,13.1,16.0,38.7,10421
Sawtell,254.0,175.0,219.0,281.0,572.0,16.1,11.1,13.9,17.8,36.2,13498
Bonville,176.0,126.0,155.0,199.0,431.0,15.3,11.0,13.5,17.3,37.6,10474
Bundagen,10.0,10.0,5.0,3.0,10.0,26.3,26.3,13.2,7.9,26.3,10669
Mylestom,19.0,17.0,22.0,30.0,37.0,13.6,12.1,15.7,21.4,26.4,12875
Raleigh,36.0,29.0,48.0,52.0,93.0,12.9,10.4,17.2,18.6,33.3,13307
Urunga,156.0,146.0,176.0,205.0,340.0,14.5,13.5,16.3,19.0,31.5,14061
Repton,26.0,34.0,40.0,43.0,105.0,9.7,12.7,15.0,16.1,39.3,13352
Valla,57.0,62.0,62.0,46.0,148.0,14.3,15.6,15.6,11.6,37.2,14067
Woolgoolga,254.0,237.0,318.0,412.0,651.0,12.7,11.8,15.9,20.6,32.5,14402
Safety Beach (NSW),44.0,53.0,59.0,79.0,164.0,10.6,12.7,14.2,19.0,39.4,13462
Sandy Beach,129.0,108.0,148.0,201.0,327.0,13.5,11.3,15.4,21.0,34.1,13479
Upper Corindi,10.0,4.0,8.0,11.0,26.0,15.6,6.2,12.5,17.2,40.6,14020
Corindi Beach,79.0,70.0,86.0,122.0,278.0,11.8,10.5,12.9,18.3,41.6,11073
Red Rock,26.0,15.0,22.0,26.0,52.0,17.0,9.8,14.4,17.0,34.0,13334
Arrawarra,18.0,15.0,18.0,18.0,25.0,17.6,14.7,17.6,17.6,24.5,10088
Arrawarra Headland,32.0,23.0,45.0,32.0,81.0,13.9,10.0,19.5,13.9,35.1,10089
Mullaway,35.0,28.0,44.0,48.0,73.0,15.1,12.1,19.0,20.7,31.5,12822
Bourke,49.0,53.0,83.0,191.0,336.0,6.5,7.1,11.1,25.5,44.9,10522
Wanaaring,3.0,4.0,9.0,3.0,32.0,5.9,7.8,17.6,5.9,62.7,14126
North Bourke,7.0,4.0,14.0,24.0,71.0,5.5,3.1,11.0,18.9,55.9,12985
Enngonia,3.0,4.0,7.0,3.0,22.0,7.7,10.3,17.9,7.7,56.4,11426
Brewarrina,14.0,18.0,37.0,68.0,154.0,4.4,5.6,11.6,21.2,48.1,10563
Cobar,118.0,133.0,164.0,229.0,971.0,6.7,7.6,9.4,13.1,55.5,10949
Coonamble,86.0,72.0,116.0,195.0,394.0,9.1,7.6,12.2,20.5,41.5,11044
Gulargambone,21.0,18.0,16.0,21.0,84.0,12.1,10.3,9.2,12.1,48.3,11792
Quambone,3.0,3.0,7.0,5.0,31.0,4.9,4.9,11.5,8.2,50.8,13287
Nyngan,92.0,79.0,102.0,145.0,457.0,10.1,8.6,11.2,15.9,50.0,13049
Nevertire,8.0,5.0,12.0,7.0,60.0,8.7,5.4,13.0,7.6,65.2,12936
Warren,44.0,44.0,51.0,93.0,288.0,7.8,7.8,9.1,16.5,51.2,14171
Hermidale,3.0,3.0,10.0,0.0,44.0,4.6,4.6,15.4,0.0,67.7,11894
Ravenswood (NSW),17.0,6.0,16.0,27.0,62.0,11.8,4.2,11.1,18.8,43.1,13321
Cumborah,4.0,5.0,7.0,7.0,19.0,8.9,11.1,15.6,15.6,42.2,11158
Goodooga,10.0,3.0,13.0,8.0,42.0,12.2,3.7,15.9,9.8,51.2,11702
Carinda,4.0,9.0,5.0,11.0,50.0,4.7,10.5,5.8,12.8,58.1,10814
Pilliga,3.0,0.0,4.0,5.0,33.0,5.8,0.0,7.7,9.6,63.5,13205
Come By Chance,0.0,5.0,0.0,6.0,44.0,0.0,8.1,0.0,9.7,71.0,10993
Walgett,56.0,42.0,81.0,159.0,361.0,7.4,5.5,10.7,20.9,47.5,14096
Burren Junction,11.0,13.0,10.0,10.0,77.0,8.9,10.5,8.1,8.1,62.1,10710
Lightning Ridge,88.0,81.0,94.0,89.0,219.0,14.0,12.9,14.9,14.1,34.8,12320
Collarenebri,28.0,18.0,24.0,28.0,112.0,13.1,8.5,11.3,13.1,52.6,10969
Rowena,10.0,3.0,3.0,9.0,64.0,10.9,3.3,3.3,9.8,69.6,13431
Broken Hill,781.0,591.0,820.0,1442.0,2829.0,11.2,8.5,11.8,20.7,40.6,10592
White Cliffs,4.0,3.0,3.0,3.0,49.0,5.9,4.4,4.4,4.4,72.1,14274
Menindee,9.0,12.0,16.0,20.0,83.0,5.8,7.8,10.4,13.0,53.9,12571
Wilcannia,9.0,14.0,22.0,47.0,119.0,4.1,6.3,10.0,21.3,53.8,14290
Tibooburra,3.0,12.0,3.0,4.0,49.0,3.7,14.8,3.7,4.9,60.5,13860
Pooncarie,3.0,4.0,0.0,10.0,55.0,3.8,5.1,0.0,12.8,70.5,13242
Ivanhoe (NSW),10.0,7.0,3.0,13.0,90.0,7.9,5.5,2.4,10.2,70.9,11991
Baradine,24.0,26.0,24.0,37.0,105.0,10.3,11.2,10.3,15.9,45.1,10190
Coonabarabran,120.0,110.0,158.0,233.0,413.0,10.8,9.9,14.3,21.1,37.3,11043
Binnaway,18.0,15.0,16.0,21.0,72.0,11.7,9.7,10.4,13.6,46.8,10372
Mendooran,31.0,22.0,16.0,16.0,106.0,15.1,10.7,7.8,7.8,51.7,12570
Coolah,67.0,50.0,63.0,64.0,259.0,12.9,9.6,12.1,12.3,49.8,11024
Bugaldie,4.0,3.0,10.0,6.0,25.0,8.3,6.2,20.8,12.5,52.1,10646
Ulamambri,5.0,5.0,11.0,13.0,40.0,5.9,5.9,12.9,15.3,47.1,14001
Tambar Springs,0.0,9.0,9.0,7.0,44.0,0.0,11.1,11.1,8.6,54.3,13743
Merrygoen,3.0,7.0,4.0,5.0,30.0,6.1,14.3,8.2,10.2,61.2,12587
Dubbo,1779.0,1474.0,1881.0,4132.0,7883.0,9.8,8.1,10.4,22.8,43.6,11296
Terramungamine,18.0,10.0,11.0,23.0,74.0,12.6,7.0,7.7,16.1,51.7,13801
Brocklehurst,26.0,16.0,20.0,28.0,72.0,15.4,9.5,11.8,16.6,42.6,10583
Wongarbon,29.0,39.0,26.0,59.0,176.0,8.1,10.9,7.3,16.5,49.3,14373
Elong Elong,4.0,3.0,10.0,6.0,25.0,7.5,5.7,18.9,11.3,47.2,11406
Gollan,0.0,0.0,8.0,0.0,36.0,0.0,0.0,16.3,0.0,73.5,11694
Eumungerie,14.0,8.0,11.0,21.0,67.0,10.9,6.2,8.5,16.3,51.9,11456
Minore,3.0,6.0,7.0,18.0,39.0,3.9,7.9,9.2,23.7,51.3,12641
Ballimore,14.0,11.0,5.0,13.0,47.0,14.6,11.5,5.2,13.5,49.0,10161
Gilgandra,128.0,120.0,154.0,219.0,455.0,11.0,10.3,13.2,18.8,39.1,11619
Collie (NSW),12.0,5.0,5.0,15.0,71.0,10.8,4.5,4.5,13.5,64.0,10975
Armatree,7.0,7.0,0.0,4.0,48.0,10.1,10.1,0.0,5.8,69.6,10084
Curban,3.0,7.0,8.0,3.0,44.0,4.6,10.8,12.3,4.6,67.7,11166
Tooraweenah,12.0,16.0,4.0,9.0,79.0,9.4,12.6,3.1,7.1,62.2,13911
Narromine,178.0,167.0,210.0,345.0,850.0,9.5,8.9,11.3,18.5,45.6,12911
Burroway,8.0,5.0,5.0,0.0,35.0,15.1,9.4,9.4,0.0,66.0,10715
Trangie,40.0,31.0,52.0,69.0,245.0,8.7,6.7,11.3,14.9,53.0,13932
Tomingley,7.0,9.0,10.0,20.0,75.0,5.4,6.9,7.7,15.4,57.7,13896
Wellington (NSW),146.0,108.0,169.0,249.0,443.0,12.4,9.1,14.3,21.1,37.5,14221
Mumbil,11.0,7.0,12.0,7.0,30.0,14.1,9.0,15.4,9.0,38.5,12832
Stuart Town,9.0,7.0,17.0,17.0,31.0,10.7,8.3,20.2,20.2,36.9,13680
Euchareena,3.0,4.0,6.0,14.0,39.0,4.3,5.8,8.7,20.3,56.5,11452
Neurea,8.0,4.0,12.0,9.0,28.0,12.5,6.2,18.8,14.1,43.8,12933
Mount Arthur,4.0,9.0,11.0,15.0,24.0,6.1,13.6,16.7,22.7,36.4,12747
Maryvale (NSW),6.0,6.0,14.0,13.0,50.0,6.3,6.3,14.7,13.7,52.6,12517
Geurie,42.0,29.0,30.0,75.0,147.0,12.2,8.4,8.7,21.7,42.6,11608
Montefiores,11.0,14.0,25.0,49.0,100.0,5.0,6.4,11.5,22.5,45.9,12685
Greta (NSW),123.0,127.0,136.0,214.0,518.0,10.2,10.5,11.2,17.7,42.8,11778
Lower Belford,32.0,12.0,19.0,30.0,108.0,15.0,5.6,8.9,14.1,50.7,12401
Belford,3.0,9.0,11.0,7.0,48.0,3.2,9.7,11.8,7.5,51.6,10258
Branxton,109.0,119.0,98.0,136.0,438.0,11.4,12.4,10.3,14.2,45.8,10549
Pokolbin,61.0,53.0,56.0,66.0,237.0,12.4,10.8,11.4,13.4,48.1,13236
Keinbah,6.0,6.0,10.0,6.0,24.0,11.5,11.5,19.2,11.5,46.2,12084
Lovedale,29.0,27.0,33.0,43.0,116.0,11.2,10.5,12.8,16.7,45.0,12396
East Branxton,73.0,85.0,80.0,160.0,390.0,8.8,10.2,9.6,19.2,46.9,11346
North Rothbury,49.0,62.0,39.0,76.0,175.0,11.6,14.7,9.2,18.0,41.5,13004
Leconfield,8.0,3.0,8.0,9.0,35.0,11.9,4.5,11.9,13.4,52.2,12291
Cessnock,627.0,593.0,609.0,949.0,1907.0,12.6,11.9,12.2,19.0,38.2,10878
Nulkaba,45.0,52.0,35.0,50.0,157.0,12.2,14.1,9.5,13.6,42.7,13031
Aberdare,106.0,110.0,125.0,184.0,357.0,11.2,11.7,13.3,19.5,37.9,10006
Kearsley,49.0,53.0,42.0,54.0,133.0,13.8,15.0,11.9,15.3,37.6,12080
Bellbird,92.0,83.0,89.0,165.0,324.0,11.4,10.3,11.0,20.5,40.2,10268
Bellbird Heights,44.0,34.0,41.0,72.0,137.0,12.6,9.7,11.7,20.6,39.1,10269
Ellalong,50.0,55.0,70.0,67.0,197.0,10.7,11.8,15.0,14.3,42.2,11398
Kitchener,15.0,16.0,30.0,36.0,63.0,8.8,9.4,17.5,21.1,36.8,12174
Abernethy,11.0,18.0,16.0,19.0,51.0,9.3,15.3,13.6,16.1,43.2,10011
Mulbring,37.0,31.0,18.0,44.0,108.0,14.3,12.0,6.9,17.0,41.7,12813
Buchanan (NSW),15.0,13.0,3.0,15.0,42.0,15.6,13.5,3.1,15.6,43.8,10628
Millfield,54.0,49.0,31.0,60.0,142.0,15.1,13.7,8.7,16.8,39.8,12620
Paxton,41.0,32.0,42.0,79.0,136.0,11.5,8.9,11.7,22.1,38.0,13162
Black Hill (NSW),33.0,30.0,27.0,40.0,109.0,13.1,11.9,10.7,15.9,43.3,10385
Mount Vincent,21.0,21.0,17.0,29.0,86.0,11.7,11.7,9.4,16.1,47.8,12799
Brunkerville,17.0,11.0,18.0,17.0,32.0,16.2,10.5,17.1,16.2,30.5,10620
Quorrobolong,40.0,26.0,35.0,52.0,97.0,15.1,9.8,13.2,19.6,36.6,13302
Congewai,12.0,16.0,8.0,7.0,39.0,13.6,18.2,9.1,8.0,44.3,11007
Mount View,5.0,11.0,7.0,6.0,19.0,10.4,22.9,14.6,12.5,39.6,12798
Paynes Crossing,0.0,7.0,8.0,5.0,7.0,0.0,25.9,29.6,18.5,25.9,13163
Laguna,11.0,11.0,3.0,7.0,25.0,18.0,18.0,4.9,11.5,41.0,12237
Wollombi,14.0,9.0,3.0,4.0,35.0,21.5,13.8,4.6,6.2,53.8,14355
Watagan,13.0,6.0,7.0,4.0,13.0,26.0,12.0,14.0,8.0,26.0,14180
Murrays Run,8.0,8.0,12.0,14.0,27.0,10.1,10.1,15.2,17.7,34.2,12855
Bucketty,4.0,13.0,10.0,5.0,36.0,5.2,16.9,13.0,6.5,46.8,10634
Clarence Town,95.0,101.0,100.0,163.0,400.0,10.4,11.1,11.0,17.9,44.0,10920
Dungog,98.0,83.0,81.0,145.0,246.0,13.8,11.7,11.4,20.4,34.6,11320
Bendolba,7.0,11.0,11.0,12.0,28.0,9.7,15.3,15.3,16.7,38.9,10291
Paterson (NSW),67.0,59.0,51.0,58.0,177.0,15.6,13.8,11.9,13.5,41.3,13159
Martins Creek,16.0,17.0,30.0,27.0,75.0,9.5,10.1,17.8,16.0,44.4,12511
Torryburn (Dungog - NSW),4.0,7.0,11.0,6.0,40.0,5.6,9.9,15.5,8.5,56.3,13920
Vacy,29.0,47.0,43.0,55.0,144.0,8.8,14.3,13.1,16.7,43.8,14063
East Gresford,17.0,22.0,15.0,22.0,56.0,11.9,15.4,10.5,15.4,39.2,11350
Gresford,9.0,17.0,9.0,15.0,43.0,8.6,16.2,8.6,14.3,41.0,11777
Glen Martin,10.0,5.0,7.0,11.0,35.0,13.3,6.7,9.3,14.7,46.7,11650
Wallarobba,9.0,11.0,15.0,17.0,34.0,10.5,12.8,17.4,19.8,39.5,14111
Hilldale,16.0,8.0,7.0,17.0,30.0,16.8,8.4,7.4,17.9,31.6,11906
Glen Oak,23.0,19.0,20.0,20.0,74.0,13.8,11.4,12.0,12.0,44.3,11652
Glen William,10.0,4.0,5.0,13.0,37.0,14.5,5.8,7.2,18.8,53.6,11654
Brookfield (NSW),16.0,3.0,14.0,14.0,36.0,18.0,3.4,15.7,15.7,40.4,10596
Abermain,129.0,120.0,100.0,192.0,354.0,13.4,12.5,10.4,19.9,36.8,10010
Weston (NSW),148.0,157.0,163.0,294.0,490.0,11.2,11.8,12.3,22.2,37.0,14262
Kurri Kurri,246.0,236.0,273.0,473.0,896.0,10.9,10.4,12.0,20.9,39.5,12221
Stanford Merthyr,40.0,25.0,27.0,40.0,79.0,18.3,11.5,12.4,18.3,36.2,13647
Pelaw Main,58.0,56.0,39.0,77.0,149.0,14.5,14.0,9.7,19.2,37.2,13177
Heddon Greta,109.0,102.0,120.0,215.0,427.0,10.7,10.0,11.7,21.0,41.7,11888
Neath,14.0,14.0,16.0,28.0,41.0,11.5,11.5,13.1,23.0,33.6,12917
Cliftleigh,34.0,35.0,32.0,71.0,109.0,11.2,11.5,10.5,23.4,35.9,10932
Sawyers Gully,24.0,29.0,27.0,53.0,106.0,9.8,11.8,11.0,21.6,43.3,13499
Hunterview,172.0,132.0,139.0,225.0,753.0,11.4,8.8,9.2,15.0,50.1,11955
Redbournberry,11.0,13.0,9.0,20.0,67.0,8.7,10.3,7.1,15.9,53.2,13337
Singleton (NSW),253.0,194.0,249.0,340.0,995.0,11.7,9.0,11.6,15.8,46.2,13549
Whittingham,22.0,16.0,18.0,27.0,76.0,12.9,9.4,10.6,15.9,44.7,14279
Gowrie (Singleton - NSW),19.0,19.0,11.0,14.0,88.0,11.7,11.7,6.8,8.6,54.3,11729
Glenridding,12.0,18.0,5.0,20.0,43.0,11.9,17.8,5.0,19.8,42.6,11676
Singleton Heights,237.0,200.0,220.0,361.0,998.0,11.2,9.5,10.4,17.1,47.2,13550
Wattle Ponds,77.0,62.0,51.0,63.0,273.0,13.8,11.1,9.1,11.3,48.9,14193
McDougalls Hill,7.0,7.0,3.0,13.0,46.0,8.9,8.9,3.8,16.5,58.2,12541
Darlington (Singleton - NSW),15.0,14.0,17.0,37.0,84.0,8.6,8.0,9.8,21.3,48.3,11213
Broke (NSW),28.0,29.0,27.0,17.0,105.0,12.5,12.9,12.1,7.6,46.9,10590
Putty,3.0,3.0,3.0,3.0,12.0,11.1,11.1,11.1,11.1,44.4,13279
Howes Valley,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,66.7,11948
Bulga (NSW),21.0,15.0,14.0,26.0,66.0,13.1,9.4,8.8,16.2,41.2,10651
Jerrys Plains,10.0,15.0,9.0,38.0,105.0,5.1,7.7,4.6,19.4,53.6,12021
Maison Dieu,11.0,9.0,4.0,8.0,36.0,14.3,11.7,5.2,10.4,46.8,12448
Bridgman,10.0,8.0,10.0,9.0,55.0,9.9,7.9,9.9,8.9,54.5,10567
Mount Olive (Singleton - NSW),15.0,3.0,4.0,11.0,35.0,20.0,4.0,5.3,14.7,46.7,12781
Westbrook (NSW),14.0,13.0,7.0,5.0,39.0,17.1,15.9,8.5,6.1,47.6,14257
Reedy Creek (NSW),3.0,7.0,12.0,7.0,36.0,4.3,10.1,17.4,10.1,52.2,13342
Sedgefield,12.0,10.0,8.0,11.0,34.0,15.4,12.8,10.3,14.1,43.6,13514
Mitchells Flat,10.0,11.0,18.0,13.0,61.0,8.6,9.5,15.5,11.2,52.6,12651
Glendon,6.0,3.0,7.0,8.0,29.0,11.3,5.7,13.2,15.1,54.7,11660
Elderslie (Singleton - NSW),7.0,10.0,7.0,8.0,26.0,10.8,15.4,10.8,12.3,40.0,11392
Lambs Valley (Singleton - NSW),19.0,25.0,15.0,26.0,74.0,11.2,14.7,8.8,15.3,43.5,12263
Stanhope (NSW),11.0,3.0,12.0,8.0,32.0,16.7,4.5,18.2,12.1,48.5,13648
Glendon Brook,15.0,23.0,21.0,17.0,49.0,11.0,16.9,15.4,12.5,36.0,11661
Maitland (NSW),79.0,83.0,97.0,156.0,305.0,10.6,11.2,13.0,21.0,41.0,12449
South Maitland,17.0,8.0,17.0,43.0,58.0,11.0,5.2,11.0,27.9,37.7,13591
Gillieston Heights,155.0,139.0,141.0,330.0,679.0,10.1,9.1,9.2,21.5,44.3,11624
Louth Park,54.0,43.0,42.0,51.0,165.0,14.8,11.7,11.5,13.9,45.1,12395
Horseshoe Bend,19.0,18.0,17.0,32.0,53.0,12.4,11.8,11.1,20.9,34.6,11939
Oakhampton,8.0,5.0,7.0,12.0,25.0,12.3,7.7,10.8,18.5,38.5,13056
East Maitland,650.0,518.0,542.0,990.0,2076.0,12.9,10.3,10.8,19.7,41.2,11360
Metford,204.0,224.0,232.0,437.0,759.0,10.4,11.4,11.8,22.2,38.6,12592
Tenambit,146.0,140.0,139.0,218.0,448.0,12.7,12.2,12.1,19.0,39.0,13787
Raworth,100.0,81.0,103.0,149.0,374.0,11.9,9.7,12.3,17.8,44.7,13325
Morpeth,72.0,61.0,69.0,107.0,261.0,11.9,10.0,11.4,17.6,43.0,12727
Ashtonfield,277.0,233.0,240.0,424.0,999.0,12.2,10.2,10.5,18.6,43.9,10102
Chisholm (NSW),73.0,76.0,84.0,159.0,363.0,9.2,9.6,10.6,20.1,45.9,10909
Largs,102.0,121.0,92.0,148.0,415.0,10.9,12.9,9.8,15.8,44.3,12278
Bolwarra Heights,166.0,140.0,147.0,267.0,666.0,11.4,9.6,10.1,18.4,45.9,10451
Lorn,89.0,74.0,64.0,100.0,307.0,13.3,11.1,9.6,15.0,46.0,12389
Bolwarra (NSW),69.0,64.0,53.0,64.0,220.0,14.1,13.0,10.8,13.0,44.8,10450
Woodville (NSW),29.0,26.0,22.0,29.0,87.0,14.1,12.6,10.7,14.1,42.2,14398
Maitland Vale,6.0,6.0,8.0,6.0,28.0,10.0,10.0,13.3,10.0,46.7,12451
Rutherford,512.0,487.0,569.0,955.0,1980.0,10.7,10.2,11.9,20.0,41.5,13449
Aberglasslyn,311.0,242.0,281.0,497.0,1223.0,11.6,9.0,10.4,18.5,45.4,10009
Luskintyre,13.0,7.0,13.0,11.0,45.0,13.4,7.2,13.4,11.3,46.4,12423
Lochinvar,46.0,53.0,47.0,68.0,158.0,11.9,13.7,12.2,17.6,40.9,12368
Windella,54.0,43.0,40.0,40.0,194.0,13.9,11.1,10.3,10.3,50.0,14317
Telarah,102.0,93.0,104.0,217.0,349.0,11.1,10.2,11.4,23.7,38.1,13780
Farley,8.0,8.0,9.0,27.0,43.0,7.8,7.8,8.7,26.2,41.7,11490
Bishops Bridge,15.0,6.0,13.0,21.0,58.0,12.4,5.0,10.7,17.4,47.9,10380
Thornton (NSW),472.0,441.0,434.0,783.0,1764.0,11.6,10.8,10.7,19.2,43.3,13851
Millers Forest,7.0,24.0,21.0,36.0,82.0,3.8,12.9,11.3,19.4,44.1,12618
Berry Park,7.0,11.0,3.0,6.0,30.0,12.3,19.3,5.3,10.5,52.6,10325
Anna Bay,211.0,182.0,196.0,275.0,570.0,13.9,12.0,12.9,18.1,37.5,10060
Boat Harbour (Port Stephens - NSW),64.0,54.0,54.0,61.0,192.0,14.1,11.9,11.9,13.4,42.3,10425
Bobs Farm,27.0,20.0,29.0,34.0,78.0,12.8,9.5,13.7,16.1,37.0,10429
One Mile (NSW),31.0,19.0,25.0,28.0,63.0,17.4,10.7,14.0,15.7,35.4,13085
Lemon Tree Passage,122.0,108.0,109.0,152.0,346.0,13.8,12.2,12.3,17.2,39.1,12300
Mallabula,49.0,35.0,48.0,60.0,129.0,14.3,10.2,14.0,17.5,37.7,12455
Tanilba Bay,128.0,121.0,140.0,208.0,366.0,12.2,11.6,13.4,19.9,35.0,13748
Salamander Bay,259.0,216.0,207.0,280.0,613.0,15.6,13.0,12.4,16.8,36.8,13463
Soldiers Point,93.0,68.0,67.0,90.0,221.0,16.2,11.8,11.7,15.7,38.5,13570
Corlette,322.0,260.0,258.0,365.0,804.0,15.1,12.2,12.1,17.2,37.8,11075
Taylors Beach (NSW),7.0,0.0,6.0,6.0,20.0,16.7,0.0,14.3,14.3,47.6,13777
Nelson Bay (NSW),342.0,282.0,321.0,412.0,881.0,14.4,11.8,13.5,17.3,37.0,12923
Fingal Bay,58.0,61.0,59.0,88.0,162.0,12.5,13.1,12.7,19.0,34.9,11518
Shoal Bay (NSW),65.0,65.0,71.0,84.0,187.0,12.6,12.6,13.8,16.3,36.2,13539
Raymond Terrace,590.0,482.0,654.0,1070.0,1838.0,12.1,9.9,13.4,21.9,37.6,13327
Tomago,8.0,6.0,20.0,20.0,41.0,8.1,6.1,20.2,20.2,41.4,13889
Heatherbrae,20.0,25.0,11.0,32.0,79.0,11.1,13.9,6.1,17.8,43.9,11884
Eagleton,8.0,8.0,5.0,21.0,44.0,8.9,8.9,5.6,23.3,48.9,11342
Duns Creek,31.0,37.0,28.0,38.0,114.0,11.7,13.9,10.5,14.3,42.9,11326
Seaham,71.0,63.0,72.0,88.0,191.0,13.6,12.1,13.8,16.9,36.6,13510
Wallalong,55.0,48.0,55.0,85.0,248.0,10.5,9.1,10.5,16.2,47.1,14104
Brandy Hill,43.0,55.0,51.0,60.0,144.0,11.5,14.7,13.6,16.0,38.5,10548
Hinton,21.0,25.0,31.0,40.0,91.0,9.6,11.5,14.2,18.3,41.7,11916
Butterwick,5.0,9.0,8.0,13.0,33.0,6.8,12.3,11.0,17.8,45.2,10725
East Seaham,25.0,15.0,21.0,32.0,75.0,14.4,8.6,12.1,18.4,43.1,11362
Nelsons Plains,24.0,23.0,19.0,25.0,78.0,13.0,12.4,10.3,13.5,42.2,12924
Osterley (NSW),16.0,6.0,10.0,14.0,28.0,21.6,8.1,13.5,18.9,37.8,13099
Tea Gardens,114.0,88.0,108.0,114.0,256.0,15.9,12.3,15.0,15.9,35.7,13779
North Arm Cove,16.0,22.0,20.0,26.0,56.0,10.5,14.5,13.2,17.1,36.8,12979
Bundabah,4.0,4.0,6.0,4.0,17.0,11.4,11.4,17.1,11.4,48.6,10668
Pindimar,20.0,9.0,17.0,29.0,52.0,15.0,6.8,12.8,21.8,39.1,13211
Hawks Nest,52.0,37.0,41.0,61.0,138.0,14.9,10.6,11.7,17.5,39.5,11873
Karuah,55.0,45.0,67.0,84.0,160.0,12.6,10.3,15.3,19.2,36.5,12076
Medowie,490.0,457.0,509.0,883.0,1856.0,10.9,10.2,11.4,19.7,41.4,12554
Salt Ash,72.0,49.0,61.0,72.0,203.0,14.7,10.0,12.4,14.7,41.3,13467
Williamtown,26.0,27.0,37.0,90.0,180.0,6.7,6.9,9.5,23.1,46.2,14299
Twelve Mile Creek,11.0,6.0,8.0,7.0,25.0,19.3,10.5,14.0,12.3,43.9,13988
Swan Bay (Port Stephens - NSW),23.0,13.0,14.0,24.0,60.0,15.8,8.9,9.6,16.4,41.1,13704
Muswellbrook,466.0,455.0,500.0,910.0,2243.0,9.6,9.3,10.3,18.7,46.1,12868
Denman,85.0,69.0,85.0,120.0,358.0,11.0,8.9,11.0,15.5,46.1,11241
Gungal,10.0,9.0,9.0,9.0,44.0,11.9,10.7,10.7,10.7,52.4,11810
Martindale,13.0,3.0,5.0,5.0,43.0,17.8,4.1,6.8,6.8,58.9,12510
Castle Rock,13.0,0.0,9.0,12.0,43.0,16.9,0.0,11.7,15.6,55.8,10848
Aberdeen (NSW),100.0,85.0,122.0,171.0,372.0,11.1,9.4,13.5,19.0,41.2,10007
Wybong,3.0,7.0,0.0,3.0,25.0,7.3,17.1,0.0,7.3,61.0,14436
Sandy Hollow,7.0,7.0,7.0,11.0,39.0,9.9,9.9,9.9,15.5,54.9,13486
Muscle Creek,11.0,28.0,13.0,26.0,84.0,6.2,15.7,7.3,14.6,47.2,12867
McCullys Gap,18.0,5.0,11.0,23.0,56.0,15.3,4.2,9.3,19.5,47.5,12540
Scone,279.0,226.0,297.0,484.0,1108.0,11.0,8.9,11.7,19.1,43.8,13503
Middle Brook,14.0,13.0,11.0,6.0,70.0,11.9,11.0,9.3,5.1,59.3,12600
Dartbrook,5.0,3.0,11.0,5.0,30.0,9.3,5.6,20.4,9.3,55.6,11217
Segenhoe,10.0,7.0,13.0,20.0,76.0,7.6,5.3,9.8,15.2,57.6,13517
Rouchel,3.0,11.0,9.0,9.0,52.0,3.4,12.5,10.2,10.2,59.1,13422
Murrurundi,45.0,49.0,51.0,59.0,159.0,11.9,13.0,13.5,15.6,42.2,12864
Blandford,9.0,14.0,18.0,4.0,49.0,8.7,13.6,17.5,3.9,47.6,10406
Wingen,11.0,11.0,13.0,22.0,57.0,8.9,8.9,10.6,17.9,46.3,14331
