,1-15 hours per week,16-24 hours per week,25-34 hours per week,35-39 hours per week,40 hours or more per week,1-15 hours per week (%),16-24 hours per week (%),25-34 hours per week (%),35-39 hours per week (%),40 hours or more per week (%),SSC_CODE
Wildes Meadow,17.0,17.0,16.0,12.0,67.0,12.9,12.9,12.1,9.1,50.8,14292
Burrawang,18.0,16.0,22.0,21.0,75.0,11.1,9.9,13.6,13.0,46.3,10708
Avoca (NSW),13.0,10.0,15.0,14.0,45.0,12.5,9.6,14.4,13.5,43.3,10113
Fitzroy Falls,13.0,7.0,9.0,6.0,58.0,13.3,7.1,9.2,6.1,59.2,11529
Bundanoon (NSW),175.0,133.0,144.0,140.0,395.0,16.9,12.8,13.9,13.5,38.1,10670
Wingello,42.0,29.0,30.0,58.0,108.0,14.9,10.3,10.7,20.6,38.4,14330
Exeter (NSW),71.0,51.0,73.0,60.0,157.0,16.5,11.9,17.0,14.0,36.5,11475
High Range,21.0,15.0,21.0,22.0,107.0,10.9,7.8,10.9,11.5,55.7,11900
Medway,6.0,7.0,3.0,7.0,23.0,13.0,15.2,6.5,15.2,50.0,12555
Joadja,9.0,3.0,8.0,5.0,35.0,15.0,5.0,13.3,8.3,58.3,12035
Canyonleigh,26.0,21.0,35.0,24.0,81.0,12.7,10.3,17.2,11.8,39.7,10799
Penrose,19.0,13.0,13.0,12.0,41.0,17.8,12.1,12.1,11.2,38.3,13185
Baulkham Hills,2045.0,1821.0,1723.0,3394.0,8703.0,11.1,9.9,9.3,18.4,47.1,10233
Bella Vista,484.0,417.0,346.0,725.0,2085.0,11.5,9.9,8.2,17.2,49.4,10263
Glenhaven,438.0,351.0,286.0,384.0,1553.0,14.0,11.2,9.1,12.3,49.6,11667
Castle Hill (NSW),2323.0,1953.0,1793.0,3198.0,9326.0,12.1,10.1,9.3,16.6,48.4,10847
West Pennant Hills,1042.0,843.0,780.0,1255.0,4091.0,12.5,10.1,9.4,15.1,49.1,14249
Cherrybrook,1195.0,1011.0,809.0,1578.0,4388.0,12.8,10.8,8.6,16.9,46.9,10898
Kellyville,1530.0,1412.0,1303.0,2537.0,7244.0,10.5,9.7,8.9,17.4,49.6,12088
Kenthurst,367.0,285.0,241.0,310.0,1298.0,14.1,11.0,9.3,11.9,50.0,12100
Glenorie,236.0,171.0,203.0,208.0,834.0,13.5,9.8,11.6,11.9,47.8,11673
Maroota,24.0,19.0,36.0,32.0,163.0,8.1,6.4,12.2,10.8,55.3,12500
Canoelands,4.0,10.0,14.0,7.0,40.0,4.8,11.9,16.7,8.3,47.6,10794
Cattai,53.0,33.0,43.0,54.0,215.0,12.6,7.9,10.2,12.9,51.2,10859
South Maroota,17.0,29.0,30.0,40.0,141.0,6.4,10.9,11.2,15.0,52.8,13592
Dural (Hornsby - NSW),493.0,394.0,351.0,540.0,1766.0,13.2,10.6,9.4,14.5,47.4,11328
Sackville North,15.0,18.0,12.0,14.0,60.0,12.3,14.8,9.8,11.5,49.2,13459
Lower Portland,43.0,30.0,29.0,35.0,137.0,14.9,10.4,10.1,12.2,47.6,12412
Middle Dural,76.0,48.0,62.0,52.0,233.0,15.5,9.8,12.7,10.6,47.6,12603
Annangrove,100.0,90.0,71.0,89.0,384.0,13.0,11.7,9.2,11.5,49.8,10062
Galston,200.0,178.0,158.0,197.0,699.0,13.4,11.9,10.6,13.2,46.7,11582
