,Less than $600 gross weekly income,"More than $3,000 gross weekly income",Less than $600 gross weekly income (%),"More than $3,000 gross weekly income (%)"
Enfield (NSW),--,--,24.9,11.9
Engadine,--,--,14.8,15.8
Enmore (Marrickville - NSW),--,--,17.6,19.8
Epping (NSW),--,--,16.4,21.7
Erina,--,--,38.4,6.8
Ermington,--,--,26.8,12.8
Erskine Park,--,--,9.7,16.5
Erskineville,--,--,10.8,28.3
Eschol Park,--,--,15.2,11.2
Ettalong Beach,--,--,40.4,2.3
Fairfield (NSW),--,--,34.2,3.9
Fairfield East,--,--,36.2,5.2
Fairfield Heights,--,--,31.7,5.3
Fairfield West,--,--,25.0,7.2
Fairlight,--,--,10.7,28.3
Fairy Meadow,--,--,35.5,5.8
Farmborough Heights,--,--,15.5,14.0
Faulconbridge,--,--,16.9,14.8
Fennell Bay,--,--,33.3,6.7
Figtree,--,--,22.1,15.4
Five Dock,--,--,20.8,22.2
Fletcher (NSW),--,--,5.7,20.1
Flinders (NSW),--,--,19.7,9.3
Floraville,--,--,16.5,16.1
Forest Lodge,--,--,20.7,25.3
Forestville (NSW),--,--,20.9,22.0
Forresters Beach,--,--,16.7,11.1
Frenchs Forest,--,--,10.8,27.2
Garden Suburb,--,--,14.6,20.2
Gateshead,--,--,36.5,2.7
Georges Hall,--,--,20.4,11.9
Georgetown (NSW),--,--,24.8,7.2
Girraween (NSW),--,--,21.5,9.7
Gladesville,--,--,20.5,20.1
Glebe (NSW),--,--,26.2,19.2
Glen Alpine,--,--,7.3,30.7
Glenbrook,--,--,13.0,22.9
Glendale (NSW),--,--,28.7,7.5
Glendenning,--,--,10.1,8.7
Glenhaven,--,--,10.1,30.9
Glenmore Park,--,--,9.2,19.3
Glenning Valley,--,--,14.7,13.9
Glenwood (NSW),--,--,8.1,24.7
Gordon (NSW),--,--,13.6,29.7
Gorokan,--,--,38.7,2.5
Gosford,--,--,27.5,3.3
Granville (NSW),--,--,25.6,6.2
Grays Point,--,--,8.6,30.7
Green Point (Great Lakes - NSW),--,--,35.3,4.3
Green Valley (NSW),--,--,16.6,10.3
Greenacre,--,--,31.1,6.6
Greenfield Park,--,--,17.3,10.2
Greenwich,--,--,10.7,31.2
Greystanes,--,--,19.2,11.7
Guildford (NSW),--,--,31.7,5.8
Guildford West,--,--,25.2,8.6
Gwynneville,--,--,40.2,6.5
Gymea,--,--,19.3,14.3
Gymea Bay,--,--,11.8,28.1
Haberfield,--,--,20.0,23.2
Halekulani,--,--,42.2,3.2
Hamilton (NSW),--,--,29.3,11.2
Hamilton East,--,--,16.7,21.1
Hamilton North,--,--,22.0,12.5
Hamilton South,--,--,40.6,13.8
Hammondville,--,--,20.5,11.4
Harrington Park,--,--,8.0,23.1
Harris Park,--,--,23.0,4.5
Hassall Grove,--,--,12.6,6.8
Haymarket,--,--,31.2,6.8
Heathcote (NSW),--,--,18.7,16.2
Hebersham,--,--,25.6,4.5
Heckenberg,--,--,36.1,2.3
Henley,--,--,12.4,36.5
Highfields (NSW),--,--,18.8,13.3
Hillsborough (Lake Macquarie - NSW),--,--,19.6,12.1
Hillsdale,--,--,23.4,5.5
Hinchinbrook (NSW),--,--,13.8,11.1
Holmesville,--,--,20.6,7.1
Holsworthy,--,--,6.3,16.0
