,Did unpaid domestic work (last week),Cared for child/children (last two weeks),Provided unpaid assistance to a person with a disability (last two weeks),Did voluntary work through an organisation or group (last 12 months),Did unpaid domestic work (last week) (%),Cared for child/children (last two weeks) (%),Provided unpaid assistance to a person with a disability (last two weeks) (%),Did voluntary work through an organisation or group (last 12 months) (%)
Lake Heights,1673.0,705.0,365.0,245.0,62.7,26.4,13.7,9.2
Lake Illawarra,1634.0,620.0,334.0,269.0,63.7,24.2,13.0,10.5
Lakelands (NSW),944.0,406.0,162.0,239.0,78.0,33.5,13.4,19.8
Lakemba,5975.0,3223.0,1173.0,941.0,51.3,27.7,10.1,8.1
Lalor Park,3598.0,1558.0,607.0,702.0,65.6,28.4,11.1,12.8
Lambton,2993.0,1223.0,506.0,649.0,74.3,30.4,12.6,16.1
Lane Cove,5983.0,2263.0,801.0,1756.0,77.4,29.3,10.4,22.7
Lane Cove North,5840.0,2122.0,735.0,1493.0,75.5,27.4,9.5,19.3
Lane Cove West,1333.0,607.0,200.0,369.0,80.0,36.4,12.0,22.2
Lansvale,1145.0,434.0,240.0,174.0,58.3,22.1,12.2,8.9
Lapstone,615.0,281.0,114.0,239.0,84.5,38.8,15.7,33.0
Lavender Bay,588.0,119.0,67.0,193.0,73.7,14.9,8.4,24.2
Leichhardt (NSW),8611.0,3067.0,1078.0,1867.0,76.4,27.2,9.6,16.6
Leonay,1539.0,685.0,237.0,320.0,80.2,35.7,12.3,16.7
Lethbridge Park,1827.0,921.0,450.0,290.0,53.4,26.9,13.2,8.5
Leumeah,5193.0,2174.0,876.0,881.0,68.8,28.8,11.6,11.7
Lewisham (NSW),1786.0,561.0,237.0,478.0,71.8,22.5,9.5,19.2
Liberty Grove,1175.0,516.0,134.0,208.0,71.4,31.3,8.1,12.6
Lidcombe,7917.0,3060.0,1333.0,1480.0,57.1,22.1,9.6,10.7
Lilli Pilli (Sutherland - NSW),801.0,346.0,131.0,233.0,79.5,34.3,13.0,23.2
Lilyfield,4383.0,1805.0,606.0,984.0,74.5,30.7,10.3,16.7
Lindfield,5235.0,2170.0,780.0,1889.0,77.1,32.0,11.5,27.8
Linley Point,244.0,99.0,39.0,57.0,76.5,31.0,12.3,17.9
Lisarow,2997.0,1301.0,472.0,699.0,78.1,33.9,12.3,18.2
Little Bay,1582.0,684.0,225.0,321.0,65.7,28.4,9.3,13.3
Liverpool,9467.0,4419.0,2160.0,1297.0,49.8,23.2,11.4,6.8
Loftus,2407.0,1120.0,396.0,691.0,77.9,36.3,12.8,22.4
Long Jetty,3143.0,1284.0,578.0,609.0,66.6,27.2,12.2,12.9
Long Point (Campbelltown - NSW),126.0,56.0,27.0,44.0,74.1,32.2,15.6,25.7
Longueville,1309.0,577.0,238.0,554.0,79.4,35.0,14.4,33.6
Lugarno,3444.0,1379.0,632.0,861.0,76.1,30.5,14.0,19.0
Lurnea,3680.0,1694.0,880.0,505.0,56.9,26.2,13.6,7.8
Macquarie Fields,6204.0,2789.0,1247.0,1049.0,61.4,27.6,12.3,10.4
Macquarie Hills,1882.0,928.0,311.0,341.0,78.2,38.5,12.9,14.2
Macquarie Links,638.0,280.0,91.0,140.0,74.2,32.5,10.6,16.2
Macquarie Park,3298.0,848.0,391.0,993.0,58.8,15.1,7.0,17.7
Malabar,1875.0,773.0,385.0,437.0,43.4,17.9,8.9,10.1
Mangerton,1672.0,740.0,306.0,456.0,73.8,32.7,13.5,20.1
Manly (NSW),9308.0,2894.0,1040.0,2556.0,70.9,22.1,7.9,19.5
Manly Vale,3399.0,1387.0,412.0,853.0,73.1,29.8,8.9,18.3
Marayong,3665.0,1603.0,570.0,581.0,62.3,27.3,9.7,9.9
Mardi,1860.0,905.0,273.0,396.0,70.9,34.5,10.4,15.1
Marks Point,969.0,406.0,222.0,168.0,66.7,28.0,15.3,11.6
Marmong Point,468.0,221.0,79.0,135.0,76.5,36.1,12.9,22.0
Maroubra,16267.0,6051.0,2543.0,3541.0,65.5,24.4,10.2,14.3
Marrickville,13882.0,4817.0,2118.0,2855.0,66.4,23.0,10.1,13.7
Marsfield,7013.0,2259.0,947.0,1741.0,65.1,21.0,8.8,16.2
Maryland (Newcastle - NSW),4411.0,2163.0,757.0,744.0,73.5,36.1,12.6,12.4
Maryville,952.0,323.0,129.0,190.0,78.0,26.5,10.6,15.6
Mascot,5413.0,1986.0,825.0,840.0,63.1,23.2,9.6,9.8
Matraville,4768.0,2029.0,840.0,924.0,65.0,27.7,11.5,12.6
Mayfield (Newcastle - NSW),5225.0,1898.0,876.0,1016.0,67.9,24.7,11.4,13.2
Mayfield East,980.0,366.0,146.0,206.0,68.6,25.6,10.2,14.4
Mayfield West,958.0,364.0,148.0,180.0,66.2,25.2,10.2,12.4
Mays Hill,376.0,143.0,68.0,80.0,63.7,24.3,11.6,13.6
McMahons Point,1624.0,352.0,204.0,440.0,75.3,16.3,9.4,20.4
Meadowbank (NSW),2189.0,589.0,225.0,466.0,66.5,17.9,6.8,14.1
Melrose Park (NSW),854.0,377.0,134.0,232.0,75.4,33.3,11.9,20.5
Menai,6123.0,2733.0,921.0,1355.0,75.4,33.7,11.4,16.7
Merewether,6856.0,2520.0,1004.0,1795.0,78.0,28.7,11.4,20.4
Merewether Heights,871.0,423.0,167.0,247.0,78.3,38.0,15.0,22.3
Merrylands,11754.0,5185.0,2424.0,1816.0,56.3,24.8,11.6,8.7
Merrylands West,2780.0,1164.0,482.0,496.0,56.2,23.6,9.7,10.0
Middle Cove,812.0,345.0,118.0,275.0,82.1,34.9,11.9,27.8
Miller,1110.0,519.0,279.0,197.0,46.6,21.8,11.7,8.3
Millers Point,962.0,204.0,129.0,230.0,58.7,12.5,7.9,14.1
Milperra,2343.0,1076.0,394.0,443.0,75.6,34.8,12.7,14.3
Milsons Point,1252.0,303.0,129.0,325.0,67.3,16.3,6.9,17.5
Minchinbury,2908.0,1251.0,416.0,479.0,68.3,29.4,9.8,11.2
Minmi,385.0,193.0,69.0,78.0,73.2,36.6,13.1,14.9
Minto,4795.0,2199.0,910.0,884.0,60.3,27.6,11.4,11.1
Miranda (NSW),8255.0,3291.0,1240.0,1580.0,69.5,27.7,10.4,13.3
Mona Vale,6208.0,2479.0,940.0,1531.0,74.2,29.6,11.2,18.3
Monterey,2327.0,931.0,474.0,385.0,64.3,25.7,13.1,10.6
Moorebank,4043.0,1892.0,686.0,630.0,67.9,31.8,11.5,10.6
Mortdale,5583.0,2246.0,805.0,1113.0,69.7,28.0,10.0,13.9
Mortlake (NSW),456.0,186.0,66.0,84.0,75.4,30.7,10.9,13.9
Mosman,16754.0,6234.0,2293.0,5265.0,74.7,27.8,10.2,23.5
Mount Annan,5922.0,3104.0,786.0,1050.0,77.2,40.4,10.2,13.7
Mount Colah,4452.0,1863.0,619.0,1260.0,79.6,33.3,11.1,22.5
Mount Druitt,6491.0,3393.0,1304.0,1051.0,55.6,29.1,11.2,9.0
Mount Hutton (NSW),1799.0,714.0,298.0,321.0,67.7,26.8,11.2,12.1
Mount Keira,994.0,421.0,184.0,261.0,82.1,34.8,15.2,21.6
Mount Kembla,675.0,294.0,122.0,224.0,81.8,35.7,14.8,27.1
Mount Lewis,471.0,228.0,119.0,74.0,54.1,26.3,13.7,8.5
Mount Ousley,986.0,370.0,157.0,269.0,79.1,29.7,12.6,21.6
Mount Pleasant (NSW),770.0,311.0,149.0,216.0,79.7,32.3,15.4,22.4
Mount Pritchard,3924.0,1768.0,801.0,598.0,55.9,25.2,11.4,8.5
Mount Riverview,1938.0,783.0,324.0,579.0,80.4,32.5,13.5,24.0
Mount Saint Thomas,802.0,370.0,132.0,173.0,73.0,33.6,12.0,15.7
