,People,Male,Female,Median age,Families,Average children per family,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Merrylands,26658.0,13249.0,13409.0,32.0,6767.0,2.0,9465.0,3.0,1042.0,1998.0,320.0,1.5
Merrylands West,6188.0,2959.0,3229.0,35.0,1530.0,2.0,2397.0,2.7,994.0,1900.0,318.0,1.4
Middle Cove,1271.0,618.0,653.0,42.0,359.0,1.9,466.0,2.9,2812.0,4000.0,602.0,1.7
Miller,3088.0,1542.0,1546.0,33.0,698.0,2.1,1203.0,2.7,593.0,1517.0,126.0,1.2
Millers Point,1736.0,926.0,810.0,44.0,410.0,1.5,1245.0,1.8,2202.0,3600.0,577.0,0.8
Milperra,3844.0,1918.0,1926.0,38.0,1121.0,1.9,1332.0,2.9,1683.0,2200.0,390.0,2.1
Milsons Point,2013.0,998.0,1015.0,39.0,548.0,1.4,1216.0,1.9,2632.0,3000.0,650.0,1.1
Minchinbury,5453.0,2717.0,2736.0,32.0,1444.0,2.0,1648.0,3.4,1712.0,2167.0,350.0,2.1
Minmi,694.0,344.0,350.0,36.0,201.0,1.9,241.0,3.2,1447.0,1500.0,250.0,2.3
Minto,10307.0,5033.0,5274.0,33.0,2706.0,1.9,3444.0,3.1,1152.0,1738.0,250.0,1.6
Miranda,47.0,22.0,25.0,52.0,14.0,1.5,72.0,2.1,1750.0,1083.0,0.0,2.1
Mona Vale,10166.0,4870.0,5296.0,42.0,2757.0,1.8,4106.0,2.6,1686.0,2600.0,475.0,1.8
Monterey,4331.0,2101.0,2230.0,40.0,1223.0,1.7,1949.0,2.4,1294.0,2400.0,380.0,1.5
Moorebank,7595.0,3807.0,3788.0,35.0,2118.0,1.8,2656.0,2.9,1434.0,2300.0,350.0,1.9
Mortdale,9702.0,4741.0,4961.0,36.0,2663.0,1.7,4110.0,2.5,1392.0,2100.0,340.0,1.4
Mortlake,1354.0,671.0,683.0,47.0,358.0,2.1,674.0,2.3,776.0,867.0,173.0,1.7
Mosman,27452.0,12819.0,14633.0,40.0,7041.0,1.8,12895.0,2.3,2465.0,3033.0,473.0,1.5
Mount Annan,10540.0,5199.0,5341.0,31.0,2888.0,2.0,3287.0,3.3,1984.0,2200.0,400.0,2.1
Mount Colah,7106.0,3518.0,3588.0,37.0,2001.0,1.9,2428.0,3.0,1994.0,2492.0,450.0,1.9
Mount Druitt,15794.0,7926.0,7868.0,30.0,4011.0,2.0,5181.0,3.2,1049.0,1700.0,290.0,1.4
Mount Hutton,3181.0,1504.0,1677.0,41.0,851.0,1.8,1323.0,2.4,1013.0,1840.0,270.0,1.7
Mount Keira,1522.0,767.0,755.0,37.0,442.0,1.9,572.0,2.8,1630.0,2167.0,275.0,1.8
Mount Kembla,1028.0,509.0,519.0,40.0,292.0,1.9,379.0,2.9,1781.0,2383.0,270.0,2.1
Mount Lewis,1104.0,518.0,586.0,35.0,297.0,2.2,359.0,3.2,979.0,2500.0,313.0,1.7
Mount Ousley,1530.0,757.0,773.0,41.0,447.0,1.8,581.0,2.8,1530.0,2000.0,330.0,1.9
Mount Pleasant,6496.0,3133.0,3363.0,42.0,1855.0,1.8,2882.0,2.5,1908.0,2569.0,375.0,1.9
Mount Pritchard,9044.0,4460.0,4584.0,35.0,2382.0,2.0,3085.0,3.1,966.0,1863.0,276.0,1.7
Mount Riverview,2968.0,1473.0,1495.0,41.0,873.0,1.9,1099.0,2.8,1720.0,2058.0,325.0,2.0
