,Separate house,"Semi-detached, row or terrace house, townhouse etc",Flat or apartment,Other dwelling,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)",Flat or apartment (%),Other dwelling (%),SSC_CODE
Inverell,3854.0,167.0,350.0,50.0,86.0,3.7,7.8,1.1,11981
Ashford (NSW),238.0,0.0,3.0,15.0,93.0,0.0,1.2,5.9,10099
Tingha,267.0,0.0,3.0,9.0,94.7,0.0,1.1,3.2,13874
Bundarra,243.0,0.0,0.0,7.0,97.2,0.0,0.0,2.8,10671
Gilgai,230.0,0.0,0.0,3.0,97.5,0.0,0.0,1.3,11618
Elsmore,51.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,11408
Bingara,555.0,15.0,10.0,17.0,93.0,2.5,1.7,2.8,10365
Gravesend,112.0,0.0,0.0,0.0,97.4,0.0,0.0,0.0,11742
Delungra,222.0,0.0,0.0,0.0,96.9,0.0,0.0,0.0,11234
Warialda,586.0,5.0,15.0,10.0,94.7,0.8,2.4,1.6,14149
Tabulam,176.0,0.0,0.0,4.0,96.2,0.0,0.0,2.2,13723
Tenterfield,1537.0,53.0,30.0,18.0,93.6,3.2,1.8,1.1,13792
Drake,136.0,0.0,0.0,0.0,97.1,0.0,0.0,0.0,11290
Urbenville,118.0,0.0,0.0,3.0,97.5,0.0,0.0,2.5,14057
Woodenbong,160.0,3.0,0.0,0.0,98.2,1.8,0.0,0.0,14382
Moree,2607.0,161.0,431.0,60.0,79.5,4.9,13.1,1.8,12722
Pallamallawa,92.0,66.0,0.0,0.0,57.1,41.0,0.0,0.0,13131
Ashley,127.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10100
Boggabilla,281.0,0.0,8.0,0.0,97.2,0.0,2.8,0.0,10441
North Star,75.0,0.0,0.0,3.0,96.2,0.0,0.0,3.8,13008
Mungindi (NSW),204.0,11.0,0.0,6.0,92.3,5.0,0.0,2.7,12843
Narrabri,2365.0,106.0,208.0,23.0,87.1,3.9,7.7,0.8,12903
Wee Waa,624.0,54.0,18.0,16.0,87.3,7.6,2.5,2.2,14211
Gunnedah,3188.0,160.0,244.0,24.0,87.6,4.4,6.7,0.7,11812
Curlewis (NSW),269.0,0.0,0.0,0.0,98.9,0.0,0.0,0.0,11169
Boggabri,395.0,0.0,16.0,7.0,93.8,0.0,3.8,1.7,10442
Carroll,104.0,0.0,0.0,3.0,97.2,0.0,0.0,2.8,10832
Mullaley,63.0,0.0,0.0,3.0,95.5,0.0,0.0,4.5,12820
Werris Creek,605.0,3.0,15.0,9.0,95.7,0.5,2.4,1.4,14238
Quirindi,1236.0,15.0,65.0,8.0,93.1,1.1,4.9,0.6,13301
Wallabadah,162.0,0.0,0.0,4.0,97.6,0.0,0.0,2.4,14098
Willow Tree,110.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,14305
Hillvue,2153.0,75.0,3.0,15.0,95.7,3.3,0.1,0.7,11914
Calala,1263.0,40.0,3.0,0.0,96.3,3.0,0.2,0.0,10748
