,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%)
Phillip Bay,176.0,41.0,6.0,78.6,18.3,2.7
Picnic Point,1477.0,228.0,44.0,82.7,12.8,2.5
Plumpton,1651.0,153.0,36.0,87.2,8.1,1.9
Point Clare,855.0,361.0,28.0,66.8,28.2,2.2
Point Frederick,411.0,328.0,28.0,52.4,41.8,3.6
Point Piper,337.0,165.0,29.0,54.0,26.4,4.6
Port Kembla,1210.0,484.0,42.0,67.8,27.1,2.4
Potts Point,929.0,1825.0,262.0,24.2,47.6,6.8
Prairiewood,792.0,77.0,11.0,89.0,8.7,1.2
Prestons,2221.0,170.0,33.0,88.9,6.8,1.3
Primbee,439.0,139.0,15.0,71.4,22.6,2.4
Prospect,1160.0,168.0,17.0,85.0,12.3,1.2
Punchbowl,4083.0,888.0,111.0,77.4,16.8,2.1
Putney,794.0,151.0,24.0,79.8,15.2,2.4
Pymble,2530.0,383.0,27.0,83.6,12.7,0.9
Pyrmont,1606.0,895.0,505.0,41.2,23.0,13.0
Quakers Hill,6011.0,779.0,159.0,83.9,10.9,2.2
Queens Park,703.0,312.0,79.0,61.8,27.4,6.9
Raby,1681.0,184.0,25.0,87.3,9.6,1.3
Ramsgate,194.0,36.0,9.0,75.5,14.0,3.5
Ramsgate Beach,356.0,287.0,20.0,49.8,40.1,2.8
Randwick,5799.0,3183.0,1427.0,51.7,28.4,12.7
Rankin Park,773.0,104.0,13.0,85.8,11.5,1.4
Redfern,2137.0,1966.0,673.0,38.9,35.8,12.2
Redhead,893.0,347.0,27.0,68.9,26.8,2.1
Regents Park,935.0,317.0,46.0,69.8,23.7,3.4
Regentville,212.0,38.0,11.0,80.6,14.4,4.2
Revesby,2980.0,849.0,100.0,74.3,21.2,2.5
Revesby Heights,350.0,76.0,5.0,77.1,16.7,1.1
Rhodes,178.0,58.0,8.0,70.6,23.0,3.2
Riverstone,1633.0,396.0,49.0,75.8,18.4,2.3
Riverview,810.0,144.0,10.0,82.2,14.6,1.0
Riverwood,2663.0,1227.0,87.0,64.1,29.5,2.1
Rockdale,2791.0,782.0,258.0,66.9,18.7,6.2
Rocky Point,68.0,14.0,0.0,80.0,16.5,0.0
Rodd Point,354.0,107.0,18.0,72.0,21.7,3.7
Rooty Hill,2722.0,403.0,66.0,81.7,12.1,2.0
Rose Bay,2083.0,1054.0,233.0,53.0,26.8,5.9
Rosebery,1768.0,444.0,146.0,69.8,17.5,5.8
Roselands,2592.0,672.0,62.0,74.2,19.2,1.8
Rosemeadow,2012.0,232.0,37.0,85.4,9.8,1.6
Roseville,2132.0,493.0,107.0,75.7,17.5,3.8
Roseville Chase,419.0,92.0,9.0,79.5,17.5,1.7
Rouse Hill,906.0,56.0,12.0,90.5,5.6,1.2
Rozelle,1720.0,853.0,313.0,54.8,27.2,10.0
Ruse,1611.0,232.0,31.0,84.6,12.2,1.6
Rushcutters Bay,285.0,812.0,100.0,20.0,56.9,7.0
Russell Lea,1362.0,437.0,100.0,66.9,21.5,4.9
Russell Vale,345.0,96.0,20.0,73.6,20.5,4.3
Rydalmere,303.0,162.0,14.0,60.7,32.5,2.8
Ryde,5220.0,2035.0,300.0,66.7,26.0,3.8
Sadleir,706.0,207.0,26.0,72.4,21.2,2.7
San Remo,1058.0,256.0,42.0,76.4,18.5,3.0
Sandringham,304.0,172.0,22.0,59.5,33.7,4.3
Sans Souci,2493.0,1044.0,121.0,63.8,26.7,3.1
Saratoga,1069.0,345.0,37.0,71.1,23.0,2.5
Scarborough,93.0,35.0,6.0,66.0,24.8,4.3
Schofields,831.0,133.0,23.0,82.5,13.2,2.3
Scotland Island,200.0,36.0,3.0,72.2,13.0,1.1
Seaforth,1673.0,301.0,51.0,80.2,14.4,2.4
Sefton,1306.0,381.0,30.0,74.9,21.8,1.7
Seven Hills,4807.0,1147.0,150.0,77.3,18.4,2.4
Shalvey,923.0,129.0,19.0,82.8,11.6,1.7
Shell Cove,359.0,21.0,4.0,92.3,5.4,1.0
Shellharbour,937.0,195.0,21.0,78.9,16.4,1.8
Shelly Beach,370.0,127.0,11.0,69.8,24.0,2.1
Shortland,974.0,352.0,75.0,67.4,24.4,5.2
Silverwater,249.0,64.0,26.0,68.0,17.5,7.1
Smithfield,2643.0,670.0,60.0,75.7,19.2,1.7
South Coogee,1202.0,598.0,82.0,58.6,29.2,4.0
South Granville,787.0,167.0,16.0,78.5,16.7,1.6
South Hurstville,1089.0,346.0,47.0,70.9,22.5,3.1
South Penrith,3353.0,649.0,84.0,80.6,15.6,2.0
South Turramurra,844.0,122.0,6.0,84.9,12.3,0.6
South Wentworthville,1231.0,344.0,48.0,73.8,20.6,2.9
Speers Point,874.0,352.0,30.0,68.7,27.7,2.4
Springfield,1089.0,216.0,30.0,79.0,15.7,2.2
Springwood,2074.0,760.0,75.0,69.2,25.4,2.5
St Andrews,1595.0,172.0,19.0,87.4,9.4,1.0
St Clair,5450.0,474.0,72.0,88.6,7.7,1.2
St Helens Park,1505.0,201.0,51.0,82.9,11.1,2.8
St Huberts Island,354.0,70.0,7.0,79.4,15.7,1.6
St Ives,3933.0,613.0,31.0,84.2,13.1,0.7
St Ives Chase,895.0,71.0,8.0,91.0,7.2,0.8
St Johns Park,1354.0,89.0,13.0,89.1,5.9,0.9
St Leonards,482.0,282.0,87.0,50.7,29.7,9.2
St Marys,2363.0,1037.0,120.0,64.7,28.4,3.3
St Peters,508.0,248.0,134.0,52.7,25.7,13.9
Stanhope Gardens,774.0,247.0,36.0,70.5,22.5,3.3
Stanmore,1604.0,910.0,331.0,53.8,30.5,11.1
Stockton,1029.0,499.0,45.0,62.9,30.5,2.8
Strathfield,4837.0,1455.0,377.0,67.9,20.4,5.3
Strathfield South,767.0,189.0,24.0,76.2,18.8,2.4
Summer Hill,1436.0,843.0,216.0,52.6,30.9,7.9
Surry Hills,2292.0,2486.0,946.0,31.9,34.6,13.2
Sutherland,2484.0,1284.0,226.0,60.0,31.0,5.5
Swansea,1289.0,697.0,41.0,61.7,33.4,2.0
Swansea Heads,172.0,50.0,0.0,75.8,22.0,0.0
Sydenham,233.0,108.0,34.0,60.1,27.8,8.8
Sydney,1349.0,1108.0,419.0,30.7,25.2,9.5
Sylvania,2464.0,815.0,67.0,72.1,23.9,2.0
Sylvania Waters,981.0,162.0,12.0,82.3,13.6,1.0
Tacoma,178.0,29.0,6.0,76.7,12.5,2.6
Tacoma South,71.0,17.0,0.0,69.6,16.7,0.0
Tamarama,352.0,201.0,77.0,52.9,30.2,11.6
Taren Point,326.0,71.0,9.0,77.4,16.9,2.1
Tarrawanna,378.0,158.0,16.0,67.6,28.3,2.9
Tascott,492.0,119.0,14.0,76.4,18.5,2.2
Tempe,796.0,289.0,70.0,64.1,23.3,5.6
Teralba,363.0,139.0,15.0,65.9,25.2,2.7
Terrey Hills,745.0,98.0,15.0,84.1,11.1,1.7
Terrigal,2581.0,840.0,154.0,69.6,22.7,4.2
The Entrance,613.0,552.0,66.0,43.9,39.5,4.7
The Entrance North,271.0,144.0,23.0,54.9,29.1,4.7
