,Catholic,Eastern Orthodox,Anglican,No Religion,Assyrian Apostolic,Presbyterian and Reformed,Hinduism,Sikhism,Uniting Church,Islam,Latter-day Saints,Buddhism,"Christian, nfd",Pentecostal,Judaism,Baptist,Miscellaneous Religions,Oriental Orthodox,Seventh-day Adventist,Catholic (%),Eastern Orthodox (%),Anglican (%),No Religion (%),Assyrian Apostolic (%),Presbyterian and Reformed (%),Hinduism (%),Sikhism (%),Uniting Church (%),Islam (%),Latter-day Saints (%),Buddhism (%),"Christian, nfd (%)",Pentecostal (%),Judaism (%),Baptist (%),Miscellaneous Religions (%),Oriental Orthodox (%),Seventh-day Adventist (%)
Cambridge Gardens,690,,549,349,,63,,,,,,,50,,,,,,,33.9,,26.9,17.1,,3.1,,,,,,,2.5,,,,,,
Cambridge Park,"1,903",,"1,649","1,099",,200,,,156,,,,,,,,,,,30.9,,26.8,17.8,,3.2,,,2.5,,,,,,,,,,
Camden,"1,023",,"1,003",447,,105,,,149,,,,,,,,,,,31.5,,30.9,13.8,,3.2,,,4.6,,,,,,,,,,
Camden South,"1,364",,"1,439",583,,125,,,223,,,,,,,,,,,31.4,,33.1,13.4,,2.9,,,5.1,,,,,,,,,,
Cammeray,"1,715",,"1,364","1,886",,,,,178,,,180,,,,,,,,25.3,,20.1,27.8,,,,,2.6,,,2.7,,,,,,,
Campbelltown,"3,097",,"2,271","1,475",,299,,,,502,,,,,,,,,,29.8,,21.8,14.2,,2.9,,,,4.8,,,,,,,,,
Camperdown,"1,480",138,888,"3,160",,,,,,,,303,,,,,,,,18.8,1.8,11.3,40.2,,,,,,,,3.9,,,,,,,
Campsie,"4,563","1,357",,"4,883",,,"1,423",,,,,"2,638",,,,,,,,21.5,6.4,,23.0,,,6.7,,,,,12.4,,,,,,,
Canada Bay,603,91,164,178,,,,,,,,44,,,,,,,,46.6,7.0,12.7,13.8,,,,,,,,3.4,,,,,,,
Canley Heights,"2,306",459,590,906,,,,,,,,"4,472",,,,,,,,22.1,4.4,5.6,8.7,,,,,,,,42.8,,,,,,,
Canley Vale,"1,880",461,336,"1,010",,,,,,,,"3,812",,,,,,,,20.2,5.0,3.6,10.9,,,,,,,,41.0,,,,,,,
Canterbury,"1,790",899,364,998,,,,,,,,440,,,,,,,,29.0,14.6,5.9,16.2,,,,,,,,7.1,,,,,,,
Canton Beach,252,,370,185,,52,,,44,,,,,,,,,,,23.4,,34.4,17.2,,4.8,,,4.1,,,,,,,,,,
Cardiff,"1,422",,"1,392","1,252",,183,,,422,,,,,,,,,,,24.6,,24.1,21.7,,3.2,,,7.3,,,,,,,,,,
Cardiff Heights,339,,261,306,,,,,52,,,,,,,55,,,,26.5,,20.4,23.9,,,,,4.1,,,,,,,4.3,,,
Cardiff South,764,,803,572,,112,,,206,,,,,,,,,,,25.8,,27.1,19.3,,3.8,,,6.9,,,,,,,,,,
Caringbah,"3,314",,"2,772","1,882",,344,,,400,,,,,,,,,,,30.3,,25.3,17.2,,3.1,,,3.7,,,,,,,,,,
Carlingford,"4,659",,"2,692","5,485",,"1,027",,,,,,"1,368",,,,,,,,21.6,,12.5,25.4,,4.8,,,,,,6.3,,,,,,,
Carlton,"2,066","1,780",918,"1,790",,,,,,698,,,,,,,,,,21.1,18.1,9.4,18.3,,,,,,7.1,,,,,,,,,
Carramar,878,,236,309,,,,,,423,,577,,,,,,,,25.6,,6.9,9.0,,,,,,12.3,,16.8,,,,,,,
Carrington,412,,389,548,,49,,,85,,,,,,,,,,,22.0,,20.7,29.2,,2.6,,,4.5,,,,,,,,,,
Carss Park,335,258,215,131,,,,,,,,,37,,,,,,,27.5,21.2,17.6,10.7,,,,,,,,,3.0,,,,,,
Cartwright,577,,379,186,,,,,,300,,200,,,,,,,,25.6,,16.8,8.2,,,,,,13.3,,8.9,,,,,,,
Castle Cove,701,,495,573,,,,,93,,,,,,103,,,,,27.8,,19.6,22.7,,,,,3.7,,,,,,4.1,,,,
Castle Hill,"11,808",,"7,226","6,121",,,,,"1,503",,,"1,251",,,,,,,,31.1,,19.1,16.1,,,,,4.0,,,3.3,,,,,,,
Castlecrag,854,,644,729,,,,,76,,,,,,96,,,,,28.9,,21.8,24.6,,,,,2.6,,,,,,3.2,,,,
Casula,"4,740","1,224","1,413",978,,,,,,"1,931",,,,,,,,,,32.3,8.3,9.6,6.7,,,,,,13.1,,,,,,,,,
Caves Beach,"1,027",,980,807,,187,,,277,,,,,,,,,,,26.1,,24.9,20.5,,4.8,,,7.0,,,,,,,,,,
Cecil Hills,"3,331",558,,395,,,,,,342,,615,,,,,,,,48.5,8.1,,5.8,,,,,,5.0,,9.0,,,,,,,
Centennial Park,524,62,310,614,,,,,,,,,,,102,,,,,24.9,2.9,14.7,29.2,,,,,,,,,,,4.9,,,,
Charlestown,"3,203",,"2,889","2,436",,444,,,928,,,,,,,,,,,25.8,,23.3,19.6,,3.6,,,7.5,,,,,,,,,,
Charmhaven,510,,732,424,,,,,97,,,,56,,,,,,,21.9,,31.5,18.2,,,,,4.2,,,,2.4,,,,,,
Chatswood,"4,347",,"2,211","6,607",,899,,,,,,"1,601",,,,,,,,20.5,,10.4,31.2,,4.2,,,,,,7.6,,,,,,,
Chatswood West,360,,266,397,,50,,,41,,,,,,,,,,,25.2,,18.6,27.8,,3.5,,,2.9,,,,,,,,,,
Cheltenham,342,,496,501,,108,,,139,,,,,,,,,,,16.5,,24.0,24.2,,5.2,,,6.7,,,,,,,,,,
Cherrybrook,"4,448",,"3,203","3,218",,,"1,011",,996,,,,,,,,,,,23.7,,17.1,17.1,,,5.4,,5.3,,,,,,,,,,
Chester Hill,"3,017",,"1,198","1,052",,,,,,"2,454",,"1,459",,,,,,,,25.7,,10.2,9.0,,,,,,20.9,,12.4,,,,,,,
Chifley,"1,224",177,635,405,,,,,,,,,,,74,,,,,38.9,5.6,20.2,12.9,,,,,,,,,,,2.4,,,,
Chippendale,584,,247,"1,650",,,110,,,,,311,,,,,,,,14.4,,6.1,40.7,,,2.7,,,,,7.7,,,,,,,
Chipping Norton,"3,287",908,"1,402",831,,,,,,475,,,,,,,,,,37.2,10.3,15.9,9.4,,,,,,5.4,,,,,,,,,
Chiswick,972,135,312,492,,65,,,,,,,,,,,,,,39.4,5.5,12.6,19.9,,2.6,,,,,,,,,,,,,
Chittaway Bay,540,,608,327,,58,,,56,,,,,,,,,,,28.4,,31.9,17.2,,3.0,,,2.9,,,,,,,,,,
Chittaway Point,206,,286,172,,25,,,39,,,,,,,,,,,22.9,,31.8,19.2,,2.8,,,4.3,,,,,,,,,,
Church Point,216,,376,251,,39,,,38,,,,,,,,,,,19.3,,33.5,22.4,,3.5,,,3.4,,,,,,,,,,
Claremont Meadows,"1,424",,898,559,,,128,,,147,,,,,,,,,,34.3,,21.6,13.5,,,3.1,,,3.5,,,,,,,,,
Claymore,662,,554,464,,,,,,,138,,174,,,,,,,20.0,,16.7,14.0,,,,,,,4.2,,5.3,,,,,,
Clontarf,480,72,458,399,,59,,,,,,,,,,,,,,28.4,4.3,27.1,23.6,,3.5,,,,,,,,,,,,,
Clovelly,"1,304",104,760,"1,291",,,,,,,,,,,189,,,,,28.5,2.3,16.6,28.2,,,,,,,,,,,4.1,,,,
Coal Point,351,,415,392,,53,,,221,,,,,,,,,,,20.3,,24.0,22.7,,3.1,,,12.8,,,,,,,,,,
Coledale,253,,304,342,,33,,,40,,,,,,,,,,,21.6,,26.0,29.3,,2.8,,,3.4,,,,,,,,,,
Collaroy,"4,408",,"3,668","2,992",,461,,,506,,,,,,,,,,,30.6,,25.5,20.8,,3.2,,,3.5,,,,,,,,,,
Colyton,"2,829",292,"1,639",991,,,,,,288,,,,,,,,,,35.4,3.7,20.5,12.4,,,,,,3.6,,,,,,,,,
Como,"1,109",93,904,867,,,,,207,,,,,,,,,,,29.3,2.5,23.9,22.9,,,,,5.5,,,,,,,,,,
Concord,"6,911",910,"1,442","1,967",,353,,,,,,,,,,,,,,48.8,6.4,10.2,13.9,,2.5,,,,,,,,,,,,,
Concord West,"2,634",361,607,788,,,,,195,,,,,,,,,,,45.0,6.2,10.4,13.5,,,,,3.3,,,,,,,,,,
Condell Park,"2,908","1,370",652,,,,,,,"2,286",,813,,,,,,,,27.9,13.2,6.3,,,,,,,22.0,,7.8,,,,,,,
Coniston,475,485,265,372,,,,,84,,,,,,,,,,,21.8,22.2,12.2,17.1,,,,,3.9,,,,,,,,,,
Connells Point,789,554,488,290,,,,,80,,,,,,,,,,,29.2,20.5,18.1,10.7,,,,,3.0,,,,,,,,,,
Coogee,"4,202",497,"1,972","3,962",,,,,,,,,,,363,,,,,30.0,3.5,14.1,28.3,,,,,,,,,,,2.6,,,,
Cooks Hill,821,,669,"1,293",,92,,,118,,,,,,,,,,,22.7,,18.5,35.7,,2.5,,,3.3,,,,,,,,,,
Copacabana,674,,620,665,,78,,,122,,,,,,,,,,,25.1,,23.0,24.7,,2.9,,,4.5,,,,,,,,,,
Cordeaux Heights,"1,318",687,930,633,,,,,254,,,,,,,,,,,27.9,14.6,19.7,13.4,,,,,5.4,,,,,,,,,,
Corrimal,"1,970",261,"1,400","1,090",,,,,392,,,,,,,,,,,31.2,4.1,22.1,17.2,,,,,6.2,,,,,,,,,,
Cranebrook,"5,098",,"3,903","2,445",,401,,,393,,,,,,,,,,,34.6,,26.5,16.6,,2.7,,,2.7,,,,,,,,,,
Cremorne,"2,589",,"2,228","2,848",,264,,,,,,359,,,,,,,,23.4,,20.2,25.8,,2.4,,,,,,3.2,,,,,,,
Cremorne Point,423,,432,563,,51,,,65,,,,,,,,,,,21.4,,21.9,28.5,,2.6,,,3.3,,,,,,,,,,
Cringila,441,507,113,169,,,,,,486,,,,,,,,,,20.9,24.0,5.3,8.0,,,,,,23.0,,,,,,,,,
Cromer,"2,151",,"1,813","1,469",,209,,,339,,,,,,,,,,,30.0,,25.3,20.5,,2.9,,,4.7,,,,,,,,,,
Cronulla,"5,348",,"4,030","3,321",,492,,,660,,,,,,,,,,,31.4,,23.6,19.5,,2.9,,,3.9,,,,,,,,,,
Croudace Bay,130,,188,82,,,,,37,,,,,,,18,,,,23.9,,34.6,15.1,,,,,6.8,,,,,,,3.3,,,
Crows Nest,918,,618,"1,210",,,114,,,,,141,,,,,,,,22.7,,15.3,29.9,,,2.8,,,,,3.5,,,,,,,
Croydon,"3,679",574,996,"2,244",,,,,,,,581,,,,,,,,35.4,5.5,9.6,21.6,,,,,,,,5.6,,,,,,,
Croydon Park,"4,717",817,943,"1,549",,,,,,,,368,,,,,,,,43.9,7.6,8.8,14.4,,,,,,,,3.4,,,,,,,
Curl Curl,724,,574,627,,62,,,97,,,,,,,,,,,30.0,,23.8,26.0,,2.6,,,4.0,,,,,,,,,,
Currans Hill,"1,668",,"1,369",772,,,,,155,,,,,122,,,,,,33.2,,27.2,15.4,,,,,3.1,,,,,2.4,,,,,
