,Catholic,Eastern Orthodox,Anglican,No Religion,Assyrian Apostolic,Presbyterian and Reformed,Hinduism,Sikhism,Uniting Church,Islam,Latter-day Saints,Buddhism,"Christian, nfd",Pentecostal,Judaism,Baptist,Miscellaneous Religions,Oriental Orthodox,Seventh-day Adventist,Catholic (%),Eastern Orthodox (%),Anglican (%),No Religion (%),Assyrian Apostolic (%),Presbyterian and Reformed (%),Hinduism (%),Sikhism (%),Uniting Church (%),Islam (%),Latter-day Saints (%),Buddhism (%),"Christian, nfd (%)",Pentecostal (%),Judaism (%),Baptist (%),Miscellaneous Religions (%),Oriental Orthodox (%),Seventh-day Adventist (%)
Sandringham,254,265,179,110,,,,,,31,,,,,,,,,,26.0,27.1,18.3,11.2,,,,,,3.2,,,,,,,,,
Sans Souci,"2,825","2,141","1,544",996,,,,,,258,,,,,,,,,,29.2,22.1,16.0,10.3,,,,,,2.7,,,,,,,,,
Saratoga,952,,"1,076",756,,,,,210,,,,133,,,,,,,25.6,,29.0,20.3,,,,,5.7,,,,3.6,,,,,,
Scarborough,55,,59,108,,,,,8,,,6,,,,,,,,19.9,,21.4,39.1,,,,,2.9,,,2.2,,,,,,,
Schofields,"1,603",,789,495,,,,,88,,,,,,,78,,,,42.0,,20.7,13.0,,,,,2.3,,,,,,,2.0,,,
Scotland Island,101,,86,335,,,,,24,,,,19,,,,,,,14.1,,12.0,46.9,,,,,3.4,,,,2.7,,,,,,
Seaforth,"1,877",,"1,709","1,674",,188,,,212,,,,,,,,,,,27.9,,25.4,24.9,,2.8,,,3.2,,,,,,,,,,
Sefton,"1,257",,399,507,,,,,,"1,288",,748,,,,,,,,24.0,,7.6,9.7,,,,,,24.6,,14.3,,,,,,,
Seven Hills,"5,805",,"3,081","2,271",,,"1,551",,,715,,,,,,,,,,30.8,,16.4,12.1,,,8.2,,,3.8,,,,,,,,,
Shalvey,"1,026",,742,520,,,,,115,145,,,,,,,,,,29.2,,21.1,14.8,,,,,3.3,4.1,,,,,,,,,
Shell Cove,"1,368",295,963,611,,,,,160,,,,,,,,,,,33.9,7.3,23.9,15.2,,,,,4.0,,,,,,,,,,
Shellharbour,"1,120",169,861,492,,,,,135,,,,,,,,,,,33.7,5.1,25.9,14.8,,,,,4.1,,,,,,,,,,
Shelly Beach,420,,344,171,,51,,,60,,,,,,,,,,,33.1,,27.2,13.5,,4.0,,,4.7,,,,,,,,,,
Shortland,903,,875,762,,,,,246,,,,,,,117,,,,24.4,,23.6,20.6,,,,,6.6,,,,,,,3.2,,,
Silverwater,65,,64,39,,,,,13,,,,,,,,,,29,26.1,,25.7,15.7,,,,,5.2,,,,,,,,,,11.6
Smithfield,"4,686",,"1,015",776,,,,,,654,,918,,,,,,,,42.5,,9.2,7.0,,,,,,5.9,,8.3,,,,,,,
South Coogee,"1,690",503,689,831,,,,,,,,,,,279,,,,,33.3,9.9,13.6,16.4,,,,,,,,,,,5.5,,,,
South Granville,"1,196",157,287,223,,,,,,"2,023",,,,,,,,,,24.7,3.2,5.9,4.6,,,,,,41.7,,,,,,,,,
South Hurstville,"1,216",624,597,"1,041",,,,,,330,,,,,,,,,,24.7,12.7,12.1,21.1,,,,,,6.7,,,,,,,,,
South Penrith,"3,850",,"3,112","1,708",,437,,,327,,,,,,,,,,,33.1,,26.7,14.7,,3.8,,,2.8,,,,,,,,,,
South Turramurra,597,,765,665,,101,,,232,,,,,,,,,,,20.1,,25.7,22.4,,3.4,,,7.8,,,,,,,,,,
South Wentworthville,"2,199",285,665,478,,,,,,493,,,,,,,,,,39.8,5.2,12.0,8.7,,,,,,8.9,,,,,,,,,
Speers Point,800,,822,635,,135,,,268,,,,,,,,,,,24.8,,25.5,19.7,,4.2,,,8.3,,,,,,,,,,
Springfield,"1,029",,989,804,,,,,196,,,,133,,,,,,,25.0,,24.1,19.6,,,,,4.8,,,,3.2,,,,,,
Springwood,"1,994",,"1,902","2,116",,388,,,,,,,,,,346,,,,23.6,,22.5,25.1,,4.6,,,,,,,,,,4.1,,,
St Andrews,"1,947",,"1,237",697,,,178,,,369,,,,,,,,,,34.2,,21.7,12.2,,,3.1,,,6.5,,,,,,,,,
St Clair,"8,103",,"4,046","2,249",,,,,601,615,,,,,,,,,,40.8,,20.4,11.3,,,,,3.0,3.1,,,,,,,,,
St Helens Park,"2,064",,"1,562",937,,,,,,160,,160,,,,,,,,32.7,,24.7,14.8,,,,,,2.5,,2.5,,,,,,,
St Huberts Island,348,,342,124,,37,,,63,,,,,,,,,,,33.7,,33.1,12.0,,3.6,,,6.1,,,,,,,,,,
St Ives,"2,981",,"3,508","2,929",,,,,854,,,,,,"2,011",,,,,19.2,,22.5,18.8,,,,,5.5,,,,,,12.9,,,,
St Ives Chase,614,,677,625,,,,,188,,,,,,306,,,,,19.9,,21.9,20.3,,,,,6.1,,,,,,9.9,,,,
St Johns Park,"2,118",520,204,422,,,,,,,,"1,820",,,,,,,,35.5,8.7,3.4,7.1,,,,,,,,30.5,,,,,,,
St Leonards,875,,359,"1,469",,,268,,,,,293,,,,,,,,19.6,,8.0,32.9,,,6.0,,,,,6.6,,,,,,,
St Marys,"3,725",,"2,048","1,544",,327,,,,396,,,,,,,,,,34.0,,18.7,14.1,,3.0,,,,3.6,,,,,,,,,
St Peters,601,147,268,"1,016",,,,,,,,120,,,,,,,,20.9,5.1,9.3,35.4,,,,,,,,4.2,,,,,,,
Stanhope Gardens,"2,429",,"1,110",967,,,638,,,429,,,,,,,,,,31.7,,14.5,12.6,,,8.3,,,5.6,,,,,,,,,
Stanmore,"1,992",416,794,"2,774",,,,,,,,219,,,,,,,,25.9,5.4,10.3,36.0,,,,,,,,2.8,,,,,,,
Stockton,"1,079",,"1,301",748,,221,,,247,,,,,,,,,,,25.7,,31.0,17.8,,5.3,,,5.9,,,,,,,,,,
Strathfield,"6,451",,"1,280","3,718",,,"3,193",,,,,"1,816",,,,,,,,27.3,,5.4,15.7,,,13.5,,,,,7.7,,,,,,,
Strathfield South,"1,218",211,221,377,,,292,,,,,,,,,,,,,37.9,6.6,6.9,11.7,,,9.1,,,,,,,,,,,,
Summer Hill,"1,614",,691,"2,238",,,210,,,,,257,,,,,,,,24.5,,10.5,34.0,,,3.2,,,,,3.9,,,,,,,
Surry Hills,"2,907",375,"1,280","5,581",,,,,,,,940,,,,,,,,18.9,2.4,8.3,36.4,,,,,,,,6.1,,,,,,,
Sutherland,"2,572",262,"2,294","1,903",,,,,366,,,,,,,,,,,25.9,2.6,23.1,19.2,,,,,3.7,,,,,,,,,,
Swansea,"1,034",,"1,413",870,,228,,,361,,,,,,,,,,,21.4,,29.2,18.0,,4.7,,,7.5,,,,,,,,,,
Swansea Heads,161,,170,145,,26,,,,,,,,,,27,,,,22.8,,24.1,20.5,,3.7,,,,,,,,,,3.8,,,
Sydenham,244,79,76,241,,,,,,,,113,,,,,,,,23.9,7.7,7.5,23.6,,,,,,,,11.1,,,,,,,
Sydney,"2,090",,671,"3,811",,,345,,,,,"2,311",,,,,,,,14.6,,4.7,26.6,,,2.4,,,,,16.2,,,,,,,
Sylvania,"2,701","1,170","2,276","1,188",,,,,403,,,,,,,,,,,27.8,12.0,23.4,12.2,,,,,4.1,,,,,,,,,,
Sylvania Waters,928,509,522,432,,,,,,,,102,,,,,,,,29.7,16.3,16.7,13.8,,,,,,,,3.3,,,,,,,
Tacoma,199,,232,143,,22,,,27,,,,,,,,,,,26.5,,30.9,19.1,,2.9,,,3.6,,,,,,,,,,
Tacoma South,90,,79,52,,7,,,10,,,,,,,,,,,34.0,,29.8,19.6,,2.6,,,3.8,,,,,,,,,,
Tamarama,324,,190,404,,,,,,,,26,,,65,,,,,22.3,,13.1,27.8,,,,,,,,1.8,,,4.5,,,,
Taren Point,382,238,514,167,,,,,59,,,,,,,,,,,22.7,14.2,30.6,9.9,,,,,3.5,,,,,,,,,,
Tarrawanna,635,129,380,318,,,,,128,,,,,,,,,,,31.8,6.5,19.0,15.9,,,,,6.4,,,,,,,,,,
Tascott,394,,396,350,,50,,,88,,,,,,,,,,,23.1,,23.2,20.5,,2.9,,,5.2,,,,,,,,,,
Tempe,780,367,302,869,,,,,,,,154,,,,,,,,23.7,11.1,9.2,26.4,,,,,,,,4.7,,,,,,,
Teralba,375,,401,319,,50,,,122,,,,,,,,,,,24.1,,25.7,20.5,,3.2,,,7.8,,,,,,,,,,
Terrey Hills,693,,819,693,,,,,171,,,,88,,,,,,,23.2,,27.4,23.2,,,,,5.7,,,,2.9,,,,,,
Terrigal,"2,912",,"2,710","2,032",,313,,,510,,,,,,,,,,,27.4,,25.5,19.1,,2.9,,,4.8,,,,,,,,,,
The Entrance,"1,125",,904,628,,124,,,136,,,,,,,,,,,29.0,,23.3,16.2,,3.2,,,3.5,,,,,,,,,,
The Entrance North,419,,350,282,,35,,,48,,,,,,,,,,,30.1,,25.1,20.3,,2.5,,,3.4,,,,,,,,,,
The Hill,348,,319,606,,,,,50,,,,37,,,,,,,20.2,,18.6,35.3,,,,,2.9,,,,2.2,,,,,,
The Junction,476,,319,361,,47,,,66,,,,,,,,,,,31.8,,21.3,24.1,,3.1,,,4.4,,,,,,,,,,
Thirroul,"1,513",,"1,200","1,524",,148,,,295,,,,,,,,,,,26.9,,21.4,27.1,,2.6,,,5.3,,,,,,,,,,
Thornleigh,"2,166",,"1,486","1,824",,,,,438,,,,,,,296,,,,26.7,,18.3,22.5,,,,,5.4,,,,,,,3.6,,,
Tighes Hill,340,,280,511,,,,,64,,,,63,,,,,,,21.0,,17.3,31.6,,,,,4.0,,,,3.9,,,,,,
Tingira Heights,437,,527,390,,86,,,202,,,,,,,,,,,22.1,,26.7,19.7,,4.4,,,10.2,,,,,,,,,,
Toongabbie,"3,920",,"1,790","1,425",,,"1,755",,,487,,,,,,,,,,30.1,,13.8,11.0,,,13.5,,,3.7,,,,,,,,,
Toowoon Bay,159,,163,97,,25,,,,,,,17,,,,,,,29.0,,29.7,17.7,,4.6,,,,,,,3.1,,,,,,
Toronto,"1,093",,"1,443","1,099",,175,,,458,,,,,,,,,,,20.1,,26.6,20.2,,3.2,,,8.4,,,,,,,,,,
Toukley,"1,178",,"1,260",696,,140,,,161,,,,,,,,,,,28.5,,30.4,16.8,,3.4,,,3.9,,,,,,,,,,
Towradgi,"1,004",,678,596,,135,,,173,,,,,,,,,,,32.1,,21.7,19.1,,4.3,,,5.5,,,,,,,,,,
Tregear,"1,051",,838,583,,173,,,166,,,,,,,,,,,26.8,,21.4,14.9,,4.4,,,4.2,,,,,,,,,,
Tuggerah,209,,278,258,,,,,51,,,,32,,,,,,,20.6,,27.4,25.4,,,,,5.0,,,,3.2,,,,,,
Tuggerawong,338,,355,237,,39,,,37,,,,,,,,,,,28.1,,29.5,19.7,,3.2,,,3.1,,,,,,,,,,
Tumbi Umbi,"1,436",,"1,449",785,,171,,,232,,,,,,,,,,,28.8,,29.1,15.8,,3.4,,,4.7,,,,,,,,,,
Turramurra,"2,343",,"3,002","2,278",,376,,,769,,,,,,,,,,,21.1,,27.1,20.6,,3.4,,,6.9,,,,,,,,,,
Turrella,317,212,81,187,,,,,,535,,,,,,,,,,19.8,13.2,5.1,11.7,,,,,,33.4,,,,,,,,,
Ultimo,941,,259,"2,416",,,,,,259,,793,,,,,,,,13.2,,3.6,34.0,,,,,,3.6,,11.2,,,,,,,
Umina Beach,"4,348",,"4,686","3,143",,453,,,598,,,,,,,,,,,27.1,,29.2,19.6,,2.8,,,3.7,,,,,,,,,,
Unanderra,"1,692",322,"1,299",936,,,,,284,,,,,,,,,,,29.8,5.7,22.9,16.5,,,,,5.0,,,,,,,,,,
Valentine,"1,288",,"1,521","1,058",,208,,,575,,,,,,,,,,,23.2,,27.4,19.0,,3.7,,,10.3,,,,,,,,,,
Valley Heights,356,,286,355,,61,,,64,,,,,,,,,,,25.8,,20.7,25.7,,4.4,,,4.6,,,,,,,,,,
Vaucluse,"1,806",519,"1,276","1,482",,,,,,,,,,,"2,309",,,,,20.0,5.7,14.1,16.4,,,,,,,,,,,25.5,,,,
Villawood,"1,174",,438,332,,,,,,"1,201",,807,,,,,,,,22.1,,8.3,6.3,,,,,,22.6,,15.2,,,,,,,
Voyager Point,427,101,239,136,,,100,,,,,,,,,,,,,31.1,7.4,17.4,9.9,,,7.3,,,,,,,,,,,,
Wahroonga,"3,857",,"4,106","3,344",,555,,,"1,059",,,,,,,,,,,23.1,,24.6,20.0,,3.3,,,6.3,,,,,,,,,,
Waitara,"1,217",,599,"1,263",,,467,,,,,282,,,,,,,,22.7,,11.2,23.5,,,8.7,,,,,5.3,,,,,,,
Wakeley,"1,765",424,,327,409,,,,,,,869,,,,,,,,37.8,9.1,,7.0,8.8,,,,,,,18.6,,,,,,,
Wallsend,"2,751",,"2,959","2,333",,415,,,890,,,,,,,,,,,22.3,,24.0,19.0,,3.4,,,7.2,,,,,,,,,,
Wamberal,"1,723",,"1,582","1,357",,186,,,311,,,,,,,,,,,27.3,,25.1,21.5,,3.0,,,4.9,,,,,,,,,,
Warabrook,566,,433,322,,,,,98,,,,,,,109,,,,27.1,,20.7,15.4,,,,,4.7,,,,,,,5.2,,,
Waratah,"1,239",,950,938,,135,,,264,,,,,,,,,,,26.0,,20.0,19.7,,2.8,,,5.5,,,,,,,,,,
Waratah West,718,,539,635,,,,,155,81,,,,,,,,,,26.9,,20.2,23.7,,,,,5.8,3.0,,,,,,,,,
Wareemba,819,58,151,199,,,,,27,,,,,,,,,,,55.6,3.9,10.2,13.5,,,,,1.8,,,,,,,,,,
Warilla,"1,736",,"1,771","1,220",,199,,,206,,,,,,,,,,,27.1,,27.6,19.0,,3.1,,,3.2,,,,,,,,,,
Warners Bay,"1,819",,"1,783","1,450",,286,,,560,,,,,,,,,,,24.4,,23.9,19.5,,3.8,,,7.5,,,,,,,,,,
Warrawee,574,,714,636,,128,,,217,,,,,,,,,,,19.7,,24.5,21.8,,4.4,,,7.4,,,,,,,,,,
Warrawong,"1,871",630,636,628,,,,,,220,,,,,,,,,,39.3,13.2,13.4,13.2,,,,,,4.6,,,,,,,,,
Warriewood,"1,711",167,"1,523","1,230",,,,,270,,,,,,,,,,,27.8,2.7,24.8,20.0,,,,,4.4,,,,,,,,,,
Warrimoo,491,,482,558,,,,,,,,,130,,,110,,,,20.9,,20.6,23.8,,,,,,,,,5.5,,,4.7,,,
Warwick Farm,"1,078",396,364,,,,,,,444,,345,,,,,,,,24.0,8.8,8.1,,,,,,,9.9,,7.7,,,,,,,
Watanobbi,921,,"1,052",743,,,,,153,,,,119,,,,,,,24.4,,27.9,19.7,,,,,4.1,,,,3.2,,,,,,
Waterloo,"2,144",,868,"2,781",,,,,,,,562,,417,,,,,,20.1,,8.1,26.1,,,,,,,,5.3,,3.9,,,,,
Watsons Bay,218,,208,185,,16,,,,,,,,,72,,,,,23.7,,22.6,20.1,,1.7,,,,,,,,,7.8,,,,
Wattle Grove,"2,656",319,"1,563",976,,,479,,,,,,,,,,,,,32.4,3.9,19.1,11.9,,,5.8,,,,,,,,,,,,
Waverley,"1,234",101,614,"1,084",,,,,,,,,,,215,,,,,29.0,2.4,14.4,25.5,,,,,,,,,,,5.1,,,,
Waverton,703,,466,831,,,,,87,,,95,,,,,,,,25.0,,16.6,29.6,,,,,3.1,,,3.4,,,,,,,
Wentworthville,"2,659",,907,"1,073",,,"2,503",,,579,,,,,,,,,,25.1,,8.6,10.1,,,23.6,,,5.5,,,,,,,,,
Werrington,"1,127",,821,645,,,165,,,116,,,,,,,,,,29.3,,21.3,16.8,,,4.3,,,3.0,,,,,,,,,
Werrington County,"1,315",,994,586,,119,,,98,,,,,,,,,,,35.8,,27.1,16.0,,3.2,,,2.7,,,,,,,,,,
Werrington Downs,"1,095",,928,541,,97,,,86,,,,,,,,,,,33.6,,28.4,16.6,,3.0,,,2.6,,,,,,,,,,
West Gosford,290,,338,269,,49,,,74,,,,,,,,,,,20.8,,24.3,19.3,,3.5,,,5.3,,,,,,,,,,
West Hoxton,"4,036",770,614,,,,523,,,614,,,,,,,,,,44.2,8.4,6.7,,,,5.7,,,6.7,,,,,,,,,
West Pennant Hills,"4,397",,"3,028","2,820",,,678,,759,,,,,,,,,,,27.5,,19.0,17.7,,,4.2,,4.8,,,,,,,,,,
West Pymble,"1,306",,"1,328","1,117",,183,,,331,,,,,,,,,,,25.3,,25.8,21.7,,3.6,,,6.4,,,,,,,,,,
West Ryde,"3,341",,"1,261","2,443",,,768,,,,,568,,,,,,,,28.2,,10.6,20.6,,,6.5,,,,,4.8,,,,,,,
West Wallsend,356,,433,400,,85,,,118,,,,,,,,,,,20.7,,25.2,23.3,,5.0,,,6.9,,,,,,,,,,
West Wollongong,"1,277",368,779,837,,,,,186,,,,,,,,,,,28.7,8.3,17.5,18.8,,,,,4.2,,,,,,,,,,
Westleigh,"1,161",,"1,093",946,,,,,303,,,,,,,176,,,,25.9,,24.4,21.1,,,,,6.8,,,,,,,3.9,,,
Westmead,"2,306",,837,"1,565",,,"4,658",,,"1,125",,,,,,,,,,16.3,,5.9,11.0,,,32.9,,,7.9,,,,,,,,,
Wetherill Park,"3,030",434,401,366,,,,,,,,374,,,,,,,,50.3,7.2,6.7,6.1,,,,,,,,6.2,,,,,,,
Whalan,"1,735",,"1,387",748,,181,,,,271,,,,,,,,,,29.3,,23.4,12.6,,3.1,,,,4.6,,,,,,,,,
Whitebridge,717,,597,513,,96,,,232,,,,,,,,,,,27.9,,23.3,20.0,,3.7,,,9.0,,,,,,,,,,
Wickham,220,24,164,279,,,,,40,,,,,,,,,,,23.2,2.5,17.3,29.4,,,,,4.2,,,,,,,,,,
Wiley Park,"1,450",593,,609,,,,,,"4,264",,579,,,,,,,,15.0,6.1,,6.3,,,,,,44.0,,6.0,,,,,,,
Willmot,613,,553,442,,71,,,,,,,,74,,,,,,24.7,,22.3,17.8,,2.9,,,,,,,,3.0,,,,,
Willoughby,"1,774",239,"1,087","1,318",,,,,,,,166,,,,,,,,30.0,4.0,18.4,22.3,,,,,,,,2.8,,,,,,,
Willoughby East,553,,430,426,,35,,,,,,39,,,,,,,,30.4,,23.6,23.4,,1.9,,,,,,2.1,,,,,,,
Windale,587,,953,702,,119,,,151,,,,,,,,,,,19.0,,30.8,22.7,,3.8,,,4.9,,,,,,,,,,
Windang,832,,798,422,,84,,,106,,,,,,,,,,,32.0,,30.7,16.3,,3.2,,,4.1,,,,,,,,,,
Winmalee,"1,743",,"1,630","1,469",,327,,,237,,,,,,,,,,,26.4,,24.7,22.3,,5.0,,,3.6,,,,,,,,,,
Winston Hills,"3,914",370,"2,228","1,602",,,,,512,,,,,,,,,,,35.0,3.3,19.9,14.3,,,,,4.6,,,,,,,,,,
Wollongong,"3,650","1,417","2,259","4,079",,,,,,778,,,,,,,,,,21.8,8.5,13.5,24.4,,,,,,4.7,,,,,,,,,
Wollstonecraft,"1,817",,"1,236","2,519",,,,,225,,,286,,,,,,,,22.7,,15.4,31.5,,,,,2.8,,,3.6,,,,,,,
Wombarra,170,,161,316,,21,,,34,,,,,,,,,,,19.6,,18.6,36.5,,2.4,,,3.9,,,,,,,,,,
Woodbine,850,,565,309,,,71,,,217,,,,,,,,,,32.2,,21.4,11.7,,,2.7,,,8.2,,,,,,,,,
Woodcroft,"2,809",,361,337,,,747,,,443,,,,,,,,,,43.8,,5.6,5.3,,,11.6,,,6.9,,,,,,,,,
Woodpark,597,83,213,89,,,,,,110,,,,,,,,,,45.1,6.3,16.1,6.7,,,,,,8.3,,,,,,,,,
Woodrising,330,,286,253,,37,,,95,,,,,,,,,,,27.6,,24.0,21.2,,3.1,,,8.0,,,,,,,,,,
Woollahra,"1,488",193,"1,640","1,707",,,,,,,,,,,646,,,,,20.7,2.7,22.8,23.8,,,,,,,,,,,9.0,,,,
Woolloomooloo,787,93,444,"1,063",,,,,,,,135,,,,,,,,21.2,2.5,12.0,28.6,,,,,,,,3.6,,,,,,,
Woolooware,"1,431",155,"1,076",685,,,,,176,,,,,,,,,,,34.0,3.7,25.5,16.3,,,,,4.2,,,,,,,,,,
Woolwich,269,,213,145,,21,,,27,,,,,,,,,,,33.0,,26.1,17.8,,2.6,,,3.3,,,,,,,,,,
Woonona,"3,151",,"2,695","2,400",,554,,,734,,,,,,,,,,,27.5,,23.6,21.0,,4.8,,,6.4,,,,,,,,,,
Woronora,731,51,549,409,,,,,92,,,,,,,,,,,32.9,2.3,24.7,18.4,,,,,4.1,,,,,,,,,,
Woronora Heights,"1,091",,815,405,,93,,,166,,,,,,,,,,,36.6,,27.3,13.6,,3.1,,,5.6,,,,,,,,,,
Woy Woy,"2,812",,"3,026","1,762",,408,,,337,,,,,,,,,,,27.8,,29.9,17.4,,4.0,,,3.3,,,,,,,,,,
Woy Woy Bay,109,,122,81,,20,,,,,,,,,,6,,,,25.2,,28.2,18.8,,4.6,,,,,,,,,,1.4,,,
Wyoming,"2,226",,"2,697","1,951",,339,,,540,,,,,,,,,,,22.5,,27.2,19.7,,3.4,,,5.5,,,,,,,,,,
Wyong,828,,926,747,,109,,,139,,,,,,,,,,,22.8,,25.5,20.6,,3.0,,,3.8,,,,,,,,,,
Wyongah,505,,589,360,,52,,,51,,,,,,,,,,,25.9,,30.2,18.5,,2.7,,,2.6,,,,,,,,,,
Yagoona,"4,547","1,547","1,108",,,,,,,"3,527",,"1,533",,,,,,,,28.4,9.7,6.9,,,,,,,22.0,,9.6,,,,,,,
Yarrawarrah,"1,028",,884,488,,83,,,129,,,,,,,,,,,34.5,,29.6,16.4,,2.8,,,4.3,,,,,,,,,,
Yattalunga,147,,151,93,,,,,26,,,,20,,,,,,,27.8,,28.5,17.6,,,,,4.9,,,,3.8,,,,,,
Yennora,412,,111,84,,,,,,248,,176,,,,,,,,29.3,,7.9,6.0,,,,,,17.6,,12.5,,,,,,,
Yowie Bay,"1,023",141,895,504,,,,,148,,,,,,,,,,,32.3,4.5,28.3,15.9,,,,,4.7,,,,,,,,,,
Zetland,791,136,322,"1,274",,,,,,,,227,,,,,,,,20.7,3.6,8.4,33.4,,,,,,,,6.0,,,,,,,
