,Median mortgage repayments,Households where mortgage repayments are less than 30% of household income,Households with mortgage repayments greater than or equal to 30% of household income,Median mortgage repayments (%),Households where mortgage repayments are less than 30% of household income (%),Households with mortgage repayments greater than or equal to 30% of household income (%),SSC_CODE
Larnook,867.0,--,--,--,88.8,11.2,12279
Georgica,1200.0,--,--,--,93.3,6.7,11604
Jiggi,1517.0,--,--,--,86.9,13.1,12026
Rock Valley,1374.0,--,--,--,91.7,8.3,13378
Leycester,1250.0,--,--,--,94.4,5.6,12314
Dunoon,1500.0,--,--,--,90.4,9.6,11325
Dorroughby,1777.0,--,--,--,92.9,7.1,11280
Numulgi,1800.0,--,--,--,95.6,4.4,13041
Fingal Head,2210.0,--,--,--,91.9,8.1,11519
Casuarina (NSW),2362.0,--,--,--,89.0,11.0,10851
Kingscliff,2000.0,--,--,--,94.0,6.0,12154
Chinderah,1733.0,--,--,--,96.9,3.1,10905
Murwillumbah,1603.0,--,--,--,92.7,7.3,12866
South Murwillumbah,1387.0,--,--,--,88.9,11.1,13593
Smiths Creek (Tweed - NSW),1300.0,--,--,--,89.7,10.3,13562
Mount Burrell,1400.0,--,--,--,91.9,8.1,12749
Byrrill Creek,1101.0,--,--,--,100.0,0.0,10734
Pumpenbil,1300.0,--,--,--,83.8,16.2,13272
Tumbulgum,1521.0,--,--,--,88.0,12.0,13964
Limpinwood,1745.0,--,--,--,91.2,8.8,12333
Tyalgum,1300.0,--,--,--,86.4,13.6,13994
Byangum,1300.0,--,--,--,91.3,8.7,10729
Eungella (NSW),1660.0,--,--,--,91.9,8.1,11460
Crystal Creek (NSW),1810.0,--,--,--,89.7,10.3,11138
Chillingham,1560.0,--,--,--,84.7,15.3,10904
Numinbah,1180.0,--,--,--,93.0,7.0,13040
Upper Crystal Creek,1454.0,--,--,--,95.9,4.1,14021
Nobbys Creek,1900.0,--,--,--,83.7,16.3,12968
Dungay,2340.0,--,--,--,95.5,4.5,11318
Kynnumboon,1706.0,--,--,--,100.0,0.0,12228
Dunbible,1938.0,--,--,--,90.2,9.8,11309
Fernvale (NSW),1495.0,--,--,--,89.2,10.8,11511
Reserve Creek,1734.0,--,--,--,91.3,8.7,13353
Dulguigan,1200.0,--,--,--,90.9,9.1,11302
Urliup,2000.0,--,--,--,85.5,14.5,14060
Eviron,2210.0,--,--,--,85.2,14.8,11472
Condong,1733.0,--,--,--,83.2,16.8,11003
Farrants Hill,1734.0,--,--,--,93.2,6.8,11493
Clothiers Creek,2335.0,--,--,--,93.2,6.8,10936
Nunderi,1767.0,--,--,--,93.3,6.7,13042
Uki,1517.0,--,--,--,93.8,6.2,14000
Bogangar,1708.0,--,--,--,92.0,8.0,10439
Pottsville,1950.0,--,--,--,90.9,9.1,13257
Crabbes Creek,1417.0,--,--,--,85.9,14.1,11102
Upper Burringbar,1400.0,--,--,--,89.0,11.0,14015
Burringbar,1517.0,--,--,--,89.0,11.0,10713
Hastings Point,1042.0,--,--,--,97.7,2.3,11868
Round Mountain,1700.0,--,--,--,92.7,7.3,13425
Piggabeen,1733.0,--,--,--,85.4,14.6,13202
Bilambil Heights,1744.0,--,--,--,90.3,9.7,10348
Cobaki,1820.0,--,--,--,95.1,4.9,10947
Bilambil,1801.0,--,--,--,88.0,12.0,10347
Carool,2084.0,--,--,--,82.8,17.2,10822
North Tumbulgum,2000.0,--,--,--,87.9,12.1,13012
Tweed Heads South,1595.0,--,--,--,95.7,4.3,13985
Bilbul,1415.0,--,--,--,94.6,5.4,10349
Yenda (NSW),1264.0,--,--,--,94.9,5.1,14504
Beelbangera,1380.0,--,--,--,95.7,4.3,10251
Myall Park (NSW),1885.0,--,--,--,93.6,6.4,12873
Binya,1031.0,--,--,--,100.0,0.0,10373
Hillston,975.0,--,--,--,97.9,2.1,11912
Rankins Springs,693.0,--,--,--,100.0,0.0,13316
Whitton,650.0,--,--,--,96.2,3.8,14280
Hanwood,1359.0,--,--,--,95.8,4.2,11850
Coleambally,900.0,--,--,--,96.4,3.6,10964
Carrathool,195.0,--,--,--,100.0,0.0,10827
Goolgowi,836.0,--,--,--,96.5,3.5,11705
Murrami,820.0,--,--,--,100.0,0.0,12850
Stanbridge,1292.0,--,--,--,92.5,7.5,13646
Yanco,1168.0,--,--,--,96.5,3.5,14460
Merungle Hill,1300.0,--,--,--,87.0,13.0,12590
Narrandera,1083.0,--,--,--,95.9,4.1,12906
Grong Grong,1042.0,--,--,--,96.3,3.7,11784
Boree Creek,644.0,--,--,--,91.5,8.5,10512
Gillenbah,0.0,--,--,--,92.7,7.3,11622
Tumbarumba,1170.0,--,--,--,96.0,4.0,13961
Khancoban,867.0,--,--,--,96.5,3.5,12111
Tooma,929.0,--,--,--,91.7,8.3,13906
Tumut,1361.0,--,--,--,96.6,3.4,13966
Gilmore (NSW),2000.0,--,--,--,95.1,4.9,11626
Batlow,1001.0,--,--,--,95.7,4.3,10232
Talbingo,1049.0,--,--,--,100.0,0.0,13730
Bombowlee,1647.0,--,--,--,96.7,3.3,10459
Lacmalac,2000.0,--,--,--,83.7,16.3,12231
Mundongo,2012.0,--,--,--,93.3,6.7,12840
Cootamundra,1127.0,--,--,--,96.6,3.4,11053
Gundagai,1181.0,--,--,--,96.8,3.2,11803
Tumblong,1390.0,--,--,--,94.2,5.8,13963
Nangus,885.0,--,--,--,100.0,0.0,12890
Harefield,2383.0,--,--,--,91.9,8.1,11853
Old Junee,1430.0,--,--,--,96.4,3.6,13078
Illabo,1092.0,--,--,--,88.9,11.1,11972
Bethungra,975.0,--,--,--,100.0,0.0,10328
Wantabadgery,1100.0,--,--,--,100.0,0.0,14136
Temora,1200.0,--,--,--,96.1,3.9,13784
Springdale (NSW),1192.0,--,--,--,100.0,0.0,13621
Lake Albert (NSW),1638.0,--,--,--,93.6,6.4,12238
East Wagga Wagga,1363.0,--,--,--,92.7,7.3,11364
Kooringal (NSW),1387.0,--,--,--,96.8,3.2,12193
Tatton,1950.0,--,--,--,95.4,4.6,13775
Estella,1733.0,--,--,--,94.4,5.6,11444
Boorooma,1818.0,--,--,--,93.6,6.4,10501
Lloyd,1800.0,--,--,--,91.8,8.2,12365
Bourkelands,1820.0,--,--,--,92.3,7.7,10523
Glenfield Park,1500.0,--,--,--,94.5,5.5,11665
Tolland,1319.0,--,--,--,96.4,3.6,13887
Mount Austin,1192.0,--,--,--,94.7,5.3,12748
San Isidore,1609.0,--,--,--,93.1,6.9,13469
Ashmont,1235.0,--,--,--,95.7,4.3,10101
Wagga Wagga,1517.0,--,--,--,97.5,2.5,14083
Moorong,2817.0,--,--,--,89.7,10.3,12715
Ladysmith,1248.0,--,--,--,96.2,3.8,12233
The Rock,1179.0,--,--,--,94.2,5.8,13838
Forest Hill (NSW),1330.0,--,--,--,94.4,5.6,11544
Collingullie,1495.0,--,--,--,94.9,5.1,10976
Lockhart,867.0,--,--,--,97.2,2.8,12369
Pleasant Hills,648.0,--,--,--,93.0,7.0,13228
Ganmain,750.0,--,--,--,97.6,2.4,11585
Matong,466.0,--,--,--,100.0,0.0,12523
Yerong Creek,800.0,--,--,--,94.9,5.1,14508
Currawarna,1103.0,--,--,--,86.5,13.5,11178
Oura,1733.0,--,--,--,92.1,7.9,13102
Eunanoreenya,1409.0,--,--,--,100.0,0.0,11457
Gobbagombalin,1907.0,--,--,--,88.0,12.0,11689
Brucedale,1717.0,--,--,--,94.0,6.0,10613
Downside,1408.0,--,--,--,100.0,0.0,11285
Euberta,2505.0,--,--,--,86.0,14.0,11451
Gregadoo,2442.0,--,--,--,83.6,16.4,11773
Big Springs,1500.0,--,--,--,90.9,9.1,10345
Mangoplah,1225.0,--,--,--,95.6,4.4,12470
Gelston Park,2200.0,--,--,--,89.2,10.8,11597
Berry,1875.0,--,--,--,94.9,5.1,10322
Barrengarry,2167.0,--,--,--,92.9,7.1,10213
Upper Kangaroo River,2500.0,--,--,--,100.0,0.0,14030
Bellawongarah,1618.0,--,--,--,100.0,0.0,10267
Beaumont (NSW),950.0,--,--,--,100.0,0.0,10242
Far Meadow,2000.0,--,--,--,95.6,4.4,11488
Coolangatta (NSW),1800.0,--,--,--,88.3,11.7,11026
Jaspers Brush,2062.0,--,--,--,96.8,3.2,12002
Callala Bay,1517.0,--,--,--,95.4,4.6,10757
Currarong,1625.0,--,--,--,92.9,7.1,11176
Orient Point,1517.0,--,--,--,92.4,7.6,13096
Numbaa,1175.0,--,--,--,100.0,0.0,13035
Huskisson,1560.0,--,--,--,96.6,3.4,11966
Vincentia,1800.0,--,--,--,95.3,4.7,14075
Hyams Beach,2669.0,--,--,--,93.8,6.2,11967
Bomaderry,1408.0,--,--,--,94.6,5.4,10453
Cambewarra,2334.0,--,--,--,90.9,9.1,10763
North Nowra,1600.0,--,--,--,93.8,6.2,13000
Bangalee (NSW),2065.0,--,--,--,94.0,6.0,10173
Worrigee,1693.0,--,--,--,93.7,6.3,14423
Nowra Hill,1900.0,--,--,--,89.7,10.3,13029
West Nowra,1408.0,--,--,--,92.0,8.0,14248
Terara,854.0,--,--,--,95.2,4.8,13795
St Georges Basin,1500.0,--,--,--,93.8,6.2,13636
Worrowing Heights,1734.0,--,--,--,98.5,1.5,14424
Basin View,1317.0,--,--,--,91.6,8.4,10223
Erowal Bay,1636.0,--,--,--,92.0,8.0,11436
Wrights Beach,1695.0,--,--,--,100.0,0.0,14428
Old Erowal Bay,1250.0,--,--,--,90.5,9.5,13075
Sussex Inlet,1300.0,--,--,--,95.6,4.4,13700
Swanhaven,1213.0,--,--,--,100.0,0.0,13709
Berrara,1100.0,--,--,--,94.1,5.9,10313
Falls Creek (NSW),1975.0,--,--,--,87.5,12.5,11487
Wandandian,1600.0,--,--,--,95.7,4.3,14127
Woollamia,1571.0,--,--,--,88.6,11.4,14405
Parma,1571.0,--,--,--,94.2,5.8,13155
Ulladulla,1500.0,--,--,--,94.7,5.3,14003
Kings Point,1339.0,--,--,--,90.9,9.1,12153
Burrill Lake,1400.0,--,--,--,91.5,8.5,10712
Milton (NSW),1500.0,--,--,--,94.0,6.0,12630
Mollymook Beach,1517.0,--,--,--,93.9,6.1,12670
Manyana,1354.0,--,--,--,95.2,4.8,12482
Conjola,1565.0,--,--,--,90.2,9.8,11011
Fishermans Paradise,1190.0,--,--,--,88.6,11.4,11523
Lake Tabourie,1083.0,--,--,--,93.5,6.5,12254
Conjola Park,1620.0,--,--,--,91.8,8.2,11012
Yatte Yattah,2000.0,--,--,--,87.1,12.9,14497
Little Forest,1387.0,--,--,--,94.8,5.2,12351
Croobyar,1068.0,--,--,--,93.8,6.2,11121
Morton,1733.0,--,--,--,82.3,17.7,12730
Kioloa,1300.0,--,--,--,96.3,3.7,12165
Termeil,1700.0,--,--,--,90.1,9.9,13797
Balmoral (Wingecarribee - NSW),2167.0,--,--,--,81.9,18.1,10167
Hill Top (Wingecarribee - NSW),1741.0,--,--,--,87.9,12.1,11905
Colo Vale,1785.0,--,--,--,92.1,7.9,10985
Alpine,2865.0,--,--,--,91.2,8.8,10044
Aylmerton,1894.0,--,--,--,85.3,14.7,10119
Willow Vale (Wingecarribee - NSW),1900.0,--,--,--,89.4,10.6,14307
Renwick,2167.0,--,--,--,90.1,9.9,13350
Balaclava (NSW),1789.0,--,--,--,88.3,11.7,10143
Glenquarry,3250.0,--,--,--,87.3,12.7,11674
Braemar,1950.0,--,--,--,90.3,9.7,10545
Sutton Forest,2394.0,--,--,--,90.8,9.2,13703
New Berrima,1560.0,--,--,--,84.4,15.6,12938
Robertson (NSW),1794.0,--,--,--,90.5,9.5,13374
Kangaloon,3625.0,--,--,--,100.0,0.0,12058
Wildes Meadow,2194.0,--,--,--,96.7,3.3,14292
Burrawang,2759.0,--,--,--,91.0,9.0,10708
Avoca (NSW),2573.0,--,--,--,85.3,14.7,10113
Fitzroy Falls,2167.0,--,--,--,94.5,5.5,11529
Bundanoon (NSW),1592.0,--,--,--,94.1,5.9,10670
Wingello,1517.0,--,--,--,91.8,8.2,14330
Exeter (NSW),2100.0,--,--,--,92.2,7.8,11475
High Range,2861.0,--,--,--,84.3,15.7,11900
Medway,1645.0,--,--,--,92.1,7.9,12555
Joadja,2084.0,--,--,--,89.7,10.3,12035
Canyonleigh,2115.0,--,--,--,87.5,12.5,10799
Penrose,1517.0,--,--,--,87.2,12.8,13185
Baulkham Hills,2300.0,--,--,--,90.3,9.7,10233
Bella Vista,2700.0,--,--,--,88.4,11.6,10263
Glenhaven,2685.0,--,--,--,92.8,7.2,11667
Castle Hill (NSW),2500.0,--,--,--,91.2,8.8,10847
West Pennant Hills,2750.0,--,--,--,90.9,9.1,14249
Cherrybrook,2500.0,--,--,--,91.3,8.7,10898
Kellyville,2600.0,--,--,--,87.1,12.9,12088
Kenthurst,2800.0,--,--,--,89.9,10.1,12100
Glenorie,2400.0,--,--,--,90.2,9.8,11673
Maroota,2200.0,--,--,--,92.1,7.9,12500
Canoelands,2145.0,--,--,--,85.7,14.3,10794
Cattai,2383.0,--,--,--,88.1,11.9,10859
South Maroota,2131.0,--,--,--,89.9,10.1,13592
Dural (Hornsby - NSW),2600.0,--,--,--,90.2,9.8,11328
Sackville North,2500.0,--,--,--,81.2,18.8,13459
Middle Dural,2500.0,--,--,--,88.2,11.8,12603
Annangrove,2900.0,--,--,--,90.3,9.7,10062
Galston,2500.0,--,--,--,89.2,10.8,11582
Arcadia (NSW),3000.0,--,--,--,90.6,9.4,10072
Fiddletown,2967.0,--,--,--,93.8,6.2,11513
Berowra Waters,1500.0,--,--,--,87.0,13.0,10311
Berrilee,2550.0,--,--,--,89.1,10.9,10319
Bilpin,1950.0,--,--,--,88.1,11.9,10358
Colo Heights,2100.0,--,--,--,90.2,9.8,10984
Lower Macdonald,1663.0,--,--,--,85.0,15.0,12408
Cumberland Reach,2000.0,--,--,--,84.3,15.7,11156
Bowen Mountain,2000.0,--,--,--,85.2,14.8,10528
Grose Vale,2367.0,--,--,--,88.7,11.3,11785
Grose Wold,2600.0,--,--,--,89.5,10.5,11786
Kurrajong,2253.0,--,--,--,89.8,10.2,12218
Kurrajong Hills,2645.0,--,--,--,81.0,19.0,12220
The Slopes,2167.0,--,--,--,88.6,11.4,13842
East Kurrajong,2500.0,--,--,--,84.2,15.8,11356
Wilberforce (NSW),2167.0,--,--,--,89.8,10.2,14288
Freemans Reach,2000.0,--,--,--,90.3,9.7,11564
Sackville,2080.0,--,--,--,77.8,22.2,13458
Ebenezer (NSW),2205.0,--,--,--,85.7,14.3,11371
Blaxlands Ridge,2383.0,--,--,--,86.0,14.0,10409
Tennyson (NSW),2709.0,--,--,--,89.5,10.5,13789
Maraylya,2600.0,--,--,--,87.4,12.6,12484
Oakville,2350.0,--,--,--,90.2,9.8,13060
Pitt Town,2600.0,--,--,--,84.0,16.0,13226
Pitt Town Bottoms,2000.0,--,--,--,80.0,20.0,13227
Rouse Hill,2600.0,--,--,--,87.2,12.8,13429
Beaumont Hills,2600.0,--,--,--,86.2,13.8,10243
Nelson (The Hills Shire - NSW),2383.0,--,--,--,93.4,6.6,12922
Box Hill (NSW),2167.0,--,--,--,94.3,5.7,10539
Blacktown,1900.0,--,--,--,91.6,8.4,10397
Kings Park (NSW),2129.0,--,--,--,87.8,12.2,12150
Woodcroft (NSW),2167.0,--,--,--,87.8,12.2,14381
Bungarribee,2800.0,--,--,--,74.4,25.6,10682
Seven Hills (NSW),2058.0,--,--,--,92.2,7.8,13518
Lalor Park,1898.0,--,--,--,91.9,8.1,12261
Toongabbie (NSW),2000.0,--,--,--,90.4,9.6,13907
Prospect (NSW),2167.0,--,--,--,87.7,12.3,13266
Glenwood (NSW),2400.0,--,--,--,88.1,11.9,11682
Parklea,2500.0,--,--,--,83.4,16.6,13153
Stanhope Gardens,2500.0,--,--,--,86.9,13.1,13649
Kellyville Ridge,2512.0,--,--,--,85.7,14.3,12089
The Ponds,2900.0,--,--,--,81.9,18.1,13835
Riverstone,2191.0,--,--,--,90.2,9.8,13368
Marsden Park,2600.0,--,--,--,94.2,5.8,12505
Colebee,3000.0,--,--,--,78.1,21.9,10965
Hebersham,1600.0,--,--,--,91.9,8.1,11886
Dharruk,1555.0,--,--,--,89.4,10.6,11248
Blackett,1523.0,--,--,--,92.9,7.1,10392
Emerton,1500.0,--,--,--,96.2,3.8,11413
Glendenning,2000.0,--,--,--,84.2,15.8,11659
Dean Park,1788.0,--,--,--,87.7,12.3,11224
Plumpton (NSW),2000.0,--,--,--,85.6,14.4,13230
Oakhurst (NSW),1950.0,--,--,--,87.0,13.0,13058
Hassall Grove,1950.0,--,--,--,86.1,13.9,11866
Willmot,1465.0,--,--,--,95.4,4.6,14302
Tregear,1473.0,--,--,--,95.0,5.0,13934
Lethbridge Park,1500.0,--,--,--,94.8,5.2,12307
Ropes Crossing,2383.0,--,--,--,82.9,17.1,13397
Mount Druitt,1733.0,--,--,--,91.0,9.0,12756
Eastern Creek,1763.0,--,--,--,91.2,8.8,11366
Minchinbury,2156.0,--,--,--,87.8,12.2,12633
Rooty Hill,2000.0,--,--,--,89.5,10.5,13395
Botany,2600.0,--,--,--,89.6,10.4,10517
Mascot,2490.0,--,--,--,91.9,8.1,12519
Eastlakes,2000.0,--,--,--,93.7,6.3,11368
Rosebery (NSW),2200.0,--,--,--,91.9,8.1,13405
Pagewood,2795.0,--,--,--,92.5,7.5,13125
Daceyville,2550.0,--,--,--,99.4,0.6,11185
Eastgardens,3000.0,--,--,--,91.8,8.2,11367
Matraville,2500.0,--,--,--,91.9,8.1,12524
Marrickville,2383.0,--,--,--,94.2,5.8,12504
Petersham,2600.0,--,--,--,94.4,5.6,13190
Newtown (NSW),2600.0,--,--,--,96.0,4.0,12960
Lewisham (NSW),2510.0,--,--,--,93.9,6.1,12313
Stanmore (NSW),2600.0,--,--,--,95.0,5.0,13650
Camperdown (NSW),2516.0,--,--,--,95.2,4.8,10781
Enmore (Inner West - NSW),2600.0,--,--,--,94.1,5.9,11425
St Peters (NSW),2600.0,--,--,--,92.3,7.7,13644
Sydenham (NSW),2500.0,--,--,--,90.5,9.5,13714
Tempe,2600.0,--,--,--,92.1,7.9,13785
Darlinghurst,2500.0,--,--,--,95.4,4.6,11212
Erskineville,2600.0,--,--,--,93.2,6.8,11439
Glebe (NSW),2730.0,--,--,--,96.5,3.5,11641
Forest Lodge,2900.0,--,--,--,94.9,5.1,11546
Darlington (Sydney - NSW),2800.0,--,--,--,95.9,4.1,11214
Potts Point,2126.0,--,--,--,96.3,3.7,13256
Elizabeth Bay,2324.0,--,--,--,96.1,3.9,11395
Sydney,2302.0,--,--,--,95.5,4.5,13715
Woolloomooloo,2513.0,--,--,--,96.3,3.7,14406
Pyrmont,2597.0,--,--,--,94.8,5.2,13284
Ultimo,2000.0,--,--,--,96.3,3.7,14006
Redfern,2500.0,--,--,--,95.9,4.1,13339
Eveleigh,2550.0,--,--,--,95.8,4.2,11471
Haymarket,2342.0,--,--,--,94.1,5.9,11877
Dawes Point,5200.0,--,--,--,94.2,5.8,11222
Millers Point,3580.0,--,--,--,95.0,5.0,12619
Barangaroo,3500.0,--,--,--,92.0,8.0,10191
Balmain East,3500.0,--,--,--,94.9,5.1,10165
The Rocks (Sydney - NSW),3400.0,--,--,--,95.3,4.7,13840
Waterloo (NSW),2400.0,--,--,--,94.4,5.6,14183
Zetland,2200.0,--,--,--,90.2,9.8,14524
Beaconsfield (NSW),2455.0,--,--,--,89.9,10.1,10239
Bronte,3500.0,--,--,--,93.9,6.1,10594
Tamarama,3640.0,--,--,--,93.8,6.2,13741
Bondi,2600.0,--,--,--,95.8,4.2,10464
Bondi Beach,2708.0,--,--,--,95.8,4.2,10465
North Bondi,3126.0,--,--,--,93.4,6.6,12984
Waverley (NSW),3000.0,--,--,--,94.1,5.9,14200
Bondi Junction,2817.0,--,--,--,95.4,4.6,10467
Darling Point,3000.0,--,--,--,95.9,4.1,11211
Edgecliff,3027.0,--,--,--,95.9,4.1,11379
Double Bay,3000.0,--,--,--,94.9,5.1,11281
Bellevue Hill,3000.0,--,--,--,92.5,7.5,10271
Rose Bay (NSW),3000.0,--,--,--,94.3,5.7,13398
Paddington (NSW),3500.0,--,--,--,94.1,5.9,13115
Point Piper,4000.0,--,--,--,93.7,6.3,13233
Vaucluse,3467.0,--,--,--,90.8,9.2,14071
Dover Heights,4000.0,--,--,--,89.2,10.8,11284
Watsons Bay,2700.0,--,--,--,95.3,4.7,14187
Woollahra,3033.0,--,--,--,94.7,5.3,14404
Clovelly,3683.0,--,--,--,93.3,6.7,10938
South Coogee,3132.0,--,--,--,95.4,4.6,13579
Coogee (NSW),2743.0,--,--,--,95.7,4.3,11015
La Perouse,2500.0,--,--,--,97.6,2.4,12230
Little Bay,2622.0,--,--,--,91.3,8.7,12349
Chifley (NSW),2600.0,--,--,--,93.4,6.6,10901
Kensington (NSW),2600.0,--,--,--,95.3,4.7,12099
Randwick,2600.0,--,--,--,95.1,4.9,13312
Bass Hill,2080.0,--,--,--,89.3,10.7,10224
Yagoona,2000.0,--,--,--,89.2,10.8,14453
Villawood,1950.0,--,--,--,92.7,7.3,14074
Greenacre,2058.0,--,--,--,87.4,12.6,11757
Potts Hill,2700.0,--,--,--,79.4,20.6,13255
Milperra,2253.0,--,--,--,88.2,11.8,12625
Revesby,2167.0,--,--,--,91.3,8.7,13355
Condell Park,2167.0,--,--,--,87.4,12.6,11001
Mount Lewis,2297.0,--,--,--,88.1,11.9,12774
Punchbowl (Canterbury-Bankstown - NSW),1985.0,--,--,--,88.0,12.0,13273
Padstow Heights,2383.0,--,--,--,90.3,9.7,13121
Panania,2300.0,--,--,--,91.6,8.4,13144
East Hills,2200.0,--,--,--,91.0,9.0,11351
Picnic Point,2349.0,--,--,--,90.2,9.8,13199
Revesby Heights,2400.0,--,--,--,89.8,10.2,13356
Birrong,1948.0,--,--,--,91.6,8.4,10379
Belmore,2000.0,--,--,--,92.0,8.0,10279
Belfield,2378.0,--,--,--,89.3,10.7,10257
Campsie,1742.0,--,--,--,91.6,8.4,10782
Clemton Park,2250.0,--,--,--,90.3,9.7,10928
Earlwood,2500.0,--,--,--,92.2,7.8,11343
Kingsgrove,2350.0,--,--,--,91.1,8.9,12158
Narwee,2167.0,--,--,--,91.1,8.9,12912
Lakemba,1600.0,--,--,--,92.5,7.5,12257
Wiley Park,1690.0,--,--,--,92.3,7.7,14293
Carlton (NSW),2024.0,--,--,--,91.9,8.1,10819
Oatley,2500.0,--,--,--,92.7,7.3,13064
Mortdale,2167.0,--,--,--,92.5,7.5,12728
Peakhurst,2200.0,--,--,--,90.0,10.0,13168
Hurstville Grove,2600.0,--,--,--,91.1,8.9,11965
Lugarno,2600.0,--,--,--,91.6,8.4,12421
South Hurstville,2167.0,--,--,--,88.1,11.9,13587
Kyle Bay,3000.0,--,--,--,88.3,11.7,12227
Connells Point,2800.0,--,--,--,89.6,10.4,11013
Carss Park,2913.0,--,--,--,88.9,11.1,10837
Turrella,2200.0,--,--,--,90.7,9.3,13982
Bardwell Valley,2288.0,--,--,--,90.2,9.8,10196
Bardwell Park,2257.0,--,--,--,91.1,8.9,10195
Bexley,2167.0,--,--,--,89.2,10.8,10334
Bexley North,2200.0,--,--,--,92.9,7.1,10335
Allawah,1950.0,--,--,--,92.0,8.0,10038
Beverley Park,2500.0,--,--,--,90.2,9.8,10330
Kogarah Bay,2500.0,--,--,--,87.8,12.2,12182
Kyeemagh,2754.0,--,--,--,87.5,12.5,12226
Brighton-le-Sands,2167.0,--,--,--,93.3,6.7,10569
Rockdale,2080.0,--,--,--,91.9,8.1,13379
Banksia,2383.0,--,--,--,90.0,10.0,10178
Sandringham (NSW),2383.0,--,--,--,91.3,8.7,13478
Dolls Point,2037.0,--,--,--,93.6,6.4,11267
Sans Souci,2393.0,--,--,--,91.1,8.9,13489
Ramsgate,2400.0,--,--,--,90.9,9.1,13309
Breakfast Point,2700.0,--,--,--,89.6,10.4,10557
Cabarita (NSW),3000.0,--,--,--,93.5,6.5,10736
Mortlake (NSW),2600.0,--,--,--,90.3,9.7,12729
Concord West,2500.0,--,--,--,92.5,7.5,11000
Sydney Olympic Park,2149.0,--,--,--,87.8,12.2,13716
Liberty Grove,2075.0,--,--,--,93.3,6.7,12315
Rhodes,2200.0,--,--,--,88.2,11.8,13358
Drummoyne,2900.0,--,--,--,94.2,5.8,11293
Russell Lea,2800.0,--,--,--,92.9,7.1,13447
Rodd Point,2882.0,--,--,--,89.9,10.1,13391
Chiswick,2600.0,--,--,--,92.9,7.1,10910
Five Dock,2617.0,--,--,--,93.4,6.6,11530
Wareemba,2676.0,--,--,--,95.7,4.3,14148
Balmain,3000.0,--,--,--,94.6,5.4,10164
Birchgrove,3000.0,--,--,--,94.4,5.6,10374
Woolwich,2500.0,--,--,--,94.8,5.2,14412
Leichhardt (NSW),3000.0,--,--,--,94.0,6.0,12297
Lilyfield,3000.0,--,--,--,94.7,5.3,12325
Ashfield (NSW),2058.0,--,--,--,94.6,5.4,10098
Summer Hill (Inner West - NSW),2167.0,--,--,--,95.4,4.6,13687
Hurlstone Park,2299.0,--,--,--,94.0,6.0,11963
Ashbury,2500.0,--,--,--,93.1,6.9,10093
Burwood (NSW),2167.0,--,--,--,93.1,6.9,10718
Croydon (NSW),2400.0,--,--,--,92.6,7.4,11134
Strathfield (NSW),2301.0,--,--,--,92.1,7.9,13675
Enfield (NSW),2167.0,--,--,--,89.3,10.7,11421
Burwood Heights,2500.0,--,--,--,91.4,8.6,10719
Strathfield South,2300.0,--,--,--,89.9,10.1,13676
Chatswood,2500.0,--,--,--,92.9,7.1,10892
Willoughby (NSW),3000.0,--,--,--,92.9,7.1,14303
Artarmon,2483.0,--,--,--,94.7,5.3,10090
Roseville,3000.0,--,--,--,92.1,7.9,13412
Lane Cove North,2400.0,--,--,--,92.9,7.1,12267
Riverview (NSW),4000.0,--,--,--,91.5,8.5,13370
Greenwich,2800.0,--,--,--,95.1,4.9,11770
Northwood (NSW),3250.0,--,--,--,93.5,6.5,13024
Longueville,4333.0,--,--,--,91.5,8.5,12385
Linley Point,4333.0,--,--,--,88.0,12.0,12341
St Leonards (NSW),2500.0,--,--,--,94.6,5.4,13642
Naremburn,3000.0,--,--,--,93.7,6.3,12898
Cammeray,2670.0,--,--,--,94.5,5.5,10778
Castle Cove,3113.0,--,--,--,93.0,7.0,10845
Castlecrag,3991.0,--,--,--,91.4,8.6,10849
Northbridge (NSW),3500.0,--,--,--,93.3,6.7,13022
Middle Cove,3467.0,--,--,--,92.2,7.8,12602
Willoughby East,3000.0,--,--,--,93.4,6.6,14304
Hornsby Heights,2500.0,--,--,--,90.0,10.0,11937
Mount Colah,2400.0,--,--,--,91.3,8.7,12750
Asquith,2400.0,--,--,--,91.1,8.9,10103
Hornsby,2150.0,--,--,--,92.1,7.9,11936
Mount Kuring-Gai,2355.0,--,--,--,88.8,11.2,12772
Cowan,2449.0,--,--,--,88.1,11.9,11097
Berowra,2331.0,--,--,--,91.5,8.5,10308
Berowra Heights,2383.0,--,--,--,89.8,10.2,10310
Dangar Island,2122.0,--,--,--,95.7,4.3,11199
Normanhurst,2600.0,--,--,--,92.8,7.2,12976
Thornleigh,2500.0,--,--,--,92.4,7.6,13850
Westleigh,2448.0,--,--,--,93.4,6.6,14260
Wahroonga,3000.0,--,--,--,91.1,8.9,14085
East Killara,3100.0,--,--,--,89.6,10.4,11355
Lindfield,3000.0,--,--,--,92.7,7.3,12339
Gordon (NSW),2800.0,--,--,--,92.1,7.9,11718
East Lindfield,3500.0,--,--,--,92.1,7.9,11357
Roseville Chase,3800.0,--,--,--,89.5,10.5,13413
Pymble,3100.0,--,--,--,90.0,10.0,13281
West Pymble,3000.0,--,--,--,91.2,8.8,14250
St Ives (NSW),3000.0,--,--,--,90.5,9.5,13639
