,Median mortgage repayments,Households where mortgage repayments are less than 30% of household income,Households with mortgage repayments greater than or equal to 30% of household income,Median mortgage repayments (%),Households where mortgage repayments are less than 30% of household income (%),Households with mortgage repayments greater than or equal to 30% of household income (%),SSC_CODE
Murrumburrah,1257.0,--,--,--,89.2,10.8,12863
Frogmore,1800.0,--,--,--,100.0,0.0,11571
Maimuru,1300.0,--,--,--,91.7,8.3,12444
Koorawatha,758.0,--,--,--,96.8,3.2,12192
Monteagle,1252.0,--,--,--,95.5,4.5,12683
Murringo,1300.0,--,--,--,94.9,5.1,12858
Thuddungra,1323.0,--,--,--,100.0,0.0,13853
Bribbaree,938.0,--,--,--,94.9,5.1,10566
Avoca Beach,2167.0,--,--,--,91.8,8.2,10114
Copacabana,2167.0,--,--,--,91.7,8.3,11056
Killcare Heights,2000.0,--,--,--,92.4,7.6,12134
Macmasters Beach,2000.0,--,--,--,95.0,5.0,12432
Empire Bay,1993.0,--,--,--,90.6,9.4,11415
Wagstaffe,2500.0,--,--,--,93.3,6.7,14084
St Huberts Island,2232.0,--,--,--,93.9,6.1,13638
Killcare,2000.0,--,--,--,88.8,11.2,12133
Bensville,2000.0,--,--,--,89.3,10.7,10297
Daleys Point,2099.0,--,--,--,92.6,7.4,11189
Pretty Beach (Central Coast - NSW),1733.0,--,--,--,88.4,11.6,13261
Hardys Bay,1800.0,--,--,--,96.3,3.7,11852
Kincumber South,1713.0,--,--,--,99.2,0.8,12142
Somersby,2427.0,--,--,--,90.6,9.4,13571
Calga,2820.0,--,--,--,100.0,0.0,10752
Woy Woy,1700.0,--,--,--,95.1,4.9,14425
Patonga,629.0,--,--,--,96.0,4.0,13160
Mooney Mooney,1907.0,--,--,--,92.7,7.3,12704
Kariong,1950.0,--,--,--,90.8,9.2,12074
Peats Ridge,2893.0,--,--,--,92.8,7.2,13172
Central Mangrove,2184.0,--,--,--,86.7,13.3,10876
Mangrove Mountain,2167.0,--,--,--,88.8,11.2,12472
Kulnura,2000.0,--,--,--,92.3,7.7,12206
Mount White,1525.0,--,--,--,96.1,3.9,12803
Wendoree Park,1733.0,--,--,--,86.0,14.0,14224
Wisemans Ferry,1500.0,--,--,--,90.8,9.2,14344
Gunderman,1500.0,--,--,--,87.5,12.5,11808
Spencer,1200.0,--,--,--,90.4,9.6,13607
Erina,1842.0,--,--,--,94.8,5.2,11433
Green Point (Central Coast - NSW),1950.0,--,--,--,93.5,6.5,11753
Matcham,3000.0,--,--,--,93.2,6.8,12520
Holgate,2500.0,--,--,--,91.7,8.3,11921
Lisarow,1886.0,--,--,--,91.7,8.3,12343
Erina Heights,2188.0,--,--,--,95.3,4.7,11434
Terrigal,2167.0,--,--,--,93.2,6.8,13805
Springfield (Central Coast - NSW),1800.0,--,--,--,92.3,7.7,13623
North Gosford,1647.0,--,--,--,93.8,6.2,12991
West Gosford,1600.0,--,--,--,97.3,2.7,14244
Gosford,1400.0,--,--,--,95.7,4.3,11722
East Gosford,1863.0,--,--,--,94.7,5.3,11349
Point Frederick,1907.0,--,--,--,94.5,5.5,13232
Kincumber,1872.0,--,--,--,93.4,6.6,12141
Picketts Valley,2500.0,--,--,--,80.7,19.3,13198
Narara,1733.0,--,--,--,90.3,9.7,12895
Niagara Park,1712.0,--,--,--,91.2,8.8,12961
Mount Elliot (NSW),2700.0,--,--,--,86.4,13.6,12757
Point Clare,1891.0,--,--,--,93.5,6.5,13231
Tascott,1733.0,--,--,--,91.3,8.7,13772
Koolewong,1729.0,--,--,--,91.8,8.2,12185
Saratoga,2000.0,--,--,--,91.1,8.9,13492
Davistown,1950.0,--,--,--,93.0,7.0,11221
Yattalunga (NSW),1800.0,--,--,--,91.4,8.6,14496
North Avoca,2210.0,--,--,--,91.3,8.7,12980
Umina Beach,1800.0,--,--,--,93.7,6.3,14007
Booker Bay,1733.0,--,--,--,95.3,4.7,10477
Ettalong Beach,1517.0,--,--,--,96.4,3.6,11445
Pearl Beach,1700.0,--,--,--,95.5,4.5,13171
Wamberal,2167.0,--,--,--,91.5,8.5,14122
Forresters Beach,2078.0,--,--,--,91.5,8.5,11549
Tumbi Umbi,1950.0,--,--,--,92.4,7.6,13962
Horsfield Bay,1800.0,--,--,--,89.3,10.7,11941
Phegans Bay,2000.0,--,--,--,90.1,9.9,13192
Woy Woy Bay,2167.0,--,--,--,90.7,9.3,14426
Blackwall (NSW),1759.0,--,--,--,94.1,5.9,10399
Wyoming,1733.0,--,--,--,92.8,7.2,14445
Bateau Bay,1820.0,--,--,--,93.3,6.7,10227
Blue Haven,1733.0,--,--,--,90.2,9.8,10415
San Remo (NSW),1517.0,--,--,--,91.4,8.6,13470
Doyalson,1590.0,--,--,--,91.5,8.5,11286
Buff Point,1591.0,--,--,--,91.2,8.8,10645
Budgewoi,1517.0,--,--,--,93.2,6.8,10642
Halekulani,1560.0,--,--,--,93.6,6.4,11830
Glenning Valley,1884.0,--,--,--,90.0,10.0,11672
Berkeley Vale,1733.0,--,--,--,91.2,8.8,10304
Chittaway Point,1871.0,--,--,--,91.7,8.3,10912
Chittaway Bay,1733.0,--,--,--,93.5,6.5,10911
Kanwal,1584.0,--,--,--,93.4,6.6,12067
Wyongah,1603.0,--,--,--,91.1,8.9,14448
Tuggerawong,1733.0,--,--,--,90.6,9.4,13951
Gorokan,1517.0,--,--,--,93.0,7.0,11721
Charmhaven,1517.0,--,--,--,92.2,7.8,10889
Lake Haven,1426.0,--,--,--,96.1,3.9,12247
Jilliby,2273.0,--,--,--,86.0,14.0,12027
Yarramalong,2167.0,--,--,--,87.3,12.7,14475
Cedar Brush Creek,2600.0,--,--,--,81.0,19.0,10867
Wyong Creek,2229.0,--,--,--,85.7,14.3,14447
Dooralong,2817.0,--,--,--,87.9,12.1,11276
Lake Munmorah,1600.0,--,--,--,94.4,5.6,12253
Chain Valley Bay,1517.0,--,--,--,95.2,4.8,10880
Mannering Park,1465.0,--,--,--,92.1,7.9,12477
Doyalson North,1083.0,--,--,--,98.5,1.5,11287
Fountaindale,2163.0,--,--,--,91.3,8.7,11554
Palm Grove (NSW),2000.0,--,--,--,100.0,0.0,13133
Gwandalan,1625.0,--,--,--,90.9,9.1,11824
Summerland Point,1560.0,--,--,--,93.1,6.9,13690
Long Jetty,1733.0,--,--,--,94.5,5.5,12378
Shelly Beach (NSW),2167.0,--,--,--,94.4,5.6,13535
Blue Bay,1925.0,--,--,--,95.3,4.7,10414
