,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%)
Boolaroo,287.0,88.0,363.0,38.9,11.9,49.2
Booragul,393.0,84.0,463.0,41.8,8.9,49.3
Bossley Park,6034.0,249.0,4668.0,55.1,2.3,42.6
Botany,3112.0,566.0,2554.0,49.9,9.1,41.0
Bow Bowing,614.0,79.0,481.0,52.3,6.7,41.0
Bradbury (NSW),3041.0,554.0,2702.0,48.3,8.8,42.9
Broadmeadow,402.0,155.0,628.0,33.9,13.1,53.0
Bronte,2118.0,773.0,1853.0,44.6,16.3,39.1
Brookvale,736.0,268.0,909.0,38.5,14.0,47.5
Budgewoi,1093.0,244.0,1135.0,44.2,9.9,45.9
Buff Point,1195.0,240.0,1049.0,48.1,9.7,42.2
Bulli,2119.0,354.0,1611.0,51.9,8.7,39.4
Burwood (NSW),4142.0,509.0,5289.0,41.7,5.1,53.2
Burwood Heights,325.0,17.0,245.0,55.4,2.9,41.7
Busby,1184.0,144.0,1472.0,42.3,5.1,52.6
Cabarita (NSW),939.0,87.0,467.0,62.9,5.8,31.3
Cabramatta,6653.0,500.0,8011.0,43.9,3.3,52.8
Cabramatta West,2240.0,136.0,2640.0,44.7,2.7,52.6
Cambridge Gardens,782.0,172.0,556.0,51.8,11.4,36.8
Cambridge Park,2087.0,488.0,2023.0,45.4,10.6,44.0
Camden,1004.0,214.0,1054.0,44.2,9.4,46.4
Camden South,1943.0,252.0,1101.0,59.0,7.6,33.4
Cammeray,2203.0,707.0,2218.0,43.0,13.8,43.3
Campbelltown (NSW),3205.0,714.0,3597.0,42.6,9.5,47.9
Camperdown (NSW),1365.0,1278.0,2714.0,25.5,23.9,50.7
Campsie,8186.0,640.0,7409.0,50.4,3.9,45.6
Canada Bay,520.0,76.0,394.0,52.5,7.7,39.8
Canley Heights,3652.0,299.0,3889.0,46.6,3.8,49.6
Canley Vale,3040.0,258.0,3536.0,44.5,3.8,51.7
Canterbury (NSW),2315.0,318.0,2151.0,48.4,6.6,45.0
Canton Beach,331.0,51.0,500.0,37.5,5.8,56.7
Cardiff (NSW),1908.0,472.0,1898.0,44.6,11.0,44.4
