,Male,Female,Median age,Male (%),Female (%),Median age (%),SSC_CODE
Casuarina (NSW),24.0,21.0,26.0,53.3,46.7,--,10851
Kingscliff,142.0,134.0,26.0,51.4,48.6,--,12154
Chinderah,63.0,53.0,35.0,54.3,45.7,--,10905
Cudgen,19.0,30.0,30.0,38.8,61.2,--,11143
South Murwillumbah,24.0,12.0,15.0,66.7,33.3,--,13593
Bray Park (NSW),9.0,16.0,12.0,36.0,64.0,--,10552
Pumpenbil,6.0,4.0,50.0,60.0,40.0,--,13272
Tumbulgum,12.0,14.0,22.0,46.2,53.8,--,13964
Limpinwood,7.0,3.0,30.0,70.0,30.0,--,12333
Tyalgum,22.0,22.0,10.0,50.0,50.0,--,13994
Byangum,3.0,6.0,19.0,33.3,66.7,--,10729
Eungella (NSW),10.0,6.0,15.0,62.5,37.5,--,11460
Crystal Creek (NSW),3.0,0.0,6.0,100.0,0.0,--,11138
Stokers Siding,6.0,11.0,43.0,35.3,64.7,--,13664
Tygalgah,3.0,3.0,28.0,50.0,50.0,--,13996
Eviron,4.0,0.0,23.0,100.0,0.0,--,11472
Duranbah,10.0,4.0,30.0,71.4,28.6,--,11331
Uki,3.0,6.0,46.0,33.3,66.7,--,14000
Bogangar,74.0,62.0,24.0,54.4,45.6,--,10439
Mooball,3.0,4.0,32.0,42.9,57.1,--,12687
Pottsville,133.0,114.0,18.0,53.8,46.2,--,13257
Upper Burringbar,4.0,6.0,21.0,40.0,60.0,--,14015
Burringbar,5.0,13.0,16.0,27.8,72.2,--,10713
Hastings Point,4.0,8.0,57.0,33.3,66.7,--,11868
Cudgera Creek,8.0,11.0,29.0,42.1,57.9,--,11144
Tweed Heads,92.0,106.0,30.0,46.5,53.5,--,13984
Tweed Heads West,174.0,187.0,24.0,48.2,51.8,--,13986
Bilambil Heights,71.0,68.0,19.0,51.1,48.9,--,10348
Bilambil,5.0,6.0,26.0,45.5,54.5,--,10347
Carool,10.0,7.0,12.0,58.8,41.2,--,10822
Glengarrie,8.0,3.0,48.0,72.7,27.3,--,11666
Banora Point,326.0,370.0,23.0,46.8,53.2,--,10185
Terranora,47.0,44.0,21.0,51.6,48.4,--,13802
North Tumbulgum,3.0,3.0,16.0,50.0,50.0,--,13012
Tweed Heads South,237.0,249.0,23.0,48.8,51.2,--,13985
Griffith (NSW),466.0,485.0,22.0,49.0,51.0,--,11782
Yoogali,13.0,5.0,26.0,72.2,27.8,--,14516
Bilbul,20.0,12.0,18.0,62.5,37.5,--,10349
Yenda (NSW),21.0,26.0,24.0,44.7,55.3,--,14504
Beelbangera,14.0,11.0,24.0,56.0,44.0,--,10251
Myall Park (NSW),0.0,3.0,14.0,0.0,100.0,--,12873
Binya,5.0,4.0,37.0,55.6,44.4,--,10373
Hillston,68.0,62.0,22.0,52.3,47.7,--,11912
Rankins Springs,3.0,6.0,56.0,33.3,66.7,--,13316
Whitton,30.0,25.0,22.0,54.5,45.5,--,14280
Coleambally,29.0,32.0,25.0,47.5,52.5,--,10964
Darlington Point,93.0,95.0,28.0,49.5,50.5,--,11215
Carrathool,9.0,4.0,28.0,69.2,30.8,--,10827
Goolgowi,20.0,15.0,18.0,57.1,42.9,--,11705
Merriwagga,4.0,4.0,40.0,50.0,50.0,--,12586
Nericon,10.0,15.0,14.0,40.0,60.0,--,12927
Lake Wyangan,17.0,12.0,30.0,58.6,41.4,--,12255
Murrami,14.0,16.0,14.0,46.7,53.3,--,12850
Stanbridge,4.0,4.0,13.0,50.0,50.0,--,13646
Leeton,229.0,244.0,20.0,48.4,51.6,--,12293
Yanco,28.0,22.0,14.0,56.0,44.0,--,14460
Narrandera,226.0,266.0,23.0,45.9,54.1,--,12906
Grong Grong,7.0,4.0,16.0,63.6,36.4,--,11784
Boree Creek,3.0,5.0,16.0,37.5,62.5,--,10512
Gillenbah,9.0,0.0,50.0,100.0,0.0,--,11622
Tumbarumba,58.0,49.0,21.0,54.2,45.8,--,13961
Khancoban,3.0,4.0,28.0,42.9,57.1,--,12111
Rosewood (Snowy Valleys - NSW),12.0,9.0,20.0,57.1,42.9,--,13415
Tumut,148.0,173.0,23.0,46.1,53.9,--,13966
Gilmore (NSW),3.0,3.0,5.0,50.0,50.0,--,11626
Batlow,19.0,13.0,19.0,59.4,40.6,--,10232
Bombowlee,7.0,8.0,23.0,46.7,53.3,--,10459
Adelong,22.0,20.0,23.0,52.4,47.6,--,10018
Cootamundra,196.0,178.0,25.0,52.4,47.6,--,11053
Wallendbeen,9.0,6.0,20.0,60.0,40.0,--,14113
Gundagai,18.0,20.0,33.0,47.4,52.6,--,11803
South Gundagai,11.0,21.0,18.0,34.4,65.6,--,13584
Nangus,3.0,5.0,14.0,37.5,62.5,--,12890
Junee,321.0,130.0,29.0,71.2,28.8,--,12046
Old Junee,6.0,4.0,23.0,60.0,40.0,--,13078
Illabo,0.0,3.0,17.0,0.0,100.0,--,11972
Bethungra,8.0,0.0,45.0,100.0,0.0,--,10328
Wantabadgery,8.0,4.0,12.0,66.7,33.3,--,14136
Temora,50.0,51.0,24.0,49.5,50.5,--,13784
Springdale (NSW),11.0,0.0,35.0,100.0,0.0,--,13621
Lake Albert (NSW),99.0,88.0,18.0,52.9,47.1,--,12238
East Wagga Wagga,0.0,5.0,27.0,0.0,100.0,--,11364
Kooringal (NSW),193.0,227.0,20.0,46.0,54.0,--,12193
Gumly Gumly,6.0,7.0,11.0,46.2,53.8,--,11800
Tatton,28.0,30.0,15.0,48.3,51.7,--,13775
Estella,18.0,22.0,21.0,45.0,55.0,--,11444
Boorooma,8.0,15.0,22.0,34.8,65.2,--,10501
North Wagga Wagga,22.0,21.0,20.0,51.2,48.8,--,13014
Cartwrights Hill,9.0,3.0,14.0,75.0,25.0,--,10839
Springvale (Wagga Wagga - NSW),16.0,15.0,20.0,51.6,48.4,--,13628
Lloyd,12.0,24.0,19.0,33.3,66.7,--,12365
Bourkelands,40.0,46.0,21.0,46.5,53.5,--,10523
Glenfield Park,183.0,201.0,22.0,47.7,52.3,--,11665
Tolland,170.0,206.0,18.0,45.2,54.8,--,13887
Mount Austin,203.0,201.0,18.0,50.2,49.8,--,12748
Turvey Park,64.0,67.0,19.0,48.9,51.1,--,13983
Ashmont,299.0,386.0,19.0,43.6,56.4,--,10101
Wagga Wagga,114.0,109.0,23.0,51.1,48.9,--,14083
Kapooka,14.0,10.0,18.0,58.3,41.7,--,12068
Ladysmith,5.0,0.0,34.0,100.0,0.0,--,12233
The Rock,18.0,15.0,31.0,54.5,45.5,--,13838
Forest Hill (NSW),83.0,81.0,19.0,50.6,49.4,--,11544
Collingullie,6.0,6.0,16.0,50.0,50.0,--,10976
Lockhart,30.0,27.0,17.0,52.6,47.4,--,12369
Ganmain,19.0,21.0,15.0,47.5,52.5,--,11585
Matong,0.0,4.0,33.0,0.0,100.0,--,12523
Yerong Creek,3.0,3.0,8.0,50.0,50.0,--,14508
Uranquinty,10.0,21.0,26.0,32.3,67.7,--,14055
Eunanoreenya,3.0,7.0,46.0,30.0,70.0,--,11457
Gobbagombalin,5.0,3.0,12.0,62.5,37.5,--,11689
Coolamon,37.0,29.0,18.0,56.1,43.9,--,11025
Tarcutta,7.0,0.0,27.0,100.0,0.0,--,13763
Mangoplah,4.0,5.0,17.0,44.4,55.6,--,12470
Kangaroo Valley,5.0,5.0,29.0,50.0,50.0,--,12061
Coolangatta (NSW),6.0,5.0,17.0,54.5,45.5,--,11026
Jaspers Brush,0.0,4.0,19.0,0.0,100.0,--,12002
Shoalhaven Heads,40.0,51.0,27.0,44.0,56.0,--,13540
Callala Bay,64.0,53.0,20.0,54.7,45.3,--,10757
Callala Beach,15.0,13.0,17.0,53.6,46.4,--,10758
Currarong,4.0,6.0,43.0,40.0,60.0,--,11176
Orient Point,59.0,49.0,30.0,54.6,45.4,--,13096
Culburra Beach,82.0,78.0,24.0,51.2,48.8,--,11146
Greenwell Point,15.0,20.0,33.0,42.9,57.1,--,11769
Huskisson,6.0,13.0,44.0,31.6,68.4,--,11966
Vincentia,48.0,45.0,26.0,51.6,48.4,--,14075
Bomaderry,237.0,248.0,23.0,48.9,51.1,--,10453
North Nowra,154.0,182.0,23.0,45.8,54.2,--,13000
Bangalee (NSW),6.0,4.0,16.0,60.0,40.0,--,10173
Meroo Meadow,6.0,3.0,29.0,66.7,33.3,--,12579
Cambewarra Village,7.0,18.0,16.0,28.0,72.0,--,10764
Tapitallee,12.0,4.0,35.0,75.0,25.0,--,13755
Worrigee,209.0,192.0,17.0,52.1,47.9,--,14423
Nowra,515.0,548.0,21.0,48.4,51.6,--,13028
Nowra Hill,143.0,22.0,31.0,86.7,13.3,--,13029
West Nowra,75.0,98.0,21.0,43.4,56.6,--,14248
South Nowra,78.0,83.0,20.0,48.4,51.6,--,13594
St Georges Basin,65.0,70.0,20.0,48.1,51.9,--,13636
Basin View,56.0,42.0,17.0,57.1,42.9,--,10223
Sanctuary Point,264.0,282.0,19.0,48.4,51.6,--,13472
Erowal Bay,26.0,22.0,25.0,54.2,45.8,--,11436
Wrights Beach,15.0,6.0,19.0,71.4,28.6,--,14428
Old Erowal Bay,39.0,48.0,17.0,44.8,55.2,--,13075
Sussex Inlet,65.0,54.0,33.0,54.6,45.4,--,13700
Berrara,6.0,9.0,48.0,40.0,60.0,--,10313
Falls Creek (NSW),25.0,17.0,21.0,59.5,40.5,--,11487
Tomerong,20.0,13.0,21.0,60.6,39.4,--,13894
Wandandian,6.0,8.0,17.0,42.9,57.1,--,14127
Woollamia,16.0,10.0,30.0,61.5,38.5,--,14405
Ulladulla,155.0,154.0,20.0,50.2,49.8,--,14003
Kings Point,11.0,12.0,14.0,47.8,52.2,--,12153
Burrill Lake,28.0,24.0,30.0,53.8,46.2,--,10712
Milton (NSW),5.0,15.0,32.0,25.0,75.0,--,12630
Mollymook Beach,24.0,27.0,17.0,47.1,52.9,--,12670
Narrawallee,8.0,18.0,35.0,30.8,69.2,--,12909
Mollymook,15.0,14.0,20.0,51.7,48.3,--,12669
Manyana,7.0,3.0,33.0,70.0,30.0,--,12482
Fishermans Paradise,12.0,10.0,18.0,54.5,45.5,--,11523
Lake Tabourie,10.0,0.0,55.0,100.0,0.0,--,12254
Conjola Park,5.0,6.0,21.0,45.5,54.5,--,11012
Yatte Yattah,3.0,0.0,15.0,100.0,0.0,--,14497
Woodstock (Shoalhaven - NSW),0.0,7.0,18.0,0.0,100.0,--,14396
Kioloa,5.0,4.0,34.0,55.6,44.4,--,12165
Termeil,3.0,6.0,42.0,33.3,66.7,--,13797
Bowral,42.0,59.0,17.0,41.6,58.4,--,10536
Burradoo,11.0,15.0,25.0,42.3,57.7,--,10701
Woodlands (Wingecarribee - NSW),0.0,5.0,23.0,0.0,100.0,--,14388
Balmoral (Wingecarribee - NSW),3.0,10.0,20.0,23.1,76.9,--,10167
Hill Top (Wingecarribee - NSW),39.0,54.0,24.0,41.9,58.1,--,11905
Colo Vale,28.0,30.0,20.0,48.3,51.7,--,10985
Aylmerton,3.0,11.0,31.0,21.4,78.6,--,10119
Mittagong,37.0,59.0,24.0,38.5,61.5,--,12653
Willow Vale (Wingecarribee - NSW),14.0,11.0,26.0,56.0,44.0,--,14307
Renwick,4.0,11.0,16.0,26.7,73.3,--,13350
Balaclava (NSW),6.0,6.0,31.0,50.0,50.0,--,10143
Braemar,6.0,4.0,20.0,60.0,40.0,--,10545
Moss Vale,110.0,114.0,22.0,49.1,50.9,--,12739
Sutton Forest,5.0,0.0,19.0,100.0,0.0,--,13703
New Berrima,10.0,13.0,24.0,43.5,56.5,--,12938
Robertson (NSW),18.0,21.0,26.0,46.2,53.8,--,13374
Bundanoon (NSW),18.0,14.0,33.0,56.2,43.8,--,10670
Wingello,7.0,9.0,22.0,43.8,56.2,--,14330
Exeter (NSW),10.0,3.0,39.0,76.9,23.1,--,11475
Canyonleigh,6.0,0.0,36.0,100.0,0.0,--,10799
Baulkham Hills,98.0,93.0,26.0,51.3,48.7,--,10233
Bella Vista,8.0,5.0,26.0,61.5,38.5,--,10263
Glenhaven,14.0,21.0,19.0,40.0,60.0,--,11667
Castle Hill (NSW),72.0,65.0,24.0,52.6,47.4,--,10847
West Pennant Hills,13.0,28.0,23.0,31.7,68.3,--,14249
Cherrybrook,31.0,20.0,21.0,60.8,39.2,--,10898
Kellyville,59.0,68.0,19.0,46.5,53.5,--,12088
Glenorie,11.0,4.0,33.0,73.3,26.7,--,11673
Maroota,8.0,6.0,26.0,57.1,42.9,--,12500
South Maroota,6.0,0.0,48.0,100.0,0.0,--,13592
Dural (Hornsby - NSW),24.0,26.0,19.0,48.0,52.0,--,11328
Sackville North,12.0,13.0,28.0,48.0,52.0,--,13459
Lower Portland,10.0,10.0,24.0,50.0,50.0,--,12412
Galston,14.0,14.0,19.0,50.0,50.0,--,11582
Arcadia (NSW),6.0,8.0,33.0,42.9,57.1,--,10072
Bilpin,9.0,4.0,23.0,69.2,30.8,--,10358
Colo Heights,13.0,11.0,14.0,54.2,45.8,--,10984
Lower Macdonald,7.0,0.0,37.0,100.0,0.0,--,12408
Cumberland Reach,8.0,5.0,34.0,61.5,38.5,--,11156
St Albans (NSW),5.0,0.0,61.0,100.0,0.0,--,13630
Bowen Mountain,32.0,28.0,15.0,53.3,46.7,--,10528
Grose Vale,15.0,7.0,28.0,68.2,31.8,--,11785
Grose Wold,3.0,8.0,39.0,27.3,72.7,--,11786
Kurrajong,27.0,36.0,30.0,42.9,57.1,--,12218
Kurrajong Hills,6.0,0.0,31.0,100.0,0.0,--,12220
Kurrajong Heights,16.0,11.0,30.0,59.3,40.7,--,12219
Kurmond,14.0,14.0,16.0,50.0,50.0,--,12215
The Slopes,8.0,0.0,36.0,100.0,0.0,--,13842
East Kurrajong,32.0,31.0,17.0,50.8,49.2,--,11356
Wilberforce (NSW),44.0,33.0,24.0,57.1,42.9,--,14288
Freemans Reach,38.0,42.0,22.0,47.5,52.5,--,11564
Sackville,7.0,9.0,29.0,43.8,56.2,--,13458
Ebenezer (NSW),10.0,8.0,25.0,55.6,44.4,--,11371
Glossodia,49.0,34.0,22.0,59.0,41.0,--,11684
Blaxlands Ridge,9.0,12.0,19.0,42.9,57.1,--,10409
Vineyard,12.0,19.0,26.0,38.7,61.3,--,14076
McGraths Hill,49.0,50.0,20.0,49.5,50.5,--,12542
Maraylya,11.0,14.0,23.0,44.0,56.0,--,12484
Oakville,17.0,8.0,19.0,68.0,32.0,--,13060
Pitt Town,25.0,24.0,21.0,51.0,49.0,--,13226
Pitt Town Bottoms,3.0,0.0,20.0,100.0,0.0,--,13227
Rouse Hill,38.0,31.0,21.0,55.1,44.9,--,13429
Beaumont Hills,30.0,38.0,17.0,44.1,55.9,--,10243
Nelson (The Hills Shire - NSW),3.0,0.0,22.0,100.0,0.0,--,12922
Blacktown,362.0,358.0,24.0,50.3,49.7,--,10397
Kings Park (NSW),45.0,41.0,17.0,52.3,47.7,--,12150
Acacia Gardens,7.0,14.0,21.0,33.3,66.7,--,10014
Quakers Hill,252.0,242.0,22.0,51.0,49.0,--,13286
Marayong,96.0,104.0,25.0,48.0,52.0,--,12485
Woodcroft (NSW),32.0,20.0,23.0,61.5,38.5,--,14381
Bungarribee,0.0,6.0,25.0,0.0,100.0,--,10682
Doonside,331.0,389.0,21.0,46.0,54.0,--,11275
Seven Hills (NSW),163.0,179.0,22.0,47.7,52.3,--,13518
Lalor Park,149.0,135.0,27.0,52.5,47.5,--,12261
Kings Langley,59.0,49.0,18.0,54.6,45.4,--,12149
Toongabbie (NSW),97.0,112.0,25.0,46.4,53.6,--,13907
Prospect (NSW),33.0,39.0,22.0,45.8,54.2,--,13266
Glenwood (NSW),53.0,45.0,22.0,54.1,45.9,--,11682
Parklea,182.0,8.0,32.0,95.8,4.2,--,13153
Stanhope Gardens,27.0,28.0,20.0,49.1,50.9,--,13649
Kellyville Ridge,42.0,48.0,18.0,46.7,53.3,--,12089
The Ponds,37.0,31.0,21.0,54.4,45.6,--,13835
Riverstone,165.0,154.0,22.0,51.7,48.3,--,13368
Schofields,56.0,44.0,20.0,56.0,44.0,--,13502
Shanes Park,14.0,12.0,29.0,53.8,46.2,--,13524
Colebee,9.0,7.0,21.0,56.2,43.8,--,10965
Bidwill (NSW),280.0,280.0,16.0,50.0,50.0,--,10340
Hebersham,182.0,183.0,17.0,49.9,50.1,--,11886
Dharruk,59.0,80.0,25.0,42.4,57.6,--,11248
Blackett,174.0,185.0,18.0,48.5,51.5,--,10392
Emerton,71.0,87.0,15.0,44.9,55.1,--,11413
Glendenning,51.0,47.0,19.0,52.0,48.0,--,11659
Dean Park,43.0,54.0,18.0,44.3,55.7,--,11224
Plumpton (NSW),77.0,106.0,18.0,42.1,57.9,--,13230
Oakhurst (NSW),102.0,106.0,19.0,49.0,51.0,--,13058
Hassall Grove,55.0,78.0,20.0,41.4,58.6,--,11866
Shalvey,191.0,191.0,17.0,50.0,50.0,--,13523
Willmot,128.0,128.0,18.0,50.0,50.0,--,14302
Tregear,240.0,251.0,17.0,48.9,51.1,--,13934
Lethbridge Park,246.0,261.0,18.0,48.5,51.5,--,12307
Ropes Crossing,68.0,75.0,15.0,47.6,52.4,--,13397
Mount Druitt,157.0,189.0,23.0,45.4,54.6,--,12756
Whalan,257.0,259.0,20.0,49.8,50.2,--,14266
Eastern Creek,9.0,7.0,49.0,56.2,43.8,--,11366
Minchinbury,51.0,66.0,20.0,43.6,56.4,--,12633
Rooty Hill,132.0,113.0,26.0,53.9,46.1,--,13395
Botany,140.0,143.0,26.0,49.5,50.5,--,10517
Mascot,80.0,96.0,28.0,45.5,54.5,--,12519
Eastlakes,40.0,35.0,26.0,53.3,46.7,--,11368
Rosebery (NSW),46.0,52.0,27.0,46.9,53.1,--,13405
Pagewood,35.0,33.0,26.0,51.5,48.5,--,13125
Daceyville,27.0,48.0,25.0,36.0,64.0,--,11185
Hillsdale,34.0,45.0,26.0,43.0,57.0,--,11911
Eastgardens,4.0,9.0,44.0,30.8,69.2,--,11367
Matraville,151.0,173.0,24.0,46.6,53.4,--,12524
Marrickville,204.0,216.0,29.0,48.6,51.4,--,12504
Petersham,72.0,71.0,30.0,50.3,49.7,--,13190
Dulwich Hill,90.0,116.0,27.0,43.7,56.3,--,11303
Newtown (NSW),78.0,93.0,33.0,45.6,54.4,--,12960
Lewisham (NSW),24.0,27.0,29.0,47.1,52.9,--,12313
Stanmore (NSW),31.0,36.0,32.0,46.3,53.7,--,13650
Camperdown (NSW),43.0,45.0,29.0,48.9,51.1,--,10781
Enmore (Inner West - NSW),26.0,25.0,28.0,51.0,49.0,--,11425
St Peters (NSW),24.0,27.0,31.0,47.1,52.9,--,13644
Sydenham (NSW),3.0,9.0,37.0,25.0,75.0,--,13714
Tempe,37.0,42.0,27.0,46.8,53.2,--,13785
Darlinghurst,43.0,23.0,37.0,65.2,34.8,--,11212
Erskineville,44.0,46.0,30.0,48.9,51.1,--,11439
Alexandria,76.0,67.0,30.0,53.1,46.9,--,10030
Glebe (NSW),110.0,153.0,29.0,41.8,58.2,--,11641
Forest Lodge,13.0,20.0,31.0,39.4,60.6,--,11546
Annandale (NSW),38.0,50.0,29.0,43.2,56.8,--,10061
Darlington (Sydney - NSW),18.0,14.0,28.0,56.2,43.8,--,11214
Potts Point,45.0,21.0,31.0,68.2,31.8,--,13256
Elizabeth Bay,11.0,3.0,31.0,78.6,21.4,--,11395
Sydney,22.0,12.0,35.0,64.7,35.3,--,13715
Woolloomooloo,72.0,57.0,27.0,55.8,44.2,--,14406
Rushcutters Bay,8.0,4.0,38.0,66.7,33.3,--,13444
Pyrmont,63.0,63.0,25.0,50.0,50.0,--,13284
Ultimo,39.0,22.0,22.0,63.9,36.1,--,14006
Redfern,147.0,134.0,38.0,52.3,47.7,--,13339
Eveleigh,11.0,33.0,22.0,25.0,75.0,--,11471
Chippendale,20.0,21.0,32.0,48.8,51.2,--,10907
Surry Hills,98.0,64.0,37.0,60.5,39.5,--,13699
Haymarket,7.0,3.0,35.0,70.0,30.0,--,11877
Balmain East,9.0,9.0,30.0,50.0,50.0,--,10165
Waterloo (NSW),205.0,235.0,27.0,46.6,53.4,--,14183
Zetland,43.0,42.0,27.0,50.6,49.4,--,14524
Beaconsfield (NSW),11.0,8.0,25.0,57.9,42.1,--,10239
Bondi,15.0,16.0,32.0,48.4,51.6,--,10464
Bondi Beach,34.0,15.0,32.0,69.4,30.6,--,10465
North Bondi,20.0,10.0,34.0,66.7,33.3,--,12984
Waverley (NSW),16.0,14.0,35.0,53.3,46.7,--,14200
Bondi Junction,22.0,13.0,31.0,62.9,37.1,--,10467
Queens Park (NSW),9.0,18.0,33.0,33.3,66.7,--,13294
Double Bay,9.0,3.0,32.0,75.0,25.0,--,11281
Bellevue Hill,26.0,11.0,18.0,70.3,29.7,--,10271
Rose Bay (NSW),18.0,13.0,22.0,58.1,41.9,--,13398
Paddington (NSW),18.0,27.0,29.0,40.0,60.0,--,13115
Vaucluse,10.0,15.0,17.0,40.0,60.0,--,14071
Dover Heights,3.0,9.0,17.0,25.0,75.0,--,11284
Watsons Bay,4.0,4.0,22.0,50.0,50.0,--,14187
Woollahra,5.0,14.0,33.0,26.3,73.7,--,14404
Clovelly,12.0,12.0,31.0,50.0,50.0,--,10938
South Coogee,42.0,73.0,19.0,36.5,63.5,--,13579
Coogee (NSW),40.0,46.0,31.0,46.5,53.5,--,11015
La Perouse,72.0,82.0,36.0,46.8,53.2,--,12230
Little Bay,64.0,64.0,25.0,50.0,50.0,--,12349
Malabar,298.0,59.0,32.0,83.5,16.5,--,12453
Phillip Bay,46.0,43.0,27.0,51.7,48.3,--,13193
Kensington (NSW),64.0,55.0,22.0,53.8,46.2,--,12099
Kingsford (NSW),45.0,47.0,22.0,48.9,51.1,--,12156
Maroubra,159.0,188.0,24.0,45.8,54.2,--,12501
Randwick,72.0,88.0,28.0,45.0,55.0,--,13312
Georges Hall,26.0,26.0,27.0,50.0,50.0,--,11601
Bass Hill,32.0,34.0,25.0,48.5,51.5,--,10224
Yagoona,72.0,77.0,29.0,48.3,51.7,--,14453
Villawood,42.0,46.0,22.0,47.7,52.3,--,14074
Greenacre,55.0,68.0,24.0,44.7,55.3,--,11757
Milperra,51.0,48.0,17.0,51.5,48.5,--,12625
Revesby,72.0,76.0,27.0,48.6,51.4,--,13355
Condell Park,20.0,43.0,23.0,31.7,68.3,--,11001
Bankstown,49.0,64.0,25.0,43.4,56.6,--,10180
Padstow,70.0,78.0,25.0,47.3,52.7,--,13120
Padstow Heights,10.0,3.0,42.0,76.9,23.1,--,13121
Panania,90.0,102.0,26.0,46.9,53.1,--,13144
East Hills,31.0,35.0,26.0,47.0,53.0,--,11351
Picnic Point,34.0,36.0,24.0,48.6,51.4,--,13199
Birrong,9.0,14.0,25.0,39.1,60.9,--,10379
Belmore,52.0,50.0,35.0,51.0,49.0,--,10279
Belfield,24.0,14.0,26.0,63.2,36.8,--,10257
Campsie,42.0,65.0,22.0,39.3,60.7,--,10782
Canterbury (NSW),28.0,41.0,23.0,40.6,59.4,--,10797
Clemton Park,16.0,11.0,15.0,59.3,40.7,--,10928
Earlwood,63.0,75.0,29.0,45.7,54.3,--,11343
Kingsgrove,39.0,57.0,23.0,40.6,59.4,--,12158
Riverwood,33.0,47.0,31.0,41.2,58.7,--,13371
Roselands,26.0,54.0,20.0,32.5,67.5,--,13409
Beverly Hills,40.0,34.0,30.0,54.1,45.9,--,10331
Narwee,13.0,27.0,28.0,32.5,67.5,--,12912
Lakemba,24.0,27.0,26.0,47.1,52.9,--,12257
Wiley Park,7.0,13.0,36.0,35.0,65.0,--,14293
Hurstville,38.0,43.0,24.0,46.9,53.1,--,11964
Carlton (NSW),35.0,29.0,24.0,54.7,45.3,--,10819
Penshurst (NSW),27.0,27.0,31.0,50.0,50.0,--,13186
Oatley,39.0,53.0,22.0,42.4,57.6,--,13064
Mortdale,35.0,34.0,34.0,50.7,49.3,--,12728
Peakhurst,40.0,79.0,23.0,33.6,66.4,--,13168
Hurstville Grove,5.0,14.0,25.0,26.3,73.7,--,11965
Lugarno,15.0,18.0,40.0,45.5,54.5,--,12421
Peakhurst Heights,3.0,10.0,23.0,23.1,76.9,--,13169
South Hurstville,4.0,15.0,27.0,21.1,78.9,--,13587
Blakehurst,15.0,13.0,15.0,53.6,46.4,--,10403
Carss Park,7.0,7.0,39.0,50.0,50.0,--,10837
Arncliffe,35.0,42.0,29.0,45.5,54.5,--,10086
Wolli Creek,17.0,6.0,33.0,73.9,26.1,--,14353
Turrella,11.0,18.0,23.0,37.9,62.1,--,13982
Bardwell Valley,12.0,9.0,25.0,57.1,42.9,--,10196
Bardwell Park,5.0,14.0,26.0,26.3,73.7,--,10195
Bexley,43.0,42.0,29.0,50.6,49.4,--,10334
Kogarah,40.0,34.0,27.0,54.1,45.9,--,12181
Bexley North,13.0,17.0,29.0,43.3,56.7,--,10335
Allawah,9.0,16.0,27.0,36.0,64.0,--,10038
Beverley Park,10.0,8.0,30.0,55.6,44.4,--,10330
Kogarah Bay,10.0,13.0,23.0,43.5,56.5,--,12182
Kyeemagh,17.0,13.0,29.0,56.7,43.3,--,12226
Brighton-le-Sands,30.0,31.0,28.0,49.2,50.8,--,10569
Rockdale,25.0,22.0,27.0,53.2,46.8,--,13379
Monterey,18.0,14.0,22.0,56.2,43.8,--,12686
Banksia,27.0,28.0,28.0,49.1,50.9,--,10178
Sandringham (NSW),3.0,0.0,38.0,100.0,0.0,--,13478
Dolls Point,4.0,13.0,34.0,23.5,76.5,--,11267
Sans Souci,48.0,46.0,33.0,51.1,48.9,--,13489
Concord,44.0,43.0,25.0,50.6,49.4,--,10999
Breakfast Point,7.0,3.0,37.0,70.0,30.0,--,10557
North Strathfield,19.0,16.0,31.0,54.3,45.7,--,13009
Concord West,17.0,26.0,19.0,39.5,60.5,--,11000
Sydney Olympic Park,6.0,4.0,31.0,60.0,40.0,--,13716
Rhodes,13.0,6.0,33.0,68.4,31.6,--,13358
Drummoyne,17.0,20.0,36.0,45.9,54.1,--,11293
Russell Lea,3.0,7.0,30.0,30.0,70.0,--,13447
Abbotsford (NSW),14.0,32.0,27.0,30.4,69.6,--,10003
Five Dock,33.0,27.0,24.0,55.0,45.0,--,11530
Canada Bay,8.0,7.0,37.0,53.3,46.7,--,10785
Wareemba,5.0,9.0,20.0,35.7,64.3,--,14148
Balmain,33.0,46.0,35.0,41.8,58.2,--,10164
Birchgrove,8.0,9.0,33.0,47.1,52.9,--,10374
Leichhardt (NSW),101.0,101.0,26.0,50.0,50.0,--,12297
Lilyfield,43.0,53.0,37.0,44.8,55.2,--,12325
Rozelle,26.0,43.0,31.0,37.7,62.3,--,13435
Ashfield (NSW),62.0,93.0,24.0,40.0,60.0,--,10098
Summer Hill (Inner West - NSW),31.0,37.0,33.0,45.6,54.4,--,13687
Hurlstone Park,31.0,36.0,26.0,46.3,53.7,--,11963
Ashbury,16.0,13.0,21.0,55.2,44.8,--,10093
Burwood (NSW),18.0,21.0,37.0,46.2,53.8,--,10718
Croydon (NSW),26.0,28.0,24.0,48.1,51.9,--,11134
Strathfield (NSW),31.0,34.0,25.0,47.7,52.3,--,13675
Croydon Park (NSW),33.0,45.0,26.0,42.3,57.7,--,11135
Haberfield,17.0,26.0,22.0,39.5,60.5,--,11828
Homebush (NSW),9.0,6.0,22.0,60.0,40.0,--,11929
Strathfield South,7.0,11.0,36.0,38.9,61.1,--,13676
Chatswood,24.0,12.0,30.0,66.7,33.3,--,10892
North Willoughby,6.0,3.0,36.0,66.7,33.3,--,13016
Artarmon,6.0,7.0,31.0,46.2,53.8,--,10090
Roseville,3.0,9.0,45.0,25.0,75.0,--,13412
Lane Cove North,13.0,8.0,27.0,61.9,38.1,--,12267
