,Male,Female,Median age,Male (%),Female (%),Median age (%),SSC_CODE
Lue,3.0,4.0,34.0,42.9,57.1,--,12420
Gulgong,103.0,83.0,22.0,55.4,44.6,--,11794
Dunedoo,45.0,47.0,18.0,48.9,51.1,--,11316
Leadville,6.0,3.0,19.0,66.7,33.3,--,12290
Cassilis (NSW),3.0,4.0,26.0,42.9,57.1,--,10844
Stubbo,4.0,5.0,32.0,44.4,55.6,--,13682
Yarrawonga (NSW),12.0,14.0,18.0,46.2,53.8,--,14486
Cooks Gap,26.0,26.0,21.0,50.0,50.0,--,11018
Frog Rock,5.0,5.0,20.0,50.0,50.0,--,11570
Cooyal,11.0,5.0,22.0,68.8,31.2,--,11055
St Fillans,4.0,3.0,50.0,57.1,42.9,--,13634
Eurunderee,0.0,3.0,49.0,0.0,100.0,--,11467
Kains Flat,3.0,0.0,13.0,100.0,0.0,--,12049
Menah,0.0,6.0,26.0,0.0,100.0,--,12566
Grattai,0.0,0.0,52.0,0.0,0.0,--,11741
Hargraves,8.0,9.0,32.0,47.1,52.9,--,11854
Windeyer (NSW),3.0,0.0,26.0,100.0,0.0,--,14322
Bocoble,0.0,4.0,14.0,0.0,100.0,--,10432
Blayney,81.0,65.0,18.0,55.5,44.5,--,10410
Millthorpe,24.0,18.0,11.0,57.1,42.9,--,12623
Carcoar,5.0,3.0,47.0,62.5,37.5,--,10808
Lyndhurst (Blayney - NSW),13.0,9.0,28.0,59.1,40.9,--,12426
Forest Reefs,3.0,4.0,15.0,42.9,57.1,--,11547
Orange,1245.0,1242.0,20.0,50.1,49.9,--,13092
Clifton Grove,8.0,13.0,43.0,38.1,61.9,--,10934
Cumnock,8.0,3.0,21.0,72.7,27.3,--,11159
Cudal,3.0,6.0,25.0,33.3,66.7,--,11140
Molong,63.0,65.0,17.0,49.2,50.8,--,12671
Manildra,8.0,14.0,13.0,36.4,63.6,--,12473
Cargo,13.0,10.0,16.0,56.5,43.5,--,10813
Springside (NSW),3.0,0.0,39.0,100.0,0.0,--,13626
Spring Hill (Cabonne - NSW),14.0,11.0,11.0,56.0,44.0,--,13615
Lucknow (NSW),5.0,3.0,45.0,62.5,37.5,--,12418
Spring Creek (NSW),0.0,8.0,20.0,0.0,100.0,--,13611
Huntley (Orange - NSW),3.0,11.0,17.0,21.4,78.6,--,11958
Canobolas,5.0,0.0,48.0,100.0,0.0,--,10793
Clergate,4.0,9.0,15.0,30.8,69.2,--,10929
Mullion Creek,4.0,16.0,22.0,20.0,80.0,--,12826
Nashdale,3.0,0.0,17.0,100.0,0.0,--,12913
Windera (NSW),11.0,10.0,18.0,52.4,47.6,--,14319
Borenore,10.0,0.0,31.0,100.0,0.0,--,10513
Yeoval,32.0,17.0,29.0,65.3,34.7,--,14507
Grafton,407.0,365.0,24.0,52.7,47.3,--,11733
Rushforth,4.0,3.0,17.0,57.1,42.9,--,13446
South Grafton,374.0,390.0,19.0,49.0,51.0,--,13582
Junction Hill,35.0,28.0,19.0,55.6,44.4,--,12045
Carrs Creek,5.0,12.0,15.0,29.4,70.6,--,10834
Tucabia,3.0,6.0,31.0,33.3,66.7,--,13945
Ulmarra,21.0,25.0,22.0,45.7,54.3,--,14004
Ramornie,3.0,10.0,15.0,23.1,76.9,--,13308
Nymboida,9.0,3.0,28.0,75.0,25.0,--,13048
Blaxlands Creek,0.0,10.0,40.0,0.0,100.0,--,10408
Glenreagh,37.0,49.0,21.0,43.0,57.0,--,11675
Wells Crossing,13.0,12.0,16.0,52.0,48.0,--,14223
Kungala,0.0,4.0,29.0,0.0,100.0,--,12212
Wooli,6.0,3.0,50.0,66.7,33.3,--,14403
Halfway Creek,8.0,8.0,31.0,50.0,50.0,--,11831
Copmanhurst,7.0,13.0,34.0,35.0,65.0,--,11060
Waterview Heights,16.0,22.0,37.0,42.1,57.9,--,14186
Lawrence (NSW),13.0,11.0,33.0,54.2,45.8,--,12288
Eatonsville,12.0,5.0,22.0,70.6,29.4,--,11370
Seelands,11.0,9.0,22.0,55.0,45.0,--,13515
Mountain View (NSW),3.0,7.0,20.0,30.0,70.0,--,12808
Ashby Heights,3.0,0.0,7.0,100.0,0.0,--,10095
Ashby (NSW),3.0,6.0,34.0,33.3,66.7,--,10094
South Arm (Clarence Valley - NSW),0.0,4.0,44.0,0.0,100.0,--,13574
Woodford Island,11.0,9.0,15.0,55.0,45.0,--,14384
Brushgrove,4.0,0.0,24.0,100.0,0.0,--,10622
Elland,4.0,0.0,21.0,100.0,0.0,--,11399
Coutts Crossing,34.0,60.0,18.0,36.2,63.8,--,11094
Lanitza,12.0,14.0,16.0,46.2,53.8,--,12270
