,Clerical and Administrative Workers,Technicians and Trades Workers,Professionals,Managers,Sales Workers,Community and Personal Service Workers,Labourers,Machinery Operators And Drivers,Clerical and Administrative Workers (%),Technicians and Trades Workers (%),Professionals (%),Managers (%),Sales Workers (%),Community and Personal Service Workers (%),Labourers (%),Machinery Operators And Drivers (%)
Sylvania Waters,294,191,303,305,191,108,77,55,18.9,12.3,19.4,19.6,12.3,6.9,4.9,3.5
Tacoma,53,75,47,25,44,46,53,26,14.0,19.8,12.4,6.6,11.6,12.2,14.0,6.9
Tacoma South,24,21,18,15,13,16,10,10,18.9,16.5,14.2,11.8,10.2,12.6,7.9,7.9
Tamarama,75,47,379,157,57,39,15,6,9.5,6.0,48.0,19.9,7.2,4.9,1.9,0.8
Taren Point,115,73,140,110,68,51,27,25,18.7,11.9,22.7,17.9,11.0,8.3,4.4,4.1
Tarrawanna,133,127,154,82,82,80,71,60,16.7,16.0,19.3,10.3,10.3,10.1,8.9,7.5
Tascott,125,87,188,83,76,59,54,28,17.8,12.4,26.7,11.8,10.8,8.4,7.7,4.0
Tempe,292,193,453,204,125,112,125,103,17.8,11.8,27.6,12.4,7.6,6.8,7.6,6.3
Teralba,84,118,77,64,55,85,72,59,13.5,18.9,12.4,10.3,8.8,13.6,11.6,9.5
Terrey Hills,238,234,395,254,141,112,84,46,15.6,15.3,25.9,16.6,9.2,7.3,5.5,3.0
Terrigal,716,657,"1,258",732,609,568,302,146,14.1,13.0,24.8,14.5,12.0,11.2,6.0,2.9
The Entrance,149,180,193,108,134,148,171,104,12.3,14.8,15.9,8.9,11.0,12.2,14.1,8.6
The Entrance North,81,82,91,71,65,66,80,33,14.1,14.2,15.8,12.3,11.3,11.5,13.9,5.7
The Hill,142,103,411,115,72,117,33,23,13.9,10.0,40.1,11.2,7.0,11.4,3.2,2.2
The Junction,107,89,262,106,59,98,43,21,13.5,11.2,33.0,13.4,7.4,12.4,5.4,2.6
Thirroul,351,400,853,355,199,279,170,107,12.7,14.5,30.8,12.8,7.2,10.1,6.1,3.9
Thornleigh,638,382,"1,445",612,306,295,207,81,15.8,9.5,35.8,15.2,7.6,7.3,5.1,2.0
Tighes Hill,87,109,202,69,69,84,77,31,11.8,14.7,27.3,9.3,9.3,11.4,10.4,4.2
Tingira Heights,180,186,149,112,106,112,89,58,17.9,18.5,14.8,11.2,10.6,11.2,8.9,5.8
Toongabbie,"1,237",881,"1,398",524,554,515,580,493,19.6,14.0,22.2,8.3,8.8,8.2,9.2,7.8
Toowoon Bay,21,25,38,38,22,32,25,8,9.9,11.7,17.8,17.8,10.3,15.0,11.7,3.8
Toronto,256,304,325,149,191,218,221,161,13.7,16.3,17.4,8.0,10.2,11.7,11.8,8.6
Toukley,154,252,182,102,157,176,161,101,11.7,19.2,13.8,7.8,11.9,13.4,12.2,7.7
Towradgi,204,215,263,117,113,161,109,94,15.8,16.7,20.4,9.1,8.8,12.5,8.4,7.3
