,Italian,Assyrian Neo-Aramaic,Arabic,Croatian,Spanish,&nbsp;,English only spoken at home,Households where two or more languages are spoken,Cantonese,Greek,Mandarin,Hindi,Tagalog,Punjabi,Sinhalese,Gujarati,Macedonian,Serbian,German,Samoan,Tongan,Fijian,Maltese,Indonesian,French,Filipino,Thai,Korean,Japanese,Nepali,Portuguese,Vietnamese,Turkish,Urdu,Latvian,Dutch,Afrikaans,Russian,Persian (excluding Dari,Tamil,Maori (Cook Island,Hebrew,Hungarian,Norwegian,Slovak,Gaelic (Scotland,Armenian,Danish,Khmer,Dinka,Swedish,Lao,Icelandic,Finnish,Polish,Ukrainian,Chaldean Neo-Aramaic,Dari,Maori (New Zealand,Min Nan,Swahili,Marathi,Albanian,Irish,Welsh,Estonian,Bengali,Bosnian,Kinyarwanda (Rwanda,Malay,"Celtic, nec",Auslan,"Serbo-Croatian/Yugoslavian, so described",Czech,Burmese,Karen,Tokelauan,Malayalam,Telugu,Lithuanian,Italian (%),Assyrian Neo-Aramaic (%),Arabic (%),Croatian (%),Spanish (%),&nbsp; (%),English only spoken at home (%),Households where two or more languages are spoken (%),Cantonese (%),Greek (%),Mandarin (%),Hindi (%),Tagalog (%),Punjabi (%),Sinhalese (%),Gujarati (%),Macedonian (%),Serbian (%),German (%),Samoan (%),Tongan (%),Fijian (%),Maltese (%),Indonesian (%),French (%),Filipino (%),Thai (%),Korean (%),Japanese (%),Nepali (%),Portuguese (%),Vietnamese (%),Turkish (%),Urdu (%),Latvian (%),Dutch (%),Afrikaans (%),Russian (%),Persian (excluding Dari (%),Tamil (%),Maori (Cook Island (%),Hebrew (%),Hungarian (%),Norwegian (%),Slovak (%),Gaelic (Scotland (%),Armenian (%),Danish (%),Khmer (%),Dinka (%),Swedish (%),Lao (%),Icelandic (%),Finnish (%),Polish (%),Ukrainian (%),Chaldean Neo-Aramaic (%),Dari (%),Maori (New Zealand (%),Min Nan (%),Swahili (%),Marathi (%),Albanian (%),Irish (%),Welsh (%),Estonian (%),Bengali (%),Bosnian (%),Kinyarwanda (Rwanda (%),Malay (%),"Celtic, nec (%)",Auslan (%),"Serbo-Croatian/Yugoslavian, so described (%)",Czech (%),Burmese (%),Karen (%),Tokelauan (%),Malayalam (%),Telugu (%),Lithuanian (%)
Connells Point,70,,57,,,&nbsp;,"1,690",336,121,319,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,2.1,,,&nbsp;,62.5,37.5,4.5,11.8,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coogee,,,,,174,&nbsp;,"10,857","1,098",,202,,,,,,,,,167,,,,,,202,,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,&nbsp;,77.5,18.6,,1.4,,,,,,,,,1.2,,,,,,1.4,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooks Hill,,,,,19,&nbsp;,"3,251",120,12,13,11,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,&nbsp;,89.8,7.4,0.3,0.4,0.3,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copacabana,17,,,,17,&nbsp;,"2,438",62,,,,,,,,,,,26,,,,,,,,,9,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.6,&nbsp;,90.6,6.8,,,,,,,,,,,1.0,,,,,,,,,0.3,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordeaux Heights,78,,42,58,,&nbsp;,"3,703",366,,93,,,,,,,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,0.9,1.2,,&nbsp;,78.4,26.4,,2.0,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrimal,250,,72,,40,&nbsp;,"5,254",453,,53,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.1,,0.6,&nbsp;,83.1,17.9,,0.8,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cranebrook,57,,73,,80,&nbsp;,"13,115",502,,55,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,0.5,,0.5,&nbsp;,89.1,10.8,,0.4,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cremorne,,,,,86,&nbsp;,"8,128","1,010",241,,201,,,,,,,,,,,,,,86,,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,&nbsp;,73.6,20.7,2.2,,1.8,,,,,,,,,,,,,,0.8,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cremorne Point,24,,,,,&nbsp;,"1,613",125,,13,,,,,,,,,26,,,,,,28,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,&nbsp;,81.5,14.1,,0.7,,,,,,,,,1.3,,,,,,1.4,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cringila,,,271,,,&nbsp;,694,445,,,,,,,,,437,,,,,,,,,,,,,,56,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,12.8,,,&nbsp;,32.8,65.7,,,,,,,,,20.7,,,,,,,,,,,,,,2.7,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
Cromer,178,,,,,&nbsp;,"6,107",389,35,,64,,,,,,,80,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,&nbsp;,85.3,15.8,0.5,,0.9,,,,,,,1.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cronulla,132,,,,119,&nbsp;,"14,738",853,,178,,,,,,,,,87,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.7,&nbsp;,86.5,11.0,,1.0,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croudace Bay,,,,,,&nbsp;,530,4,,,,,,,,,,,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,&nbsp;,97.6,2.0,,,,,,,,,,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
Crows Nest,,,,,54,&nbsp;,"2,926",429,87,,75,,,,,,,,,,,,,,,,,,83,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,&nbsp;,72.3,23.8,2.2,,1.9,,,,,,,,,,,,,,,,,,2.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croydon,723,,472,,,&nbsp;,"5,291","1,768",672,391,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,4.5,,,&nbsp;,51.0,51.4,6.5,3.8,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croydon Park,"1,077",,813,,,&nbsp;,"5,141","2,095",429,414,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,7.6,,,&nbsp;,47.9,54.2,4.0,3.9,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curl Curl,20,,,,18,&nbsp;,"2,159",84,,,,,,,,,,,17,,,,,,12,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.7,&nbsp;,89.4,10.7,,,,,,,,,,,0.7,,,,,,0.5,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currans Hill,25,,45,,78,&nbsp;,"4,358",233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.9,,1.6,&nbsp;,86.7,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daceyville,21,,,,29,&nbsp;,758,157,,58,,,,,,,,,,,,,,,,,,,,,,23,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,2.5,&nbsp;,65.0,30.1,,5.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daleys Point,,,3,,4,&nbsp;,538,11,,,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,0.5,,0.7,&nbsp;,91.5,4.2,,,0.7,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,
Dapto,106,,,,57,&nbsp;,"9,604",400,,,,,,,,,83,,38,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.5,&nbsp;,89.5,10.2,,,,,,,,,0.8,,0.4,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darling Point,,,,,,&nbsp;,"2,979",321,69,,36,,,,,,,,37,,,,,,39,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,76.0,17.1,1.8,,0.9,,,,,,,,0.9,,,,,,1.0,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darlinghurst,116,,,,157,&nbsp;,"6,806","1,124",113,,,,,,,,,,,,,,,,139,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,1.6,&nbsp;,67.7,23.7,1.1,,,,,,,,,,,,,,,,1.4,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darlington,,,,,20,&nbsp;,"1,520",215,48,20,120,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,&nbsp;,67.7,27.2,2.1,0.9,5.3,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davidson,24,,,,,&nbsp;,"2,113",126,19,,,,,,,,,,23,,,,,,,,,,17,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,&nbsp;,87.5,16.4,0.8,,,,,,,,,,1.0,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davistown,11,,,,,&nbsp;,"2,237",40,,,,,,,,,,,8,,,,5,,,,,,,,,,,,,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,&nbsp;,93.3,4.2,,,,,,,,,,,0.3,,,,0.2,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawes Point,7,,,,5,&nbsp;,376,41,25,,16,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,0.9,&nbsp;,69.4,17.7,4.6,,3.0,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Park,,,182,,,&nbsp;,"1,812",387,,,,,164,,,,,,,,,,,,,82,,,,,,,57,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,&nbsp;,58.5,42.5,,,,,5.3,,,,,,,,,,,,,2.6,,,,,,,1.8,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dee Why,355,,,,,&nbsp;,"13,242","2,455",,,425,,274,,,,,425,,,,,,,,,,,,,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,&nbsp;,66.8,29.1,,,2.1,,1.4,,,,,2.1,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denistone,67,,56,,,&nbsp;,"2,335",408,252,,269,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,1.6,,,&nbsp;,65.5,36.0,7.1,,7.5,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denistone East,52,,,,,&nbsp;,"1,248",300,186,,209,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,&nbsp;,59.4,43.1,8.9,,10.0,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denistone West,,,16,,,&nbsp;,601,110,58,,57,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,&nbsp;,65.8,36.9,6.4,,6.2,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dharruk,,,190,,,&nbsp;,"1,707",304,,,,78,,,,,,,,62,72,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,&nbsp;,61.8,37.6,,,,2.8,,,,,,,,2.2,2.6,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolans Bay,3,,,,4,&nbsp;,505,19,,14,,,,,,,,,,,,,,,6,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.7,&nbsp;,91.2,11.0,,2.5,,,,,,,,,,,,,,,1.1,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolls Point,,,73,,55,&nbsp;,"1,032",333,,206,41,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,3.1,&nbsp;,58.0,40.2,,11.6,2.3,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doonside,,,546,,,&nbsp;,"7,435","1,782",,,,511,631,223,,,,,,,,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,&nbsp;,56.8,43.5,,,,3.9,4.8,1.7,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Bay,48,,,,,&nbsp;,"3,504",358,64,62,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,&nbsp;,74.8,18.2,1.4,1.3,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dover Heights,52,,,,,&nbsp;,"3,028",373,,87,55,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,&nbsp;,76.9,28.0,,2.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drummoyne,489,,112,,,&nbsp;,"8,201","1,133",185,428,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,1.0,,,&nbsp;,72.1,25.2,1.6,3.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dudley,13,,,,,&nbsp;,"2,132",46,,,,,,,,,,,8,,,,,,6,,,,,,,6,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,&nbsp;,94.1,5.5,,,,,,,,,,,0.4,,,,,,0.3,,,,,,,0.3,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dulwich Hill,,,468,,283,&nbsp;,"7,540","1,965",,853,,,,,,,,,,,,,,,,,,,,,315,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,2.2,&nbsp;,58.1,38.0,,6.6,,,,,,,,,,,,,,,,,,,,,2.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundas,41,,113,,,&nbsp;,"2,164",548,244,,346,,,,,,,,,,,,,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,2.9,,,&nbsp;,55.8,43.0,6.3,,8.9,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundas Valley,,,188,,,&nbsp;,"2,571",695,289,,396,,,,,,,,,,,,,,,,,335,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,&nbsp;,55.5,42.5,6.2,,8.6,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dural,141,,236,,,&nbsp;,"5,632",568,219,,130,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,3.2,,,&nbsp;,76.5,24.5,3.0,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Vale,,,220,,117,&nbsp;,"3,966",553,,,,115,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,2.1,&nbsp;,69.5,32.3,,,,2.0,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earlwood,824,,"1,137",,,&nbsp;,"7,259","3,415",423,"3,694",,,,,,,,,,,,,,,,,,,,,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,6.8,,,&nbsp;,43.3,59.5,2.5,22.0,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Gosford,,,,,33,&nbsp;,"3,377",179,30,,25,,,,,,,,,,,,,,,,,28,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,&nbsp;,86.4,10.0,0.8,,0.6,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hills,,,129,,,&nbsp;,"2,414",302,53,78,40,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,&nbsp;,73.7,25.9,1.6,2.4,1.2,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Killara,,,,,,&nbsp;,"1,545",441,531,,258,,,,,,,,,,,,,,,,,107,34,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,53.6,48.9,18.4,,9.0,,,,,,,,,,,,,,,,,3.7,1.2,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lindfield,31,,,,,&nbsp;,"2,708",286,265,,158,,,,,,,,,,,,,,,,,40,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,&nbsp;,74.7,25.5,7.3,,4.4,,,,,,,,,,,,,,,,,1.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Ryde,59,,,,,&nbsp;,"1,775",193,75,31,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,&nbsp;,76.0,25.1,3.2,1.3,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Creek,,,38,,,&nbsp;,549,78,,,,13,19,,,,,,,21,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,&nbsp;,69.0,30.6,,,,1.6,2.4,,,,,,,2.6,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastlakes,,,,,300,&nbsp;,"2,170","1,688",,475,,,,,,,,,,,,,,290,,,,,,,,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,,,,,,,,,,,,,,,,,,4.3,&nbsp;,31.3,66.1,,6.9,,,,,,,,,,,,,,4.2,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,
Eastwood,235,,,,,&nbsp;,"6,494","3,185","2,437",,"2,612",,,,,,,,,,,,,,,,,"1,301",,,,,,,,,,,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,&nbsp;,40.1,57.2,15.0,,16.1,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edensor Park,554,776,581,538,,&nbsp;,"2,883","2,004",,,,,,,,,,,,,,,,,,,,,,,,"1,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,8.2,6.2,5.7,,&nbsp;,30.5,75.9,,,,,,,,,,,,,,,,,,,,,,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgecliff,19,,,,25,&nbsp;,"1,452",212,32,,22,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.3,&nbsp;,73.3,21.7,1.6,,1.1,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgeworth,12,,,,,&nbsp;,"5,881",105,,,,,,,,,12,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,12,,,,,,,,,,,,,0.2,,,,,&nbsp;,94.1,4.5,,,,,,,,,0.2,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,0.2,,,,,,,,,,,,
Elanora Heights,39,,,17,17,&nbsp;,"3,503",136,,,,,,,,,,,49,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.4,0.4,&nbsp;,90.9,11.2,,,,,,,,,,,1.3,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elderslie,28,,13,,13,&nbsp;,"3,996",95,,,,,,,,,,,7,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.3,,0.3,&nbsp;,94.0,6.5,,,,,,,,,,,0.2,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleebana,22,,,,14,&nbsp;,"5,146",123,21,,,,,,,,17,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,0.3,&nbsp;,93.6,6.4,0.4,,,,,,,,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elermore Vale,29,,22,,,&nbsp;,"4,519",219,,,22,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.4,,,&nbsp;,87.2,11.8,,,0.4,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
