,Occupied private dwellings,All private dwellings (including unoccupied),Occupied private dwellings (%),All private dwellings (including unoccupied) (%)
Cabarita,446.0,504.0,88.5,--
Cabramatta,6367.0,6847.0,93.0,--
Cabramatta West,1930.0,2033.0,94.9,--
Cambridge Gardens,686.0,707.0,97.0,--
Cambridge Park,2141.0,2230.0,96.0,--
Camden,1225.0,1312.0,93.4,--
Camden South,1563.0,1628.0,96.0,--
Cammeray,2882.0,3170.0,90.9,--
Campbelltown,3708.0,3928.0,94.4,--
Camperdown,1759.0,1891.0,93.0,--
Campsie,7280.0,7751.0,93.9,--
Canada Bay,478.0,502.0,95.2,--
Canley Heights,2854.0,3011.0,94.8,--
Canley Vale,3312.0,3459.0,95.8,--
Canterbury,1936.0,2067.0,93.7,--
Canton Beach,550.0,611.0,90.0,--
Cardiff,2044.0,2152.0,95.0,--
Cardiff Heights,676.0,704.0,96.0,--
Cardiff South,1028.0,1073.0,95.8,--
Caringbah,7969.0,8492.0,93.8,--
Carlingford,6527.0,6843.0,95.4,--
Carlton,3494.0,3689.0,94.7,--
Carramar,1206.0,1294.0,93.2,--
Carrington,739.0,805.0,91.8,--
Carss Park,435.0,455.0,95.6,--
Cartwright,896.0,934.0,95.9,--
Castle Cove,835.0,887.0,94.1,--
Castle Hill,10095.0,10585.0,95.4,--
Castlecrag,961.0,1037.0,92.7,--
Casula,3638.0,3837.0,94.8,--
Caves Beach,1474.0,1617.0,91.2,--
Cecil Hills,1545.0,1581.0,97.7,--
Centennial Park,1156.0,1274.0,90.7,--
Charlestown,4493.0,4751.0,94.6,--
Charmhaven,813.0,893.0,91.0,--
Chatswood,3913.0,4266.0,91.7,--
Chatswood West,2973.0,3184.0,93.4,--
Cheltenham,654.0,697.0,93.8,--
Cherrybrook,5649.0,5905.0,95.7,--
Chester Hill,3346.0,3512.0,95.3,--
Chifley,1092.0,1151.0,94.9,--
Chippendale,1581.0,1793.0,88.2,--
Chipping Norton,2855.0,2958.0,96.5,--
Chiswick,593.0,653.0,90.8,--
Chittaway Bay,699.0,757.0,92.3,--
Chittaway Point,291.0,350.0,83.1,--
Church Point,411.0,446.0,92.2,--
Claremont Meadows,1064.0,1097.0,97.0,--
Claymore,1015.0,1067.0,95.1,--
Clontarf,571.0,582.0,98.1,--
Clovelly,1878.0,2034.0,92.3,--
Coal Point,633.0,704.0,89.9,--
Coledale,335.0,392.0,85.5,--
Collaroy,4832.0,5135.0,94.1,--
Colyton,2687.0,2791.0,96.3,--
Como,1267.0,1322.0,95.8,--
Concord,4705.0,4964.0,94.8,--
Concord West,1954.0,2057.0,95.0,--
Condell Park,2858.0,3065.0,93.2,--
Coniston,766.0,814.0,94.1,--
Connells Point,998.0,1059.0,94.2,--
Coogee,6400.0,7012.0,91.3,--
Cooks Hill,1241.0,1373.0,90.4,--
Copacabana,977.0,1355.0,72.1,--
Cordeaux Heights,1402.0,1449.0,96.8,--
Corrimal,3908.0,4187.0,93.3,--
Cranebrook,4073.0,4228.0,96.3,--
Cremorne,5296.0,5925.0,89.4,--
Cremorne Point,946.0,1101.0,85.9,--
Cringila,793.0,865.0,91.7,--
Cromer,2378.0,2469.0,96.3,--
Cronulla,8022.0,9010.0,89.0,--
Croudace Bay,155.0,163.0,95.1,--
Crows Nest,1675.0,1834.0,91.3,--
Croydon,3214.0,3438.0,93.5,--
Croydon Park,3939.0,4220.0,93.3,--
Curl Curl,668.0,704.0,94.9,--
Currans Hill,1426.0,1476.0,96.6,--
Daceyville,575.0,606.0,94.9,--
Daleys Point,222.0,267.0,83.1,--
Dapto,4017.0,4193.0,95.8,--
Darling Point,2258.0,2711.0,83.3,--
Darlinghurst,4867.0,5471.0,89.0,--
Darlington,807.0,889.0,90.8,--
Davidson,789.0,813.0,97.0,--
Davistown,769.0,903.0,85.2,--
