,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%),SSC_CODE
Bullaburra,330.0,122.0,12.0,71.1,26.3,2.6,10656
Faulconbridge,1137.0,263.0,24.0,79.8,18.5,1.7,11496
Winmalee,1742.0,344.0,34.0,82.2,16.2,1.6,14334
Hawkesbury Heights,134.0,21.0,3.0,84.8,13.3,1.9,11872
Yellow Rock (Blue Mountains - NSW),277.0,34.0,0.0,89.1,10.9,0.0,14502
Springwood (NSW),2219.0,866.0,72.0,70.3,27.4,2.3,13629
Valley Heights,336.0,80.0,3.0,80.2,19.1,0.7,14069
Sun Valley (NSW),66.0,7.0,4.0,85.7,9.1,5.2,13691
Wentworth Falls,1637.0,697.0,85.0,67.7,28.8,3.5,14226
Werrington Downs,891.0,137.0,18.0,85.2,13.1,1.7,14237
Cambridge Park,1751.0,489.0,61.0,76.1,21.3,2.7,10768
Werrington County,1005.0,166.0,19.0,84.5,13.9,1.6,14236
Cambridge Gardens,557.0,105.0,13.0,82.5,15.6,1.9,10767
Cranebrook,4146.0,694.0,100.0,83.9,14.0,2.0,11105
Llandilo,361.0,54.0,4.0,86.2,12.9,1.0,12363
Castlereagh,264.0,46.0,7.0,83.3,14.5,2.2,10850
Penrith,3128.0,2003.0,239.0,58.2,37.3,4.5,13184
Jordan Springs,1390.0,144.0,49.0,87.8,9.1,3.1,12042
Emu Plains,2208.0,646.0,43.0,76.2,22.3,1.5,11418
Leonay,707.0,96.0,17.0,86.2,11.7,2.1,12304
Emu Heights (NSW),883.0,159.0,17.0,83.4,15.0,1.6,11417
Glenmore Park,6154.0,704.0,91.0,88.6,10.1,1.3,11670
Regentville,214.0,46.0,5.0,80.8,17.4,1.9,13346
Jamisontown,1367.0,625.0,100.0,65.3,29.9,4.8,12000
South Penrith,3231.0,759.0,84.0,79.3,18.6,2.1,13596
Kingswood (Penrith - NSW),2239.0,1022.0,155.0,65.5,29.9,4.5,12163
Caddens,298.0,44.0,4.0,86.1,12.7,1.2,10743
Werrington,1022.0,449.0,58.0,66.8,29.4,3.8,14235
Claremont Meadows,1245.0,165.0,27.0,86.6,11.5,1.9,10918
Wallacia,395.0,121.0,7.0,75.5,23.1,1.3,14101
Mulgoa,464.0,62.0,9.0,86.7,11.6,1.7,12814
Luddenham,418.0,42.0,3.0,90.3,9.1,0.6,12419
Badgerys Creek,44.0,15.0,3.0,71.0,24.2,4.8,10132
Orchard Hills,476.0,46.0,10.0,89.5,8.6,1.9,13095
Warragamba,315.0,138.0,10.0,68.0,29.8,2.2,14158
Richmond (NSW),1175.0,816.0,73.0,56.9,39.5,3.5,13360
North Richmond,1308.0,407.0,32.0,74.9,23.3,1.8,13002
Agnes Banks,215.0,37.0,9.0,82.4,14.2,3.4,10021
Hobartville (NSW),726.0,226.0,42.0,73.0,22.7,4.2,11917
South Windsor,1480.0,616.0,77.0,68.1,28.3,3.5,13601
Windsor (NSW),457.0,185.0,40.0,67.0,27.1,5.9,14325
Bligh Park,1692.0,404.0,56.0,78.6,18.8,2.6,10411
Windsor Downs,311.0,23.0,3.0,92.3,6.8,0.9,14326
Londonderry (NSW),910.0,138.0,21.0,85.1,12.9,2.0,12375
Berkshire Park,250.0,44.0,9.0,82.5,14.5,3.0,10305
Erskine Park,1692.0,194.0,17.0,88.9,10.2,0.9,11438
St Clair (Penrith - NSW),5231.0,718.0,90.0,86.6,11.9,1.5,13632
Colyton,2114.0,516.0,95.0,77.6,18.9,3.5,10987
Oxley Park,751.0,209.0,46.0,74.7,20.8,4.6,13110
St Marys (NSW),2863.0,1243.0,184.0,66.7,29.0,4.3,13643
North St Marys,930.0,312.0,46.0,72.2,24.2,3.6,13007
Silverwater (Parramatta - NSW),554.0,153.0,59.0,72.3,20.0,7.7,13547
Newington (NSW),1580.0,249.0,52.0,84.0,13.2,2.8,12953
Lidcombe,4530.0,793.0,436.0,78.7,13.8,7.6,12316
Wentworth Point,1908.0,895.0,192.0,63.7,29.9,6.4,14227
Auburn (NSW),7522.0,1418.0,973.0,75.9,14.3,9.8,10106
Berala,2105.0,447.0,161.0,77.6,16.5,5.9,10299
Regents Park (NSW),1165.0,312.0,71.0,75.3,20.2,4.6,13345
Carlingford,6503.0,1076.0,198.0,83.6,13.8,2.5,10818
Beecroft,2538.0,387.0,30.0,85.9,13.1,1.0,10249
Epping (NSW),6162.0,1223.0,462.0,78.5,15.6,5.9,11428
Rydalmere,1696.0,474.0,75.0,75.5,21.1,3.3,13453
