,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%),SSC_CODE
Marrangaroo,133.0,19.0,3.0,85.8,12.3,1.9,12502
Lithgow,1262.0,943.0,56.0,55.8,41.7,2.5,12347
Bowenfels,480.0,248.0,12.0,64.9,33.5,1.6,10529
Rydal,45.0,16.0,3.0,70.3,25.0,4.7,13452
Pottery Estate,24.0,21.0,4.0,49.0,42.9,8.2,13254
Oakey Park,90.0,41.0,0.0,68.7,31.3,0.0,13055
Morts Estate,158.0,83.0,3.0,64.8,34.0,1.2,12732
Hermitage Flat,89.0,63.0,5.0,56.7,40.1,3.2,11895
McKellars Park,67.0,23.0,3.0,72.0,24.7,3.2,12544
South Littleton,75.0,39.0,8.0,61.5,32.0,6.6,13590
Littleton,213.0,109.0,7.0,64.7,33.1,2.1,12360
Vale Of Clwydd,111.0,72.0,12.0,56.9,36.9,6.2,14064
Portland (NSW),604.0,244.0,26.0,69.1,27.9,3.0,13250
Lidsdale,96.0,23.0,8.0,75.6,18.1,6.3,12318
Wallerawang,488.0,170.0,9.0,73.2,25.5,1.3,14114
Little Hartley,149.0,38.0,3.0,78.4,20.0,1.6,12352
Hartley (NSW),109.0,43.0,3.0,70.3,27.7,1.9,11861
Clarence,57.0,14.0,0.0,80.3,19.7,0.0,10919
Glen Davis,19.0,22.0,0.0,46.3,53.7,0.0,11646
Cullen Bullen,59.0,16.0,3.0,75.6,20.5,3.8,11148
Megalong Valley,40.0,9.0,0.0,81.6,18.4,0.0,12557
Kanimbla (NSW),41.0,16.0,0.0,71.9,28.1,0.0,12065
Running Stream,31.0,16.0,0.0,66.0,34.0,0.0,13441
Mudgee,2693.0,1160.0,130.0,67.6,29.1,3.3,12812
Putta Bucca,58.0,10.0,0.0,85.3,14.7,0.0,13278
Bombira,104.0,16.0,0.0,86.7,13.3,0.0,10457
Burrundulla,38.0,5.0,0.0,88.4,11.6,0.0,10717
Spring Flat,51.0,15.0,0.0,77.3,22.7,0.0,13613
Kandos,309.0,245.0,18.0,54.0,42.8,3.1,12057
Rylstone,248.0,122.0,14.0,64.6,31.8,3.6,13457
Ilford,43.0,16.0,3.0,69.4,25.8,4.8,11971
Clandulla,41.0,21.0,0.0,66.1,33.9,0.0,10916
Charbon,33.0,22.0,4.0,55.9,37.3,6.8,10883
Lue,50.0,20.0,0.0,71.4,28.6,0.0,12420
Gulgong,600.0,282.0,18.0,66.7,31.3,2.0,11794
Dunedoo,294.0,128.0,7.0,68.5,29.8,1.6,11316
Leadville,33.0,12.0,3.0,68.8,25.0,6.2,12290
Cassilis (NSW),92.0,32.0,3.0,72.4,25.2,2.4,10844
Tallawang,37.0,13.0,0.0,74.0,26.0,0.0,13731
Beryl,32.0,3.0,0.0,91.4,8.6,0.0,10327
Cope,26.0,12.0,0.0,68.4,31.6,0.0,11057
Yarrawonga (NSW),101.0,43.0,0.0,70.1,29.9,0.0,14486
Piambong,41.0,6.0,0.0,87.2,12.8,0.0,13197
Cooks Gap,134.0,41.0,8.0,73.2,22.4,4.4,11018
Frog Rock,43.0,9.0,0.0,82.7,17.3,0.0,11570
Cooyal,26.0,8.0,0.0,76.5,23.5,0.0,11055
St Fillans,69.0,14.0,0.0,83.1,16.9,0.0,13634
Eurunderee,44.0,11.0,3.0,75.9,19.0,5.2,11467
Budgee Budgee (NSW),58.0,11.0,0.0,84.1,15.9,0.0,10641
Kains Flat,55.0,12.0,0.0,82.1,17.9,0.0,12049
Menah,38.0,12.0,0.0,76.0,24.0,0.0,12566
Grattai,84.0,26.0,5.0,73.0,22.6,4.3,11741
Hargraves,64.0,33.0,0.0,66.0,34.0,0.0,11854
Windeyer (NSW),39.0,35.0,3.0,50.6,45.5,3.9,14322
Bocoble,35.0,11.0,0.0,76.1,23.9,0.0,10432
Buckaroo,40.0,10.0,0.0,80.0,20.0,0.0,10630
Blayney,861.0,370.0,13.0,69.2,29.7,1.0,10410
Millthorpe,336.0,96.0,5.0,76.9,22.0,1.1,12623
Carcoar,74.0,31.0,3.0,68.5,28.7,2.8,10808
Lyndhurst (Blayney - NSW),100.0,36.0,4.0,71.4,25.7,2.9,12426
Forest Reefs,137.0,26.0,0.0,84.0,16.0,0.0,11547
Neville,68.0,22.0,0.0,75.6,24.4,0.0,12937
Barry (Blayney - NSW),41.0,17.0,0.0,70.7,29.3,0.0,10218
Newbridge (NSW),48.0,32.0,3.0,57.8,38.6,3.6,12948
Orange,9421.0,4093.0,457.0,67.4,29.3,3.3,13092
Clifton Grove,245.0,27.0,0.0,90.1,9.9,0.0,10934
Cumnock,122.0,50.0,0.0,70.9,29.1,0.0,11159
Cudal,159.0,44.0,3.0,77.2,21.4,1.5,11140
Molong,661.0,243.0,17.0,71.8,26.4,1.8,12671
Manildra,193.0,77.0,10.0,68.9,27.5,3.6,12473
Cargo,154.0,49.0,3.0,74.8,23.8,1.5,10813
Spring Terrace,40.0,7.0,0.0,85.1,14.9,0.0,13620
Springside (NSW),90.0,9.0,3.0,88.2,8.8,2.9,13626
Spring Hill (Cabonne - NSW),128.0,29.0,0.0,81.5,18.5,0.0,13615
Emu Swamp,39.0,14.0,0.0,73.6,26.4,0.0,11419
Lewis Ponds,36.0,3.0,0.0,92.3,7.7,0.0,12312
Lucknow (NSW),84.0,18.0,0.0,82.4,17.6,0.0,12418
Spring Creek (NSW),36.0,11.0,0.0,76.6,23.4,0.0,13611
Huntley (Orange - NSW),41.0,12.0,0.0,77.4,22.6,0.0,11958
Canobolas,138.0,23.0,3.0,84.1,14.0,1.8,10793
March,29.0,14.0,0.0,67.4,32.6,0.0,12486
Summer Hill Creek,60.0,10.0,0.0,85.7,14.3,0.0,13688
Mullion Creek,142.0,19.0,0.0,88.2,11.8,0.0,12826
Nashdale,99.0,23.0,10.0,75.0,17.4,7.6,12913
Windera (NSW),74.0,3.0,0.0,96.1,3.9,0.0,14319
Lidster,80.0,12.0,0.0,87.0,13.0,0.0,12319
Borenore,120.0,20.0,0.0,85.7,14.3,0.0,10513
Yeoval,99.0,60.0,0.0,62.3,37.7,0.0,14507
Grafton,2474.0,1405.0,125.0,61.8,35.1,3.1,11733
Rushforth,73.0,9.0,3.0,85.9,10.6,3.5,13446
Great Marlow,52.0,16.0,0.0,76.5,23.5,0.0,11745
South Grafton,1541.0,704.0,78.0,66.3,30.3,3.4,13582
Junction Hill,417.0,107.0,8.0,78.4,20.1,1.5,12045
Tucabia,101.0,41.0,4.0,69.2,28.1,2.7,13945
Ulmarra,203.0,82.0,11.0,68.6,27.7,3.7,14004
Ramornie,54.0,14.0,3.0,76.1,19.7,4.2,13308
Nymboida,71.0,36.0,6.0,62.8,31.9,5.3,13048
Blaxlands Creek,38.0,4.0,0.0,90.5,9.5,0.0,10408
Glenreagh,222.0,59.0,12.0,75.8,20.1,4.1,11675
Wells Crossing,38.0,15.0,5.0,65.5,25.9,8.6,14223
Kungala,41.0,15.0,3.0,69.5,25.4,5.1,12212
Wooli,100.0,90.0,6.0,51.0,45.9,3.1,14403
Halfway Creek,56.0,21.0,3.0,70.0,26.2,3.8,11831
Copmanhurst,87.0,37.0,6.0,66.9,28.5,4.6,11060
Whiteman Creek,43.0,13.0,0.0,76.8,23.2,0.0,14277
The Whiteman,45.0,10.0,0.0,81.8,18.2,0.0,13843
Waterview Heights,393.0,65.0,6.0,84.7,14.0,1.3,14186
Lawrence (NSW),289.0,101.0,15.0,71.4,24.9,3.7,12288
Eatonsville,62.0,15.0,0.0,80.5,19.5,0.0,11370
Seelands,112.0,20.0,7.0,80.6,14.4,5.0,13515
Mountain View (NSW),49.0,10.0,0.0,83.1,16.9,0.0,12808
Southgate,54.0,14.0,7.0,72.0,18.7,9.3,13604
Ashby Heights,69.0,22.0,4.0,72.6,23.2,4.2,10095
Ashby (NSW),101.0,34.0,4.0,72.7,24.5,2.9,10094
South Arm (Clarence Valley - NSW),63.0,16.0,3.0,76.8,19.5,3.7,13574
Woodford Island,61.0,22.0,3.0,70.9,25.6,3.5,14384
Brushgrove,53.0,28.0,4.0,62.4,32.9,4.7,10622
Elland,90.0,27.0,3.0,75.0,22.5,2.5,11399
Coutts Crossing,274.0,83.0,8.0,75.1,22.7,2.2,11094
Kremnos,45.0,20.0,5.0,64.3,28.6,7.1,12204
Lanitza,67.0,29.0,7.0,65.0,28.2,6.8,12270
Braunstone,71.0,14.0,8.0,76.3,15.1,8.6,10550
Glenugie,52.0,19.0,0.0,73.2,26.8,0.0,11681
Clarenza,145.0,25.0,7.0,81.9,14.1,4.0,10922
Swan Creek (NSW),31.0,7.0,0.0,81.6,18.4,0.0,13706
Pillar Valley,76.0,35.0,10.0,62.8,28.9,8.3,13204
Minnie Water,70.0,32.0,0.0,68.6,31.4,0.0,12640
Tyndale,47.0,21.0,5.0,64.4,28.8,6.8,13997
Ilarwill,67.0,27.0,3.0,69.1,27.8,3.1,11970
Yamba (NSW),1682.0,865.0,79.0,64.1,32.9,3.0,14458
Gulmarrad,511.0,63.0,8.0,87.8,10.8,1.4,11795
Angourie,60.0,29.0,3.0,65.2,31.5,3.3,10059
Brooms Head,64.0,39.0,3.0,60.4,36.8,2.8,10603
Wooloweyah,110.0,43.0,9.0,67.9,26.5,5.6,14411
Woombah,235.0,101.0,15.0,67.0,28.8,4.3,14414
Maclean,650.0,376.0,34.0,61.3,35.5,3.2,12431
Iluka (NSW),490.0,295.0,18.0,61.0,36.7,2.2,11975
Harwood,72.0,34.0,13.0,60.5,28.6,10.9,11865
Townsend,250.0,82.0,10.0,73.1,24.0,2.9,13928
James Creek,65.0,9.0,0.0,87.8,12.2,0.0,11999
Palmers Island,125.0,35.0,3.0,76.7,21.5,1.8,13136
Bellingen,976.0,385.0,55.0,68.9,27.2,3.9,10273
Brierfield,84.0,26.0,3.0,74.3,23.0,2.7,10568
Fernmount,104.0,27.0,6.0,75.9,19.7,4.4,11509
Darkwood,39.0,28.0,5.0,54.2,38.9,6.9,11210
Thora,86.0,24.0,0.0,78.2,21.8,0.0,13849
Gleniffer,117.0,38.0,3.0,74.1,24.1,1.9,11668
Valery,37.0,9.0,0.0,80.4,19.6,0.0,14066
Kalang,64.0,13.0,3.0,80.0,16.2,3.8,12050
Coffs Harbour,6253.0,3186.0,458.0,63.2,32.2,4.6,10959
North Boambee Valley,489.0,175.0,19.0,71.6,25.6,2.8,12983
Coramba,217.0,47.0,9.0,79.5,17.2,3.3,11065
Nana Glen,284.0,69.0,10.0,78.2,19.0,2.8,12889
Upper Orara,214.0,37.0,8.0,82.6,14.3,3.1,14041
Bucca (NSW),141.0,31.0,9.0,77.9,17.1,5.0,10625
Karangi,141.0,28.0,4.0,81.5,16.2,2.3,12072
Megan,42.0,16.0,3.0,68.9,26.2,4.9,12558
Ulong,45.0,23.0,4.0,62.5,31.9,5.6,14005
Lowanna,73.0,47.0,7.0,57.5,37.0,5.5,12398
Dorrigo,311.0,196.0,12.0,59.9,37.8,2.3,11278
Deer Vale,41.0,15.0,0.0,73.2,26.8,0.0,11232
Fernbrook,34.0,23.0,0.0,59.6,40.4,0.0,11506
Hernani,41.0,4.0,0.0,91.1,8.9,0.0,11896
Bostobrick,34.0,10.0,0.0,77.3,22.7,0.0,10516
Sapphire Beach,574.0,168.0,20.0,75.3,22.0,2.6,13491
Emerald Beach,619.0,141.0,31.0,78.3,17.8,3.9,11411
Korora,721.0,137.0,23.0,81.8,15.6,2.6,12197
Moonee Beach,516.0,84.0,18.0,83.5,13.6,2.9,12703
Toormina,1567.0,808.0,100.0,63.3,32.6,4.0,13912
Boambee East,1446.0,420.0,61.0,75.0,21.8,3.2,10422
Boambee,445.0,94.0,10.0,81.1,17.1,1.8,10421
Sawtell,981.0,465.0,68.0,64.8,30.7,4.5,13498
Bonville,710.0,114.0,17.0,84.4,13.6,2.0,10474
Bundagen,22.0,38.0,3.0,34.9,60.3,4.8,10669
Mylestom,99.0,44.0,0.0,69.2,30.8,0.0,12875
Raleigh,164.0,37.0,5.0,79.6,18.0,2.4,13307
Urunga,806.0,434.0,42.0,62.9,33.9,3.3,14061
Repton,181.0,57.0,9.0,73.3,23.1,3.6,13352
Valla,245.0,65.0,9.0,76.8,20.4,2.8,14067
Woolgoolga,1307.0,566.0,70.0,67.3,29.1,3.6,14402
Safety Beach (NSW),281.0,51.0,10.0,82.2,14.9,2.9,13462
Sandy Beach,620.0,151.0,19.0,78.5,19.1,2.4,13479
Corindi Beach,439.0,109.0,22.0,77.0,19.1,3.9,11073
Red Rock,112.0,59.0,0.0,65.5,34.5,0.0,13334
Arrawarra,144.0,108.0,3.0,56.5,42.4,1.2,10088
Arrawarra Headland,148.0,43.0,4.0,75.9,22.1,2.1,10089
Mullaway,152.0,36.0,3.0,79.6,18.8,1.6,12822
Bourke,409.0,199.0,10.0,66.2,32.2,1.6,10522
Wanaaring,20.0,9.0,0.0,69.0,31.0,0.0,14126
North Bourke,67.0,24.0,0.0,73.6,26.4,0.0,12985
Enngonia,26.0,16.0,3.0,57.8,35.6,6.7,11426
Brewarrina,248.0,110.0,15.0,66.5,29.5,4.0,10563
Cobar,943.0,444.0,26.0,66.7,31.4,1.8,10949
Coonamble,616.0,305.0,28.0,64.9,32.1,3.0,11044
Gulargambone,135.0,76.0,4.0,62.8,35.3,1.9,11792
Quambone,41.0,22.0,0.0,65.1,34.9,0.0,13287
Nyngan,519.0,269.0,22.0,64.1,33.2,2.7,13049
Nevertire,50.0,19.0,0.0,72.5,27.5,0.0,12936
Warren,354.0,181.0,13.0,64.6,33.0,2.4,14171
Ravenswood (NSW),97.0,72.0,3.0,56.4,41.9,1.7,13321
Cumborah,43.0,51.0,0.0,45.7,54.3,0.0,11158
Goodooga,64.0,28.0,0.0,69.6,30.4,0.0,11702
Carinda,45.0,26.0,0.0,63.4,36.6,0.0,10814
Pilliga,44.0,24.0,0.0,64.7,35.3,0.0,13205
Walgett,471.0,197.0,18.0,68.7,28.7,2.6,14096
Burren Junction,59.0,35.0,3.0,60.8,36.1,3.1,10710
Lightning Ridge,496.0,455.0,40.0,50.1,45.9,4.0,12320
Collarenebri,150.0,71.0,10.0,64.9,30.7,4.3,10969
Broken Hill,4488.0,2538.0,182.0,62.3,35.2,2.5,10592
White Cliffs,26.0,19.0,3.0,54.2,39.6,6.2,14274
Menindee,123.0,78.0,4.0,60.0,38.0,2.0,12571
Wilcannia,150.0,67.0,5.0,67.6,30.2,2.3,14290
Tibooburra,30.0,23.0,3.0,53.6,41.1,5.4,13860
Pooncarie,28.0,20.0,0.0,58.3,41.7,0.0,13242
Ivanhoe (NSW),55.0,36.0,3.0,58.5,38.3,3.2,11991
Baradine,198.0,117.0,12.0,60.6,35.8,3.7,10190
Coonabarabran,808.0,415.0,16.0,65.2,33.5,1.3,11043
Binnaway,154.0,97.0,9.0,59.2,37.3,3.5,10372
Mendooran,144.0,75.0,8.0,63.4,33.0,3.5,12570
Coolah,323.0,123.0,11.0,70.7,26.9,2.4,11024
Bugaldie,35.0,24.0,0.0,59.3,40.7,0.0,10646
Ulamambri,60.0,11.0,0.0,84.5,15.5,0.0,14001
Dubbo,9767.0,3562.0,452.0,70.9,25.8,3.3,11296
Terramungamine,76.0,7.0,3.0,88.4,8.1,3.5,13801
Brocklehurst,94.0,25.0,0.0,79.0,21.0,0.0,10583
Wongarbon,197.0,33.0,6.0,83.5,14.0,2.5,14373
Elong Elong,33.0,19.0,0.0,63.5,36.5,0.0,11406
Eumungerie,82.0,41.0,3.0,65.1,32.5,2.4,11456
Ballimore,46.0,15.0,0.0,75.4,24.6,0.0,10161
Gilgandra,779.0,381.0,27.0,65.6,32.1,2.3,11619
Collie (NSW),56.0,15.0,0.0,78.9,21.1,0.0,10975
Tooraweenah,69.0,27.0,0.0,71.9,28.1,0.0,13911
Narromine,1185.0,457.0,29.0,70.9,27.3,1.7,12911
Burroway,33.0,8.0,0.0,80.5,19.5,0.0,10715
Trangie,290.0,163.0,13.0,62.2,35.0,2.8,13932
Tomingley,81.0,21.0,3.0,77.1,20.0,2.9,13896
Wellington (NSW),930.0,574.0,53.0,59.7,36.9,3.4,14221
Mumbil,58.0,45.0,0.0,56.3,43.7,0.0,12832
Stuart Town,59.0,22.0,0.0,72.8,27.2,0.0,13680
Euchareena,44.0,12.0,0.0,78.6,21.4,0.0,11452
Mount Arthur,42.0,10.0,0.0,80.8,19.2,0.0,12747
Maryvale (NSW),45.0,11.0,4.0,75.0,18.3,6.7,12517
Geurie,194.0,63.0,3.0,74.6,24.2,1.2,11608
Montefiores,153.0,57.0,3.0,71.8,26.8,1.4,12685
Greta (NSW),739.0,214.0,26.0,75.5,21.9,2.7,11778
Lower Belford,107.0,14.0,0.0,88.4,11.6,0.0,12401
Belford,45.0,4.0,0.0,91.8,8.2,0.0,10258
Branxton,541.0,131.0,17.0,78.5,19.0,2.5,10549
Pokolbin,269.0,52.0,4.0,82.8,16.0,1.2,13236
Lovedale,131.0,19.0,0.0,87.3,12.7,0.0,12396
East Branxton,467.0,135.0,14.0,75.8,21.9,2.3,11346
North Rothbury,230.0,63.0,11.0,75.7,20.7,3.6,13004
Leconfield,41.0,5.0,0.0,89.1,10.9,0.0,12291
Cessnock,3589.0,1561.0,165.0,67.5,29.4,3.1,10878
Nulkaba,188.0,27.0,0.0,87.4,12.6,0.0,13031
Aberdare,634.0,256.0,29.0,69.0,27.9,3.2,10006
Kearsley,220.0,56.0,7.0,77.7,19.8,2.5,12080
Bellbird,531.0,155.0,23.0,74.9,21.9,3.2,10268
Bellbird Heights,231.0,52.0,9.0,79.1,17.8,3.1,10269
Ellalong,297.0,57.0,4.0,83.0,15.9,1.1,11398
Kitchener,119.0,34.0,5.0,75.3,21.5,3.2,12174
Abernethy,73.0,16.0,3.0,79.3,17.4,3.3,10011
Mulbring,163.0,34.0,0.0,82.7,17.3,0.0,12813
Millfield,239.0,64.0,13.0,75.6,20.3,4.1,12620
Paxton,236.0,72.0,3.0,75.9,23.2,1.0,13162
Black Hill (NSW),142.0,25.0,0.0,85.0,15.0,0.0,10385
Mount Vincent,93.0,20.0,4.0,79.5,17.1,3.4,12799
Brunkerville,52.0,11.0,3.0,78.8,16.7,4.5,10620
Quorrobolong,133.0,19.0,4.0,85.3,12.2,2.6,13302
Congewai,53.0,18.0,6.0,68.8,23.4,7.8,11007
Paynes Crossing,17.0,8.0,3.0,60.7,28.6,10.7,13163
Laguna,40.0,25.0,4.0,58.0,36.2,5.8,12237
Wollombi,49.0,30.0,0.0,62.0,38.0,0.0,14355
Watagan,33.0,20.0,0.0,62.3,37.7,0.0,14180
Murrays Run,44.0,12.0,3.0,74.6,20.3,5.1,12855
Bucketty,46.0,16.0,0.0,74.2,25.8,0.0,10634
Clarence Town,561.0,105.0,9.0,83.1,15.6,1.3,10920
Dungog,518.0,308.0,9.0,62.0,36.9,1.1,11320
Bendolba,61.0,12.0,0.0,83.6,16.4,0.0,10291
Paterson (NSW),242.0,50.0,5.0,81.5,16.8,1.7,13159
Martins Creek,105.0,17.0,6.0,82.0,13.3,4.7,12511
Torryburn (Dungog - NSW),48.0,15.0,0.0,76.2,23.8,0.0,13920
Vacy,179.0,35.0,3.0,82.5,16.1,1.4,14063
East Gresford,76.0,33.0,5.0,66.7,28.9,4.4,11350
Gresford,68.0,35.0,0.0,66.0,34.0,0.0,11777
Glen Martin,51.0,8.0,0.0,86.4,13.6,0.0,11650
Glen Oak,93.0,11.0,0.0,89.4,10.6,0.0,11652
Glen William,34.0,12.0,0.0,73.9,26.1,0.0,11654
Abermain,605.0,188.0,23.0,74.1,23.0,2.8,10010
Weston (NSW),947.0,326.0,40.0,72.1,24.8,3.0,14262
Kurri Kurri,1531.0,711.0,57.0,66.6,30.9,2.5,12221
Stanford Merthyr,156.0,62.0,3.0,70.6,28.1,1.4,13647
Pelaw Main,273.0,119.0,11.0,67.7,29.5,2.7,13177
Heddon Greta,584.0,89.0,17.0,84.6,12.9,2.5,11888
Neath,112.0,77.0,0.0,59.3,40.7,0.0,12917
Cliftleigh,195.0,22.0,11.0,85.5,9.6,4.8,10932
Sawyers Gully,119.0,32.0,3.0,77.3,20.8,1.9,13499
Hunterview,773.0,165.0,37.0,79.3,16.9,3.8,11955
Redbournberry,63.0,12.0,0.0,84.0,16.0,0.0,13337
Singleton (NSW),1273.0,634.0,56.0,64.8,32.3,2.9,13549
Whittingham,105.0,22.0,0.0,82.7,17.3,0.0,14279
Gowrie (Singleton - NSW),97.0,3.0,0.0,97.0,3.0,0.0,11729
Glenridding,65.0,27.0,3.0,68.4,28.4,3.2,11676
Singleton Heights,1183.0,422.0,39.0,72.0,25.7,2.4,13550
Wattle Ponds,299.0,27.0,0.0,91.7,8.3,0.0,14193
McDougalls Hill,36.0,16.0,3.0,65.5,29.1,5.5,12541
Darlington (Singleton - NSW),103.0,31.0,4.0,74.6,22.5,2.9,11213
Broke (NSW),132.0,38.0,5.0,75.4,21.7,2.9,10590
Putty,16.0,13.0,0.0,55.2,44.8,0.0,13279
Howes Valley,20.0,10.0,0.0,66.7,33.3,0.0,11948
Bulga (NSW),95.0,11.0,0.0,89.6,10.4,0.0,10651
Jerrys Plains,77.0,16.0,0.0,82.8,17.2,0.0,12021
Bridgman,57.0,9.0,0.0,86.4,13.6,0.0,10567
Westbrook (NSW),41.0,3.0,0.0,93.2,6.8,0.0,14257
Reedy Creek (NSW),45.0,6.0,0.0,88.2,11.8,0.0,13342
Sedgefield,47.0,3.0,0.0,94.0,6.0,0.0,13514
Glendon,32.0,8.0,0.0,80.0,20.0,0.0,11660
Lambs Valley (Singleton - NSW),96.0,12.0,0.0,88.9,11.1,0.0,12263
Glendon Brook,67.0,8.0,0.0,89.3,10.7,0.0,11661
Maitland (NSW),423.0,258.0,42.0,58.5,35.7,5.8,12449
South Maitland,104.0,61.0,3.0,61.9,36.3,1.8,13591
Gillieston Heights,852.0,209.0,26.0,78.4,19.2,2.4,11624
Louth Park,164.0,17.0,3.0,89.1,9.2,1.6,12395
Horseshoe Bend,99.0,48.0,5.0,65.1,31.6,3.3,11939
Oakhampton,39.0,18.0,4.0,63.9,29.5,6.6,13056
East Maitland,3088.0,1433.0,133.0,66.4,30.8,2.9,11360
Metford,1280.0,352.0,49.0,76.1,20.9,2.9,12592
Tenambit,815.0,260.0,20.0,74.4,23.7,1.8,13787
Raworth,494.0,58.0,12.0,87.6,10.3,2.1,13325
Morpeth,398.0,183.0,9.0,67.5,31.0,1.5,12727
Ashtonfield,1263.0,207.0,17.0,84.9,13.9,1.1,10102
Chisholm (NSW),427.0,29.0,8.0,92.0,6.2,1.7,10909
Largs,517.0,109.0,9.0,81.4,17.2,1.4,12278
Bolwarra Heights,828.0,110.0,12.0,87.2,11.6,1.3,10451
Lorn,365.0,147.0,9.0,70.1,28.2,1.7,12389
Bolwarra (NSW),282.0,53.0,11.0,81.5,15.3,3.2,10450
Woodville (NSW),111.0,31.0,5.0,75.5,21.1,3.4,14398
Rutherford,3047.0,1149.0,128.0,70.5,26.6,3.0,13449
Aberglasslyn,1488.0,206.0,39.0,85.9,11.9,2.3,10009
Luskintyre,57.0,5.0,0.0,91.9,8.1,0.0,12423
Lochinvar,221.0,35.0,3.0,85.3,13.5,1.2,12368
Windella,203.0,13.0,0.0,94.0,6.0,0.0,14317
Telarah,617.0,286.0,25.0,66.5,30.8,2.7,13780
Farley,65.0,11.0,0.0,85.5,14.5,0.0,11490
Bishops Bridge,59.0,13.0,0.0,81.9,18.1,0.0,10380
Thornton (NSW),2292.0,362.0,47.0,84.9,13.4,1.7,13851
Millers Forest,100.0,9.0,0.0,91.7,8.3,0.0,12618
Berry Park,32.0,6.0,0.0,84.2,15.8,0.0,10325
Anna Bay,978.0,356.0,39.0,71.2,25.9,2.8,10060
Boat Harbour (Port Stephens - NSW),276.0,57.0,5.0,81.7,16.9,1.5,10425
Bobs Farm,112.0,33.0,3.0,75.7,22.3,2.0,10429
One Mile (NSW),98.0,50.0,0.0,66.2,33.8,0.0,13085
Lemon Tree Passage,728.0,282.0,41.0,69.3,26.8,3.9,12300
Mallabula,249.0,98.0,7.0,70.3,27.7,2.0,12455
Tanilba Bay,847.0,311.0,40.0,70.7,26.0,3.3,13748
Salamander Bay,1289.0,622.0,35.0,66.2,32.0,1.8,13463
Soldiers Point,412.0,174.0,12.0,68.9,29.1,2.0,13570
Corlette,1547.0,416.0,43.0,77.1,20.7,2.1,11075
Taylors Beach (NSW),37.0,10.0,0.0,78.7,21.3,0.0,13777
Nelson Bay (NSW),1554.0,710.0,83.0,66.2,30.3,3.5,12923
Fingal Bay,429.0,188.0,17.0,67.7,29.7,2.7,11518
Shoal Bay (NSW),394.0,253.0,24.0,58.7,37.7,3.6,13539
Raymond Terrace,3257.0,1248.0,114.0,70.5,27.0,2.5,13327
Tomago,55.0,81.0,0.0,40.4,59.6,0.0,13889
Heatherbrae,122.0,107.0,8.0,51.5,45.1,3.4,11884
Eagleton,61.0,7.0,0.0,89.7,10.3,0.0,11342
Duns Creek,152.0,17.0,3.0,88.4,9.9,1.7,11326
Seaham,279.0,25.0,3.0,90.9,8.1,1.0,13510
Wallalong,276.0,31.0,3.0,89.0,10.0,1.0,14104
Brandy Hill,194.0,26.0,3.0,87.0,11.7,1.3,10548
Hinton,125.0,21.0,3.0,83.9,14.1,2.0,11916
East Seaham,92.0,19.0,4.0,80.0,16.5,3.5,11362
Nelsons Plains,94.0,11.0,4.0,86.2,10.1,3.7,12924
Osterley (NSW),29.0,7.0,0.0,80.6,19.4,0.0,13099
Tea Gardens,917.0,328.0,18.0,72.6,26.0,1.4,13779
North Arm Cove,133.0,57.0,4.0,68.6,29.4,2.1,12979
Bundabah,29.0,18.0,0.0,61.7,38.3,0.0,10668
Pindimar,97.0,34.0,7.0,70.3,24.6,5.1,13211
Hawks Nest,315.0,204.0,13.0,59.2,38.3,2.4,11873
Karuah,368.0,168.0,18.0,66.4,30.3,3.2,12076
Medowie,2572.0,395.0,53.0,85.2,13.1,1.8,12554
Salt Ash,301.0,62.0,7.0,81.4,16.8,1.9,13467
Williamtown,151.0,123.0,10.0,53.2,43.3,3.5,14299
Twelve Mile Creek,34.0,24.0,7.0,52.3,36.9,10.8,13988
Swan Bay (Port Stephens - NSW),90.0,12.0,0.0,88.2,11.8,0.0,13704
Muswellbrook,3003.0,1237.0,155.0,68.3,28.1,3.5,12868
Denman,469.0,210.0,10.0,68.1,30.5,1.5,11241
Gungal,67.0,18.0,0.0,78.8,21.2,0.0,11810
Martindale,48.0,16.0,0.0,75.0,25.0,0.0,12510
Aberdeen (NSW),542.0,209.0,18.0,70.5,27.2,2.3,10007
Wybong,34.0,6.0,0.0,85.0,15.0,0.0,14436
Sandy Hollow,41.0,18.0,0.0,69.5,30.5,0.0,13486
Muscle Creek,87.0,6.0,0.0,93.5,6.5,0.0,12867
McCullys Gap,75.0,12.0,0.0,86.2,13.8,0.0,12540
Scone,1403.0,650.0,69.0,66.1,30.6,3.3,13503
Middle Brook,60.0,13.0,3.0,78.9,17.1,3.9,12600
Segenhoe,52.0,3.0,0.0,94.5,5.5,0.0,13517
Rouchel,42.0,5.0,0.0,89.4,10.6,0.0,13422
Murrurundi,247.0,144.0,14.0,61.0,35.6,3.5,12864
Blandford,62.0,27.0,0.0,69.7,30.3,0.0,10406
Parkville (NSW),78.0,24.0,6.0,72.2,22.2,5.6,13154
Upper Dartbrook,42.0,8.0,0.0,84.0,16.0,0.0,14022
Gundy,51.0,13.0,4.0,75.0,19.1,5.9,11809
Merriwa (NSW),437.0,197.0,20.0,66.8,30.1,3.1,12585
Moobi,37.0,12.0,0.0,75.5,24.5,0.0,12688
Dapto,2923.0,935.0,89.0,74.1,23.7,2.3,11202
Kanahooka,1531.0,501.0,30.0,74.2,24.3,1.5,12055
