,Owned outright,Owned with a mortgage (includes being purchased under rent/buy scheme),Rented (includes rent-free),Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (includes being purchased under rent/buy scheme) (%),Rented (includes rent-free) (%),Other tenure type (%),Tenure type not stated (%)
Balgowlah Heights,689.0,246.0,93.0,17.0,26.0,64.2,22.9,8.7,1.6,2.4
Balgownie,1183.0,447.0,483.0,38.0,79.0,52.8,20.0,21.6,1.7,3.5
Balmain,1202.0,907.0,1839.0,66.0,302.0,27.9,21.0,42.6,1.5,7.0
Balmain East,281.0,144.0,360.0,19.0,57.0,32.8,16.8,42.1,2.2,6.7
Bangor,850.0,643.0,133.0,32.0,34.0,50.2,38.0,7.9,1.9,2.0
Banksia,547.0,188.0,167.0,24.0,57.0,55.6,19.1,17.0,2.4,5.8
Bankstown,2858.0,1235.0,3373.0,217.0,527.0,34.8,15.0,41.1,2.6,6.4
Bar Beach,157.0,66.0,360.0,8.0,58.0,24.2,10.2,55.6,1.2,9.0
Barden Ridge,370.0,570.0,54.0,26.0,19.0,35.7,55.1,5.2,2.5,1.8
Bardwell Park,486.0,140.0,135.0,18.0,27.0,60.1,17.3,16.7,2.2,3.3
Bardwell Valley,390.0,154.0,94.0,15.0,32.0,57.0,22.5,13.7,2.2,4.7
Barnsley,219.0,258.0,89.0,11.0,18.0,36.5,43.0,14.8,1.8,3.0
Barrack Heights,1041.0,486.0,645.0,34.0,69.0,45.5,21.3,28.2,1.5,3.0
Barrack Point,140.0,40.0,40.0,5.0,17.0,57.4,16.4,16.4,2.0,7.0
Bass Hill,1357.0,540.0,779.0,80.0,122.0,47.1,18.8,27.1,2.8,4.2
Bateau Bay,1976.0,1072.0,914.0,224.0,160.0,45.5,24.7,21.0,5.2,3.7
Baulkham Hills,5517.0,3635.0,1484.0,220.0,312.0,49.4,32.6,13.3,2.0,2.8
Bayview,704.0,233.0,86.0,157.0,65.0,56.9,18.8,7.0,12.7,5.3
Beacon Hill,1068.0,584.0,239.0,34.0,64.0,53.7,29.4,12.0,1.7,3.2
Beaconsfield,73.0,90.0,112.0,7.0,14.0,24.2,29.8,37.1,2.3,4.6
Beecroft,1642.0,765.0,265.0,47.0,66.0,58.9,27.4,9.5,1.7,2.4
Belfield,984.0,399.0,480.0,59.0,91.0,48.9,19.8,23.9,2.9,4.5
Bella Vista,485.0,632.0,120.0,17.0,16.0,38.3,49.9,9.5,1.3,1.3
Bellambi,410.0,301.0,873.0,17.0,75.0,24.3,17.9,51.8,1.0,4.5
Bellevue Hill,1771.0,502.0,1242.0,88.0,341.0,44.9,12.7,31.5,2.2,8.7
Belmont,1231.0,538.0,700.0,64.0,101.0,46.8,20.5,26.6,2.4,3.8
Belmont North,899.0,595.0,396.0,67.0,68.0,44.3,29.3,19.5,3.3,3.4
Belmont South,174.0,67.0,194.0,8.0,14.0,37.9,14.6,42.3,1.7,3.1
Belmore,1773.0,584.0,1444.0,106.0,410.0,41.1,13.5,33.5,2.5,9.5
Belrose,1573.0,657.0,200.0,66.0,49.0,61.7,25.8,7.8,2.6,1.9
Bensville,203.0,287.0,37.0,11.0,24.0,36.4,51.5,6.6,2.0,4.3
Berala,1175.0,422.0,825.0,60.0,137.0,44.9,16.1,31.5,2.3,5.2
Berkeley,997.0,570.0,943.0,65.0,89.0,37.5,21.4,35.4,2.4,3.3
Berkeley Vale,1320.0,1243.0,524.0,50.0,134.0,40.4,38.0,16.0,1.5,4.1
Berowra,578.0,586.0,185.0,15.0,62.0,40.3,40.9,12.9,1.0,4.3
Berowra Heights,761.0,710.0,160.0,17.0,30.0,45.2,42.2,9.5,1.0,1.8
Beverley Park,455.0,113.0,99.0,23.0,41.0,61.9,15.4,13.5,3.1,5.6
Beverly Hills,1723.0,525.0,715.0,73.0,189.0,53.4,16.3,22.2,2.3,5.9
Bexley,2986.0,1193.0,1440.0,179.0,377.0,48.3,19.3,23.3,2.9,6.1
Bexley North,780.0,187.0,328.0,64.0,63.0,55.1,13.2,23.2,4.5,4.4
Bidwill,151.0,157.0,960.0,18.0,102.0,10.9,11.3,69.3,1.3,7.4
Birchgrove,484.0,291.0,468.0,17.0,36.0,37.4,22.5,36.2,1.3,2.8
Birmingham Gardens,339.0,148.0,192.0,18.0,28.0,47.1,20.6,26.7,2.5,3.9
Birrong,558.0,146.0,136.0,16.0,125.0,56.6,14.8,13.8,1.6,12.7
Blackalls Park,489.0,297.0,205.0,18.0,24.0,47.5,28.9,19.9,1.7,2.3
Blackbutt,359.0,328.0,270.0,29.0,42.0,35.1,32.0,26.4,2.8,4.1
Blackett,273.0,263.0,468.0,18.0,62.0,25.2,24.3,43.2,1.7,5.7
Blacksmiths,407.0,135.0,172.0,31.0,41.0,51.8,17.2,21.9,3.9,5.2
Blacktown,5143.0,3330.0,3588.0,250.0,747.0,39.4,25.5,27.5,1.9,5.7
Blackwall,348.0,157.0,191.0,19.0,24.0,46.6,21.0,25.6,2.5,3.2
Blairmount,24.0,38.0,34.0,5.0,3.0,24.0,38.0,34.0,5.0,3.0
Blakehurst,1129.0,335.0,223.0,36.0,61.0,63.4,18.8,12.5,2.0,3.4
Blaxland,1104.0,878.0,412.0,25.0,39.0,44.9,35.7,16.7,1.0,1.6
Blue Bay,163.0,45.0,166.0,10.0,26.0,40.4,11.2,41.2,2.5,6.5
Blue Haven,439.0,688.0,397.0,30.0,57.0,27.1,42.5,24.6,1.9,3.5
Bolton Point,196.0,110.0,388.0,24.0,52.0,25.5,14.3,50.5,3.1,6.8
Bondi,1224.0,435.0,1939.0,100.0,538.0,28.9,10.3,45.8,2.4,12.7
Bondi Beach,1110.0,607.0,2674.0,94.0,993.0,20.3,11.1,48.8,1.7,18.1
Bondi Junction,1146.0,413.0,1581.0,93.0,478.0,30.8,11.1,42.6,2.5,12.9
Bonnet Bay,425.0,240.0,34.0,7.0,9.0,59.4,33.6,4.8,1.0,1.3
Bonnyrigg,678.0,539.0,1101.0,52.0,94.0,27.5,21.9,44.7,2.1,3.8
Bonnyrigg Heights,764.0,651.0,249.0,51.0,89.0,42.3,36.0,13.8,2.8,4.9
Booker Bay,315.0,61.0,218.0,13.0,33.0,49.5,9.6,34.3,2.0,5.2
Boolaroo,212.0,162.0,83.0,16.0,13.0,43.8,33.5,17.1,3.3,2.7
Booragul,168.0,113.0,220.0,21.0,31.0,30.3,20.4,39.7,3.8,5.6
Bossley Park,1923.0,1116.0,748.0,105.0,152.0,47.6,27.6,18.5,2.6,3.8
Botany,1013.0,731.0,729.0,60.0,176.0,37.4,27.0,26.9,2.2,6.5
Bow Bowing,113.0,287.0,77.0,9.0,15.0,22.8,58.0,15.6,1.8,3.0
Bradbury,1187.0,1022.0,711.0,41.0,120.0,38.4,33.1,23.0,1.3,3.9
Broadmeadow,226.0,125.0,269.0,17.0,23.0,34.0,18.8,40.5,2.6,3.5
Bronte,1124.0,440.0,1042.0,62.0,211.0,39.1,15.3,36.2,2.2,7.3
Brookvale,349.0,162.0,297.0,22.0,57.0,39.2,18.2,33.3,2.5,6.4
Budgewoi,684.0,219.0,330.0,40.0,71.0,51.2,16.4,24.7,3.0,5.3
Buff Point,608.0,379.0,277.0,23.0,50.0,45.6,28.4,20.8,1.7,3.8
Bulli,825.0,520.0,544.0,54.0,77.0,40.9,25.8,26.9,2.7,3.8
Burwood,1570.0,429.0,1791.0,113.0,334.0,37.0,10.1,42.2,2.7,7.9
Burwood Heights,160.0,48.0,42.0,17.0,10.0,58.4,17.5,15.3,6.2,3.6
Busby,357.0,303.0,556.0,19.0,54.0,27.8,23.6,43.2,1.5,4.2
Cabarita,251.0,103.0,65.0,9.0,15.0,56.3,23.1,14.6,2.0,3.4
Cabramatta,2146.0,865.0,2771.0,146.0,442.0,33.7,13.6,43.5,2.3,6.9
Cabramatta West,905.0,337.0,527.0,47.0,113.0,46.9,17.5,27.3,2.4,5.9
Cambridge Gardens,245.0,314.0,94.0,11.0,30.0,35.7,45.8,13.7,1.6,4.4
Cambridge Park,868.0,737.0,409.0,30.0,96.0,40.5,34.4,19.1,1.4,4.5
Camden,509.0,294.0,344.0,34.0,51.0,41.6,24.0,28.1,2.8,4.2
Camden South,748.0,574.0,193.0,23.0,28.0,47.9,36.7,12.3,1.5,1.8
Cammeray,896.0,536.0,1189.0,52.0,210.0,31.1,18.6,41.3,1.8,7.3
Campbelltown,1195.0,1033.0,1256.0,57.0,166.0,32.2,27.9,33.9,1.5,4.5
Camperdown,310.0,334.0,921.0,40.0,150.0,17.6,19.0,52.4,2.3,8.5
Campsie,2396.0,884.0,3281.0,161.0,561.0,32.9,12.1,45.1,2.2,7.7
Canada Bay,198.0,95.0,157.0,8.0,27.0,41.4,19.9,32.8,1.7,5.6
Canley Heights,1325.0,583.0,752.0,61.0,139.0,46.4,20.4,26.3,2.1,4.9
Canley Vale,1242.0,476.0,1131.0,81.0,381.0,37.5,14.4,34.1,2.4,11.5
Canterbury,777.0,369.0,600.0,34.0,159.0,40.1,19.1,31.0,1.8,8.2
Canton Beach,343.0,29.0,107.0,47.0,26.0,62.4,5.3,19.5,8.5,4.7
Cardiff,926.0,576.0,434.0,50.0,64.0,45.3,28.2,21.2,2.4,3.1
Cardiff Heights,371.0,187.0,81.0,24.0,14.0,54.9,27.7,12.0,3.6,2.1
Cardiff South,457.0,330.0,198.0,19.0,24.0,44.5,32.1,19.3,1.8,2.3
Caringbah,3988.0,1807.0,1736.0,143.0,293.0,50.0,22.7,21.8,1.8,3.7
Carlingford,3592.0,1534.0,1078.0,141.0,177.0,55.0,23.5,16.5,2.2,2.7
Carlton,1556.0,666.0,989.0,81.0,204.0,44.5,19.1,28.3,2.3,5.8
Carramar,360.0,176.0,521.0,18.0,128.0,29.9,14.6,43.2,1.5,10.6
Carrington,236.0,127.0,320.0,19.0,38.0,31.9,17.2,43.3,2.6,5.1
Carss Park,254.0,77.0,81.0,8.0,13.0,58.4,17.7,18.6,1.8,3.0
Cartwright,206.0,169.0,422.0,10.0,84.0,23.0,18.9,47.1,1.1,9.4
Castle Cove,543.0,138.0,86.0,19.0,47.0,65.0,16.5,10.3,2.3,5.6
Castle Hill,4629.0,3206.0,1394.0,520.0,344.0,45.9,31.8,13.8,5.2,3.4
Castlecrag,589.0,211.0,100.0,26.0,39.0,61.3,22.0,10.4,2.7,4.1
Casula,1370.0,1095.0,901.0,107.0,159.0,37.7,30.1,24.8,2.9,4.4
Caves Beach,744.0,441.0,224.0,28.0,36.0,50.5,29.9,15.2,1.9,2.4
Cecil Hills,471.0,784.0,175.0,40.0,76.0,30.5,50.7,11.3,2.6,4.9
Centennial Park,264.0,134.0,601.0,15.0,144.0,22.8,11.6,52.0,1.3,12.5
Charlestown,2240.0,1113.0,949.0,68.0,128.0,49.9,24.8,21.1,1.5,2.8
Charmhaven,339.0,275.0,169.0,13.0,21.0,41.7,33.8,20.8,1.6,2.6
Chatswood,1570.0,466.0,1501.0,122.0,251.0,40.1,11.9,38.4,3.1,6.4
Chatswood West,1297.0,624.0,851.0,49.0,146.0,43.6,21.0,28.6,1.6,4.9
Cheltenham,394.0,179.0,49.0,10.0,17.0,60.2,27.4,7.5,1.5,2.6
Cherrybrook,2802.0,1933.0,675.0,97.0,141.0,49.6,34.2,11.9,1.7,2.5
Chester Hill,1514.0,613.0,968.0,80.0,170.0,45.2,18.3,28.9,2.4,5.1
Chifley,493.0,217.0,307.0,18.0,52.0,45.1,19.9,28.1,1.6,4.8
Chippendale,150.0,235.0,902.0,45.0,247.0,9.5,14.9,57.1,2.8,15.6
Chipping Norton,1358.0,856.0,444.0,63.0,135.0,47.6,30.0,15.6,2.2,4.7
Chiswick,256.0,86.0,217.0,7.0,27.0,43.2,14.5,36.6,1.2,4.6
Chittaway Bay,276.0,226.0,179.0,9.0,10.0,39.5,32.3,25.6,1.3,1.4
Chittaway Point,121.0,96.0,56.0,7.0,19.0,41.6,33.0,19.2,2.4,6.5
Church Point,254.0,104.0,33.0,5.0,19.0,61.8,25.3,8.0,1.2,4.6
Claremont Meadows,167.0,658.0,194.0,14.0,30.0,15.7,61.8,18.2,1.3,2.8
Claymore,6.0,17.0,899.0,10.0,91.0,0.6,1.7,88.6,1.0,9.0
Clontarf,361.0,91.0,49.0,12.0,61.0,63.2,15.9,8.6,2.1,10.7
Clovelly,669.0,402.0,671.0,34.0,110.0,35.6,21.4,35.7,1.8,5.9
Coal Point,359.0,170.0,64.0,11.0,24.0,56.7,26.9,10.1,1.7,3.8
Coledale,144.0,103.0,66.0,7.0,17.0,43.0,30.7,19.7,2.1,5.1
Collaroy,2201.0,1201.0,1150.0,92.0,192.0,45.6,24.9,23.8,1.9,4.0
Colyton,1034.0,957.0,514.0,50.0,131.0,38.5,35.6,19.1,1.9,4.9
Como,641.0,452.0,125.0,20.0,30.0,50.6,35.7,9.9,1.6,2.4
Concord,2508.0,929.0,943.0,102.0,222.0,53.3,19.7,20.0,2.2,4.7
Concord West,1050.0,411.0,376.0,46.0,69.0,53.7,21.0,19.2,2.4,3.5
Condell Park,1520.0,547.0,592.0,59.0,135.0,53.2,19.1,20.7,2.1,4.7
Coniston,283.0,127.0,285.0,18.0,50.0,36.9,16.6,37.2,2.3,6.5
Connells Point,660.0,193.0,84.0,16.0,43.0,66.1,19.3,8.4,1.6,4.3
Coogee,1745.0,999.0,2891.0,145.0,621.0,27.3,15.6,45.2,2.3,9.7
Cooks Hill,283.0,227.0,645.0,18.0,67.0,22.8,18.3,52.0,1.5,5.4
Copacabana,337.0,341.0,250.0,19.0,26.0,34.5,34.9,25.6,1.9,2.7
Cordeaux Heights,628.0,610.0,104.0,27.0,38.0,44.8,43.5,7.4,1.9,2.7
Corrimal,1684.0,751.0,1216.0,86.0,171.0,43.1,19.2,31.1,2.2,4.4
Cranebrook,804.0,1962.0,1116.0,59.0,140.0,19.7,48.2,27.4,1.4,3.4
Cremorne,1782.0,725.0,2338.0,92.0,356.0,33.6,13.7,44.1,1.7,6.7
Cremorne Point,329.0,85.0,427.0,19.0,86.0,34.8,9.0,45.1,2.0,9.1
Cringila,509.0,90.0,115.0,24.0,53.0,64.2,11.3,14.5,3.0,6.7
Cromer,1180.0,719.0,320.0,112.0,55.0,49.6,30.2,13.5,4.7,2.3
Cronulla,2778.0,1324.0,3250.0,135.0,537.0,34.6,16.5,40.5,1.7,6.7
Croudace Bay,86.0,54.0,9.0,3.0,0.0,55.5,34.8,5.8,1.9,0.0
Crows Nest,444.0,323.0,775.0,22.0,109.0,26.5,19.3,46.3,1.3,6.5
Croydon,1481.0,614.0,833.0,91.0,196.0,46.1,19.1,25.9,2.8,6.1
Croydon Park,1735.0,761.0,1137.0,115.0,195.0,44.0,19.3,28.9,2.9,5.0
Curl Curl,332.0,143.0,166.0,7.0,23.0,49.7,21.4,24.9,1.0,3.4
Currans Hill,160.0,817.0,354.0,30.0,58.0,11.2,57.3,24.8,2.1,4.1
Daceyville,53.0,28.0,444.0,17.0,37.0,9.2,4.9,77.2,3.0,6.4
Daleys Point,137.0,18.0,16.0,40.0,12.0,61.7,8.1,7.2,18.0,5.4
Dapto,1895.0,1096.0,829.0,72.0,123.0,47.2,27.3,20.6,1.8,3.1
Darling Point,1136.0,169.0,618.0,69.0,269.0,50.3,7.5,27.4,3.1,11.9
