,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%)
Barrack Point,264.0,16.0,65.0,29.0,121.0,53.3,3.2,13.1,5.9,24.4
Bass Hill,3271.0,247.0,483.0,449.0,1994.0,50.8,3.8,7.5,7.0,30.9
Bateau Bay,4554.0,318.0,979.0,1048.0,2848.0,46.7,3.3,10.0,10.8,29.2
Baulkham Hills,16252.0,530.0,1605.0,1136.0,7125.0,61.0,2.0,6.0,4.3,26.7
Bayview (NSW),1529.0,35.0,220.0,325.0,559.0,57.3,1.3,8.2,12.2,21.0
Beacon Hill,3192.0,108.0,304.0,246.0,1555.0,59.1,2.0,5.6,4.6,28.8
Beaconsfield (NSW),309.0,19.0,58.0,18.0,380.0,39.4,2.4,7.4,2.3,48.5
Beecroft,4478.0,84.0,281.0,426.0,1926.0,62.2,1.2,3.9,5.9,26.8
Belfield,2555.0,134.0,337.0,329.0,1447.0,53.2,2.8,7.0,6.9,30.1
Bella Vista,3562.0,67.0,206.0,150.0,1896.0,60.6,1.1,3.5,2.6,32.2
Bellambi,1084.0,145.0,427.0,202.0,1341.0,33.9,4.5,13.3,6.3,41.9
Bellevue Hill,4105.0,140.0,649.0,372.0,3589.0,46.4,1.6,7.3,4.2,40.5
Belmont (NSW),2668.0,181.0,578.0,474.0,1449.0,49.9,3.4,10.8,8.9,27.1
Belmont North,2580.0,174.0,453.0,355.0,1615.0,49.8,3.4,8.8,6.9,31.2
Belmont South,394.0,39.0,120.0,67.0,361.0,40.2,4.0,12.2,6.8,36.8
Belmore,5096.0,357.0,835.0,584.0,3280.0,50.2,3.5,8.2,5.8,32.3
Belrose,4016.0,93.0,366.0,675.0,1426.0,61.1,1.4,5.6,10.3,21.7
Bensville,1204.0,51.0,105.0,56.0,534.0,61.7,2.6,5.4,2.9,27.4
Berala,3705.0,197.0,482.0,363.0,2267.0,52.8,2.8,6.9,5.2,32.3
Berkeley,2694.0,208.0,509.0,490.0,2146.0,44.6,3.4,8.4,8.1,35.5
Berkeley Vale,3034.0,248.0,665.0,459.0,2168.0,46.2,3.8,10.1,7.0,33.0
Berowra,2190.0,57.0,224.0,114.0,922.0,62.4,1.6,6.4,3.3,26.3
Berowra Heights,2396.0,94.0,267.0,133.0,1023.0,61.2,2.4,6.8,3.4,26.1
Beverley Park,986.0,43.0,98.0,99.0,444.0,59.0,2.6,5.9,5.9,26.6
Beverly Hills,4287.0,201.0,513.0,510.0,2454.0,53.8,2.5,6.4,6.4,30.8
Bexley,8140.0,442.0,1068.0,1086.0,4593.0,53.1,2.9,7.0,7.1,30.0
Bexley North,1778.0,74.0,218.0,194.0,919.0,55.9,2.3,6.8,6.1,28.9
Bidwill (NSW),859.0,202.0,319.0,153.0,1577.0,27.6,6.5,10.3,4.9,50.7
Birchgrove,1197.0,49.0,298.0,63.0,968.0,46.5,1.9,11.6,2.4,37.6
Birmingham Gardens,611.0,31.0,109.0,109.0,937.0,34.0,1.7,6.1,6.1,52.1
Birrong,1097.0,80.0,184.0,147.0,815.0,47.2,3.4,7.9,6.3,35.1
Blackalls Park,1060.0,74.0,203.0,155.0,764.0,47.0,3.3,9.0,6.9,33.9
Blackbutt (NSW),1353.0,67.0,216.0,133.0,768.0,53.3,2.6,8.5,5.2,30.3
Blackett,897.0,148.0,188.0,126.0,1123.0,36.1,6.0,7.6,5.1,45.2
Blacksmiths,697.0,61.0,180.0,139.0,450.0,45.6,4.0,11.8,9.1,29.5
Blacktown,17550.0,1159.0,2447.0,2017.0,10916.0,51.5,3.4,7.2,5.9,32.0
Blackwall (NSW),609.0,70.0,205.0,110.0,459.0,41.9,4.8,14.1,7.6,31.6
Blairmount,162.0,14.0,24.0,11.0,138.0,46.4,4.0,6.9,3.2,39.5
Blakehurst,2858.0,86.0,257.0,335.0,1419.0,57.7,1.7,5.2,6.8,28.6
Blaxland (NSW),3256.0,158.0,485.0,285.0,1651.0,55.8,2.7,8.3,4.9,28.3
Blue Bay,369.0,48.0,122.0,56.0,261.0,43.1,5.6,14.3,6.5,30.5
Blue Haven,2237.0,202.0,416.0,195.0,1447.0,49.7,4.5,9.3,4.3,32.2
Bolton Point,776.0,55.0,212.0,147.0,651.0,42.2,3.0,11.5,8.0,35.4
Bondi,2648.0,220.0,672.0,353.0,4553.0,31.4,2.6,8.0,4.2,53.9
Bondi Beach,2412.0,198.0,718.0,247.0,6013.0,25.2,2.1,7.5,2.6,62.7
Bondi Junction,2645.0,184.0,612.0,373.0,3745.0,35.0,2.4,8.1,4.9,49.5
Bonnet Bay,1159.0,41.0,66.0,37.0,466.0,65.5,2.3,3.7,2.1,26.3
Bonnyrigg,2950.0,277.0,510.0,354.0,2250.0,46.5,4.4,8.0,5.6,35.5
Bonnyrigg Heights,3011.0,186.0,317.0,206.0,2034.0,52.3,3.2,5.5,3.6,35.3
Booker Bay,405.0,47.0,124.0,83.0,336.0,40.7,4.7,12.5,8.3,33.8
Boolaroo,308.0,34.0,95.0,60.0,290.0,39.1,4.3,12.1,7.6,36.8
Booragul,472.0,44.0,137.0,207.0,336.0,39.5,3.7,11.5,17.3,28.1
Bossley Park,6270.0,374.0,598.0,571.0,3620.0,54.8,3.3,5.2,5.0,31.7
Botany,3407.0,245.0,592.0,423.0,2299.0,48.9,3.5,8.5,6.1,33.0
Bow Bowing,644.0,51.0,87.0,38.0,406.0,52.5,4.2,7.1,3.1,33.1
Bradbury (NSW),3280.0,269.0,602.0,348.0,2361.0,47.8,3.9,8.8,5.1,34.4
Broadmeadow,430.0,66.0,155.0,59.0,590.0,33.1,5.1,11.9,4.5,45.4
Bronte,2396.0,126.0,396.0,205.0,2432.0,43.1,2.3,7.1,3.7,43.8
Brookvale,856.0,85.0,252.0,138.0,847.0,39.3,3.9,11.6,6.3,38.9
Budgewoi,1172.0,123.0,346.0,219.0,826.0,43.6,4.6,12.9,8.2,30.8
Buff Point,1298.0,107.0,300.0,185.0,764.0,48.9,4.0,11.3,7.0,28.8
Bulli,2255.0,122.0,386.0,237.0,1409.0,51.1,2.8,8.8,5.4,32.0
Burwood (NSW),4860.0,222.0,699.0,506.0,4693.0,44.3,2.0,6.4,4.6,42.7
Burwood Heights,372.0,12.0,36.0,48.0,215.0,54.5,1.8,5.3,7.0,31.5
Busby,1373.0,145.0,228.0,222.0,1199.0,43.4,4.6,7.2,7.0,37.9
Cabarita (NSW),1029.0,22.0,104.0,63.0,394.0,63.8,1.4,6.5,3.9,24.4
Cabramatta,7536.0,744.0,1983.0,1089.0,5136.0,45.7,4.5,12.0,6.6,31.1
Cabramatta West,2465.0,203.0,465.0,341.0,1842.0,46.4,3.8,8.7,6.4,34.7
Cambridge Gardens,794.0,72.0,154.0,51.0,505.0,50.4,4.6,9.8,3.2,32.0
Cambridge Park,2170.0,194.0,495.0,249.0,1755.0,44.6,4.0,10.2,5.1,36.1
Camden,1125.0,114.0,297.0,329.0,813.0,42.0,4.3,11.1,12.3,30.4
Camden South,2021.0,103.0,242.0,147.0,964.0,58.1,3.0,7.0,4.2,27.7
Cammeray,2443.0,163.0,629.0,198.0,2316.0,42.5,2.8,10.9,3.4,40.3
Campbelltown (NSW),3512.0,382.0,758.0,608.0,3197.0,41.5,4.5,9.0,7.2,37.8
Camperdown (NSW),1654.0,127.0,479.0,112.0,4905.0,22.7,1.7,6.6,1.5,67.4
Campsie,9352.0,525.0,1514.0,697.0,5529.0,53.1,3.0,8.6,4.0,31.4
Canada Bay,552.0,16.0,95.0,58.0,331.0,52.5,1.5,9.0,5.5,31.5
Canley Heights,3928.0,307.0,706.0,474.0,2812.0,47.7,3.7,8.6,5.8,34.2
Canley Vale,3351.0,271.0,768.0,521.0,2459.0,45.5,3.7,10.4,7.1,33.4
Canterbury (NSW),2533.0,147.0,429.0,204.0,1833.0,49.2,2.9,8.3,4.0,35.6
Canton Beach,363.0,45.0,171.0,152.0,223.0,38.1,4.7,17.9,15.9,23.4
Cardiff (NSW),2049.0,184.0,509.0,313.0,1605.0,44.0,3.9,10.9,6.7,34.4
Cardiff Heights,532.0,19.0,89.0,155.0,282.0,49.4,1.8,8.3,14.4,26.2
Cardiff South,1168.0,65.0,217.0,141.0,774.0,49.4,2.7,9.2,6.0,32.7
Caringbah,3797.0,280.0,1062.0,698.0,3159.0,42.2,3.1,11.8,7.8,35.1
Carlingford,10486.0,275.0,976.0,930.0,4945.0,59.5,1.6,5.5,5.3,28.1
Carlton (NSW),4268.0,211.0,635.0,395.0,2496.0,53.3,2.6,7.9,4.9,31.2
Carramar (NSW),1204.0,144.0,319.0,234.0,817.0,44.3,5.3,11.7,8.6,30.1
Carrington (Newcastle - NSW),439.0,69.0,201.0,75.0,789.0,27.9,4.4,12.8,4.8,50.2
Carss Park,583.0,15.0,52.0,64.0,253.0,60.3,1.6,5.4,6.6,26.2
Cartwright,656.0,113.0,204.0,123.0,674.0,37.1,6.4,11.5,6.9,38.1
Castle Cove,1269.0,26.0,104.0,136.0,483.0,62.9,1.3,5.2,6.7,23.9
Castle Hill (NSW),18093.0,559.0,1668.0,1872.0,8388.0,59.2,1.8,5.5,6.1,27.4
Castlecrag,1478.0,33.0,102.0,93.0,547.0,65.6,1.5,4.5,4.1,24.3
Casula,6160.0,383.0,799.0,559.0,3451.0,54.3,3.4,7.0,4.9,30.4
Caves Beach,1904.0,87.0,199.0,199.0,856.0,58.7,2.7,6.1,6.1,26.4
Cecil Hills,3024.0,153.0,225.0,155.0,1692.0,57.6,2.9,4.3,3.0,32.2
Centennial Park (NSW),528.0,34.0,177.0,49.0,1124.0,27.6,1.8,9.3,2.6,58.8
Charlestown (NSW),5184.0,294.0,889.0,688.0,3183.0,50.6,2.9,8.7,6.7,31.1
Charmhaven,728.0,79.0,230.0,137.0,660.0,39.7,4.3,12.5,7.5,36.0
Chatswood,9274.0,326.0,1060.0,809.0,6412.0,51.9,1.8,5.9,4.5,35.9
Chatswood West,714.0,21.0,75.0,42.0,273.0,63.5,1.9,6.7,3.7,24.3
Cheltenham (NSW),1051.0,15.0,66.0,62.0,490.0,62.4,0.9,3.9,3.7,29.1
Cherrybrook,9313.0,203.0,673.0,669.0,4370.0,61.2,1.3,4.4,4.4,28.7
Chester Hill,4405.0,373.0,841.0,665.0,2970.0,47.6,4.0,9.1,7.2,32.1
Chifley (NSW),1287.0,79.0,212.0,140.0,814.0,50.8,3.1,8.4,5.5,32.1
Chippendale,718.0,79.0,228.0,36.0,2827.0,18.5,2.0,5.9,0.9,72.7
Chipping Norton,3938.0,219.0,505.0,318.0,2204.0,54.8,3.0,7.0,4.4,30.7
Chiswick,988.0,64.0,209.0,82.0,802.0,46.1,3.0,9.7,3.8,37.4
Chittaway Bay,710.0,57.0,171.0,87.0,506.0,46.4,3.7,11.2,5.7,33.1
Chittaway Point,365.0,22.0,70.0,28.0,239.0,50.4,3.0,9.7,3.9,33.0
Church Point,606.0,25.0,65.0,33.0,218.0,64.0,2.6,6.9,3.5,23.0
Claremont Meadows,1639.0,72.0,190.0,52.0,1055.0,54.5,2.4,6.3,1.7,35.1
Claymore,493.0,117.0,208.0,73.0,1114.0,24.6,5.8,10.4,3.6,55.6
Clontarf (NSW),850.0,14.0,47.0,55.0,354.0,64.4,1.1,3.6,4.2,26.8
Clovelly,1645.0,75.0,288.0,138.0,1471.0,45.5,2.1,8.0,3.8,40.7
Coal Point,938.0,29.0,103.0,69.0,330.0,63.9,2.0,7.0,4.7,22.5
Coledale,454.0,24.0,75.0,40.0,312.0,50.2,2.7,8.3,4.4,34.5
Collaroy (NSW),6184.0,275.0,860.0,519.0,3513.0,54.5,2.4,7.6,4.6,30.9
Colyton,2923.0,277.0,545.0,282.0,2225.0,46.8,4.4,8.7,4.5,35.6
Como (NSW),1763.0,60.0,153.0,125.0,797.0,60.8,2.1,5.3,4.3,27.5
Concord,6346.0,231.0,679.0,705.0,3453.0,55.6,2.0,5.9,6.2,30.3
Concord West,2637.0,91.0,258.0,233.0,1504.0,55.8,1.9,5.5,4.9,31.8
Condell Park,4363.0,284.0,501.0,426.0,2437.0,54.5,3.5,6.3,5.3,30.4
Coniston,793.0,60.0,178.0,136.0,637.0,44.0,3.3,9.9,7.5,35.3
Connells Point,1343.0,43.0,106.0,121.0,585.0,61.1,2.0,4.8,5.5,26.6
Coogee (NSW),4045.0,262.0,894.0,392.0,6573.0,33.2,2.2,7.3,3.2,54.0
Cooks Hill,914.0,81.0,318.0,147.0,1706.0,28.9,2.6,10.0,4.6,53.9
Copacabana,1076.0,85.0,228.0,68.0,609.0,52.1,4.1,11.0,3.3,29.5
Cordeaux Heights,2290.0,65.0,148.0,72.0,1115.0,62.1,1.8,4.0,2.0,30.2
Corrimal,2496.0,152.0,490.0,469.0,1649.0,47.5,2.9,9.3,8.9,31.4
Cranebrook,5375.0,408.0,922.0,296.0,4063.0,48.6,3.7,8.3,2.7,36.7
Cremorne (NSW),4081.0,222.0,1018.0,338.0,3837.0,43.0,2.3,10.7,3.6,40.4
Cremorne Point,850.0,38.0,176.0,75.0,583.0,49.4,2.2,10.2,4.4,33.9
Cringila,767.0,66.0,120.0,134.0,574.0,46.2,4.0,7.2,8.1,34.6
Cromer (NSW),3182.0,127.0,417.0,378.0,1500.0,56.8,2.3,7.4,6.7,26.8
Cronulla,5826.0,498.0,1600.0,831.0,6200.0,39.0,3.3,10.7,5.6,41.5
Croudace Bay,261.0,14.0,25.0,33.0,96.0,60.8,3.3,5.8,7.7,22.4
Crows Nest (NSW),1400.0,88.0,331.0,93.0,1619.0,39.6,2.5,9.4,2.6,45.9
Croydon (NSW),4186.0,192.0,511.0,544.0,3145.0,48.8,2.2,6.0,6.3,36.7
Croydon Park (NSW),4370.0,251.0,658.0,489.0,2948.0,50.1,2.9,7.5,5.6,33.8
