,"Intermediate Clerical, Sales and Service Workers",Professionals,Tradespersons and Related Workers,Associate Professionals,"Elementary Clerical, Sales and Service Workers",Managers and Administrators,Labourers and Related Workers,Intermediate Production and Transport Workers,Advanced Clerical and Service Workers,"Intermediate Clerical, Sales and Service Workers (%)",Professionals (%),Tradespersons and Related Workers (%),Associate Professionals (%),"Elementary Clerical, Sales and Service Workers (%)",Managers and Administrators (%),Labourers and Related Workers (%),Intermediate Production and Transport Workers (%),Advanced Clerical and Service Workers (%)
Phillip Bay,65,46,46,32,37,26,26,31,16,11.3,8.0,8.0,5.5,6.4,4.5,4.5,5.4,2.8
Picnic Point,522,468,369,278,214,269,98,178,184,12.7,11.4,9.0,6.8,5.2,6.6,2.4,4.3,4.5
Plumpton,631,324,373,256,346,111,335,477,73,13.3,6.8,7.9,5.4,7.3,2.3,7.1,10.0,1.5
Point Clare,258,200,160,154,115,84,83,86,65,9.9,7.6,6.1,5.9,4.4,3.2,3.2,3.3,2.5
Point Frederick,128,157,59,126,58,67,37,36,35,9.4,11.5,4.3,9.3,4.3,4.9,2.7,2.6,2.6
Point Piper,63,183,15,121,38,175,6,3,34,5.4,15.7,1.3,10.4,3.3,15.1,0.5,0.3,2.9
Port Kembla,212,146,233,140,174,36,257,244,28,5.6,3.9,6.1,3.7,4.6,1.0,6.8,6.4,0.7
Potts Point,625,"1,339",204,622,303,542,114,68,191,9.4,20.1,3.1,9.4,4.6,8.2,1.7,1.0,2.9
Prairiewood,233,146,195,108,153,69,138,114,63,8.9,5.6,7.4,4.1,5.8,2.6,5.3,4.3,2.4
Prestons,875,523,562,419,398,208,343,488,157,14.5,8.7,9.3,6.9,6.6,3.4,5.7,8.1,2.6
Primbee,81,69,91,64,57,14,56,87,23,6.3,5.4,7.1,5.0,4.4,1.1,4.4,6.8,1.8
Prospect,435,339,299,263,251,150,176,235,99,13.1,10.2,9.0,7.9,7.5,4.5,5.3,7.1,3.0
Punchbowl,908,619,872,534,670,222,652,746,154,7.1,4.8,6.8,4.2,5.2,1.7,5.1,5.8,1.2
Putney,246,387,142,217,111,176,43,64,62,10.9,17.1,6.3,9.6,4.9,7.8,1.9,2.8,2.7
Pymble,558,"1,594",129,551,316,775,58,68,217,7.7,22.1,1.8,7.6,4.4,10.7,0.8,0.9,3.0
Pyrmont,791,"1,370",182,699,348,596,119,122,203,11.1,19.2,2.5,9.8,4.9,8.3,1.7,1.7,2.8
Quakers Hill,"2,352","1,809","1,411","1,247","1,065",667,786,"1,107",509,14.2,10.9,8.5,7.5,6.4,4.0,4.7,6.7,3.1
Queens Park,203,496,87,194,86,190,44,21,79,9.2,22.5,3.9,8.8,3.9,8.6,2.0,1.0,3.6
Raby,668,366,492,326,349,197,250,358,131,14.3,7.9,10.6,7.0,7.5,4.2,5.4,7.7,2.8
Ramsgate,71,43,45,25,40,19,21,34,13,12.1,7.3,7.6,4.2,6.8,3.2,3.6,5.8,2.2
Ramsgate Beach,108,89,55,83,59,41,33,49,28,9.1,7.5,4.6,7.0,4.9,3.4,2.8,4.1,2.3
Randwick,"2,300","4,566","1,048","1,972","1,090","1,296",536,535,706,10.0,19.9,4.6,8.6,4.8,5.7,2.3,2.3,3.1
Rankin Park,262,355,160,173,134,89,67,71,63,12.7,17.2,7.7,8.4,6.5,4.3,3.2,3.4,3.1
Redfern,880,"1,629",331,700,470,532,279,217,219,8.8,16.3,3.3,7.0,4.7,5.3,2.8,2.2,2.2
Redhead,201,248,185,151,117,67,95,99,53,7.7,9.5,7.1,5.8,4.5,2.6,3.7,3.8,2.0
Regents Park,244,214,222,132,149,77,171,179,44,8.2,7.2,7.4,4.4,5.0,2.6,5.7,6.0,1.5
Regentville,83,45,74,46,32,9,35,51,20,14.1,7.7,12.6,7.8,5.4,1.5,6.0,8.7,3.4
Revesby,995,677,707,475,436,269,355,511,215,11.0,7.5,7.8,5.3,4.8,3.0,3.9,5.7,2.4
Revesby Heights,122,94,82,66,41,29,25,32,21,12.4,9.5,8.3,6.7,4.2,2.9,2.5,3.2,2.1
Rhodes,53,94,28,53,24,36,15,16,12,9.0,15.9,4.7,9.0,4.1,6.1,2.5,2.7,2.0
Riverstone,421,258,463,241,215,165,340,337,134,8.8,5.4,9.7,5.1,4.5,3.5,7.1,7.1,2.8
Riverview,173,539,57,170,81,254,39,21,78,7.0,21.9,2.3,6.9,3.3,10.3,1.6,0.9,3.2
Riverwood,675,534,494,367,369,177,310,440,140,8.0,6.4,5.9,4.4,4.4,2.1,3.7,5.2,1.7
Rockdale,895,682,580,528,655,229,624,500,177,9.5,7.2,6.1,5.6,6.9,2.4,6.6,5.3,1.9
Rocky Point,9,14,16,12,3,3,6,6,6,5.8,9.1,10.4,7.8,1.9,1.9,3.9,3.9,3.9
Rodd Point,104,165,61,76,43,65,24,26,42,10.3,16.3,6.0,7.5,4.2,6.4,2.4,2.6,4.1
