,"Intermediate Clerical, Sales and Service Workers",Professionals,Tradespersons and Related Workers,Associate Professionals,"Elementary Clerical, Sales and Service Workers",Managers and Administrators,Labourers and Related Workers,Intermediate Production and Transport Workers,Advanced Clerical and Service Workers,"Intermediate Clerical, Sales and Service Workers (%)",Professionals (%),Tradespersons and Related Workers (%),Associate Professionals (%),"Elementary Clerical, Sales and Service Workers (%)",Managers and Administrators (%),Labourers and Related Workers (%),Intermediate Production and Transport Workers (%),Advanced Clerical and Service Workers (%)
Eleebana,454,712,301,399,325,256,104,130,144,10.1,15.9,6.7,8.9,7.2,5.7,2.3,2.9,3.2
Elermore Vale,400,407,298,260,280,115,187,171,82,10.9,11.1,8.1,7.1,7.6,3.1,5.1,4.7,2.2
Elizabeth Bay,418,"1,031",115,429,160,437,46,43,109,9.2,22.8,2.5,9.5,3.5,9.7,1.0,0.9,2.4
Emerton,123,37,114,38,83,16,93,150,18,7.5,2.3,7.0,2.3,5.1,1.0,5.7,9.2,1.1
Empire Bay,107,89,110,61,70,40,61,52,34,9.3,7.7,9.5,5.3,6.1,3.5,5.3,4.5,2.9
Emu Heights,325,275,243,181,163,125,118,146,78,13.6,11.5,10.2,7.6,6.8,5.2,4.9,6.1,3.3
Emu Plains,800,593,546,450,412,282,286,347,191,12.3,9.1,8.4,6.9,6.3,4.3,4.4,5.3,2.9
Enfield,211,233,122,129,101,70,61,64,56,10.7,11.8,6.2,6.5,5.1,3.5,3.1,3.2,2.8
Engadine,"2,095","1,640","1,594","1,247",986,676,462,658,598,14.7,11.5,11.2,8.8,6.9,4.8,3.3,4.6,4.2
Enmore,331,640,158,241,199,175,118,91,69,10.6,20.4,5.0,7.7,6.4,5.6,3.8,2.9,2.2
Epping,"1,421","3,078",535,"1,078",735,953,281,263,429,9.6,20.8,3.6,7.3,5.0,6.4,1.9,1.8,2.9
Erina,229,240,189,203,187,112,115,90,73,6.2,6.5,5.1,5.5,5.1,3.0,3.1,2.4,2.0
Ermington,793,675,600,449,402,267,313,357,197,9.7,8.3,7.4,5.5,4.9,3.3,3.8,4.4,2.4
Erskine Park,755,386,504,345,345,185,223,473,151,15.7,8.0,10.5,7.2,7.2,3.9,4.6,9.8,3.1
Erskineville,475,"1,054",186,459,210,386,98,98,109,11.1,24.7,4.4,10.7,4.9,9.0,2.3,2.3,2.6
Eschol Park,311,141,214,127,148,77,109,171,50,15.0,6.8,10.3,6.1,7.1,3.7,5.3,8.2,2.4
Ettalong Beach,195,118,183,148,145,53,160,128,61,5.8,3.5,5.4,4.4,4.3,1.6,4.8,3.8,1.8
Fairfield,669,437,682,300,481,117,728,703,94,5.8,3.8,6.0,2.6,4.2,1.0,6.4,6.1,0.8
Fairfield East,109,81,130,66,66,20,113,139,22,6.1,4.5,7.3,3.7,3.7,1.1,6.3,7.8,1.2
Fairfield Heights,306,186,241,128,178,80,264,240,52,7.3,4.4,5.7,3.1,4.2,1.9,6.3,5.7,1.2
Fairfield West,696,383,705,321,438,129,488,569,133,8.6,4.7,8.7,4.0,5.4,1.6,6.0,7.0,1.6
Fairlight,428,887,197,464,199,426,98,82,149,9.3,19.4,4.3,10.1,4.3,9.3,2.1,1.8,3.3
Fairy Meadow,389,369,349,248,246,104,232,215,65,7.0,6.7,6.3,4.5,4.5,1.9,4.2,3.9,1.2
Farmborough Heights,303,403,305,203,211,103,105,164,58,10.7,14.3,10.8,7.2,7.5,3.6,3.7,5.8,2.1
Faulconbridge,322,514,202,218,150,158,99,105,78,10.8,17.2,6.8,7.3,5.0,5.3,3.3,3.5,2.6
Fennell Bay,121,145,116,73,99,39,67,73,25,7.6,9.2,7.3,4.6,6.3,2.5,4.2,4.6,1.6
Figtree,790,"1,186",609,552,457,333,288,332,181,9.7,14.5,7.5,6.8,5.6,4.1,3.5,4.1,2.2
Five Dock,621,863,338,450,274,367,161,178,185,10.2,14.2,5.6,7.4,4.5,6.0,2.7,2.9,3.0
Fletcher,80,63,71,46,41,19,18,33,22,16.2,12.8,14.4,9.3,8.3,3.8,3.6,6.7,4.5
Flinders,223,122,173,142,127,42,82,146,48,12.0,6.5,9.3,7.6,6.8,2.3,4.4,7.8,2.6
Floraville,85,103,108,87,66,35,28,39,22,8.7,10.5,11.0,8.9,6.7,3.6,2.9,4.0,2.2
Forest Lodge,209,561,64,175,91,161,29,35,54,10.3,27.5,3.1,8.6,4.5,7.9,1.4,1.7,2.6
Forestville,591,856,356,479,325,451,136,120,208,9.9,14.3,5.9,8.0,5.4,7.5,2.3,2.0,3.5
Forresters Beach,159,258,186,118,122,83,56,58,55,9.1,14.7,10.6,6.7,7.0,4.7,3.2,3.3,3.1
Frenchs Forest,"1,032","1,555",567,883,608,811,251,255,449,10.8,16.2,5.9,9.2,6.3,8.4,2.6,2.7,4.7
Garden Suburb,134,164,81,99,78,41,39,48,34,11.3,13.8,6.8,8.3,6.6,3.4,3.3,4.0,2.9
Gateshead,170,81,188,95,166,20,156,148,21,5.9,2.8,6.5,3.3,5.7,0.7,5.4,5.1,0.7
Georges Hall,803,613,583,465,369,259,267,368,230,12.5,9.6,9.1,7.3,5.8,4.0,4.2,5.8,3.6
Georgetown,124,149,103,76,76,34,70,68,39,8.3,10.0,6.9,5.1,5.1,2.3,4.7,4.6,2.6
Girraween,335,260,226,176,168,98,155,174,56,11.5,8.9,7.7,6.0,5.8,3.4,5.3,6.0,1.9
Gladesville,899,"1,517",509,750,408,676,274,249,289,10.2,17.2,5.8,8.5,4.6,7.7,3.1,2.8,3.3
Glebe,835,"1,926",292,672,475,568,154,144,186,8.7,20.2,3.1,7.0,5.0,5.9,1.6,1.5,1.9
Glen Alpine,410,420,281,350,242,269,109,118,145,13.2,13.5,9.0,11.2,7.8,8.6,3.5,3.8,4.7
Glenbrook,423,760,280,328,207,244,131,93,115,11.1,19.9,7.3,8.6,5.4,6.4,3.4,2.4,3.0
Glendale,203,154,202,98,156,39,116,137,41,8.3,6.3,8.3,4.0,6.4,1.6,4.8,5.6,1.7
Glendenning,445,228,260,201,197,77,232,331,86,14.2,7.3,8.3,6.4,6.3,2.5,7.4,10.6,2.7
Glenfield,611,425,408,304,308,153,229,331,125,11.1,7.7,7.4,5.5,5.6,2.8,4.2,6.0,2.3
Glenhaven,502,714,276,368,271,539,85,100,221,11.8,16.8,6.5,8.7,6.4,12.7,2.0,2.4,5.2
Glenmore Park,"1,871","1,277","1,138","1,173",801,699,425,817,400,15.7,10.7,9.6,9.9,6.7,5.9,3.6,6.9,3.4
Glenning Valley,54,46,62,50,37,36,29,11,19,10.8,9.2,12.4,10.0,7.4,7.2,5.8,2.2,3.8
Glenwood,"1,016","1,008",523,662,404,474,242,353,226,14.9,14.8,7.7,9.7,5.9,7.0,3.6,5.2,3.3
Gordon,367,"1,076",77,356,210,459,61,38,148,7.2,21.1,1.5,7.0,4.1,9.0,1.2,0.7,2.9
Gorokan,415,235,391,247,309,75,308,249,70,7.1,4.0,6.7,4.2,5.3,1.3,5.3,4.3,1.2
Gosford,222,257,116,156,114,68,100,63,53,9.0,10.4,4.7,6.3,4.6,2.8,4.1,2.6,2.2
Granville,"1,202",803,"1,123",580,797,283,781,945,230,7.6,5.1,7.1,3.7,5.1,1.8,5.0,6.0,1.5
Grays Point,236,354,182,178,118,181,62,70,113,11.1,16.7,8.6,8.4,5.6,8.5,2.9,3.3,5.3
Green Point,496,466,312,371,333,180,125,127,130,10.0,9.4,6.3,7.5,6.7,3.6,2.5,2.6,2.6
Green Valley,824,475,709,409,408,214,636,691,164,10.1,5.8,8.7,5.0,5.0,2.6,7.8,8.4,2.0
Greenacre,"1,218",844,"1,068",695,757,339,589,769,266,7.9,5.4,6.9,4.5,4.9,2.2,3.8,5.0,1.7
Greenfield Park,368,259,336,190,195,117,253,288,78,8.9,6.2,8.1,4.6,4.7,2.8,6.1,6.9,1.9
Greenwich,361,"1,013",120,365,227,479,57,73,114,8.1,22.6,2.7,8.2,5.1,10.7,1.3,1.6,2.5
Greystanes,"2,330","1,510","1,597","1,179","1,015",687,797,"1,160",511,13.4,8.7,9.2,6.8,5.8,4.0,4.6,6.7,2.9
Guildford,703,470,530,410,418,161,406,479,157,8.6,5.7,6.5,5.0,5.1,2.0,4.9,5.8,1.9
Guildford West,336,178,261,159,204,81,150,226,64,10.6,5.6,8.2,5.0,6.4,2.6,4.7,7.1,2.0
Gwynneville,139,179,71,82,100,41,49,67,21,8.2,10.6,4.2,4.9,5.9,2.4,2.9,4.0,1.2
Gymea,678,539,454,424,312,240,175,209,184,12.7,10.1,8.5,8.0,5.9,4.5,3.3,3.9,3.5
Gymea Bay,561,742,442,399,301,365,128,129,253,11.4,15.0,9.0,8.1,6.1,7.4,2.6,2.6,5.1
Haberfield,508,854,317,385,265,327,130,128,154,9.2,15.4,5.7,7.0,4.8,5.9,2.3,2.3,2.8
Halekulani,133,64,138,63,92,21,105,84,19,7.2,3.4,7.4,3.4,4.9,1.1,5.6,4.5,1.0
Hamilton,285,526,145,220,198,92,116,94,36,8.2,15.1,4.2,6.3,5.7,2.6,3.3,2.7,1.0
Hamilton East,60,167,40,68,41,29,22,19,14,7.3,20.4,4.9,8.3,5.0,3.5,2.7,2.3,1.7
Hamilton North,43,85,54,38,37,19,28,24,9,6.1,12.0,7.6,5.4,5.2,2.7,4.0,3.4,1.3
Hamilton South,212,336,138,138,124,104,76,73,38,7.0,11.1,4.6,4.6,4.1,3.4,2.5,2.4,1.3
Hammondville,340,237,228,150,115,85,77,167,79,13.1,9.1,8.8,5.8,4.4,3.3,3.0,6.4,3.0
Harrington Park,350,217,195,220,119,158,70,123,98,16.7,10.4,9.3,10.5,5.7,7.5,3.3,5.9,4.7
Harris Park,511,530,300,310,306,191,293,292,87,9.1,9.4,5.3,5.5,5.4,3.4,5.2,5.2,1.5
Hassall Grove,414,186,268,161,188,64,191,326,64,14.2,6.4,9.2,5.5,6.4,2.2,6.6,11.2,2.2
Haymarket,269,297,57,191,198,141,77,36,47,5.9,6.5,1.2,4.2,4.3,3.1,1.7,0.8,1.0
Heathcote,552,539,473,351,273,205,155,218,179,12.1,11.8,10.3,7.7,6.0,4.5,3.4,4.8,3.9
Hebersham,389,139,296,136,246,57,283,400,31,9.0,3.2,6.9,3.2,5.7,1.3,6.6,9.3,0.7
Heckenberg,165,55,159,55,83,17,139,149,16,7.6,2.5,7.4,2.5,3.8,0.8,6.4,6.9,0.7
Henley,30,79,18,16,14,36,3,9,13,9.1,24.0,5.5,4.9,4.3,10.9,0.9,2.7,4.0
Highfields,47,52,32,38,28,24,21,10,4,9.5,10.5,6.5,7.7,5.7,4.9,4.3,2.0,0.8
Hillsborough,60,47,74,43,36,12,26,29,3,11.4,9.0,14.1,8.2,6.9,2.3,5.0,5.5,0.6
Hillsdale,486,279,294,215,366,67,359,367,94,10.5,6.0,6.3,4.6,7.9,1.4,7.7,7.9,2.0
Hinchinbrook,940,458,701,388,438,226,494,634,166,13.4,6.5,10.0,5.5,6.2,3.2,7.0,9.0,2.4
Holmesville,96,58,125,42,61,20,91,107,18,8.6,5.2,11.2,3.8,5.5,1.8,8.1,9.6,1.6
Holsworthy,273,221,422,167,98,97,75,132,51,13.2,10.7,20.5,8.1,4.8,4.7,3.6,6.4,2.5
Homebush,347,496,165,197,172,126,138,126,70,10.1,14.5,4.8,5.8,5.0,3.7,4.0,3.7,2.0
Homebush West,200,204,121,88,101,49,149,133,19,9.5,9.7,5.7,4.2,4.8,2.3,7.1,6.3,0.9
Horningsea Park,270,213,191,165,127,101,98,173,66,14.1,11.1,10.0,8.6,6.6,5.3,5.1,9.0,3.4
Hornsby,"1,672","2,537",893,"1,112",786,729,608,433,448,11.0,16.7,5.9,7.3,5.2,4.8,4.0,2.9,3.0
Hornsby Heights,554,818,364,429,293,346,153,111,185,12.1,17.9,8.0,9.4,6.4,7.6,3.3,2.4,4.0
Horsley,488,325,409,332,297,124,207,291,87,12.8,8.5,10.7,8.7,7.8,3.3,5.4,7.6,2.3
Hoxton Park,287,154,232,134,130,47,194,247,55,12.3,6.6,9.9,5.7,5.6,2.0,8.3,10.6,2.4
Hunters Hill,491,"1,148",168,479,210,677,105,68,166,6.9,16.2,2.4,6.8,3.0,9.6,1.5,1.0,2.3
Huntleys Point,9,35,3,14,12,21,3,,6,6.3,24.6,2.1,9.9,8.5,14.8,2.1,,4.2
Hurlstone Park,393,572,235,275,236,149,202,201,76,9.5,13.8,5.7,6.6,5.7,3.6,4.9,4.9,1.8
Hurstville,"1,562","1,700",903,"1,001",896,562,641,675,366,9.4,10.3,5.4,6.0,5.4,3.4,3.9,4.1,2.2
Hurstville Grove,177,237,133,142,89,84,69,60,64,9.9,13.3,7.5,8.0,5.0,4.7,3.9,3.4,3.6
Illawong,668,808,441,541,385,546,153,183,245,11.3,13.7,7.5,9.2,6.5,9.3,2.6,3.1,4.2
Ingleburn,"1,446",843,891,669,586,359,556,801,320,13.0,7.6,8.0,6.0,5.3,3.2,5.0,7.2,2.9
Ingleside,70,77,62,76,31,72,23,36,33,9.0,9.9,7.9,9.7,4.0,9.2,2.9,4.6,4.2
Islington,135,103,58,66,53,20,49,44,18,11.0,8.4,4.7,5.4,4.3,1.6,4.0,3.6,1.5
Jamisontown,531,268,371,317,306,130,216,307,106,13.6,6.8,9.5,8.1,7.8,3.3,5.5,7.8,2.7
Jannali,472,445,317,300,207,171,119,155,138,11.8,11.2,8.0,7.5,5.2,4.3,3.0,3.9,3.5
Jesmond,133,122,82,62,81,18,76,59,19,6.7,6.1,4.1,3.1,4.1,0.9,3.8,3.0,1.0
Jewells,244,196,182,144,166,87,87,114,67,11.7,9.4,8.7,6.9,8.0,4.2,4.2,5.5,3.2
Kahibah,177,190,146,119,114,33,64,73,43,9.1,9.8,7.5,6.1,5.9,1.7,3.3,3.8,2.2
Kanahooka,336,270,306,227,239,79,158,236,80,9.1,7.3,8.3,6.1,6.5,2.1,4.3,6.4,2.2
Kangaroo Point,57,77,28,39,32,55,,12,30,11.8,16.0,5.8,8.1,6.6,11.4,,2.5,6.2
Kanwal,211,136,222,142,177,71,147,135,48,7.7,5.0,8.1,5.2,6.4,2.6,5.4,4.9,1.7
Kareela,260,340,142,183,138,200,45,61,110,12.1,15.8,6.6,8.5,6.4,9.3,2.1,2.8,5.1
Kariong,501,395,369,351,235,218,168,230,129,12.5,9.8,9.2,8.7,5.9,5.4,4.2,5.7,3.2
Kearns,276,146,188,166,145,97,89,141,61,14.0,7.4,9.5,8.4,7.4,4.9,4.5,7.2,3.1
Keiraville,210,461,108,156,101,102,74,68,42,7.4,16.2,3.8,5.5,3.5,3.6,2.6,2.4,1.5
Kellyville,"1,262","1,454",764,971,575,892,285,346,424,13.0,15.0,7.9,10.0,5.9,9.2,2.9,3.6,4.4
Kembla Grange,13,9,16,,4,6,12,3,3,10.9,7.6,13.4,,3.4,5.0,10.1,2.5,2.5
Kensington,897,"1,407",318,670,509,445,270,225,205,9.5,14.9,3.4,7.1,5.4,4.7,2.9,2.4,2.2
Kilaben Bay,108,113,47,57,54,55,41,32,30,11.1,11.6,4.8,5.9,5.5,5.7,4.2,3.3,3.1
Killara,436,"1,322",100,450,263,651,62,32,170,6.9,21.1,1.6,7.2,4.2,10.4,1.0,0.5,2.7
Killarney Heights,329,566,118,249,141,310,55,43,139,10.2,17.5,3.6,7.7,4.4,9.6,1.7,1.3,4.3
Killarney Vale,426,254,422,271,317,94,303,263,80,7.6,4.6,7.6,4.9,5.7,1.7,5.4,4.7,1.4
Kincumber,438,352,359,294,295,137,201,189,93,8.5,6.8,7.0,5.7,5.7,2.7,3.9,3.7,1.8
Kincumber South,37,25,23,18,17,13,23,7,3,6.7,4.6,4.2,3.3,3.1,2.4,4.2,1.3,0.5
Kings Langley,"1,135","1,094",588,735,499,489,248,304,297,15.0,14.4,7.7,9.7,6.6,6.4,3.3,4.0,3.9
Kings Park,434,325,259,242,204,137,107,184,96,15.7,11.7,9.4,8.7,7.4,4.9,3.9,6.6,3.5
Kingsford,"1,091","1,578",530,793,688,431,357,324,252,8.9,12.9,4.3,6.5,5.6,3.5,2.9,2.6,2.1
Kingsgrove,770,815,593,487,456,270,390,394,209,8.5,9.0,6.6,5.4,5.0,3.0,4.3,4.4,2.3
Kingswood,739,451,474,390,462,124,384,428,99,10.9,6.7,7.0,5.8,6.8,1.8,5.7,6.3,1.5
Kirrawee,"1,005",968,634,631,467,389,262,311,310,12.9,12.4,8.1,8.1,6.0,5.0,3.4,4.0,4.0
Kirribilli,226,848,66,300,112,351,56,38,80,6.9,25.9,2.0,9.2,3.4,10.7,1.7,1.2,2.4
