,0-4 years,5-14 years,15-24 years,25-54 years,55-64 years,65 years and over,0-4 years (%),5-14 years (%),15-24 years (%),25-54 years (%),55-64 years (%),65 years and over (%)
Smithfield,689.0,1421.0,1465.0,4264.0,1071.0,1446.0,6.7,13.7,14.1,41.2,10.3,14.0
South Coogee,289.0,565.0,681.0,2078.0,495.0,863.0,5.8,11.4,13.7,41.8,10.0,17.4
South Granville,312.0,552.0,483.0,1292.0,269.0,375.0,9.5,16.8,14.7,39.4,8.2,11.4
South Hurstville,257.0,607.0,554.0,1852.0,389.0,637.0,6.0,14.1,12.9,43.1,9.0,14.8
South Penrith,820.0,1655.0,2016.0,5439.0,1221.0,905.0,6.8,13.7,16.7,45.1,10.1,7.5
South Turramurra,210.0,379.0,343.0,1143.0,392.0,398.0,7.3,13.2,12.0,39.9,13.7,13.9
South Wentworthville,374.0,684.0,701.0,2023.0,411.0,621.0,7.8,14.2,14.6,42.0,8.5,12.9
Speers Point,164.0,384.0,333.0,1229.0,341.0,587.0,5.4,12.7,11.0,40.6,11.3,19.4
Springfield,341.0,681.0,503.0,1748.0,319.0,328.0,8.7,17.4,12.8,44.6,8.1,8.4
Springwood,449.0,1155.0,1060.0,3203.0,671.0,1465.0,5.6,14.4,13.2,40.0,8.4,18.3
St Andrews,485.0,1239.0,1078.0,2895.0,315.0,234.0,7.8,19.8,17.3,46.3,5.0,3.7
St Clair,1654.0,4099.0,3658.0,9944.0,1010.0,749.0,7.8,19.4,17.3,47.1,4.8,3.5
St Helens Park,723.0,1120.0,827.0,2703.0,245.0,143.0,12.6,19.5,14.4,47.0,4.3,2.5
St Huberts Island,45.0,128.0,95.0,318.0,170.0,343.0,4.1,11.7,8.7,29.1,15.6,31.4
St Ives,748.0,2138.0,1885.0,5203.0,1667.0,2274.0,5.4,15.4,13.5,37.4,12.0,16.3
St Ives Chase,150.0,555.0,424.0,1200.0,414.0,317.0,4.9,18.1,13.9,39.2,13.5,10.4
St Johns Park,369.0,841.0,965.0,2559.0,497.0,529.0,6.4,14.6,16.8,44.4,8.6,9.2
St Leonards,169.0,137.0,408.0,1384.0,177.0,385.0,6.4,5.1,15.3,52.0,6.7,14.5
St Marys,673.0,1214.0,1297.0,3905.0,886.0,1234.0,7.3,13.2,14.1,42.4,9.6,13.4
St Peters,116.0,150.0,320.0,1253.0,194.0,247.0,5.1,6.6,14.1,55.1,8.5,10.9
Stanhope Gardens,282.0,301.0,314.0,1406.0,216.0,213.0,10.3,11.0,11.5,51.5,7.9,7.8
Stanmore,341.0,477.0,1084.0,3777.0,578.0,721.0,4.9,6.8,15.5,54.1,8.3,10.3
Stockton,189.0,541.0,451.0,1905.0,447.0,823.0,4.3,12.4,10.4,43.7,10.3,18.9
Strathfield,900.0,2512.0,3583.0,8538.0,1829.0,3204.0,4.4,12.2,17.4,41.5,8.9,15.6
Strathfield South,206.0,450.0,415.0,1355.0,273.0,342.0,6.8,14.8,13.6,44.5,9.0,11.2
Summer Hill,331.0,602.0,763.0,3416.0,429.0,718.0,5.3,9.6,12.2,54.6,6.9,11.5
Surry Hills,421.0,669.0,2136.0,8602.0,956.0,1389.0,3.0,4.7,15.1,60.7,6.7,9.8
Sutherland,546.0,749.0,1351.0,4476.0,658.0,1364.0,6.0,8.2,14.8,48.9,7.2,14.9
Swansea,250.0,543.0,418.0,1647.0,574.0,1237.0,5.4,11.6,8.9,35.3,12.3,26.5
Swansea Heads,40.0,74.0,88.0,253.0,77.0,69.0,6.6,12.3,14.6,42.0,12.8,11.5
Sydenham,37.0,97.0,154.0,519.0,91.0,108.0,3.7,9.7,15.4,52.1,9.1,10.8
Sydney,441.0,839.0,2716.0,8132.0,1375.0,1225.0,3.0,5.7,18.4,55.2,9.3,8.3
Sylvania,493.0,975.0,1050.0,3504.0,1228.0,1666.0,5.5,10.9,11.8,39.3,13.8,18.7
Sylvania Waters,195.0,410.0,447.0,1408.0,417.0,459.0,5.8,12.3,13.4,42.2,12.5,13.7
Tacoma,61.0,159.0,99.0,303.0,45.0,55.0,8.1,21.2,13.2,40.4,6.0,7.3
Tacoma South,19.0,45.0,32.0,127.0,19.0,30.0,6.1,14.6,10.4,41.1,6.1,9.7
Tamarama,73.0,110.0,158.0,906.0,106.0,109.0,5.0,7.6,10.9,62.4,7.3,7.5
Taren Point,58.0,118.0,128.0,439.0,180.0,187.0,5.2,10.6,11.6,39.6,16.2,16.9
Tarrawanna,94.0,217.0,160.0,537.0,125.0,291.0,6.6,15.3,11.3,37.9,8.8,20.5
Tascott,115.0,207.0,204.0,757.0,184.0,191.0,6.9,12.5,12.3,45.6,11.1,11.5
Tempe,198.0,356.0,429.0,1650.0,314.0,378.0,5.9,10.7,12.9,49.6,9.4,11.4
Teralba,83.0,213.0,182.0,567.0,133.0,261.0,5.8,14.8,12.7,39.5,9.3,18.2
Terrey Hills,188.0,447.0,382.0,1224.0,368.0,285.0,6.5,15.4,13.2,42.3,12.7,9.8
Terrigal,534.0,1304.0,1210.0,3925.0,1035.0,1406.0,5.7,13.9,12.9,41.7,11.0,14.9
The Entrance,146.0,271.0,271.0,940.0,358.0,768.0,5.3,9.8,9.8,34.1,13.0,27.9
The Entrance North,53.0,103.0,125.0,402.0,162.0,217.0,5.0,9.8,11.8,38.1,15.3,20.5
The Hill,64.0,130.0,489.0,874.0,149.0,215.0,3.3,6.8,25.4,45.4,7.7,11.2
The Junction,67.0,116.0,251.0,519.0,104.0,203.0,5.3,9.2,19.9,41.1,8.2,16.1
Thirroul,338.0,769.0,704.0,2510.0,499.0,758.0,6.1,13.8,12.6,45.0,8.9,13.6
