,Couple family without children,Couple family with children,One parent family,Other family,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),SSC_CODE
Lambs Valley (Singleton - NSW),37.0,53.0,9.0,0.0,37.4,53.5,9.1,0.0,12263
Stanhope (NSW),13.0,24.0,3.0,0.0,32.5,60.0,7.5,0.0,13648
Glendon Brook,26.0,40.0,12.0,0.0,33.3,51.3,15.4,0.0,11661
Maitland (NSW),179.0,138.0,110.0,9.0,41.1,31.7,25.2,2.1,12449
South Maitland,38.0,34.0,35.0,5.0,33.9,30.4,31.2,4.5,13591
Gillieston Heights,302.0,416.0,144.0,9.0,34.7,47.8,16.5,1.0,11624
Louth Park,48.0,117.0,8.0,0.0,27.7,67.6,4.6,0.0,12395
Horseshoe Bend,35.0,32.0,33.0,0.0,35.0,32.0,33.0,0.0,11939
Oakhampton,19.0,14.0,5.0,0.0,50.0,36.8,13.2,0.0,13056
East Maitland,1251.0,1212.0,592.0,76.0,40.0,38.7,18.9,2.4,11360
Metford,430.0,541.0,319.0,21.0,32.8,41.3,24.3,1.6,12592
Tenambit,321.0,308.0,190.0,12.0,38.6,37.1,22.9,1.4,13787
Raworth,162.0,258.0,72.0,5.0,32.6,51.9,14.5,1.0,13325
Morpeth,190.0,141.0,59.0,9.0,47.6,35.3,14.8,2.3,12727
Ashtonfield,411.0,700.0,176.0,9.0,31.7,54.0,13.6,0.7,10102
Chisholm (NSW),167.0,245.0,25.0,0.0,38.2,56.1,5.7,0.0,10909
Largs,190.0,264.0,72.0,0.0,36.1,50.2,13.7,0.0,12278
Bolwarra Heights,285.0,465.0,89.0,4.0,33.8,55.2,10.6,0.5,10451
Lorn,145.0,174.0,53.0,0.0,39.0,46.8,14.2,0.0,12389
Bolwarra (NSW),128.0,128.0,32.0,0.0,44.4,44.4,11.1,0.0,10450
Woodville (NSW),42.0,63.0,18.0,0.0,34.1,51.2,14.6,0.0,14398
Maitland Vale,12.0,19.0,3.0,0.0,35.3,55.9,8.8,0.0,12451
Rutherford,1085.0,1291.0,712.0,46.0,34.6,41.2,22.7,1.5,13449
Aberglasslyn,469.0,789.0,236.0,20.0,31.0,52.1,15.6,1.3,10009
Luskintyre,25.0,28.0,3.0,0.0,44.6,50.0,5.4,0.0,12423
Lochinvar,89.0,97.0,38.0,3.0,39.2,42.7,16.7,1.3,12368
Windella,75.0,128.0,9.0,0.0,35.4,60.4,4.2,0.0,14317
Telarah,217.0,225.0,173.0,24.0,34.0,35.2,27.1,3.8,13780
Farley,26.0,34.0,7.0,0.0,38.8,50.7,10.4,0.0,11490
Bishops Bridge,29.0,31.0,5.0,0.0,44.6,47.7,7.7,0.0,10380
Thornton (NSW),776.0,1202.0,345.0,27.0,33.0,51.1,14.7,1.1,13851
Millers Forest,50.0,44.0,10.0,0.0,48.1,42.3,9.6,0.0,12618
Berry Park,11.0,16.0,3.0,0.0,36.7,53.3,10.0,0.0,10325
Anna Bay,414.0,390.0,176.0,8.0,41.9,39.5,17.8,0.8,10060
Boat Harbour (Port Stephens - NSW),115.0,132.0,40.0,0.0,40.1,46.0,13.9,0.0,10425
Bobs Farm,51.0,46.0,22.0,0.0,42.9,38.7,18.5,0.0,10429
One Mile (NSW),36.0,54.0,6.0,0.0,37.5,56.2,6.2,0.0,13085
Lemon Tree Passage,390.0,216.0,126.0,7.0,52.8,29.2,17.1,0.9,12300
Mallabula,107.0,88.0,50.0,5.0,42.8,35.2,20.0,2.0,12455
Tanilba Bay,401.0,306.0,153.0,16.0,45.8,34.9,17.5,1.8,13748
Salamander Bay,658.0,432.0,210.0,15.0,50.0,32.9,16.0,1.1,13463
Soldiers Point,245.0,119.0,53.0,4.0,58.2,28.3,12.6,1.0,13570
Corlette,802.0,584.0,180.0,9.0,50.9,37.1,11.4,0.6,11075
Nelson Bay (NSW),805.0,498.0,273.0,19.0,50.5,31.2,17.1,1.2,12923
Fingal Bay,269.0,105.0,49.0,3.0,63.1,24.6,11.5,0.7,11518
Shoal Bay (NSW),216.0,115.0,69.0,4.0,53.5,28.5,17.1,1.0,13539
Raymond Terrace,1091.0,1298.0,907.0,49.0,32.6,38.8,27.1,1.5,13327
Tomago,26.0,13.0,15.0,0.0,48.1,24.1,27.8,0.0,13889
Heatherbrae,79.0,23.0,22.0,3.0,62.2,18.1,17.3,2.4,11884
Eagleton,35.0,22.0,7.0,0.0,54.7,34.4,10.9,0.0,11342
Duns Creek,56.0,87.0,16.0,0.0,35.2,54.7,10.1,0.0,11326
Seaham,107.0,153.0,29.0,3.0,36.6,52.4,9.9,1.0,13510
Wallalong,82.0,166.0,27.0,3.0,29.5,59.7,9.7,1.1,14104
Brandy Hill,90.0,95.0,16.0,0.0,44.8,47.3,8.0,0.0,10548
Hinton,56.0,62.0,11.0,0.0,43.4,48.1,8.5,0.0,11916
Butterwick,18.0,25.0,3.0,0.0,39.1,54.3,6.5,0.0,10725
East Seaham,37.0,41.0,11.0,0.0,41.6,46.1,12.4,0.0,11362
Nelsons Plains,40.0,49.0,9.0,3.0,39.6,48.5,8.9,3.0,12924
Osterley (NSW),15.0,21.0,0.0,0.0,41.7,58.3,0.0,0.0,13099
Tea Gardens,680.0,162.0,61.0,8.0,74.6,17.8,6.7,0.9,13779
North Arm Cove,86.0,34.0,11.0,0.0,65.6,26.0,8.4,0.0,12979
Bundabah,19.0,7.0,5.0,0.0,61.3,22.6,16.1,0.0,10668
Pindimar,65.0,29.0,6.0,0.0,65.0,29.0,6.0,0.0,13211
Hawks Nest,177.0,75.0,66.0,10.0,54.0,22.9,20.1,3.0,11873
Karuah,203.0,110.0,62.0,3.0,53.7,29.1,16.4,0.8,12076
Medowie,927.0,1338.0,358.0,20.0,35.1,50.6,13.5,0.8,12554
Salt Ash,134.0,134.0,50.0,0.0,42.1,42.1,15.7,0.0,13467
Williamtown,80.0,54.0,20.0,3.0,51.0,34.4,12.7,1.9,14299
Twelve Mile Creek,20.0,7.0,10.0,0.0,54.1,18.9,27.0,0.0,13988
Swan Bay (Port Stephens - NSW),41.0,38.0,11.0,0.0,45.6,42.2,12.2,0.0,13704
Muswellbrook,1081.0,1275.0,654.0,36.0,35.5,41.9,21.5,1.2,12868
Denman,199.0,188.0,89.0,0.0,41.8,39.5,18.7,0.0,11241
Gungal,32.0,30.0,10.0,0.0,44.4,41.7,13.9,0.0,11810
Martindale,27.0,18.0,4.0,0.0,55.1,36.7,8.2,0.0,12510
Castle Rock,19.0,17.0,5.0,0.0,46.3,41.5,12.2,0.0,10848
Aberdeen (NSW),218.0,241.0,84.0,9.0,39.5,43.7,15.2,1.6,10007
Wybong,14.0,19.0,3.0,0.0,38.9,52.8,8.3,0.0,14436
Sandy Hollow,17.0,16.0,8.0,0.0,41.5,39.0,19.5,0.0,13486
Muscle Creek,23.0,54.0,4.0,4.0,27.1,63.5,4.7,4.7,12867
McCullys Gap,26.0,44.0,3.0,0.0,35.6,60.3,4.1,0.0,12540
Scone,567.0,617.0,220.0,12.0,40.0,43.6,15.5,0.8,13503
Middle Brook,29.0,29.0,5.0,0.0,46.0,46.0,7.9,0.0,12600
Dartbrook,12.0,7.0,4.0,0.0,52.2,30.4,17.4,0.0,11217
Segenhoe,21.0,28.0,6.0,0.0,38.2,50.9,10.9,0.0,13517
Rouchel,24.0,17.0,0.0,0.0,58.5,41.5,0.0,0.0,13422
Murrurundi,121.0,91.0,48.0,0.0,46.5,35.0,18.5,0.0,12864
Blandford,35.0,17.0,9.0,0.0,57.4,27.9,14.8,0.0,10406
Wingen,30.0,32.0,9.0,0.0,42.3,45.1,12.7,0.0,14331
Parkville (NSW),30.0,44.0,9.0,0.0,36.1,53.0,10.8,0.0,13154
Upper Dartbrook,25.0,19.0,3.0,0.0,53.2,40.4,6.4,0.0,14022
Gundy,17.0,26.0,4.0,0.0,36.2,55.3,8.5,0.0,11809
Moonan Flat,16.0,13.0,3.0,0.0,50.0,40.6,9.4,0.0,12697
Niangala,26.0,9.0,3.0,0.0,68.4,23.7,7.9,0.0,12962
Merriwa (NSW),191.0,171.0,77.0,9.0,42.6,38.2,17.2,2.0,12585
Moobi,19.0,13.0,5.0,0.0,51.4,35.1,13.5,0.0,12688
Dapto,1084.0,1291.0,579.0,48.0,36.1,43.0,19.3,1.6,11202
Kanahooka,687.0,641.0,230.0,10.0,43.8,40.9,14.7,0.6,12055
Koonawarra,315.0,378.0,320.0,22.0,30.4,36.5,30.9,2.1,12187
Avondale (NSW),187.0,190.0,87.0,0.0,40.3,40.9,18.8,0.0,10116
Marshall Mount,13.0,22.0,0.0,0.0,37.1,62.9,0.0,0.0,12507
Haywards Bay,101.0,170.0,16.0,0.0,35.2,59.2,5.6,0.0,11880
Brownsville,64.0,38.0,41.0,4.0,43.5,25.9,27.9,2.7,10612
Horsley,689.0,1250.0,350.0,15.0,29.9,54.3,15.2,0.7,11942
Wongawilli,8.0,21.0,3.0,3.0,22.9,60.0,8.6,8.6,14374
Kembla Grange,30.0,35.0,11.0,0.0,39.5,46.1,14.5,0.0,12092
Dombarton,22.0,25.0,3.0,0.0,44.0,50.0,6.0,0.0,11270
Port Kembla,452.0,513.0,321.0,23.0,34.5,39.2,24.5,1.8,13245
Coniston,201.0,230.0,121.0,13.0,35.6,40.7,21.4,2.3,11010
Unanderra,487.0,552.0,308.0,38.0,35.2,39.9,22.2,2.7,14008
Mount Kembla,87.0,171.0,23.0,0.0,31.0,60.9,8.2,0.0,12769
Kembla Heights,4.0,11.0,15.0,0.0,13.3,36.7,50.0,0.0,12093
Cordeaux Heights,406.0,771.0,122.0,15.0,30.9,58.7,9.3,1.1,11070
Farmborough Heights,407.0,618.0,136.0,12.0,34.7,52.7,11.6,1.0,11491
Berkeley,657.0,827.0,522.0,38.0,32.1,40.5,25.5,1.9,10303
Cringila,123.0,262.0,159.0,13.0,22.1,47.0,28.5,2.3,11116
Lake Heights,376.0,433.0,211.0,19.0,36.2,41.7,20.3,1.8,12248
Warrawong,359.0,415.0,380.0,23.0,30.5,35.3,32.3,2.0,14167
Windang,337.0,239.0,111.0,18.0,47.8,33.9,15.7,2.6,14316
Primbee,158.0,180.0,89.0,12.0,36.0,41.0,20.3,2.7,13264
Mount Keira,160.0,240.0,51.0,7.0,34.9,52.4,11.1,1.5,12768
Bulli,501.0,878.0,228.0,18.0,30.8,54.0,14.0,1.1,10662
Bargo,472.0,565.0,165.0,8.0,39.0,46.7,13.6,0.7,10198
