,Couple family without children,Couple family with children,One parent family,Other family,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),SSC_CODE
Dorroughby,19.0,12.0,8.0,0.0,48.7,30.8,20.5,0.0,11280
Numulgi,26.0,19.0,7.0,0.0,50.0,36.5,13.5,0.0,13041
Fingal Head,56.0,55.0,29.0,3.0,39.2,38.5,20.3,2.1,11519
Casuarina (NSW),248.0,390.0,80.0,3.0,34.4,54.1,11.1,0.4,10851
Kingscliff,882.0,739.0,327.0,29.0,44.6,37.4,16.5,1.5,12154
Chinderah,224.0,79.0,65.0,12.0,58.9,20.8,17.1,3.2,10905
Cudgen,81.0,109.0,44.0,3.0,34.2,46.0,18.6,1.3,11143
Murwillumbah,699.0,664.0,409.0,28.0,38.8,36.9,22.7,1.6,12866
South Murwillumbah,93.0,92.0,78.0,0.0,35.4,35.0,29.7,0.0,13593
Bray Park (NSW),71.0,68.0,68.0,4.0,33.6,32.2,32.2,1.9,10552
Smiths Creek (Tweed - NSW),33.0,31.0,9.0,0.0,45.2,42.5,12.3,0.0,13562
Mount Burrell,20.0,13.0,12.0,0.0,44.4,28.9,26.7,0.0,12749
Pumpenbil,25.0,11.0,11.0,0.0,53.2,23.4,23.4,0.0,13272
Tumbulgum,48.0,41.0,18.0,3.0,43.6,37.3,16.4,2.7,13964
Limpinwood,32.0,23.0,6.0,0.0,52.5,37.7,9.8,0.0,12333
Tyalgum,53.0,45.0,35.0,0.0,39.8,33.8,26.3,0.0,13994
Dum Dum,24.0,11.0,5.0,0.0,60.0,27.5,12.5,0.0,11304
Eungella (NSW),31.0,30.0,13.0,3.0,40.3,39.0,16.9,3.9,11460
Crystal Creek (NSW),31.0,30.0,7.0,0.0,45.6,44.1,10.3,0.0,11138
Chillingham,29.0,21.0,9.0,0.0,49.2,35.6,15.3,0.0,10904
Stokers Siding,81.0,65.0,29.0,4.0,45.3,36.3,16.2,2.2,13664
Numinbah,12.0,8.0,8.0,0.0,42.9,28.6,28.6,0.0,13040
Upper Crystal Creek,29.0,21.0,11.0,0.0,47.5,34.4,18.0,0.0,14021
Nobbys Creek,34.0,32.0,12.0,0.0,43.6,41.0,15.4,0.0,12968
Dungay,26.0,29.0,9.0,0.0,40.6,45.3,14.1,0.0,11318
Kynnumboon,27.0,12.0,3.0,0.0,64.3,28.6,7.1,0.0,12228
Dunbible,52.0,44.0,11.0,0.0,48.6,41.1,10.3,0.0,11309
Fernvale (NSW),29.0,30.0,15.0,0.0,39.2,40.5,20.3,0.0,11511
Kielvale,34.0,38.0,9.0,3.0,40.5,45.2,10.7,3.6,12122
Reserve Creek,16.0,14.0,8.0,0.0,42.1,36.8,21.1,0.0,13353
Tygalgah,14.0,8.0,4.0,0.0,53.8,30.8,15.4,0.0,13996
Dulguigan,15.0,17.0,10.0,0.0,35.7,40.5,23.8,0.0,11302
Urliup,28.0,22.0,8.0,0.0,48.3,37.9,13.8,0.0,14060
Eviron,26.0,17.0,14.0,0.0,45.6,29.8,24.6,0.0,11472
Duranbah,25.0,24.0,7.0,3.0,42.4,40.7,11.9,5.1,11331
Condong,40.0,34.0,14.0,0.0,45.5,38.6,15.9,0.0,11003
Farrants Hill,22.0,7.0,7.0,0.0,61.1,19.4,19.4,0.0,11493
Clothiers Creek,31.0,32.0,10.0,0.0,42.5,43.8,13.7,0.0,10936
Nunderi,75.0,90.0,17.0,0.0,41.2,49.5,9.3,0.0,13042
Uki,71.0,65.0,36.0,3.0,40.6,37.1,20.6,1.7,14000
Bogangar,304.0,341.0,173.0,9.0,36.8,41.2,20.9,1.1,10439
Mooball,15.0,26.0,11.0,0.0,28.8,50.0,21.2,0.0,12687
Cabarita Beach,9.0,3.0,16.0,0.0,32.1,10.7,57.1,0.0,10737
Pottsville,758.0,832.0,270.0,14.0,40.4,44.4,14.4,0.7,13257
Crabbes Creek,25.0,34.0,11.0,5.0,33.3,45.3,14.7,6.7,11102
Upper Burringbar,30.0,18.0,12.0,3.0,47.6,28.6,19.0,4.8,14015
Burringbar,80.0,95.0,44.0,4.0,35.9,42.6,19.7,1.8,10713
Hastings Point,141.0,28.0,20.0,0.0,74.6,14.8,10.6,0.0,11868
Round Mountain,17.0,23.0,4.0,0.0,38.6,52.3,9.1,0.0,13425
Cudgera Creek,37.0,40.0,16.0,0.0,39.8,43.0,17.2,0.0,11144
Tweed Heads,1135.0,537.0,376.0,39.0,54.4,25.7,18.0,1.9,13984
Tweed Heads West,674.0,446.0,417.0,29.0,43.0,28.5,26.6,1.9,13986
Piggabeen,35.0,43.0,12.0,0.0,38.9,47.8,13.3,0.0,13202
Bilambil Heights,387.0,382.0,157.0,5.0,41.6,41.0,16.9,0.5,10348
Cobaki,18.0,28.0,8.0,3.0,31.6,49.1,14.0,5.3,10947
Bilambil,41.0,53.0,19.0,0.0,36.3,46.9,16.8,0.0,10347
Carool,18.0,23.0,5.0,0.0,39.1,50.0,10.9,0.0,10822
Glengarrie,15.0,8.0,0.0,0.0,65.2,34.8,0.0,0.0,11666
Banora Point,2102.0,1540.0,800.0,60.0,46.7,34.2,17.8,1.3,10185
Terranora,310.0,435.0,79.0,5.0,37.4,52.5,9.5,0.6,13802
North Tumbulgum,25.0,31.0,5.0,0.0,41.0,50.8,8.2,0.0,13012
Tweed Heads South,934.0,536.0,442.0,30.0,48.1,27.6,22.8,1.5,13985
Griffith (NSW),1637.0,2015.0,714.0,78.0,36.8,45.3,16.1,1.8,11782
Yoogali,112.0,156.0,37.0,0.0,36.7,51.1,12.1,0.0,14516
Bilbul,53.0,71.0,12.0,3.0,38.1,51.1,8.6,2.2,10349
Yenda (NSW),161.0,184.0,52.0,8.0,39.8,45.4,12.8,2.0,14504
Beelbangera,47.0,50.0,23.0,0.0,39.2,41.7,19.2,0.0,10251
Myall Park (NSW),13.0,28.0,8.0,0.0,26.5,57.1,16.3,0.0,12873
Binya,13.0,17.0,0.0,0.0,43.3,56.7,0.0,0.0,10373
Hillston,156.0,141.0,52.0,4.0,44.2,39.9,14.7,1.1,11912
Rankins Springs,27.0,14.0,3.0,0.0,61.4,31.8,6.8,0.0,13316
Whitton,51.0,48.0,19.0,3.0,42.1,39.7,15.7,2.5,14280
Tharbogang,41.0,68.0,10.0,4.0,33.3,55.3,8.1,3.3,13811
Hanwood,125.0,146.0,39.0,4.0,39.8,46.5,12.4,1.3,11850
Coleambally,128.0,145.0,39.0,5.0,40.4,45.7,12.3,1.6,10964
Darlington Point,117.0,119.0,64.0,14.0,37.3,37.9,20.4,4.5,11215
Carrathool,23.0,27.0,6.0,0.0,41.1,48.2,10.7,0.0,10827
Goolgowi,42.0,41.0,19.0,4.0,39.6,38.7,17.9,3.8,11705
Merriwagga,12.0,17.0,4.0,0.0,36.4,51.5,12.1,0.0,12586
Nericon,35.0,32.0,8.0,3.0,44.9,41.0,10.3,3.8,12927
Lake Wyangan,87.0,138.0,22.0,0.0,35.2,55.9,8.9,0.0,12255
Murrami,19.0,33.0,8.0,0.0,31.7,55.0,13.3,0.0,12850
Stanbridge,25.0,15.0,9.0,0.0,51.0,30.6,18.4,0.0,13646
Leeton,894.0,901.0,352.0,31.0,41.0,41.4,16.2,1.4,12293
Yanco,63.0,59.0,33.0,0.0,40.6,38.1,21.3,0.0,14460
Corbie Hill,29.0,26.0,10.0,0.0,44.6,40.0,15.4,0.0,11068
Merungle Hill,36.0,26.0,10.0,0.0,50.0,36.1,13.9,0.0,12590
Narrandera,455.0,380.0,208.0,13.0,43.1,36.0,19.7,1.2,12906
Grong Grong,27.0,20.0,7.0,0.0,50.0,37.0,13.0,0.0,11784
Boree Creek,28.0,20.0,8.0,0.0,50.0,35.7,14.3,0.0,10512
Gillenbah,14.0,10.0,0.0,0.0,58.3,41.7,0.0,0.0,11622
Tumbarumba,246.0,165.0,72.0,6.0,50.3,33.7,14.7,1.2,13961
Khancoban,46.0,22.0,10.0,0.0,59.0,28.2,12.8,0.0,12111
Rosewood (Snowy Valleys - NSW),24.0,22.0,13.0,0.0,40.7,37.3,22.0,0.0,13415
Humula,11.0,14.0,4.0,0.0,37.9,48.3,13.8,0.0,11952
Tumut,687.0,589.0,306.0,26.0,42.7,36.6,19.0,1.6,13966
Gilmore (NSW),28.0,26.0,4.0,0.0,48.3,44.8,6.9,0.0,11626
Batlow,183.0,96.0,54.0,3.0,54.5,28.6,16.1,0.9,10232
Talbingo,38.0,15.0,4.0,0.0,66.7,26.3,7.0,0.0,13730
Gocup,15.0,17.0,6.0,0.0,39.5,44.7,15.8,0.0,11690
Bombowlee,42.0,36.0,5.0,0.0,50.6,43.4,6.0,0.0,10459
Lacmalac,22.0,15.0,0.0,0.0,59.5,40.5,0.0,0.0,12231
Mundongo,37.0,27.0,5.0,0.0,53.6,39.1,7.2,0.0,12840
Adelong,113.0,99.0,36.0,3.0,45.0,39.4,14.3,1.2,10018
Cootamundra,939.0,583.0,271.0,24.0,51.7,32.1,14.9,1.3,11053
Stockinbingal,47.0,34.0,16.0,0.0,48.5,35.1,16.5,0.0,13660
Wallendbeen,34.0,29.0,11.0,3.0,44.2,37.7,14.3,3.9,14113
Gundagai,206.0,152.0,68.0,9.0,47.4,34.9,15.6,2.1,11803
South Gundagai,89.0,83.0,50.0,10.0,38.4,35.8,21.6,4.3,13584
Tumblong,19.0,25.0,4.0,0.0,39.6,52.1,8.3,0.0,13963
Nangus,23.0,25.0,9.0,3.0,38.3,41.7,15.0,5.0,12890
Coolac,18.0,22.0,4.0,0.0,40.9,50.0,9.1,0.0,11022
Junee,391.0,379.0,208.0,18.0,39.3,38.1,20.9,1.8,12046
Harefield,18.0,23.0,8.0,0.0,36.7,46.9,16.3,0.0,11853
Old Junee,36.0,29.0,9.0,0.0,48.6,39.2,12.2,0.0,13078
Illabo,17.0,18.0,8.0,0.0,39.5,41.9,18.6,0.0,11972
Bethungra,20.0,21.0,8.0,0.0,40.8,42.9,16.3,0.0,10328
Wantabadgery,21.0,20.0,7.0,0.0,43.8,41.7,14.6,0.0,14136
Temora,567.0,455.0,213.0,9.0,45.6,36.6,17.1,0.7,13784
Lake Albert (NSW),755.0,758.0,216.0,21.0,43.1,43.3,12.3,1.2,12238
East Wagga Wagga,25.0,18.0,17.0,0.0,41.7,30.0,28.3,0.0,11364
Kooringal (NSW),763.0,715.0,399.0,36.0,39.9,37.4,20.9,1.9,12193
Gumly Gumly,34.0,34.0,11.0,0.0,43.0,43.0,13.9,0.0,11800
Tatton,212.0,374.0,68.0,4.0,32.2,56.8,10.3,0.6,13775
Estella,203.0,262.0,64.0,3.0,38.2,49.2,12.0,0.6,11444
Boorooma,68.0,116.0,15.0,3.0,33.7,57.4,7.4,1.5,10501
North Wagga Wagga,62.0,79.0,31.0,0.0,36.0,45.9,18.0,0.0,13014
Cartwrights Hill,28.0,26.0,6.0,0.0,46.7,43.3,10.0,0.0,10839
Springvale (Wagga Wagga - NSW),142.0,294.0,23.0,3.0,30.7,63.6,5.0,0.6,13628
Lloyd,84.0,122.0,23.0,0.0,36.7,53.3,10.0,0.0,12365
Bourkelands,300.0,402.0,81.0,3.0,38.2,51.1,10.3,0.4,10523
Glenfield Park,514.0,606.0,276.0,25.0,36.2,42.6,19.4,1.8,11665
Tolland,316.0,308.0,213.0,19.0,36.9,36.0,24.9,2.2,13887
Mount Austin,345.0,312.0,289.0,20.0,35.7,32.3,29.9,2.1,12748
Turvey Park,311.0,389.0,162.0,12.0,35.6,44.5,18.5,1.4,13983
San Isidore,48.0,46.0,9.0,0.0,46.6,44.7,8.7,0.0,13469
Ashmont,300.0,271.0,350.0,27.0,31.6,28.6,36.9,2.8,10101
Wagga Wagga,758.0,487.0,250.0,45.0,49.2,31.6,16.2,2.9,14083
Kapooka,16.0,27.0,0.0,0.0,37.2,62.8,0.0,0.0,12068
Moorong,9.0,30.0,3.0,0.0,21.4,71.4,7.1,0.0,12715
Ladysmith,49.0,35.0,10.0,0.0,52.1,37.2,10.6,0.0,12233
The Rock,131.0,141.0,43.0,3.0,41.2,44.3,13.5,0.9,13838
Forest Hill (NSW),176.0,250.0,107.0,10.0,32.4,46.0,19.7,1.8,11544
Collingullie,21.0,23.0,14.0,0.0,36.2,39.7,24.1,0.0,10976
Lockhart,128.0,101.0,43.0,3.0,46.5,36.7,15.6,1.1,12369
Pleasant Hills,16.0,15.0,4.0,0.0,45.7,42.9,11.4,0.0,13228
Ganmain,92.0,79.0,21.0,4.0,46.9,40.3,10.7,2.0,11585
Matong,21.0,14.0,4.0,0.0,53.8,35.9,10.3,0.0,12523
Yerong Creek,38.0,34.0,13.0,0.0,44.7,40.0,15.3,0.0,14508
Uranquinty,94.0,120.0,38.0,0.0,37.3,47.6,15.1,0.0,14055
Eunanoreenya,20.0,22.0,0.0,0.0,47.6,52.4,0.0,0.0,11457
Gobbagombalin,62.0,67.0,8.0,0.0,45.3,48.9,5.8,0.0,11689
Brucedale,21.0,23.0,6.0,0.0,42.0,46.0,12.0,0.0,10613
Downside,20.0,16.0,0.0,0.0,55.6,44.4,0.0,0.0,11285
Euberta,11.0,22.0,0.0,0.0,33.3,66.7,0.0,0.0,11451
Marrar,41.0,53.0,6.0,4.0,39.4,51.0,5.8,3.8,12503
Coolamon,242.0,235.0,78.0,9.0,42.9,41.7,13.8,1.6,11025
Tarcutta,47.0,42.0,15.0,3.0,43.9,39.3,14.0,2.8,13763
Gregadoo,32.0,35.0,3.0,0.0,45.7,50.0,4.3,0.0,11773
Mangoplah,28.0,38.0,12.0,0.0,35.9,48.7,15.4,0.0,12470
Gelston Park,23.0,14.0,0.0,0.0,62.2,37.8,0.0,0.0,11597
Berry,422.0,253.0,63.0,3.0,57.0,34.1,8.5,0.4,10322
Kangaroo Valley,138.0,79.0,24.0,0.0,57.3,32.8,10.0,0.0,12061
Upper Kangaroo River,22.0,8.0,0.0,0.0,73.3,26.7,0.0,0.0,14030
Broughton Vale,38.0,11.0,0.0,0.0,77.6,22.4,0.0,0.0,10606
Bellawongarah,19.0,15.0,5.0,0.0,48.7,38.5,12.8,0.0,10267
Beaumont (NSW),23.0,10.0,4.0,0.0,62.2,27.0,10.8,0.0,10242
Far Meadow,33.0,26.0,4.0,0.0,52.4,41.3,6.3,0.0,11488
Coolangatta (NSW),41.0,42.0,6.0,0.0,46.1,47.2,6.7,0.0,11026
Jaspers Brush,58.0,37.0,17.0,0.0,51.8,33.0,15.2,0.0,12002
Shoalhaven Heads,470.0,244.0,111.0,10.0,56.3,29.2,13.3,1.2,13540
Callala Bay,312.0,230.0,93.0,3.0,48.9,36.1,14.6,0.5,10757
Callala Beach,110.0,61.0,30.0,4.0,53.7,29.8,14.6,2.0,10758
Currarong,69.0,27.0,28.0,0.0,55.6,21.8,22.6,0.0,11176
Myola (NSW),20.0,4.0,0.0,0.0,83.3,16.7,0.0,0.0,12878
Orient Point,79.0,38.0,29.0,11.0,50.3,24.2,18.5,7.0,13096
Culburra Beach,394.0,240.0,133.0,7.0,50.9,31.0,17.2,0.9,11146
Greenwell Point,223.0,89.0,44.0,3.0,62.1,24.8,12.3,0.8,11769
Numbaa,14.0,10.0,3.0,0.0,51.9,37.0,11.1,0.0,13035
Huskisson,120.0,45.0,31.0,0.0,61.2,23.0,15.8,0.0,11966
Vincentia,525.0,310.0,108.0,10.0,55.1,32.5,11.3,1.0,14075
Hyams Beach,31.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11967
Bomaderry,800.0,558.0,359.0,33.0,45.7,31.9,20.5,1.9,10453
Cambewarra,30.0,23.0,6.0,0.0,50.8,39.0,10.2,0.0,10763
North Nowra,596.0,607.0,303.0,19.0,39.1,39.8,19.9,1.2,13000
Bangalee (NSW),93.0,87.0,19.0,3.0,46.0,43.1,9.4,1.5,10173
Meroo Meadow,60.0,63.0,17.0,0.0,42.9,45.0,12.1,0.0,12579
Cambewarra Village,116.0,185.0,38.0,0.0,34.2,54.6,11.2,0.0,10764
Tapitallee,91.0,75.0,13.0,3.0,50.0,41.2,7.1,1.6,13755
Worrigee,492.0,605.0,256.0,10.0,36.1,44.4,18.8,0.7,14423
Nowra,846.0,657.0,637.0,53.0,38.6,30.0,29.0,2.4,13028
Nowra Hill,130.0,159.0,42.0,4.0,38.8,47.5,12.5,1.2,13029
West Nowra,124.0,158.0,96.0,3.0,32.5,41.5,25.2,0.8,14248
Terara,38.0,13.0,13.0,0.0,59.4,20.3,20.3,0.0,13795
South Nowra,192.0,214.0,85.0,8.0,38.5,42.9,17.0,1.6,13594
St Georges Basin,402.0,286.0,119.0,3.0,49.6,35.3,14.7,0.4,13636
Worrowing Heights,113.0,8.0,4.0,0.0,90.4,6.4,3.2,0.0,14424
Basin View,178.0,144.0,73.0,3.0,44.7,36.2,18.3,0.8,10223
Sanctuary Point,957.0,575.0,445.0,26.0,47.8,28.7,22.2,1.3,13472
Erowal Bay,99.0,50.0,23.0,3.0,56.6,28.6,13.1,1.7,11436
Old Erowal Bay,98.0,109.0,72.0,0.0,35.1,39.1,25.8,0.0,13075
Sussex Inlet,626.0,220.0,145.0,14.0,62.3,21.9,14.4,1.4,13700
Swanhaven,36.0,12.0,4.0,0.0,69.2,23.1,7.7,0.0,13709
Berrara,41.0,30.0,15.0,0.0,47.7,34.9,17.4,0.0,10313
Cudmirrah,48.0,23.0,8.0,0.0,60.8,29.1,10.1,0.0,11145
Falls Creek (NSW),138.0,100.0,32.0,0.0,51.1,37.0,11.9,0.0,11487
Tomerong,148.0,118.0,37.0,0.0,48.8,38.9,12.2,0.0,13894
Wandandian,47.0,40.0,6.0,0.0,50.5,43.0,6.5,0.0,14127
Woollamia,87.0,61.0,24.0,0.0,50.6,35.5,14.0,0.0,14405
Parma,27.0,21.0,3.0,0.0,52.9,41.2,5.9,0.0,13155
Ulladulla,908.0,554.0,342.0,26.0,49.6,30.3,18.7,1.4,14003
Kings Point,74.0,59.0,35.0,4.0,43.0,34.3,20.3,2.3,12153
Burrill Lake,206.0,132.0,65.0,0.0,51.1,32.8,16.1,0.0,10712
Dolphin Point,25.0,16.0,10.0,0.0,49.0,31.4,19.6,0.0,11269
Milton (NSW),204.0,145.0,45.0,5.0,51.1,36.3,11.3,1.3,12630
Mollymook Beach,450.0,202.0,77.0,5.0,61.3,27.5,10.5,0.7,12670
Narrawallee,187.0,108.0,58.0,4.0,52.4,30.3,16.2,1.1,12909
Mollymook,170.0,94.0,34.0,3.0,56.5,31.2,11.3,1.0,12669
Manyana,89.0,38.0,17.0,0.0,61.8,26.4,11.8,0.0,12482
Conjola,26.0,17.0,6.0,0.0,53.1,34.7,12.2,0.0,11011
Fishermans Paradise,70.0,28.0,24.0,0.0,57.4,23.0,19.7,0.0,11523
Lake Tabourie,88.0,59.0,36.0,0.0,48.1,32.2,19.7,0.0,12254
Conjola Park,37.0,34.0,18.0,0.0,41.6,38.2,20.2,0.0,11012
Lake Conjola,95.0,27.0,10.0,0.0,72.0,20.5,7.6,0.0,12244
Yatte Yattah,34.0,18.0,3.0,0.0,61.8,32.7,5.5,0.0,14497
Little Forest,33.0,18.0,3.0,0.0,61.1,33.3,5.6,0.0,12351
Croobyar,18.0,18.0,4.0,0.0,45.0,45.0,10.0,0.0,11121
Morton,33.0,20.0,3.0,0.0,58.9,35.7,5.4,0.0,12730
Woodstock (Shoalhaven - NSW),33.0,30.0,3.0,0.0,50.0,45.5,4.5,0.0,14396
Bawley Point,110.0,63.0,25.0,0.0,55.6,31.8,12.6,0.0,10235
Kioloa,48.0,11.0,7.0,0.0,72.7,16.7,10.6,0.0,12165
Termeil,37.0,28.0,7.0,0.0,51.4,38.9,9.7,0.0,13797
Bowral,1485.0,1001.0,378.0,20.0,51.5,34.7,13.1,0.7,10536
Burradoo,437.0,246.0,64.0,6.0,58.0,32.7,8.5,0.8,10701
Woodlands (Wingecarribee - NSW),39.0,31.0,4.0,0.0,52.7,41.9,5.4,0.0,14388
Balmoral (Wingecarribee - NSW),51.0,72.0,4.0,0.0,40.2,56.7,3.1,0.0,10167
Hill Top (Wingecarribee - NSW),227.0,349.0,142.0,7.0,31.3,48.1,19.6,1.0,11905
Colo Vale,163.0,208.0,73.0,3.0,36.5,46.5,16.3,0.7,10985
Aylmerton,23.0,22.0,6.0,0.0,45.1,43.1,11.8,0.0,10119
Mittagong,677.0,538.0,239.0,20.0,45.9,36.5,16.2,1.4,12653
Willow Vale (Wingecarribee - NSW),85.0,85.0,21.0,7.0,42.9,42.9,10.6,3.5,14307
Renwick,84.0,83.0,15.0,0.0,46.2,45.6,8.2,0.0,13350
Balaclava (NSW),46.0,62.0,21.0,0.0,35.7,48.1,16.3,0.0,10143
Welby,68.0,74.0,45.0,3.0,35.8,38.9,23.7,1.6,14219
Glenquarry,21.0,33.0,8.0,0.0,33.9,53.2,12.9,0.0,11674
Braemar,51.0,60.0,11.0,3.0,40.8,48.0,8.8,2.4,10545
Moss Vale,960.0,849.0,382.0,16.0,43.5,38.5,17.3,0.7,12739
Sutton Forest,68.0,57.0,7.0,0.0,51.5,43.2,5.3,0.0,13703
Berrima,108.0,70.0,16.0,0.0,55.7,36.1,8.2,0.0,10320
New Berrima,52.0,66.0,46.0,7.0,30.4,38.6,26.9,4.1,12938
Robertson (NSW),238.0,203.0,63.0,0.0,47.2,40.3,12.5,0.0,13374
Kangaloon,21.0,14.0,11.0,0.0,45.7,30.4,23.9,0.0,12058
Wildes Meadow,49.0,18.0,3.0,0.0,70.0,25.7,4.3,0.0,14292
Burrawang,64.0,32.0,6.0,0.0,62.7,31.4,5.9,0.0,10708
Avoca (NSW),27.0,23.0,8.0,0.0,46.6,39.7,13.8,0.0,10113
Fitzroy Falls,30.0,24.0,4.0,0.0,51.7,41.4,6.9,0.0,11529
Bundanoon (NSW),439.0,213.0,106.0,7.0,57.4,27.8,13.9,0.9,10670
Wingello,82.0,62.0,17.0,4.0,49.7,37.6,10.3,2.4,14330
Exeter (NSW),166.0,93.0,21.0,3.0,58.7,32.9,7.4,1.1,11475
High Range,52.0,55.0,7.0,0.0,45.6,48.2,6.1,0.0,11900
Joadja,14.0,14.0,4.0,0.0,43.8,43.8,12.5,0.0,12035
Canyonleigh,56.0,45.0,5.0,0.0,52.8,42.5,4.7,0.0,10799
Penrose,31.0,30.0,16.0,0.0,40.3,39.0,20.8,0.0,13185
Baulkham Hills,3142.0,6028.0,1171.0,105.0,30.1,57.7,11.2,1.0,10233
Bella Vista,544.0,1411.0,157.0,17.0,25.6,66.3,7.4,0.8,10263
Glenhaven,695.0,993.0,153.0,10.0,37.5,53.6,8.3,0.5,11667
Castle Hill (NSW),3340.0,6327.0,1166.0,114.0,30.5,57.8,10.7,1.0,10847
West Pennant Hills,1452.0,2828.0,367.0,38.0,31.0,60.4,7.8,0.8,14249
Cherrybrook,1423.0,3301.0,553.0,43.0,26.7,62.0,10.4,0.8,10898
Kellyville,1882.0,5033.0,710.0,49.0,24.5,65.6,9.3,0.6,12088
Kenthurst,489.0,794.0,113.0,8.0,34.8,56.6,8.0,0.6,12100
Glenorie,310.0,496.0,113.0,5.0,33.5,53.7,12.2,0.5,11673
Maroota,60.0,71.0,25.0,0.0,38.5,45.5,16.0,0.0,12500
Canoelands,18.0,26.0,9.0,0.0,34.0,49.1,17.0,0.0,10794
Cattai,62.0,117.0,22.0,0.0,30.8,58.2,10.9,0.0,10859
South Maroota,56.0,71.0,13.0,3.0,39.2,49.7,9.1,2.1,13592
Dural (Hornsby - NSW),647.0,1107.0,239.0,28.0,32.0,54.8,11.8,1.4,11328
Sackville North,33.0,42.0,11.0,0.0,38.4,48.8,12.8,0.0,13459
Lower Portland,63.0,74.0,14.0,0.0,41.7,49.0,9.3,0.0,12412
Middle Dural,111.0,145.0,23.0,3.0,39.4,51.4,8.2,1.1,12603
Annangrove,123.0,219.0,35.0,0.0,32.6,58.1,9.3,0.0,10062
Galston,316.0,439.0,101.0,7.0,36.6,50.9,11.7,0.8,11582
Arcadia (NSW),141.0,206.0,40.0,0.0,36.4,53.2,10.3,0.0,10072
Fiddletown,22.0,35.0,3.0,3.0,34.9,55.6,4.8,4.8,11513
Berowra Waters,9.0,7.0,3.0,0.0,47.4,36.8,15.8,0.0,10311
Berrilee,22.0,30.0,9.0,0.0,36.1,49.2,14.8,0.0,10319
Bilpin,77.0,80.0,13.0,4.0,44.3,46.0,7.5,2.3,10358
Colo Heights,29.0,32.0,11.0,0.0,40.3,44.4,15.3,0.0,10984
Lower Macdonald,44.0,33.0,4.0,0.0,54.3,40.7,4.9,0.0,12408
Cumberland Reach,16.0,24.0,8.0,0.0,33.3,50.0,16.7,0.0,11156
St Albans (NSW),27.0,7.0,8.0,0.0,64.3,16.7,19.0,0.0,13630
Bowen Mountain,128.0,236.0,67.0,0.0,29.7,54.8,15.5,0.0,10528
Grose Vale,132.0,185.0,38.0,3.0,36.9,51.7,10.6,0.8,11785
Grose Wold,59.0,98.0,16.0,0.0,34.1,56.6,9.2,0.0,11786
Kurrajong,346.0,409.0,86.0,10.0,40.7,48.1,10.1,1.2,12218
Kurrajong Hills,75.0,99.0,13.0,0.0,40.1,52.9,7.0,0.0,12220
Kurrajong Heights,143.0,181.0,43.0,0.0,39.0,49.3,11.7,0.0,12219
Kurmond,105.0,104.0,31.0,0.0,43.8,43.3,12.9,0.0,12215
The Slopes,33.0,48.0,9.0,0.0,36.7,53.3,10.0,0.0,13842
East Kurrajong,185.0,339.0,57.0,0.0,31.8,58.3,9.8,0.0,11356
Wilberforce (NSW),256.0,428.0,110.0,10.0,31.8,53.2,13.7,1.2,14288
Freemans Reach,187.0,281.0,79.0,3.0,34.0,51.1,14.4,0.5,11564
Sackville,25.0,34.0,7.0,0.0,37.9,51.5,10.6,0.0,13458
Ebenezer (NSW),90.0,147.0,19.0,0.0,35.2,57.4,7.4,0.0,11371
Glossodia,244.0,428.0,105.0,5.0,31.2,54.7,13.4,0.6,11684
Blaxlands Ridge,43.0,73.0,13.0,0.0,33.3,56.6,10.1,0.0,10409
Tennyson (NSW),54.0,43.0,12.0,0.0,49.5,39.4,11.0,0.0,13789
Vineyard,96.0,128.0,29.0,4.0,37.4,49.8,11.3,1.6,14076
McGraths Hill,209.0,377.0,122.0,6.0,29.3,52.8,17.1,0.8,12542
Maraylya,95.0,189.0,39.0,3.0,29.1,58.0,12.0,0.9,12484
Oakville,189.0,292.0,65.0,9.0,34.1,52.6,11.7,1.6,13060
Pitt Town,261.0,517.0,66.0,3.0,30.8,61.0,7.8,0.4,13226
Pitt Town Bottoms,3.0,13.0,0.0,0.0,18.8,81.2,0.0,0.0,13227
Rouse Hill,439.0,1379.0,250.0,15.0,21.1,66.2,12.0,0.7,13429
Beaumont Hills,495.0,1717.0,191.0,15.0,20.5,71.0,7.9,0.6,10243
Nelson (The Hills Shire - NSW),50.0,64.0,13.0,0.0,39.4,50.4,10.2,0.0,12922
Box Hill (NSW),76.0,132.0,27.0,3.0,31.9,55.5,11.3,1.3,10539
Blacktown,3492.0,6448.0,2165.0,262.0,28.2,52.1,17.5,2.1,10397
Kings Park (NSW),291.0,516.0,163.0,14.0,29.6,52.4,16.6,1.4,12150
Acacia Gardens,242.0,690.0,128.0,6.0,22.7,64.7,12.0,0.6,10014
Quakers Hill,1786.0,4392.0,1182.0,88.0,24.0,59.0,15.9,1.2,13286
Marayong,567.0,971.0,432.0,57.0,28.0,47.9,21.3,2.8,12485
Woodcroft (NSW),440.0,1182.0,178.0,18.0,24.2,65.0,9.8,1.0,14381
Bungarribee,129.0,549.0,42.0,0.0,17.9,76.2,5.8,0.0,10682
Doonside,864.0,1669.0,925.0,85.0,24.4,47.1,26.1,2.4,11275
Seven Hills (NSW),1529.0,2675.0,877.0,101.0,29.5,51.6,16.9,1.9,13518
Lalor Park,542.0,872.0,481.0,52.0,27.8,44.8,24.7,2.7,12261
