,Occupied private dwellings,Unoccupied private dwellings,Occupied private dwellings (%),Unoccupied private dwellings (%),SSC_CODE
Yetholme,85.0,19.0,81.7,18.3,14513
Meadow Flat,111.0,12.0,90.2,9.8,12549
Tarana,56.0,25.0,69.1,30.9,13760
Glanmire (NSW),60.0,3.0,95.2,4.8,11640
Napoleon Reef,57.0,4.0,93.4,6.6,12893
Oberon,1211.0,192.0,86.3,13.7,13068
Black Springs (NSW),76.0,35.0,68.5,31.5,10389
Condobolin,1252.0,209.0,85.7,14.3,11002
Tullamore,160.0,64.0,71.4,28.6,13954
Lake Cargelligo,503.0,62.0,89.0,11.0,12242
Tullibigeal,84.0,40.0,67.7,32.3,13957
Ungarie,210.0,45.0,82.4,17.6,14011
Euabalong,63.0,33.0,65.6,34.4,11449
Fifield,42.0,20.0,67.7,32.3,11514
Tottenham (NSW),175.0,21.0,89.3,10.7,13923
Cowra,3890.0,423.0,90.2,9.8,11099
Canowindra,899.0,138.0,86.7,13.3,10796
Woodstock (Cowra - NSW),282.0,115.0,71.0,29.0,14394
Gooloogong,156.0,26.0,85.7,14.3,11709
Mandurama,147.0,36.0,80.3,19.7,12467
Wattamondara,81.0,10.0,89.0,11.0,14190
Darbys Falls,93.0,27.0,77.5,22.5,11205
Billimari,49.0,8.0,86.0,14.0,10354
Moorbel,83.0,14.0,85.6,14.4,12709
Forbes (NSW),3121.0,404.0,88.5,11.5,11536
Eugowra,305.0,67.0,82.0,18.0,11454
Warroo (NSW),44.0,3.0,93.6,6.4,14175
Grenfell,1089.0,174.0,86.2,13.8,11776
Greenethorpe,72.0,19.0,79.1,20.9,11760
Quandialla,64.0,36.0,64.0,36.0,13290
Caragabal,60.0,20.0,75.0,25.0,10806
Parkes (NSW),4093.0,564.0,87.9,12.1,13151
Cookamidgera,58.0,6.0,90.6,9.4,11016
Peak Hill (NSW),452.0,101.0,81.7,18.3,13166
Trundle,265.0,84.0,75.9,24.1,13940
Bogan Gate,87.0,22.0,79.8,20.2,10438
Alectown,66.0,19.0,77.6,22.4,10029
West Wyalong,1163.0,189.0,86.0,14.0,14256
Wyalong,253.0,33.0,88.5,11.5,14431
Weethalle,101.0,16.0,86.3,13.7,14215
Tallimba,61.0,27.0,69.3,30.7,13732
Barellan,194.0,38.0,83.6,16.4,10197
Ardlethan,200.0,47.0,81.0,19.0,10076
Ariah Park,181.0,47.0,79.4,20.6,10081
Barmedman,164.0,46.0,78.1,21.9,10202
Beckom,39.0,10.0,79.6,20.4,10244
South Bowenfels,413.0,46.0,90.0,10.0,13578
Marrangaroo,154.0,3.0,98.1,1.9,12502
Lithgow,2269.0,295.0,88.5,11.5,12347
Bowenfels,735.0,80.0,90.2,9.8,10529
Rydal,64.0,4.0,94.1,5.9,13452
Pottery Estate,50.0,6.0,89.3,10.7,13254
Oakey Park,137.0,21.0,86.7,13.3,13055
Morts Estate,235.0,30.0,88.7,11.3,12732
Hermitage Flat,154.0,14.0,91.7,8.3,11895
McKellars Park,85.0,4.0,95.5,4.5,12544
South Littleton,120.0,21.0,85.1,14.9,13590
Littleton,322.0,40.0,89.0,11.0,12360
Vale Of Clwydd,188.0,51.0,78.7,21.3,14064
Portland (NSW),863.0,88.0,90.7,9.3,13250
Lidsdale,121.0,4.0,96.8,3.2,12318
Wallerawang,662.0,42.0,94.0,6.0,14114
Little Hartley,190.0,32.0,85.6,14.4,12352
Hartley (NSW),145.0,12.0,92.4,7.6,11861
Clarence,74.0,10.0,88.1,11.9,10919
Glen Davis,37.0,20.0,64.9,35.1,11646
Cullen Bullen,76.0,9.0,89.4,10.6,11148
Megalong Valley,45.0,33.0,57.7,42.3,12557
Kanimbla (NSW),55.0,23.0,70.5,29.5,12065
Capertee,59.0,31.0,65.6,34.4,10802
Running Stream,46.0,16.0,74.2,25.8,13441
Mudgee,3991.0,525.0,88.4,11.6,12812
Putta Bucca,66.0,3.0,95.7,4.3,13278
Bombira,117.0,8.0,93.6,6.4,10457
Burrundulla,41.0,8.0,83.7,16.3,10717
Spring Flat,66.0,12.0,84.6,15.4,13613
Kandos,577.0,87.0,86.9,13.1,12057
Rylstone,385.0,81.0,82.6,17.4,13457
Ilford,65.0,43.0,60.2,39.8,11971
Clandulla,61.0,22.0,73.5,26.5,10916
Charbon,57.0,8.0,87.7,12.3,10883
Lue,67.0,17.0,79.8,20.2,12420
Gulgong,916.0,109.0,89.4,10.6,11794
Dunedoo,434.0,119.0,78.5,21.5,11316
Leadville,46.0,8.0,85.2,14.8,12290
Cassilis (NSW),124.0,47.0,72.5,27.5,10844
Tallawang,53.0,27.0,66.2,33.8,13731
Beryl,40.0,17.0,70.2,29.8,10327
Cope,36.0,5.0,87.8,12.2,11057
Yarrawonga (NSW),140.0,22.0,86.4,13.6,14486
Piambong,43.0,9.0,82.7,17.3,13197
Cooks Gap,183.0,45.0,80.3,19.7,11018
Frog Rock,52.0,10.0,83.9,16.1,11570
Cooyal,40.0,13.0,75.5,24.5,11055
St Fillans,84.0,16.0,84.0,16.0,13634
Eurunderee,54.0,0.0,100.0,0.0,11467
Budgee Budgee (NSW),65.0,11.0,85.5,14.5,10641
Kains Flat,67.0,19.0,77.9,22.1,12049
Menah,53.0,0.0,100.0,0.0,12566
Grattai,112.0,27.0,80.6,19.4,11741
Hargraves,98.0,63.0,60.9,39.1,11854
Windeyer (NSW),73.0,33.0,68.9,31.1,14322
Bocoble,50.0,8.0,86.2,13.8,10432
Mount Frome,42.0,0.0,100.0,0.0,12760
Buckaroo,45.0,4.0,91.8,8.2,10630
