,Less than 5 hours per week,5 to 14 hours per week,15 to 29 hours per week,30 hours or more per week,Less than 5 hours per week (%),5 to 14 hours per week (%),15 to 29 hours per week (%),30 hours or more per week (%)
Guildford (NSW),2752.0,2721.0,1213.0,1371.0,18.0,17.8,7.9,9.0
Guildford West,612.0,700.0,332.0,334.0,18.2,20.8,9.9,9.9
Gwynneville,533.0,589.0,217.0,179.0,22.1,24.5,9.0,7.4
Gymea,1545.0,1613.0,724.0,606.0,26.2,27.3,12.3,10.3
Gymea Bay,1267.0,1480.0,831.0,584.0,23.9,27.9,15.7,11.0
Haberfield,1216.0,1407.0,704.0,471.0,22.4,25.9,13.0,8.7
Halekulani,385.0,487.0,268.0,236.0,19.0,24.0,13.2,11.6
Hamilton (NSW),935.0,999.0,399.0,257.0,26.4,28.2,11.3,7.3
Hamilton East,182.0,215.0,83.0,84.0,24.5,29.0,11.2,11.3
Hamilton North,211.0,218.0,76.0,63.0,29.1,30.1,10.5,8.7
Hamilton South,651.0,803.0,371.0,357.0,19.9,24.5,11.3,10.9
Hammondville,459.0,632.0,254.0,234.0,17.8,24.6,9.9,9.1
Harrington Park,1352.0,1529.0,753.0,519.0,24.8,28.0,13.8,9.5
Harris Park,764.0,864.0,324.0,296.0,18.1,20.4,7.7,7.0
Hassall Grove,697.0,727.0,309.0,320.0,22.0,23.0,9.8,10.1
Haymarket,981.0,575.0,170.0,118.0,19.1,11.2,3.3,2.3
Heathcote (NSW),1112.0,1302.0,679.0,551.0,23.2,27.2,14.2,11.5
Hebersham,689.0,830.0,379.0,444.0,17.1,20.6,9.4,11.0
Heckenberg,389.0,354.0,167.0,194.0,17.6,16.0,7.5,8.8
Henley,110.0,90.0,45.0,42.0,30.0,24.5,12.3,11.4
Highfields (NSW),208.0,264.0,112.0,83.0,24.9,31.6,13.4,9.9
Hillsborough (Lake Macquarie - NSW),133.0,134.0,84.0,67.0,24.7,24.9,15.6,12.4
Hillsdale,906.0,882.0,323.0,289.0,22.2,21.6,7.9,7.1
Hinchinbrook (NSW),1694.0,1710.0,725.0,690.0,20.9,21.1,8.9,8.5
Holmesville,228.0,271.0,138.0,147.0,20.4,24.2,12.3,13.1
Holsworthy,917.0,1031.0,434.0,352.0,24.2,27.2,11.4,9.3
Homebush (NSW),1230.0,1049.0,448.0,343.0,23.6,20.1,8.6,6.6
Homebush West,1100.0,1030.0,415.0,316.0,22.8,21.3,8.6,6.5
Horningsea Park,584.0,631.0,269.0,251.0,22.3,24.1,10.3,9.6
Hornsby,4003.0,4513.0,1896.0,1440.0,24.5,27.6,11.6,8.8
Hornsby Heights,1222.0,1432.0,766.0,527.0,25.2,29.6,15.8,10.9
Horsley,1141.0,1488.0,721.0,599.0,21.8,28.4,13.7,11.4
Hoxton Park,694.0,665.0,317.0,270.0,22.0,21.1,10.0,8.5
Hunters Hill,1723.0,1696.0,870.0,676.0,23.9,23.6,12.1,9.4
Huntleys Point,20.0,34.0,18.0,12.0,15.4,26.2,13.8,9.2
Hurlstone Park,930.0,1081.0,469.0,312.0,23.6,27.4,11.9,7.9
Hurstville,4639.0,4415.0,1938.0,1609.0,21.1,20.1,8.8,7.3
Hurstville Grove,464.0,498.0,246.0,182.0,23.9,25.6,12.6,9.4
Illawong,1532.0,1588.0,758.0,578.0,25.0,25.9,12.4,9.4
Ingleburn,2415.0,2758.0,1239.0,1157.0,21.6,24.7,11.1,10.3
Ingleside,197.0,243.0,136.0,97.0,21.9,27.1,15.1,10.8
Islington,427.0,439.0,170.0,105.0,27.9,28.7,11.1,6.9
Jamisontown,978.0,1186.0,451.0,387.0,22.8,27.7,10.5,9.0
Jannali,1068.0,1287.0,608.0,470.0,22.7,27.4,12.9,10.0
Jesmond,547.0,439.0,182.0,159.0,24.6,19.7,8.2,7.1
Jewells,514.0,641.0,362.0,307.0,20.2,25.1,14.2,12.0
Kahibah,343.0,491.0,262.0,182.0,20.5,29.3,15.7,10.9
Kanahooka,808.0,1022.0,580.0,527.0,18.8,23.8,13.5,12.2
Kangaroo Point (NSW),114.0,113.0,55.0,54.0,23.3,23.1,11.2,11.0
Kanwal,566.0,654.0,349.0,325.0,18.4,21.2,11.3,10.5
Kareela,585.0,778.0,437.0,292.0,21.7,28.9,16.2,10.8
Kariong,1147.0,1339.0,632.0,561.0,23.8,27.8,13.1,11.6
Kearns,556.0,544.0,261.0,185.0,25.4,24.8,11.9,8.4
Keiraville,753.0,703.0,346.0,239.0,26.2,24.4,12.0,8.3
Kellyville,3813.0,4176.0,1867.0,1574.0,25.2,27.6,12.3,10.4
Kembla Grange,35.0,44.0,36.0,20.0,19.1,24.0,19.7,10.9
Kensington (NSW),3424.0,2507.0,721.0,476.0,30.0,21.9,6.3,4.2
Kilaben Bay,249.0,306.0,183.0,139.0,22.3,27.4,16.4,12.4
Killara (NSW),1861.0,1866.0,1002.0,817.0,24.8,24.9,13.4,10.9
Killarney Heights,744.0,1001.0,511.0,395.0,22.1,29.8,15.2,11.7
Killarney Vale,1111.0,1374.0,757.0,587.0,20.1,24.9,13.7,10.6
Kincumber,1113.0,1520.0,740.0,599.0,19.8,27.1,13.2,10.7
Kincumber South,100.0,141.0,83.0,77.0,15.8,22.3,13.1,12.2
Kings Langley,1781.0,2011.0,1008.0,792.0,24.3,27.5,13.8,10.8
Kings Park (NSW),638.0,769.0,329.0,260.0,24.5,29.5,12.6,10.0
Kingsford (NSW),3150.0,2616.0,1039.0,725.0,25.6,21.3,8.5,5.9
Kingsgrove,2018.0,2169.0,1038.0,855.0,21.4,23.0,11.0,9.1
Kingswood (Tamworth - NSW),186.0,238.0,157.0,107.0,20.8,26.7,17.6,12.0
Kirrawee,1705.0,1962.0,966.0,773.0,23.5,27.1,13.3,10.7
Kirribilli,1183.0,874.0,272.0,152.0,34.5,25.5,7.9,4.4
Kogarah,2389.0,2439.0,1019.0,755.0,22.4,22.9,9.6,7.1
Kogarah Bay,373.0,386.0,192.0,169.0,22.6,23.4,11.6,10.2
Koolewong,157.0,177.0,93.0,89.0,23.8,26.8,14.1,13.5
Koonawarra,502.0,632.0,345.0,355.0,18.0,22.7,12.4,12.7
Kotara,732.0,899.0,526.0,343.0,23.2,28.5,16.7,10.9
Kotara South,182.0,249.0,158.0,124.0,20.2,27.6,17.5,13.8
Kurnell,373.0,446.0,239.0,207.0,22.0,26.3,14.1,12.2
Kyeemagh,149.0,167.0,61.0,50.0,22.6,25.3,9.3,7.6
Kyle Bay,160.0,176.0,91.0,59.0,23.5,25.9,13.4,8.7
La Perouse,72.0,77.0,39.0,31.0,20.9,22.4,11.3,9.0
Lake Haven,523.0,601.0,314.0,324.0,18.4,21.2,11.1,11.4
Lake Heights,470.0,572.0,301.0,328.0,17.6,21.4,11.3,12.3
Lake Illawarra,459.0,578.0,290.0,308.0,17.9,22.5,11.3,12.0
Lakelands (NSW),311.0,317.0,188.0,128.0,25.7,26.2,15.5,10.6
Lakemba,2024.0,2039.0,809.0,1104.0,17.4,17.5,6.9,9.5
Lalor Park,1110.0,1356.0,585.0,546.0,20.2,24.7,10.7,10.0
Lambton,936.0,1150.0,499.0,407.0,23.2,28.6,12.4,10.1
Lane Cove,2141.0,2260.0,951.0,629.0,27.7,29.2,12.3,8.1
Lane Cove North,2278.0,2262.0,777.0,524.0,29.5,29.3,10.0,6.8
Lane Cove West,423.0,506.0,225.0,180.0,25.4,30.4,13.5,10.8
Lansvale,386.0,391.0,190.0,180.0,19.6,19.9,9.7,9.2
Lapstone,148.0,252.0,116.0,97.0,20.3,34.6,15.9,13.3
Lavender Bay,263.0,228.0,64.0,31.0,33.0,28.6,8.0,3.9
Leichhardt (NSW),3331.0,3387.0,1128.0,762.0,29.6,30.1,10.0,6.8
Leonay,435.0,591.0,308.0,206.0,22.7,30.8,16.1,10.7
Lethbridge Park,522.0,608.0,315.0,383.0,15.3,17.8,9.2,11.2
Leumeah,1678.0,1878.0,855.0,782.0,22.2,24.9,11.3,10.4
Lewisham (NSW),646.0,721.0,246.0,173.0,26.0,29.0,9.9,7.0
Liberty Grove,426.0,448.0,173.0,126.0,25.9,27.3,10.5,7.7
Lidcombe,2912.0,2772.0,1177.0,1056.0,21.0,20.0,8.5,7.6
Lilli Pilli (Sutherland - NSW),251.0,250.0,169.0,130.0,24.9,24.8,16.8,12.9
Lilyfield,1561.0,1745.0,643.0,430.0,26.5,29.6,10.9,7.3
Lindfield,1742.0,1822.0,929.0,741.0,25.7,26.8,13.7,10.9
Linley Point,67.0,108.0,41.0,28.0,21.0,33.9,12.9,8.8
Lisarow,923.0,1074.0,565.0,433.0,24.1,28.0,14.7,11.3
Little Bay,551.0,571.0,263.0,201.0,22.9,23.7,10.9,8.3
Liverpool,3186.0,3260.0,1486.0,1535.0,16.8,17.1,7.8,8.1
Loftus,651.0,862.0,500.0,392.0,21.1,27.9,16.2,12.7
Long Jetty,916.0,1151.0,580.0,494.0,19.4,24.4,12.3,10.5
Long Point (Campbelltown - NSW),34.0,52.0,14.0,28.0,19.9,30.4,8.2,16.4
Longueville,413.0,452.0,239.0,209.0,25.0,27.4,14.5,12.7
Lugarno,1015.0,1209.0,714.0,506.0,22.4,26.7,15.8,11.2
Lurnea,1155.0,1244.0,610.0,665.0,17.9,19.2,9.4,10.3
Macquarie Fields,2021.0,2117.0,1015.0,1049.0,20.0,21.0,10.0,10.4
Macquarie Hills,545.0,740.0,335.0,261.0,22.6,30.7,13.9,10.8
Macquarie Links,226.0,225.0,115.0,72.0,26.3,26.2,13.4,8.4
Macquarie Park,1394.0,1319.0,357.0,227.0,24.8,23.5,6.4,4.0
Malabar,623.0,708.0,321.0,225.0,14.4,16.4,7.4,5.2
Mangerton,512.0,668.0,294.0,198.0,22.6,29.5,13.0,8.7
Manly (NSW),4172.0,3285.0,1127.0,724.0,31.8,25.0,8.6,5.5
Manly Vale,1300.0,1260.0,477.0,362.0,28.0,27.1,10.3,7.8
Marayong,1134.0,1298.0,620.0,613.0,19.3,22.1,10.5,10.4
Mardi,515.0,685.0,369.0,290.0,19.6,26.1,14.1,11.1
Marks Point,301.0,337.0,172.0,158.0,20.7,23.2,11.8,10.9
Marmong Point,134.0,190.0,69.0,76.0,21.9,31.0,11.3,12.4
Maroubra,6304.0,5884.0,2353.0,1726.0,25.4,23.7,9.5,7.0
Marrickville,5235.0,5523.0,1832.0,1292.0,25.0,26.4,8.8,6.2
