,Real estate agent,State or Territory housing authority,Other landlord type,Landlord type not stated,Real estate agent (%),State or Territory housing authority (%),Other landlord type (%),Landlord type not stated (%)
Koonawarra,66.0,381.0,60.0,9.0,12.7,73.6,11.6,1.7
Kotara,100.0,15.0,70.0,3.0,53.2,8.0,37.2,1.6
Kotara South,35.0,39.0,14.0,0.0,42.7,47.6,17.1,0.0
Kurnell,51.0,0.0,84.0,0.0,36.7,0.0,60.4,0.0
Kyeemagh,11.0,0.0,12.0,0.0,52.4,0.0,57.1,0.0
Kyle Bay,20.0,0.0,9.0,3.0,57.1,0.0,25.7,8.6
La Perouse,6.0,20.0,26.0,0.0,10.9,36.4,47.3,0.0
Lake Haven,145.0,94.0,81.0,3.0,44.2,28.7,24.7,0.9
Lake Heights,93.0,166.0,100.0,7.0,25.5,45.6,27.5,1.9
Lake Illawarra,253.0,245.0,113.0,6.0,40.9,39.6,18.3,1.0
Lakelands,43.0,0.0,19.0,3.0,69.4,0.0,30.6,4.8
Lakemba,1712.0,45.0,493.0,46.0,74.6,2.0,21.5,2.0
Lalor Park,205.0,672.0,127.0,3.0,20.4,66.9,12.6,0.3
Lambton,245.0,187.0,201.0,4.0,38.4,29.3,31.5,0.6
Lane Cove,762.0,8.0,373.0,12.0,65.9,0.7,32.3,1.0
Lane Cove North,963.0,125.0,390.0,6.0,64.8,8.4,26.3,0.4
Lane Cove West,84.0,67.0,35.0,0.0,45.2,36.0,18.8,0.0
Lansvale,30.0,41.0,45.0,0.0,25.4,34.7,38.1,0.0
Lapstone,28.0,0.0,12.0,0.0,66.7,0.0,28.6,0.0
Lavender Bay,158.0,18.0,111.0,3.0,54.9,6.3,38.5,1.0
Leichhardt,1463.0,154.0,560.0,13.0,66.8,7.0,25.6,0.6
Leonay,53.0,0.0,16.0,3.0,74.6,0.0,22.5,4.2
Lethbridge Park,100.0,626.0,65.0,9.0,12.5,78.0,8.1,1.1
Leumeah,407.0,308.0,164.0,6.0,45.7,34.6,18.4,0.7
Lewisham,280.0,8.0,163.0,3.0,60.9,1.7,35.4,0.7
Liberty Grove,132.0,3.0,34.0,6.0,78.1,1.8,20.1,3.6
Lidcombe,793.0,125.0,336.0,29.0,61.8,9.7,26.2,2.3
Lilli Pilli,28.0,0.0,19.0,0.0,66.7,0.0,45.2,0.0
Lilyfield,506.0,317.0,238.0,12.0,47.3,29.7,22.3,1.1
Lindfield,268.0,0.0,209.0,7.0,54.6,0.0,42.6,1.4
Linley Point,3.0,0.0,7.0,0.0,27.3,0.0,63.6,0.0
Lisarow,107.0,22.0,72.0,3.0,53.2,10.9,35.8,1.5
Little Bay,18.0,108.0,109.0,6.0,7.4,44.3,44.7,2.5
Liverpool,2459.0,459.0,610.0,46.0,68.7,12.8,17.1,1.3
Loftus,60.0,10.0,36.0,0.0,56.1,9.3,33.6,0.0
Long Jetty,535.0,162.0,232.0,10.0,56.8,17.2,24.6,1.1
Long Point,6.0,19.0,6.0,0.0,20.7,65.5,20.7,0.0
Longueville,21.0,0.0,15.0,0.0,55.3,0.0,39.5,0.0
Lugarno,74.0,31.0,48.0,0.0,50.3,21.1,32.7,0.0
Lurnea,303.0,435.0,124.0,0.0,34.7,49.8,14.2,0.0
Macquarie Fields,492.0,1331.0,146.0,15.0,24.9,67.3,7.4,0.8
Macquarie Hills,52.0,3.0,55.0,0.0,46.4,2.7,49.1,0.0
Macquarie Links,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macquarie Park,880.0,226.0,411.0,16.0,57.1,14.7,26.7,1.0
Malabar,49.0,388.0,52.0,6.0,9.8,77.8,10.4,1.2
Mangerton,93.0,184.0,73.0,3.0,26.2,51.8,20.6,0.8
Manly,1916.0,171.0,896.0,37.0,63.4,5.7,29.7,1.2
Manly Vale,521.0,77.0,185.0,10.0,65.5,9.7,23.2,1.3
Marayong,215.0,308.0,148.0,3.0,31.6,45.3,21.8,0.4
Mardi,240.0,0.0,111.0,3.0,68.0,0.0,31.4,0.8
Marks Point,169.0,88.0,72.0,6.0,50.0,26.0,21.3,1.8
Marmong Point,13.0,0.0,15.0,0.0,52.0,0.0,60.0,0.0
Maroubra,2093.0,1169.0,659.0,52.0,52.7,29.4,16.6,1.3
Marrickville,2131.0,413.0,1012.0,51.0,59.2,11.5,28.1,1.4
Marsfield,1005.0,157.0,435.0,15.0,62.5,9.8,27.0,0.9
Maryland,241.0,53.0,120.0,6.0,57.7,12.7,28.7,1.4
Maryville,75.0,3.0,60.0,3.0,53.6,2.1,42.9,2.1
Mascot,486.0,66.0,185.0,12.0,64.9,8.8,24.7,1.6
Matraville,374.0,413.0,175.0,9.0,38.6,42.6,18.1,0.9
Mayfield,707.0,281.0,456.0,24.0,48.4,19.2,31.2,1.6
Mayfield East,142.0,26.0,91.0,3.0,54.0,9.9,34.6,1.1
Mayfield West,107.0,45.0,62.0,0.0,47.8,20.1,27.7,0.0
Mays Hill,21.0,13.0,24.0,3.0,36.8,22.8,42.1,5.3
McMahons Point,362.0,7.0,207.0,3.0,61.9,1.2,35.4,0.5
Meadowbank,521.0,3.0,130.0,10.0,78.9,0.5,19.7,1.5
Melrose Park,53.0,45.0,22.0,0.0,43.1,36.6,17.9,0.0
Menai,307.0,191.0,106.0,0.0,50.7,31.6,17.5,0.0
Merewether,824.0,211.0,424.0,10.0,56.1,14.4,28.8,0.7
Merewether Heights,26.0,0.0,13.0,0.0,65.0,0.0,32.5,0.0
Merrylands,1691.0,508.0,507.0,42.0,61.6,18.5,18.5,1.5
Merrylands West,376.0,116.0,111.0,3.0,62.6,19.3,18.5,0.5
Middle Cove,21.0,0.0,9.0,0.0,70.0,0.0,30.0,0.0
Miller,65.0,517.0,58.0,3.0,10.2,80.9,9.1,0.5
Millers Point,94.0,280.0,61.0,6.0,21.7,64.5,14.1,1.4
Milperra,55.0,3.0,48.0,0.0,56.1,3.1,49.0,0.0
Milsons Point,217.0,0.0,123.0,3.0,62.9,0.0,35.7,0.9
Minchinbury,111.0,39.0,36.0,0.0,61.0,21.4,19.8,0.0
Minmi,3.0,0.0,4.0,0.0,23.1,0.0,30.8,0.0
Minto,394.0,1086.0,130.0,6.0,24.3,67.1,8.0,0.4
Miranda,939.0,310.0,377.0,17.0,57.3,18.9,23.0,1.0
Mona Vale,397.0,0.0,368.0,10.0,51.2,0.0,47.5,1.3
Monterey,319.0,0.0,112.0,3.0,72.7,0.0,25.5,0.7
Moorebank,193.0,89.0,91.0,3.0,51.9,23.9,24.5,0.8
Mortdale,859.0,39.0,304.0,10.0,70.7,3.2,25.0,0.8
Mortlake,35.0,0.0,7.0,0.0,72.9,0.0,14.6,0.0
Mosman,2375.0,58.0,1318.0,27.0,62.9,1.5,34.9,0.7
Mount Annan,179.0,32.0,54.0,0.0,64.9,11.6,19.6,0.0
Mount Colah,144.0,12.0,101.0,0.0,53.9,4.5,37.8,0.0
Mount Druitt,956.0,84.0,324.0,17.0,69.0,6.1,23.4,1.2
Mount Hutton,87.0,162.0,59.0,0.0,27.5,51.3,18.7,0.0
Mount Keira,26.0,0.0,25.0,0.0,51.0,0.0,49.0,0.0
Mount Kembla,30.0,6.0,13.0,0.0,68.2,13.6,29.5,0.0
Mount Lewis,22.0,59.0,15.0,6.0,22.7,60.8,15.5,6.2
Mount Ousley,38.0,3.0,42.0,3.0,46.9,3.7,51.9,3.7
Mount Pleasant,11.0,0.0,3.0,0.0,61.1,0.0,16.7,0.0
Mount Pritchard,212.0,329.0,175.0,12.0,28.9,44.9,23.9,1.6
Mount Riverview,56.0,13.0,36.0,0.0,53.8,12.5,34.6,0.0
Mount Saint Thomas,25.0,70.0,29.0,6.0,19.8,55.6,23.0,4.8
Mount Warrigal,105.0,240.0,69.0,0.0,25.9,59.3,17.0,0.0
Narara,243.0,99.0,146.0,6.0,49.9,20.3,30.0,1.2
Narellan,150.0,49.0,66.0,3.0,56.0,18.3,24.6,1.1
Narellan Vale,285.0,9.0,78.0,6.0,75.4,2.4,20.6,1.6
Naremburn,478.0,54.0,191.0,9.0,65.5,7.4,26.2,1.2
Narrabeen,579.0,34.0,479.0,18.0,52.1,3.1,43.1,1.6
Narraweena,126.0,362.0,109.0,6.0,21.2,60.8,18.3,1.0
Narwee,185.0,203.0,84.0,6.0,38.6,42.4,17.5,1.3
Neutral Bay,1808.0,9.0,749.0,20.0,69.9,0.3,29.0,0.8
New Lambton,571.0,132.0,404.0,11.0,51.1,11.8,36.1,1.0
New Lambton Heights,47.0,3.0,26.0,3.0,58.0,3.7,32.1,3.7
Newcastle,176.0,22.0,120.0,0.0,55.5,6.9,37.9,0.0
Newcastle East,90.0,114.0,64.0,3.0,33.1,41.9,23.5,1.1
Newcastle West,3.0,22.0,11.0,0.0,7.1,52.4,26.2,0.0
Newington,77.0,0.0,45.0,0.0,62.6,0.0,36.6,0.0
Newport,455.0,0.0,376.0,8.0,54.0,0.0,44.7,1.0
Newtown,2052.0,293.0,818.0,24.0,64.2,9.2,25.6,0.8
Niagara Park,78.0,93.0,47.0,6.0,35.5,42.3,21.4,2.7
Norah Head,46.0,0.0,35.0,0.0,57.5,0.0,43.8,0.0
Noraville,148.0,0.0,71.0,3.0,64.6,0.0,31.0,1.3
Normanhurst,78.0,72.0,102.0,6.0,30.5,28.1,39.8,2.3
North Avoca,107.0,0.0,55.0,0.0,61.8,0.0,31.8,0.0
North Balgowlah,69.0,20.0,73.0,3.0,42.1,12.2,44.5,1.8
North Bondi,868.0,68.0,454.0,17.0,61.8,4.8,32.3,1.2
North Curl Curl,76.0,25.0,96.0,0.0,37.8,12.4,47.8,0.0
North Epping,93.0,3.0,74.0,0.0,57.8,1.9,46.0,0.0
North Gosford,162.0,138.0,90.0,0.0,41.6,35.5,23.1,0.0
North Lambton,151.0,19.0,144.0,5.0,47.2,5.9,45.0,1.6
North Manly,84.0,3.0,68.0,3.0,50.9,1.8,41.2,1.8
North Narrabeen,145.0,3.0,193.0,3.0,42.3,0.9,56.3,0.9
North Parramatta,1118.0,275.0,300.0,23.0,65.2,16.0,17.5,1.3
North Rocks,179.0,3.0,77.0,0.0,69.1,1.2,29.7,0.0
North Ryde,243.0,201.0,180.0,6.0,39.1,32.4,29.0,1.0
North St Marys,95.0,279.0,65.0,3.0,20.9,61.5,14.3,0.7
North Strathfield,314.0,0.0,101.0,6.0,75.5,0.0,24.3,1.4
North Sydney,948.0,22.0,471.0,19.0,64.4,1.5,32.0,1.3
North Turramurra,40.0,0.0,38.0,0.0,46.5,0.0,44.2,0.0
North Wahroonga,33.0,0.0,32.0,0.0,55.9,0.0,54.2,0.0
North Willoughby,235.0,21.0,125.0,12.0,59.8,5.3,31.8,3.1
North Wollongong,269.0,72.0,144.0,6.0,55.0,14.7,29.4,1.2
Northbridge,192.0,0.0,132.0,0.0,59.3,0.0,40.7,0.0
Northmead,261.0,127.0,159.0,3.0,47.1,22.9,28.7,0.5
Northwood,14.0,0.0,7.0,0.0,56.0,0.0,28.0,0.0
Oak Flats,254.0,7.0,140.0,9.0,62.3,1.7,34.3,2.2
Oakhurst,175.0,24.0,102.0,6.0,57.6,7.9,33.6,2.0
Oatlands,156.0,98.0,74.0,3.0,47.7,30.0,22.6,0.9
Oatley,378.0,6.0,160.0,0.0,69.4,1.1,29.4,0.0
Old Guildford,68.0,12.0,54.0,0.0,47.6,8.4,37.8,0.0
Old Toongabbie,188.0,263.0,93.0,9.0,33.9,47.5,16.8,1.6
Ourimbah,211.0,14.0,81.0,6.0,68.3,4.5,26.2,1.9
Oxley Park,134.0,30.0,64.0,3.0,55.6,12.4,26.6,1.2
Oyster Bay,74.0,12.0,77.0,6.0,43.8,7.1,45.6,3.6
Paddington,1284.0,55.0,981.0,28.0,54.6,2.3,41.7,1.2
Padstow,439.0,495.0,201.0,17.0,38.1,42.9,17.4,1.5
Padstow Heights,71.0,0.0,54.0,3.0,58.7,0.0,44.6,2.5
Pagewood,95.0,130.0,55.0,3.0,33.3,45.6,19.3,1.1
Palm Beach,68.0,0.0,60.0,0.0,52.7,0.0,46.5,0.0
Panania,327.0,480.0,130.0,14.0,34.5,50.7,13.7,1.5
Parramatta,2799.0,435.0,737.0,47.0,69.7,10.8,18.3,1.2
Peakhurst,181.0,323.0,146.0,0.0,27.5,49.1,22.2,0.0
Peakhurst Heights,16.0,43.0,12.0,0.0,20.0,53.8,15.0,0.0
Pearl Beach,14.0,0.0,9.0,0.0,73.7,0.0,47.4,0.0
Pelican,28.0,0.0,19.0,0.0,56.0,0.0,38.0,0.0
Pendle Hill,583.0,303.0,254.0,20.0,50.4,26.2,22.0,1.7
Pennant Hills,166.0,47.0,110.0,0.0,52.2,14.8,34.6,0.0
Penrith,1268.0,554.0,436.0,21.0,55.5,24.3,19.1,0.9
Penrose,40.0,110.0,23.0,0.0,24.0,65.9,13.8,0.0
Penshurst,934.0,65.0,344.0,16.0,68.9,4.8,25.4,1.2
Petersham,821.0,64.0,464.0,11.0,60.7,4.7,34.3,0.8
Phillip Bay,13.0,26.0,6.0,0.0,28.3,56.5,13.0,0.0
Picnic Point,102.0,27.0,74.0,0.0,50.5,13.4,36.6,0.0
Plumpton,204.0,6.0,110.0,3.0,61.8,1.8,33.3,0.9
Point Clare,124.0,32.0,104.0,0.0,47.0,12.1,39.4,0.0
Point Frederick,161.0,39.0,131.0,9.0,48.1,11.6,39.1,2.7
Point Piper,76.0,0.0,71.0,3.0,52.1,0.0,48.6,2.1
Port Kembla,173.0,67.0,187.0,12.0,39.1,15.2,42.3,2.7
Potts Point,1377.0,36.0,584.0,12.0,68.5,1.8,29.1,0.6
Prairiewood,55.0,134.0,29.0,0.0,24.8,60.4,13.1,0.0
Prestons,220.0,34.0,95.0,6.0,62.3,9.6,26.9,1.7
Primbee,52.0,34.0,58.0,0.0,37.7,24.6,42.0,0.0
Prospect,114.0,3.0,66.0,3.0,60.6,1.6,35.1,1.6
Punchbowl,831.0,366.0,377.0,18.0,52.0,22.9,23.6,1.1
Putney,57.0,3.0,44.0,3.0,50.0,2.6,38.6,2.6
Pymble,164.0,6.0,116.0,6.0,56.2,2.1,39.7,2.1
Pyrmont,1309.0,178.0,654.0,26.0,60.3,8.2,30.1,1.2
Quakers Hill,1158.0,346.0,434.0,15.0,59.4,17.7,22.2,0.8
Queens Park,191.0,18.0,139.0,0.0,55.2,5.2,40.2,0.0
Raby,212.0,9.0,81.0,0.0,68.4,2.9,26.1,0.0
Ramsgate,28.0,0.0,8.0,0.0,71.8,0.0,20.5,0.0
Ramsgate Beach,134.0,0.0,44.0,0.0,77.0,0.0,25.3,0.0
Randwick,3514.0,170.0,1536.0,65.0,66.5,3.2,29.1,1.2
Rankin Park,47.0,3.0,18.0,0.0,66.2,4.2,25.4,0.0
Redfern,1054.0,1257.0,672.0,37.0,34.9,41.6,22.3,1.2
Redhead,70.0,15.0,105.0,3.0,36.3,7.8,54.4,1.6
Regents Park,219.0,199.0,80.0,0.0,43.9,39.9,16.0,0.0
Regentville,23.0,0.0,31.0,0.0,46.0,0.0,62.0,0.0
Revesby,368.0,484.0,200.0,7.0,34.8,45.8,18.9,0.7
Revesby Heights,25.0,0.0,3.0,0.0,80.6,0.0,9.7,0.0
Rhodes,35.0,7.0,24.0,0.0,50.7,10.1,34.8,0.0
Riverstone,246.0,149.0,152.0,13.0,43.9,26.6,27.1,2.3
Riverview,43.0,3.0,58.0,3.0,37.7,2.6,50.9,2.6
Riverwood,342.0,1408.0,173.0,21.0,17.6,72.4,8.9,1.1
Rockdale,1003.0,113.0,348.0,19.0,67.6,7.6,23.5,1.3
Rocky Point,7.0,0.0,6.0,0.0,58.3,0.0,50.0,0.0
Rodd Point,35.0,3.0,25.0,0.0,58.3,5.0,41.7,0.0
Rooty Hill,339.0,153.0,224.0,9.0,46.9,21.2,31.0,1.2
Rose Bay,875.0,6.0,478.0,16.0,63.5,0.4,34.7,1.2
Rosebery,444.0,79.0,182.0,12.0,62.1,11.0,25.5,1.7
Roselands,464.0,171.0,186.0,12.0,55.5,20.5,22.2,1.4
Rosemeadow,255.0,313.0,102.0,6.0,37.8,46.4,15.1,0.9
Roseville,272.0,9.0,168.0,3.0,60.0,2.0,37.1,0.7
Roseville Chase,28.0,0.0,26.0,0.0,58.3,0.0,54.2,0.0
Rouse Hill,86.0,0.0,28.0,0.0,76.1,0.0,24.8,0.0
Rozelle,735.0,54.0,417.0,9.0,60.6,4.5,34.4,0.7
Ruse,128.0,38.0,88.0,3.0,51.2,15.2,35.2,1.2
Rushcutters Bay,441.0,3.0,261.0,20.0,60.9,0.4,36.0,2.8
Russell Lea,282.0,82.0,137.0,10.0,55.3,16.1,26.9,2.0
Russell Vale,35.0,41.0,26.0,0.0,36.5,42.7,27.1,0.0
Rydalmere,40.0,94.0,28.0,0.0,24.4,57.3,17.1,0.0
Ryde,1476.0,327.0,627.0,29.0,60.0,13.3,25.5,1.2
Sadleir,40.0,354.0,32.0,6.0,9.2,81.4,7.4,1.4
San Remo,191.0,13.0,105.0,0.0,61.0,4.2,33.5,0.0
Sandringham,81.0,0.0,52.0,3.0,58.7,0.0,37.7,2.2
Sans Souci,487.0,135.0,190.0,9.0,59.4,16.5,23.2,1.1
Saratoga,110.0,16.0,66.0,3.0,55.3,8.0,33.2,1.5
Scarborough,17.0,0.0,19.0,0.0,44.7,0.0,50.0,0.0
Schofields,147.0,6.0,74.0,0.0,63.4,2.6,31.9,0.0
Scotland Island,32.0,0.0,16.0,0.0,66.7,0.0,33.3,0.0
Seaforth,135.0,58.0,155.0,0.0,38.4,16.5,44.0,0.0
Sefton,131.0,170.0,104.0,3.0,32.3,41.9,25.6,0.7
Seven Hills,492.0,573.0,299.0,20.0,35.3,41.1,21.4,1.4
Shalvey,55.0,460.0,38.0,10.0,9.8,81.7,6.7,1.8
Shell Cove,39.0,0.0,10.0,0.0,78.0,0.0,20.0,0.0
Shellharbour,150.0,59.0,68.0,6.0,54.3,21.4,24.6,2.2
Shelly Beach,54.0,0.0,56.0,3.0,48.6,0.0,50.5,2.7
Shortland,136.0,64.0,128.0,6.0,40.1,18.9,37.8,1.8
Silverwater,68.0,0.0,40.0,0.0,60.2,0.0,35.4,0.0
Smithfield,409.0,307.0,254.0,6.0,41.6,31.2,25.8,0.6
South Coogee,133.0,659.0,174.0,9.0,13.6,67.4,17.8,0.9
South Granville,47.0,77.0,62.0,6.0,23.5,38.5,31.0,3.0
South Hurstville,260.0,21.0,105.0,0.0,67.2,5.4,27.1,0.0
South Penrith,400.0,138.0,202.0,9.0,53.2,18.4,26.9,1.2
South Turramurra,47.0,0.0,17.0,3.0,74.6,0.0,27.0,4.8
South Wentworthville,238.0,128.0,115.0,9.0,48.7,26.2,23.5,1.8
Speers Point,141.0,55.0,94.0,6.0,49.3,19.2,32.9,2.1
Springfield,117.0,186.0,65.0,3.0,31.4,49.9,17.4,0.8
Springwood,293.0,13.0,153.0,15.0,62.7,2.8,32.8,3.2
St Andrews,161.0,80.0,78.0,3.0,50.9,25.3,24.7,0.9
St Clair,481.0,57.0,270.0,6.0,59.2,7.0,33.2,0.7
St Helens Park,407.0,28.0,109.0,0.0,75.9,5.2,20.3,0.0
St Huberts Island,21.0,0.0,16.0,3.0,53.8,0.0,41.0,7.7
St Ives,213.0,3.0,164.0,0.0,56.2,0.8,43.3,0.0
St Ives Chase,46.0,0.0,34.0,0.0,63.0,0.0,46.6,0.0
St Johns Park,100.0,43.0,66.0,3.0,46.9,20.2,31.0,1.4
St Leonards,372.0,0.0,162.0,12.0,67.9,0.0,29.6,2.2
St Marys,715.0,329.0,274.0,19.0,53.7,24.7,20.6,1.4
St Peters,184.0,0.0,97.0,3.0,64.1,0.0,33.8,1.0
Stanhope Gardens,135.0,0.0,54.0,3.0,71.4,0.0,28.6,1.6
Stanmore,824.0,27.0,415.0,9.0,64.7,2.1,32.6,0.7
Stockton,206.0,157.0,118.0,12.0,42.4,32.3,24.3,2.5
Strathfield,1509.0,143.0,493.0,39.0,68.9,6.5,22.5,1.8
Strathfield South,155.0,16.0,48.0,0.0,67.7,7.0,21.0,0.0
Summer Hill,869.0,18.0,360.0,3.0,69.9,1.4,29.0,0.2
Surry Hills,2111.0,818.0,803.0,45.0,56.0,21.7,21.3,1.2
Sutherland,1160.0,220.0,294.0,17.0,68.6,13.0,17.4,1.0
Swansea,263.0,105.0,146.0,9.0,51.0,20.3,28.3,1.7
Swansea Heads,33.0,0.0,13.0,0.0,76.7,0.0,30.2,0.0
Sydenham,69.0,3.0,37.0,0.0,67.0,2.9,35.9,0.0
Sydney,1355.0,12.0,574.0,22.0,69.0,0.6,29.2,1.1
Sylvania,327.0,133.0,195.0,9.0,49.0,19.9,29.2,1.3
Sylvania Waters,112.0,0.0,54.0,0.0,67.1,0.0,32.3,0.0
Tacoma,14.0,3.0,15.0,0.0,42.4,9.1,45.5,0.0
Tacoma South,0.0,0.0,6.0,0.0,0.0,0.0,85.7,0.0
Tamarama,145.0,0.0,137.0,3.0,50.9,0.0,48.1,1.1
Taren Point,25.0,0.0,23.0,0.0,47.2,0.0,43.4,0.0
Tarrawanna,49.0,70.0,30.0,0.0,30.6,43.8,18.8,0.0
Tascott,64.0,0.0,23.0,3.0,71.1,0.0,25.6,3.3
Tempe,140.0,0.0,91.0,0.0,57.6,0.0,37.4,0.0
Teralba,35.0,13.0,54.0,0.0,34.7,12.9,53.5,0.0
Terrey Hills,28.0,0.0,81.0,0.0,24.6,0.0,71.1,0.0
Terrigal,555.0,21.0,296.0,10.0,62.9,2.4,33.6,1.1
The Entrance,461.0,38.0,167.0,9.0,68.2,5.6,24.7,1.3
The Entrance North,95.0,6.0,49.0,3.0,62.1,3.9,32.0,2.0
The Hill,333.0,12.0,146.0,0.0,68.1,2.5,29.9,0.0
The Junction,148.0,88.0,38.0,6.0,51.9,30.9,13.3,2.1
Thirroul,258.0,27.0,200.0,6.0,52.4,5.5,40.7,1.2
Thornleigh,190.0,84.0,149.0,3.0,44.6,19.7,35.0,0.7
Tighes Hill,98.0,10.0,135.0,6.0,39.8,4.1,54.9,2.4
Tingira Heights,30.0,107.0,32.0,3.0,17.4,62.2,18.6,1.7
Toongabbie,562.0,366.0,253.0,16.0,47.0,30.6,21.2,1.3
Toowoon Bay,44.0,0.0,38.0,3.0,53.7,0.0,46.3,3.7
Toronto,264.0,311.0,140.0,7.0,36.3,42.8,19.3,1.0
Toukley,338.0,73.0,187.0,13.0,55.1,11.9,30.5,2.1
Towradgi,127.0,110.0,90.0,6.0,38.8,33.6,27.5,1.8
Tregear,85.0,518.0,50.0,10.0,12.9,78.4,7.6,1.5
Tuggerah,100.0,3.0,25.0,0.0,81.3,2.4,20.3,0.0
Tuggerawong,54.0,0.0,65.0,0.0,46.2,0.0,55.6,0.0
Tumbi Umbi,96.0,88.0,46.0,3.0,40.7,37.3,19.5,1.3
Turramurra,243.0,22.0,160.0,9.0,56.6,5.1,37.3,2.1
Turrella,15.0,19.0,29.0,3.0,23.1,29.2,44.6,4.6
Ultimo,451.0,120.0,319.0,9.0,50.4,13.4,35.6,1.0
Umina Beach,984.0,58.0,442.0,14.0,65.7,3.9,29.5,0.9
Unanderra,130.0,568.0,126.0,9.0,15.6,68.3,15.1,1.1
Valentine,139.0,6.0,51.0,0.0,70.9,3.1,26.0,0.0
Valley Heights,24.0,0.0,22.0,0.0,51.1,0.0,46.8,0.0
Vaucluse,483.0,0.0,331.0,15.0,59.0,0.0,40.4,1.8
Villawood,66.0,1198.0,140.0,8.0,4.7,85.0,9.9,0.6
Voyager Point,9.0,0.0,29.0,0.0,29.0,0.0,93.5,0.0
Wahroonga,288.0,3.0,322.0,12.0,46.2,0.5,51.7,1.9
Waitara,127.0,84.0,114.0,3.0,37.7,24.9,33.8,0.9
Wakeley,132.0,20.0,74.0,3.0,58.9,8.9,33.0,1.3
Wallsend,476.0,295.0,419.0,13.0,39.7,24.6,35.0,1.1
Wamberal,250.0,0.0,164.0,6.0,60.2,0.0,39.5,1.4
Warabrook,124.0,53.0,57.0,3.0,53.4,22.8,24.6,1.3
Waratah,312.0,199.0,226.0,4.0,41.9,26.7,30.3,0.5
Waratah West,111.0,107.0,95.0,0.0,35.2,34.0,30.2,0.0
Wareemba,85.0,0.0,46.0,0.0,63.4,0.0,34.3,0.0
Warilla,199.0,472.0,205.0,7.0,22.5,53.5,23.2,0.8
Warners Bay,330.0,42.0,221.0,9.0,54.2,6.9,36.3,1.5
Warrawee,41.0,0.0,27.0,0.0,56.9,0.0,37.5,0.0
Warrawong,199.0,425.0,169.0,3.0,25.0,53.3,21.2,0.4
Warriewood,79.0,0.0,98.0,3.0,42.9,0.0,53.3,1.6
Warrimoo,63.0,0.0,40.0,0.0,58.9,0.0,37.4,0.0
Warwick Farm,441.0,491.0,131.0,17.0,40.9,45.5,12.2,1.6
Watanobbi,111.0,206.0,57.0,3.0,29.8,55.4,15.3,0.8
Waterloo,91.0,2026.0,59.0,20.0,4.1,92.3,2.7,0.9
Watsons Bay,28.0,0.0,32.0,0.0,43.1,0.0,49.2,0.0
Wattle Grove,209.0,30.0,729.0,7.0,21.5,3.1,75.2,0.7
Waverley,258.0,57.0,209.0,3.0,48.7,10.8,39.4,0.6
Waverton,429.0,15.0,245.0,3.0,61.5,2.1,35.1,0.4
Wentworthville,821.0,266.0,326.0,17.0,57.5,18.6,22.8,1.2
Werrington,330.0,71.0,95.0,9.0,65.2,14.0,18.8,1.8
Werrington County,89.0,3.0,57.0,0.0,58.6,2.0,37.5,0.0
Werrington Downs,77.0,0.0,44.0,0.0,63.1,0.0,36.1,0.0
West Gosford,132.0,30.0,35.0,0.0,68.4,15.5,18.1,0.0
West Hoxton,120.0,6.0,53.0,6.0,64.5,3.2,28.5,3.2
West Pennant Hills,260.0,25.0,174.0,0.0,56.0,5.4,37.5,0.0
West Pymble,77.0,6.0,59.0,0.0,53.1,4.1,40.7,0.0
West Ryde,1117.0,110.0,327.0,20.0,71.0,7.0,20.8,1.3
West Wallsend,39.0,3.0,41.0,0.0,43.8,3.4,46.1,0.0
West Wollongong,301.0,71.0,166.0,6.0,54.7,12.9,30.2,1.1
Westleigh,56.0,0.0,36.0,0.0,61.5,0.0,39.6,0.0
Westmead,1246.0,434.0,277.0,26.0,63.0,21.9,14.0,1.3
Wetherill Park,166.0,26.0,78.0,3.0,59.9,9.4,28.2,1.1
Whalan,106.0,720.0,87.0,13.0,11.4,77.5,9.4,1.4
Whitebridge,61.0,10.0,46.0,0.0,51.3,8.4,38.7,0.0
Wickham,101.0,3.0,77.0,0.0,53.2,1.6,40.5,0.0
Wiley Park,1003.0,90.0,215.0,30.0,75.1,6.7,16.1,2.2
Willmot,60.0,321.0,33.0,3.0,14.4,77.2,7.9,0.7
Willoughby,309.0,36.0,223.0,6.0,55.1,6.4,39.8,1.1
Willoughby East,56.0,0.0,38.0,3.0,65.1,0.0,44.2,3.5
Windale,26.0,819.0,38.0,11.0,2.9,92.4,4.3,1.2
Windang,85.0,3.0,117.0,3.0,39.7,1.4,54.7,1.4
Winmalee,146.0,9.0,98.0,0.0,59.3,3.7,39.8,0.0
Winston Hills,194.0,3.0,100.0,0.0,64.5,1.0,33.2,0.0
Wollongong,1813.0,592.0,909.0,40.0,54.0,17.6,27.1,1.2
Wollstonecraft,1275.0,87.0,513.0,22.0,67.3,4.6,27.1,1.2
Wombarra,18.0,0.0,27.0,0.0,38.3,0.0,57.4,0.0
Woodbine,96.0,0.0,36.0,0.0,73.3,0.0,27.5,0.0
Woodcroft,167.0,38.0,68.0,0.0,61.4,14.0,25.0,0.0
Woodpark,33.0,6.0,17.0,0.0,68.8,12.5,35.4,0.0
Woodrising,71.0,6.0,19.0,0.0,72.4,6.1,19.4,0.0
Woollahra,578.0,14.0,367.0,13.0,59.6,1.4,37.9,1.3
